task	split	trial	idx	truth	formF	sha256
colordisc	adv	r2a_colordisc_200065	200065	DIFFERENT	SAME	02455f19eb0f975cba43235955317c4d80fdfb6530e22596b4ecfc4bb2d7286c
colordisc	adv	r2a_colordisc_200066	200066	DIFFERENT	SAME	ecea090e30f2a0aa900f6025f45583a647cc026d2713d19d37cc74ddde8a6228
colordisc	adv	r2a_colordisc_200067	200067	SAME	DIFFERENT	7e18ceb16ca66fba96b18d215bc86934c9b2c75ef71836c227ee2626a48d98d9
colordisc	adv	r2a_colordisc_200068	200068	DIFFERENT	SAME	3def90bfcab639c468ad078414f977ac4dab333ef16037b993c7a57e1a2dc9cc
colordisc	adv	r2a_colordisc_200069	200069	DIFFERENT	SAME	8baaf2b97ddf7366ff7a96a1c36f1649d83b83a05dd7d8426bbf5ce5481e14f3
colordisc	adv	r2a_colordisc_200070	200070	SAME	DIFFERENT	609e3f112c98dbe1e8da77431f626856574182b3182b059f68f3a6d8349126c3
colordisc	adv	r2a_colordisc_200071	200071	DIFFERENT	SAME	e9242f17a092a73b1083117a113f6131fb65aaa1343c2aa236af7da426639fc6
colordisc	adv	r2a_colordisc_200072	200072	DIFFERENT	SAME	c06153b23f913ceac67303b9e27a21130e30720752d1197f239afc87fc4b97ec
colordisc	adv	r2a_colordisc_200074	200074	DIFFERENT	SAME	98b429aec62b7ae8126a53c2e379c38ca4d18db5c70be91da596696ce04412a5
colordisc	adv	r2a_colordisc_200075	200075	DIFFERENT	SAME	fc2e90a8e4502676dc11ac7b356437354d2fa32c15c82fef92645d95afade443
colordisc	adv	r2a_colordisc_200076	200076	SAME	DIFFERENT	091d712b8856367ffe0c76b6e6f9b204881fd68db4b0ca6e050f0fac2fb87b1b
colordisc	adv	r2a_colordisc_200077	200077	DIFFERENT	SAME	e47b38f48bcac781d6954b35f5294ff04d7526a90a73faba5218a175b030a2df
colordisc	adv	r2a_colordisc_200078	200078	DIFFERENT	SAME	575015e0bfc3dc08ad1b1c82171af97c4dbc93b5028becb095a0abe08f46e36f
colordisc	adv	r2a_colordisc_200079	200079	SAME	DIFFERENT	6bb7f2c07c031b2abca08119072921a73f6f4cb4c8db788fd05d2f49bd8cf388
colordisc	adv	r2a_colordisc_200080	200080	DIFFERENT	SAME	f8586bb5726ec447fbae32428c93661c53e89921c42643cd57ef2765365c0e72
colordisc	adv	r2a_colordisc_200081	200081	DIFFERENT	SAME	6f49e8a7fe2b3bf42826a2ebea354cea12acfa09f6960486bb05a7cbfe0c15e0
colordisc	adv	r2a_colordisc_200084	200084	DIFFERENT	SAME	0b1c8d1e14b74984011c46c0da83f172e5fe2485221a490f02a9dbc172c6e5e9
colordisc	adv	r2a_colordisc_200085	200085	SAME	DIFFERENT	d8f39fae2759abf8385df30aa77449e3f88664b3263c19cde2d4f3cabd1519e0
colordisc	adv	r2a_colordisc_200086	200086	DIFFERENT	SAME	35d469fd45a505f9a300d56fe65f23e2b9b02dcb84e32001304b77cafa20539b
colordisc	adv	r2a_colordisc_200087	200087	DIFFERENT	SAME	35c89c68f8f59dc89e62665338ac83b25a98fffe661636e25f47924a952f4c8d
colordisc	adv	r2a_colordisc_200089	200089	DIFFERENT	SAME	73c3eb2bba5876aae769ac30915e55e2c2167f8ab3777c379d218490bfa8b8c6
colordisc	adv	r2a_colordisc_200090	200090	DIFFERENT	SAME	e8d90dec9f766e6f121e8e105f2180708459d75cd8148e85c611f3fc5bf77c1e
colordisc	adv	r2a_colordisc_200092	200092	DIFFERENT	SAME	4f491d82fa4b2e16960aaaef1507256d2fa21996919ddc3921ff88c29af3f358
colordisc	adv	r2a_colordisc_200093	200093	DIFFERENT	SAME	26dd3750a8ce67fa6c7f60b80d1a9bd303c087f379c22419a86812feb6842c93
colordisc	adv	r2a_colordisc_200095	200095	DIFFERENT	SAME	09beb0f6f46fec52bf4190ae2f1948a85ebc455a640e08d42e78bc886dc8e759
colordisc	adv	r2a_colordisc_200096	200096	DIFFERENT	SAME	e4ab21a1d50116fa6f16514d64632121a442ff6c5f09d527529c91eea16316ae
colordisc	adv	r2a_colordisc_200099	200099	DIFFERENT	SAME	6c142c25189c1f32c5354818e24417bdc29785a89d49ae6d4015262b5b01ad9b
colordisc	adv	r2a_colordisc_200100	200100	SAME	DIFFERENT	e8d509384f510d97adb1eb4b843a94d72600cebb0f03146f36caafde7f8f91ed
colordisc	adv	r2a_colordisc_200101	200101	DIFFERENT	SAME	58182fa0c55e043f0a578cff6b5abaf4831f839ced0b3bf1469507d5752039ba
colordisc	adv	r2a_colordisc_200102	200102	DIFFERENT	SAME	832f30b6ade0e8878cdce9dc74145e0cdc20d9c8a521b3c42b1ef6f6c62dd986
colordisc	adv	r2a_colordisc_200103	200103	SAME	DIFFERENT	dd907308929582fa6dfa20a19fa1419346f540646d6d6c4659e34e0d4077cb11
colordisc	adv	r2a_colordisc_200104	200104	DIFFERENT	SAME	81a3ff78dcd08137eb71253632940624cf6e4ba9887c0eebdfc49c71bbc8a155
colordisc	adv	r2a_colordisc_200105	200105	DIFFERENT	SAME	661b574a01a2b5cb2c1c7d0effb31912b5481031d8a947848e5a4c67378c6b2f
colordisc	adv	r2a_colordisc_200107	200107	DIFFERENT	SAME	3cbff443a4ec00d3ec2d955ddf0a6c9db863f4e70758d49e8557a590d1280bf6
colordisc	adv	r2a_colordisc_200108	200108	DIFFERENT	SAME	8b6708bcec043fe362ebcb95a16d90591a83e1dc880960832c5320385d0cec8b
colordisc	adv	r2a_colordisc_200109	200109	SAME	DIFFERENT	ffc7ad5144ae4f1913db743521a306a3c15d92bc30d911eb460601dcadde27bd
colordisc	adv	r2a_colordisc_200110	200110	DIFFERENT	SAME	4710be7b4e1dcd489852c21f01fbf019e9d6f21bc3f36f3685280e8ff7eb29f1
colordisc	adv	r2a_colordisc_200111	200111	DIFFERENT	SAME	0c3bc44568210067ea7535bf4c51b35a4c36bc07c0fdf62dc5326f898152760c
colordisc	adv	r2a_colordisc_200112	200112	SAME	DIFFERENT	329902c21c76660dab0eed706d6f7b9bc5d378921e2f3f282ccd0752218538ea
colordisc	adv	r2a_colordisc_200113	200113	DIFFERENT	SAME	886fc6069fbc0188b53d96704b9b8a137f090debec68493ecfc8333a593572f1
colordisc	adv	r2a_colordisc_200114	200114	DIFFERENT	SAME	ae94baa22aa99b061053fa096262db6290d6a0358e18d67eeab9292aa4cd411c
colordisc	adv	r2a_colordisc_200115	200115	SAME	DIFFERENT	6f72b157accb5792168a49642e435b49528f6ca2c6ac79f4e4f6dba85ca51ca1
colordisc	adv	r2a_colordisc_200116	200116	DIFFERENT	SAME	8895ee9f3fa6792e4a30c167771c43d7016b9a49124c0e6cecc5764afbaf3ecc
colordisc	adv	r2a_colordisc_200117	200117	DIFFERENT	SAME	c0034bc38281851d07238a82a3b9598ec456931334473d3f8747cfd2b5cec805
colordisc	adv	r2a_colordisc_200118	200118	SAME	DIFFERENT	c8f70a08624548623198f95fc776a401e57e0ac08e4425a3d3f274cfbdc62623
colordisc	adv	r2a_colordisc_200119	200119	DIFFERENT	SAME	59c9cd85496e1d679b4c19c06cf56ee5e154f34746b35ffe4f3fd9be9ec256ba
colordisc	adv	r2a_colordisc_200120	200120	DIFFERENT	SAME	829ed664eec222176bd4f8e97b5dca458d394f941a7f5dee06a82139ee2b9a18
colordisc	adv	r2a_colordisc_200121	200121	SAME	DIFFERENT	7b5841fc97aa87642d15ab60fd4468c033f5665bbffdd8f5f2302d4f8c7d0b4d
colordisc	adv	r2a_colordisc_200122	200122	DIFFERENT	SAME	1e5d6175d40798854f764f68bed3e356a26254037fcb23aa594fdb9714d18db9
colordisc	adv	r2a_colordisc_200123	200123	DIFFERENT	SAME	6216828c9f722c760e2f095f849d7f522a85897777c48c8aef55c491e8c2992d
colordisc	adv	r2a_colordisc_200124	200124	SAME	DIFFERENT	b3e13d46d984e4170cf90a697fa457d40c4c9627053fbc5e9a956344e7a92a4d
colordisc	adv	r2a_colordisc_200125	200125	DIFFERENT	SAME	5996c4a613fbd12e67ac9bae0f98a842efe5aeb9293e61fffd98d7cf16445f78
colordisc	adv	r2a_colordisc_200126	200126	DIFFERENT	SAME	b9c3ba51552b8e1b41ceaeb665b860072b0847adf05722b57024ae7fbe927b9f
colordisc	adv	r2a_colordisc_200127	200127	SAME	DIFFERENT	c7026b74616bb18b6ecff9fa0563b88498839e40acdb0f6a0c6faf4ca28c3be4
colordisc	adv	r2a_colordisc_200128	200128	DIFFERENT	SAME	c7bfad1ea8a207b3b879dc5ad1bfbf605244475f0b84cf0dacd6d5cde24b8f17
colordisc	adv	r2a_colordisc_200129	200129	DIFFERENT	SAME	be34e5a81a9fe6b0784a1dce1ee1e2a879a9dc415f5c147941c49d0477c3ee4a
colordisc	adv	r2a_colordisc_200130	200130	SAME	DIFFERENT	baeb9802e26c089fe9e1f3ffeb401bc8628de4b9c617ed13644a7a6a35a8fc09
colordisc	adv	r2a_colordisc_200132	200132	DIFFERENT	SAME	36e3c20b9375238116883a819eb1ef6d972cfd75aa1c93392d2ef4adf1d443b8
colordisc	adv	r2a_colordisc_200134	200134	DIFFERENT	SAME	2b2ade8859095f26d60cc44f3a59c5b7971ca60884b9a170cfb6fc13cd691d51
colordisc	adv	r2a_colordisc_200135	200135	DIFFERENT	SAME	1af6fd2d78efe577a820f74abf62ce5d99cc417fff793eef09130f50700266d2
colordisc	adv	r2a_colordisc_200136	200136	SAME	DIFFERENT	72e8c8df8d6045e34a75af07236d8ee01249336a18cb594eae4ad359c1930b9b
colordisc	adv	r2a_colordisc_200137	200137	DIFFERENT	SAME	894bf883d6a6ec5ec812140fdb4b5990775478cdd46934658bbb4b20245675a2
colordisc	adv	r2a_colordisc_200138	200138	DIFFERENT	SAME	042da7d48ca4d6dbb8c6442e480e32e6c37bb58db15d84a62e3b80cd26724616
colordisc	adv	r2a_colordisc_200139	200139	SAME	DIFFERENT	16d17bdcc7cd09ba48d28322ec58b7525582ce91604feb6fa30c7fcc9b54dd6e
colordisc	adv	r2a_colordisc_200140	200140	DIFFERENT	SAME	ccd9fb885ff44d012e30bed3787b3d488d316211a9a3b1fe719dee44a7b6e78f
colordisc	adv	r2a_colordisc_200141	200141	DIFFERENT	SAME	6d7a681c9982cbb72341cf95a8cf35c273a7413fa4eb7c8ee8c979f4ec9f416c
colordisc	adv	r2a_colordisc_200143	200143	DIFFERENT	SAME	63c6ad8098461a26d1598c98c3ee1bf42c363d816328cfec0b7b750d46e7bf89
colordisc	adv	r2a_colordisc_200144	200144	DIFFERENT	SAME	db9e0a1b7bba5619e9d748c5d32846d98048ca46f80157b352e4162fd9d53c05
colordisc	adv	r2a_colordisc_200145	200145	SAME	DIFFERENT	f32b457e926c4c782b55b8cf78a083ec6dd5c642e0ce8f97bcf5116b5abf8d1c
colordisc	adv	r2a_colordisc_200147	200147	DIFFERENT	SAME	a8c07aa137a9c40ae750c103933fe069e3ab52f1ecbcf02d4fade436243923bb
colordisc	adv	r2a_colordisc_200148	200148	SAME	DIFFERENT	133f59eb9c3fc344057cd4a9dbf16cb6598315e9d9afa94e6180e6dbd02c5ddb
colordisc	adv	r2a_colordisc_200149	200149	DIFFERENT	SAME	ae7bc82ed3aa497c45e12256e18b20bfc312e8b0d580c7ec66e9d22ccf83f946
colordisc	adv	r2a_colordisc_200150	200150	DIFFERENT	SAME	0ae387cecd18147a3bf0c573d22e4fdd85a86857f9d171c4078c5f59325171cf
colordisc	adv	r2a_colordisc_200151	200151	SAME	DIFFERENT	eeea5d766b1a62cee5672663c33eb4ac1715dba3675261a95c421f73722e5f58
colordisc	adv	r2a_colordisc_200152	200152	DIFFERENT	SAME	1a748bc49dfd74a2fc5813617b4a1f520408f4e7af96fc87c7e7503097635281
colordisc	adv	r2a_colordisc_200153	200153	DIFFERENT	SAME	a1c640ae1ecbd3ff62f384c4528090590cb2a8b7ce886419b5b17a856b10b04d
colordisc	adv	r2a_colordisc_200154	200154	SAME	DIFFERENT	b27a018e79672f925f8fea2316611baf32bbf1fc47260df98ffed042951d621c
colordisc	adv	r2a_colordisc_200155	200155	DIFFERENT	SAME	00c1337288a3f06c006d4907e68a185875c5efc4318fb10cc4391bf73e8f2cee
colordisc	adv	r2a_colordisc_200156	200156	DIFFERENT	SAME	cc29026bdc450f941b522c0ed3193d35b974b0f9b79268c413301d62dc5a0885
colordisc	adv	r2a_colordisc_200158	200158	DIFFERENT	SAME	f01d9c2147b3a2d5492b69a6338f47c447fde5b9b362c6f01dd668fdd3f26664
colordisc	adv	r2a_colordisc_200159	200159	DIFFERENT	SAME	3b3d39e50feeb1da4d736fa242e983c3bea65fdfa4bf0480b7570c4f590f57dd
colordisc	adv	r2a_colordisc_200160	200160	SAME	DIFFERENT	b515eb98ec6d4b95ed9dc70d3d81fedcad72411ae0e9ed174c2a892bb93e122d
colordisc	adv	r2a_colordisc_200162	200162	DIFFERENT	SAME	122cfada7e7b39339373781c0143c8a94561b86abd0bd5ab8a76b59c33960eeb
colordisc	adv	r2a_colordisc_200163	200163	SAME	DIFFERENT	48826a7adfef8a6f0c8c3d135e945d930aa824e6b7fc788b903ed834058bc407
colordisc	adv	r2a_colordisc_200164	200164	DIFFERENT	SAME	5b1be9ddfffcb7b5eddc38ef33628e34222a70d9c63a76d55f7796529b966911
colordisc	adv	r2a_colordisc_200165	200165	DIFFERENT	SAME	1358ba1bb7126c6b8d2a678f7c06e0b822df208ec81301077af9c762424bfd66
colordisc	adv	r2a_colordisc_200166	200166	SAME	DIFFERENT	22d712cb63507c5054eb8dce1dd918cc02b03a5a496752cedfc8c3777d1c6041
colordisc	adv	r2a_colordisc_200167	200167	DIFFERENT	SAME	8b2c8f88ee87eac3ed2bf3c22e26be6a7fe9f5af19f26c7fe3691f0aa0d73e39
colordisc	adv	r2a_colordisc_200168	200168	DIFFERENT	SAME	fb8b3c6056a2db30737b45aa5b93281ea9e4ff722c044ca045f0190ac50d1446
colordisc	adv	r2a_colordisc_200169	200169	SAME	DIFFERENT	cfe3083143da1733b6e88501d2b340eb579f1069bfed345d6337ed07610ca8c4
colordisc	adv	r2a_colordisc_200170	200170	DIFFERENT	SAME	f903c21b9cd442be8124d1218306c2c9aef3f391f1a91604ed03f5378d31426b
colordisc	adv	r2a_colordisc_200171	200171	DIFFERENT	SAME	8e7b9c1edb3957117f0cc9eeb1bb259c0b3b5c9424cd0ea5fa34b836f9e40dc5
colordisc	adv	r2a_colordisc_200173	200173	DIFFERENT	SAME	a45799eb475d5fe392a6a7264242ecbd304ccea12a78b31a863521e813ab04aa
colordisc	adv	r2a_colordisc_200174	200174	DIFFERENT	SAME	0fc346f8ed048ef99027806ef9f133a4bdb782fbc1ec38bde9ef0967d09ce262
colordisc	adv	r2a_colordisc_200176	200176	DIFFERENT	SAME	ffa4df7c2d0b1fc3d6752a7da0067ad06527c3f1a7160d19943837a5b86b08cd
colordisc	adv	r2a_colordisc_200177	200177	DIFFERENT	SAME	f5699da0d1589198e67424a639baab62ee68a32ebe14ef42f09867ac999a1da3
colordisc	adv	r2a_colordisc_200180	200180	DIFFERENT	SAME	3525d909fb914ced796ddd8c52df4387820ced7d9ee152c880e8c7eb7bc4b93f
colordisc	adv	r2a_colordisc_200181	200181	SAME	DIFFERENT	ef43bc59552307b9cfaff02c543952c7e62415df9675d462c412faaf3a6969a2
colordisc	adv	r2a_colordisc_200182	200182	DIFFERENT	SAME	c40a00d97e56d99fde9069a7cac6009b2d791d41845797af2f93188ef3beae12
colordisc	adv	r2a_colordisc_200183	200183	DIFFERENT	SAME	fa9447d27d83b0986cdfe081460af5966096259b0bcd9a7624be3615453aac08
colordisc	adv	r2a_colordisc_200184	200184	SAME	DIFFERENT	a82486320cadb1e3a916bf64573a9a1d725cc6995010b19205d007af55e164bc
colordisc	adv	r2a_colordisc_200185	200185	DIFFERENT	SAME	cfd9457a71dc97330944b001a94694a1f8908419bed4ebb4d131e37d89ae61a2
colordisc	adv	r2a_colordisc_200186	200186	DIFFERENT	SAME	8bd7b8db5dc25ec4981cc20365e81f2e7143d2eaedc700db9e84151016f4172f
colordisc	adv	r2a_colordisc_200188	200188	DIFFERENT	SAME	56919a3b8521b6c1bbf23a55a2f4dbe87a2a6799890b7dd416f6fe60418c3d9a
colordisc	adv	r2a_colordisc_200189	200189	DIFFERENT	SAME	09071d8c2a720188280749f5a1d0304e20d13824bf1c3e9faf55d19707c8d05c
colordisc	adv	r2a_colordisc_200191	200191	DIFFERENT	SAME	017d14d8d62e0db5f64032db43e82d280ecb2d0436059e11b88a68c69dcda739
colordisc	adv	r2a_colordisc_200192	200192	DIFFERENT	SAME	90e7b91397164e511cce1dada6165b26e82f180ae487507a8d68afa80bba2188
colordisc	adv	r2a_colordisc_200193	200193	SAME	DIFFERENT	9ff8212b0348438d89177fdcf04df1aa1af9892f74690a8ff6f60e1a4481a9ee
colordisc	adv	r2a_colordisc_200194	200194	DIFFERENT	SAME	4886606b46690c59147fd18d527e43b3535c8e6670b80ada63b81573d6b78b0f
colordisc	adv	r2a_colordisc_200195	200195	DIFFERENT	SAME	f363e82f759b919ef23f2afbfd10bc07b92d916b4fd912d6bf463c7956478260
colordisc	adv	r2a_colordisc_200198	200198	DIFFERENT	SAME	6e4c39ba5f516e2aed9fccd4be2b072c337e8af0a3928150908def46adb55514
colordisc	adv	r2a_colordisc_200199	200199	SAME	DIFFERENT	64383bb10a250761acb0981fed839c0552630dbe580ae7e0209df05a21d5a5de
colordisc	adv	r2a_colordisc_200200	200200	DIFFERENT	SAME	0364c389556fc8586cfb5563ff62750c3a6fa648d6445d84d4d17f9532577de4
colordisc	adv	r2a_colordisc_200201	200201	DIFFERENT	SAME	34072eea4b9f3742f2e8ff0afacd2143116c1c4d1ded3e5e159ab3d7858502d5
colordisc	adv	r2a_colordisc_200202	200202	SAME	DIFFERENT	7bdcb702f3f2ebc578e3fd3e3ec987f979dcb87bdcac0305a2f46d1c33525131
colordisc	adv	r2a_colordisc_200203	200203	DIFFERENT	SAME	a2013f6d8e5bc66f826a8b3e6c9b93c21c2b8b89a79674a0fdb7fafa8b067943
colordisc	adv	r2a_colordisc_200204	200204	DIFFERENT	SAME	72e603c9664bb85fe849e48bf340d0c379e53513bf113a46366e7962fd3ba79a
colordisc	adv	r2a_colordisc_200205	200205	SAME	DIFFERENT	5d2290893906cb52a0de9eedbfedfaab18c7db43131e0c6e9aef20303b692cca
colordisc	adv	r2a_colordisc_200206	200206	DIFFERENT	SAME	19585fce166dccac898295340abb812f828bdc24e77144554013eb155581e172
colordisc	adv	r2a_colordisc_200207	200207	DIFFERENT	SAME	6ebd9a68a08fba9c8632d5195923f998eafd4a4575dcd5bb0667a7850e9b7ab3
colordisc	adv	r2a_colordisc_200208	200208	SAME	DIFFERENT	7f16f2dc1a94640c22ea40e0a81d2f31d18c299ae01d7be0a17033a4e6edcf50
colordisc	adv	r2a_colordisc_200209	200209	DIFFERENT	SAME	6e444277c8802cc9e1b0703ef32f06aa0667b49a0fc981d07480053fd9e8ff15
colordisc	adv	r2a_colordisc_200210	200210	DIFFERENT	SAME	7ba6aac4c3a958ae71f46a559e304d15d018e96fc0fc2541d3a6c32053ee30f4
