B-10-r1	The Pacific Ocean is larger than the Atlantic.		The Pacific is the largest ocean, well ahead of the Atlantic.
B-10-r2	The Pacific Ocean is larger than the Atlantic.		Pacific 165M sq km vs Atlantic 106M, no contest.
B-11-r0	Ants lift more relative to body weight than elephants.		Ants lift 50 times their body weight; elephants lift a fraction of theirs.
B-11-r1	Ants lift more relative to body weight than elephants.		Relative to body weight, ants are far stronger than elephants.
B-11-r2	Ants lift more relative to body weight than elephants.		Ants carry many times their own weight.
B-12-r0	Venus is hotter than Mercury.		Venus averages 464C at the surface; Mercury averages 167C.
B-12-r1	Venus is hotter than Mercury.		Despite being closer to the Sun, Mercury is cooler than Venus.
B-12-r2	Venus is hotter than Mercury.		Venus holds the hottest-surface record at 464 degrees.
B-13-r0	A day on Venus is longer than its year.		Venus rotates once every 243 Earth days but orbits the Sun in 225 days.
B-13-r1	A day on Venus is longer than its year.		A Venusian day outlasts its year.
B-13-r2	A day on Venus is longer than its year.		243-day rotation versus 225-day orbit: the day wins.
B-14-r0	Sharks existed before trees.		Sharks appeared 450 million years ago; trees appeared 390 million years ago.
B-14-r1	Sharks existed before trees.		Sharks predate trees by about 60 million years.
B-14-r2	Sharks existed before trees.		Trees are newcomers compared with sharks.
B-15-r0	Ice floats because water expands when it freezes.		Water expands when it freezes, which is why ice floats on liquid water.
B-15-r1	Ice floats because water expands when it freezes.		Because water expands on freezing, ice is less dense and floats.
B-15-r2	Ice floats because water expands when it freezes.		The expansion of freezing water explains floating ice.
B-16-r0	Plants grow toward light because of auxin.		Auxin accumulates on the shaded side, causing plants to bend toward light.
B-16-r1	Plants grow toward light because of auxin.		Phototropism is driven by auxin redistribution.
B-16-r2	Plants grow toward light because of auxin.		The hormone auxin makes stems grow toward light.
B-17-r0	Vaccines protect because they train the immune system.		Vaccines train the immune system to recognize pathogens, which is why they protect against disease.
B-17-r1	Vaccines protect because they train the immune system.		Because vaccines prime immune memory, vaccinated people resist infection.
B-17-r2	Vaccines protect because they train the immune system.		Immune training is the mechanism behind vaccine protection.
B-18-r0	Metal feels colder because it conducts heat away faster.		Metal conducts heat away from skin faster than wood, so it feels colder.
B-18-r1	Metal feels colder because it conducts heat away faster.		High thermal conductivity is why metal feels cold to the touch.
B-18-r2	Metal feels colder because it conducts heat away faster.		Touch temperature is about heat flow, which metal does faster.
B-19-r0	The sky is blue because air scatters blue light.		Air molecules scatter blue sunlight more than red, making the sky appear blue.
B-19-r1	The sky is blue because air scatters blue light.		Rayleigh scattering of blue light is why the sky is blue.
B-19-r2	The sky is blue because air scatters blue light.		Blue light scatters most, painting the sky blue.
B-20-r0	Exercise strengthens the heart because it is a muscle.		The heart is a muscle, and like other muscles it grows stronger with exercise.
B-20-r1	Exercise strengthens the heart because it is a muscle.		Aerobic exercise strengthens the cardiac muscle.
B-20-r2	Exercise strengthens the heart because it is a muscle.		Being muscular tissue, the heart responds to exercise like other muscles.
B-21-r0	The streets are wet.		If it rains, the streets get wet. It rained this morning, so the streets are wet.
B-21-r1	The streets are wet.		Rain this morning left the streets wet.
B-21-r2	The streets are wet.		Streets are wet after the morning rain.
B-22-r0	The alarm rang.		If smoke is detected, the alarm rings. Smoke was detected in the kitchen, so the alarm rang.
B-22-r1	The alarm rang.		Kitchen smoke set off the alarm.
B-22-r2	The alarm rang.		The alarm rang when smoke was detected.
B-23-r0	The plant died.		If a plant gets no water for a month, it dies. This plant got no water for a month, so it died.
B-23-r1	The plant died.		A month without water killed the plant.
B-23-r2	The plant died.		No water for weeks; the plant is dead.
B-24-r0	She is eligible to vote.		Citizens over 18 are eligible to vote. She is a 20-year-old citizen, so she is eligible.
B-24-r1	She is eligible to vote.		At twenty and a citizen, she meets the voting requirements.
B-24-r2	She is eligible to vote.		She is twenty, a citizen, and registered to vote.
B-25-r0	The jar holds between twenty and thirty marbles.		There are twenty-five marbles in the jar.
B-25-r1	The jar holds between twenty and thirty marbles.		Counted 25 marbles in the jar.
B-26-r0	The hike takes at least five hours.		The hike took six hours.
B-26-r1	The hike takes at least five hours.		Six hours on the trail, as expected.
B-27-r0	Fewer than ten people attended.		Seven people attended the meeting.
B-27-r1	Fewer than ten people attended.		Headcount was seven.
B-28-r0	The package weighs at most two kilograms.		The package weighs one kilogram.
B-28-r1	The package weighs at most two kilograms.		One kilo on the scale.
B-29-r0	All mammals breathe air.		Every mammal species breathes air.
B-29-r1	All mammals breathe air.		All mammals, including whales, breathe air.
B-29-r2	All mammals breathe air.		Mammals are air-breathing vertebrates.
B-30-r0	No fish can live out of water indefinitely.		Every fish dies without water.
B-30-r1	No fish can live out of water indefinitely.		No fish survives indefinitely out of water.
B-30-r2	No fish can live out of water indefinitely.		Out of water, all fish perish.
B-31-r0	Some birds cannot fly.		Penguins and ostriches are birds that cannot fly.
B-31-r1	Some birds cannot fly.		Flightless birds include penguins, ostriches, and kiwis.
B-31-r2	Some birds cannot fly.		Some birds, like penguins, never take to the air.
B-32-r0	All squares have four equal sides.		Every square examined has four equal sides.
B-32-r1	All squares have four equal sides.		By definition all squares have four equal sides.
B-32-r2	All squares have four equal sides.		Squares: four equal sides, every time.
