# prereg_sha=f55d1dbbe1a609f69301ce8f537282a0372880b51fdec6b51d0f588b9fd96d30
epoch	phase	loss	v2	gviol	clampbind	w1	w2	w3	w4	w5	w6	w7	w8	b	mcC	mcW	mcA	ll	ac	th	varc	cbar
43	0	3753750	0	2	0	464196	-6349	0	207804	380963	-111828	407119	112	205355	1000	1000	1000	3753750	0	0	0	1000
44	1	828965635	0	2	0	458828	-7494	0	207336	377198	-126618	407574	112	190644	1000	1000	1000	828965635	0	0	0	1000
45	1	828965635	0	2	0	453460	-8639	0	206868	373433	-141408	408029	112	175933	1000	1000	1000	828965635	0	0	0	1000
46	2	1533616705	0	2	0	449461	-9000	0	205587	362346	-167612	407404	120	149252	1000	1000	1000	1533616705	0	0	0	1000
47	2	1533616705	0	2	0	445462	-9361	0	204306	351259	-193816	406779	128	122571	1000	1000	1000	1533616705	0	0	0	1000
48	0	3753750	0	2	0	482252	-8442	0	218709	387717	-165202	432129	128	171155	1000	1000	1000	3753750	0	0	0	1000
49	0	3753750	0	2	0	519042	-7523	0	233112	424175	-136588	457479	128	219739	1000	1000	1000	3753750	0	0	0	1000
50	1	828965635	0	2	0	513674	-8668	0	232644	420410	-151378	457934	128	205028	1000	1000	1000	828965635	0	0	0	1000
51	1	828965635	0	2	0	508306	-9813	0	232176	416645	-166168	458389	128	190317	1000	1000	1000	828965635	0	0	0	1000
52	2	1533616705	0	2	0	504307	-10174	0	230895	405558	-192372	457764	136	163636	1000	1000	1000	1533616705	0	0	0	1000
53	2	1533616705	0	2	0	500308	-10535	0	229614	394471	-218576	457139	144	136955	1000	1000	1000	1533616705	0	0	0	1000
54	0	3753750	0	2	0	537098	-9616	0	244017	430929	-189962	482489	144	185539	1000	1000	1000	3753750	0	0	0	1000
55	0	3753750	0	2	0	573888	-8697	0	258420	467387	-161348	507839	144	234123	1000	1000	1000	3753750	0	0	0	1000
56	1	828965635	0	2	0	568520	-9842	0	257952	463622	-176138	508294	144	219412	1000	1000	1000	828965635	0	0	0	1000
57	1	828965635	0	2	0	563152	-10987	0	257484	459857	-190928	508749	144	204701	1000	1000	1000	828965635	0	0	0	1000
58	2	1533616705	0	2	0	559153	-11348	0	256203	448770	-217132	508124	152	178020	1000	1000	1000	1533616705	0	0	0	1000
59	2	1533616705	0	2	0	555154	-11709	0	254922	437683	-243336	507499	160	151339	1000	1000	1000	1533616705	0	0	0	1000
