item_id	play	byte_start	byte_end	n_bytes	sha256	attribution_rule
dp1-0014	HAMLET	992640	992868	228	930ae9b68c971c2dc6f3c52e6c2de20c3f09f78aecbad38fc492b0a8ff75e985	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0015	HAMLET	993890	994107	217	14b8b303a111c85f5500cc234421d65e5304bcd47ac6f876709452e09e8644ce	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0016	HAMLET	995127	995335	208	befa84a5be9bb9e2bae6b89044bfc59ed59087973628bb47f11f6d03f80984ab	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0017	HAMLET	996397	996618	221	422af7c75e6aae8f04429905afc25137232a8afcaade931a171c3188aa7535fb	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0018	HAMLET	997623	997835	212	42529f38deaae69e912d9136aa496701854ec4dd23570c64bf8344560813e1e6	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0019	HAMLET	998907	999117	210	ef158920f2296012eb26fc0bed8dfa65030b99364a1ef089a26107f2ce6ba855	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0020	HAMLET	1000123	1000348	225	d3176d3fd6253b3f8fe4f88d7e38eb34d6ea05402272404d00cb5c4630f7440f	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0021	HAMLET	1001368	1001569	201	c3460fc6e49ac75fe416546d8aa397b0ceb35e8ff4cb0fde5aa5addc258e1339	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0022	HAMLET	1002601	1002818	217	fcfecf4f150c6ab08a89f579219a4512df567ab73c75be7c18a8c0403548b46c	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0023	HAMLET	1003832	1004040	208	81b2188efe273b3af398d3f34fe9b44ae8dfdedfaa566815b1aae1981aa4d524	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0024	HAMLET	1005116	1005331	215	c8882baa993a8b93d7b091efbe20527abe422a97148f604fd0883ee440c36b9a	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0025	HAMLET	1006369	1006603	234	3ec7dec7333c497c8cc59e9ee77fe1d7cbe013aae46d924b983a98bc8a898aa5	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0026	HAMLET	1007578	1007803	225	654a77669f7549a3c5db43ec73f117f216e917b6e989b68e1568e0770632b873	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0027	HAMLET	1008810	1009047	237	9e19edddec9a6a7f02a19493296058eec80d85f08ab4bc639696cc4733047829	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0028	HAMLET	1010061	1010268	207	81999fa2412dfeea45c86f993f5f30aee3f042d885795293f4ecf385efbf3462	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0029	HAMLET	1011338	1011555	217	247247569849460a55845cf09dbb275d1436319497fed5139ece2ba94e7126c6	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0030	HAMLET	1012562	1012806	244	18d981bfa66d31181e6e79838b640ae4b81902744a93dcb75700d7af2650a1b1	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0031	HAMLET	1013791	1014022	231	d2bb816041424f7c1c8fd8f1abebc8334eac2490102aa253f99bab49106468b7	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0032	HAMLET	1015042	1015274	232	ea32db53f25e0057995f14460d8466efcc30b34bea6514866bf74a24471a8641	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0033	HAMLET	1016281	1016506	225	1c990e0ef0391c459959302fa8e138e1f555ac4a56da84f006aa4984e87b7f71	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0034	HAMLET	1017553	1017768	215	80185622727e683c72b7f920f50ae9037e7add23c9f007efe419d3d93b3ea13d	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0035	HAMLET	1018787	1019001	214	3927ecca4b1de5c26ec8e76797ead3ff0d23095a0b763b66fa06cefb912d57b3	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0036	HAMLET	1020004	1020225	221	484ccf8ce5ca6521bf96071a793908294254090b129e022359f5d8d1be77fe90	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0037	HAMLET	1021264	1021469	205	39117c219d101863389b07b3919e8934534a4317dc2522906ba25f3a2270849c	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0038	HAMLET	1022493	1022700	207	064175a87953903a742ffb73b45e9ec2935ba32e47249548284de9c5aea9b708	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0039	HAMLET	1023760	1023990	230	5273dfa150ff4b4996025de725b007ce5b7e2f12616ea5537067b1db2afb19f9	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0040	HAMLET	1024988	1025206	218	c049512cd01be08aeb7092a08c10b2517e3ca11bbd02eb19f0bc6c2e22fe8aa3	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0041	HAMLET	1026237	1026453	216	bf3adaf9654e95a4a22101965638cf5aa105ec629436d11bdcfa372ff0875767	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0042	HAMLET	1027499	1027734	235	2ec9298cdef9b940d3daf3fbbb1104e26cf0d189cab0cc6c24f4772befb1ef24	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0043	HAMLET	1028722	1028966	244	dd79f733b6d42c88cfcc11b243b217375c07cd4889b0d7f4f0d859a02526787d	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0044	HAMLET	1029988	1030225	237	e344f426dd0e9a60bbd879d5e6882947dd324562b4fa5ca4ff45297a893f1979	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0045	HAMLET	1031226	1031448	222	a2c7773fe939fe0650515580122e2c1b572707a18813a9eb4e8047b7c5510194	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0046	HAMLET	1032452	1032663	211	c1949ae9bc845f5fe37823a644d44a71ef242d8ed5a93e0a1b2f004f076234bd	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0047	HAMLET	1033743	1034012	269	8deb9b7a63bde48cc5f475740f30b502ffea6db79f36088b59c094d4e5ac1b13	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0048	HAMLET	1034993	1035196	203	ee88aacbc9a35d117559c055844cd3925c12caad66b9db663f189bc1f690fb67	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0049	HAMLET	1036209	1036445	236	998684ab8d8260ec583c9769b6d2e92343757dd045e32fdc50ceef033337ebb7	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0050	HAMLET	1037482	1037706	224	2277bec94b8c54b29ad51bbe519e07ce8e87246303f9ae4686b4d7f66673f298	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0051	HAMLET	1038686	1038900	214	3560448b2a73f216660a43cf72ab2a4198cee9fbe5e756b0af88e78d9fe44a88	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0052	HAMLET	1039908	1040136	228	5b24fbd9bde51afdff90238bd6d3ca9c33599c52d8e341d2b5b7ed783e301063	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0053	HAMLET	1041154	1041371	217	3b1c61d4f74f9717af592f6a90293d2b0d5b4902fadd7d1ac6104376fcc6ffd6	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0054	HAMLET	1042461	1042665	204	3a996b3713c2aca71fbec51aac92634510a8e1495f103b9c01d62d96e35823b6	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0055	HAMLET	1043645	1043851	206	8331e99596f7e0b51d15c3f30b4accbb987deb19a524020097092b9e10e6eb8e	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0056	HAMLET	1044915	1045186	271	49ace2d84bc60494aa3d92deaa5626779cb81747f592faa2e8915d82ee3f9dfc	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0057	HAMLET	1046149	1046360	211	f5104e804fed91ba4ef529a26aebda3f09a9baa686cd03a8b21f2902bcec81a6	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0058	HAMLET	1047400	1047648	248	2e520bb1b1f84afbd59c38ceb7d8b28f99a3a0abf504deccaa8196921fc171f0	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0059	HAMLET	1048668	1048883	215	4b658067527b2c6044472acab26b976eab7c0229bfdbb7b63f0f63fbe7aa124c	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0060	HAMLET	1049868	1050098	230	5b261aa265157c3d4277bc21454c60d368f21b7444b83a34a7bf1940e803c398	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0061	HAMLET	1051105	1051317	212	a42151497afbf3c61a49c01c60c90f738cbf48ddb7581080319fceb55de449f0	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0062	HAMLET	1052371	1052592	221	ecb7cfd56b74a499ae8c6aba49ebbed9e01ee0997238636b5d6e5b809b07d324	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0063	HAMLET	1053629	1053835	206	1ab8ae4b8633af554e3009f8c963669d016ce831cd2c3ca2c7782a3b0030cc8b	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0064	HAMLET	1054860	1055087	227	c39d4d62a14b832f492f7164ebd932a6f404e0eaa321a92c623d19d31bcb7cbe	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0065	HAMLET	1056097	1056300	203	c9ee3839b34de1cf9dd1d013e8ebf0b2e82c0413abc7fced3540b81868d2f1ac	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0066	HAMLET	1057372	1057598	226	36bd2b0246796ef366b7c35ded91c77d716ea1a6e2e624e37fc7bd62ad208d71	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0067	HAMLET	1058597	1058801	204	70009bed0f02c3c547ee34461138423125b8b7e486b30209bb60d8286e289dd1	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0068	HAMLET	1059817	1060032	215	1de1c1c7c6baf40ae35b60d572953ca1a70c13825be9bc11d70662a12bdf9441	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0069	HAMLET	1061070	1061294	224	fe1145a187143f27d2ac9fa2e4133579e26d194a4b64e25a57be4577398e969c	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0070	HAMLET	1062330	1062562	232	4d0e04dd2792270198e0b0cdfc4aa3733ee957ee43945e7767f0dc5cdfff43fc	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0071	HAMLET	1063601	1063824	223	4f26684b6f4c057f98e4d4ef1409b1a0db838c3700c02d83d4976cda1d0bb1c7	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0072	HAMLET	1064833	1065036	203	d1719e300ce38a8be9058083a287133a953cd18b0caaa1dcaa7c23a0d13fa376	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0073	HAMLET	1066051	1066296	245	322e8a0406c457802a88df7bd6487c9a69ea6c53861000ec2bc1c0f7db332c2b	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0074	HAMLET	1067306	1067546	240	8356bac591ba4e74c43ba618cfbf651b3aad45a79786de4b76131f06bc12c0e6	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0075	HAMLET	1068532	1068738	206	673aac68f677086b05154e16a18a41c98e7b2e59ffec7ef7b93ee3b05b8c2321	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0076	HAMLET	1069786	1069999	213	963cbc62984cfb1dbe5ec0b9d1d3c305c683bae490269deb8fb732eb3274d9da	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0077	HAMLET	1071008	1071211	203	0bd77b2bfd787e2e712d243b6022c627facb97936fe3faddd2fe6cbecb272c36	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0078	HAMLET	1072264	1072466	202	efec01ee9286b948e9750a6ff95f1fe5ae8192739beff4e78d048b6d285ae240	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0079	HAMLET	1073505	1073733	228	2ae72f4d95ce77983d8545de767ac59b2f221b2cf9011186c8c728b8a17ff965	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0080	HAMLET	1074745	1074987	242	63b695724e88a9911820ece2fc9d8726c129fda83ba0a2f469f30240c4e2de3c	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0081	HAMLET	1075994	1076223	229	0d45fbb8ed9ea078d1787a3ccdde41437d517293580663231a99fa256de45bb2	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0082	HAMLET	1077228	1077437	209	5373f151c61f225f38373e7d738ee6c75d622eeb199d3f00f1ba8a2459a1d0df	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0083	HAMLET	1078525	1078736	211	73bf57b2ea4ff262d93b96040a456eefe040ce9a0d6dc6c3d1df0d38a9fb5d00	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0084	HAMLET	1079741	1079961	220	3776b1502259809844abca38a2ca21122d04728bc99b1a9dec77f495649981af	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0085	HAMLET	1081028	1081254	226	9d27475c1238f47039cf27b6b1678223a7804cf57e6d227d2e92c922741c68a9	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0086	HAMLET	1082227	1082459	232	e9994ae4bfc9c6430cfa897421ff812c9a89aa7858c14fe1e086ce414af8eed1	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0087	HAMLET	1083456	1083680	224	d42c597646f652384766e849aef863f30f884788e408650cb8ebb8cadb49a93e	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0088	HAMLET	1084712	1084941	229	9d58d0a5d858f7ff06724323b4bbcb4d5b5bfb328133ea866994a3e712fe9521	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0089	HAMLET	1085973	1086204	231	83983ca7b4175335fc8483b7db2658ba91be96ccb95a161792fcda832ef34a97	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0090	HAMLET	1087184	1087385	201	94195cc92217269c404269bb2c36c7227c56a0e9140eadeb71da028bab0cead7	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0091	HAMLET	1088427	1088638	211	984b41d38c6c801eaf29cc44d357fda48cdc51c8fe5eca49d170b3cab54e97a0	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0092	HAMLET	1089691	1089927	236	10172183291f174a5ac53625596726f12f0c322e665b76b3b983f7fcad7e53b4	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0093	HAMLET	1090927	1091163	236	ed391ad2bed60c02b28c952ca17926316d9f07a50810fe291c14744c60888fb8	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0094	HAMLET	1092157	1092368	211	7f2d61833c9c9b153e3fb23bde022eb7f14c7750d52f00a216bd66347bb4e619	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0095	HAMLET	1093433	1093648	215	f99390962fc8f5971c62c140f18217089a7bb768a211af18fc2e88b85a59e5d5	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0096	HAMLET	1094662	1094899	237	246acb863fa699b263981a38aa9193a9bf84956591050ef5d0f20c039710eb23	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0097	HAMLET	1095892	1096121	229	672fb5e692491e838cc77ce08f5d2dbdd253bd793a83eddb982a3c61cdd12b2d	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0098	HAMLET	1097171	1097387	216	bc72ea05fca8fc230558f270fdc4a807d7d43d986903da013dde60d3cac2d37d	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0099	HAMLET	1098420	1098646	226	802a1b3d9daa03e5baf7e28df38bd5112cfe6171730fb5b8d6a439cced2df600	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0100	HAMLET	1099641	1099870	229	731bd17468f638c5ab3d3883f80072f03e1c888bc68bc7437c2f91eb690f77cf	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0101	HAMLET	1100909	1101117	208	38b3602e2b6aa0fd3e37faa143599de0e1756518ad2c923bd5f9359170c39451	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0102	HAMLET	1102133	1102345	212	a4c33101eaf7e0a9a2c33f7edbd813b1ca9838e37e85ca15309657c74cc258fd	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0103	HAMLET	1103398	1103632	234	d6d3f9caa8006a8392db77b9d69cd5de8add86796fb477c880049179fbb1b825	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0104	HAMLET	1104641	1104869	228	299be6124caf7cd9ea15f51540d9fcae932f39c472bab8229d3c537f274fce2a	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0105	HAMLET	1105867	1106068	201	4d8816882d0394ac85fea278d679daf660056f58e965e53afbb13c244ceaea19	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0106	HAMLET	1107121	1107323	202	0bda4bb450d8abd60a2d99d211c0250efa5f43cc3c02540a21feab94d39b4498	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0107	HAMLET	1108359	1108596	237	1404365c04fda94f63347a49efbc455c7979da7666ba398526d4a5fe2cda5fb7	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0108	HAMLET	1109582	1109819	237	028a1e5620c5e05e70779020930d56ecd7f5a8597b79d21a8f770ed9908c0b4b	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0109	HAMLET	1110842	1111079	237	799433f8bef2dfdc503ee88f6dc571ab7c2477a5c2e555089f673641330826e5	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0110	HAMLET	1112089	1112290	201	0e99edab9c854b7c62f50dc5a1a3bdb2dafd26ce2022057f86dfaba7ae3194ea	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0111	HAMLET	1113329	1113556	227	24364a2e7fae001c3231f184b280ab9a6d5e63284aca51cb29bbe5488abaf507	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0112	HAMLET	1114551	1114771	220	387feccaab668cf5a5744964f474054543320577c2e3f37d2f9951c0a4b3e978	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0113	HAMLET	1115830	1116039	209	e07f3342bb00ac161b4fdfce575b11346bb4829e6be5bb3494a2df749cd4a28d	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0114	HAMLET	1117045	1117296	251	bed08c1dca9b4a48670b3f140540fa0db4a6c971e87981a272e28cf8cc0d72a2	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0115	HAMLET	1118318	1118525	207	220b306abbe395506c3c7b35bc58a4fee60cace5d7138e62b765991df0b60944	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0116	HAMLET	1119530	1119752	222	36ddf6462bdfd03f6590ee66fe9fdbdfc9669f30b25588baf811882698b06f03	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0117	HAMLET	1120779	1121015	236	99a2f7dfbcfead564865e8054baa4510733fd33b4331fd0b6ae3ee2ee978e82d	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0118	HAMLET	1122015	1122251	236	d8df543f1010c579fac282d0eadd5fec0fa329cf02b5ac57816f4a8dba5fcc3d	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0119	HAMLET	1123273	1123510	237	3eee6cebfa9e81f622fbf85b9032fcd9718dae9044b93ae013beb7f73ddfa846	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0120	HAMLET	1124527	1124742	215	57aeab4a86ad30f2d6fdf0bc0ee840b94985ad0321143cb5e9e90496a7ed6af4	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0121	HAMLET	1125764	1125984	220	6998911c7366ca66bba90544b7eddec1a4f294aea74c2efc8cfbb4f4da963049	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0122	HAMLET	1126998	1127242	244	b7b26682863dac7873dcaf2c039be3be5eb9d4050e55d6178d85aaa5bafd4897	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0123	HAMLET	1128244	1128470	226	a708b3ab941e86ca82b525d9f64b7de5390ff84968ea1be9688eeecc44b45e81	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0124	HAMLET	1129499	1129758	259	fbe645574d31b2f988aff7bdf1100167e26d3bc08866c5450a1adf3a9b303512	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0125	HAMLET	1130762	1130965	203	7008b3bf19a85003d176df940029cea16df054cc6bc797df06d4d0eeb017bb8d	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0126	HAMLET	1131965	1132197	232	f0c755c7c4a8ccaa60422c1575b263e24ac48d0384f676bcce5c7e1f263a583f	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0127	HAMLET	1133210	1133430	220	fa13869bf95c7760b9fee61dfba6541ca18035b2b1d38259e5f274b5b3067e74	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0128	HAMLET	1134509	1134718	209	204e20ad653964826cdfd7c4ea446ee8f2f35c343e4dee05cbeda13ddadccedf	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0129	HAMLET	1135708	1135925	217	e2f01416d2a4b4aff509c0fc528c564dc73107a21f230bae66d86940ce851230	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0130	HAMLET	1136946	1137179	233	42be80ba0361bb1e7751076c37502e178c99f938b0e00f22a3a853681dd1e815	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0131	HAMLET	1138238	1138454	216	843b34eb0b53fffdebaabbafe072307d6ab8578dda9d86e10221cc404103d1af	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0132	HAMLET	1139455	1139680	225	f80f5f4d8dbcf7114a5114aa1d24d216bef4fa2e41c4b26b1dfc7491207efea4	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0133	HAMLET	1140685	1140890	205	94d4af1d6aa997c2f8d92cd47582cfeab7823ff1256655dfeef5b600e01d7f4e	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0134	HAMLET	1141944	1142168	224	158a497dafa51d4917ef0c06b61b96fc1f38912f37aa936a7f774fc8a8272c1e	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0135	HAMLET	1143182	1143409	227	b248c093c4ae9fca6a14b5006334786fef33bcb43e32d7c313875d00a8bc8ffb	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0136	HAMLET	1144411	1144620	209	461436bff8b9a75796a8f34da6b7f2abc37ec44312767c029cfa0c25e17a9d9e	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0137	HAMLET	1145677	1145914	237	7679926229eb2bd065954c0f407b0acb8aa77528ca1fff678f021dc45a73f4ab	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0138	HAMLET	1146903	1147108	205	fb302c4c633785fadb289cf084c95279727269ec6c1811bf967c075bc160b6ae	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0139	HAMLET	1148143	1148347	204	6e15c53d388c48d448fee9a649887d69d128fce15406695e712f9b103ab25a04	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0140	HAMLET	1149406	1149623	217	88c2f7aff5224b00f510bd08dd48c7159d1789e31ef287f2f7d43bd1a1d3c330	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0141	HAMLET	1150630	1150855	225	45090bfeff4c00b0adabdf063900d5d6e22672b1e7cec4503ec79b24c79b0b2a	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0142	HAMLET	1151886	1152088	202	d5f120827b52b7d91b74154fc2b188a2a903a0ec8320229478274c3ce36555b0	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0143	HAMLET	1153142	1153381	239	a1ae9f7fc87c5651333628a7a929472d13a2ec54ba4089e95f79a5b9e1593a5e	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0144	HAMLET	1154399	1154608	209	b00edd13ff2ce0034cb05d2cb144c6329df7359c76a2a288d12a77c994755320	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0145	HAMLET	1155601	1155828	227	cc8af9d3b6c8c54f1618d7f66d99edc841a6230c347f109edc6534192c804d53	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0146	HAMLET	1156861	1157074	213	26e965c1a7d630e4bd870c82b6dcd7934e5c733536825f66a70054876acd5e6c	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0147	HAMLET	1158090	1158302	212	0e20f04530a0cad74e17009f3313c0234fd67abc8c9db6db9c603e1a2cbd33a7	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
