# train_f26 log — F26 EFFIC TRAIN-COORD v2 (PREREG_FORKROUND.md §5b)
# mode=0 full F26 (fit b,w1..w9)
ncells_training_released=4222
# E_ref per (fam,dslot) [lower median cumE over released training cells]
eref	0	0	111
eref	0	1	222
eref	0	2	444
eref	0	3	888
eref	0	4	1000
eref	0	5	1000
eref	0	6	1000
eref	1	0	142
eref	1	1	285
eref	1	2	571
eref	1	3	1000
eref	1	4	1000
eref	1	5	1000
eref	1	6	1000
eref	2	0	1000
eref	2	1	1000
eref	2	2	1000
eref	2	3	1000
eref	2	4	1000
eref	2	5	1000
eref	2	6	1000
eref	3	0	200
eref	3	1	400
eref	3	2	800
eref	3	3	1000
eref	3	4	1000
eref	3	5	1000
eref	3	6	1000
eref	4	0	333
eref	4	1	500
eref	4	2	571
eref	4	3	1000
eref	4	4	1000
eref	4	5	1000
eref	4	6	1000
eref	5	0	200
eref	5	1	400
eref	5	2	800
eref	5	3	1000
eref	5	4	1000
eref	5	5	1000
eref	5	6	1000
eref	6	0	45
eref	6	1	90
eref	6	2	181
eref	6	3	363
eref	6	4	380
eref	6	5	761
eref	6	6	1000
eref	7	0	250
eref	7	1	500
eref	7	2	500
eref	7	3	1000
eref	7	4	1000
eref	7	5	1000
eref	7	6	1000
eref	8	0	47
eref	8	1	95
eref	8	2	190
eref	8	3	380
eref	8	4	390
eref	8	5	780
eref	8	6	1000
F26	init	obj=3880000000	v12=0	mccn=0	mccd=3880	v3bad=1
F26	sw1	p6	try1	obj1184553790	dobj-2376527	acc1
F26	sw1	p7	try50	obj1092836990	dobj-91716800	acc1
F26	sw1	p7	try8	obj1079085662	dobj-13751328	acc1
F26	sw1	p7	try1	obj1077384656	dobj-1701006	acc1
F26	sw1	p8	try50	obj1077347276	dobj-37380	acc1
F26	sw1	p8	try8	obj1077341221	dobj-6055	acc1
F26	sw1	p8	try1	obj1077341221	dobj0	acc0
F26	sw1	p8	try-1	obj1077342428	dobj1207	acc0
F26	sw1	p9	try50	obj1008174195	dobj-69167026	acc1
F26	sw1	p9	try8	obj997679276	dobj-10494919	acc1
F26	sw1	p9	try1	obj996176904	dobj-1502372	acc1
F26	sweep1	accepted=26	best=996176904
F26	sw2	p0	try50	obj829403104	dobj-166773800	acc1
F26	sw2	p0	try8	obj804678304	dobj-24724800	acc1
F26	sw2	p0	try1	obj801625702	dobj-3052602	acc1
F26	sw2	p1	try50	obj692920608	dobj-108705094	acc1
F26	sw2	p1	try8	obj676664754	dobj-16255854	acc1
F26	sw2	p1	try1	obj674053468	dobj-2611286	acc1
F26	sw2	p2	try50	obj668843326	dobj-5210142	acc1
F26	sw2	p2	try8	obj668374285	dobj-469041	acc1
F26	sw2	p2	try1	obj668313025	dobj-61260	acc1
F26	sw2	p3	try50	obj668313025	dobj0	acc0
F26	sw2	p3	try-50	obj668313025	dobj0	acc0
F26	sw2	p3	try8	obj668313025	dobj0	acc0
F26	sw2	p3	try-8	obj668313025	dobj0	acc0
F26	sw2	p3	try1	obj668313025	dobj0	acc0
F26	sw2	p3	try-1	obj668313025	dobj0	acc0
F26	sw2	p4	try50	obj640548693	dobj-27764332	acc1
F26	sw2	p4	try8	obj636480451	dobj-4068242	acc1
F26	sw2	p4	try1	obj635879050	dobj-601401	acc1
F26	sw2	p5	try50	obj546717622	dobj-89161428	acc1
F26	sw2	p5	try8	obj533685607	dobj-13032015	acc1
F26	sw2	p5	try1	obj532128034	dobj-1557573	acc1
F26	sw2	p6	try50	obj460312189	dobj-71815845	acc1
F26	sw2	p6	try8	obj449958940	dobj-10353249	acc1
F26	sw2	p6	try1	obj448709539	dobj-1249401	acc1
F26	sw2	p7	try50	obj416872939	dobj-31836600	acc1
F26	sw2	p7	try8	obj412702443	dobj-4170496	acc1
F26	sw2	p7	try1	obj412199041	dobj-503402	acc1
F26	sw2	p8	try50	obj412173781	dobj-25260	acc1
F26	sw2	p8	try8	obj412170549	dobj-3232	acc1
F26	sw2	p8	try1	obj412169746	dobj-803	acc1
F26	sw2	p9	try50	obj384308848	dobj-27860898	acc1
F26	sw2	p9	try8	obj380176268	dobj-4132580	acc1
F26	sw2	p9	try1	obj379985353	dobj-190915	acc1
F26	sweep2	accepted=27	best=379985353
F26	sw3	p0	try50	obj317798521	dobj-62186832	acc1
F26	sw3	p0	try8	obj309555954	dobj-8242567	acc1
F26	sw3	p0	try1	obj308556369	dobj-999585	acc1
F26	sw3	p1	try50	obj276432416	dobj-32123953	acc1
F26	sw3	p1	try8	obj271924258	dobj-4508158	acc1
F26	sw3	p1	try1	obj271161322	dobj-762936	acc1
F26	sw3	p2	try50	obj270283413	dobj-877909	acc1
F26	sw3	p2	try8	obj270386954	dobj103541	acc0
F26	sw3	p2	try-8	obj270805113	dobj521700	acc0
F26	sw3	p2	try1	obj270274043	dobj-9370	acc1
F26	sw3	p3	try50	obj270274043	dobj0	acc0
F26	sw3	p3	try-50	obj270274043	dobj0	acc0
F26	sw3	p3	try8	obj270274043	dobj0	acc0
F26	sw3	p3	try-8	obj270274043	dobj0	acc0
F26	sw3	p3	try1	obj270274043	dobj0	acc0
F26	sw3	p3	try-1	obj270274043	dobj0	acc0
F26	sw3	p4	try50	obj270032662	dobj-241381	acc1
F26	sw3	p4	try8	obj270087918	dobj55256	acc0
F26	sw3	p4	try-8	obj270029620	dobj-3042	acc1
F26	sw3	p4	try1	obj270045819	dobj16199	acc0
F26	sw3	p4	try-1	obj270004723	dobj-24897	acc1
F26	sw3	p5	try50	obj242734580	dobj-27270143	acc1
F26	sw3	p5	try8	obj239141312	dobj-3593268	acc1
F26	sw3	p5	try1	obj238770970	dobj-370342	acc1
F26	sw3	p6	try50	obj220896058	dobj-17874912	acc1
F26	sw3	p6	try8	obj219076058	dobj-1820000	acc1
F26	sw3	p6	try1	obj218871335	dobj-204723	acc1
F26	sw3	p7	try50	obj217037106	dobj-1834229	acc1
F26	sw3	p7	try8	obj216830338	dobj-206768	acc1
F26	sw3	p7	try1	obj216805594	dobj-24744	acc1
F26	sw3	p8	try50	obj216792394	dobj-13200	acc1
F26	sw3	p8	try8	obj216790369	dobj-2025	acc1
F26	sw3	p8	try1	obj216789970	dobj-399	acc1
F26	sw3	p9	try50	obj211133614	dobj-5656356	acc1
F26	sw3	p9	try8	obj210293522	dobj-840092	acc1
F26	sw3	p9	try1	obj209964979	dobj-328543	acc1
F26	sweep3	accepted=26	best=209964979
F26	sw4	p0	try50	obj207870447	dobj-2094532	acc1
F26	sw4	p0	try8	obj208603459	dobj733012	acc0
F26	sw4	p0	try-8	obj207430337	dobj-440110	acc1
F26	sw4	p0	try1	obj207469273	dobj38936	acc0
F26	sw4	p0	try-1	obj207395997	dobj-34340	acc1
F26	sw4	p1	try50	obj202836426	dobj-4559571	acc1
F26	sw4	p1	try8	obj202253980	dobj-582446	acc1
F26	sw4	p1	try1	obj202229857	dobj-24123	acc1
F26	sw4	p2	try50	obj202800800	dobj570943	acc0
F26	sw4	p2	try-50	obj201529735	dobj-700122	acc1
F26	sw4	p2	try8	obj201664042	dobj134307	acc0
F26	sw4	p2	try-8	obj201532370	dobj2635	acc0
F26	sw4	p2	try1	obj201532414	dobj2679	acc0
F26	sw4	p2	try-1	obj201609569	dobj79834	acc0
F26	sw4	p3	try50	obj201529735	dobj0	acc0
F26	sw4	p3	try-50	obj201529735	dobj0	acc0
F26	sw4	p3	try8	obj201529735	dobj0	acc0
F26	sw4	p3	try-8	obj201529735	dobj0	acc0
F26	sw4	p3	try1	obj201529735	dobj0	acc0
F26	sw4	p3	try-1	obj201529735	dobj0	acc0
F26	sw4	p4	try50	obj202538956	dobj1009221	acc0
F26	sw4	p4	try-50	obj200535955	dobj-993780	acc1
F26	sw4	p4	try8	obj200725572	dobj189617	acc0
F26	sw4	p4	try-8	obj200361477	dobj-174478	acc1
F26	sw4	p4	try1	obj200383928	dobj22451	acc0
F26	sw4	p4	try-1	obj200341964	dobj-19513	acc1
F26	sw4	p5	try50	obj204832795	dobj4490831	acc0
F26	sw4	p5	try-50	obj202739578	dobj2397614	acc0
F26	sw4	p5	try8	obj200676376	dobj334412	acc0
F26	sw4	p5	try-8	obj200305277	dobj-36687	acc1
F26	sw4	p5	try1	obj200214488	dobj-90789	acc1
F26	sw4	p6	try50	obj212261935	dobj12047447	acc0
F26	sw4	p6	try-50	obj198851221	dobj-1363267	acc1
F26	sw4	p6	try8	obj198323263	dobj-527958	acc1
F26	sw4	p6	try1	obj198277516	dobj-45747	acc1
F26	sw4	p7	try50	obj198076723	dobj-200793	acc1
F26	sw4	p7	try8	obj198069454	dobj-7269	acc1
F26	sw4	p7	try1	obj198068932	dobj-522	acc1
F26	sw4	p8	try50	obj198059272	dobj-9660	acc1
F26	sw4	p8	try8	obj198058120	dobj-1152	acc1
F26	sw4	p8	try1	obj198057837	dobj-283	acc1
F26	sw4	p9	try50	obj194865567	dobj-3192270	acc1
F26	sw4	p9	try8	obj194330671	dobj-534896	acc1
F26	sw4	p9	try1	obj194354647	dobj23976	acc0
F26	sw4	p9	try-1	obj194358553	dobj27882	acc0
F26	sweep4	accepted=23	best=194330671
F26	sw5	p0	try50	obj200590349	dobj6259678	acc0
F26	sw5	p0	try-50	obj199162005	dobj4831334	acc0
F26	sw5	p0	try8	obj194597243	dobj266572	acc0
F26	sw5	p0	try-8	obj194348191	dobj17520	acc0
F26	sw5	p0	try1	obj194348470	dobj17799	acc0
F26	sw5	p0	try-1	obj194317314	dobj-13357	acc1
F26	sw5	p1	try50	obj189870485	dobj-4446829	acc1
F26	sw5	p1	try8	obj189472000	dobj-398485	acc1
F26	sw5	p1	try1	obj189435915	dobj-36085	acc1
F26	sw5	p2	try50	obj190172961	dobj737046	acc0
F26	sw5	p2	try-50	obj188802446	dobj-633469	acc1
F26	sw5	p2	try8	obj188765118	dobj-37328	acc1
F26	sw5	p2	try1	obj188760093	dobj-5025	acc1
F26	sw5	p3	try50	obj188760093	dobj0	acc0
F26	sw5	p3	try-50	obj188760093	dobj0	acc0
F26	sw5	p3	try8	obj188760093	dobj0	acc0
F26	sw5	p3	try-8	obj188760093	dobj0	acc0
F26	sw5	p3	try1	obj188760093	dobj0	acc0
F26	sw5	p3	try-1	obj188760093	dobj0	acc0
F26	sw5	p4	try50	obj189724871	dobj964778	acc0
F26	sw5	p4	try-50	obj187817290	dobj-942803	acc1
F26	sw5	p4	try8	obj187992880	dobj175590	acc0
F26	sw5	p4	try-8	obj187640155	dobj-177135	acc1
F26	sw5	p4	try1	obj187651618	dobj11463	acc0
F26	sw5	p4	try-1	obj187632907	dobj-7248	acc1
F26	sw5	p5	try50	obj191234374	dobj3601467	acc0
F26	sw5	p5	try-50	obj191360214	dobj3727307	acc0
F26	sw5	p5	try8	obj187734424	dobj101517	acc0
F26	sw5	p5	try-8	obj187785388	dobj152481	acc0
F26	sw5	p5	try1	obj187728049	dobj95142	acc0
F26	sw5	p5	try-1	obj187728181	dobj95274	acc0
F26	sw5	p6	try50	obj199343642	dobj11710735	acc0
F26	sw5	p6	try-50	obj186780436	dobj-852471	acc1
F26	sw5	p6	try8	obj186173685	dobj-606751	acc1
F26	sw5	p6	try1	obj186117725	dobj-55960	acc1
F26	sw5	p7	try50	obj186117120	dobj-605	acc1
F26	sw5	p7	try8	obj186117120	dobj0	acc0
F26	sw5	p7	try-8	obj186117120	dobj0	acc0
F26	sw5	p7	try1	obj186117120	dobj0	acc0
F26	sw5	p7	try-1	obj186117120	dobj0	acc0
F26	sw5	p8	try50	obj186108780	dobj-8340	acc1
F26	sw5	p8	try8	obj186107565	dobj-1215	acc1
F26	sw5	p8	try1	obj186107565	dobj0	acc0
F26	sw5	p8	try-1	obj186107804	dobj239	acc0
F26	sw5	p9	try50	obj182859210	dobj-3248355	acc1
F26	sw5	p9	try8	obj182388190	dobj-471020	acc1
F26	sw5	p9	try1	obj182406039	dobj17849	acc0
F26	sw5	p9	try-1	obj182638397	dobj250207	acc0
F26	sweep5	accepted=18	best=182388190
F26	sw6	p0	try50	obj188261105	dobj5872915	acc0
F26	sw6	p0	try-50	obj187569915	dobj5181725	acc0
F26	sw6	p0	try8	obj182586590	dobj198400	acc0
F26	sw6	p0	try-8	obj182472926	dobj84736	acc0
F26	sw6	p0	try1	obj182397506	dobj9316	acc0
F26	sw6	p0	try-1	obj182383298	dobj-4892	acc1
F26	sw6	p1	try50	obj178118996	dobj-4264302	acc1
F26	sw6	p1	try8	obj177766544	dobj-352452	acc1
F26	sw6	p1	try1	obj177754923	dobj-11621	acc1
F26	sw6	p2	try50	obj178397986	dobj643063	acc0
F26	sw6	p2	try-50	obj176928249	dobj-826674	acc1
F26	sw6	p2	try8	obj177138270	dobj210021	acc0
F26	sw6	p2	try-8	obj176919660	dobj-8589	acc1
F26	sw6	p2	try1	obj176952498	dobj32838	acc0
F26	sw6	p2	try-1	obj176906040	dobj-13620	acc1
F26	sw6	p3	try50	obj176906040	dobj0	acc0
F26	sw6	p3	try-50	obj176906040	dobj0	acc0
F26	sw6	p3	try8	obj176906040	dobj0	acc0
F26	sw6	p3	try-8	obj176906040	dobj0	acc0
F26	sw6	p3	try1	obj176906040	dobj0	acc0
F26	sw6	p3	try-1	obj176906040	dobj0	acc0
F26	sw6	p4	try50	obj177821388	dobj915348	acc0
F26	sw6	p4	try-50	obj176003274	dobj-902766	acc1
F26	sw6	p4	try8	obj176176191	dobj172917	acc0
F26	sw6	p4	try-8	obj175828240	dobj-175034	acc1
F26	sw6	p4	try1	obj175840351	dobj12111	acc0
F26	sw6	p4	try-1	obj175824431	dobj-3809	acc1
F26	sw6	p5	try50	obj178985992	dobj3161561	acc0
F26	sw6	p5	try-50	obj179913776	dobj4089345	acc0
F26	sw6	p5	try8	obj175818530	dobj-5901	acc1
F26	sw6	p5	try1	obj175908260	dobj89730	acc0
F26	sw6	p5	try-1	obj175956980	dobj138450	acc0
F26	sw6	p6	try50	obj188134869	dobj12316339	acc0
F26	sw6	p6	try-50	obj174319508	dobj-1499022	acc1
F26	sw6	p6	try8	obj173817963	dobj-501545	acc1
F26	sw6	p6	try1	obj173775077	dobj-42886	acc1
F26	sw6	p7	try50	obj173775077	dobj0	acc0
F26	sw6	p7	try-50	obj173775077	dobj0	acc0
F26	sw6	p7	try8	obj173775077	dobj0	acc0
F26	sw6	p7	try-8	obj173775077	dobj0	acc0
F26	sw6	p7	try1	obj173775077	dobj0	acc0
F26	sw6	p7	try-1	obj173775077	dobj0	acc0
F26	sw6	p8	try50	obj173768357	dobj-6720	acc1
F26	sw6	p8	try8	obj173767412	dobj-945	acc1
F26	sw6	p8	try1	obj173767412	dobj0	acc0
F26	sw6	p8	try-1	obj173767597	dobj185	acc0
F26	sw6	p9	try50	obj171052927	dobj-2714485	acc1
F26	sw6	p9	try8	obj170646416	dobj-406511	acc1
F26	sw6	p9	try1	obj170639409	dobj-7007	acc1
F26	sweep6	accepted=19	best=170639409
F26	sw7	p0	try50	obj177034505	dobj6395096	acc0
F26	sw7	p0	try-50	obj175276409	dobj4637000	acc0
F26	sw7	p0	try8	obj170923009	dobj283600	acc0
F26	sw7	p0	try-8	obj170638273	dobj-1136	acc1
F26	sw7	p0	try1	obj170622959	dobj-15314	acc1
F26	sw7	p1	try50	obj166384044	dobj-4238915	acc1
F26	sw7	p1	try8	obj166017139	dobj-366905	acc1
F26	sw7	p1	try1	obj165916799	dobj-100340	acc1
F26	sw7	p2	try50	obj166722120	dobj805321	acc0
F26	sw7	p2	try-50	obj165314100	dobj-602699	acc1
F26	sw7	p2	try8	obj165348369	dobj34269	acc0
F26	sw7	p2	try-8	obj165144894	dobj-169206	acc1
F26	sw7	p2	try1	obj165141797	dobj-3097	acc1
F26	sw7	p3	try50	obj165141797	dobj0	acc0
F26	sw7	p3	try-50	obj165141797	dobj0	acc0
F26	sw7	p3	try8	obj165141797	dobj0	acc0
F26	sw7	p3	try-8	obj165141797	dobj0	acc0
F26	sw7	p3	try1	obj165141797	dobj0	acc0
F26	sw7	p3	try-1	obj165141797	dobj0	acc0
F26	sw7	p4	try50	obj166006859	dobj865062	acc0
F26	sw7	p4	try-50	obj164290639	dobj-851158	acc1
F26	sw7	p4	try8	obj164452200	dobj161561	acc0
F26	sw7	p4	try-8	obj164190174	dobj-100465	acc1
F26	sw7	p4	try1	obj164198743	dobj8569	acc0
F26	sw7	p4	try-1	obj164187751	dobj-2423	acc1
F26	sw7	p5	try50	obj167152272	dobj2964521	acc0
F26	sw7	p5	try-50	obj168370852	dobj4183101	acc0
F26	sw7	p5	try8	obj164199880	dobj12129	acc0
F26	sw7	p5	try-8	obj164321876	dobj134125	acc0
F26	sw7	p5	try1	obj164193612	dobj5861	acc0
F26	sw7	p5	try-1	obj164239650	dobj51899	acc0
F26	sw7	p6	try50	obj174684734	dobj10496983	acc0
F26	sw7	p6	try-50	obj164623430	dobj435679	acc0
F26	sw7	p6	try8	obj165139118	dobj951367	acc0
F26	sw7	p6	try-8	obj163517302	dobj-670449	acc1
F26	sw7	p6	try1	obj163585844	dobj68542	acc0
F26	sw7	p6	try-1	obj163453337	dobj-63965	acc1
F26	sw7	p7	try50	obj163453337	dobj0	acc0
F26	sw7	p7	try-50	obj163453337	dobj0	acc0
F26	sw7	p7	try8	obj163453337	dobj0	acc0
F26	sw7	p7	try-8	obj163453337	dobj0	acc0
F26	sw7	p7	try1	obj163453337	dobj0	acc0
F26	sw7	p7	try-1	obj163453337	dobj0	acc0
F26	sw7	p8	try50	obj163448777	dobj-4560	acc1
F26	sw7	p8	try8	obj163448192	dobj-585	acc1
F26	sw7	p8	try1	obj163448192	dobj0	acc0
F26	sw7	p8	try-1	obj163448305	dobj113	acc0
F26	sw7	p9	try50	obj162033823	dobj-1414369	acc1
F26	sw7	p9	try8	obj161752711	dobj-281112	acc1
F26	sw7	p9	try1	obj161858755	dobj106044	acc0
F26	sw7	p9	try-1	obj161773193	dobj20482	acc0
F26	sweep7	accepted=17	best=161752711
F26	final	p0=268	p1=472	p2=21	p3=0	p4=-18	p5=237	p6=104	p7=345	p8=468	p9=469
# FINAL-ANSWER VETOES (v2: gate the final answer only)
final_obj=161752711
V1_theater_v12=175	-> VOID
V2_meanConfCorrect_num=3732324_den=3880	-> clear
V3_badslot=1	-> VOID
FINAL_VERDICT=VOID
