C events parsed: 2
C regions=3 starts: 0 44100 617400
C rg=1 rb=27 g=64627 m=7204 T=7087 st=0
C rg=1 rb=28 g=64627 m=7264 T=7087 st=0
C rg=1 rb=29 g=64627 m=7146 T=7087 st=0
C rg=1 rb=30 g=64627 m=7641 T=7087 st=0
C rg=1 rb=31 g=64627 m=6762 T=7087 st=0
C rg=1 rb=32 g=64627 m=7748 T=7087 st=0
C rg=1 rb=33 g=64627 m=6823 T=7087 st=0
C rg=1 rb=34 g=64627 m=7584 T=7087 st=0
C rg=1 rb=35 g=64627 m=7182 T=7087 st=0
C rg=1 rb=36 g=64627 m=7220 T=7087 st=0
C rg=1 rb=37 g=64627 m=7235 T=7087 st=0
C rg=1 rb=38 g=64627 m=7170 T=7087 st=0
C rg=1 rb=39 g=64627 m=7607 T=7087 st=0
C rg=1 rb=40 g=64627 m=6798 T=7087 st=0
C rg=1 rb=41 g=64627 m=7748 T=7087 st=0
C rg=1 rb=42 g=64627 m=6783 T=7087 st=0
C rg=1 rb=43 g=64627 m=7621 T=7087 st=0
C rg=1 rb=44 g=64627 m=7163 T=7087 st=0
C rg=1 rb=45 g=64627 m=7244 T=7087 st=0
C rg=1 rb=46 g=64627 m=7214 T=7087 st=0
C rg=1 rb=47 g=64627 m=7186 T=7087 st=0
C rg=1 rb=48 g=64627 m=7568 T=7087 st=0
C rg=1 rb=49 g=64627 m=6840 T=7087 st=0
C rg=1 rb=50 g=64627 m=7746 T=7087 st=0
C rg=1 rb=51 g=64627 m=6750 T=7087 st=0
C rg=1 rb=52 g=64627 m=7653 T=7087 st=0
C rg=1 rb=53 g=64627 m=7136 T=7087 st=0
C rg=1 rb=54 g=64627 m=7276 T=7087 st=0
C rg=1 rb=55 g=64627 m=7201 T=7087 st=0
C rg=1 rb=56 g=64627 m=7194 T=7087 st=0
C rg=1 rb=57 g=64627 m=7525 T=7087 st=0
C rg=1 rb=58 g=64627 m=6886 T=7087 st=0
C rg=1 rb=59 g=64627 m=7742 T=7087 st=0
C rg=1 rb=60 g=64627 m=6726 T=7087 st=0
C rg=1 rb=61 g=64627 m=7680 T=7087 st=0
C rg=1 rb=62 g=64627 m=7100 T=7087 st=0
C rg=1 rb=63 g=64627 m=7315 T=7087 st=0
C rg=1 rb=64 g=64627 m=7195 T=7087 st=0
C rg=1 rb=65 g=64627 m=7197 T=7087 st=0
C rg=1 rb=66 g=64627 m=7478 T=7087 st=0
C rg=1 rb=67 g=64627 m=6936 T=7087 st=0
C rg=1 rb=68 g=64627 m=7734 T=7087 st=0
C rg=1 rb=69 g=64627 m=6710 T=7087 st=0
C rg=1 rb=70 g=64627 m=7702 T=7087 st=0
C rg=1 rb=71 g=64627 m=7058 T=7087 st=0
C rg=1 rb=72 g=64627 m=7359 T=7087 st=0
C rg=1 rb=73 g=64627 m=7194 T=7087 st=0
C rg=1 rb=74 g=64627 m=7196 T=7087 st=0
C rg=1 rb=75 g=64627 m=7430 T=7087 st=0
C rg=1 rb=76 g=64627 m=6986 T=7087 st=0
C rg=1 rb=77 g=64627 m=7724 T=7087 st=0
C rg=1 rb=78 g=64627 m=6703 T=7087 st=0
C rg=1 rb=79 g=64627 m=7718 T=7087 st=0
C rg=1 rb=80 g=64627 m=7010 T=7087 st=0
C rg=1 rb=81 g=64627 m=7406 T=7087 st=0
C rg=1 rb=82 g=64627 m=7196 T=7087 st=0
C rg=1 rb=83 g=64627 m=7193 T=7087 st=0
C rg=1 rb=84 g=64627 m=7381 T=7087 st=0
C rg=1 rb=85 g=64627 m=7035 T=7087 st=0
C rg=1 rb=86 g=64627 m=7709 T=7087 st=0
C rg=1 rb=87 g=64627 m=6705 T=7087 st=0
C rg=1 rb=88 g=64627 m=7731 T=7087 st=0
C rg=1 rb=89 g=64627 m=6960 T=7087 st=0
C rg=1 rb=90 g=64627 m=7455 T=7087 st=0
C rg=1 rb=91 g=64627 m=7198 T=7087 st=0
C rg=1 rb=92 g=64627 m=7193 T=7087 st=0
C rg=1 rb=93 g=64627 m=7335 T=7087 st=0
C rg=1 rb=94 g=64627 m=7080 T=7087 st=0
C rg=1 rb=95 g=64627 m=7690 T=7087 st=0
C rg=1 rb=96 g=64627 m=6717 T=7087 st=0
C rg=1 rb=97 g=64627 m=7739 T=7087 st=0
C rg=1 rb=98 g=64627 m=6910 T=7087 st=0
C rg=1 rb=99 g=64627 m=7503 T=7087 st=0
C rg=1 rb=100 g=64627 m=7198 T=7087 st=0
C rg=1 rb=101 g=64627 m=7196 T=7087 st=0
C rg=1 rb=102 g=64627 m=7294 T=7087 st=0
C rg=1 rb=103 g=64627 m=7118 T=7087 st=0
C rg=1 rb=104 g=64627 m=7666 T=7087 st=0
C rg=1 rb=105 g=64627 m=6738 T=7087 st=0
C rg=1 rb=106 g=64627 m=7745 T=7087 st=0
C rg=1 rb=107 g=64627 m=6861 T=7087 st=0
C rg=1 rb=108 g=64627 m=7549 T=7087 st=0
C rg=1 rb=109 g=64627 m=7193 T=7087 st=0
C rg=1 rb=110 g=64627 m=7206 T=7087 st=0
C rg=1 rb=111 g=64627 m=7258 T=7087 st=0
C rg=1 rb=112 g=64627 m=7149 T=7087 st=0
C rg=1 rb=113 g=64627 m=7637 T=7087 st=0
C rg=1 rb=114 g=64627 m=6767 T=7087 st=0
C rg=1 rb=115 g=64627 m=7747 T=7087 st=0
C rg=1 rb=116 g=64627 m=6816 T=7087 st=0
C rg=1 rb=117 g=64627 m=7590 T=7087 st=0
C rg=1 rb=118 g=64627 m=7180 T=7087 st=0
C rg=1 rb=119 g=64627 m=7223 T=7087 st=0
C rg=1 rb=120 g=64627 m=7231 T=7087 st=0
C rg=1 rb=121 g=64627 m=7172 T=7087 st=0
C rg=1 rb=122 g=64627 m=7603 T=7087 st=0
C rg=1 rb=123 g=64627 m=6803 T=7087 st=0
C rg=1 rb=124 g=64627 m=7748 T=7087 st=0
C rg=1 rb=125 g=64627 m=6778 T=7087 st=0
C rg=1 rb=126 g=64627 m=7627 T=7087 st=0
C rg=1 rb=127 g=64627 m=7160 T=7087 st=0
C rg=1 rb=128 g=64627 m=7248 T=7087 st=0
C rg=1 rb=129 g=64627 m=7211 T=7087 st=0
C rg=1 rb=130 g=64627 m=7187 T=7087 st=0
C rg=1 rb=131 g=64627 m=7563 T=7087 st=0
C rg=1 rb=132 g=64627 m=6846 T=7087 st=0
C rg=1 rb=133 g=64627 m=7745 T=7087 st=0
C rg=1 rb=134 g=64627 m=6746 T=7087 st=0
C rg=1 rb=135 g=64627 m=7658 T=7087 st=0
C rg=1 rb=136 g=64627 m=7131 T=7087 st=0
C rg=1 rb=137 g=64627 m=7281 T=7087 st=0
C rg=1 rb=138 g=64627 m=7200 T=7087 st=0
C rg=1 rb=139 g=64627 m=7195 T=7087 st=0
C rg=1 rb=140 g=64627 m=7518 T=7087 st=0
C rg=1 rb=141 g=64627 m=6893 T=7087 st=0
C rg=1 rb=142 g=64627 m=7741 T=7087 st=0
C rg=1 rb=143 g=64627 m=6723 T=7087 st=0
C rg=1 rb=144 g=64627 m=7684 T=7087 st=0
C rg=1 rb=145 g=64627 m=7094 T=7087 st=0
C rg=1 rb=146 g=64627 m=7321 T=7087 st=0
C rg=1 rb=147 g=64627 m=7195 T=7087 st=0
C rg=1 rb=148 g=64627 m=7197 T=7087 st=0
C rg=1 rb=149 g=64627 m=7471 T=7087 st=0
C rg=1 rb=150 g=64627 m=6943 T=7087 st=0
C rg=1 rb=151 g=64627 m=7733 T=7087 st=0
C rg=1 rb=152 g=64627 m=6708 T=7087 st=0
C rg=1 rb=153 g=64627 m=7704 T=7087 st=0
C rg=1 rb=154 g=64627 m=7051 T=7087 st=0
C rg=1 rb=155 g=64627 m=7365 T=7087 st=0
C rg=1 rb=156 g=64627 m=7195 T=7087 st=0
C rg=1 rb=157 g=64627 m=7196 T=7087 st=0
C rg=1 rb=158 g=64627 m=7422 T=7087 st=0
C rg=1 rb=159 g=64627 m=6993 T=7087 st=0
C rg=1 rb=160 g=64627 m=7722 T=7087 st=0
C rg=1 rb=161 g=64627 m=6703 T=7087 st=0
C rg=1 rb=162 g=64627 m=7720 T=7087 st=0
C rg=1 rb=163 g=64627 m=7003 T=7087 st=0
C rg=1 rb=164 g=64627 m=7413 T=7087 st=0
C rg=1 rb=165 g=64627 m=7197 T=7087 st=0
C rg=1 rb=166 g=64627 m=7193 T=7087 st=0
C rg=1 rb=167 g=64627 m=7374 T=7087 st=0
C rg=1 rb=168 g=64627 m=7042 T=7087 st=0
C rg=1 rb=169 g=64627 m=7707 T=7087 st=0
C rg=1 rb=170 g=64627 m=6707 T=7087 st=0
C rg=1 rb=171 g=64627 m=7732 T=7087 st=0
C rg=1 rb=172 g=64627 m=6952 T=7087 st=0
C rg=1 rb=173 g=64627 m=7463 T=7087 st=0
C rg=1 rb=174 g=64627 m=7199 T=7087 st=0
C rg=1 rb=175 g=64627 m=7193 T=7087 st=0
C rg=1 rb=176 g=64627 m=7329 T=7087 st=0
C rg=1 rb=177 g=64627 m=7086 T=7087 st=0
C rg=1 rb=178 g=64627 m=7688 T=7087 st=0
C rg=1 rb=179 g=64627 m=6720 T=7087 st=0
C rg=1 rb=180 g=64627 m=7740 T=7087 st=0
C rg=1 rb=181 g=64627 m=6902 T=7087 st=0
C rg=1 rb=182 g=64627 m=7510 T=7087 st=0
C rg=1 rb=183 g=64627 m=7198 T=7087 st=0
C rg=1 rb=184 g=64627 m=7197 T=7087 st=0
C rg=1 rb=185 g=64627 m=7288 T=7087 st=0
C rg=1 rb=186 g=64627 m=7123 T=7087 st=0
C rg=1 rb=187 g=64627 m=7663 T=7087 st=0
C rg=1 rb=188 g=64627 m=6742 T=7087 st=0
C rg=1 rb=189 g=64627 m=7745 T=7087 st=0
C rg=1 rb=190 g=64627 m=6854 T=7087 st=0
C rg=1 rb=191 g=64627 m=7556 T=7087 st=0
C rg=1 rb=192 g=64627 m=7191 T=7087 st=0
C rg=1 rb=193 g=64627 m=7207 T=7087 st=0
C rg=1 rb=194 g=64627 m=7254 T=7087 st=0
C rg=1 rb=195 g=64627 m=7154 T=7087 st=0
C rg=1 rb=196 g=64627 m=7632 T=7087 st=0
C rg=1 rb=197 g=64627 m=6772 T=7087 st=0
C rg=1 rb=198 g=64627 m=7747 T=7087 st=0
C rg=1 rb=199 g=64627 m=6810 T=7087 st=0
C rg=1 rb=200 g=64627 m=7596 T=7087 st=0
C rg=1 rb=201 g=64627 m=7177 T=7087 st=0
C rg=1 rb=202 g=64627 m=7226 T=7087 st=0
C rg=1 rb=203 g=64627 m=7227 T=7087 st=0
C rg=1 rb=204 g=64627 m=7176 T=7087 st=0
C rg=1 rb=205 g=64627 m=7597 T=7087 st=0
C rg=1 rb=206 g=64627 m=6809 T=7087 st=0
C rg=1 rb=207 g=64627 m=7747 T=7087 st=0
C rg=1 rb=208 g=64627 m=6773 T=7087 st=0
C rg=1 rb=209 g=64627 m=7632 T=7087 st=0
C rg=1 rb=210 g=64627 m=7156 T=7087 st=0
C rg=1 rb=211 g=64627 m=7252 T=7087 st=0
C rg=1 rb=212 g=64627 m=7209 T=7087 st=0
C rg=1 rb=213 g=64627 m=7189 T=7087 st=0
C rg=1 rb=214 g=64627 m=7556 T=7087 st=0
C rg=1 rb=215 g=64627 m=6853 T=7087 st=0
C rg=1 rb=216 g=64627 m=7745 T=7087 st=0
C rg=1 rb=217 g=64627 m=6742 T=7087 st=0
C rg=1 rb=218 g=64627 m=7662 T=7087 st=0
C rg=1 rb=219 g=64627 m=7125 T=7087 st=0
C rg=1 rb=220 g=64627 m=7286 T=7087 st=0
C rg=1 rb=221 g=64627 m=7199 T=7087 st=0
C rg=1 rb=222 g=64627 m=7196 T=7087 st=0
C rg=1 rb=223 g=64627 m=7511 T=7087 st=0
C rg=1 rb=224 g=64627 m=6900 T=7087 st=0
C rg=1 rb=225 g=64627 m=7740 T=7087 st=0
C rg=1 rb=226 g=64627 m=6720 T=7087 st=0
C rg=1 rb=227 g=64627 m=7687 T=7087 st=0
C rg=1 rb=228 g=64627 m=7088 T=7087 st=0
C rg=1 rb=229 g=64627 m=7327 T=7087 st=0
C rg=1 rb=230 g=64627 m=7195 T=7087 st=0
C rg=1 rb=231 g=64627 m=7197 T=7087 st=0
C rg=1 rb=232 g=64627 m=7463 T=7087 st=0
C rg=1 rb=233 g=64627 m=6951 T=7087 st=0
C rg=1 rb=234 g=64627 m=7732 T=7087 st=0
C rg=1 rb=235 g=64627 m=6707 T=7087 st=0
C rg=1 rb=236 g=64627 m=7707 T=7087 st=0
C rg=1 rb=237 g=64627 m=7044 T=7087 st=0
C rg=1 rb=238 g=64627 m=7373 T=7087 st=0
C rg=1 rb=239 g=64627 m=7195 T=7087 st=0
C rg=1 rb=240 g=64627 m=7195 T=7087 st=0
C rg=1 rb=241 g=64627 m=7415 T=7087 st=0
C rg=1 rb=242 g=64627 m=7001 T=7087 st=0
C rg=1 rb=243 g=64627 m=7721 T=7087 st=0
C rg=1 rb=244 g=64627 m=6703 T=7087 st=0
C rg=1 rb=245 g=64627 m=7722 T=7087 st=0
C rg=1 rb=246 g=64627 m=6995 T=7087 st=0
C rg=1 rb=247 g=64627 m=7421 T=7087 st=0
C rg=1 rb=248 g=64627 m=7197 T=7087 st=0
C rg=1 rb=249 g=64627 m=7193 T=7087 st=0
C rg=1 rb=250 g=64627 m=7367 T=7087 st=0
C rg=1 rb=251 g=64627 m=7049 T=7087 st=0
C rg=1 rb=252 g=64627 m=7705 T=7087 st=0
C rg=1 rb=253 g=64627 m=6708 T=7087 st=0
C rg=1 rb=254 g=64627 m=7733 T=7087 st=0
C rg=1 rb=255 g=64627 m=6945 T=7087 st=0
C rg=1 rb=256 g=64627 m=7470 T=7087 st=0
C rg=1 rb=257 g=64627 m=7199 T=7087 st=0
C rg=1 rb=258 g=64627 m=7193 T=7087 st=0
C rg=1 rb=259 g=64627 m=7322 T=7087 st=0
C rg=1 rb=260 g=64627 m=7092 T=7087 st=0
C rg=1 rb=261 g=64627 m=7684 T=7087 st=0
C rg=1 rb=262 g=64627 m=6722 T=7087 st=0
C rg=1 rb=263 g=64627 m=7741 T=7087 st=0
C rg=1 rb=264 g=64627 m=6895 T=7087 st=0
C rg=1 rb=265 g=64627 m=7517 T=7087 st=0
C rg=1 rb=266 g=64627 m=7197 T=7087 st=0
C rg=1 rb=267 g=64627 m=7198 T=7087 st=0
C rg=1 rb=268 g=64627 m=7283 T=7087 st=0
C rg=1 rb=269 g=64627 m=7129 T=7087 st=0
C rg=1 rb=270 g=64627 m=7658 T=7087 st=0
C rg=1 rb=271 g=64627 m=6745 T=7087 st=0
C rg=1 rb=272 g=64627 m=7746 T=7087 st=0
C rg=1 rb=273 g=64627 m=6848 T=7087 st=0
C rg=1 rb=274 g=64627 m=7562 T=7087 st=0
C rg=1 rb=275 g=64627 m=7189 T=7087 st=0
C rg=1 rb=276 g=64627 m=7209 T=7087 st=0
C rg=1 rb=277 g=64627 m=7250 T=7087 st=0
C rg=1 rb=278 g=64627 m=7157 T=7087 st=0
C rg=1 rb=279 g=64627 m=7627 T=7087 st=0
C rg=1 rb=280 g=64627 m=6777 T=7087 st=0
C rg=1 rb=281 g=64627 m=7748 T=7087 st=0
C rg=1 rb=282 g=64627 m=6805 T=7087 st=0
C rg=1 rb=283 g=64627 m=7601 T=7087 st=0
C rg=1 rb=284 g=64627 m=7174 T=7087 st=0
C rg=1 rb=285 g=64627 m=7229 T=7087 st=0
C rg=1 rb=286 g=64627 m=7225 T=7087 st=0
C rg=1 rb=287 g=64627 m=7178 T=7087 st=0
C rg=1 rb=288 g=64627 m=7591 T=7087 st=0
C rg=1 rb=289 g=64627 m=6815 T=7087 st=0
C rg=1 rb=290 g=64627 m=7748 T=7087 st=0
C rg=1 rb=291 g=64627 m=6768 T=7087 st=0
C rg=1 rb=292 g=64627 m=7636 T=7087 st=0
C rg=1 rb=293 g=64627 m=7152 T=7087 st=0
C rg=1 rb=294 g=64627 m=7257 T=7087 st=0
C rg=1 rb=295 g=64627 m=7207 T=7087 st=0
C rg=1 rb=296 g=64627 m=7190 T=7087 st=0
C rg=1 rb=297 g=64627 m=7549 T=7087 st=0
C rg=1 rb=298 g=64627 m=6860 T=7087 st=0
C rg=1 rb=299 g=64627 m=7745 T=7087 st=0
C rg=1 rb=300 g=64627 m=6738 T=7087 st=0
C rg=1 rb=301 g=64627 m=7666 T=7087 st=0
C rg=1 rb=302 g=64627 m=7120 T=7087 st=0
C rg=1 rb=303 g=64627 m=7292 T=7087 st=0
C rg=1 rb=304 g=64627 m=7198 T=7087 st=0
C rg=1 rb=305 g=64627 m=7196 T=7087 st=0
C rg=1 rb=306 g=64627 m=7504 T=7087 st=0
C rg=1 rb=307 g=64627 m=6908 T=7087 st=0
C rg=1 rb=308 g=64627 m=7739 T=7087 st=0
C rg=1 rb=309 g=64627 m=6718 T=7087 st=0
C rg=1 rb=310 g=64627 m=7690 T=7087 st=0
C rg=1 rb=311 g=64627 m=7082 T=7087 st=0
C rg=1 rb=312 g=64627 m=7334 T=7087 st=0
C rg=1 rb=313 g=64627 m=7194 T=7087 st=0
C rg=1 rb=314 g=64627 m=7196 T=7087 st=0
C rg=1 rb=315 g=64627 m=7457 T=7087 st=0
C rg=1 rb=316 g=64627 m=6959 T=7087 st=0
C rg=1 rb=317 g=64627 m=7730 T=7087 st=0
C rg=1 rb=318 g=64627 m=6705 T=7087 st=0
C rg=1 rb=319 g=64627 m=7709 T=7087 st=0
C rg=1 rb=320 g=64627 m=7037 T=7087 st=0
C rg=1 rb=321 g=64627 m=7380 T=7087 st=0
C rg=1 rb=322 g=64627 m=7195 T=7087 st=0
C rg=1 rb=323 g=64627 m=7194 T=7087 st=0
C rg=1 rb=324 g=64627 m=7408 T=7087 st=0
C rg=1 rb=325 g=64627 m=7008 T=7087 st=0
C rg=1 rb=326 g=64627 m=7718 T=7087 st=0
C rg=1 rb=327 g=64627 m=6703 T=7087 st=0
C rg=1 rb=328 g=64627 m=7724 T=7087 st=0
C rg=1 rb=329 g=64627 m=6988 T=7087 st=0
C rg=1 rb=330 g=64627 m=7428 T=7087 st=0
C rg=1 rb=331 g=64627 m=7197 T=7087 st=0
C rg=1 rb=332 g=64627 m=7192 T=7087 st=0
C rg=1 rb=333 g=64627 m=7361 T=7087 st=0
C rg=1 rb=334 g=64627 m=7056 T=7087 st=0
C rg=1 rb=335 g=64627 m=7701 T=7087 st=0
C rg=1 rb=336 g=64627 m=6709 T=7087 st=0
C rg=1 rb=337 g=64627 m=7735 T=7087 st=0
C rg=1 rb=338 g=64627 m=6938 T=7087 st=0
C rg=1 rb=339 g=64627 m=7477 T=7087 st=0
C rg=1 rb=340 g=64627 m=7198 T=7087 st=0
C rg=1 rb=341 g=64627 m=7193 T=7087 st=0
C rg=1 rb=342 g=64627 m=7317 T=7087 st=0
C rg=1 rb=343 g=64627 m=7098 T=7087 st=0
C rg=1 rb=344 g=64627 m=7680 T=7087 st=0
C rg=1 rb=345 g=64627 m=6725 T=7087 st=0
C rg=1 rb=346 g=64627 m=7742 T=7087 st=0
C rg=1 rb=347 g=64627 m=6888 T=7087 st=0
C rg=1 rb=348 g=64627 m=7524 T=7087 st=0
C rg=1 rb=349 g=64627 m=7196 T=7087 st=0
C rg=1 rb=350 g=64627 m=7199 T=7087 st=0
C rg=1 rb=351 g=64627 m=7277 T=7087 st=0
C rg=1 rb=352 g=64627 m=7133 T=7087 st=0
C rg=1 rb=353 g=64627 m=7654 T=7087 st=0
C rg=1 rb=354 g=64627 m=6750 T=7087 st=0
C rg=1 rb=355 g=64627 m=7747 T=7087 st=0
C rg=1 rb=356 g=64627 m=6841 T=7087 st=0
C rg=1 rb=357 g=64627 m=7567 T=7087 st=0
C rg=1 rb=358 g=64627 m=7188 T=7087 st=0
C rg=1 rb=359 g=64627 m=7212 T=7087 st=0
C rg=1 rb=360 g=64627 m=7245 T=7087 st=0
C rg=1 rb=361 g=64627 m=7161 T=7087 st=0
C rg=1 rb=362 g=64627 m=7622 T=7087 st=0
C rg=1 rb=363 g=64627 m=6782 T=7087 st=0
C rg=1 rb=364 g=64627 m=7748 T=7087 st=0
C rg=1 rb=365 g=64627 m=6798 T=7087 st=0
C rg=1 rb=366 g=64627 m=7607 T=7087 st=0
C rg=1 rb=367 g=64627 m=7172 T=7087 st=0
C rg=1 rb=368 g=64627 m=7233 T=7087 st=0
C rg=1 rb=369 g=64627 m=7221 T=7087 st=0
C rg=1 rb=370 g=64627 m=7180 T=7087 st=0
C rg=1 rb=371 g=64627 m=7585 T=7087 st=0
C rg=1 rb=372 g=64627 m=6822 T=7087 st=0
C rg=1 rb=373 g=64627 m=7747 T=7087 st=0
C rg=1 rb=374 g=64627 m=6763 T=7087 st=0
C rg=1 rb=375 g=64627 m=7641 T=7087 st=0
C rg=1 rb=376 g=64627 m=7148 T=7087 st=0
C rg=1 rb=377 g=64627 m=7262 T=7087 st=0
C rg=1 rb=378 g=64627 m=7205 T=7087 st=0
C rg=1 rb=379 g=64627 m=7191 T=7087 st=0
C rg=1 rb=380 g=64627 m=7543 T=7087 st=0
C rg=1 rb=381 g=64627 m=6867 T=7087 st=0
C rg=1 rb=382 g=64627 m=7744 T=7087 st=0
C rg=1 rb=383 g=64627 m=6735 T=7087 st=0
C rg=1 rb=384 g=64627 m=7670 T=7087 st=0
C rg=1 rb=385 g=64627 m=7115 T=7087 st=0
C rg=1 rb=386 g=64627 m=7298 T=7087 st=0
C rg=1 rb=387 g=64627 m=7196 T=7087 st=0
C rg=1 rb=388 g=64627 m=7196 T=7087 st=0
C rg=1 rb=389 g=64627 m=7498 T=7087 st=0
C rg=1 rb=390 g=64627 m=6915 T=7087 st=0
C rg=1 rb=391 g=64627 m=7738 T=7087 st=0
C rg=1 rb=392 g=64627 m=6715 T=7087 st=0
C rg=1 rb=393 g=64627 m=7694 T=7087 st=0
C rg=1 rb=394 g=64627 m=7076 T=7087 st=0
C rg=1 rb=395 g=64627 m=7340 T=7087 st=0
C rg=1 rb=396 g=64627 m=7194 T=7087 st=0
C rg=1 rb=397 g=64627 m=7196 T=7087 st=0
C rg=1 rb=398 g=64627 m=7450 T=7087 st=0
C rg=1 rb=399 g=64627 m=6966 T=7087 st=0
C rg=1 rb=400 g=64627 m=7728 T=7087 st=0
C rg=1 rb=401 g=64627 m=6705 T=7087 st=0
C rg=1 rb=402 g=64627 m=7712 T=7087 st=0
C rg=1 rb=403 g=64627 m=7030 T=7087 st=0
C rg=1 rb=404 g=64627 m=7387 T=7087 st=0
C rg=1 rb=405 g=64627 m=7195 T=7087 st=0
C rg=1 rb=406 g=64627 m=7194 T=7087 st=0
C rg=1 rb=407 g=64627 m=7401 T=7087 st=0
C rg=1 rb=408 g=64627 m=7015 T=7087 st=0
C rg=1 rb=409 g=64627 m=7716 T=7087 st=0
C rg=1 rb=410 g=64627 m=6703 T=7087 st=0
C rg=1 rb=411 g=64627 m=7726 T=7087 st=0
C rg=1 rb=412 g=64627 m=6981 T=7087 st=0
C rg=1 rb=413 g=64627 m=7435 T=7087 st=0
C rg=1 rb=414 g=64627 m=7198 T=7087 st=0
C rg=1 rb=415 g=64627 m=7193 T=7087 st=0
C rg=1 rb=416 g=64627 m=7354 T=7087 st=0
C rg=1 rb=417 g=64627 m=7062 T=7087 st=0
C rg=1 rb=418 g=64627 m=7699 T=7087 st=0
C rg=1 rb=419 g=64627 m=6711 T=7087 st=0
