# phon.tsv — hell-hole V5 joke-knowledge experiment store 4 of 4
# authoring: hand-authored classic joke homophone/sound-alike pairs (single subagent), 2026-09-24
# format: written \t alternate \t alt_meaning_cues(comma-separated) \t sounds like "<alternate>"
# entries: 150
aisle	isle	island,tropical,beach	sounds like "isle"
maize	maze	puzzle,labyrinth,lost	sounds like "maze"
medal	meddle	interfere,busybody,snoop	sounds like "meddle"
meet	meat	beef,chicken,steak	sounds like "meat"
might	mite	insect,tiny,bug	sounds like "mite"
minor	miner	coal,gold,mine	sounds like "miner"
missed	mist	fog,rain,haze	sounds like "mist"
moose	mousse	chocolate,dessert,gel	sounds like "mousse"
morning	mourning	grief,funeral,loss	sounds like "mourning"
muscle	mussel	clam,shell,ocean	sounds like "mussel"
night	knight	armor,sword,medieval	sounds like "knight"
none	nun	convent,sister,church	sounds like "nun"
oar	ore	mine,mineral,iron	sounds like "ore"
olive	i love	adore,heart,affection	sounds like "i love"
one	won	victory,prize,champion	sounds like "won"
pail	pale	white,ghost,light	sounds like "pale"
pain	pane	window,glass,frame	sounds like "pane"
pair	pear	fruit,tree,orchard	sounds like "pear"
patience	patients	doctor,hospital,clinic	sounds like "patients"
pause	paws	dog,cat,claws	sounds like "paws"
pea	pee	bathroom,urine,toilet	sounds like "pee"
peace	piece	slice,portion,part	sounds like "piece"
peak	peek	look,glance,glimpse	sounds like "peek"
pedal	petal	rose,bloom,flower	sounds like "petal"
peer	pier	dock,boat,harbor	sounds like "pier"
phase	faze	bother,disturb,rattle	sounds like "faze"
piece	peace	calm,treaty,quiet	sounds like "peace"
plain	plane	airplane,fly,jet	sounds like "plane"
pore	pour	drink,spill,rain	sounds like "pour"
pray	prey	animal,hunt,victim	sounds like "prey"
principal	principle	rule,value,belief	sounds like "principle"
profit	prophet	bible,prediction,foretell	sounds like "prophet"
quire	choir	sing,song,church	sounds like "choir"
rain	reign	king,queen,throne	sounds like "reign"
right	write	pen,author,book	sounds like "write"
road	rode	horse,bike,drove	sounds like "rode"
role	roll	bread,drum,dice	sounds like "roll"
root	route	path,road,directions	sounds like "route"
sail	sale	discount,store,price	sounds like "sale"
scene	seen	watched,observed,viewed	sounds like "seen"
sea	see	vision,look,eyes	sounds like "see"
seafood	see food	see,eat,diet	sounds like "see food"
shone	shown	displayed,presented,demonstrated	sounds like "shown"
sight	site	website,location,place	sounds like "site"
slay	sleigh	santa,snow,reindeer	sounds like "sleigh"
sole	soul	spirit,ghost,afterlife	sounds like "soul"
some	sum	math,total,add	sounds like "sum"
son	sun	sky,light,day	sounds like "sun"
stair	stare	look,gaze,eyes	sounds like "stare"
stake	steak	beef,grill,dinner	sounds like "steak"
stationary	stationery	paper,pen,office	sounds like "stationery"
steal	steel	iron,metal,alloy	sounds like "steel"
straight	strait	water,channel,sea	sounds like "strait"
suite	sweet	candy,sugar,dessert	sounds like "sweet"
tail	tale	story,book,legend	sounds like "tale"
team	teem	swarm,crowd,full	sounds like "teem"
tearable	terrible	paper,rip,joke	sounds like "terrible"
threw	through	tunnel,across,via	sounds like "through"
throne	thrown	toss,hurl,discard	sounds like "thrown"
thyme	time	clock,hour,schedule	sounds like "time"
to	too	also,as well,extra	sounds like "too"
tuna	tune	music,song,melody	sounds like "tune"
two	to	direction,toward,destination	sounds like "to"
wail	whale	ocean,huge,mammal	sounds like "whale"
waist	waste	garbage,trash,dump	sounds like "waste"
wait	weight	heavy,pounds,scale	sounds like "weight"
waive	wave	ocean,hand,signal	sounds like "wave"
wave	waive	right,fee,forego	sounds like "waive"
way	weigh	scale,heavy,measure	sounds like "weigh"
weak	week	seven,days,monday	sounds like "week"
weather	whether	if,choice,or	sounds like "whether"
which	witch	broom,spell,magic	sounds like "witch"
while	wile	trick,cunning,deceive	sounds like "wile"
whine	wine	grapes,bottle,drink	sounds like "wine"
whole	hole	gap,pit,empty	sounds like "hole"
wrap	rap	music,hip hop,beat	sounds like "rap"
wring	ring	bell,phone,circle	sounds like "ring"
write	rite	ceremony,ritual,tradition	sounds like "rite"
yew	you	address,speaker,person	sounds like "you"
your	you're	you are,contraction,pronoun	sounds like "you're"
