cell	config	trial	disp
CC1-V3	G1	3	4
CC1-V3	G2	0	1
CC1-V3	G2	1	0
CC1-V3	G2	2	4
CC1-V3	G2	3	4
CC1-V3	MG1	0	1
CC1-V3	MG1	1	0
CC1-V3	MG1	2	4
CC1-V3	MG1	3	4
CC1-V3	MG2	0	1
CC1-V3	MG2	1	0
CC1-V3	MG2	2	4
CC1-V3	MG2	3	4
CC1-V3	MG3	0	1
CC1-V3	MG3	1	0
CC1-V3	MG3	2	4
CC1-V3	MG3	3	4
CC1-V3	MG4	0	1
CC1-V3	MG4	1	0
CC1-V3	MG4	2	4
CC1-V3	MG4	3	4
CC1-V3	MG6	0	1
CC1-V3	MG6	1	0
CC1-V3	MG6	2	4
CC1-V3	MG6	3	4
CC1-V4	G1	0	1
CC1-V4	G1	1	0
CC1-V4	G1	2	4
CC1-V4	G1	3	5
CC1-V4	G2	0	1
CC1-V4	G2	1	0
CC1-V4	G2	2	4
CC1-V4	G2	3	5
CC1-V4	MG1	0	1
CC1-V4	MG1	1	0
CC1-V4	MG1	2	4
CC1-V4	MG1	3	4
CC1-V4	MG2	0	1
CC1-V4	MG2	1	0
CC1-V4	MG2	2	4
CC1-V4	MG2	3	4
CC1-V4	MG3	0	1
CC1-V4	MG3	1	0
CC1-V4	MG3	2	4
CC1-V4	MG3	3	4
CC1-V4	MG4	0	1
CC1-V4	MG4	1	0
CC1-V4	MG4	2	4
CC1-V4	MG4	3	4
CC1-V4	MG6	0	1
CC1-V4	MG6	1	0
CC1-V4	MG6	2	4
CC1-V4	MG6	3	4
CC1-V5	G1	0	1
CC1-V5	G1	1	0
CC1-V5	G1	2	4
CC1-V5	G1	3	5
CC1-V5	G2	0	1
CC1-V5	G2	1	0
CC1-V5	G2	2	4
CC1-V5	G2	3	5
CC1-V5	MG1	0	1
CC1-V5	MG1	1	0
CC1-V5	MG1	2	4
CC1-V5	MG1	3	5
CC1-V5	MG2	0	1
CC1-V5	MG2	1	0
CC1-V5	MG2	2	4
CC1-V5	MG2	3	5
CC1-V5	MG3	0	1
CC1-V5	MG3	1	0
CC1-V5	MG3	2	4
CC1-V5	MG3	3	4
CC1-V5	MG4	0	1
CC1-V5	MG4	1	0
CC1-V5	MG4	2	4
CC1-V5	MG4	3	4
CC1-V5	MG6	0	1
CC1-V5	MG6	1	0
CC1-V5	MG6	2	4
CC1-V5	MG6	3	4
CC1-V6	G1	0	1
CC1-V6	G1	1	0
CC1-V6	G1	2	4
CC1-V6	G1	3	5
CC1-V6	G2	0	1
CC1-V6	G2	1	0
CC1-V6	G2	2	4
CC1-V6	G2	3	5
CC1-V6	MG1	0	1
CC1-V6	MG1	1	0
CC1-V6	MG1	2	4
CC1-V6	MG1	3	4
CC1-V6	MG2	0	1
CC1-V6	MG2	1	0
CC1-V6	MG2	2	4
CC1-V6	MG2	3	4
CC1-V6	MG3	0	1
CC1-V6	MG3	1	0
CC1-V6	MG3	2	4
CC1-V6	MG3	3	4
CC1-V6	MG4	0	1
CC1-V6	MG4	1	0
CC1-V6	MG4	2	4
CC1-V6	MG4	3	4
CC1-V6	MG6	0	1
CC1-V6	MG6	1	0
CC1-V6	MG6	2	4
CC1-V6	MG6	3	4
CC1-V7	G1	0	1
CC1-V7	G1	1	0
CC1-V7	G1	2	4
CC1-V7	G1	3	5
CC1-V7	G2	0	1
CC1-V7	G2	1	0
CC1-V7	G2	2	4
CC1-V7	G2	3	5
CC1-V7	MG1	0	1
CC1-V7	MG1	1	0
CC1-V7	MG1	2	4
CC1-V7	MG1	3	4
CC1-V7	MG2	0	1
CC1-V7	MG2	1	0
CC1-V7	MG2	2	4
CC1-V7	MG2	3	4
CC1-V7	MG3	0	1
CC1-V7	MG3	1	0
CC1-V7	MG3	2	4
CC1-V7	MG3	3	5
CC1-V7	MG4	0	1
CC1-V7	MG4	1	0
CC1-V7	MG4	2	4
CC1-V7	MG4	3	4
CC1-V7	MG6	0	1
CC1-V7	MG6	1	0
CC1-V7	MG6	2	4
CC1-V7	MG6	3	4
CC1-V8	G1	0	1
CC1-V8	G1	1	0
CC1-V8	G1	2	4
CC1-V8	G1	3	5
CC1-V8	G2	0	1
CC1-V8	G2	1	0
CC1-V8	G2	2	4
CC1-V8	G2	3	5
CC1-V8	MG1	0	1
CC1-V8	MG1	1	0
CC1-V8	MG1	2	4
CC1-V8	MG1	3	4
CC1-V8	MG2	0	1
CC1-V8	MG2	1	0
CC1-V8	MG2	2	4
CC1-V8	MG2	3	4
CC1-V8	MG3	0	1
CC1-V8	MG3	1	0
CC1-V8	MG3	2	4
CC1-V8	MG3	3	4
CC1-V8	MG4	0	1
CC1-V8	MG4	1	0
CC1-V8	MG4	2	4
CC1-V8	MG4	3	5
CC1-V8	MG6	0	1
CC1-V8	MG6	1	0
CC1-V8	MG6	2	4
CC1-V8	MG6	3	4
CC1-V9	G1	0	1
CC1-V9	G1	1	0
CC1-V9	G1	2	4
CC1-V9	G1	3	5
CC1-V9	G2	0	1
CC1-V9	G2	1	0
CC1-V9	G2	2	4
CC1-V9	G2	3	5
CC1-V9	MG1	0	1
CC1-V9	MG1	1	0
CC1-V9	MG1	2	4
CC1-V9	MG1	3	5
CC1-V9	MG2	0	1
CC1-V9	MG2	1	0
CC1-V9	MG2	2	4
CC1-V9	MG2	3	5
CC1-V9	MG3	0	1
CC1-V9	MG3	1	0
CC1-V9	MG3	2	4
CC1-V9	MG3	3	5
CC1-V9	MG4	0	1
CC1-V9	MG4	1	0
CC1-V9	MG4	2	4
CC1-V9	MG4	3	5
CC1-V9	MG6	0	1
CC1-V9	MG6	1	0
CC1-V9	MG6	2	4
CC1-V9	MG6	3	5
CC2	G1	0	1
CC2	G1	1	0
CC2	G1	2	4
CC2	G1	3	5
CC2	G2	0	1
CC2	G2	1	0
CC2	G2	2	4
CC2	G2	3	5
CC2	MG1	0	1
CC2	MG1	1	0
CC2	MG1	2	4
CC2	MG1	3	5
CC2	MG2	0	1
CC2	MG2	1	0
CC2	MG2	2	4
CC2	MG2	3	5
CC2	MG3	0	1
CC2	MG3	1	0
CC2	MG3	2	4
CC2	MG3	3	5
CC2	MG4	0	1
CC2	MG4	1	0
CC2	MG4	2	4
CC2	MG4	3	5
CC2	MG6	0	1
CC2	MG6	1	0
CC2	MG6	2	4
CC2	MG6	3	5
CC2-W1	G1	0	1
CC2-W1	G1	1	0
CC2-W1	G1	2	4
CC2-W1	G1	3	5
CC2-W1	G2	0	1
CC2-W1	G2	1	0
CC2-W1	G2	2	4
CC2-W1	G2	3	5
CC2-W1	MG1	0	1
CC2-W1	MG1	1	0
CC2-W1	MG1	2	4
CC2-W1	MG1	3	5
CC2-W1	MG2	0	1
CC2-W1	MG2	1	0
CC2-W1	MG2	2	4
CC2-W1	MG2	3	4
CC2-W1	MG3	0	1
CC2-W1	MG3	1	0
CC2-W1	MG3	2	4
CC2-W1	MG3	3	5
CC2-W1	MG4	0	1
CC2-W1	MG4	1	0
CC2-W1	MG4	2	4
CC2-W1	MG4	3	5
CC2-W1	MG6	0	1
CC2-W1	MG6	1	0
CC2-W1	MG6	2	4
CC2-W1	MG6	3	5
CC2-W2	G1	0	1
CC2-W2	G1	1	0
CC2-W2	G1	2	4
CC2-W2	G1	3	5
CC2-W2	G2	0	1
CC2-W2	G2	1	0
CC2-W2	G2	2	4
CC2-W2	G2	3	5
CC2-W2	MG1	0	1
CC2-W2	MG1	1	0
CC2-W2	MG1	2	4
CC2-W2	MG1	3	5
CC2-W2	MG2	0	1
CC2-W2	MG2	1	0
CC2-W2	MG2	2	4
CC2-W2	MG2	3	4
CC2-W2	MG3	0	1
CC2-W2	MG3	1	0
CC2-W2	MG3	2	4
CC2-W2	MG3	3	5
CC2-W2	MG4	0	1
CC2-W2	MG4	1	0
CC2-W2	MG4	2	4
CC2-W2	MG4	3	5
CC2-W2	MG6	0	1
CC2-W2	MG6	1	0
CC2-W2	MG6	2	4
CC2-W2	MG6	3	5
C1-W3	G1	0	1
C1-W3	G1	1	0
C1-W3	G1	2	4
C1-W3	G1	3	5
C1-W3	G2	0	1
C1-W3	G2	1	0
C1-W3	G2	2	4
C1-W3	G2	3	5
C1-W3	MG1	0	1
C1-W3	MG1	1	0
C1-W3	MG1	2	4
C1-W3	MG1	3	5
C1-W3	MG2	0	1
C1-W3	MG2	1	0
C1-W3	MG2	2	4
C1-W3	MG2	3	4
C1-W3	MG3	0	1
C1-W3	MG3	1	0
C1-W3	MG3	2	4
C1-W3	MG3	3	5
C1-W3	MG4	0	1
C1-W3	MG4	1	0
C1-W3	MG4	2	4
C1-W3	MG4	3	5
C1-W3	MG6	0	1
C1-W3	MG6	1	0
C1-W3	MG6	2	4
C1-W3	MG6	3	5
