src	case	mech	rep	verdict
corrob	C_neg1	w3	2	V|w3|WITHHOLD|QUORUM|1|1
corrob	C_neg1	w6	1	V|w6|WITHHOLD|QUORUM|1|1
corrob	C_neg1	w6	2	V|w6|WITHHOLD|QUORUM|1|1
corrob	C_neg2_contraction	base	1	V|base|WITHHOLD|CONTRADICTION|2|2
corrob	C_neg2_contraction	base	2	V|base|WITHHOLD|CONTRADICTION|2|2
corrob	C_neg2_contraction	ch1	1	V|ch1|WITHHOLD|CONTRADICTION|2|2
corrob	C_neg2_contraction	ch1	2	V|ch1|WITHHOLD|CONTRADICTION|2|2
corrob	C_neg2_contraction	ch2	1	V|ch2|WITHHOLD|CONTRADICTION|2|2
corrob	C_neg2_contraction	ch2	2	V|ch2|WITHHOLD|CONTRADICTION|2|2
corrob	C_neg2_contraction	ch2b	1	V|ch2b|WITHHOLD|CONTRADICTION|2|2
corrob	C_neg2_contraction	ch2b	2	V|ch2b|WITHHOLD|CONTRADICTION|2|2
corrob	C_neg2_contraction	ch3	1	V|ch3|WITHHOLD|CONTRADICTION|2|2
corrob	C_neg2_contraction	ch3	2	V|ch3|WITHHOLD|CONTRADICTION|2|2
corrob	C_neg2_contraction	ch4	1	V|ch4|WITHHOLD|CONTRADICTION|2|2
corrob	C_neg2_contraction	ch4	2	V|ch4|WITHHOLD|CONTRADICTION|2|2
corrob	C_neg2_contraction	g1	1	V|g1|WITHHOLD|CONTRADICTION|2|2
corrob	C_neg2_contraction	g1	2	V|g1|WITHHOLD|CONTRADICTION|2|2
corrob	C_neg2_contraction	g4	1	V|g4|INSTALL|NONE|2|2
corrob	C_neg2_contraction	g4	2	V|g4|INSTALL|NONE|2|2
corrob	C_neg2_contraction	g6	1	V|g6|WITHHOLD|CONTRADICTION|2|2
corrob	C_neg2_contraction	g6	2	V|g6|WITHHOLD|CONTRADICTION|2|2
corrob	C_neg2_contraction	g7	1	V|g7|WITHHOLD|CONTRADICTION|2|2
corrob	C_neg2_contraction	g7	2	V|g7|WITHHOLD|CONTRADICTION|2|2
corrob	C_neg2_contraction	g9	1	V|g9|WITHHOLD|CONTRADICTION|2|2
corrob	C_neg2_contraction	g9	2	V|g9|WITHHOLD|CONTRADICTION|2|2
corrob	C_neg2_contraction	w11	1	V|w11|WITHHOLD|CONTRADICTION|2|2
corrob	C_neg2_contraction	w11	2	V|w11|WITHHOLD|CONTRADICTION|2|2
corrob	C_neg2_contraction	w12	1	V|w12|WITHHOLD|CONTRADICTION|2|2
corrob	C_neg2_contraction	w12	2	V|w12|WITHHOLD|CONTRADICTION|2|2
corrob	C_neg2_contraction	w3	1	V|w3|WITHHOLD|CONTRADICTION|2|2
corrob	C_neg2_contraction	w3	2	V|w3|WITHHOLD|CONTRADICTION|2|2
corrob	C_neg2_contraction	w6	1	V|w6|WITHHOLD|CONTRADICTION|2|2
corrob	C_neg2_contraction	w6	2	V|w6|WITHHOLD|CONTRADICTION|2|2
corrob	C_num1_pair	base	1	V|base|WITHHOLD|CONTRADICTION|1|1
corrob	C_num1_pair	base	2	V|base|WITHHOLD|CONTRADICTION|1|1
corrob	C_num1_pair	ch1	1	V|ch1|WITHHOLD|CONTRADICTION|1|1
corrob	C_num1_pair	ch1	2	V|ch1|WITHHOLD|CONTRADICTION|1|1
corrob	C_num1_pair	ch2	1	V|ch2|WITHHOLD|CONTRADICTION|1|1
corrob	C_num1_pair	ch2	2	V|ch2|WITHHOLD|CONTRADICTION|1|1
corrob	C_num1_pair	ch2b	1	V|ch2b|WITHHOLD|CONTRADICTION|1|1
corrob	C_num1_pair	ch2b	2	V|ch2b|WITHHOLD|CONTRADICTION|1|1
corrob	C_num1_pair	ch3	1	V|ch3|WITHHOLD|CONTRADICTION|1|1
corrob	C_num1_pair	ch3	2	V|ch3|WITHHOLD|CONTRADICTION|1|1
corrob	C_num1_pair	ch4	1	V|ch4|WITHHOLD|CONTRADICTION|1|1
corrob	C_num1_pair	ch4	2	V|ch4|WITHHOLD|CONTRADICTION|1|1
corrob	C_num1_pair	g1	1	V|g1|WITHHOLD|CONTRADICTION|1|1
corrob	C_num1_pair	g1	2	V|g1|WITHHOLD|CONTRADICTION|1|1
corrob	C_num1_pair	g4	1	V|g4|WITHHOLD|QUORUM|1|1
corrob	C_num1_pair	g4	2	V|g4|WITHHOLD|QUORUM|1|1
corrob	C_num1_pair	g6	1	V|g6|WITHHOLD|CONTRADICTION|1|1
corrob	C_num1_pair	g6	2	V|g6|WITHHOLD|CONTRADICTION|1|1
corrob	C_num1_pair	g7	1	V|g7|WITHHOLD|CONTRADICTION|1|1
corrob	C_num1_pair	g7	2	V|g7|WITHHOLD|CONTRADICTION|1|1
corrob	C_num1_pair	g9	1	V|g9|WITHHOLD|CONTRADICTION|1|1
corrob	C_num1_pair	g9	2	V|g9|WITHHOLD|CONTRADICTION|1|1
corrob	C_num1_pair	w11	1	V|w11|WITHHOLD|CONTRADICTION|1|1
corrob	C_num1_pair	w11	2	V|w11|WITHHOLD|CONTRADICTION|1|1
corrob	C_num1_pair	w12	1	V|w12|WITHHOLD|CONTRADICTION|1|1
corrob	C_num1_pair	w12	2	V|w12|WITHHOLD|CONTRADICTION|1|1
corrob	C_num1_pair	w3	1	V|w3|WITHHOLD|CONTRADICTION|1|1
corrob	C_num1_pair	w3	2	V|w3|WITHHOLD|CONTRADICTION|1|1
corrob	C_num1_pair	w6	1	V|w6|WITHHOLD|CONTRADICTION|1|1
corrob	C_num1_pair	w6	2	V|w6|WITHHOLD|CONTRADICTION|1|1
corrob	C_num2_mixed	base	1	V|base|WITHHOLD|CONTRADICTION|2|2
corrob	C_num2_mixed	base	2	V|base|WITHHOLD|CONTRADICTION|2|2
corrob	C_num2_mixed	ch1	1	V|ch1|WITHHOLD|CONTRADICTION|2|2
corrob	C_num2_mixed	ch1	2	V|ch1|WITHHOLD|CONTRADICTION|2|2
corrob	C_num2_mixed	ch2	1	V|ch2|WITHHOLD|CONTRADICTION|2|2
corrob	C_num2_mixed	ch2	2	V|ch2|WITHHOLD|CONTRADICTION|2|2
corrob	C_num2_mixed	ch2b	1	V|ch2b|WITHHOLD|CONTRADICTION|2|2
corrob	C_num2_mixed	ch2b	2	V|ch2b|WITHHOLD|CONTRADICTION|2|2
corrob	C_num2_mixed	ch3	1	V|ch3|WITHHOLD|CONTRADICTION|2|2
corrob	C_num2_mixed	ch3	2	V|ch3|WITHHOLD|CONTRADICTION|2|2
corrob	C_num2_mixed	ch4	1	V|ch4|WITHHOLD|CONTRADICTION|2|2
corrob	C_num2_mixed	ch4	2	V|ch4|WITHHOLD|CONTRADICTION|2|2
corrob	C_num2_mixed	g1	1	V|g1|WITHHOLD|CONTRADICTION|2|2
corrob	C_num2_mixed	g1	2	V|g1|WITHHOLD|CONTRADICTION|2|2
corrob	C_num2_mixed	g4	1	V|g4|INSTALL|NONE|2|2
corrob	C_num2_mixed	g4	2	V|g4|INSTALL|NONE|2|2
corrob	C_num2_mixed	g6	1	V|g6|WITHHOLD|CONTRADICTION|2|2
corrob	C_num2_mixed	g6	2	V|g6|WITHHOLD|CONTRADICTION|2|2
corrob	C_num2_mixed	g7	1	V|g7|WITHHOLD|CONTRADICTION|2|2
corrob	C_num2_mixed	g7	2	V|g7|WITHHOLD|CONTRADICTION|2|2
corrob	C_num2_mixed	g9	1	V|g9|WITHHOLD|CONTRADICTION|2|2
corrob	C_num2_mixed	g9	2	V|g9|WITHHOLD|CONTRADICTION|2|2
corrob	C_num2_mixed	w11	1	V|w11|WITHHOLD|CONTRADICTION|2|2
corrob	C_num2_mixed	w11	2	V|w11|WITHHOLD|CONTRADICTION|2|2
corrob	C_num2_mixed	w12	1	V|w12|WITHHOLD|CONTRADICTION|2|2
corrob	C_num2_mixed	w12	2	V|w12|WITHHOLD|CONTRADICTION|2|2
corrob	C_num2_mixed	w3	1	V|w3|WITHHOLD|CONTRADICTION|2|2
corrob	C_num2_mixed	w3	2	V|w3|WITHHOLD|CONTRADICTION|2|2
corrob	C_num2_mixed	w6	1	V|w6|WITHHOLD|CONTRADICTION|2|2
corrob	C_num2_mixed	w6	2	V|w6|WITHHOLD|CONTRADICTION|2|2
corrob	C_num3_tie22	base	1	V|base|WITHHOLD|CONTRADICTION|2|2
corrob	C_num3_tie22	base	2	V|base|WITHHOLD|CONTRADICTION|2|2
corrob	C_num3_tie22	ch1	1	V|ch1|WITHHOLD|CONTRADICTION|2|2
corrob	C_num3_tie22	ch1	2	V|ch1|WITHHOLD|CONTRADICTION|2|2
corrob	C_num3_tie22	ch2	1	V|ch2|WITHHOLD|CONTRADICTION|2|2
corrob	C_num3_tie22	ch2	2	V|ch2|WITHHOLD|CONTRADICTION|2|2
corrob	C_num3_tie22	ch2b	1	V|ch2b|WITHHOLD|CONTRADICTION|2|2
corrob	C_num3_tie22	ch2b	2	V|ch2b|WITHHOLD|CONTRADICTION|2|2
corrob	C_num3_tie22	ch3	1	V|ch3|WITHHOLD|CONTRADICTION|2|2
corrob	C_num3_tie22	ch3	2	V|ch3|WITHHOLD|CONTRADICTION|2|2
corrob	C_num3_tie22	ch4	1	V|ch4|WITHHOLD|CONTRADICTION|2|2
corrob	C_num3_tie22	ch4	2	V|ch4|WITHHOLD|CONTRADICTION|2|2
corrob	C_num3_tie22	g1	1	V|g1|WITHHOLD|CONTRADICTION|2|2
corrob	C_num3_tie22	g1	2	V|g1|WITHHOLD|CONTRADICTION|2|2
corrob	C_num3_tie22	g4	1	V|g4|WITHHOLD|CONTRADICTION|2|2
corrob	C_num3_tie22	g4	2	V|g4|WITHHOLD|CONTRADICTION|2|2
corrob	C_num3_tie22	g6	1	V|g6|WITHHOLD|CONTRADICTION|2|2
corrob	C_num3_tie22	g6	2	V|g6|WITHHOLD|CONTRADICTION|2|2
corrob	C_num3_tie22	g7	1	V|g7|WITHHOLD|CONTRADICTION|2|2
corrob	C_num3_tie22	g7	2	V|g7|WITHHOLD|CONTRADICTION|2|2
corrob	C_num3_tie22	g9	1	V|g9|WITHHOLD|CONTRADICTION|2|2
corrob	C_num3_tie22	g9	2	V|g9|WITHHOLD|CONTRADICTION|2|2
corrob	C_num3_tie22	w11	1	V|w11|WITHHOLD|CONTRADICTION|2|2
corrob	C_num3_tie22	w11	2	V|w11|WITHHOLD|CONTRADICTION|2|2
corrob	C_num3_tie22	w12	1	V|w12|WITHHOLD|CONTRADICTION|2|2
corrob	C_num3_tie22	w12	2	V|w12|WITHHOLD|CONTRADICTION|2|2
corrob	C_num3_tie22	w3	1	V|w3|WITHHOLD|CONTRADICTION|2|2
corrob	C_num3_tie22	w3	2	V|w3|WITHHOLD|CONTRADICTION|2|2
corrob	C_num3_tie22	w6	1	V|w6|WITHHOLD|CONTRADICTION|2|2
corrob	C_num3_tie22	w6	2	V|w6|WITHHOLD|CONTRADICTION|2|2
corrob	C_numD_dissent	base	1	V|base|WITHHOLD|CONTRADICTION|3|3
corrob	C_numD_dissent	base	2	V|base|WITHHOLD|CONTRADICTION|3|3
corrob	C_numD_dissent	ch1	1	V|ch1|WITHHOLD|CONTRADICTION|3|3
corrob	C_numD_dissent	ch1	2	V|ch1|WITHHOLD|CONTRADICTION|3|3
corrob	C_numD_dissent	ch2	1	V|ch2|WITHHOLD|CONTRADICTION|3|3
corrob	C_numD_dissent	ch2	2	V|ch2|WITHHOLD|CONTRADICTION|3|3
corrob	C_numD_dissent	ch2b	1	V|ch2b|WITHHOLD|CONTRADICTION|3|3
corrob	C_numD_dissent	ch2b	2	V|ch2b|WITHHOLD|CONTRADICTION|3|3
corrob	C_numD_dissent	ch3	1	V|ch3|WITHHOLD|CONTRADICTION|3|3
corrob	C_numD_dissent	ch3	2	V|ch3|WITHHOLD|CONTRADICTION|3|3
corrob	C_numD_dissent	ch4	1	V|ch4|WITHHOLD|CONTRADICTION|3|3
corrob	C_numD_dissent	ch4	2	V|ch4|WITHHOLD|CONTRADICTION|3|3
corrob	C_numD_dissent	g1	1	V|g1|WITHHOLD|CONTRADICTION|3|3
corrob	C_numD_dissent	g1	2	V|g1|WITHHOLD|CONTRADICTION|3|3
corrob	C_numD_dissent	g4	1	V|g4|INSTALL|NONE|3|3
corrob	C_numD_dissent	g4	2	V|g4|INSTALL|NONE|3|3
corrob	C_numD_dissent	g6	1	V|g6|WITHHOLD|CONTRADICTION|3|3
corrob	C_numD_dissent	g6	2	V|g6|WITHHOLD|CONTRADICTION|3|3
corrob	C_numD_dissent	g7	1	V|g7|WITHHOLD|CONTRADICTION|3|3
corrob	C_numD_dissent	g7	2	V|g7|WITHHOLD|CONTRADICTION|3|3
corrob	C_numD_dissent	g9	1	V|g9|WITHHOLD|CONTRADICTION|3|3
corrob	C_numD_dissent	g9	2	V|g9|WITHHOLD|CONTRADICTION|3|3
corrob	C_numD_dissent	w11	1	V|w11|WITHHOLD|CONTRADICTION|3|3
corrob	C_numD_dissent	w11	2	V|w11|WITHHOLD|CONTRADICTION|3|3
corrob	C_numD_dissent	w12	1	V|w12|WITHHOLD|CONTRADICTION|3|3
corrob	C_numD_dissent	w12	2	V|w12|WITHHOLD|CONTRADICTION|3|3
corrob	C_numD_dissent	w3	1	V|w3|WITHHOLD|CONTRADICTION|3|3
corrob	C_numD_dissent	w3	2	V|w3|WITHHOLD|CONTRADICTION|3|3
corrob	C_numD_dissent	w6	1	V|w6|WITHHOLD|CONTRADICTION|3|3
corrob	C_numD_dissent	w6	2	V|w6|WITHHOLD|CONTRADICTION|3|3
corrob	H10_punct_variant	base	1	V|base|INSTALL|NONE|3|3
corrob	H10_punct_variant	base	2	V|base|INSTALL|NONE|3|3
corrob	H10_punct_variant	ch1	1	V|ch1|INSTALL|NONE|3|3
corrob	H10_punct_variant	ch1	2	V|ch1|INSTALL|NONE|3|3
corrob	H10_punct_variant	ch2	1	V|ch2|INSTALL|NONE|3|3
corrob	H10_punct_variant	ch2	2	V|ch2|INSTALL|NONE|3|3
corrob	H10_punct_variant	ch2b	1	V|ch2b|INSTALL|NONE|3|3
corrob	H10_punct_variant	ch2b	2	V|ch2b|INSTALL|NONE|3|3
corrob	H10_punct_variant	ch3	1	V|ch3|WITHHOLD|NONINFORMATIVE|3|3
corrob	H10_punct_variant	ch3	2	V|ch3|WITHHOLD|NONINFORMATIVE|3|3
corrob	H10_punct_variant	ch4	1	V|ch4|INSTALL|NONE|3|3
corrob	H10_punct_variant	ch4	2	V|ch4|INSTALL|NONE|3|3
corrob	H10_punct_variant	g1	1	V|g1|INSTALL|NONE|3|3
corrob	H10_punct_variant	g1	2	V|g1|INSTALL|NONE|3|3
corrob	H10_punct_variant	g4	1	V|g4|INSTALL|NONE|3|3
corrob	H10_punct_variant	g4	2	V|g4|INSTALL|NONE|3|3
corrob	H10_punct_variant	g6	1	V|g6|INSTALL|NONE|3|3
corrob	H10_punct_variant	g6	2	V|g6|INSTALL|NONE|3|3
corrob	H10_punct_variant	g7	1	V|g7|INSTALL|NONE|3|3
corrob	H10_punct_variant	g7	2	V|g7|INSTALL|NONE|3|3
corrob	H10_punct_variant	g9	1	V|g9|INSTALL|NONE|3|3
corrob	H10_punct_variant	g9	2	V|g9|INSTALL|NONE|3|3
corrob	H10_punct_variant	w11	1	V|w11|INSTALL|NONE|3|3
corrob	H10_punct_variant	w11	2	V|w11|INSTALL|NONE|3|3
corrob	H10_punct_variant	w12	1	V|w12|INSTALL|NONE|3|3
corrob	H10_punct_variant	w12	2	V|w12|INSTALL|NONE|3|3
corrob	H10_punct_variant	w3	1	V|w3|INSTALL|NONE|3|3
corrob	H10_punct_variant	w3	2	V|w3|INSTALL|NONE|3|3
corrob	H10_punct_variant	w6	1	V|w6|INSTALL|NONE|3|3
corrob	H10_punct_variant	w6	2	V|w6|INSTALL|NONE|3|3
corrob	H11_claim_second	base	1	V|base|INSTALL|NONE|2|2
corrob	H11_claim_second	base	2	V|base|INSTALL|NONE|2|2
corrob	H11_claim_second	ch1	1	V|ch1|INSTALL|NONE|2|2
corrob	H11_claim_second	ch1	2	V|ch1|INSTALL|NONE|2|2
corrob	H11_claim_second	ch2	1	V|ch2|INSTALL|NONE|2|2
corrob	H11_claim_second	ch2	2	V|ch2|INSTALL|NONE|2|2
corrob	H11_claim_second	ch2b	1	V|ch2b|INSTALL|NONE|2|2
corrob	H11_claim_second	ch2b	2	V|ch2b|INSTALL|NONE|2|2
corrob	H11_claim_second	ch3	1	V|ch3|WITHHOLD|NONINFORMATIVE|2|2
corrob	H11_claim_second	ch3	2	V|ch3|WITHHOLD|NONINFORMATIVE|2|2
corrob	H11_claim_second	ch4	1	V|ch4|INSTALL|NONE|2|2
corrob	H11_claim_second	ch4	2	V|ch4|INSTALL|NONE|2|2
corrob	H11_claim_second	g1	1	V|g1|INSTALL|NONE|2|2
corrob	H11_claim_second	g1	2	V|g1|INSTALL|NONE|2|2
corrob	H11_claim_second	g4	1	V|g4|INSTALL|NONE|2|2
corrob	H11_claim_second	g4	2	V|g4|INSTALL|NONE|2|2
corrob	H11_claim_second	g6	1	V|g6|INSTALL|NONE|2|2
corrob	H11_claim_second	g6	2	V|g6|INSTALL|NONE|2|2
corrob	H11_claim_second	g7	1	V|g7|INSTALL|NONE|2|2
corrob	H11_claim_second	g7	2	V|g7|INSTALL|NONE|2|2
corrob	H11_claim_second	g9	1	V|g9|INSTALL|NONE|2|2
corrob	H11_claim_second	g9	2	V|g9|INSTALL|NONE|2|2
corrob	H11_claim_second	w11	1	V|w11|INSTALL|NONE|2|2
corrob	H11_claim_second	w11	2	V|w11|INSTALL|NONE|2|2
corrob	H11_claim_second	w12	1	V|w12|INSTALL|NONE|2|2
corrob	H11_claim_second	w12	2	V|w12|INSTALL|NONE|2|2
corrob	H11_claim_second	w3	1	V|w3|INSTALL|NONE|2|2
corrob	H11_claim_second	w3	2	V|w3|INSTALL|NONE|2|2
corrob	H11_claim_second	w6	1	V|w6|INSTALL|NONE|2|2
corrob	H11_claim_second	w6	2	V|w6|INSTALL|NONE|2|2
corrob	H12_numeric2	base	1	V|base|INSTALL|NONE|2|2
corrob	H12_numeric2	base	2	V|base|INSTALL|NONE|2|2
corrob	H12_numeric2	ch1	1	V|ch1|INSTALL|NONE|2|2
corrob	H12_numeric2	ch1	2	V|ch1|INSTALL|NONE|2|2
corrob	H12_numeric2	ch2	1	V|ch2|INSTALL|NONE|2|2
corrob	H12_numeric2	ch2	2	V|ch2|INSTALL|NONE|2|2
corrob	H12_numeric2	ch2b	1	V|ch2b|INSTALL|NONE|2|2
corrob	H12_numeric2	ch2b	2	V|ch2b|INSTALL|NONE|2|2
corrob	H12_numeric2	ch3	1	V|ch3|INSTALL|NONE|2|2
corrob	H12_numeric2	ch3	2	V|ch3|INSTALL|NONE|2|2
corrob	H12_numeric2	ch4	1	V|ch4|INSTALL|NONE|2|2
corrob	H12_numeric2	ch4	2	V|ch4|INSTALL|NONE|2|2
corrob	H12_numeric2	g1	1	V|g1|INSTALL|NONE|2|2
corrob	H12_numeric2	g1	2	V|g1|INSTALL|NONE|2|2
corrob	H12_numeric2	g4	1	V|g4|INSTALL|NONE|2|2
corrob	H12_numeric2	g4	2	V|g4|INSTALL|NONE|2|2
corrob	H12_numeric2	g6	1	V|g6|INSTALL|NONE|2|2
corrob	H12_numeric2	g6	2	V|g6|INSTALL|NONE|2|2
corrob	H12_numeric2	g7	1	V|g7|INSTALL|NONE|2|2
corrob	H12_numeric2	g7	2	V|g7|INSTALL|NONE|2|2
corrob	H12_numeric2	g9	1	V|g9|INSTALL|NONE|2|2
corrob	H12_numeric2	g9	2	V|g9|INSTALL|NONE|2|2
corrob	H12_numeric2	w11	1	V|w11|INSTALL|NONE|2|2
corrob	H12_numeric2	w11	2	V|w11|INSTALL|NONE|2|2
corrob	H12_numeric2	w12	1	V|w12|INSTALL|NONE|2|2
corrob	H12_numeric2	w12	2	V|w12|INSTALL|NONE|2|2
corrob	H12_numeric2	w3	1	V|w3|INSTALL|NONE|2|2
corrob	H12_numeric2	w3	2	V|w3|INSTALL|NONE|2|2
corrob	H12_numeric2	w6	1	V|w6|INSTALL|NONE|2|2
corrob	H12_numeric2	w6	2	V|w6|INSTALL|NONE|2|2
corrob	H1_three_host	base	1	V|base|INSTALL|NONE|3|3
corrob	H1_three_host	base	2	V|base|INSTALL|NONE|3|3
corrob	H1_three_host	ch1	1	V|ch1|INSTALL|NONE|3|3
corrob	H1_three_host	ch1	2	V|ch1|INSTALL|NONE|3|3
corrob	H1_three_host	ch2	1	V|ch2|INSTALL|NONE|3|3
corrob	H1_three_host	ch2	2	V|ch2|INSTALL|NONE|3|3
corrob	H1_three_host	ch2b	1	V|ch2b|INSTALL|NONE|3|3
corrob	H1_three_host	ch2b	2	V|ch2b|INSTALL|NONE|3|3
corrob	H1_three_host	ch3	1	V|ch3|INSTALL|NONE|3|3
corrob	H1_three_host	ch3	2	V|ch3|INSTALL|NONE|3|3
corrob	H1_three_host	ch4	1	V|ch4|INSTALL|NONE|3|3
corrob	H1_three_host	ch4	2	V|ch4|INSTALL|NONE|3|3
corrob	H1_three_host	g1	1	V|g1|INSTALL|NONE|3|3
corrob	H1_three_host	g1	2	V|g1|INSTALL|NONE|3|3
corrob	H1_three_host	g4	1	V|g4|INSTALL|NONE|3|3
corrob	H1_three_host	g4	2	V|g4|INSTALL|NONE|3|3
corrob	H1_three_host	g6	1	V|g6|INSTALL|NONE|3|3
corrob	H1_three_host	g6	2	V|g6|INSTALL|NONE|3|3
corrob	H1_three_host	g7	1	V|g7|INSTALL|NONE|3|3
corrob	H1_three_host	g7	2	V|g7|INSTALL|NONE|3|3
corrob	H1_three_host	g9	1	V|g9|WITHHOLD|K5|3|3
corrob	H1_three_host	g9	2	V|g9|WITHHOLD|K5|3|3
corrob	H1_three_host	w11	1	V|w11|INSTALL|NONE|3|3
corrob	H1_three_host	w11	2	V|w11|INSTALL|NONE|3|3
corrob	H1_three_host	w12	1	V|w12|INSTALL|NONE|3|3
corrob	H1_three_host	w12	2	V|w12|INSTALL|NONE|3|3
corrob	H1_three_host	w3	1	V|w3|INSTALL|NONE|3|3
corrob	H1_three_host	w3	2	V|w3|INSTALL|NONE|3|3
corrob	H1_three_host	w6	1	V|w6|INSTALL|NONE|3|3
corrob	H1_three_host	w6	2	V|w6|INSTALL|NONE|3|3
corrob	H2_four_host	base	1	V|base|INSTALL|NONE|4|4
corrob	H2_four_host	base	2	V|base|INSTALL|NONE|4|4
corrob	H2_four_host	ch1	1	V|ch1|INSTALL|NONE|4|4
corrob	H2_four_host	ch1	2	V|ch1|INSTALL|NONE|4|4
corrob	H2_four_host	ch2	1	V|ch2|INSTALL|NONE|4|4
corrob	H2_four_host	ch2	2	V|ch2|INSTALL|NONE|4|4
corrob	H2_four_host	ch2b	1	V|ch2b|INSTALL|NONE|4|4
corrob	H2_four_host	ch2b	2	V|ch2b|INSTALL|NONE|4|4
corrob	H2_four_host	ch3	1	V|ch3|INSTALL|NONE|4|4
corrob	H2_four_host	ch3	2	V|ch3|INSTALL|NONE|4|4
corrob	H2_four_host	ch4	1	V|ch4|INSTALL|NONE|4|4
corrob	H2_four_host	ch4	2	V|ch4|INSTALL|NONE|4|4
corrob	H2_four_host	g1	1	V|g1|INSTALL|NONE|4|4
corrob	H2_four_host	g1	2	V|g1|INSTALL|NONE|4|4
corrob	H2_four_host	g4	1	V|g4|INSTALL|NONE|4|4
corrob	H2_four_host	g4	2	V|g4|INSTALL|NONE|4|4
corrob	H2_four_host	g6	1	V|g6|INSTALL|NONE|4|4
corrob	H2_four_host	g6	2	V|g6|INSTALL|NONE|4|4
corrob	H2_four_host	g7	1	V|g7|INSTALL|NONE|4|4
corrob	H2_four_host	g7	2	V|g7|INSTALL|NONE|4|4
corrob	H2_four_host	g9	1	V|g9|WITHHOLD|K5|4|4
corrob	H2_four_host	g9	2	V|g9|WITHHOLD|K5|4|4
corrob	H2_four_host	w11	1	V|w11|INSTALL|NONE|4|4
corrob	H2_four_host	w11	2	V|w11|INSTALL|NONE|4|4
corrob	H2_four_host	w12	1	V|w12|INSTALL|NONE|4|4
corrob	H2_four_host	w12	2	V|w12|INSTALL|NONE|4|4
corrob	H2_four_host	w3	1	V|w3|INSTALL|NONE|4|4
corrob	H2_four_host	w3	2	V|w3|INSTALL|NONE|4|4
corrob	H2_four_host	w6	1	V|w6|INSTALL|NONE|4|4
corrob	H2_four_host	w6	2	V|w6|INSTALL|NONE|4|4
corrob	H3_six_host	base	1	V|base|INSTALL|NONE|6|6
corrob	H3_six_host	base	2	V|base|INSTALL|NONE|6|6
corrob	H3_six_host	ch1	1	V|ch1|INSTALL|NONE|6|6
corrob	H3_six_host	ch1	2	V|ch1|INSTALL|NONE|6|6
corrob	H3_six_host	ch2	1	V|ch2|INSTALL|NONE|6|6
corrob	H3_six_host	ch2	2	V|ch2|INSTALL|NONE|6|6
corrob	H3_six_host	ch2b	1	V|ch2b|INSTALL|NONE|6|6
corrob	H3_six_host	ch2b	2	V|ch2b|INSTALL|NONE|6|6
corrob	H3_six_host	ch3	1	V|ch3|INSTALL|NONE|6|6
corrob	H3_six_host	ch3	2	V|ch3|INSTALL|NONE|6|6
corrob	H3_six_host	ch4	1	V|ch4|INSTALL|NONE|6|6
corrob	H3_six_host	ch4	2	V|ch4|INSTALL|NONE|6|6
corrob	H3_six_host	g1	1	V|g1|INSTALL|NONE|6|6
corrob	H3_six_host	g1	2	V|g1|INSTALL|NONE|6|6
corrob	H3_six_host	g4	1	V|g4|INSTALL|NONE|6|6
corrob	H3_six_host	g4	2	V|g4|INSTALL|NONE|6|6
corrob	H3_six_host	g6	1	V|g6|INSTALL|NONE|6|6
