# Per-design per-family summary
mech | family | depth | n | acc | abst | G(d) | mean_conf(rel)
M2   | logic   | d16 | 264 | 1.000 | 0.000 | -0.422 | 0.578
M2   | redteam | d 1 |   3 | 0.667 | 0.000 | -0.133 | 0.533
M2   | redteam | d 2 |   3 | 0.667 | 0.000 | +0.067 | 0.733
M2   | redteam | d 4 |   3 | 0.667 | 0.000 | +0.067 | 0.733
M2   | redteam | d 8 |   3 | 0.333 | 0.000 | +0.600 | 0.933
M2   | redteam | d16 |   3 | 0.333 | 0.000 | +0.600 | 0.933
M2   | revoke  | d 1 | 113 | 1.000 | 0.000 | -0.500 | 0.500
M2   | revoke  | d 2 | 113 | 1.000 | 0.000 | -0.199 | 0.801
M2   | revoke  | d 4 | 113 | 1.000 | 0.000 | -0.199 | 0.801
M2   | revoke  | d 8 | 113 | 1.000 | 0.000 | -0.199 | 0.801
M2   | revoke  | d16 | 113 | 1.000 | 0.000 | -0.199 | 0.801
M2   | trap    | d 1 | 127 | 0.000 | 0.000 | +0.100 | 0.100
M2   | trap    | d 2 | 127 | 0.331 | 0.000 | +0.067 | 0.398
M2   | trap    | d 4 | 127 | 0.961 | 0.000 | -0.050 | 0.911
M2   | trap    | d 8 | 127 | 0.961 | 0.000 | -0.042 | 0.919
M2   | trap    | d16 | 127 | 0.961 | 0.000 | -0.042 | 0.919
M3   | D       | d 1 |  40 | 0.250 | 0.000 | +0.075 | 0.325
M3   | D       | d 2 |  40 | 0.333 | 0.250 | +0.133 | 0.467
M3   | D       | d 4 |  40 | 0.500 | 0.500 | +0.200 | 0.700
M3   | D       | d 8 |  40 | 1.000 | 0.750 | +0.000 | 1.000
M3   | D       | d16 |  40 | 1.000 | 0.750 | +0.000 | 1.000
M3   | D       | d32 |  40 | 1.000 | 0.750 | +0.000 | 1.000
M3   | D       | d64 |  40 | 1.000 | 0.750 | +0.000 | 1.000
M3   | O       | d 1 |  40 | 1.000 | 0.000 | -0.690 | 0.310
M3   | O       | d 2 |  40 | 1.000 | 0.000 | -0.500 | 0.500
M3   | O       | d 4 |  40 | 1.000 | 0.000 | -0.500 | 0.500
M3   | O       | d 8 |  40 | 1.000 | 0.250 | -0.500 | 0.500
M3   | O       | d16 |  40 | 1.000 | 0.500 | -0.500 | 0.500
M3   | O       | d32 |  40 | 1.000 | 0.750 | -0.500 | 0.500
M3   | O       | d64 |  40 | nan | 1.000 | +nan | nan
M3   | P       | d 1 |  40 | 0.000 | 0.000 | +0.310 | 0.310
M3   | P       | d 2 |  40 | 0.000 | 0.000 | +0.500 | 0.500
M3   | P       | d 4 |  40 | 0.000 | 0.000 | +0.500 | 0.500
M3   | P       | d 8 |  40 | 0.000 | 0.250 | +0.500 | 0.500
M3   | P       | d16 |  40 | 0.000 | 0.500 | +0.500 | 0.500
M3   | P       | d32 |  40 | 0.000 | 0.750 | +0.500 | 0.500
M3   | P       | d64 |  40 | nan | 1.000 | +nan | nan
M3   | admit   | d 1 | 248 | 1.000 | 0.000 | -0.210 | 0.790
M3   | admit   | d 2 | 248 | 1.000 | 0.000 | -0.043 | 0.957
M3   | admit   | d 4 | 248 | 1.000 | 0.000 | -0.008 | 0.992
M3   | admit   | d 8 | 248 | 1.000 | 0.000 | -0.008 | 0.992
M3   | admit   | d16 | 248 | 1.000 | 0.000 | -0.008 | 0.992
M3   | cost    | d 1 | 125 | 1.000 | 0.000 | -0.460 | 0.540
M3   | cost    | d 2 | 125 | 1.000 | 0.000 | +0.000 | 1.000
M3   | cost    | d 4 | 125 | 1.000 | 0.000 | +0.000 | 1.000
M3   | cost    | d 8 | 125 | 1.000 | 0.000 | +0.000 | 1.000
M3   | cost    | d16 | 125 | 1.000 | 0.000 | +0.000 | 1.000
M3   | logic   | d 1 | 264 | 1.000 | 0.000 | -0.500 | 0.500
M3   | logic   | d 2 | 264 | 1.000 | 0.000 | -0.422 | 0.578
M3   | logic   | d 4 | 264 | 1.000 | 0.000 | -0.422 | 0.578
M3   | logic   | d 8 | 264 | 1.000 | 0.000 | -0.422 | 0.578
M3   | logic   | d16 | 264 | 1.000 | 0.000 | -0.422 | 0.578
M3   | redteam | d 1 |   3 | 0.667 | 0.000 | -0.133 | 0.533
M3   | redteam | d 2 |   3 | 0.667 | 0.000 | +0.067 | 0.733
M3   | redteam | d 4 |   3 | 0.667 | 0.000 | -0.267 | 0.400
M3   | redteam | d 8 |   3 | 0.000 | 0.333 | +1.000 | 1.000
M3   | redteam | d16 |   3 | 0.000 | 0.333 | +1.000 | 1.000
M3   | revoke  | d 1 | 113 | 1.000 | 0.000 | -0.500 | 0.500
M3   | revoke  | d 2 | 113 | 1.000 | 0.000 | -0.199 | 0.801
M3   | revoke  | d 4 | 113 | 1.000 | 0.000 | -0.199 | 0.801
M3   | revoke  | d 8 | 113 | 1.000 | 0.000 | -0.199 | 0.801
M3   | revoke  | d16 | 113 | 1.000 | 0.000 | -0.199 | 0.801
M3   | trap    | d 1 | 127 | 0.000 | 0.000 | +0.100 | 0.100
M3   | trap    | d 2 | 127 | 0.000 | 0.331 | +0.200 | 0.200
M3   | trap    | d 4 | 127 | 0.000 | 0.677 | +0.049 | 0.049
M3   | trap    | d 8 | 127 | 0.000 | 0.677 | +0.000 | 0.000
M3   | trap    | d16 | 127 | 0.000 | 0.677 | +0.000 | 0.000
M4   | D       | d 1 |  40 | 0.250 | 0.000 | +0.075 | 0.325
M4   | D       | d 2 |  40 | 0.333 | 0.250 | +0.133 | 0.467
M4   | D       | d 4 |  40 | 0.500 | 0.500 | +0.200 | 0.700
M4   | D       | d 8 |  40 | 1.000 | 0.750 | +0.000 | 1.000
M4   | D       | d16 |  40 | 1.000 | 0.750 | +0.000 | 1.000
M4   | D       | d32 |  40 | 1.000 | 0.750 | +0.000 | 1.000
M4   | D       | d64 |  40 | 1.000 | 0.750 | +0.000 | 1.000
M4   | O       | d 1 |  40 | 1.000 | 0.000 | -0.690 | 0.310
M4   | O       | d 2 |  40 | 1.000 | 0.000 | -0.500 | 0.500
M4   | O       | d 4 |  40 | 1.000 | 0.000 | -0.500 | 0.500
M4   | O       | d 8 |  40 | 1.000 | 0.250 | -0.500 | 0.500
M4   | O       | d16 |  40 | 1.000 | 0.500 | -0.500 | 0.500
M4   | O       | d32 |  40 | 1.000 | 0.750 | -0.500 | 0.500
M4   | O       | d64 |  40 | nan | 1.000 | +nan | nan
M4   | P       | d 1 |  40 | 0.000 | 0.000 | +0.310 | 0.310
M4   | P       | d 2 |  40 | 0.000 | 0.000 | +0.500 | 0.500
M4   | P       | d 4 |  40 | 0.000 | 0.000 | +0.500 | 0.500
M4   | P       | d 8 |  40 | 0.000 | 0.250 | +0.500 | 0.500
M4   | P       | d16 |  40 | 0.000 | 0.500 | +0.500 | 0.500
M4   | P       | d32 |  40 | 0.000 | 0.750 | +0.500 | 0.500
M4   | P       | d64 |  40 | nan | 1.000 | +nan | nan
M4   | admit   | d 1 | 248 | 1.000 | 0.000 | -0.210 | 0.790
M4   | admit   | d 2 | 248 | 1.000 | 0.000 | -0.043 | 0.957
M4   | admit   | d 4 | 248 | 1.000 | 0.000 | -0.008 | 0.992
M4   | admit   | d 8 | 248 | 1.000 | 0.000 | -0.008 | 0.992
M4   | admit   | d16 | 248 | 1.000 | 0.000 | -0.008 | 0.992
M4   | cost    | d 1 | 125 | 1.000 | 0.000 | -0.460 | 0.540
M4   | cost    | d 2 | 125 | 1.000 | 0.000 | +0.000 | 1.000
M4   | cost    | d 4 | 125 | 1.000 | 0.000 | +0.000 | 1.000
M4   | cost    | d 8 | 125 | 1.000 | 0.000 | +0.000 | 1.000
M4   | cost    | d16 | 125 | 1.000 | 0.000 | +0.000 | 1.000
M4   | logic   | d 1 | 264 | 1.000 | 0.000 | -0.500 | 0.500
M4   | logic   | d 2 | 264 | 1.000 | 0.000 | -0.422 | 0.578
M4   | logic   | d 4 | 264 | 1.000 | 0.000 | -0.422 | 0.578
M4   | logic   | d 8 | 264 | 1.000 | 0.000 | -0.422 | 0.578
M4   | logic   | d16 | 264 | 1.000 | 0.000 | -0.422 | 0.578
M4   | redteam | d 1 |   3 | 0.667 | 0.000 | -0.133 | 0.533
M4   | redteam | d 2 |   3 | 0.667 | 0.000 | +0.067 | 0.733
M4   | redteam | d 4 |   3 | 0.500 | 0.333 | +0.100 | 0.600
M4   | redteam | d 8 |   3 | 0.000 | 0.667 | +1.000 | 1.000
M4   | redteam | d16 |   3 | 0.000 | 0.667 | +1.000 | 1.000
M4   | revoke  | d 1 | 113 | 1.000 | 0.000 | -0.500 | 0.500
M4   | revoke  | d 2 | 113 | 1.000 | 0.000 | -0.199 | 0.801
M4   | revoke  | d 4 | 113 | 1.000 | 0.000 | -0.199 | 0.801
M4   | revoke  | d 8 | 113 | 1.000 | 0.000 | -0.199 | 0.801
M4   | revoke  | d16 | 113 | 1.000 | 0.000 | -0.199 | 0.801
M4   | trap    | d 1 | 127 | 0.000 | 0.000 | +0.100 | 0.100
M4   | trap    | d 2 | 127 | 0.000 | 0.331 | +0.200 | 0.200
M4   | trap    | d 4 | 127 | 0.000 | 0.961 | +0.400 | 0.400
M4   | trap    | d 8 | 127 | nan | 1.000 | +nan | nan
M4   | trap    | d16 | 127 | nan | 1.000 | +nan | nan
M5   | D       | d 1 |  40 | nan | 1.000 | +nan | nan
M5   | D       | d 2 |  40 | 1.000 | 0.750 | +0.000 | 1.000
M5   | D       | d 4 |  40 | 1.000 | 0.250 | +0.000 | 1.000
M5   | D       | d 8 |  40 | 1.000 | 0.000 | +0.000 | 1.000
M5   | D       | d16 |  40 | 1.000 | 0.000 | +0.000 | 1.000
M5   | D       | d32 |  40 | 1.000 | 0.000 | +0.000 | 1.000
M5   | D       | d64 |  40 | 1.000 | 0.000 | +0.000 | 1.000
M5   | O       | d 1 |  40 | nan | 1.000 | +nan | nan
M5   | O       | d 2 |  40 | nan | 1.000 | +nan | nan
M5   | O       | d 4 |  40 | nan | 1.000 | +nan | nan
M5   | O       | d 8 |  40 | 0.000 | 0.750 | +1.000 | 1.000
M5   | O       | d16 |  40 | 0.000 | 0.500 | +1.000 | 1.000
M5   | O       | d32 |  40 | 0.000 | 0.250 | +1.000 | 1.000
M5   | O       | d64 |  40 | 0.000 | 0.000 | +1.000 | 1.000
M5   | P       | d 1 |  40 | nan | 1.000 | +nan | nan
M5   | P       | d 2 |  40 | nan | 1.000 | +nan | nan
M5   | P       | d 4 |  40 | nan | 1.000 | +nan | nan
M5   | P       | d 8 |  40 | 1.000 | 0.750 | +0.000 | 1.000
M5   | P       | d16 |  40 | 1.000 | 0.500 | +0.000 | 1.000
M5   | P       | d32 |  40 | 1.000 | 0.250 | +0.000 | 1.000
M5   | P       | d64 |  40 | 1.000 | 0.000 | +0.000 | 1.000
M5   | admit   | d 1 | 248 | 1.000 | 0.935 | -0.131 | 0.869
M5   | admit   | d 2 | 248 | 1.000 | 0.867 | -0.064 | 0.936
M5   | admit   | d 4 | 248 | 1.000 | 0.734 | -0.032 | 0.968
M5   | admit   | d 8 | 248 | 1.000 | 0.500 | -0.017 | 0.983
M5   | admit   | d16 | 248 | 1.000 | 0.194 | -0.011 | 0.989
M5   | cost    | d 1 | 125 | nan | 1.000 | +nan | nan
M5   | cost    | d 2 | 125 | nan | 1.000 | +nan | nan
M5   | cost    | d 4 | 125 | 1.000 | 0.840 | +0.000 | 1.000
M5   | cost    | d 8 | 125 | 1.000 | 0.000 | +0.000 | 1.000
M5   | cost    | d16 | 125 | 1.000 | 0.000 | +0.000 | 1.000
M5   | logic   | d 1 | 264 | 1.000 | 0.155 | -0.500 | 0.500
M5   | logic   | d 2 | 264 | 1.000 | 0.049 | -0.444 | 0.556
M5   | logic   | d 4 | 264 | 1.000 | 0.011 | -0.427 | 0.573
M5   | logic   | d 8 | 264 | 1.000 | 0.011 | -0.427 | 0.573
M5   | logic   | d16 | 264 | 1.000 | 0.000 | -0.422 | 0.578
M5   | redteam | d 1 |   3 | nan | 1.000 | +nan | nan
M5   | redteam | d 2 |   3 | nan | 1.000 | +nan | nan
M5   | redteam | d 4 |   3 | 0.000 | 0.667 | +1.000 | 1.000
M5   | redteam | d 8 |   3 | 0.000 | 0.000 | +1.000 | 1.000
M5   | redteam | d16 |   3 | 0.000 | 0.000 | +1.000 | 1.000
M5   | revoke  | d 1 | 113 | 1.000 | 0.602 | -0.500 | 0.500
M5   | revoke  | d 2 | 113 | 1.000 | 0.602 | -0.500 | 0.500
M5   | revoke  | d 4 | 113 | 1.000 | 0.558 | -0.450 | 0.550
M5   | revoke  | d 8 | 113 | 1.000 | 0.265 | -0.271 | 0.729
M5   | revoke  | d16 | 113 | 1.000 | 0.000 | -0.199 | 0.801
M5   | trap    | d 1 | 127 | nan | 1.000 | +nan | nan
M5   | trap    | d 2 | 127 | 1.000 | 0.811 | +0.000 | 1.000
M5   | trap    | d 4 | 127 | 1.000 | 0.165 | -0.074 | 0.926
M5   | trap    | d 8 | 127 | 1.000 | 0.000 | -0.085 | 0.915
M5   | trap    | d16 | 127 | 1.000 | 0.000 | -0.085 | 0.915
M6   | D       | d 1 |  40 | nan | 1.000 | +nan | nan
M6   | D       | d 2 |  40 | 1.000 | 0.750 | +0.000 | 1.000
M6   | D       | d 4 |  40 | 1.000 | 0.250 | +0.000 | 1.000
M6   | D       | d 8 |  40 | 1.000 | 0.000 | +0.000 | 1.000
M6   | D       | d16 |  40 | 1.000 | 0.000 | +0.000 | 1.000
M6   | D       | d32 |  40 | 1.000 | 0.000 | +0.000 | 1.000
M6   | D       | d64 |  40 | 1.000 | 0.000 | +0.000 | 1.000
M6   | O       | d 1 |  40 | nan | 1.000 | +nan | nan
M6   | O       | d 2 |  40 | nan | 1.000 | +nan | nan
M6   | O       | d 4 |  40 | nan | 1.000 | +nan | nan
M6   | O       | d 8 |  40 | 0.000 | 0.750 | +1.000 | 1.000
M6   | O       | d16 |  40 | 0.000 | 0.500 | +1.000 | 1.000
M6   | O       | d32 |  40 | 0.000 | 0.250 | +1.000 | 1.000
M6   | O       | d64 |  40 | 0.000 | 0.000 | +1.000 | 1.000
M6   | P       | d 1 |  40 | nan | 1.000 | +nan | nan
M6   | P       | d 2 |  40 | nan | 1.000 | +nan | nan
M6   | P       | d 4 |  40 | nan | 1.000 | +nan | nan
M6   | P       | d 8 |  40 | 1.000 | 0.750 | +0.000 | 1.000
M6   | P       | d16 |  40 | 1.000 | 0.500 | +0.000 | 1.000
M6   | P       | d32 |  40 | 1.000 | 0.250 | +0.000 | 1.000
M6   | P       | d64 |  40 | 1.000 | 0.000 | +0.000 | 1.000
M6   | admit   | d 1 | 248 | 1.000 | 0.935 | -0.131 | 0.869
M6   | admit   | d 2 | 248 | 1.000 | 0.867 | -0.064 | 0.936
M6   | admit   | d 4 | 248 | 1.000 | 0.734 | -0.032 | 0.968
M6   | admit   | d 8 | 248 | 1.000 | 0.500 | -0.017 | 0.983
M6   | admit   | d16 | 248 | 1.000 | 0.194 | -0.011 | 0.989
M6   | cost    | d 1 | 125 | nan | 1.000 | +nan | nan
M6   | cost    | d 2 | 125 | nan | 1.000 | +nan | nan
M6   | cost    | d 4 | 125 | 1.000 | 0.840 | +0.000 | 1.000
M6   | cost    | d 8 | 125 | 1.000 | 0.000 | +0.000 | 1.000
M6   | cost    | d16 | 125 | 1.000 | 0.000 | +0.000 | 1.000
M6   | logic   | d 1 | 264 | 1.000 | 0.155 | -0.500 | 0.500
M6   | logic   | d 2 | 264 | 1.000 | 0.049 | -0.444 | 0.556
M6   | logic   | d 4 | 264 | 1.000 | 0.011 | -0.427 | 0.573
M6   | logic   | d 8 | 264 | 1.000 | 0.011 | -0.427 | 0.573
M6   | logic   | d16 | 264 | 1.000 | 0.000 | -0.422 | 0.578
M6   | redteam | d 1 |   3 | nan | 1.000 | +nan | nan
M6   | redteam | d 2 |   3 | nan | 1.000 | +nan | nan
M6   | redteam | d 4 |   3 | 0.000 | 0.667 | +1.000 | 1.000
M6   | redteam | d 8 |   3 | 0.000 | 0.000 | +1.000 | 1.000
M6   | redteam | d16 |   3 | 0.000 | 0.000 | +1.000 | 1.000
M6   | revoke  | d 1 | 113 | 1.000 | 0.602 | -0.500 | 0.500
M6   | revoke  | d 2 | 113 | 1.000 | 0.602 | -0.500 | 0.500
M6   | revoke  | d 4 | 113 | 1.000 | 0.558 | -0.450 | 0.550
M6   | revoke  | d 8 | 113 | 1.000 | 0.265 | -0.271 | 0.729
M6   | revoke  | d16 | 113 | 1.000 | 0.000 | -0.199 | 0.801
M6   | trap    | d 1 | 127 | nan | 1.000 | +nan | nan
M6   | trap    | d 2 | 127 | 1.000 | 0.811 | +0.000 | 1.000
M6   | trap    | d 4 | 127 | 1.000 | 0.165 | -0.074 | 0.926
M6   | trap    | d 8 | 127 | 1.000 | 0.000 | -0.085 | 0.915
M6   | trap    | d16 | 127 | 1.000 | 0.000 | -0.085 | 0.915
BASE | D       | d 1 |  40 | 0.250 | 0.000 | +0.075 | 0.325
