epoch	subphase	phase	hinge	gwrong	gcorr	v1	v2	v3	v4	v5	v6	v7	v8	c	w1	w2	w3	w4	w5	w6	w7	w8	b
32	0	1	3278	118	0	35	-145	0	-138	348	-990	0	0	500	1000	0	0	0	0	0	0	0	-99928
33	0	1	262	120	0	135	-145	0	-138	390	-1115	250	0	500	1000	0	0	0	0	0	0	0	-99928
34	0	2	5302	221	1	10	-139	0	-176	218	-240	-500	0	1000	1000	0	0	0	0	0	0	0	-99928
35	0	2	2614	221	0	-140	-146	0	-201	70	-365	-750	0	750	1000	0	0	0	0	0	0	0	-99928
36	0	0	303	0	0	92	-143	0	-201	320	-338	-500	0	1000	1000	0	0	0	0	0	0	0	-99928
37	0	0	0	0	0	92	-143	0	-201	320	-338	-500	0	1000	1000	0	0	0	0	0	0	0	-99928
38	0	1	2242	119	0	-8	-153	0	-251	269	-963	-250	0	500	1000	0	0	0	0	0	0	0	-99928
39	0	1	556	120	0	92	-153	0	-251	311	-1088	0	0	500	1000	0	0	0	0	0	0	0	-99928
40	0	2	3478	221	0	92	-143	0	-226	318	-338	-500	0	1000	1000	0	0	0	0	0	0	0	-99928
41	0	2	2676	221	0	67	-143	0	-164	208	-213	-750	0	1000	1000	0	0	0	0	0	0	0	-99928
42	0	0	11	0	0	317	-128	0	24	241	-186	-500	0	1250	1000	0	0	0	0	0	0	0	-99928
43	0	0	0	0	0	317	-128	0	24	241	-186	-500	0	1250	1000	0	0	0	0	0	0	0	-99928
44	0	1	3575	118	0	92	-153	0	-26	65	-1061	-250	0	500	1000	0	0	0	0	0	0	0	-99928
45	0	1	501	120	0	192	-153	0	-26	107	-1186	0	0	500	1000	0	0	0	0	0	0	0	-99928
46	0	2	3755	221	1	192	-143	0	-1	114	-436	-500	0	1000	1000	0	0	0	0	0	0	0	-99928
47	0	2	2592	221	0	92	-147	0	-26	16	-311	-750	0	1000	1000	0	0	0	0	0	0	0	-99928
48	0	0	27	0	0	342	-140	0	99	78	-186	-500	0	1250	1000	0	0	0	0	0	0	0	-99928
49	0	0	0	0	0	342	-140	0	99	78	-186	-500	0	1250	1000	0	0	0	0	0	0	0	-99928
50	0	1	4014	118	0	217	-165	0	49	-56	-1186	0	0	500	1000	0	0	0	0	0	0	0	-99928
51	0	1	270	120	0	242	-177	0	24	-56	-1311	250	0	500	1000	0	0	0	0	0	0	0	-99928
52	0	2	4632	221	2	242	-167	0	49	-49	-561	-250	0	1000	1000	0	0	0	0	0	0	0	-99928
53	0	2	3678	221	0	167	-167	0	49	-192	-311	-750	0	1000	1000	0	0	0	0	0	0	0	-99928
54	0	0	23	0	0	399	-164	0	49	58	-284	-500	0	1250	1000	0	0	0	0	0	0	0	-99928
55	0	0	0	0	0	399	-164	0	49	58	-284	-500	0	1250	1000	0	0	0	0	0	0	0	-99928
56	0	1	3710	118	0	199	-201	0	-26	-118	-1284	0	0	500	1000	0	0	0	0	0	0	0	-99928
57	0	1	304	120	0	324	-198	0	-26	7	-1159	250	0	750	1000	0	0	0	0	0	0	0	-99928
58	0	2	3807	221	0	174	-74	0	-151	88	-409	-250	0	1250	1000	0	0	0	0	0	0	0	-99928
59	0	2	4875	221	1	74	-77	0	-151	-105	-409	-750	0	1000	1000	0	0	0	0	0	0	0	-99928
60	1	0	32	0	0	190	-76	0	-151	20	-396	-625	0	1125	1000	0	0	0	0	0	0	0	-100094
61	1	0	0	0	0	190	-76	0	-151	20	-396	-625	0	1125	1000	0	0	0	0	0	0	0	-100260
62	1	1	3946	118	1	142	-86	0	-114	2	-1022	-375	0	625	1000	0	0	0	0	0	0	0	-100260
63	1	1	689	120	0	229	-88	0	-126	23	-1148	-125	0	625	1000	0	0	0	0	0	0	0	-100260
64	1	2	3965	220	2	190	-81	0	-175	-3	-584	-500	0	1000	1000	0	0	0	0	0	0	0	-100426
65	1	2	2541	221	1	203	-82	0	-137	-52	-646	-625	0	875	1000	0	0	0	0	0	0	0	-100592
66	1	0	6	0	0	328	-73	0	-20	73	-633	-500	0	1000	1000	0	0	0	0	0	0	0	-100758
67	1	0	0	0	0	328	-73	0	-20	73	-633	-500	0	1000	1000	0	0	0	0	0	0	0	-100924
68	1	1	2204	119	0	330	-82	0	17	70	-1134	-250	0	625	1000	0	0	0	0	0	0	0	-100924
69	1	1	215	120	0	367	-84	0	5	70	-1197	-125	0	625	1000	0	0	0	0	0	0	0	-100924
70	1	2	4338	220	2	297	-83	0	-44	-10	-633	-500	0	1000	1000	0	0	0	0	0	0	0	-101090
71	1	2	3031	220	1	210	-86	0	-68	-117	-632	-750	0	875	1000	0	0	0	0	0	0	0	-101090
72	1	0	67	0	0	326	-85	0	-68	8	-619	-625	0	1000	1000	0	0	0	0	0	0	0	-101256
73	1	0	0	0	0	326	-85	0	-68	8	-619	-625	0	1000	1000	0	0	0	0	0	0	0	-101422
74	1	1	2519	119	1	328	-94	0	-31	5	-1120	-375	0	625	1000	0	0	0	0	0	0	0	-101422
75	1	1	552	120	0	390	-100	0	-43	26	-1246	-125	0	625	1000	0	0	0	0	0	0	0	-101422
76	1	2	4490	220	2	351	-93	0	-92	0	-682	-500	0	1000	1000	0	0	0	0	0	0	0	-101588
77	1	2	3073	220	1	326	-34	0	-116	-10	-556	-750	0	1000	1000	0	0	0	0	0	0	0	-101754
78	1	0	0	0	0	326	-34	0	-116	-10	-556	-750	0	1000	1000	0	0	0	0	0	0	0	-101920
79	1	0	0	0	0	326	-34	0	-116	-10	-556	-750	0	1000	1000	0	0	0	0	0	0	0	-102086
80	1	1	3497	117	1	378	-43	0	-79	8	-1120	-375	0	625	1000	0	0	0	0	0	0	0	-102086
81	1	1	323	120	0	415	-45	0	-91	8	-1183	-250	0	625	1000	0	0	0	0	0	0	0	-102086
82	1	2	3850	220	2	345	-44	0	-140	-72	-619	-625	0	1000	1000	0	0	0	0	0	0	0	-102252
83	1	2	2346	221	1	358	-45	0	-102	-121	-681	-750	0	875	1000	0	0	0	0	0	0	0	-102252
84	1	0	13	0	0	483	-36	0	15	4	-668	-625	0	1000	1000	0	0	0	0	0	0	0	-102418
85	1	0	0	0	0	483	-36	0	15	4	-668	-625	0	1000	1000	0	0	0	0	0	0	0	-102584
86	1	1	2365	118	1	472	-47	0	40	-20	-1169	-375	0	625	1000	0	0	0	0	0	0	0	-102584
87	1	1	388	120	0	484	-53	0	28	-20	-1232	-250	0	625	1000	0	0	0	0	0	0	0	-102584
88	1	2	4137	220	2	414	-52	0	-21	-100	-668	-625	0	1000	1000	0	0	0	0	0	0	0	-102750
89	1	2	2807	220	1	389	7	0	-45	-110	-542	-875	0	1000	1000	0	0	0	0	0	0	0	-102916
90	1	0	6	0	0	514	10	0	17	-79	-480	-750	0	1125	1000	0	0	0	0	0	0	0	-103082
91	1	0	0	0	0	514	10	0	17	-79	-480	-750	0	1125	1000	0	0	0	0	0	0	0	-103248
92	1	1	4299	117	1	503	-2	0	42	-66	-1169	-375	0	625	1000	0	0	0	0	0	0	0	-103248
93	1	1	388	120	0	515	-8	0	30	-66	-1232	-250	0	625	1000	0	0	0	0	0	0	0	-103248
94	1	2	4092	220	2	476	-1	0	-19	-92	-668	-625	0	1000	1000	0	0	0	0	0	0	0	-103414
95	1	2	2846	220	1	389	-4	0	-43	-199	-667	-875	0	875	1000	0	0	0	0	0	0	0	-103414
96	1	0	110	0	0	505	-3	0	-43	-74	-654	-750	0	1000	1000	0	0	0	0	0	0	0	-103580
97	1	0	0	0	0	505	-3	0	-43	-74	-654	-750	0	1000	1000	0	0	0	0	0	0	0	-103746
98	1	1	3140	118	1	519	-18	0	-18	-77	-1218	-375	0	625	1000	0	0	0	0	0	0	0	-103746
99	1	1	355	120	0	531	-24	0	-30	-77	-1281	-250	0	625	1000	0	0	0	0	0	0	0	-103746
100	1	2	4292	220	2	492	-17	0	-79	-103	-717	-625	0	1000	1000	0	0	0	0	0	0	0	-103912
101	1	2	2854	220	1	423	-19	0	-103	-185	-591	-875	0	1000	1000	0	0	0	0	0	0	0	-104078
102	1	0	1	0	0	548	-10	0	14	-60	-578	-750	0	1125	1000	0	0	0	0	0	0	0	-104244
103	1	0	0	0	0	548	-10	0	14	-60	-578	-750	0	1125	1000	0	0	0	0	0	0	0	-104410
104	1	1	3868	118	1	512	-26	0	39	-78	-1267	-375	0	625	1000	0	0	0	0	0	0	0	-104410
105	1	1	400	120	0	624	-25	0	39	5	-1268	-125	0	750	1000	0	0	0	0	0	0	0	-104535
106	1	2	4611	220	1	485	-21	0	-60	-71	-829	-500	0	1000	1000	0	0	0	0	0	0	0	-104701
107	1	2	2645	221	0	372	-23	0	-109	-168	-703	-750	0	1000	1000	0	0	0	0	0	0	0	-104867
108	1	0	35	0	0	497	-20	0	-47	-43	-662	-625	0	1125	1000	0	0	0	0	0	0	0	-105033
109	1	0	0	0	0	497	-20	0	-47	-43	-662	-625	0	1125	1000	0	0	0	0	0	0	0	-105199
110	1	1	2876	118	1	461	-29	0	-10	-20	-1163	-375	0	750	1000	0	0	0	0	0	0	0	-105324
111	1	1	555	120	0	498	-33	0	-47	11	-1289	-125	0	750	1000	0	0	0	0	0	0	0	-105324
112	1	2	4431	220	2	415	-32	0	-96	-69	-725	-500	0	1125	1000	0	0	0	0	0	0	0	-105490
113	1	2	3131	220	0	365	-33	0	-95	-166	-724	-750	0	1000	1000	0	0	0	0	0	0	0	-105656
114	1	0	40	0	0	490	-30	0	-33	-41	-683	-625	0	1125	1000	0	0	0	0	0	0	0	-105822
115	1	0	0	0	0	490	-30	0	-33	-41	-683	-625	0	1125	1000	0	0	0	0	0	0	0	-105988
116	1	1	2783	118	1	454	-39	0	4	-18	-1184	-375	0	750	1000	0	0	0	0	0	0	0	-106113
117	1	1	218	120	0	504	-39	0	4	3	-1247	-250	0	750	1000	0	0	0	0	0	0	0	-106238
118	1	2	4004	221	2	365	-35	0	-95	-73	-808	-625	0	1000	1000	0	0	0	0	0	0	0	-106404
119	1	2	2211	221	0	327	-35	0	-94	-145	-682	-875	0	1000	1000	0	0	0	0	0	0	0	-106404
