=== fidelity: expected vs actual per (cell, config) ===
cell     cfg  | expected seq        | actual seq          | final exp/act | fi exp/act | installs | verdict
CC1-V1   MG2  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   3 / 3        | 0 / 0     | 4        | PASS
CC1-V1   MG3  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   3 / 3        | 0 / 0     | 4        | PASS
CC1-V1   MG4  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   3 / 3        | 0 / 0     | 4        | PASS
CC1-V1   MG6  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   3 / 3        | 0 / 0     | 4        | PASS
CC1-V2   G1   | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   2 / 2        | 1 / 1     | 4        | PASS
CC1-V2   G2   | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   2 / 2        | 1 / 1     | 4        | PASS
CC1-V2   MG1  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   3 / 3        | 0 / 0     | 4        | PASS
CC1-V2   MG2  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   3 / 3        | 0 / 0     | 4        | PASS
CC1-V2   MG3  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   3 / 3        | 0 / 0     | 4        | PASS
CC1-V2   MG4  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   3 / 3        | 0 / 0     | 4        | PASS
CC1-V2   MG6  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   3 / 3        | 0 / 0     | 4        | PASS
CC1-V3   G1   | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   3 / 3        | 0 / 0     | 4        | PASS
CC1-V3   G2   | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   3 / 3        | 0 / 0     | 4        | PASS
CC1-V3   MG1  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   3 / 3        | 0 / 0     | 4        | PASS
CC1-V3   MG2  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   3 / 3        | 0 / 0     | 4        | PASS
CC1-V3   MG3  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   3 / 3        | 0 / 0     | 4        | PASS
CC1-V3   MG4  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   3 / 3        | 0 / 0     | 4        | PASS
CC1-V3   MG6  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   3 / 3        | 0 / 0     | 4        | PASS
CC1-V4   G1   | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   2 / 2        | 1 / 1     | 4        | PASS
CC1-V4   G2   | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   2 / 2        | 1 / 1     | 4        | PASS
CC1-V4   MG1  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   3 / 3        | 0 / 0     | 4        | PASS
CC1-V4   MG2  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   3 / 3        | 0 / 0     | 4        | PASS
CC1-V4   MG3  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   3 / 3        | 0 / 0     | 4        | PASS
CC1-V4   MG4  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   3 / 3        | 0 / 0     | 4        | PASS
CC1-V4   MG6  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   3 / 3        | 0 / 0     | 4        | PASS
CC1-V5   G1   | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   2 / 2        | 1 / 1     | 4        | PASS
CC1-V5   G2   | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   2 / 2        | 1 / 1     | 4        | PASS
CC1-V5   MG1  | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   2 / 2        | 1 / 1     | 4        | PASS
CC1-V5   MG2  | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   2 / 2        | 1 / 1     | 4        | PASS
CC1-V5   MG3  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   3 / 3        | 0 / 0     | 4        | PASS
CC1-V5   MG4  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   3 / 3        | 0 / 0     | 4        | PASS
CC1-V5   MG6  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   3 / 3        | 0 / 0     | 4        | PASS
CC1-V6   G1   | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   2 / 2        | 1 / 1     | 4        | PASS
CC1-V6   G2   | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   2 / 2        | 1 / 1     | 4        | PASS
CC1-V6   MG1  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   3 / 3        | 0 / 0     | 4        | PASS
CC1-V6   MG2  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   3 / 3        | 0 / 0     | 4        | PASS
CC1-V6   MG3  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   3 / 3        | 0 / 0     | 4        | PASS
CC1-V6   MG4  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   3 / 3        | 0 / 0     | 4        | PASS
CC1-V6   MG6  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   3 / 3        | 0 / 0     | 4        | PASS
CC1-V7   G1   | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   2 / 2        | 1 / 1     | 4        | PASS
CC1-V7   G2   | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   2 / 2        | 1 / 1     | 4        | PASS
CC1-V7   MG1  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   3 / 3        | 0 / 0     | 4        | PASS
CC1-V7   MG2  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   3 / 3        | 0 / 0     | 4        | PASS
CC1-V7   MG3  | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   2 / 2        | 1 / 1     | 4        | PASS
CC1-V7   MG4  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   3 / 3        | 0 / 0     | 4        | PASS
CC1-V7   MG6  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   3 / 3        | 0 / 0     | 4        | PASS
CC1-V8   G1   | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   2 / 2        | 1 / 1     | 4        | PASS
CC1-V8   G2   | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   2 / 2        | 1 / 1     | 4        | PASS
CC1-V8   MG1  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   3 / 3        | 0 / 0     | 4        | PASS
CC1-V8   MG2  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   3 / 3        | 0 / 0     | 4        | PASS
CC1-V8   MG3  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   3 / 3        | 0 / 0     | 4        | PASS
CC1-V8   MG4  | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   2 / 2        | 1 / 1     | 4        | PASS
CC1-V8   MG6  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   3 / 3        | 0 / 0     | 4        | PASS
CC1-V9   G1   | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   2 / 2        | 1 / 1     | 4        | PASS
CC1-V9   G2   | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   2 / 2        | 1 / 1     | 4        | PASS
CC1-V9   MG1  | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   2 / 2        | 1 / 1     | 4        | PASS
CC1-V9   MG2  | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   2 / 2        | 1 / 1     | 4        | PASS
CC1-V9   MG3  | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   2 / 2        | 1 / 1     | 4        | PASS
CC1-V9   MG4  | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   2 / 2        | 1 / 1     | 4        | PASS
CC1-V9   MG6  | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   2 / 2        | 1 / 1     | 4        | PASS
CC2      G1   | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   1 / 1        | 0 / 0     | 4        | PASS
CC2      G2   | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   1 / 1        | 0 / 0     | 4        | PASS
CC2      MG1  | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   1 / 1        | 0 / 0     | 4        | PASS
CC2      MG2  | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   1 / 1        | 0 / 0     | 4        | PASS
CC2      MG3  | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   1 / 1        | 0 / 0     | 4        | PASS
CC2      MG4  | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   1 / 1        | 0 / 0     | 4        | PASS
CC2      MG6  | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   1 / 1        | 0 / 0     | 4        | PASS
CC2-W1   G1   | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   1 / 1        | 0 / 0     | 4        | PASS
CC2-W1   G2   | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   1 / 1        | 0 / 0     | 4        | PASS
CC2-W1   MG1  | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   1 / 1        | 0 / 0     | 4        | PASS
CC2-W1   MG2  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   0 / 0        | 0 / 0     | 4        | PASS
CC2-W1   MG3  | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   1 / 1        | 0 / 0     | 4        | PASS
CC2-W1   MG4  | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   1 / 1        | 0 / 0     | 4        | PASS
CC2-W1   MG6  | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   1 / 1        | 0 / 0     | 4        | PASS
CC2-W2   G1   | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   1 / 1        | 0 / 0     | 4        | PASS
CC2-W2   G2   | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   1 / 1        | 0 / 0     | 4        | PASS
CC2-W2   MG1  | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   1 / 1        | 0 / 0     | 4        | PASS
CC2-W2   MG2  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   0 / 0        | 0 / 0     | 4        | PASS
CC2-W2   MG3  | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   1 / 1        | 0 / 0     | 4        | PASS
CC2-W2   MG4  | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   1 / 1        | 0 / 0     | 4        | PASS
CC2-W2   MG6  | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   1 / 1        | 0 / 0     | 4        | PASS
H1       G1   | CONF                 | CONF                 |   0 / 0        | 0 / 0     | 0        | PASS
H1       G2   | CONF                 | CONF                 |   0 / 0        | 0 / 0     | 0        | PASS
H1       MG1  | CONF                 | CONF                 |   0 / 0        | 0 / 0     | 0        | PASS
H1       MG2  | CONF                 | CONF                 |   0 / 0        | 0 / 0     | 0        | PASS
H1       MG3  | CONF                 | CONF                 |   0 / 0        | 0 / 0     | 0        | PASS
H1       MG4  | CONF                 | CONF                 |   0 / 0        | 0 / 0     | 0        | PASS
H1       MG6  | CONF                 | CONF                 |   0 / 0        | 0 / 0     | 0        | PASS
R1       G1   | PROV,PERM,CONF       | PROV,PERM,CONF       |   0 / 0        | 0 / 0     | 2        | PASS
R1       G2   | PROV,PERM,CONF       | PROV,PERM,CONF       |   0 / 0        | 0 / 0     | 2        | PASS
R1       MG1  | PROV,PERM,CONF       | PROV,PERM,CONF       |   0 / 0        | 0 / 0     | 2        | PASS
R1       MG2  | PROV,PERM,CONF       | PROV,PERM,CONF       |   0 / 0        | 0 / 0     | 2        | PASS
R1       MG3  | PROV,PERM,CONF       | PROV,PERM,CONF       |   0 / 0        | 0 / 0     | 2        | PASS
R1       MG4  | PROV,PERM,CONF       | PROV,PERM,CONF       |   0 / 0        | 0 / 0     | 2        | PASS
R1       MG6  | PROV,PERM,CONF       | PROV,PERM,CONF       |   0 / 0        | 0 / 0     | 2        | PASS
R2       G1   | PROV,PROV,CHAL       | PROV,PROV,CHAL       |  -1 / -1       | 0 / 0     | 3        | PASS
R2       G2   | PROV,PERM,CHAL       | PROV,PERM,CHAL       |   0 / 0        | 0 / 0     | 3        | PASS
R2       MG1  | PROV,PROV,CHAL       | PROV,PROV,CHAL       |  -1 / -1       | 0 / 0     | 3        | PASS
R2       MG2  | PROV,PROV,CHAL       | PROV,PROV,CHAL       |  -1 / -1       | 0 / 0     | 3        | PASS
R2       MG3  | PROV,PROV,CHAL       | PROV,PROV,CHAL       |  -1 / -1       | 0 / 0     | 3        | PASS
R2       MG4  | PROV,PROV,CHAL       | PROV,PROV,CHAL       |  -1 / -1       | 0 / 0     | 3        | PASS
R2       MG6  | PROV,PROV,CHAL       | PROV,PROV,CHAL       |  -1 / -1       | 0 / 0     | 3        | PASS
T1       G1   | PROV,PERM,CHAL       | PROV,PERM,CHAL       |   0 / 0        | 0 / 0     | 3        | PASS
T1       G2   | PROV,PERM,CHAL       | PROV,PERM,CHAL       |   0 / 0        | 0 / 0     | 3        | PASS
T1       MG1  | PROV,PERM,CHAL       | PROV,PERM,CHAL       |   0 / 0        | 0 / 0     | 3        | PASS
T1       MG2  | PROV,PERM,CHAL       | PROV,PERM,CHAL       |   0 / 0        | 0 / 0     | 3        | PASS
T1       MG3  | PROV,PERM,CHAL       | PROV,PERM,CHAL       |   0 / 0        | 0 / 0     | 3        | PASS
T1       MG4  | PROV,PERM,CHAL       | PROV,PERM,CHAL       |   0 / 0        | 0 / 0     | 3        | PASS
T1       MG6  | PROV,PERM,CHAL       | PROV,PERM,CHAL       |   0 / 0        | 0 / 0     | 3        | PASS
W1       G1   | WITH,WITH,WITH       | WITH,WITH,WITH       |  -1 / -1       | 0 / 0     | 0        | PASS
W1       G2   | WITH,WITH,WITH       | WITH,WITH,WITH       |  -1 / -1       | 0 / 0     | 0        | PASS
W1       MG1  | WITH,WITH,WITH       | WITH,WITH,WITH       |  -1 / -1       | 0 / 0     | 0        | PASS
W1       MG2  | WITH,WITH,WITH       | WITH,WITH,WITH       |  -1 / -1       | 0 / 0     | 0        | PASS
W1       MG3  | WITH,WITH,WITH       | WITH,WITH,WITH       |  -1 / -1       | 0 / 0     | 0        | PASS
W1       MG4  | WITH,WITH,WITH       | WITH,WITH,WITH       |  -1 / -1       | 0 / 0     | 0        | PASS
W1       MG6  | WITH,WITH,WITH       | WITH,WITH,WITH       |  -1 / -1       | 0 / 0     | 0        | PASS
fidelity: 154/154 (cell, config) PASS

=== kill bars per candidate (K1..K4; K5 checked externally) ===
MG1: K1 FAIL['CC1-V5'] | K2 PASS | K3 PASS | K4 PASS => KILL
MG2: K1 FAIL['CC1-V5'] | K2 FAIL['CC2-W1', 'CC2-W2', 'C1-W3'] | K3 PASS | K4 PASS => KILL
MG3: K1 FAIL['CC1-V7'] | K2 PASS | K3 PASS | K4 PASS => KILL
MG4: K1 FAIL['CC1-V8'] | K2 PASS | K3 PASS | K4 PASS => KILL
MG6: K1 PASS | K2 PASS | K3 PASS | K4 PASS => SURVIVE

=== V9 ceiling probe (unscored; reported only) ===
CC1-V9 G1   false_install=1
CC1-V9 G2   false_install=1
CC1-V9 MG1  false_install=1
CC1-V9 MG2  false_install=1
CC1-V9 MG3  false_install=1
CC1-V9 MG4  false_install=1
CC1-V9 MG6  false_install=1

summary: fidelity 154/154; kill bars: MG1=KILL, MG2=KILL, MG3=KILL, MG4=KILL, MG6=SURVIVE
