CHECK,ingress_prose_bytes,2621440,2621440
CHECK,ingress_code_bytes,1310720,1310720
CHECK,sha256_prose_rc,0,0
CHECK,sha256_code_rc,0,0
CHECK,K5_sha_prose,1,1
CHECK,K5_sha_code,1,1
SHA_PROSE,a4c036bb556745e292ed422be9eee4a6a7182818b03b5147337b203bd2e34578
KILLED,24638
KILLED,24735
KILLED,24832
KILLED,24929
KILLED,25026
KILLED,25123
KILLED,25220
KILLED,25317
KILLED,25414
KILLED,25511
KILLED,25608
KILLED,25705
KILLED,25802
KILLED,25899
KILLED,25996
KILLED,26093
KILLED,26190
KILLED,26287
KILLED,26384
KILLED,26481
KILLED,26578
KILLED,26675
KILLED,26772
KILLED,26869
KILLED,26966
KILLED,27063
KILLED,27160
KILLED,27257
KILLED,27354
KILLED,27451
KILLED,27548
KILLED,27645
KILLED,27742
KILLED,27839
KILLED,27936
KILLED,28033
KILLED,28130
KILLED,28227
KILLED,28324
KILLED,28421
KILLED,28518
KILLED,28615
KILLED,28712
KILLED,28809
KILLED,28906
KILLED,29003
KILLED,29100
KILLED,29197
KILLED,29294
KILLED,29391
KILLED,29488
KILLED,29585
KILLED,29682
KILLED,29779
KILLED,29876
KILLED,29973
KILLED,30070
KILLED,30167
KILLED,30264
KILLED,30361
KILLED,30458
KILLED,30555
KILLED,30652
KILLED,30749
KILLED,30846
KILLED,30943
KILLED,31040
KILLED,31137
KILLED,31234
KILLED,31331
KILLED,31428
KILLED,31525
KILLED,31622
KILLED,31719
KILLED,31816
KILLED,31913
KILLED,32010
KILLED,32107
KILLED,32204
KILLED,32301
KILLED,32398
KILLED,32495
KILLED,32592
KILLED,32689
KILLED,32786
KILLED,32883
KILLED,32980
KILLED,33077
KILLED,33174
KILLED,33271
KILLED,33368
KILLED,33465
KILLED,33562
KILLED,33659
KILLED,33756
KILLED,33853
KILLED,33950
KILLED,34047
KILLED,34144
KILLED,34241
KILLED,34338
KILLED,34435
KILLED,34532
KILLED,34629
KILLED,34726
KILLED,34823
KILLED,34920
KILLED,35017
KILLED,35114
KILLED,35211
KILLED,35308
KILLED,35405
KILLED,35502
KILLED,35599
KILLED,35696
KILLED,35793
KILLED,35890
KILLED,35987
KILLED,36084
KILLED,36181
KILLED,36278
KILLED,36375
KILLED,36472
KILLED,36569
KILLED,36666
KILLED,36763
KILLED,36860
KILLED,36957
KILLED,37054
KILLED,37151
KILLED,37248
KILLED,37345
KILLED,37442
KILLED,37539
KILLED,37636
KILLED,37733
KILLED,37830
KILLED,37927
KILLED,38024
KILLED,38121
KILLED,38218
KILLED,38315
KILLED,38412
KILLED,38509
KILLED,38606
KILLED,38703
KILLED,38800
KILLED,38897
KILLED,38994
KILLED,39091
KILLED,39188
KILLED,39285
KILLED,39382
KILLED,39479
KILLED,39576
KILLED,39673
KILLED,39770
KILLED,39867
KILLED,39964
KILLED,40061
KILLED,40158
KILLED,40255
KILLED,40352
KILLED,40449
KILLED,40546
KILLED,40643
KILLED,40740
KILLED,40837
KILLED,40934
KILLED,41031
KILLED,41128
KILLED,41225
KILLED,41322
KILLED,41419
KILLED,41516
KILLED,41613
KILLED,41710
KILLED,41807
KILLED,41904
KILLED,42001
KILLED,42098
KILLED,42195
KILLED,42292
KILLED,42389
KILLED,42486
KILLED,42583
KILLED,42680
KILLED,42777
KILLED,42874
KILLED,42971
KILLED,43068
KILLED,43165
KILLED,43262
KILLED,43359
KILLED,43456
KILLED,43553
KILLED,43650
KILLED,43747
KILLED,43844
KILLED,43941
KILLED,44038
KILLED,44135
KILLED,44232
KILLED,44329
KILLED,44426
KILLED,44523
KILLED,44620
KILLED,44717
KILLED,44814
KILLED,44911
KILLED,45008
KILLED,45105
KILLED,45202
KILLED,45299
KILLED,45396
KILLED,45493
KILLED,45590
KILLED,45687
KILLED,45784
KILLED,45881
KILLED,45978
KILLED,46075
KILLED,46172
KILLED,46269
KILLED,46366
KILLED,46463
KILLED,46560
KILLED,46657
KILLED,46754
KILLED,46851
KILLED,46948
KILLED,47045
KILLED,47142
KILLED,47239
KILLED,47336
KILLED,47433
KILLED,47530
KILLED,47627
KILLED,47724
KILLED,47821
KILLED,47918
KILLED,48015
KILLED,48112
KILLED,48209
KILLED,48306
KILLED,48403
KILLED,48500
KILLED,48597
KILLED,48694
KILLED,48791
KILLED,48888
KILLED,48985
KILLED,49082
KILLED,49179
KILLED,49276
KILLED,49373
KILLED,49470
KILLED,49567
KILLED,49664
KILLED,49761
KILLED,49858
KILLED,49955
KILLED,50052
KILLED,50149
KILLED,50246
KILLED,50343
KILLED,50440
KILLED,50537
KILLED,50634
KILLED,50731
KILLED,50828
KILLED,50925
KILLED,51022
KILLED,51119
KILLED,51216
KILLED,51313
KILLED,51410
KILLED,51507
KILLED,51604
KILLED,51701
KILLED,51798
KILLED,51895
KILLED,51992
KILLED,52089
KILLED,52186
KILLED,52283
KILLED,52380
KILLED,52477
KILLED,52574
KILLED,52671
KILLED,52768
KILLED,52865
KILLED,52962
KILLED,53059
KILLED,53156
KILLED,53253
KILLED,53350
KILLED,53447
KILLED,53544
KILLED,53641
KILLED,53738
KILLED,53835
KILLED,53932
KILLED,54029
KILLED,54126
KILLED,54223
KILLED,54320
KILLED,54417
KILLED,54514
KILLED,54611
KILLED,54708
KILLED,54805
KILLED,54902
KILLED,54999
KILLED,55096
KILLED,55193
KILLED,55290
KILLED,55387
KILLED,55484
KILLED,55581
KILLED,55678
KILLED,55775
KILLED,55872
KILLED,55969
KILLED,56066
KILLED,56163
KILLED,56260
KILLED,56357
KILLED,56454
KILLED,56551
KILLED,56648
KILLED,56745
KILLED,56842
KILLED,56939
KILLED,57036
KILLED,57133
KILLED,57230
KILLED,57327
KILLED,57424
KILLED,57521
KILLED,57618
KILLED,57715
KILLED,57812
KILLED,57909
KILLED,58006
KILLED,58103
KILLED,58200
KILLED,58297
KILLED,58394
KILLED,58491
KILLED,58588
KILLED,58685
KILLED,58782
KILLED,58879
KILLED,58976
KILLED,59073
KILLED,59170
KILLED,59267
KILLED,59364
KILLED,59461
KILLED,59558
KILLED,59655
KILLED,59752
KILLED,59849
KILLED,59946
KILLED,60043
KILLED,60140
KILLED,60237
KILLED,60334
KILLED,60431
KILLED,60528
KILLED,60625
KILLED,60722
KILLED,60819
KILLED,60916
KILLED,61013
KILLED,61110
KILLED,61207
KILLED,61304
KILLED,61401
CHECK,pass2_evidence_ok,60806,60806
CHECK,pass2_promote_ok,60806,60806
CHECK,pass2_justify_ok,634,634
CHECK,K3_kills,634,634
CHECK,K3_killset_exact,1,1
CHECK,recall_sampled,100,100
CHECK,K4_recall_ok,100,100
CHECK,replay_check,0,0
METRIC,audit_n,184322
METRIC,live_slots_end,60806
METRIC,cap,65536
W1_DONE,fails,0
