# RM1 fixture manifest — frozen, generated by gen_rm1.py
# clip	sha256	dx	dy	dir	px	kind	texture	source_window	window_sha256	frame0_sha256
rm1_t00_S3.vid	7f1936515e9cdde00b2d671a427ad57e6ce1579832cb8f19905d3522ff62256b	0	3	S	3	kill	t00	0_jNjpVxUt0_w000	17d74d2027dd1d78473bcd321957cfc4366ef57322fd860141ece5612b99fca4	bbd362589fee5af1f28557758dc40c0a03037295ba66f9484f5c8c3ac43b5b3e
rm1_t00_S6.vid	422aed9fba6d2180061f068b87364a861a655a6139949c2154fffa3c8e055e16	0	6	S	6	kill	t00	0_jNjpVxUt0_w000	17d74d2027dd1d78473bcd321957cfc4366ef57322fd860141ece5612b99fca4	bbd362589fee5af1f28557758dc40c0a03037295ba66f9484f5c8c3ac43b5b3e
rm1_t00_S8.vid	7831089fae45f0d3f2c4b517e6389f3779cf51eac88ade89428c7e48e7880082	0	8	S	8	exploratory	t00	0_jNjpVxUt0_w000	17d74d2027dd1d78473bcd321957cfc4366ef57322fd860141ece5612b99fca4	bbd362589fee5af1f28557758dc40c0a03037295ba66f9484f5c8c3ac43b5b3e
rm1_t00_SE3.vid	3ccc43d30b3ca3f78aac4d9c2aff1d6224957921df7c4475285579250b80d078	3	3	SE	3	kill	t00	0_jNjpVxUt0_w000	17d74d2027dd1d78473bcd321957cfc4366ef57322fd860141ece5612b99fca4	bbd362589fee5af1f28557758dc40c0a03037295ba66f9484f5c8c3ac43b5b3e
rm1_t00_SE6.vid	e2a202e02d7d9949f87186be78f05afbacda7b116e87116d546b4958d6f99170	6	6	SE	6	kill	t00	0_jNjpVxUt0_w000	17d74d2027dd1d78473bcd321957cfc4366ef57322fd860141ece5612b99fca4	bbd362589fee5af1f28557758dc40c0a03037295ba66f9484f5c8c3ac43b5b3e
rm1_t00_STILL.vid	8a23fce326dfad475ccf4a44859386e7bca9da358c488165472a782f251c4ca9	0	0	STILL	0	kill	t00	0_jNjpVxUt0_w000	17d74d2027dd1d78473bcd321957cfc4366ef57322fd860141ece5612b99fca4	bbd362589fee5af1f28557758dc40c0a03037295ba66f9484f5c8c3ac43b5b3e
rm1_t00_SW3.vid	526bd0f7996073752adb8198aaca6c7a9cc27c8b890e74de0b210e6e72467d10	-3	3	SW	3	kill	t00	0_jNjpVxUt0_w000	17d74d2027dd1d78473bcd321957cfc4366ef57322fd860141ece5612b99fca4	bbd362589fee5af1f28557758dc40c0a03037295ba66f9484f5c8c3ac43b5b3e
rm1_t00_SW6.vid	92a624b9f6df18c94626f30d1a6d762e1b06f6584ef8cc86a52f50ed8d512067	-6	6	SW	6	kill	t00	0_jNjpVxUt0_w000	17d74d2027dd1d78473bcd321957cfc4366ef57322fd860141ece5612b99fca4	bbd362589fee5af1f28557758dc40c0a03037295ba66f9484f5c8c3ac43b5b3e
rm1_t00_W3.vid	d35cb2dad0d66928d63d541e091489380fa61f10756cf6ebe706193a692ff9ad	-3	0	W	3	kill	t00	0_jNjpVxUt0_w000	17d74d2027dd1d78473bcd321957cfc4366ef57322fd860141ece5612b99fca4	bbd362589fee5af1f28557758dc40c0a03037295ba66f9484f5c8c3ac43b5b3e
rm1_t00_W6.vid	bfb491b0d006dee7ea437b72d9228855d92ecc505d75be6ad30b9c1333f0edd5	-6	0	W	6	kill	t00	0_jNjpVxUt0_w000	17d74d2027dd1d78473bcd321957cfc4366ef57322fd860141ece5612b99fca4	bbd362589fee5af1f28557758dc40c0a03037295ba66f9484f5c8c3ac43b5b3e
rm1_t00_W8.vid	8f6c98affd19aebcd7269d074f7e2e7e568977feef46a3fc5194050841d621b6	-8	0	W	8	exploratory	t00	0_jNjpVxUt0_w000	17d74d2027dd1d78473bcd321957cfc4366ef57322fd860141ece5612b99fca4	bbd362589fee5af1f28557758dc40c0a03037295ba66f9484f5c8c3ac43b5b3e
rm1_t01_E3.vid	41452065ee478cab138fde7baafa259a05577d353a94aaef94fc247452dcf5a5	3	0	E	3	kill	t01	Eoo4HzILB-M_w000	cef44aa1f25bff687bafc77c92e66a578f42ac0695d90f01404264a3699b3d51	0130f685266c6d099ad790148b3fc76063e6c054e0627eb8c213aa91fd35399d
rm1_t01_E6.vid	f6805ce0db29effe3ea0e4073bcf42b2728ab93a82892bc49bbc139698c7e67b	6	0	E	6	kill	t01	Eoo4HzILB-M_w000	cef44aa1f25bff687bafc77c92e66a578f42ac0695d90f01404264a3699b3d51	0130f685266c6d099ad790148b3fc76063e6c054e0627eb8c213aa91fd35399d
rm1_t01_E8.vid	0856691c22406787cf20eecbd95ca9dbfe964c09e774234b1f653f4f6c82c070	8	0	E	8	exploratory	t01	Eoo4HzILB-M_w000	cef44aa1f25bff687bafc77c92e66a578f42ac0695d90f01404264a3699b3d51	0130f685266c6d099ad790148b3fc76063e6c054e0627eb8c213aa91fd35399d
rm1_t01_N3.vid	b06c4a73796bfcbbaff6355606424f04cd117ab944c9a90b620a0434d63efdf9	0	-3	N	3	kill	t01	Eoo4HzILB-M_w000	cef44aa1f25bff687bafc77c92e66a578f42ac0695d90f01404264a3699b3d51	0130f685266c6d099ad790148b3fc76063e6c054e0627eb8c213aa91fd35399d
rm1_t01_N6.vid	833a5fd1dd577db628164ff6ad88af532420576e26b99e35fc1a7ff993678f31	0	-6	N	6	kill	t01	Eoo4HzILB-M_w000	cef44aa1f25bff687bafc77c92e66a578f42ac0695d90f01404264a3699b3d51	0130f685266c6d099ad790148b3fc76063e6c054e0627eb8c213aa91fd35399d
rm1_t01_N8.vid	1cd572e07227c4bc5a334be6b1f0b36e4943795d8cbaf9872c17921480875fc9	0	-8	N	8	exploratory	t01	Eoo4HzILB-M_w000	cef44aa1f25bff687bafc77c92e66a578f42ac0695d90f01404264a3699b3d51	0130f685266c6d099ad790148b3fc76063e6c054e0627eb8c213aa91fd35399d
rm1_t01_NE3.vid	81dc37edadcf661d09bc9313100b9ae17dc230f0f5b150ca0515c9d39a53e3ca	3	-3	NE	3	kill	t01	Eoo4HzILB-M_w000	cef44aa1f25bff687bafc77c92e66a578f42ac0695d90f01404264a3699b3d51	0130f685266c6d099ad790148b3fc76063e6c054e0627eb8c213aa91fd35399d
rm1_t01_NE6.vid	909c73afbe7da66d37b18f4828067fbdbe872694a6382799cb789a160d56d734	6	-6	NE	6	kill	t01	Eoo4HzILB-M_w000	cef44aa1f25bff687bafc77c92e66a578f42ac0695d90f01404264a3699b3d51	0130f685266c6d099ad790148b3fc76063e6c054e0627eb8c213aa91fd35399d
rm1_t01_NW3.vid	28e15fd6b4d62ed13e6661378dca93639f1cd6b7690b15de530e42416cc0b86c	-3	-3	NW	3	kill	t01	Eoo4HzILB-M_w000	cef44aa1f25bff687bafc77c92e66a578f42ac0695d90f01404264a3699b3d51	0130f685266c6d099ad790148b3fc76063e6c054e0627eb8c213aa91fd35399d
rm1_t01_NW6.vid	32e4293831e7ed90a86890a0e4a7a2b0ed404ffcdf8c74bf7ea5ba9e7c15abe8	-6	-6	NW	6	kill	t01	Eoo4HzILB-M_w000	cef44aa1f25bff687bafc77c92e66a578f42ac0695d90f01404264a3699b3d51	0130f685266c6d099ad790148b3fc76063e6c054e0627eb8c213aa91fd35399d
rm1_t01_S3.vid	426f6316a85c8e951d60fb70a7e9391dbe605417b7888b0c8d6939fda7be8277	0	3	S	3	kill	t01	Eoo4HzILB-M_w000	cef44aa1f25bff687bafc77c92e66a578f42ac0695d90f01404264a3699b3d51	0130f685266c6d099ad790148b3fc76063e6c054e0627eb8c213aa91fd35399d
rm1_t01_S6.vid	e32d9518307d59f6b89aca72ee334dd491a6e86dce925e9dbd765b5216e49dc8	0	6	S	6	kill	t01	Eoo4HzILB-M_w000	cef44aa1f25bff687bafc77c92e66a578f42ac0695d90f01404264a3699b3d51	0130f685266c6d099ad790148b3fc76063e6c054e0627eb8c213aa91fd35399d
rm1_t01_S8.vid	ce86b33d3cd702ccfecc7a00298df0761b09568f91937323631ced470cb34cc0	0	8	S	8	exploratory	t01	Eoo4HzILB-M_w000	cef44aa1f25bff687bafc77c92e66a578f42ac0695d90f01404264a3699b3d51	0130f685266c6d099ad790148b3fc76063e6c054e0627eb8c213aa91fd35399d
rm1_t01_SE3.vid	3b798c41e79a55c3fd6db57d06067a64c416184f9ff69743232125e440b17901	3	3	SE	3	kill	t01	Eoo4HzILB-M_w000	cef44aa1f25bff687bafc77c92e66a578f42ac0695d90f01404264a3699b3d51	0130f685266c6d099ad790148b3fc76063e6c054e0627eb8c213aa91fd35399d
rm1_t01_SE6.vid	7aaa862423c02ab59028bb822046b5743988247f7f5bf6986e1bc0656aae3af1	6	6	SE	6	kill	t01	Eoo4HzILB-M_w000	cef44aa1f25bff687bafc77c92e66a578f42ac0695d90f01404264a3699b3d51	0130f685266c6d099ad790148b3fc76063e6c054e0627eb8c213aa91fd35399d
rm1_t01_STILL.vid	af4d5e513a40d6de1c72777325937ad09a3f1c8ead6a35596945bb36d1bd043d	0	0	STILL	0	kill	t01	Eoo4HzILB-M_w000	cef44aa1f25bff687bafc77c92e66a578f42ac0695d90f01404264a3699b3d51	0130f685266c6d099ad790148b3fc76063e6c054e0627eb8c213aa91fd35399d
rm1_t01_SW3.vid	282fc86ae4882184622ee66310ff0133e0c46d02de6266dbd277955a1e34828b	-3	3	SW	3	kill	t01	Eoo4HzILB-M_w000	cef44aa1f25bff687bafc77c92e66a578f42ac0695d90f01404264a3699b3d51	0130f685266c6d099ad790148b3fc76063e6c054e0627eb8c213aa91fd35399d
rm1_t01_SW6.vid	e8e4c4f26b0a01d39e0e794313defaa505c72bd6e3e4e80d902d7500117c19e0	-6	6	SW	6	kill	t01	Eoo4HzILB-M_w000	cef44aa1f25bff687bafc77c92e66a578f42ac0695d90f01404264a3699b3d51	0130f685266c6d099ad790148b3fc76063e6c054e0627eb8c213aa91fd35399d
rm1_t01_W3.vid	a35de7b403c57abafe0547a94472cd235502a68ec7b6417f005524ad99ab4881	-3	0	W	3	kill	t01	Eoo4HzILB-M_w000	cef44aa1f25bff687bafc77c92e66a578f42ac0695d90f01404264a3699b3d51	0130f685266c6d099ad790148b3fc76063e6c054e0627eb8c213aa91fd35399d
rm1_t01_W6.vid	1f382b2d0dfdc63d07a57a10d6af2863b048935200f6db964978d428f32dca3f	-6	0	W	6	kill	t01	Eoo4HzILB-M_w000	cef44aa1f25bff687bafc77c92e66a578f42ac0695d90f01404264a3699b3d51	0130f685266c6d099ad790148b3fc76063e6c054e0627eb8c213aa91fd35399d
rm1_t01_W8.vid	acb43850b1d0b301d3a9425ecbb7b872505a938f715ecd901462a49f13ffe1e7	-8	0	W	8	exploratory	t01	Eoo4HzILB-M_w000	cef44aa1f25bff687bafc77c92e66a578f42ac0695d90f01404264a3699b3d51	0130f685266c6d099ad790148b3fc76063e6c054e0627eb8c213aa91fd35399d
rm1_t02_E3.vid	c98c23c192b7487ad7617888ad6eb68363fb0349e98621ecc1a885d0eb5f5df0	3	0	E	3	kill	t02	Eoo4HzILB-M_w002	7475b1dcc5020dc64537f0bf2effe4daf22a3fdbdd385b25c3e0de8f2e020b6b	0ef03776b9f93c3df0523204fa58fd977b626962f6581e764f72b2cdfbe98128
rm1_t02_E6.vid	3886ff9ee60f727135e68a925924d7dba842ef71b158b16bed5ff95fdbf8064f	6	0	E	6	kill	t02	Eoo4HzILB-M_w002	7475b1dcc5020dc64537f0bf2effe4daf22a3fdbdd385b25c3e0de8f2e020b6b	0ef03776b9f93c3df0523204fa58fd977b626962f6581e764f72b2cdfbe98128
rm1_t02_E8.vid	bc05f26c86a4ea252fff3c4acb5037678194c1fdb2a12cf1adc28239145228fa	8	0	E	8	exploratory	t02	Eoo4HzILB-M_w002	7475b1dcc5020dc64537f0bf2effe4daf22a3fdbdd385b25c3e0de8f2e020b6b	0ef03776b9f93c3df0523204fa58fd977b626962f6581e764f72b2cdfbe98128
rm1_t02_N3.vid	dccd4b4cdd81bd9f85dd89c0010b3ab8d2513c8a3f15a161c2eb87c9a88bbdfb	0	-3	N	3	kill	t02	Eoo4HzILB-M_w002	7475b1dcc5020dc64537f0bf2effe4daf22a3fdbdd385b25c3e0de8f2e020b6b	0ef03776b9f93c3df0523204fa58fd977b626962f6581e764f72b2cdfbe98128
rm1_t02_N6.vid	2b8fc246535f803624bdc8cbc45059751ee6923e3fc69256e86d10bed859e8d9	0	-6	N	6	kill	t02	Eoo4HzILB-M_w002	7475b1dcc5020dc64537f0bf2effe4daf22a3fdbdd385b25c3e0de8f2e020b6b	0ef03776b9f93c3df0523204fa58fd977b626962f6581e764f72b2cdfbe98128
rm1_t02_N8.vid	eec6d32f781497a510fc2deb9e97666e7d73fe1abace3f6a0a3b18119146898e	0	-8	N	8	exploratory	t02	Eoo4HzILB-M_w002	7475b1dcc5020dc64537f0bf2effe4daf22a3fdbdd385b25c3e0de8f2e020b6b	0ef03776b9f93c3df0523204fa58fd977b626962f6581e764f72b2cdfbe98128
rm1_t02_NE3.vid	e31f607f500a64765107c04da7379cc732cf07063a23d1a354e11479869cb9b2	3	-3	NE	3	kill	t02	Eoo4HzILB-M_w002	7475b1dcc5020dc64537f0bf2effe4daf22a3fdbdd385b25c3e0de8f2e020b6b	0ef03776b9f93c3df0523204fa58fd977b626962f6581e764f72b2cdfbe98128
rm1_t02_NE6.vid	2c51c1d3d5e4b915c899200a7f18928ab12b2b30c654fbc6f403c457e42d5a6e	6	-6	NE	6	kill	t02	Eoo4HzILB-M_w002	7475b1dcc5020dc64537f0bf2effe4daf22a3fdbdd385b25c3e0de8f2e020b6b	0ef03776b9f93c3df0523204fa58fd977b626962f6581e764f72b2cdfbe98128
rm1_t02_NW3.vid	7282f8d986a686e4df032d67214657d43c3b3aedcc717379b4fd77a1abef6ca8	-3	-3	NW	3	kill	t02	Eoo4HzILB-M_w002	7475b1dcc5020dc64537f0bf2effe4daf22a3fdbdd385b25c3e0de8f2e020b6b	0ef03776b9f93c3df0523204fa58fd977b626962f6581e764f72b2cdfbe98128
rm1_t02_NW6.vid	198ba2640eacad21741eafb4bf742e47c1b36503c9daf9fc33c1d1dc5b2a434d	-6	-6	NW	6	kill	t02	Eoo4HzILB-M_w002	7475b1dcc5020dc64537f0bf2effe4daf22a3fdbdd385b25c3e0de8f2e020b6b	0ef03776b9f93c3df0523204fa58fd977b626962f6581e764f72b2cdfbe98128
rm1_t02_S3.vid	190166baa14f633669a20c0c56c1c7bd942c494d430ee84b487bb2d6712ea9d6	0	3	S	3	kill	t02	Eoo4HzILB-M_w002	7475b1dcc5020dc64537f0bf2effe4daf22a3fdbdd385b25c3e0de8f2e020b6b	0ef03776b9f93c3df0523204fa58fd977b626962f6581e764f72b2cdfbe98128
rm1_t02_S6.vid	f8cbbedf36be77fbea4c95546d8b49849fae7a7a71da1818097700b992e28794	0	6	S	6	kill	t02	Eoo4HzILB-M_w002	7475b1dcc5020dc64537f0bf2effe4daf22a3fdbdd385b25c3e0de8f2e020b6b	0ef03776b9f93c3df0523204fa58fd977b626962f6581e764f72b2cdfbe98128
rm1_t02_S8.vid	3127bd432e16a2fa78078532767516e941ec30d03d7856bed71da1e2ea99319b	0	8	S	8	exploratory	t02	Eoo4HzILB-M_w002	7475b1dcc5020dc64537f0bf2effe4daf22a3fdbdd385b25c3e0de8f2e020b6b	0ef03776b9f93c3df0523204fa58fd977b626962f6581e764f72b2cdfbe98128
rm1_t02_SE3.vid	fed34985a99eb6f203c02822f21c432a9d0e656198f70f8d5ac89dfc75b93b47	3	3	SE	3	kill	t02	Eoo4HzILB-M_w002	7475b1dcc5020dc64537f0bf2effe4daf22a3fdbdd385b25c3e0de8f2e020b6b	0ef03776b9f93c3df0523204fa58fd977b626962f6581e764f72b2cdfbe98128
rm1_t02_SE6.vid	9b10186ca9bb5ad4f0bc701900e49a88c2e5ca48f254fcedaa1c59bceaff106e	6	6	SE	6	kill	t02	Eoo4HzILB-M_w002	7475b1dcc5020dc64537f0bf2effe4daf22a3fdbdd385b25c3e0de8f2e020b6b	0ef03776b9f93c3df0523204fa58fd977b626962f6581e764f72b2cdfbe98128
rm1_t02_STILL.vid	5f4d0c397ab2b15235a035ca9829dcb77919fe9385b331a7bfe50b91813db272	0	0	STILL	0	kill	t02	Eoo4HzILB-M_w002	7475b1dcc5020dc64537f0bf2effe4daf22a3fdbdd385b25c3e0de8f2e020b6b	0ef03776b9f93c3df0523204fa58fd977b626962f6581e764f72b2cdfbe98128
rm1_t02_SW3.vid	4419152f4ae1b142636bdaa791a7218bcc7d27fb4675f2e6b3718d9a25b7cd01	-3	3	SW	3	kill	t02	Eoo4HzILB-M_w002	7475b1dcc5020dc64537f0bf2effe4daf22a3fdbdd385b25c3e0de8f2e020b6b	0ef03776b9f93c3df0523204fa58fd977b626962f6581e764f72b2cdfbe98128
rm1_t02_SW6.vid	2eefc2bf2cf1f077424fb664d844881293f3a4339a850e630c20280603662f3b	-6	6	SW	6	kill	t02	Eoo4HzILB-M_w002	7475b1dcc5020dc64537f0bf2effe4daf22a3fdbdd385b25c3e0de8f2e020b6b	0ef03776b9f93c3df0523204fa58fd977b626962f6581e764f72b2cdfbe98128
rm1_t02_W3.vid	7a472683ed430bcca9459b7c7b972932a0a57381e6cce2770bbc15965dfd77d1	-3	0	W	3	kill	t02	Eoo4HzILB-M_w002	7475b1dcc5020dc64537f0bf2effe4daf22a3fdbdd385b25c3e0de8f2e020b6b	0ef03776b9f93c3df0523204fa58fd977b626962f6581e764f72b2cdfbe98128
rm1_t02_W6.vid	439d765a50cf1223be4ec87f385b5021e0811d1d2db012550266ecc9f6ff1077	-6	0	W	6	kill	t02	Eoo4HzILB-M_w002	7475b1dcc5020dc64537f0bf2effe4daf22a3fdbdd385b25c3e0de8f2e020b6b	0ef03776b9f93c3df0523204fa58fd977b626962f6581e764f72b2cdfbe98128
rm1_t02_W8.vid	5cb2fb5ea7c9c2238e88677bc822de03a3f61829282cbdcde44864fc7aef7911	-8	0	W	8	exploratory	t02	Eoo4HzILB-M_w002	7475b1dcc5020dc64537f0bf2effe4daf22a3fdbdd385b25c3e0de8f2e020b6b	0ef03776b9f93c3df0523204fa58fd977b626962f6581e764f72b2cdfbe98128
rm1_t03_E3.vid	121dcd1b68e45ed08b52054c3d503b95ef9d7501da6dd34dc51f435be3c954ef	3	0	E	3	kill	t03	Eoo4HzILB-M_w004	e44b5eb3cb19dab9fad635a2ab7d3bdae9ac8b8d3dbf03b4ecb02263a567e30a	0af4631249fb716dc703a64e723353836717d7770d57cdfd4cd3be2c297aafa9
rm1_t03_E6.vid	e72eebefc1bd5fdab610183881f3d7b6184d9d59cb9ca15d7f29242ba653bcf7	6	0	E	6	kill	t03	Eoo4HzILB-M_w004	e44b5eb3cb19dab9fad635a2ab7d3bdae9ac8b8d3dbf03b4ecb02263a567e30a	0af4631249fb716dc703a64e723353836717d7770d57cdfd4cd3be2c297aafa9
rm1_t03_E8.vid	2975aa405cd1572ae6ebc420af9b319c9122f3bede44c70b5b314534efa63399	8	0	E	8	exploratory	t03	Eoo4HzILB-M_w004	e44b5eb3cb19dab9fad635a2ab7d3bdae9ac8b8d3dbf03b4ecb02263a567e30a	0af4631249fb716dc703a64e723353836717d7770d57cdfd4cd3be2c297aafa9
rm1_t03_N3.vid	cf959f7fa66c56806da92d219bf8e1ed3b8e0cd10eb0a1e3eadbf645fe4325e4	0	-3	N	3	kill	t03	Eoo4HzILB-M_w004	e44b5eb3cb19dab9fad635a2ab7d3bdae9ac8b8d3dbf03b4ecb02263a567e30a	0af4631249fb716dc703a64e723353836717d7770d57cdfd4cd3be2c297aafa9
rm1_t03_N6.vid	824353dfc6ddfda7eaffd3383a5adede927f75a75bf070f63483591d30f5a711	0	-6	N	6	kill	t03	Eoo4HzILB-M_w004	e44b5eb3cb19dab9fad635a2ab7d3bdae9ac8b8d3dbf03b4ecb02263a567e30a	0af4631249fb716dc703a64e723353836717d7770d57cdfd4cd3be2c297aafa9
rm1_t03_N8.vid	03c841a2a5664e2743ff2393018ca4036fd10fca33dc5d2ccf32378e5cd6706f	0	-8	N	8	exploratory	t03	Eoo4HzILB-M_w004	e44b5eb3cb19dab9fad635a2ab7d3bdae9ac8b8d3dbf03b4ecb02263a567e30a	0af4631249fb716dc703a64e723353836717d7770d57cdfd4cd3be2c297aafa9
rm1_t03_NE3.vid	cac79bb5ef7f056d15237f547fa62475c032045b827670777965ed4fa725359c	3	-3	NE	3	kill	t03	Eoo4HzILB-M_w004	e44b5eb3cb19dab9fad635a2ab7d3bdae9ac8b8d3dbf03b4ecb02263a567e30a	0af4631249fb716dc703a64e723353836717d7770d57cdfd4cd3be2c297aafa9
rm1_t03_NE6.vid	0f576cb935ff214ab42962b5e95d1ca3b8ccb63e40952172e5b541d1064cf840	6	-6	NE	6	kill	t03	Eoo4HzILB-M_w004	e44b5eb3cb19dab9fad635a2ab7d3bdae9ac8b8d3dbf03b4ecb02263a567e30a	0af4631249fb716dc703a64e723353836717d7770d57cdfd4cd3be2c297aafa9
rm1_t03_NW3.vid	5f9c9da67acf4e422226d5b8673a9189b13809af890ef55e9162b4620856c65b	-3	-3	NW	3	kill	t03	Eoo4HzILB-M_w004	e44b5eb3cb19dab9fad635a2ab7d3bdae9ac8b8d3dbf03b4ecb02263a567e30a	0af4631249fb716dc703a64e723353836717d7770d57cdfd4cd3be2c297aafa9
rm1_t03_NW6.vid	71b46a8183b86e93a60672e2726e6815733533f97885fff3ee765ca34348992f	-6	-6	NW	6	kill	t03	Eoo4HzILB-M_w004	e44b5eb3cb19dab9fad635a2ab7d3bdae9ac8b8d3dbf03b4ecb02263a567e30a	0af4631249fb716dc703a64e723353836717d7770d57cdfd4cd3be2c297aafa9
rm1_t03_S3.vid	53669ed36d867edd3f3264bf150b7dc0c27bf58c4b18f1590da7e4a115c71155	0	3	S	3	kill	t03	Eoo4HzILB-M_w004	e44b5eb3cb19dab9fad635a2ab7d3bdae9ac8b8d3dbf03b4ecb02263a567e30a	0af4631249fb716dc703a64e723353836717d7770d57cdfd4cd3be2c297aafa9
rm1_t03_S6.vid	b1d7acc7c057e80ad3ea5e86277624693ad0024cfc6fefd693e130b5b618d42e	0	6	S	6	kill	t03	Eoo4HzILB-M_w004	e44b5eb3cb19dab9fad635a2ab7d3bdae9ac8b8d3dbf03b4ecb02263a567e30a	0af4631249fb716dc703a64e723353836717d7770d57cdfd4cd3be2c297aafa9
rm1_t03_S8.vid	28a3b3b1531df37ee1c4bb572a1583f539f296df09c9ac5e7705bf817e7f1f0e	0	8	S	8	exploratory	t03	Eoo4HzILB-M_w004	e44b5eb3cb19dab9fad635a2ab7d3bdae9ac8b8d3dbf03b4ecb02263a567e30a	0af4631249fb716dc703a64e723353836717d7770d57cdfd4cd3be2c297aafa9
rm1_t03_SE3.vid	ba8af0658ac94b5ae1f9c0b3d6e586a1e18d36cdf25e968084b6b56d601bea54	3	3	SE	3	kill	t03	Eoo4HzILB-M_w004	e44b5eb3cb19dab9fad635a2ab7d3bdae9ac8b8d3dbf03b4ecb02263a567e30a	0af4631249fb716dc703a64e723353836717d7770d57cdfd4cd3be2c297aafa9
rm1_t03_SE6.vid	a4aa1817cdabf97a02be7b9031211ec998b5da83eb330aa740ca2324e448f6bb	6	6	SE	6	kill	t03	Eoo4HzILB-M_w004	e44b5eb3cb19dab9fad635a2ab7d3bdae9ac8b8d3dbf03b4ecb02263a567e30a	0af4631249fb716dc703a64e723353836717d7770d57cdfd4cd3be2c297aafa9
rm1_t03_STILL.vid	27c7147d1902b126173977d12b9b8bf6f6104fa278c2f6dfdbdaf46c99479f37	0	0	STILL	0	kill	t03	Eoo4HzILB-M_w004	e44b5eb3cb19dab9fad635a2ab7d3bdae9ac8b8d3dbf03b4ecb02263a567e30a	0af4631249fb716dc703a64e723353836717d7770d57cdfd4cd3be2c297aafa9
rm1_t03_SW3.vid	90a63aeaa926dfb110b183549abf3bb94a51002569f393ddb032c5905bd18d1c	-3	3	SW	3	kill	t03	Eoo4HzILB-M_w004	e44b5eb3cb19dab9fad635a2ab7d3bdae9ac8b8d3dbf03b4ecb02263a567e30a	0af4631249fb716dc703a64e723353836717d7770d57cdfd4cd3be2c297aafa9
