sample_idx	trial_id	task	fixture	truth	kind	family
16	r2a_motiondir_0334	motiondir	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-MOT-2/r2a_motiondir_0334.vid	truth=W	adversarial	R2A-MOT-2
17	r2n_shapetrans_0600	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/shapetrans/r2n_shapetrans_0600.img	truth=CIRCLE	normal	-
18	r2n_motiondir_0080	motiondir	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/motiondir/r2n_motiondir_0080.vid	truth=S	normal	-
19	r2a_shapetrans_0541	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-SHP-2/r2a_shapetrans_0541.img	truth=SQUARE	adversarial	R2A-SHP-2
20	r2n_colordisc_0601	colordisc	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/colordisc/r2n_colordisc_0601.img	truth=SAME	normal	-
21	r2a_motiondir_0346	motiondir	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-MOT-2/r2a_motiondir_0346.vid	truth=N	adversarial	R2A-MOT-2
22	h_colordisc_noise_p038	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/noise/p038.img	DIFFERENT	normal	harness-noise
23	r2a_pitchdisc_0428	pitchdisc	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-PTC-2/r2a_pitchdisc_0428.pcm	truth=HIGHER	adversarial	R2A-PTC-2
24	r2n_shapetrans_0644	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/shapetrans/r2n_shapetrans_0644.img	truth=SQUARE	normal	-
25	r2a_pitchdisc_0574	pitchdisc	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-PTC-2/r2a_pitchdisc_0574.pcm	truth=HIGHER	adversarial	R2A-PTC-2
26	r2a_shapetrans_0487	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-SHP-2/r2a_shapetrans_0487.img	truth=SQUARE	adversarial	R2A-SHP-2
27	r2n_shapetrans_0628	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/shapetrans/r2n_shapetrans_0628.img	truth=TRIANGLE	normal	-
28	r2n_colordisc_0046	colordisc	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/colordisc/r2n_colordisc_0046.img	truth=DIFFERENT	normal	-
29	r2n_timbredisc_0360	timbredisc	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/timbredisc/r2n_timbredisc_0360.pcm	truth=PURE	normal	-
30	r2a_motiondir_0306	motiondir	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-MOT-2/r2a_motiondir_0306.vid	truth=NE	adversarial	R2A-MOT-2
31	r2a_shapetrans_0527	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-SHP-2/r2a_shapetrans_0527.img	truth=CIRCLE	adversarial	R2A-SHP-2
32	r2a_shapetrans_0023	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-SHP-1/r2a_shapetrans_0023.img	truth=TRIANGLE	adversarial	R2A-SHP-1
33	r2n_timbredisc_0506	timbredisc	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/timbredisc/r2n_timbredisc_0506.pcm	truth=DARK	normal	-
34	r2a_shapetrans_0488	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-SHP-2/r2a_shapetrans_0488.img	truth=SQUARE	adversarial	R2A-SHP-2
35	r2n_colorconst_0153	colorconst	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/colorconst/r2n_colorconst_0153.img	truth=DIFFERENT	normal	-
36	r2n_colordisc_0817	colordisc	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/colordisc/r2n_colordisc_0817.img	truth=DIFFERENT	normal	-
37	h_shapetrans_noise_p007	shapetrans	senses/rebuild/harness/fixtures/t3_shapetrans/noise/p007.img	TRIANGLE	normal	harness-noise
38	r2n_colorconst_0050	colorconst	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/colorconst/r2n_colorconst_0050.img	truth=SAME_SURFACE	normal	-
39	h_shapetrans_primary_p048	shapetrans	senses/rebuild/harness/fixtures/t3_shapetrans/primary/p048.img	CIRCLE	normal	harness-primary
40	h_colorconst_primary_p025	colorconst	senses/rebuild/harness/fixtures/t2_colorconst/primary/p025.img	DIFFERENT	normal	harness-primary
41	h_motiondir_noise_p030	motiondir	senses/rebuild/harness/fixtures/t6_motiondir/noise/p030.vid	NE	normal	harness-noise
42	r2n_timbredisc_0034	timbredisc	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/timbredisc/r2n_timbredisc_0034.pcm	truth=DARK	normal	-
43	h_pitchdisc_noise_p050	pitchdisc	senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p050.pcm	LOWER	normal	harness-noise
44	r2n_timbredisc_0205	timbredisc	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/timbredisc/r2n_timbredisc_0205.pcm	truth=BRIGHT	normal	-
45	r2n_shapetrans_0854	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/shapetrans/r2n_shapetrans_0854.img	truth=SQUARE	normal	-
46	r2a_shapetrans_0009	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-SHP-1/r2a_shapetrans_0009.img	truth=TRIANGLE	adversarial	R2A-SHP-1
47	r2n_motiondir_0428	motiondir	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/motiondir/r2n_motiondir_0428.vid	truth=E	normal	-
48	h_motiondir_primary_p004	motiondir	senses/rebuild/harness/fixtures/t6_motiondir/primary/p004.vid	E	normal	harness-primary
49	h_shapetrans_noise_p048	shapetrans	senses/rebuild/harness/fixtures/t3_shapetrans/noise/p048.img	CIRCLE	normal	harness-noise
50	r2a_colorconst_0347	colorconst	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-CCN-2/r2a_colorconst_0347.img	truth=DIFFERENT	adversarial	R2A-CCN-2
51	r2n_motiondir_0064	motiondir	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/motiondir/r2n_motiondir_0064.vid	truth=S	normal	-
52	r2a_colordisc_0032	colordisc	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-COL-1/r2a_colordisc_0032.img	truth=DIFFERENT	adversarial	R2A-COL-1
53	h_motiondir_noise_p008	motiondir	senses/rebuild/harness/fixtures/t6_motiondir/noise/p008.vid	S	normal	harness-noise
54	r2a_colorconst_0283	colorconst	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-CCN-2/r2a_colorconst_0283.img	truth=DIFFERENT	adversarial	R2A-CCN-2
55	r2a_pitchdisc_0332	pitchdisc	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-PTC-2/r2a_pitchdisc_0332.pcm	truth=HIGHER	adversarial	R2A-PTC-2
56	r2n_shapetrans_0076	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/shapetrans/r2n_shapetrans_0076.img	truth=TRIANGLE	normal	-
57	r2a_colordisc_0326	colordisc	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-COL-1/r2a_colordisc_0326.img	truth=DIFFERENT	adversarial	R2A-COL-1
58	r2n_shapetrans_0290	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/shapetrans/r2n_shapetrans_0290.img	truth=SQUARE	normal	-
59	r2a_shapetrans_0348	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-SHP-2/r2a_shapetrans_0348.img	truth=SQUARE	adversarial	R2A-SHP-2
60	r2a_colorconst_0333	colorconst	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-CCN-2/r2a_colorconst_0333.img	truth=SAME_SURFACE	adversarial	R2A-CCN-2
61	r2a_colordisc_0144	colordisc	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-COL-1/r2a_colordisc_0144.img	truth=DIFFERENT	adversarial	R2A-COL-1
62	h_motiondir_noise_p016	motiondir	senses/rebuild/harness/fixtures/t6_motiondir/noise/p016.vid	S	normal	harness-noise
63	r2n_motiondir_0077	motiondir	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/motiondir/r2n_motiondir_0077.vid	truth=N	normal	-
64	r2a_shapetrans_0041	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-SHP-1/r2a_shapetrans_0041.img	truth=CIRCLE	adversarial	R2A-SHP-1
65	h_timbredisc_primary_p028	timbredisc	senses/rebuild/harness/fixtures/t5_timbredisc/primary/p028.pcm	PURE	normal	harness-primary
66	r2n_pitchdisc_0050	pitchdisc	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/pitchdisc/r2n_pitchdisc_0050.pcm	truth=LOWER	normal	-
67	r2a_shapetrans_0323	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-SHP-1/r2a_shapetrans_0323.img	truth=TRIANGLE	adversarial	R2A-SHP-1
68	r2a_shapetrans_0071	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-SHP-1/r2a_shapetrans_0071.img	truth=CIRCLE	adversarial	R2A-SHP-1
69	h_colordisc_noise_p043	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/noise/p043.img	DIFFERENT	normal	harness-noise
70	r2a_colordisc_0165	colordisc	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-COL-1/r2a_colordisc_0165.img	truth=DIFFERENT	adversarial	R2A-COL-1
71	r2a_shapetrans_0316	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-SHP-1/r2a_shapetrans_0316.img	truth=SQUARE	adversarial	R2A-SHP-1
72	r2a_shapetrans_0502	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-SHP-2/r2a_shapetrans_0502.img	truth=TRIANGLE	adversarial	R2A-SHP-2
73	r2n_colordisc_0326	colordisc	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/colordisc/r2n_colordisc_0326.img	truth=DIFFERENT	normal	-
74	r2n_pitchdisc_0424	pitchdisc	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/pitchdisc/r2n_pitchdisc_0424.pcm	truth=HIGHER	normal	-
75	r2a_shapetrans_0332	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-SHP-2/r2a_shapetrans_0332.img	truth=SQUARE	adversarial	R2A-SHP-2
76	r2n_motiondir_0009	motiondir	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/motiondir/r2n_motiondir_0009.vid	truth=SE	normal	-
77	r2a_motiondir_0364	motiondir	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-MOT-2/r2a_motiondir_0364.vid	truth=NE	adversarial	R2A-MOT-2
78	r2a_shapetrans_0001	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-SHP-1/r2a_shapetrans_0001.img	truth=TRIANGLE	adversarial	R2A-SHP-1
79	r2a_pitchdisc_0611	pitchdisc	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-PTC-2/r2a_pitchdisc_0611.pcm	truth=LOWER	adversarial	R2A-PTC-2
80	r2n_colorconst_0138	colorconst	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/colorconst/r2n_colorconst_0138.img	truth=SAME_SURFACE	normal	-
81	r2n_colordisc_0275	colordisc	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/colordisc/r2n_colordisc_0275.img	truth=DIFFERENT	normal	-
82	r2a_colorconst_0316	colorconst	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-CCN-2/r2a_colorconst_0316.img	truth=SAME_SURFACE	adversarial	R2A-CCN-2
83	r2a_colordisc_0054	colordisc	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-COL-1/r2a_colordisc_0054.img	truth=DIFFERENT	adversarial	R2A-COL-1
84	h_colordisc_noise_p034	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/noise/p034.img	DIFFERENT	normal	harness-noise
85	r2a_shapetrans_0158	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-SHP-1/r2a_shapetrans_0158.img	truth=SQUARE	adversarial	R2A-SHP-1
86	r2n_timbredisc_0166	timbredisc	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/timbredisc/r2n_timbredisc_0166.pcm	truth=DARK	normal	-
87	r2a_shapetrans_0056	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-SHP-1/r2a_shapetrans_0056.img	truth=CIRCLE	adversarial	R2A-SHP-1
88	r2n_timbredisc_0480	timbredisc	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/timbredisc/r2n_timbredisc_0480.pcm	truth=PURE	normal	-
89	h_pitchdisc_noise_p018	pitchdisc	senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p018.pcm	SAME	normal	harness-noise
90	r2a_motiondir_0460	motiondir	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-MOT-2/r2a_motiondir_0460.vid	truth=SE	adversarial	R2A-MOT-2
91	r2n_colorconst_0432	colorconst	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/colorconst/r2n_colorconst_0432.img	truth=SAME_SURFACE	normal	-
92	r2n_colordisc_0243	colordisc	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/colordisc/r2n_colordisc_0243.img	truth=SAME	normal	-
93	r2n_colorconst_0262	colorconst	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/colorconst/r2n_colorconst_0262.img	truth=SAME_SURFACE	normal	-
94	r2n_shapetrans_0658	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/shapetrans/r2n_shapetrans_0658.img	truth=TRIANGLE	normal	-
95	r2n_colorconst_0253	colorconst	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/colorconst/r2n_colorconst_0253.img	truth=DIFFERENT	normal	-
96	r2a_pitchdisc_0356	pitchdisc	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-PTC-2/r2a_pitchdisc_0356.pcm	truth=LOWER	adversarial	R2A-PTC-2
97	r2n_colorconst_0054	colorconst	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/colorconst/r2n_colorconst_0054.img	truth=SAME_SURFACE	normal	-
98	r2n_timbredisc_0218	timbredisc	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/timbredisc/r2n_timbredisc_0218.pcm	truth=DARK	normal	-
99	r2a_shapetrans_0336	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-SHP-2/r2a_shapetrans_0336.img	truth=SQUARE	adversarial	R2A-SHP-2
100	r2n_timbredisc_0080	timbredisc	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/timbredisc/r2n_timbredisc_0080.pcm	truth=PURE	normal	-
101	r2n_colorconst_0382	colorconst	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/colorconst/r2n_colorconst_0382.img	truth=SAME_SURFACE	normal	-
102	r2a_pitchdisc_0421	pitchdisc	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-PTC-2/r2a_pitchdisc_0421.pcm	truth=LOWER	adversarial	R2A-PTC-2
103	r2a_colorconst_0339	colorconst	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-CCN-2/r2a_colorconst_0339.img	truth=DIFFERENT	adversarial	R2A-CCN-2
104	r2a_pitchdisc_0598	pitchdisc	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-PTC-2/r2a_pitchdisc_0598.pcm	truth=LOWER	adversarial	R2A-PTC-2
105	r2n_colorconst_0333	colorconst	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/colorconst/r2n_colorconst_0333.img	truth=DIFFERENT	normal	-
106	r2n_pitchdisc_0238	pitchdisc	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/pitchdisc/r2n_pitchdisc_0238.pcm	truth=HIGHER	normal	-
107	r2a_colordisc_0058	colordisc	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-COL-1/r2a_colordisc_0058.img	truth=DIFFERENT	adversarial	R2A-COL-1
108	r2a_shapetrans_0354	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-SHP-2/r2a_shapetrans_0354.img	truth=TRIANGLE	adversarial	R2A-SHP-2
109	r2a_shapetrans_0201	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-SHP-1/r2a_shapetrans_0201.img	truth=CIRCLE	adversarial	R2A-SHP-1
110	h_motiondir_noise_p010	motiondir	senses/rebuild/harness/fixtures/t6_motiondir/noise/p010.vid	SW	normal	harness-noise
111	r2a_shapetrans_0166	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-SHP-1/r2a_shapetrans_0166.img	truth=SQUARE	adversarial	R2A-SHP-1
112	r2a_shapetrans_0506	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-SHP-2/r2a_shapetrans_0506.img	truth=CIRCLE	adversarial	R2A-SHP-2
113	r2a_colorconst_0504	colorconst	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-CCN-2/r2a_colorconst_0504.img	truth=SAME_SURFACE	adversarial	R2A-CCN-2
114	r2a_motiondir_0574	motiondir	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-MOT-2/r2a_motiondir_0574.vid	truth=NE	adversarial	R2A-MOT-2
115	r2a_colorconst_0301	colorconst	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-CCN-2/r2a_colorconst_0301.img	truth=DIFFERENT	adversarial	R2A-CCN-2
116	r2a_shapetrans_0028	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-SHP-1/r2a_shapetrans_0028.img	truth=CIRCLE	adversarial	R2A-SHP-1
117	r2n_pitchdisc_0004	pitchdisc	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/pitchdisc/r2n_pitchdisc_0004.pcm	truth=HIGHER	normal	-
118	r2a_motiondir_0398	motiondir	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-MOT-2/r2a_motiondir_0398.vid	truth=N	adversarial	R2A-MOT-2
119	r2a_shapetrans_0471	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-SHP-2/r2a_shapetrans_0471.img	truth=CIRCLE	adversarial	R2A-SHP-2
120	r2n_pitchdisc_0036	pitchdisc	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/pitchdisc/r2n_pitchdisc_0036.pcm	truth=SAME	normal	-
121	r2n_motiondir_0020	motiondir	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/motiondir/r2n_motiondir_0020.vid	truth=E	normal	-
122	r2a_pitchdisc_0373	pitchdisc	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-PTC-2/r2a_pitchdisc_0373.pcm	truth=LOWER	adversarial	R2A-PTC-2
123	r2a_colorconst_0377	colorconst	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-CCN-2/r2a_colorconst_0377.img	truth=DIFFERENT	adversarial	R2A-CCN-2
124	r2a_colordisc_0080	colordisc	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-COL-1/r2a_colordisc_0080.img	truth=DIFFERENT	adversarial	R2A-COL-1
125	r2a_colordisc_0048	colordisc	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-COL-1/r2a_colordisc_0048.img	truth=DIFFERENT	adversarial	R2A-COL-1
126	r2a_colorconst_0506	colorconst	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-CCN-2/r2a_colorconst_0506.img	truth=SAME_SURFACE	adversarial	R2A-CCN-2
127	r2a_pitchdisc_0336	pitchdisc	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-PTC-2/r2a_pitchdisc_0336.pcm	truth=HIGHER	adversarial	R2A-PTC-2
128	r2n_colordisc_0202	colordisc	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/colordisc/r2n_colordisc_0202.img	truth=DIFFERENT	normal	-
129	r2a_colordisc_0026	colordisc	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-COL-1/r2a_colordisc_0026.img	truth=DIFFERENT	adversarial	R2A-COL-1
130	r2a_pitchdisc_0313	pitchdisc	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-PTC-2/r2a_pitchdisc_0313.pcm	truth=HIGHER	adversarial	R2A-PTC-2
131	h_timbredisc_noise_p030	timbredisc	senses/rebuild/harness/fixtures/t5_timbredisc/noise/p030.pcm	DARK	normal	harness-noise
132	r2a_colordisc_0306	colordisc	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-COL-1/r2a_colordisc_0306.img	truth=DIFFERENT	adversarial	R2A-COL-1
133	r2n_colordisc_0628	colordisc	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/colordisc/r2n_colordisc_0628.img	truth=DIFFERENT	normal	-
134	r2a_colorconst_0460	colorconst	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-CCN-2/r2a_colorconst_0460.img	truth=DIFFERENT	adversarial	R2A-CCN-2
135	r2a_colordisc_0034	colordisc	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-COL-1/r2a_colordisc_0034.img	truth=DIFFERENT	adversarial	R2A-COL-1
136	h_pitchdisc_primary_p039	pitchdisc	senses/rebuild/harness/fixtures/t4_pitchdisc/primary/p039.pcm	SAME	normal	harness-primary
137	h_colordisc_noise_p005	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/noise/p005.img	SAME	normal	harness-noise
138	r2a_colorconst_0559	colorconst	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-CCN-2/r2a_colorconst_0559.img	truth=DIFFERENT	adversarial	R2A-CCN-2
139	r2a_colordisc_0002	colordisc	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-COL-1/r2a_colordisc_0002.img	truth=DIFFERENT	adversarial	R2A-COL-1
140	r2n_pitchdisc_0174	pitchdisc	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/pitchdisc/r2n_pitchdisc_0174.pcm	truth=SAME	normal	-
141	h_timbredisc_primary_p024	timbredisc	senses/rebuild/harness/fixtures/t5_timbredisc/primary/p024.pcm	PURE	normal	harness-primary
142	r2n_pitchdisc_0018	pitchdisc	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/pitchdisc/r2n_pitchdisc_0018.pcm	truth=SAME	normal	-
143	r2a_pitchdisc_0467	pitchdisc	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-PTC-2/r2a_pitchdisc_0467.pcm	truth=HIGHER	adversarial	R2A-PTC-2
144	h_timbredisc_noise_p000	timbredisc	senses/rebuild/harness/fixtures/t5_timbredisc/noise/p000.pcm	PURE	normal	harness-noise
145	r2a_motiondir_0550	motiondir	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-MOT-2/r2a_motiondir_0550.vid	truth=NE	adversarial	R2A-MOT-2
146	r2n_colorconst_0107	colorconst	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/colorconst/r2n_colorconst_0107.img	truth=DIFFERENT	normal	-
147	r2n_timbredisc_0376	timbredisc	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/timbredisc/r2n_timbredisc_0376.pcm	truth=PURE	normal	-
148	r2a_colordisc_0076	colordisc	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-COL-1/r2a_colordisc_0076.img	truth=DIFFERENT	adversarial	R2A-COL-1
149	r2a_shapetrans_0347	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-SHP-2/r2a_shapetrans_0347.img	truth=CIRCLE	adversarial	R2A-SHP-2
150	r2a_shapetrans_0362	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-SHP-2/r2a_shapetrans_0362.img	truth=SQUARE	adversarial	R2A-SHP-2
151	r2a_pitchdisc_0372	pitchdisc	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-PTC-2/r2a_pitchdisc_0372.pcm	truth=HIGHER	adversarial	R2A-PTC-2
152	r2a_pitchdisc_0295	pitchdisc	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-PTC-2/r2a_pitchdisc_0295.pcm	truth=HIGHER	adversarial	R2A-PTC-2
153	r2a_colordisc_0018	colordisc	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-COL-1/r2a_colordisc_0018.img	truth=DIFFERENT	adversarial	R2A-COL-1
