trial	task	fixture	judgment	conf	disp	ops	nsel	sel	claim	warrant	ledger
p_colordisc_p010.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p010.img	SAME	376	INSTALL	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches SAME (dE76 vs 2.6)	dE76=1.092; rgbE=3.00; metamer_suspect=0; illuminant_ambiguous=0	a1a23a47df245f31b734597fe10f54ee5d28e6975bb489fbdb2f4f11ad4a9129
p_colordisc_p011.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p011.img	SAME	430	INSTALL	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches SAME (dE76 vs 2.6)	dE76=0.880; rgbE=4.12; metamer_suspect=0; illuminant_ambiguous=0	a7fde397fa9d30f61c70b913622966d6e8c92ecc75c57657265705d174f6a24e
p_colordisc_p012.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p012.img	SAME	341	INSTALL	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches SAME (dE76 vs 2.6)	dE76=1.235; rgbE=3.00; metamer_suspect=0; illuminant_ambiguous=0	d66df037585dd3915f55f21f30a45bc4c2a5832519c7e700d42fb5c3ce454b68
p_colordisc_p013.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p013.img	SAME	301	INSTALL	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches SAME (dE76 vs 2.6)	dE76=1.393; rgbE=1.73; metamer_suspect=0; illuminant_ambiguous=0	cc9b818f4fee4a1c31c0e1d71826b7c3d2488df9de2dccc4e4bc70116541a0d1
p_colordisc_p014.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p014.img	SAME	472	INSTALL	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches SAME (dE76 vs 2.6)	dE76=0.709; rgbE=5.48; metamer_suspect=0; illuminant_ambiguous=0	f9784361b1eee9f8b56f61e4a129160ec73eb47be13f7e23c3c635e7c9ef167f
p_colordisc_p015.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p015.img	SAME	376	INSTALL	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches SAME (dE76 vs 2.6)	dE76=1.095; rgbE=9.11; metamer_suspect=0; illuminant_ambiguous=0	d0a4d366ca1efc755d4491bac06cab2acf39928ae555cfeea1a9e47773c36784
p_colordisc_p016.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p016.img	SAME	434	INSTALL	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches SAME (dE76 vs 2.6)	dE76=0.862; rgbE=2.45; metamer_suspect=0; illuminant_ambiguous=0	b451f609a4214fd0f346fc8d931c4a6b249c07b9c53c5c7ab22c0be9335368b6
p_colordisc_p017.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p017.img	SAME	510	INSTALL	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches SAME (dE76 vs 2.6)	dE76=0.557; rgbE=3.16; metamer_suspect=0; illuminant_ambiguous=0	06d6b918119ff1983a53a2c4c6e300715e4929f203dfb04427195e06a75c1dc8
p_colordisc_p018.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p018.img	SAME	472	INSTALL	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches SAME (dE76 vs 2.6)	dE76=0.709; rgbE=3.00; metamer_suspect=0; illuminant_ambiguous=0	d99945bfc7f526c6abe7802eb30a5019bedb288cb64f9621e61dc08b2ec2fee0
p_colordisc_p019.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p019.img	SAME	329	INSTALL	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches SAME (dE76 vs 2.6)	dE76=1.280; rgbE=4.24; metamer_suspect=0; illuminant_ambiguous=0	7751d348875d1d4a36e654d87152e83f3d9d55c483ae6544fd97590a4727c913
p_colordisc_p020.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p020.img	DIFFERENT	1000	INSTALL	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches DIFFERENT (dE76 vs 2.6)	dE76=14.063; rgbE=68.38; metamer_suspect=0; illuminant_ambiguous=0	b879449e46add80e58b29ef9171c8672a9ef77761610912284b8da38a33e33e2
p_colordisc_p021.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p021.img	DIFFERENT	1000	INSTALL	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches DIFFERENT (dE76 vs 2.6)	dE76=19.982; rgbE=51.35; metamer_suspect=0; illuminant_ambiguous=0	04d4660adea8c8cd4f46d0fadec6a8a8d5537c061bf92a7f64765eea1fe80054
p_colordisc_p022.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p022.img	DIFFERENT	1000	INSTALL	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches DIFFERENT (dE76 vs 2.6)	dE76=16.052; rgbE=72.79; metamer_suspect=0; illuminant_ambiguous=0	16bae56f509dfcb6e17ddf05272ce4e1163fda1698b240bb92dd3ba32f5b2574
p_colordisc_p023.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p023.img	DIFFERENT	1000	WITHHOLD	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches DIFFERENT (dE76 vs 2.6)	dE76=9.766; rgbE=18.14; metamer_suspect=1; illuminant_ambiguous=0	ccc064ac0bdc7fe78b4aefa6de0924be451c5034732e593d6c89ed27abdf4310
p_colordisc_p024.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p024.img	DIFFERENT	1000	INSTALL	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches DIFFERENT (dE76 vs 2.6)	dE76=19.356; rgbE=81.26; metamer_suspect=0; illuminant_ambiguous=0	dc069faa464f5d82a8d0a9d5e31071150b3afe9eeeaf23f0dc00c0a5a3d3e724
p_colordisc_p025.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p025.img	DIFFERENT	1000	INSTALL	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches DIFFERENT (dE76 vs 2.6)	dE76=15.961; rgbE=37.38; metamer_suspect=0; illuminant_ambiguous=0	091a541b407bb4c15a1b5d9bc947303aca4eeb5d3baed4cb3222fe15d905ca35
p_colordisc_p026.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p026.img	DIFFERENT	1000	INSTALL	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches DIFFERENT (dE76 vs 2.6)	dE76=21.316; rgbE=58.40; metamer_suspect=0; illuminant_ambiguous=0	0f1c697979292a94e2c1a4213a1e3dedc5078e9312cec6f91cc82571b780a3e0
p_colordisc_p027.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p027.img	DIFFERENT	1000	WITHHOLD	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches DIFFERENT (dE76 vs 2.6)	dE76=10.271; rgbE=24.90; metamer_suspect=1; illuminant_ambiguous=0	b245d22a806d2dd29b9572286d455ec47b5b2d693790995709d5e3089708a377
p_colordisc_p028.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p028.img	DIFFERENT	1000	INSTALL	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches DIFFERENT (dE76 vs 2.6)	dE76=13.013; rgbE=36.46; metamer_suspect=0; illuminant_ambiguous=0	549af1d12f749c66b90a026d6eed956f0570dc675fa97b0f7af8d5b9d12483fe
p_colordisc_p029.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p029.img	DIFFERENT	1000	INSTALL	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches DIFFERENT (dE76 vs 2.6)	dE76=9.180; rgbE=53.35; metamer_suspect=0; illuminant_ambiguous=0	6140931945bbe28d03c6416603c1a67a308bb168b303d29792de88628c93ce0c
p_colordisc_p030.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p030.img	DIFFERENT	1000	WITHHOLD	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches DIFFERENT (dE76 vs 2.6)	dE76=10.167; rgbE=29.15; metamer_suspect=1; illuminant_ambiguous=0	ba1ed4ae51285d5efbd679f390f0e16292495acb68faeb2eed3415783fb51538
p_colordisc_p031.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p031.img	DIFFERENT	1000	INSTALL	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches DIFFERENT (dE76 vs 2.6)	dE76=8.739; rgbE=48.60; metamer_suspect=0; illuminant_ambiguous=0	14968c97f3fd042e6732b4dcfbd9cb885afa1fd797bb4050c078a0d0047db946
p_colordisc_p032.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p032.img	DIFFERENT	1000	INSTALL	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches DIFFERENT (dE76 vs 2.6)	dE76=10.418; rgbE=51.66; metamer_suspect=0; illuminant_ambiguous=0	625c36fec9a6a07665f00c443f061525b1cbc264dfc9bc8173c986c9cceb2058
p_colordisc_p033.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p033.img	DIFFERENT	1000	INSTALL	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches DIFFERENT (dE76 vs 2.6)	dE76=21.649; rgbE=33.62; metamer_suspect=0; illuminant_ambiguous=0	153bdbe70e3929c2eeea597b55521d967c83454c4560618981e3fabfe8f40824
p_colordisc_p034.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p034.img	DIFFERENT	755	WITHHOLD	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches DIFFERENT (dE76 vs 2.6)	dE76=5.623; rgbE=25.08; metamer_suspect=1; illuminant_ambiguous=0	6fe8ae36071855bd551e7a3b53b40d87833bcb75f7fccd8f6b3c70c5b242f2e5
p_colordisc_p035.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p035.img	DIFFERENT	806	WITHHOLD	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches DIFFERENT (dE76 vs 2.6)	dE76=5.827; rgbE=15.68; metamer_suspect=1; illuminant_ambiguous=0	4e808023620c07634fbf02cf50276e0a2395e860dc8e5777f66b8d66c5d64099
p_colordisc_p036.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p036.img	DIFFERENT	749	INSTALL	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches DIFFERENT (dE76 vs 2.6)	dE76=5.598; rgbE=38.38; metamer_suspect=0; illuminant_ambiguous=0	b4f03257c376849385c99f9c45b618adce1deeb8ecb726f42a609a1e8bd33474
p_colordisc_p037.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p037.img	DIFFERENT	400	WITHHOLD	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches DIFFERENT (dE76 vs 2.6)	dE76=4.203; rgbE=24.29; metamer_suspect=1; illuminant_ambiguous=0	1b0287b53944e03f120698f1270b200a1e5550ccf20cfb0ceb75be112374834b
p_colordisc_p038.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p038.img	DIFFERENT	881	INSTALL	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches DIFFERENT (dE76 vs 2.6)	dE76=6.125; rgbE=48.67; metamer_suspect=0; illuminant_ambiguous=0	b1d59b8e441223b6c79ac7518d79ba524df5d0cbc1e0fe57872488b5b7ba0c93
p_colordisc_p039.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p039.img	DIFFERENT	973	WITHHOLD	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches DIFFERENT (dE76 vs 2.6)	dE76=6.492; rgbE=26.12; metamer_suspect=1; illuminant_ambiguous=0	f0d57e0b2e384e08eff5c672246b83d418682491c040ef4e730dd2b4b9651782
p_colordisc_p040.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p040.img	DIFFERENT	587	WITHHOLD	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches DIFFERENT (dE76 vs 2.6)	dE76=4.948; rgbE=6.16; metamer_suspect=1; illuminant_ambiguous=0	221336ac60ac7fea51070e7ee02ac2f7218c8139e90a0aab9dcb4ceec14389c8
p_colordisc_p041.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p041.img	DIFFERENT	1000	WITHHOLD	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches DIFFERENT (dE76 vs 2.6)	dE76=7.984; rgbE=18.63; metamer_suspect=1; illuminant_ambiguous=0	49871bbadbd07598305b0efcfb3557cbd57e82a93729d97439775519f518bffe
p_colordisc_p042.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p042.img	DIFFERENT	503	WITHHOLD	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches DIFFERENT (dE76 vs 2.6)	dE76=4.616; rgbE=22.65; metamer_suspect=1; illuminant_ambiguous=0	91e6fb43db1e54dbfea633910516bab0cad8d3955d1c4ec9e010039115cbcf38
p_colordisc_p043.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p043.img	DIFFERENT	629	INSTALL	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches DIFFERENT (dE76 vs 2.6)	dE76=5.116; rgbE=40.31; metamer_suspect=0; illuminant_ambiguous=0	9bb5e6c3233f840c28c5e3ab81be044131ffc119dc589189ef8911643725c43d
p_colordisc_p044.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p044.img	DIFFERENT	432	WITHHOLD	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches DIFFERENT (dE76 vs 2.6)	dE76=4.328; rgbE=20.52; metamer_suspect=1; illuminant_ambiguous=0	20e3b13d3f269d331dd26c9bc1a54944a7d8d3881d5ee8ff9b7bf279cbfddeaa
p_colordisc_p045.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p045.img	DIFFERENT	1000	WITHHOLD	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches DIFFERENT (dE76 vs 2.6)	dE76=7.089; rgbE=28.35; metamer_suspect=1; illuminant_ambiguous=0	c9545f5592fd6976a4104366c992f5993e6ee616029328d4e88fb15742bbc780
p_colordisc_p046.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p046.img	DIFFERENT	644	WITHHOLD	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches DIFFERENT (dE76 vs 2.6)	dE76=5.178; rgbE=26.94; metamer_suspect=1; illuminant_ambiguous=0	97181389362f853aa55165fa034357bc50b03c064fb24516eab08f86790219d0
p_colordisc_p047.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p047.img	SAME	17	WITHHOLD	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches SAME (dE76 vs 2.6)	dE76=2.529; rgbE=22.58; metamer_suspect=0; illuminant_ambiguous=0	fbfd121e6687b5bb28103e428d18cea1f8e0643c75ff47f02ee5e370ca55a789
p_colordisc_p048.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p048.img	SAME	139	WITHHOLD	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches SAME (dE76 vs 2.6)	dE76=2.040; rgbE=7.55; metamer_suspect=0; illuminant_ambiguous=0	564ccc626a3d96051dfcf0e92467ad9831885a6a52650a71abd4b796dd2bcac9
p_colordisc_p049.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p049.img	SAME	144	WITHHOLD	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches SAME (dE76 vs 2.6)	dE76=2.021; rgbE=17.80; metamer_suspect=0; illuminant_ambiguous=0	17e6c8bbce31990f8511da77b6030234a8b4f14dbdfc27d6baae964975b6b774
p_colordisc_p050.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p050.img	DIFFERENT	142	WITHHOLD	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches DIFFERENT (dE76 vs 2.6)	dE76=3.170; rgbE=8.54; metamer_suspect=1; illuminant_ambiguous=0	6f1b0f84bf55e19fd1f657e4de2363655e7d2a7c25ea60717b1d0da01a9e78e9
p_colordisc_p051.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p051.img	SAME	103	WITHHOLD	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches SAME (dE76 vs 2.6)	dE76=2.187; rgbE=11.66; metamer_suspect=0; illuminant_ambiguous=0	02d07cda98d6adf72311ac531d715e4f224cf3c423512a7009f8ec5e2070703e
p_colordisc_p052.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p052.img	DIFFERENT	52	WITHHOLD	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches DIFFERENT (dE76 vs 2.6)	dE76=2.809; rgbE=6.48; metamer_suspect=1; illuminant_ambiguous=0	ecc593a4e417dc9e4d5b14d83dcd64c1699ceba24d25a22cd9db3381df8b953b
p_colordisc_p053.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p053.img	SAME	50	WITHHOLD	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches SAME (dE76 vs 2.6)	dE76=2.399; rgbE=9.43; metamer_suspect=0; illuminant_ambiguous=0	23edd59df6253e1ee1860a60ecc67279ee92b233dab64034e6a3ea1f4893bc41
p_colordisc_p054.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p054.img	SAME	22	WITHHOLD	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches SAME (dE76 vs 2.6)	dE76=2.510; rgbE=11.58; metamer_suspect=0; illuminant_ambiguous=0	0bd6fdf6483085cfdc68772866ddf6d9dc16e40e74e2168e0781d1799edad0f5
p_colordisc_p055.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p055.img	SAME	100	WITHHOLD	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches SAME (dE76 vs 2.6)	dE76=2.196; rgbE=14.76; metamer_suspect=0; illuminant_ambiguous=0	f69f4fd20fcceeff85d439e7ec90cf68e1a87ae399d6e1e7280156ab80d34f9c
p_colordisc_p056.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p056.img	DIFFERENT	105	WITHHOLD	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches DIFFERENT (dE76 vs 2.6)	dE76=3.022; rgbE=11.00; metamer_suspect=1; illuminant_ambiguous=0	5d98f6300ab71bf79490c833dd28015c378b9277316b292c7d29d0dcc53f11ae
p_colordisc_p057.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p057.img	SAME	4	WITHHOLD	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches SAME (dE76 vs 2.6)	dE76=2.583; rgbE=11.58; metamer_suspect=0; illuminant_ambiguous=0	c8d448a9928b6858e7a044c3886690c6651047f775d8cdbb60789cb7abaf2f51
p_colordisc_p058.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p058.img	DIFFERENT	146	WITHHOLD	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches DIFFERENT (dE76 vs 2.6)	dE76=3.184; rgbE=21.47; metamer_suspect=1; illuminant_ambiguous=0	ea9aae0bf74e2998d13656ffdc676d50695a3278c559600a691f2fb12827d773
p_colordisc_p059.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p059.img	SAME	229	INSTALL	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches SAME (dE76 vs 2.6)	dE76=1.681; rgbE=7.68; metamer_suspect=0; illuminant_ambiguous=0	dedaf3a3ecbd33a29736657b1a95c5b8f96a6067edc8ed128e68766e4ca9774e
p_colorconst_p000.img	colorconst	senses/rebuild/harness/fixtures/t2_colorconst/primary/p000.img	SAME_SURFACE	65	WITHHOLD	16384	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	panels SAME_SURFACE (linear-map residual vs 5.0)	resid_rms=4.452; half_resid=4.524/4.265; mixed_illuminant=0	5b1afa1e99cf7917d006c7f086bece4b802a9e92f587cb3e7ebed3fb15ff7bd7
p_colorconst_p001.img	colorconst	senses/rebuild/harness/fixtures/t2_colorconst/primary/p001.img	DIFFERENT	1000	INSTALL	16384	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	panels DIFFERENT (linear-map residual vs 5.0)	resid_rms=68.011; half_resid=61.223/66.708; mixed_illuminant=0	31b967baf17213040cf1514fca483f7a27948f29c0e5ae809ce3527368ba5945
p_colorconst_p002.img	colorconst	senses/rebuild/harness/fixtures/t2_colorconst/primary/p002.img	SAME_SURFACE	142	WITHHOLD	16384	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	panels SAME_SURFACE (linear-map residual vs 5.0)	resid_rms=3.815; half_resid=3.182/4.225; mixed_illuminant=0	429d0b365b9b598d032bb8808ab6aad0dbec4d27bf01ef624a6e04f9a269c2f8
p_colorconst_p003.img	colorconst	senses/rebuild/harness/fixtures/t2_colorconst/primary/p003.img	DIFFERENT	1000	INSTALL	16384	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	panels DIFFERENT (linear-map residual vs 5.0)	resid_rms=34.619; half_resid=30.563/37.834; mixed_illuminant=0	ac1d75ba6fc86127efe0a75b9db9d83448fd24792fb2a8b63be4a0635ccfaea1
p_colorconst_p004.img	colorconst	senses/rebuild/harness/fixtures/t2_colorconst/primary/p004.img	SAME_SURFACE	302	INSTALL	16384	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	panels SAME_SURFACE (linear-map residual vs 5.0)	resid_rms=2.477; half_resid=1.709/2.956; mixed_illuminant=0	2b603e8fe0f223bb663f2add12ab878bc793a565ffe4b1832d6fee70f74892c4
p_colorconst_p005.img	colorconst	senses/rebuild/harness/fixtures/t2_colorconst/primary/p005.img	DIFFERENT	1000	INSTALL	16384	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	panels DIFFERENT (linear-map residual vs 5.0)	resid_rms=38.875; half_resid=41.056/35.860; mixed_illuminant=0	80fa744745b2275e7d34e4b0c74e560e4b20da01e2dd6e82593cdb286f528d81
p_colorconst_p006.img	colorconst	senses/rebuild/harness/fixtures/t2_colorconst/primary/p006.img	SAME_SURFACE	552	INSTALL	16384	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	panels SAME_SURFACE (linear-map residual vs 5.0)	resid_rms=0.395; half_resid=0.395/0.381; mixed_illuminant=0	68a8558057d2c48204b826694a1ec1a6d98bd4c4881fe66a5df95d0f4e55c8fc
p_colorconst_p007.img	colorconst	senses/rebuild/harness/fixtures/t2_colorconst/primary/p007.img	DIFFERENT	1000	INSTALL	16384	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	panels DIFFERENT (linear-map residual vs 5.0)	resid_rms=41.222; half_resid=40.244/39.620; mixed_illuminant=0	a567726873fa5cd8b3d13141379ba492043bca41c6dd23f6a36b9df05c7337b3
p_colorconst_p008.img	colorconst	senses/rebuild/harness/fixtures/t2_colorconst/primary/p008.img	SAME_SURFACE	536	INSTALL	16384	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	panels SAME_SURFACE (linear-map residual vs 5.0)	resid_rms=0.526; half_resid=0.513/0.476; mixed_illuminant=0	bbd14c11ad55090b90065d7c89f3f5cb0c95367ac71310e2e50de66d966fb283
