level	f1	f5	depth	correct	total	rate_mil	prov
L1	425	83	1	2	2	1000000	kb-diet-v3c:cell:L1
L1	425	100	1	1	1	1000000	kb-diet-v3c:cell:L1
L1	425	333	1	1	1	1000000	kb-diet-v3c:cell:L1
L1	425	500	1	1	1	1000000	kb-diet-v3c:cell:L1
L1	450	23	1	0	2	0	kb-diet-v3c:cell:L1
L1	450	24	1	2	2	1000000	kb-diet-v3c:cell:L1
L1	450	45	1	0	2	0	kb-diet-v3c:cell:L1
L1	450	47	1	2	2	1000000	kb-diet-v3c:cell:L1
L1	450	71	1	0	2	0	kb-diet-v3c:cell:L1
L1	450	76	1	2	2	1000000	kb-diet-v3c:cell:L1
L1	450	125	1	0	2	0	kb-diet-v3c:cell:L1
L1	450	142	1	2	2	1000000	kb-diet-v3c:cell:L1
L1	469	41	2	1	1	1000000	kb-diet-v3c:cell:L1
L1	469	46	2	1	1	1000000	kb-diet-v3c:cell:L1
L1	469	57	2	1	1	1000000	kb-diet-v3c:cell:L1
L1	469	58	2	1	1	1000000	kb-diet-v3c:cell:L1
L1	469	66	2	1	1	1000000	kb-diet-v3c:cell:L1
L1	469	74	2	1	1	1000000	kb-diet-v3c:cell:L1
L1	469	80	2	1	1	1000000	kb-diet-v3c:cell:L1
L1	469	100	2	1	1	1000000	kb-diet-v3c:cell:L1
L1	469	105	2	2	2	1000000	kb-diet-v3c:cell:L1
L1	469	142	2	1	1	1000000	kb-diet-v3c:cell:L1
L1	469	153	2	2	2	1000000	kb-diet-v3c:cell:L1
L1	469	166	2	2	2	1000000	kb-diet-v3c:cell:L1
L1	469	200	2	1	1	1000000	kb-diet-v3c:cell:L1
L1	500	47	2	0	10	0	kb-diet-v3c:cell:L1
L1	500	48	2	10	10	1000000	kb-diet-v3c:cell:L1
L1	500	90	1	6	6	1000000	kb-diet-v3c:cell:L1
L1	500	90	2	0	10	0	kb-diet-v3c:cell:L1
L1	500	95	2	10	10	1000000	kb-diet-v3c:cell:L1
L1	500	95	4	0	10	0	kb-diet-v3c:cell:L1
L1	500	97	4	10	10	1000000	kb-diet-v3c:cell:L1
L1	500	100	1	18	18	1000000	kb-diet-v3c:cell:L1
L1	500	111	1	9	9	1000000	kb-diet-v3c:cell:L1
L1	500	142	1	33	33	1000000	kb-diet-v3c:cell:L1
L1	500	142	2	0	10	0	kb-diet-v3c:cell:L1
L1	500	153	2	10	10	1000000	kb-diet-v3c:cell:L1
L1	500	166	1	20	20	1000000	kb-diet-v3c:cell:L1
L1	500	181	4	0	10	0	kb-diet-v3c:cell:L1
L1	500	190	4	10	10	1000000	kb-diet-v3c:cell:L1
L1	500	190	8	0	10	0	kb-diet-v3c:cell:L1
L1	500	195	8	10	10	1000000	kb-diet-v3c:cell:L1
L1	500	200	1	65	65	1000000	kb-diet-v3c:cell:L1
L1	500	250	1	20	20	1000000	kb-diet-v3c:cell:L1
L1	500	250	2	0	10	0	kb-diet-v3c:cell:L1
L1	500	285	2	10	10	1000000	kb-diet-v3c:cell:L1
L1	500	285	4	0	10	0	kb-diet-v3c:cell:L1
L1	500	307	4	10	10	1000000	kb-diet-v3c:cell:L1
L1	500	333	1	15	15	1000000	kb-diet-v3c:cell:L1
L1	500	363	8	0	10	0	kb-diet-v3c:cell:L1
L1	500	380	8	10	10	1000000	kb-diet-v3c:cell:L1
L1	500	380	16	0	10	0	kb-diet-v3c:cell:L1
L1	500	390	16	10	10	1000000	kb-diet-v3c:cell:L1
L1	500	500	1	38	38	1000000	kb-diet-v3c:cell:L1
L1	500	500	4	0	10	0	kb-diet-v3c:cell:L1
L1	500	571	4	10	10	1000000	kb-diet-v3c:cell:L1
L1	500	571	8	0	10	0	kb-diet-v3c:cell:L1
L1	500	615	8	10	10	1000000	kb-diet-v3c:cell:L1
L1	500	727	16	0	10	0	kb-diet-v3c:cell:L1
L1	500	761	16	10	10	1000000	kb-diet-v3c:cell:L1
L1	500	761	32	0	10	0	kb-diet-v3c:cell:L1
L1	500	780	32	10	10	1000000	kb-diet-v3c:cell:L1
L1	500	1000	1	268	268	1000000	kb-diet-v3c:cell:L1
L1	500	1000	2	268	268	1000000	kb-diet-v3c:cell:L1
L1	500	1000	4	268	268	1000000	kb-diet-v3c:cell:L1
L1	500	1000	8	268	268	1000000	kb-diet-v3c:cell:L1
L1	500	1000	16	268	268	1000000	kb-diet-v3c:cell:L1
L1	600	166	1	1	1	1000000	kb-diet-v3c:cell:L1
L1	710	52	1	2	2	1000000	kb-diet-v3c:cell:L1
L1	710	55	1	2	2	1000000	kb-diet-v3c:cell:L1
L1	710	58	1	2	2	1000000	kb-diet-v3c:cell:L1
L1	710	62	1	4	4	1000000	kb-diet-v3c:cell:L1
L1	710	66	1	4	4	1000000	kb-diet-v3c:cell:L1
L1	710	71	1	4	4	1000000	kb-diet-v3c:cell:L1
L1	710	76	1	4	4	1000000	kb-diet-v3c:cell:L1
L1	710	83	1	4	4	1000000	kb-diet-v3c:cell:L1
L1	710	90	1	4	4	1000000	kb-diet-v3c:cell:L1
L1	710	100	1	4	4	1000000	kb-diet-v3c:cell:L1
L1	710	111	1	4	4	1000000	kb-diet-v3c:cell:L1
L1	710	125	1	4	4	1000000	kb-diet-v3c:cell:L1
L1	710	142	1	4	4	1000000	kb-diet-v3c:cell:L1
L1	710	166	1	4	4	1000000	kb-diet-v3c:cell:L1
L1	710	200	1	4	4	1000000	kb-diet-v3c:cell:L1
L1	710	250	1	4	4	1000000	kb-diet-v3c:cell:L1
L1	710	333	1	4	4	1000000	kb-diet-v3c:cell:L1
L1	710	500	1	4	4	1000000	kb-diet-v3c:cell:L1
L1	710	1000	1	4	4	1000000	kb-diet-v3c:cell:L1
L1	710	1000	2	4	4	1000000	kb-diet-v3c:cell:L1
L1	710	1000	4	4	4	1000000	kb-diet-v3c:cell:L1
L1	710	1000	8	4	4	1000000	kb-diet-v3c:cell:L1
L1	710	1000	16	4	4	1000000	kb-diet-v3c:cell:L1
L1	750	125	1	20	20	1000000	kb-diet-v3c:cell:L1
L1	763	250	1	1	1	1000000	kb-diet-v3c:cell:L1
L1	764	41	1	2	2	1000000	kb-diet-v3c:cell:L1
L1	764	43	1	2	2	1000000	kb-diet-v3c:cell:L1
L1	764	45	1	2	2	1000000	kb-diet-v3c:cell:L1
L1	764	47	1	2	2	1000000	kb-diet-v3c:cell:L1
L1	764	50	1	4	4	1000000	kb-diet-v3c:cell:L1
L1	764	52	1	4	4	1000000	kb-diet-v3c:cell:L1
L1	764	55	1	4	4	1000000	kb-diet-v3c:cell:L1
L1	764	58	1	4	4	1000000	kb-diet-v3c:cell:L1
L1	764	62	1	4	4	1000000	kb-diet-v3c:cell:L1
L1	764	66	1	4	4	1000000	kb-diet-v3c:cell:L1
L1	764	71	1	4	4	1000000	kb-diet-v3c:cell:L1
L1	764	76	1	4	4	1000000	kb-diet-v3c:cell:L1
L1	764	83	1	4	4	1000000	kb-diet-v3c:cell:L1
L1	764	90	1	4	4	1000000	kb-diet-v3c:cell:L1
L1	764	100	1	4	4	1000000	kb-diet-v3c:cell:L1
L1	764	111	1	4	4	1000000	kb-diet-v3c:cell:L1
L1	764	125	1	4	4	1000000	kb-diet-v3c:cell:L1
L1	764	142	1	4	4	1000000	kb-diet-v3c:cell:L1
L1	764	166	1	4	4	1000000	kb-diet-v3c:cell:L1
L1	764	200	1	4	4	1000000	kb-diet-v3c:cell:L1
L1	764	250	1	4	4	1000000	kb-diet-v3c:cell:L1
L1	764	333	1	4	4	1000000	kb-diet-v3c:cell:L1
L1	764	500	1	4	4	1000000	kb-diet-v3c:cell:L1
L1	764	1000	1	4	4	1000000	kb-diet-v3c:cell:L1
L1	764	1000	2	4	4	1000000	kb-diet-v3c:cell:L1
L1	764	1000	4	4	4	1000000	kb-diet-v3c:cell:L1
L1	764	1000	8	4	4	1000000	kb-diet-v3c:cell:L1
L1	764	1000	16	4	4	1000000	kb-diet-v3c:cell:L1
L1	800	400	2	1	1	1000000	kb-diet-v3c:cell:L1
L1	931	20	1	1	1	1000000	kb-diet-v3c:cell:L1
L1	931	24	1	1	1	1000000	kb-diet-v3c:cell:L1
L1	931	25	1	1	1	1000000	kb-diet-v3c:cell:L1
L1	931	33	1	1	1	1000000	kb-diet-v3c:cell:L1
L1	931	47	1	2	2	1000000	kb-diet-v3c:cell:L1
L1	931	58	1	2	2	1000000	kb-diet-v3c:cell:L1
L1	931	71	1	2	2	1000000	kb-diet-v3c:cell:L1
L1	931	76	1	2	2	1000000	kb-diet-v3c:cell:L1
L1	931	111	1	2	2	1000000	kb-diet-v3c:cell:L1
L1	931	125	1	5	5	1000000	kb-diet-v3c:cell:L1
L1	931	142	1	7	7	1000000	kb-diet-v3c:cell:L1
L1	931	166	1	5	5	1000000	kb-diet-v3c:cell:L1
L1	931	200	1	8	8	1000000	kb-diet-v3c:cell:L1
L1	931	250	1	7	7	1000000	kb-diet-v3c:cell:L1
L1	931	333	1	8	8	1000000	kb-diet-v3c:cell:L1
L1	931	500	1	8	8	1000000	kb-diet-v3c:cell:L1
L1	931	1000	1	8	8	1000000	kb-diet-v3c:cell:L1
L1	931	1000	2	8	8	1000000	kb-diet-v3c:cell:L1
L1	931	1000	4	8	8	1000000	kb-diet-v3c:cell:L1
L1	931	1000	8	8	8	1000000	kb-diet-v3c:cell:L1
L1	931	1000	16	8	8	1000000	kb-diet-v3c:cell:L1
L1	948	666	2	1	1	1000000	kb-diet-v3c:cell:L1
L1	948	1000	2	1	1	1000000	kb-diet-v3c:cell:L1
L1	948	1000	4	1	1	1000000	kb-diet-v3c:cell:L1
L1	948	1000	8	1	1	1000000	kb-diet-v3c:cell:L1
L1	948	1000	16	1	1	1000000	kb-diet-v3c:cell:L1
L1	1000	41	2	1	1	1000000	kb-diet-v3c:cell:L1
L1	1000	48	2	1	1	1000000	kb-diet-v3c:cell:L1
L1	1000	51	2	1	1	1000000	kb-diet-v3c:cell:L1
L1	1000	66	2	1	1	1000000	kb-diet-v3c:cell:L1
L1	1000	83	2	2	2	1000000	kb-diet-v3c:cell:L1
L1	1000	83	4	2	2	1000000	kb-diet-v3c:cell:L1
L1	1000	86	2	2	2	1000000	kb-diet-v3c:cell:L1
L1	1000	90	2	2	2	1000000	kb-diet-v3c:cell:L1
L1	1000	93	4	1	1	1000000	kb-diet-v3c:cell:L1
L1	1000	95	2	4	4	1000000	kb-diet-v3c:cell:L1
L1	1000	97	4	1	1	1000000	kb-diet-v3c:cell:L1
L1	1000	100	2	4	4	1000000	kb-diet-v3c:cell:L1
L1	1000	102	4	1	1	1000000	kb-diet-v3c:cell:L1
L1	1000	105	2	6	6	1000000	kb-diet-v3c:cell:L1
L1	1000	111	2	6	6	1000000	kb-diet-v3c:cell:L1
L1	1000	114	4	1	1	1000000	kb-diet-v3c:cell:L1
L1	1000	117	2	8	8	1000000	kb-diet-v3c:cell:L1
L1	1000	117	4	1	1	1000000	kb-diet-v3c:cell:L1
L1	1000	125	2	8	8	1000000	kb-diet-v3c:cell:L1
L1	1000	133	2	8	8	1000000	kb-diet-v3c:cell:L1
L1	1000	133	4	2	2	1000000	kb-diet-v3c:cell:L1
L1	1000	142	2	10	10	1000000	kb-diet-v3c:cell:L1
L1	1000	148	4	1	1	1000000	kb-diet-v3c:cell:L1
L1	1000	153	2	10	10	1000000	kb-diet-v3c:cell:L1
L1	1000	160	4	1	1	1000000	kb-diet-v3c:cell:L1
L1	1000	166	2	8	8	1000000	kb-diet-v3c:cell:L1
L1	1000	166	4	2	2	1000000	kb-diet-v3c:cell:L1
L1	1000	166	8	2	2	1000000	kb-diet-v3c:cell:L1
L1	1000	173	4	2	2	1000000	kb-diet-v3c:cell:L1
L1	1000	181	2	14	14	1000000	kb-diet-v3c:cell:L1
L1	1000	181	4	2	2	1000000	kb-diet-v3c:cell:L1
L1	1000	186	8	1	1	1000000	kb-diet-v3c:cell:L1
L1	1000	190	4	4	4	1000000	kb-diet-v3c:cell:L1
L1	1000	195	8	1	1	1000000	kb-diet-v3c:cell:L1
L1	1000	200	2	26	26	1000000	kb-diet-v3c:cell:L1
L1	1000	200	4	5	5	1000000	kb-diet-v3c:cell:L1
L1	1000	205	8	1	1	1000000	kb-diet-v3c:cell:L1
L1	1000	210	4	8	8	1000000	kb-diet-v3c:cell:L1
L1	1000	222	2	19	19	1000000	kb-diet-v3c:cell:L1
L1	1000	222	4	6	6	1000000	kb-diet-v3c:cell:L1
L1	1000	228	8	1	1	1000000	kb-diet-v3c:cell:L1
L1	1000	235	4	8	8	1000000	kb-diet-v3c:cell:L1
L1	1000	235	8	1	1	1000000	kb-diet-v3c:cell:L1
L1	1000	250	2	33	33	1000000	kb-diet-v3c:cell:L1
L1	1000	250	4	8	8	1000000	kb-diet-v3c:cell:L1
L1	1000	266	4	8	8	1000000	kb-diet-v3c:cell:L1
L1	1000	266	8	2	2	1000000	kb-diet-v3c:cell:L1
L1	1000	285	2	48	48	1000000	kb-diet-v3c:cell:L1
L1	1000	285	4	11	11	1000000	kb-diet-v3c:cell:L1
L1	1000	296	8	1	1	1000000	kb-diet-v3c:cell:L1
L1	1000	307	4	12	12	1000000	kb-diet-v3c:cell:L1
L1	1000	320	8	1	1	1000000	kb-diet-v3c:cell:L1
L1	1000	333	1	0	1	0	kb-diet-v3c:cell:L1
L1	1000	333	2	34	34	1000000	kb-diet-v3c:cell:L1
L1	1000	333	4	10	10	1000000	kb-diet-v3c:cell:L1
L1	1000	333	8	2	2	1000000	kb-diet-v3c:cell:L1
L1	1000	333	16	2	2	1000000	kb-diet-v3c:cell:L1
L1	1000	347	8	2	2	1000000	kb-diet-v3c:cell:L1
L1	1000	363	4	14	14	1000000	kb-diet-v3c:cell:L1
L1	1000	363	8	2	2	1000000	kb-diet-v3c:cell:L1
L1	1000	372	16	1	1	1000000	kb-diet-v3c:cell:L1
L1	1000	380	8	4	4	1000000	kb-diet-v3c:cell:L1
L1	1000	390	16	1	1	1000000	kb-diet-v3c:cell:L1
L1	1000	400	2	81	81	1000000	kb-diet-v3c:cell:L1
L1	1000	400	4	27	27	1000000	kb-diet-v3c:cell:L1
L1	1000	400	8	5	5	1000000	kb-diet-v3c:cell:L1
L1	1000	410	16	1	1	1000000	kb-diet-v3c:cell:L1
L1	1000	421	8	8	8	1000000	kb-diet-v3c:cell:L1
L1	1000	444	4	19	19	1000000	kb-diet-v3c:cell:L1
L1	1000	444	8	6	6	1000000	kb-diet-v3c:cell:L1
L1	1000	457	16	1	1	1000000	kb-diet-v3c:cell:L1
L1	1000	470	8	8	8	1000000	kb-diet-v3c:cell:L1
L1	1000	470	16	1	1	1000000	kb-diet-v3c:cell:L1
L1	1000	500	2	36	36	1000000	kb-diet-v3c:cell:L1
L1	1000	500	4	33	33	1000000	kb-diet-v3c:cell:L1
L1	1000	500	8	8	8	1000000	kb-diet-v3c:cell:L1
L1	1000	533	8	8	8	1000000	kb-diet-v3c:cell:L1
L1	1000	533	16	2	2	1000000	kb-diet-v3c:cell:L1
L1	1000	571	4	48	48	1000000	kb-diet-v3c:cell:L1
L1	1000	571	8	11	11	1000000	kb-diet-v3c:cell:L1
L1	1000	592	16	1	1	1000000	kb-diet-v3c:cell:L1
L1	1000	615	8	12	12	1000000	kb-diet-v3c:cell:L1
L1	1000	640	16	1	1	1000000	kb-diet-v3c:cell:L1
L1	1000	666	2	31	32	968750	kb-diet-v3c:cell:L1
L1	1000	666	4	34	34	1000000	kb-diet-v3c:cell:L1
L1	1000	666	8	10	10	1000000	kb-diet-v3c:cell:L1
L1	1000	666	16	2	2	1000000	kb-diet-v3c:cell:L1
L1	1000	695	16	2	2	1000000	kb-diet-v3c:cell:L1
L1	1000	727	8	14	14	1000000	kb-diet-v3c:cell:L1
L1	1000	727	16	2	2	1000000	kb-diet-v3c:cell:L1
L1	1000	761	16	4	4	1000000	kb-diet-v3c:cell:L1
L1	1000	800	4	81	81	1000000	kb-diet-v3c:cell:L1
L1	1000	800	8	27	27	1000000	kb-diet-v3c:cell:L1
L1	1000	800	16	5	5	1000000	kb-diet-v3c:cell:L1
L1	1000	842	16	8	8	1000000	kb-diet-v3c:cell:L1
L1	1000	888	8	19	19	1000000	kb-diet-v3c:cell:L1
L1	1000	888	16	6	6	1000000	kb-diet-v3c:cell:L1
L1	1000	941	16	8	8	1000000	kb-diet-v3c:cell:L1
L1	1000	1000	2	54	54	1000000	kb-diet-v3c:cell:L1
L1	1000	1000	4	122	123	991870	kb-diet-v3c:cell:L1
L1	1000	1000	8	318	319	996865	kb-diet-v3c:cell:L1
L1	1000	1000	16	427	428	997664	kb-diet-v3c:cell:L1
L1	1000	1000	32	10	10	1000000	kb-diet-v3c:cell:L1
L1	1000	1000	64	10	10	1000000	kb-diet-v3c:cell:L1
L2	100	125	-	0	10	0	kb-diet-v3c:cell:L2
L2	100	142	-	0	5	0	kb-diet-v3c:cell:L2
L2	100	200	-	0	16	0	kb-diet-v3c:cell:L2
L2	100	250	-	0	44	0	kb-diet-v3c:cell:L2
L2	100	333	-	0	58	0	kb-diet-v3c:cell:L2
L2	100	500	-	0	24	0	kb-diet-v3c:cell:L2
L2	150	23	-	0	2	0	kb-diet-v3c:cell:L2
L2	150	24	-	2	2	1000000	kb-diet-v3c:cell:L2
L2	150	45	-	0	2	0	kb-diet-v3c:cell:L2
L2	150	47	-	2	2	1000000	kb-diet-v3c:cell:L2
L2	150	71	-	0	2	0	kb-diet-v3c:cell:L2
L2	150	76	-	2	2	1000000	kb-diet-v3c:cell:L2
L2	150	125	-	0	2	0	kb-diet-v3c:cell:L2
L2	150	142	-	2	2	1000000	kb-diet-v3c:cell:L2
L2	200	200	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	200	250	-	0	10	0	kb-diet-v3c:cell:L2
L2	200	285	-	0	5	0	kb-diet-v3c:cell:L2
L2	200	400	-	0	16	0	kb-diet-v3c:cell:L2
L2	200	500	-	0	44	0	kb-diet-v3c:cell:L2
L2	200	666	-	0	30	0	kb-diet-v3c:cell:L2
L2	200	800	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	250	23	-	0	2	0	kb-diet-v3c:cell:L2
L2	250	24	-	2	2	1000000	kb-diet-v3c:cell:L2
L2	250	45	-	0	2	0	kb-diet-v3c:cell:L2
L2	250	47	-	2	2	1000000	kb-diet-v3c:cell:L2
L2	250	71	-	0	2	0	kb-diet-v3c:cell:L2
L2	250	76	-	2	2	1000000	kb-diet-v3c:cell:L2
L2	250	125	-	0	2	0	kb-diet-v3c:cell:L2
L2	250	142	-	2	2	1000000	kb-diet-v3c:cell:L2
L2	300	23	-	0	2	0	kb-diet-v3c:cell:L2
L2	300	24	-	2	2	1000000	kb-diet-v3c:cell:L2
L2	300	45	-	0	2	0	kb-diet-v3c:cell:L2
L2	300	47	-	2	2	1000000	kb-diet-v3c:cell:L2
L2	300	71	-	0	2	0	kb-diet-v3c:cell:L2
L2	300	76	-	2	2	1000000	kb-diet-v3c:cell:L2
L2	300	125	-	0	2	0	kb-diet-v3c:cell:L2
L2	300	142	-	2	2	1000000	kb-diet-v3c:cell:L2
L2	400	23	-	0	2	0	kb-diet-v3c:cell:L2
L2	400	24	-	2	2	1000000	kb-diet-v3c:cell:L2
L2	400	45	-	0	2	0	kb-diet-v3c:cell:L2
L2	400	47	-	2	2	1000000	kb-diet-v3c:cell:L2
L2	400	71	-	0	2	0	kb-diet-v3c:cell:L2
L2	400	76	-	2	2	1000000	kb-diet-v3c:cell:L2
L2	400	125	-	0	2	0	kb-diet-v3c:cell:L2
L2	400	142	-	2	2	1000000	kb-diet-v3c:cell:L2
L2	400	200	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	400	400	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	400	500	-	0	10	0	kb-diet-v3c:cell:L2
L2	400	571	-	0	5	0	kb-diet-v3c:cell:L2
L2	425	20	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	425	23	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	425	28	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	425	29	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	425	33	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	425	37	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	425	40	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	425	50	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	425	52	-	2	2	1000000	kb-diet-v3c:cell:L2
L2	425	71	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	425	76	-	2	2	1000000	kb-diet-v3c:cell:L2
L2	425	83	-	2	2	1000000	kb-diet-v3c:cell:L2
L2	425	100	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	425	333	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	425	500	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	450	23	-	0	2	0	kb-diet-v3c:cell:L2
L2	450	24	-	2	2	1000000	kb-diet-v3c:cell:L2
L2	450	45	-	0	2	0	kb-diet-v3c:cell:L2
L2	450	47	-	2	2	1000000	kb-diet-v3c:cell:L2
L2	450	71	-	0	2	0	kb-diet-v3c:cell:L2
L2	450	76	-	2	2	1000000	kb-diet-v3c:cell:L2
L2	450	125	-	0	2	0	kb-diet-v3c:cell:L2
L2	450	142	-	2	2	1000000	kb-diet-v3c:cell:L2
L2	469	41	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	469	46	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	469	57	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	469	58	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	469	66	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	469	74	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	469	80	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	469	100	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	469	105	-	2	2	1000000	kb-diet-v3c:cell:L2
L2	469	142	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	469	153	-	2	2	1000000	kb-diet-v3c:cell:L2
L2	469	166	-	2	2	1000000	kb-diet-v3c:cell:L2
L2	469	200	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	500	47	-	0	10	0	kb-diet-v3c:cell:L2
L2	500	48	-	10	10	1000000	kb-diet-v3c:cell:L2
L2	500	90	-	6	16	375000	kb-diet-v3c:cell:L2
L2	500	95	-	10	20	500000	kb-diet-v3c:cell:L2
L2	500	97	-	10	10	1000000	kb-diet-v3c:cell:L2
L2	500	100	-	18	18	1000000	kb-diet-v3c:cell:L2
L2	500	111	-	9	9	1000000	kb-diet-v3c:cell:L2
L2	500	142	-	33	43	767442	kb-diet-v3c:cell:L2
L2	500	153	-	10	10	1000000	kb-diet-v3c:cell:L2
L2	500	166	-	20	20	1000000	kb-diet-v3c:cell:L2
L2	500	181	-	0	10	0	kb-diet-v3c:cell:L2
L2	500	190	-	10	20	500000	kb-diet-v3c:cell:L2
L2	500	195	-	10	10	1000000	kb-diet-v3c:cell:L2
L2	500	200	-	65	65	1000000	kb-diet-v3c:cell:L2
L2	500	250	-	20	30	666667	kb-diet-v3c:cell:L2
L2	500	285	-	10	20	500000	kb-diet-v3c:cell:L2
L2	500	307	-	10	10	1000000	kb-diet-v3c:cell:L2
L2	500	333	-	15	15	1000000	kb-diet-v3c:cell:L2
L2	500	363	-	0	10	0	kb-diet-v3c:cell:L2
L2	500	380	-	10	20	500000	kb-diet-v3c:cell:L2
L2	500	390	-	10	10	1000000	kb-diet-v3c:cell:L2
L2	500	500	-	38	48	791667	kb-diet-v3c:cell:L2
L2	500	571	-	10	20	500000	kb-diet-v3c:cell:L2
L2	500	615	-	10	10	1000000	kb-diet-v3c:cell:L2
L2	500	727	-	0	10	0	kb-diet-v3c:cell:L2
L2	500	761	-	10	20	500000	kb-diet-v3c:cell:L2
L2	500	780	-	10	10	1000000	kb-diet-v3c:cell:L2
