rowid	candidate	qtype	query	domain	url	title	snippet	stance
V3-03-q1-r2	V3-03	disconfirm	does ice sink in water claim	vaia.com	https://www.vaia.com/en-us/textbooks/chemistry/introductory-chemistry-concepts-and-critical-thinking-8-edition/chapter-12/problem-53-a-solid-cube-of-ice-floats-in-water-which-is-more/	A solid cube of ice floats in water	Ice has a density of approximately 0.92 g/cm3, while liquid water has a density of 1.00 g/cm3 at 4C... Understanding these figures explains why ice floats.	SUPPORT
V3-03-q1-r3	V3-03	disconfirm	does ice sink in water claim	vogueindustry.com	http://vogueindustry.com/17328302-why-ice-does-not-sink-in-water-answers	Why ice does not sink in water	The reason why ice does not sink in water is that when water freezes, it expands, and with it, its density decreases.	SUPPORT
V3-04-q0-r0	V3-04	neutral	can bats see are bats blind	batcon.org	https://www.batcon.org/blind-as-a-bat-no-such-thing/	Blind as a Bat? No Such Thing	First things first - bats are NOT blind! Despite the common phrase, all bats have functional eyes and can see.	REFUTE
V3-04-q0-r1	V3-04	neutral	can bats see are bats blind	sciencedaily.com	https://www.sciencedaily.com/releases/2018/10/181016171126.htm	Just how blind are bats? Color vision gene study	Bats are not blind, with most species capable of seeing in both the UV and middle range of the color spectrum.	REFUTE
V3-04-q0-r2	V3-04	neutral	can bats see are bats blind	usgs.gov	https://www.usgs.gov/faqs/are-bats-blind	Are bats blind? | U.S. Geological Survey	No, bats are not blind. Bats have small eyes with very sensitive vision, which helps them see in conditions we might consider pitch black.	REFUTE
V3-04-q0-r3	V3-04	neutral	can bats see are bats blind	m.i133.com	https://m.i133.com/faqs/are-bats-blind.html	Are Bats Blind? The Short Answer Is No	Bats are not blind; they are multisensory animals that often rely heavily on hearing, especially echolocation, but still use their eyes.	REFUTE
V3-04-q1-r0	V3-04	disconfirm	bats are blind myth debunked	ucdavis.edu	https://www.ucdavis.edu/magazine/debunking-myths-about-bats	Debunking Myths About Bats	MYTH: Bats Are Blind. Bats are not blind. Some bats can even see UV wavelengths!	REFUTE
V3-04-q1-r1	V3-04	disconfirm	bats are blind myth debunked	factmyth.com	https://factmyth.com/factoids/are-bats-are-blind/	Bats are blind - Fact or Myth?	The myth that bats are blind has been debunked through various scientific studies and observations.	REFUTE
V3-04-q1-r2	V3-04	disconfirm	bats are blind myth debunked	batcon.org	https://www.batcon.org/blind-as-a-bat-no-such-thing/	Blind as a Bat? No Such Thing (duplicate result across queries)	First things first - bats are NOT blind! Despite the common phrase, all bats have functional eyes and can see.	REFUTE
V3-04-q1-r3	V3-04	disconfirm	bats are blind myth debunked	usgs.gov	https://www.usgs.gov/faqs/are-bats-blind	Are bats blind? (duplicate result across queries)	No, bats are not blind. Bats have small eyes with very sensitive vision.	REFUTE
V3-05-q0-r0	V3-05	neutral	how long is a goldfish memory	thegoldfishtank.com	https://thegoldfishtank.com/goldfish-info/myth/goldfish-memory-three-second-memory-myth/	Do Goldfish Really Have a 3 Second Memory?	MYTH: Goldfish memory spans are just three seconds long. FACT: Goldfish can remember things for months!	REFUTE
V3-05-q0-r1	V3-05	neutral	how long is a goldfish memory	scienceinsights.org	https://scienceinsights.org/how-long-is-a-goldfishs-memory-span/	How Long Is a Goldfish's Memory Span?	The scientific consensus is clear: the supposed three-second memory is an absolute myth.	REFUTE
V3-05-q0-r2	V3-05	neutral	how long is a goldfish memory	amnh.org	https://www.amnh.org/learn-teach/curriculum-collections/young-naturalist-awards/goldfish-as-a-model-for-understanding-learning-and-memory-more-complex-than-you-think	Goldfish as a Model for Understanding Learning and Memory	In summary, this data suggests that goldfish have a spatial memory of at least six months.	REFUTE
V3-05-q0-r3	V3-05	neutral	how long is a goldfish memory	livescience.com	https://www.livescience.com/goldfish-memory.html	Do goldfish really have a 3-second memory?	However, this is a complete myth that, despite its lack of scientific backing, has spread widely. In reality, goldfish have much longer memories - spanning weeks, months and even years.	REFUTE
V3-05-q1-r0	V3-05	disconfirm	goldfish three second memory myth false	yourstory.com	https://yourstory.com/2025/05/gen-z-goldfish-memory-myth	Goldfish memory? Gen Z's forgetfulness has nothing to do with fish	The idea that goldfish have a memory span of just three seconds has been widely debunked by scientists.	REFUTE
V3-05-q1-r1	V3-05	disconfirm	goldfish three second memory myth false	skeptics-digest.beehiiv.com	https://skeptics-digest.beehiiv.com/p/myth-8-goldfish-have-a-3-second-memory	Myth #8: Goldfish have a 3-second memory.	Verdict: Fiction. Nope. Goldfish have much better memories than the myth suggests.	REFUTE
V3-05-q1-r2	V3-05	disconfirm	goldfish three second memory myth false	iflscience.com	https://www.iflscience.com/do-goldfish-really-have-a-three-second-memory-75017	Do Goldfish Have A Three-Second Memory?	The common misconception is that goldfish have a memory that lasts just three seconds, but countless studies have proven that not only do they have memories spanning, weeks, months, and even years.	REFUTE
V3-05-q1-r3	V3-05	disconfirm	goldfish three second memory myth false	sciencing.com	https://www.sciencing.com/1881847/myth-goldfish-memories-you-believe/	Well Actually, Goldfish Don't Have Three-Second Memories	If you've ever forgotten something shortly after learning it, you may have been told you have the 'memory of a goldfish' - and it probably wasn't meant as a compliment. The classic idiomatic insult plays on the common belief that goldfish have short memories. But it's a belief that's entirely false.	REFUTE
V3-06-q0-r0	V3-06	neutral	did vikings wear horned helmets	historyextra.com	https://www.historyextra.com/period/viking/historical-fact-check-vikings-myths-busted-did-wear-horned-helmets-violent-barbarians/	Did Vikings Wear Horned Helmets? 8 Myths Busted	Myth 1: Vikings wore horned helmets. There is no evidence that the Vikings wore horned helmets, and nothing like this has ever been discovered in any archaeological dig.	REFUTE
V3-06-q0-r1	V3-06	neutral	did vikings wear horned helmets	smithsonianmag.com	https://www.smithsonianmag.com/smart-news/iconic-viking-horned-helmets-actually-3000-years-old-180979339/	The Horned Helmets Falsely Attributed to Vikings Are Actually Nearly 3,000 Years Old	Viking society only developed in the 9th century C.E., and there is no sign that Vikings really wore horned helmets.	REFUTE
V3-06-q0-r2	V3-06	neutral	did vikings wear horned helmets	historyfacts.com	https://historyfacts.com/world-history/fact/vikings-didnt-actually-wear-horned-helmets/	Vikings Didn't Wear Horned Helmets	The horns are a staple of Viking imagery in comics, sports mascots, and Halloween costumes, but there's actually no evidence that they were widely used.	REFUTE
V3-06-q0-r3	V3-06	neutral	did vikings wear horned helmets	thoughtco.com	https://www.thoughtco.com/did-vikings-wear-horned-helmets-1221935?print	Did Vikings Wear Horned Helmets?	There is no evidence, archaeological or otherwise, that Viking warriors wore any type of horns or wings on their helmets.	REFUTE
V3-06-q1-r0	V3-06	disconfirm	vikings horned helmets myth no evidence	history.com	https://www.History.com/articles/did-vikings-really-wear-horned-helmets	Did Vikings really wear horned helmets?	And despite years of searching, archaeologists have yet to uncover a Viking-era helmet embellished with horns.	REFUTE
V3-06-q1-r1	V3-06	disconfirm	vikings horned helmets myth no evidence	historyextra.com	https://www.historyextra.com/period/viking/historical-fact-check-vikings-myths-busted-did-wear-horned-helmets-violent-barbarians/	Did Vikings Wear Horned Helmets? 8 Myths Busted (duplicate across queries)	There is no evidence that the Vikings wore horned helmets, and nothing like this has ever been discovered in any archaeological dig.	REFUTE
V3-06-q1-r2	V3-06	disconfirm	vikings horned helmets myth no evidence	iflscience.com	https://www.iflscience.com/is-everything-we-thought-we-knew-about-vikings-wrong-68022	Is Everything we Thought we Knew About Vikings Wrong?	There is no historical evidence that Vikings wore such helmets, and similar specimens have never been found in any archaeological site.	REFUTE
V3-06-q1-r3	V3-06	disconfirm	vikings horned helmets myth no evidence	smithsonianmag.com	https://www.smithsonianmag.com/smart-news/iconic-viking-horned-helmets-actually-3000-years-old-180979339/	The Horned Helmets Falsely Attributed to Vikings (duplicate across queries)	there is no sign that Vikings really wore horned helmets.	REFUTE
V3-07-q0-r0	V3-07	neutral	how many senses do humans have	en.sorumatik.co	https://en.sorumatik.co/t/how-many-senses-do-humans-have/242378	How many senses do humans have	In summary, the traditional answer to 'how many senses do humans have?' is five - based on Aristotle's model. However, modern science expands this to approximately 9-12 senses.	REFUTE
V3-07-q0-r1	V3-07	neutral	how many senses do humans have	questionai.com	http://www.questionai.com/questions-t4ZdnxAxCk0r/sensorprequiz1-many-sensors-senses-humans-havelist-them2	How Many Sensors or Senses Do Humans Have?	Humans have five primary senses: sight, hearing, taste, smell, and touch.	SUPPORT
V3-07-q0-r2	V3-07	neutral	how many senses do humans have	torontostarts.com	https://torontostarts.com/2026/04/14/how-many-senses-we-have/	How many senses do we have? 22-33 senses?	Many of us learned that humans have just five senses. But modern neuroscience tells us that we actually have between 22 and 33 senses.	REFUTE
V3-07-q0-r3	V3-07	neutral	how many senses do humans have	medicalxpress.com	https://medicalxpress.com/news/2025-12-humans.html	Humans could have as many as 33 senses	Aristotle told us there were five senses. But he also told us the world was made up of five elements and we no longer believe that. And modern research is showing we may actually have dozens of senses.	REFUTE
V3-07-q1-r0	V3-07	disconfirm	humans have more than five senses exactly five debunked	youtube.com	https://www.youtube.com/shorts/-8La0yeKWOg	Scientists say humans may have more than 30 senses, not just five.	Did you know you don't have just five senses... but likely more than thirty?	REFUTE
V3-07-q1-r1	V3-07	disconfirm	humans have more than five senses exactly five debunked	iflscience.com	https://iflscience.com/you-dont-have-5-senses-you-have-way-more-than-that-79343	Humans Have More Than 5 Senses	Contrary to what many people think, humans are not limited to a measly five senses... it seems Aristotle was wrong.	REFUTE
V3-07-q1-r2	V3-07	disconfirm	humans have more than five senses exactly five debunked	brightside.me	https://Brightside.me/articles/8-ideas-about-the-human-body-we-never-questioned-805653/	8 Ideas About the Human Body We Never Questioned	You have way more than only 5 senses. In reality, scientists estimate that we might have up to 33 senses.	REFUTE
V3-07-q1-r3	V3-07	disconfirm	humans have more than five senses exactly five debunked	112.ua	https://112.ua/en/ne-5-i-navit-ne-sist-vceni-zasuvali-skilki-organiv-cutta-mae-ludina-125000	Science has proven: humans have not 5, but up to 33 senses	Modern scientific data suggests that we may have not just five but significantly more senses - from 22 to 33.	REFUTE
V3-08-q0-r0	V3-08	neutral	lemon water every morning liver toxins cleanse	careyourliver.com	https://careyourliver.com/can-lemon-water-clean-your-liver-science-explained/	Can Lemon Water Clean Your Liver? Science Explained	Lemon water does not detox the liver. Your liver already removes toxins naturally. It cannot cure fatty liver disease.	REFUTE
V3-08-q0-r1	V3-08	neutral	lemon water every morning liver toxins cleanse	restonyc.com	https://www.restonyc.com/does-hot-lemon-water-cleanse-your-liver/	Does hot lemon water cleanse your liver?	There is currently no strong scientific evidence that drinking lemon water provides any significant cleansing or detoxification effect for the liver.	REFUTE
V3-08-q0-r2	V3-08	neutral	lemon water every morning liver toxins cleanse	greentricks.me	https://greentricks.me/cleanse-the-liver-in-3-days-grandmas-old-recipe-with-lemon-honey/	Cleanse the Liver in 3 Days! Grandma's Old Recipe with Lemon & Honey	This natural recipe helps refresh the liver, improve digestion, and leave you feeling lighter in just a few days.	SUPPORT
V3-08-q0-r3	V3-08	neutral	lemon water every morning liver toxins cleanse	youtube.com	https://www.youtube.com/shorts/OQBQ76Mmpjc	Drink This Every Morning to Detox Your Liver!	This simple drink helps your liver flush out toxins, reduces inflammation, and restores your natural energy throughout the day.	SUPPORT
V3-08-q1-r0	V3-08	disconfirm	lemon water detox myth no evidence liver	acibademinternational.com	https://acibademinternational.com/blog/lemon-water-benefits-what-it-does-and-the-detox-myth-it-doesnt/	Benefits of Lemon Water: Facts vs. the Detox Myth	Does lemon water detox your liver? No. Your liver detoxifies continuously through two phases of enzymatic processing, and your kidneys excrete the water-soluble results - a system no food or drink has been shown to accelerate.	REFUTE
V3-08-q1-r1	V3-08	disconfirm	lemon water detox myth no evidence liver	joinreframeapp.com	https://www.joinreframeapp.com/articles/lemon-water-liver-detox-tiktok-trend-debunked-2025	Does Lemon Water Really Detox Your Liver After a Binge?	Despite viral claims, lemon water cannot: Accelerate alcohol metabolism; Remove fat deposits from the liver; "Flush toxins" beyond normal kidney and liver function.	REFUTE
V3-08-q1-r2	V3-08	disconfirm	lemon water detox myth no evidence liver	rclipse.com	https://www.rclipse.com/can-you-cure-fatty-liver-with-lemon-water-fact-vs-myth-85827.html	Can you cure fatty liver with lemon water? Fact vs myth	Myth: Lemon water flushes out fat from the liver. Your liver is already your natural detox system. In medical terms, there's no such thing as a liver detox cure.	REFUTE
V3-08-q1-r3	V3-08	disconfirm	lemon water detox myth no evidence liver	newspointapp.com	https://www.newspointapp.com/english-news/publisher-toi/life-style/health-fitness/health-news/fatty-liver-can-you-cure-this-liver-condition-with-lemon-water-fact-vs-myth/articleshow/122312386_toi_t.cms	Fatty Liver: Can you cure fatty liver with lemon water? Fact vs myth	Myth: Lemon water flushes out fat from the liver. Unfortunately, our bodies don't work that way. Your liver is already your natural detox system.	REFUTE
V3-09-q0-r0	V3-09	neutral	celery juice cures chronic disease claim	healthline.com	https://www.healthline.com/nutrition/celery-juice-cleanse	Benefits of Celery Juice: What You Need to Know	William claims that celery juice is a cure-all that heals chronic illnesses. However, no evidence supports the existence of these salts. Moreover, there haven't been any human trials investigating celery juice's effects on health.	REFUTE
V3-09-q0-r1	V3-09	neutral	celery juice cures chronic disease claim	acibademinternational.com	https://acibademinternational.com/blog/celery-juice-benefits-the-viral-health-claim-vs-the-actual-evidence/	Celery Juice Benefits: Viral Claims vs Real Evidence	Strong human evidence for the viral claims - detoxing the liver, curing gut disease, or balancing hormones - does not exist.	REFUTE
V3-09-q0-r2	V3-09	neutral	celery juice cures chronic disease claim	youtube.com	https://www.youtube.com/watch?v=H-YG2aDZWco	Sjogren's UPDATE: What Happens When You Drink Celery Juice Every Morning	Is drinking celery juice every morning a game-changer for autoimmune relief, or just another internet fad? While it is not a cure, celery is packed with hydration, essential vitamins, and anti-inflammatory antioxidants.	REFUTE
V3-09-q0-r3	V3-09	neutral	celery juice cures chronic disease claim	medicaldialogues.in	https://medicaldialogues.in/fact-check/fact-check-can-beetroot-celery-and-parsley-juice-cure-arthritis-153311	Fact Check: Can Beetroot, Celery and Parsley Juice Cure Arthritis?	This claim that Beetroot, Celery and Parsley Juice Cure Arthritis is FALSE. There is no scientific evidence or medical consensus to back the claim.	REFUTE
V3-09-q1-r0	V3-09	disconfirm	celery juice cure myth debunked no evidence	healthline.com	https://www.healthline.com/nutrition/celery-juice-cleanse	Benefits of Celery Juice: What You Need to Know (duplicate across queries)	Finally, there is no evidence that celery juice detoxifies your body, as another popular claim states. Your body has its own natural detoxification system.	REFUTE
V3-09-q1-r1	V3-09	disconfirm	celery juice cure myth debunked no evidence	medicaldialogues.in	https://medicaldialogues.in/fact-check/fact-check-can-celery-juice-help-reverse-tooth-decay-146692	Fact Check: Can Celery Juice Help Reverse Tooth Decay?	No, celery juice cannot reverse tooth decay. Despite some viral claims, celery juice cannot cure tooth decay.	REFUTE
V3-09-q1-r2	V3-09	disconfirm	celery juice cure myth debunked no evidence	proteinsnackqueen.com	https://www.proteinsnackqueen.com/blog/is-celery-juice-healthy	Celery Juice: Health Benefits and Myths	One of the most common myths about celery juice is that it's a miracle cure for various ailments. There's no scientific evidence to support the idea that drinking celery juice alone can cure diseases.	REFUTE
V3-09-q1-r3	V3-09	disconfirm	celery juice cure myth debunked no evidence	oaklandpostonline.com	https://oaklandpostonline.com/26796/opinion/the-latest-trend-goodbye-kale-hello-celery-juice/	The latest trend: Goodbye kale, hello celery juice	Although drinking celery juice is not a bad thing, it probably won't miraculously cure your body either. The data found only supports these claims of the benefits of celery juice in a laboratory setting and not on the living human body.	REFUTE
