rep,id,status,leg0,leg1,leg2,leg3,leg4,leg5,leg6,leg7,leg8,leg9
1,40,0,15,15,15,15,15,15,15,15,15,15
1,29,0,6,6,6,6,6,6,6,6,6,6
1,18,0,19,19,19,19,19,19,19,19,19,19
1,7,0,8,8,8,8,8,8,8,8,8,8
1,44,0,19,19,19,19,19,19,19,19,19,19
1,33,0,8,8,8,8,8,8,8,8,8,8
1,11,0,12,12,12,12,12,12,12,12,12,12
1,0,0,1,1,1,1,1,1,1,1,1,1
1,37,0,12,12,12,12,12,12,12,12,12,12
1,26,0,1,1,1,1,1,1,1,1,1,1
1,15,0,16,16,16,16,16,16,16,16,16,16
1,4,0,5,5,5,5,5,5,5,5,5,5
1,41,0,16,16,16,16,16,16,16,16,16,16
1,30,0,5,5,5,5,5,5,5,5,5,5
1,19,0,20,20,20,20,20,20,20,20,20,20
1,8,0,9,9,9,9,9,9,9,9,9,9
1,45,0,20,20,20,20,20,20,20,20,20,20
1,34,0,9,9,9,9,9,9,9,9,9,9
1,12,0,13,13,13,13,13,13,13,13,13,13
1,1,0,2,2,2,2,2,2,2,2,2,2
1,38,0,13,13,13,13,13,13,13,13,13,13
1,27,0,2,2,2,2,2,2,2,2,2,2
1,16,0,17,17,17,17,17,17,17,17,17,17
1,5,0,6,6,6,6,6,6,6,6,6,6
1,42,0,17,17,17,17,17,17,17,17,17,17
1,31,0,6,6,6,6,6,6,6,6,6,6
1,20,0,21,21,21,21,21,21,21,21,21,21
1,9,0,10,10,10,10,10,10,10,10,10,10
1,46,0,21,21,21,21,21,21,21,21,21,21
1,35,0,10,10,10,10,10,10,10,10,10,10
1,24,0,25,25,25,25,25,25,25,25,25,25
1,61,0,14,14,14,14,14,14,14,14,14,14
1,50,0,3,3,3,3,3,3,3,3,3,3
1,87,0,4,4,4,4,4,4,4,4,4,4
1,76,0,28,28,28,28,28,28,28,28,28,28
1,65,0,18,18,18,18,18,18,18,18,18,18
1,54,0,7,7,7,7,7,7,7,7,7,7
1,91,0,10,10,10,10,10,10,10,10,10,10
1,80,0,8,8,8,8,8,8,8,8,8,8
1,58,0,11,11,11,11,11,11,11,11,11,11
1,95,0,3,3,3,3,3,3,3,3,3,3
1,84,0,4,4,4,4,4,4,4,4,4,4
1,73,0,21,21,21,21,21,21,21,21,21,21
1,62,0,15,15,15,15,15,15,15,15,15,15
1,51,0,4,4,4,4,4,4,4,4,4,4
1,88,0,5,5,5,5,5,5,5,5,5,5
1,77,0,4,4,4,4,4,4,4,4,4,4
1,66,0,19,19,19,19,19,19,19,19,19,19
1,55,0,7,7,7,7,7,7,7,7,7,7
1,92,0,9,9,9,9,9,9,9,9,9,9
1,81,0,8,8,8,8,8,8,8,8,8,8
1,70,0,21,21,21,21,21,21,21,21,21,21
1,59,0,12,12,12,12,12,12,12,12,12,12
1,48,0,1,1,1,1,1,1,1,1,1,1
1,85,0,5,5,5,5,5,5,5,5,5,5
1,74,0,20,20,20,20,20,20,20,20,20,20
1,63,0,16,16,16,16,16,16,16,16,16,16
1,52,0,5,5,5,5,5,5,5,5,5,5
1,89,0,7,7,7,7,7,7,7,7,7,7
1,78,0,4,4,4,4,4,4,4,4,4,4
1,67,0,20,20,20,20,20,20,20,20,20,20
1,56,0,9,9,9,9,9,9,9,9,9,9
1,93,0,7,7,7,7,7,7,7,7,7,7
1,82,0,6,6,6,6,6,6,6,6,6,6
1,71,0,21,21,21,21,21,21,21,21,21,21
1,60,0,13,13,13,13,13,13,13,13,13,13
1,49,0,2,2,2,2,2,2,2,2,2,2
1,86,0,5,5,5,5,5,5,5,5,5,5
1,75,0,25,25,25,25,25,25,25,25,25,25
1,64,0,17,17,17,17,17,17,17,17,17,17
1,53,0,6,6,6,6,6,6,6,6,6,6
1,90,0,8,8,8,8,8,8,8,8,8,8
1,79,0,8,8,8,8,8,8,8,8,8,8
1,57,0,10,10,10,10,10,10,10,10,10,10
1,94,0,4,4,4,4,4,4,4,4,4,4
1,83,0,7,7,7,7,7,7,7,7,7,7
1,109,0,1766,1766,1766,1766,1766,1766,1766,1766,1766,1766
1,98,0,1608,1608,1608,1608,1608,1608,1608,1608,1608,1608
1,135,0,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887
1,124,0,1862,1862,1862,1862,1862,1862,1862,1862,1862,1862
1,113,0,1826,1826,1826,1826,1826,1826,1826,1826,1826,1826
1,102,0,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667
1,139,0,1896,1896,1896,1896,1896,1896,1896,1896,1896,1896
1,128,0,1871,1871,1871,1871,1871,1871,1871,1871,1871,1871
1,117,0,1851,1851,1851,1851,1851,1851,1851,1851,1851,1851
1,106,0,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740
1,143,0,1925,1925,1925,1925,1925,1925,1925,1925,1925,1925
1,132,0,1884,1884,1884,1884,1884,1884,1884,1884,1884,1884
1,110,0,1776,1776,1776,1776,1776,1776,1776,1776,1776,1776
1,99,0,1611,1611,1611,1611,1611,1611,1611,1611,1611,1611
1,136,0,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890
1,125,0,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865
1,114,0,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847
1,103,0,1688,1688,1688,1688,1688,1688,1688,1688,1688,1688
1,140,0,1897,1897,1897,1897,1897,1897,1897,1897,1897,1897
1,129,0,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878
1,118,0,1851,1851,1851,1851,1851,1851,1851,1851,1851,1851
1,107,0,1749,1749,1749,1749,1749,1749,1749,1749,1749,1749
1,96,0,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603
1,133,0,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886
1,122,0,1859,1859,1859,1859,1859,1859,1859,1859,1859,1859
1,111,0,1813,1813,1813,1813,1813,1813,1813,1813,1813,1813
1,100,0,1623,1623,1623,1623,1623,1623,1623,1623,1623,1623
1,137,0,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891
1,126,0,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866
1,115,0,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847
1,104,0,1719,1719,1719,1719,1719,1719,1719,1719,1719,1719
1,141,0,1898,1898,1898,1898,1898,1898,1898,1898,1898,1898
1,130,0,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880
1,108,0,1759,1759,1759,1759,1759,1759,1759,1759,1759,1759
1,97,0,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605
1,134,0,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886
1,123,0,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861
1,112,0,1818,1818,1818,1818,1818,1818,1818,1818,1818,1818
1,101,0,1651,1651,1651,1651,1651,1651,1651,1651,1651,1651
1,138,0,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892
1,127,0,1869,1869,1869,1869,1869,1869,1869,1869,1869,1869
1,116,0,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850
1,105,0,1726,1726,1726,1726,1726,1726,1726,1726,1726,1726
1,142,0,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903
1,131,0,1883,1883,1883,1883,1883,1883,1883,1883,1883,1883
1,120,0,1854,1854,1854,1854,1854,1854,1854,1854,1854,1854
1,157,0,100,100,100,100,100,100,100,100,100,100
1,194,0,4,4,4,4,4,4,4,4,4,4
1,231,0,7,7,7,7,7,7,7,7,7,7
1,172,0,50,50,50,50,50,50,50,50,50,50
1,209,0,3,3,3,3,3,3,3,3,3,3
1,150,0,52,52,52,52,52,52,52,52,52,52
1,187,0,8,8,8,8,8,8,8,8,8,8
1,224,0,30,30,30,30,30,30,30,30,30,30
1,165,0,7,7,7,7,7,7,7,7,7,7
1,202,0,7,7,7,7,7,7,7,7,7,7
1,239,0,39,39,39,39,39,39,39,39,39,39
1,180,0,11,11,11,11,11,11,11,11,11,11
1,158,0,12,12,12,12,12,12,12,12,12,12
1,195,0,12,12,12,12,12,12,12,12,12,12
1,232,0,12,12,12,12,12,12,12,12,12,12
1,173,0,13,13,13,13,13,13,13,13,13,13
1,210,0,7,7,7,7,7,7,7,7,7,7
1,151,0,24,24,24,24,24,24,24,24,24,24
1,188,0,6,6,6,6,6,6,6,6,6,6
1,225,0,9,9,9,9,9,9,9,9,9,9
1,166,0,88,88,88,88,88,88,88,88,88,88
1,203,0,66,66,66,66,66,66,66,66,66,66
1,144,0,26,26,26,26,26,26,26,26,26,26
1,181,0,11,11,11,11,11,11,11,11,11,11
1,218,0,9,9,9,9,9,9,9,9,9,9
1,159,0,3,3,3,3,3,3,3,3,3,3
1,196,0,12,12,12,12,12,12,12,12,12,12
1,233,0,30,30,30,30,30,30,30,30,30,30
1,174,0,50,50,50,50,50,50,50,50,50,50
1,211,0,7,7,7,7,7,7,7,7,7,7
1,152,0,60,60,60,60,60,60,60,60,60,60
1,189,0,21,21,21,21,21,21,21,21,21,21
1,226,0,100,100,100,100,100,100,100,100,100,100
1,167,0,6,6,6,6,6,6,6,6,6,6
1,204,0,4,4,4,4,4,4,4,4,4,4
1,145,0,5,5,5,5,5,5,5,5,5,5
1,182,0,4,4,4,4,4,4,4,4,4,4
1,219,0,40,40,40,40,40,40,40,40,40,40
1,160,0,18,18,18,18,18,18,18,18,18,18
1,197,0,7,7,7,7,7,7,7,7,7,7
1,234,0,31,31,31,31,31,31,31,31,31,31
1,175,0,7,7,7,7,7,7,7,7,7,7
1,212,0,5,5,5,5,5,5,5,5,5,5
1,153,0,60,60,60,60,60,60,60,60,60,60
1,190,0,12,12,12,12,12,12,12,12,12,12
1,227,0,100,100,100,100,100,100,100,100,100,100
1,205,0,38,38,38,38,38,38,38,38,38,38
1,146,0,21,21,21,21,21,21,21,21,21,21
1,183,0,13,13,13,13,13,13,13,13,13,13
1,220,0,12,12,12,12,12,12,12,12,12,12
1,161,0,4,4,4,4,4,4,4,4,4,4
1,198,0,9,9,9,9,9,9,9,9,9,9
1,235,0,28,28,28,28,28,28,28,28,28,28
1,176,0,5,5,5,5,5,5,5,5,5,5
1,213,0,4,4,4,4,4,4,4,4,4,4
1,154,0,168,168,168,168,168,168,168,168,168,168
1,191,0,32,32,32,32,32,32,32,32,32,32
1,228,0,16,16,16,16,16,16,16,16,16,16
1,206,0,12,12,12,12,12,12,12,12,12,12
1,147,0,7,7,7,7,7,7,7,7,7,7
1,184,0,52,52,52,52,52,52,52,52,52,52
1,221,0,12,12,12,12,12,12,12,12,12,12
1,162,0,2,2,2,2,2,2,2,2,2,2
1,199,0,3,3,3,3,3,3,3,3,3,3
1,236,0,29,29,29,29,29,29,29,29,29,29
1,177,0,15,15,15,15,15,15,15,15,15,15
1,214,0,7,7,7,7,7,7,7,7,7,7
1,155,0,27,27,27,27,27,27,27,27,27,27
1,192,0,2,2,2,2,2,2,2,2,2,2
1,229,0,118,118,118,118,118,118,118,118,118,118
1,170,0,4,4,4,4,4,4,4,4,4,4
1,207,0,4,4,4,4,4,4,4,4,4,4
1,148,0,12,12,12,12,12,12,12,12,12,12
1,185,0,64,64,64,64,64,64,64,64,64,64
1,222,0,144,144,144,144,144,144,144,144,144,144
1,163,0,4,4,4,4,4,4,4,4,4,4
1,200,0,12,12,12,12,12,12,12,12,12,12
1,237,0,10,10,10,10,10,10,10,10,10,10
1,178,0,10,10,10,10,10,10,10,10,10,10
1,215,0,101,101,101,101,101,101,101,101,101,101
1,156,0,10,10,10,10,10,10,10,10,10,10
1,193,0,2,2,2,2,2,2,2,2,2,2
1,230,0,4,4,4,4,4,4,4,4,4,4
1,171,0,5,5,5,5,5,5,5,5,5,5
1,208,0,56,56,56,56,56,56,56,56,56,56
1,149,0,4,4,4,4,4,4,4,4,4,4
1,186,0,16,16,16,16,16,16,16,16,16,16
1,223,0,20,20,20,20,20,20,20,20,20,20
1,164,0,3,3,3,3,3,3,3,3,3,3
1,201,0,10,10,10,10,10,10,10,10,10,10
1,238,0,27,27,27,27,27,27,27,27,27,27
1,179,0,5,5,5,5,5,5,5,5,5,5
2,26,0,1,1,1,1,1,1,1,1,1,1
2,15,0,16,16,16,16,16,16,16,16,16,16
2,4,0,5,5,5,5,5,5,5,5,5,5
2,41,0,16,16,16,16,16,16,16,16,16,16
2,30,0,5,5,5,5,5,5,5,5,5,5
2,19,0,20,20,20,20,20,20,20,20,20,20
2,8,0,9,9,9,9,9,9,9,9,9,9
2,45,0,20,20,20,20,20,20,20,20,20,20
2,34,0,9,9,9,9,9,9,9,9,9,9
2,23,0,24,24,24,24,24,24,24,24,24,24
2,12,0,13,13,13,13,13,13,13,13,13,13
2,1,0,2,2,2,2,2,2,2,2,2,2
2,38,0,13,13,13,13,13,13,13,13,13,13
2,27,0,2,2,2,2,2,2,2,2,2,2
2,16,0,17,17,17,17,17,17,17,17,17,17
2,5,0,6,6,6,6,6,6,6,6,6,6
2,42,0,17,17,17,17,17,17,17,17,17,17
2,31,0,6,6,6,6,6,6,6,6,6,6
2,20,0,21,21,21,21,21,21,21,21,21,21
2,9,0,10,10,10,10,10,10,10,10,10,10
2,35,0,10,10,10,10,10,10,10,10,10,10
2,24,0,25,25,25,25,25,25,25,25,25,25
2,13,0,14,14,14,14,14,14,14,14,14,14
2,2,0,3,3,3,3,3,3,3,3,3,3
2,39,0,14,14,14,14,14,14,14,14,14,14
2,28,0,3,3,3,3,3,3,3,3,3,3
2,17,0,18,18,18,18,18,18,18,18,18,18
2,6,0,7,7,7,7,7,7,7,7,7,7
2,32,0,7,7,7,7,7,7,7,7,7,7
2,21,0,22,22,22,22,22,22,22,22,22,22
2,10,0,11,11,11,11,11,11,11,11,11,11
2,47,0,22,22,22,22,22,22,22,22,22,22
2,36,0,11,11,11,11,11,11,11,11,11,11
2,25,0,26,26,26,26,26,26,26,26,26,26
2,14,0,15,15,15,15,15,15,15,15,15,15
2,3,0,5,5,5,5,5,5,5,5,5,5
2,40,0,15,15,15,15,15,15,15,15,15,15
2,29,0,6,6,6,6,6,6,6,6,6,6
2,18,0,19,19,19,19,19,19,19,19,19,19
2,7,0,8,8,8,8,8,8,8,8,8,8
2,33,0,8,8,8,8,8,8,8,8,8,8
2,22,0,23,23,23,23,23,23,23,23,23,23
2,11,0,12,12,12,12,12,12,12,12,12,12
