# prereg f55d1dbbe1a609f69301ce8f537282a0372880b51fdec6b51d0f588b9fd96d30 FROZEN v1; arm WC batch+trust-region
epoch	phase	loss	trbind	satbind	w1	w2	w3	w4	w5	w6	w7	w8	b	mcC	mcW	mcA
49	0	0	0	0	100	1029	0	1624	-186	2853	5065	480	3040	1000	1000	1000
50	1	210000000	4	0	-900	84	0	1169	-1186	1853	5065	480	-1960	511	14	471
51	1	0	0	0	-900	84	0	1169	-1186	1853	5065	480	-1960	511	14	471
52	2	10000000	0	0	-1050	83	0	1099	-1285	1961	4815	510	-1960	509	14	469
53	2	10000000	0	0	-1200	82	0	1029	-1384	2069	4565	540	-1960	497	14	458
54	0	1825788016	6	0	-200	1082	0	1571	-384	3069	5565	540	3040	1000	1000	1000
55	0	0	0	0	-200	1082	0	1571	-384	3069	5565	540	3040	1000	1000	1000
56	1	210000000	4	0	-1200	137	0	1116	-1384	2069	5565	540	-1960	511	14	471
57	1	0	0	0	-1200	137	0	1116	-1384	2069	5565	540	-1960	511	14	471
58	2	10000000	0	0	-1350	136	0	1046	-1483	2177	5315	570	-1960	509	14	469
59	2	10000000	0	0	-1500	135	0	976	-1582	2285	5065	600	-1960	498	14	459
60	0	1822264983	6	0	-500	1135	0	1468	-582	3285	6065	600	3040	1000	1000	1000
61	0	0	0	0	-500	1135	0	1468	-582	3285	6065	600	3040	1000	1000	1000
62	1	210000000	4	0	-1500	190	0	1013	-1582	2285	6065	600	-1960	511	14	471
63	1	10634	0	0	-1501	190	0	1013	-1582	2276	6065	600	-1969	511	14	471
64	2	10004432	0	0	-1651	189	0	943	-1682	2378	5815	630	-1974	510	15	470
65	2	10042590	0	0	-1804	188	0	873	-1782	2462	5565	660	-1997	494	17	455
66	0	1825913352	7	0	-804	1188	0	1873	-782	3462	6565	660	3003	1000	1000	1000
67	0	0	0	0	-804	1188	0	1873	-782	3462	6565	660	3003	1000	1000	1000
68	1	210000000	4	0	-1804	243	0	1418	-1782	2462	6565	660	-1997	511	17	471
69	1	107883	0	0	-1810	243	0	1418	-1785	2412	6565	660	-2047	511	14	471
70	2	10006170	0	0	-1961	242	0	1348	-1885	2513	6315	690	-2053	509	15	469
71	2	10044904	0	0	-2114	241	0	1278	-1985	2598	6065	720	-2076	501	17	462
72	0	1824651323	6	0	-1114	1241	0	1455	-985	3598	7065	720	2924	1000	1000	1000
73	0	0	0	0	-1114	1241	0	1455	-985	3598	7065	720	2924	1000	1000	1000
74	1	210000000	4	0	-2114	296	0	1000	-1985	2598	7065	720	-2076	511	17	471
75	1	112966	0	0	-2120	296	0	1000	-1988	2547	7065	720	-2127	511	14	471
76	2	10007066	0	0	-2271	295	0	930	-2088	2648	6815	750	-2134	508	15	468
77	2	10045462	0	0	-2424	294	0	860	-2188	2733	6565	780	-2156	477	16	440
78	0	1852678527	7	0	-1424	1294	0	1860	-1188	3733	7565	780	2844	1000	1000	1000
79	0	0	0	0	-1424	1294	0	1860	-1188	3733	7565	780	2844	1000	1000	1000
80	1	210000000	4	0	-2424	349	0	1405	-2188	2733	7565	780	-2156	511	17	471
81	1	114966	0	0	-2430	349	0	1405	-2191	2682	7565	780	-2207	511	14	471
82	2	10008226	0	0	-2581	348	0	1335	-2291	2782	7315	810	-2214	507	15	467
83	2	10046732	0	0	-2734	347	0	1265	-2391	2868	7065	840	-2236	494	16	455
84	0	1838137650	6	0	-1734	1347	0	2021	-1391	3868	8065	840	2764	1000	1000	1000
85	0	0	0	0	-1734	1347	0	2021	-1391	3868	8065	840	2764	1000	1000	1000
86	1	210000000	4	0	-2734	402	0	1566	-2391	2868	8065	840	-2236	511	16	471
87	1	115821	0	0	-2740	402	0	1566	-2394	2817	8065	840	-2287	511	14	471
88	2	10009266	0	0	-2891	401	0	1496	-2494	2917	7815	870	-2294	506	15	467
89	2	10048668	0	0	-3044	400	0	1426	-2594	3003	7565	900	-2315	494	16	455
90	0	1842227443	6	0	-2044	1400	0	2077	-1594	4003	8565	900	2685	1000	1000	1000
91	0	0	0	0	-2044	1400	0	2077	-1594	4003	8565	900	2685	1000	1000	1000
92	1	210000000	4	0	-3044	455	0	1622	-2594	3003	8565	900	-2315	511	16	471
93	1	120262	0	0	-3050	455	0	1622	-2597	2952	8565	900	-2366	511	14	471
94	2	10010706	0	0	-3201	454	0	1552	-2697	3051	8315	930	-2374	506	15	466
95	2	10049640	0	0	-3354	453	0	1482	-2797	3137	8065	960	-2395	491	16	453
96	0	1849724950	6	0	-2354	1453	0	2307	-1797	4137	9065	960	2605	1000	1000	1000
97	0	0	0	0	-2354	1453	0	2307	-1797	4137	9065	960	2605	1000	1000	1000
98	1	210000000	4	0	-3354	508	0	1852	-2797	3137	9065	960	-2395	511	16	471
99	1	119946	0	0	-3360	508	0	1852	-2800	3087	9065	960	-2445	511	14	471
100	2	10012560	0	0	-3511	507	0	1782	-2900	3186	8815	990	-2454	505	15	465
101	2	10052450	0	0	-3664	506	0	1712	-3000	3272	8565	1020	-2475	493	16	454
102	0	1852886337	6	0	-2664	1506	0	2294	-2000	4272	9565	1020	2525	1000	1000	1000
103	0	0	0	0	-2664	1506	0	2294	-2000	4272	9565	1020	2525	1000	1000	1000
104	1	210000000	4	0	-3664	561	0	1839	-3000	3272	9565	1020	-2475	511	16	471
105	1	122000	0	0	-3670	561	0	1839	-3003	3222	9565	1020	-2525	511	14	471
106	2	10013786	0	0	-3821	560	0	1769	-3103	3320	9315	1050	-2534	504	15	464
107	2	10053882	0	0	-3974	559	0	1699	-3203	3406	9065	1080	-2556	489	16	451
108	0	1862017368	6	0	-2974	1559	0	2605	-2203	4406	10065	1080	2444	1000	1000	1000
109	0	0	0	0	-2974	1559	0	2605	-2203	4406	10065	1080	2444	1000	1000	1000
110	1	210000000	4	0	-3974	614	0	2150	-3203	3406	10065	1080	-2556	511	16	471
111	1	120345	0	0	-3980	614	0	2150	-3206	3357	10065	1080	-2605	510	14	470
112	2	10015476	0	0	-4131	613	0	2080	-3306	3455	9815	1110	-2615	503	15	464
113	2	10055952	0	0	-4284	612	0	2010	-3406	3540	9565	1140	-2637	493	16	454
114	0	1858139620	6	0	-3284	1612	0	2528	-2406	4540	10565	1140	2363	1000	1000	1000
115	0	0	0	0	-3284	1612	0	2528	-2406	4540	10565	1140	2363	1000	1000	1000
116	1	210000000	4	0	-4284	667	0	2073	-3406	3540	10565	1140	-2637	510	16	470
117	1	119494	0	0	-4290	667	0	2073	-3408	3492	10565	1140	-2685	509	14	469
118	2	10016900	0	0	-4441	666	0	2003	-3508	3589	10315	1170	-2695	502	15	463
119	2	10057186	0	0	-4594	665	0	1933	-3608	3674	10065	1200	-2717	489	16	451
120	0	1862756702	6	0	-3594	1665	0	2867	-2608	4674	11065	1200	2283	1000	1000	1000
121	0	0	0	0	-3594	1665	0	2867	-2608	4674	11065	1200	2283	1000	1000	1000
122	1	210000000	4	0	-4594	720	0	2412	-3608	3674	11065	1200	-2717	510	16	470
123	1	120175	0	0	-4600	720	0	2412	-3610	3627	11065	1200	-2764	509	14	469
124	2	10019210	0	0	-4751	719	0	2342	-3710	3724	10815	1230	-2775	502	15	462
125	2	10060296	0	0	-4904	718	0	2272	-3810	3809	10565	1260	-2798	493	16	454
126	0	1858179048	6	0	-3904	1718	0	2778	-2810	4809	11565	1260	2202	1000	1000	1000
127	0	0	0	0	-3904	1718	0	2778	-2810	4809	11565	1260	2202	1000	1000	1000
128	1	210000000	4	0	-4904	773	0	2323	-3810	3809	11565	1260	-2798	509	16	469
129	1	121289	0	0	-4910	773	0	2323	-3812	3763	11565	1260	-2844	508	14	468
130	2	10021200	0	0	-5061	772	0	2253	-3912	3859	11315	1290	-2855	501	15	461
131	2	10062856	0	0	-5214	771	0	2183	-4012	3943	11065	1320	-2878	489	16	451
132	0	1862961910	6	0	-4214	1771	0	3101	-3012	4943	12065	1320	2122	999	1000	999
133	0	274420	0	0	-4125	1774	0	3101	-2896	5059	12065	1320	2238	1000	1000	1000
134	1	210000000	4	0	-5125	829	0	2646	-3896	4059	12065	1320	-2762	511	26	472
135	1	1295667	0	0	-5149	827	0	2646	-3910	3869	12065	1320	-2952	509	14	469
136	2	10007938	0	0	-5299	826	0	2576	-4010	3971	11815	1350	-2958	502	15	463
137	2	10039440	0	0	-5451	825	0	2506	-4110	4061	11565	1380	-2975	496	16	457
138	0	1856498024	6	0	-4451	1825	0	2687	-3110	5061	12565	1380	2025	997	1000	997
139	0	3140868	0	0	-4072	1838	0	2687	-2605	5566	12565	1380	2530	1000	1000	1000
140	1	210000000	4	0	-5072	893	0	2232	-3605	4566	12565	1380	-2470	513	261	493
141	1	21060904	1	0	-5318	870	0	2213	-3787	3566	12565	1380	-3897	501	14	462
142	2	10000000	0	0	-5468	869	0	2143	-3886	3674	12315	1410	-3897	491	14	452
143	2	10000000	0	0	-5618	868	0	2073	-3985	3782	12065	1440	-3897	445	14	410
144	0	1955545633	7	0	-4618	1868	0	3073	-2985	4782	13065	1440	1103	866	1000	877
145	0	210816468	4	0	-3618	2583	0	3073	-1985	5782	13065	1440	6103	1000	1000	1000
146	1	210000000	4	0	-4618	1638	0	2618	-2985	4782	13065	1440	1103	864	1000	875
147	1	210000000	4	0	-5618	693	0	2163	-3985	3782	13065	1440	-3897	502	14	462
148	2	10000000	0	0	-5768	692	0	2093	-4084	3890	12815	1470	-3897	491	14	452
149	2	10000000	0	0	-5918	691	0	2023	-4183	3998	12565	1500	-3897	445	14	410
150	0	1956422669	7	0	-4918	1691	0	3023	-3183	4998	13565	1500	1103	819	1000	833
151	0	366567804	4	0	-3918	2661	0	3023	-2183	5998	13565	1500	6103	1000	1000	1000
152	1	210000000	4	0	-4918	1716	0	2568	-3183	4998	13565	1500	1103	819	1000	833
153	1	210000000	4	0	-5918	771	0	2113	-4183	3998	13565	1500	-3897	503	14	463
154	2	10000000	0	0	-6068	770	0	2043	-4282	4106	13315	1530	-3897	491	14	453
155	2	10000000	0	0	-6218	769	0	1973	-4381	4214	13065	1560	-3897	449	14	414
156	0	1950202922	7	0	-5218	1769	0	2973	-3381	5214	14065	1560	1103	773	1000	792
157	0	561717176	5	0	-4218	2769	0	2973	-2381	6214	14065	1560	6103	1000	1000	1000
158	1	210000000	4	0	-5218	1824	0	2518	-3381	5214	14065	1560	1103	774	1000	792
159	1	210000000	4	0	-6218	879	0	2063	-4381	4214	14065	1560	-3897	503	14	464
160	2	10000000	0	0	-6368	878	0	1993	-4480	4322	13815	1590	-3897	492	14	453
161	2	10000000	0	0	-6518	877	0	1923	-4579	4430	13565	1620	-3897	451	14	416
162	0	1945029760	7	0	-5518	1877	0	2923	-3579	5430	14565	1620	1103	729	1000	751
163	0	798842128	5	0	-4518	2877	0	2923	-2579	6430	14565	1620	6103	1000	1000	1000
164	1	210000000	4	0	-5518	1932	0	2468	-3579	5430	14565	1620	1103	729	1000	751
165	1	210000000	4	0	-6518	987	0	2013	-4579	4430	14565	1620	-3897	504	14	464
166	2	10000000	0	0	-6668	986	0	1943	-4678	4538	14315	1650	-3897	493	14	454
167	2	10000000	0	0	-6818	985	0	1873	-4777	4646	14065	1680	-3897	453	14	417
168	0	1941451726	7	0	-5818	1985	0	2873	-3777	5646	15065	1680	1103	684	1000	710
169	0	1082677996	5	0	-4818	2985	0	2873	-2777	6646	15065	1680	6103	1000	1000	1000
170	1	210000000	4	0	-5818	2040	0	2418	-3777	5646	15065	1680	1103	685	1000	710
171	1	210000000	4	0	-6818	1095	0	1963	-4777	4646	15065	1680	-3897	504	14	465
172	2	10000000	0	0	-6968	1094	0	1893	-4876	4754	14815	1710	-3897	495	14	456
173	2	10000000	0	0	-7118	1093	0	1823	-4975	4862	14565	1740	-3897	454	14	418
174	0	1938691329	7	0	-6118	2093	0	2823	-3975	5862	15565	1740	1103	643	1000	672
175	0	1382215128	5	0	-5118	3093	0	2823	-2975	6862	15565	1740	6103	1000	1000	1000
176	1	210000000	4	0	-6118	2148	0	2368	-3975	5862	15565	1740	1103	643	1000	672
177	1	210000000	4	0	-7118	1203	0	1913	-4975	4862	15565	1740	-3897	505	14	465
178	2	10000000	0	0	-7268	1202	0	1843	-5074	4970	15315	1770	-3897	496	14	457
179	2	10000000	0	0	-7418	1201	0	1773	-5173	5078	15065	1800	-3897	454	14	418
180	0	1936101170	7	0	-6418	2201	0	2773	-4173	6078	16065	1800	1103	643	1000	671
181	0	1383163000	5	0	-5418	3201	0	2773	-3173	7078	16065	1800	6103	1000	1000	1000
182	1	210000000	4	0	-6418	2256	0	2318	-4173	6078	16065	1800	1103	643	1000	671
183	1	210000000	4	0	-7418	1311	0	1863	-5173	5078	16065	1800	-3897	505	14	466
184	2	10000000	0	0	-7568	1310	0	1793	-5272	5186	15815	1830	-3897	497	14	458
185	2	10004232	0	0	-7718	1309	0	1723	-5372	5289	15565	1860	-3901	454	15	418
186	0	1935587651	7	0	-6718	2309	0	2723	-4372	6289	16565	1860	1099	642	1000	671
187	0	1384449356	5	0	-5718	3309	0	2723	-3372	7289	16565	1860	6099	1000	1000	1000
188	1	210000000	4	0	-6718	2364	0	2268	-4372	6289	16565	1860	1099	642	1000	671
189	1	210000000	4	0	-7718	1419	0	1813	-5372	5289	16565	1860	-3901	506	15	466
190	2	10029768	0	0	-7869	1418	0	1743	-5472	5385	16315	1890	-3913	497	15	458
191	2	10071572	0	0	-8022	1417	0	1673	-5572	5469	16065	1920	-3936	449	16	414
192	0	1949453176	7	0	-7022	2417	0	2673	-4572	6469	17065	1920	1064	642	1000	671
193	0	1386375712	5	0	-6022	3417	0	2673	-3572	7469	17065	1920	6064	1000	1000	1000
194	1	210000000	4	0	-7022	2472	0	2218	-4572	6469	17065	1920	1064	642	1000	671
195	1	210000000	4	0	-8022	1527	0	1763	-5572	5469	17065	1920	-3936	506	16	466
196	2	10111248	0	0	-8176	1526	0	1693	-5672	5546	16815	1950	-3966	495	16	456
197	2	10138962	0	0	-8331	1524	0	1623	-5773	5619	16565	1980	-4000	440	17	405
198	0	1981550268	7	0	-7331	2524	0	2623	-4773	6619	17565	1980	1000	641	1000	670
199	0	1388792573	5	0	-6331	3524	0	2623	-3773	7619	17565	1980	6000	1000	1000	1000
200	1	210000000	4	0	-7331	2579	0	2168	-4773	6619	17565	1980	1000	641	1000	670
201	1	210000000	4	0	-8331	1634	0	1713	-5773	5619	17565	1980	-4000	505	17	466
202	2	10159818	0	0	-8486	1632	0	1643	-5874	5689	17315	2010	-4037	489	17	450
203	2	10169546	0	0	-8641	1630	0	1573	-5975	5758	17065	2040	-4075	429	17	395
204	0	2026595079	7	0	-7641	2630	0	2573	-4975	6758	18065	2040	925	640	998	669
205	0	1391580413	5	0	-6641	3630	0	2573	-3975	7758	18065	2040	5925	1000	1000	1000
206	1	210000000	4	0	-7641	2685	0	2118	-4975	6758	18065	2040	925	640	998	669
207	1	208408890	4	0	-8641	1750	0	1663	-5975	5758	18065	2040	-4075	505	17	465
208	2	10179570	0	0	-8797	1748	0	1593	-6076	5826	17815	2070	-4115	481	17	444
209	2	10181730	0	0	-8953	1746	0	1523	-6177	5894	17565	2100	-4155	417	17	384
210	0	2082797480	7	0	-7953	2746	0	2523	-5177	6894	18565	2100	845	638	995	667
211	0	1395764364	5	0	-6953	3746	0	2523	-4177	7894	18565	2100	5845	1000	1000	1000
212	1	210000000	4	0	-7953	2801	0	2068	-5177	6894	18565	2100	845	638	995	667
213	1	204900000	4	0	-8953	1893	0	1613	-6177	5894	18565	2100	-4155	504	17	464
214	2	10188264	0	0	-9109	1891	0	1543	-6278	5961	18315	2130	-4196	472	17	435
215	2	10186674	0	0	-9265	1889	0	1473	-6379	6028	18065	2160	-4236	405	17	374
216	0	2144471434	7	0	-8265	2889	0	2473	-5379	7028	19065	2160	764	635	991	664
217	0	1400864289	5	0	-7265	3889	0	2473	-4379	8028	19065	2160	5764	1000	1000	1000
218	1	210000000	4	0	-8265	2944	0	2018	-5379	7028	19065	2160	764	635	991	664
219	1	201491610	4	0	-9265	2066	0	1563	-6379	6028	19065	2160	-4236	502	17	463
220	2	10192178	0	0	-9421	2064	0	1493	-6480	6095	18815	2190	-4277	461	17	425
221	2	10191122	0	0	-9577	2062	0	1423	-6581	6162	18565	2220	-4318	393	17	363
222	0	2202254371	7	0	-8577	3062	0	2423	-5581	7162	19565	2220	682	628	982	657
223	0	1410949508	5	0	-7577	4062	0	2423	-4581	8162	19565	2220	5682	1000	1000	1000
224	1	210000000	4	0	-8577	3117	0	1968	-5581	7162	19565	2220	682	629	983	657
225	1	193195680	4	0	-9577	2312	0	1513	-6581	6162	19565	2220	-4318	501	17	461
226	2	10196160	0	0	-9733	2310	0	1443	-6682	6228	19315	2250	-4359	451	17	416
227	2	10193460	0	0	-9889	2308	0	1373	-6783	6295	19065	2280	-4400	384	17	354
228	0	2244744165	7	0	-8889	3308	0	2373	-5783	7295	20065	2280	600	621	972	649
229	0	1427372636	5	0	-7889	4308	0	2373	-4783	8295	20065	2280	5600	1000	1000	1000
230	1	210000000	4	0	-8889	3363	0	1918	-5783	7295	20065	2280	600	621	973	649
231	1	184541550	4	0	-9889	2633	0	1463	-6783	6295	20065	2280	-4400	497	17	458
232	2	10200736	0	0	-10045	2631	0	1393	-6884	6361	19815	2310	-4442	442	17	407
233	2	10196360	0	0	-10201	2629	0	1323	-6985	6427	19565	2340	-4483	377	17	348
234	0	2273782469	7	0	-9201	3629	0	2323	-5985	7427	20565	2340	517	613	964	641
235	0	1453048760	5	0	-8201	4629	0	2323	-4985	8427	20565	2340	5517	1000	1000	1000
236	1	210000000	4	0	-9201	3684	0	1868	-5985	7427	20565	2340	517	613	964	641
237	1	178819100	4	0	-10201	3008	0	1413	-6985	6427	20565	2340	-4483	493	17	454
238	2	10203162	0	0	-10357	3006	0	1343	-7086	6493	20315	2370	-4525	433	17	399
239	2	10198794	0	0	-10513	3004	0	1273	-7187	6559	20065	2400	-4566	373	17	344
240	0	2291864655	7	0	-9513	4004	0	2273	-6187	7559	21065	2400	434	604	957	633
241	0	1486706056	5	0	-8513	5004	0	2273	-5187	8559	21065	2400	5434	1000	1000	1000
242	1	210000000	4	0	-9513	4059	0	1818	-6187	7559	21065	2400	434	604	958	633
243	1	175112180	4	0	-10513	3418	0	1363	-7187	6559	21065	2400	-4566	487	17	448
244	2	10206154	0	0	-10669	3416	0	1293	-7288	6625	20815	2430	-4608	424	17	391
245	2	10201778	0	0	-10825	3414	0	1223	-7389	6691	20565	2460	-4649	369	17	341
246	0	2304697065	7	0	-9825	4414	0	2223	-6389	7691	21565	2460	351	597	951	625
247	0	1525102374	5	0	-8825	5414	0	2223	-5389	8691	21565	2460	5351	1000	1000	1000
248	1	210000000	4	0	-9825	4469	0	1768	-6389	7691	21565	2460	351	597	951	625
249	1	172980510	4	0	-10825	3858	0	1313	-7389	6691	21565	2460	-4649	479	17	442
250	2	10210376	0	0	-10981	3856	0	1243	-7490	6756	21315	2490	-4691	416	17	384
251	2	10204308	0	0	-11137	3854	0	1173	-7591	6822	21065	2520	-4732	366	17	338
252	0	2315429771	7	0	-10137	4854	0	2173	-6591	7822	22065	2520	268	592	945	620
253	0	1548058780	5	0	-9137	5854	0	2173	-5591	8822	22065	2520	5268	1000	1000	1000
254	1	210000000	4	0	-10137	4909	0	1718	-6591	7822	22065	2520	268	592	945	621
255	1	172125610	4	0	-11137	4316	0	1263	-7591	6822	22065	2520	-4732	472	17	435
256	2	10214666	0	0	-11293	4314	0	1193	-7692	6887	21815	2550	-4774	410	17	378
257	2	10208570	0	0	-11449	4312	0	1123	-7793	6953	21565	2580	-4816	363	17	335
258	0	2326351005	7	0	-10449	5312	0	2123	-6793	7953	22565	2580	184	589	941	617
259	0	1563461792	5	0	-9449	6312	0	2123	-5793	8953	22565	2580	5184	1000	1000	1000
260	1	210000000	4	0	-10449	5367	0	1668	-6793	7953	22565	2580	184	589	941	617
261	1	171814760	4	0	-11449	4784	0	1213	-7793	6953	22565	2580	-4816	464	17	428
262	2	10216082	0	0	-11605	4782	0	1143	-7894	7018	22315	2610	-4858	405	17	374
263	2	10209524	0	0	-11761	4780	0	1073	-7995	7084	22065	2640	-4900	360	17	332
264	0	2337988095	7	0	-10761	5780	0	2073	-6995	8084	23065	2640	100	586	937	615
265	0	1575299143	5	0	-9761	6780	0	2073	-5995	9084	23065	2640	5100	999	1000	999
266	1	210000000	4	0	-10761	5835	0	1618	-6995	8084	23065	2640	100	586	937	615
267	1	170531705	4	0	-11761	5261	0	1166	-7995	7084	23065	2640	-4900	456	17	420
268	2	10217530	0	0	-11917	5259	0	1096	-8096	7149	22815	2670	-4942	400	17	369
269	2	10212210	0	0	-12073	5257	0	1026	-8197	7215	22565	2700	-4984	357	17	330
270	0	2349915514	7	0	-11073	6257	0	2026	-7197	8215	23565	2700	16	584	931	612
271	0	1584891771	5	0	-10073	7257	0	2026	-6197	9215	23565	2700	5016	997	1000	997
272	1	210000000	4	0	-11073	6312	0	1571	-7197	8215	23565	2700	16	584	930	612
273	1	166780295	4	0	-12073	5754	0	1123	-8197	7215	23565	2700	-4984	448	17	413
274	2	10220244	0	0	-12229	5752	0	1053	-8298	7280	23315	2730	-5027	395	17	365
275	2	10212042	0	0	-12385	5750	0	983	-8399	7346	23065	2760	-5068	355	17	327
276	0	2361993802	7	0	-11385	6750	0	1983	-7399	8346	24065	2760	-68	582	922	609
277	0	1590073040	5	0	-10385	7750	0	1983	-6399	9346	24065	2760	4932	994	1000	994
278	1	210000000	4	0	-11385	6805	0	1528	-7399	8346	24065	2760	-68	582	922	609
279	1	161757535	4	0	-12385	6264	0	1084	-8399	7346	24065	2760	-5068	442	17	407
280	2	10223010	0	0	-12541	6262	0	1014	-8500	7411	23815	2790	-5111	391	17	361
281	2	10215266	0	0	-12697	6260	0	944	-8601	7477	23565	2820	-5153	352	16	325
282	0	2374218150	7	0	-11697	7260	0	1944	-7601	8477	24565	2820	-153	580	914	607
283	0	1596173259	5	0	-10697	8260	0	1944	-6601	9477	24565	2820	4847	991	1000	992
284	1	210000000	4	0	-11697	7315	0	1489	-7601	8477	24565	2820	-153	580	914	607
285	1	156325277	4	0	-12697	6791	0	1049	-8601	7477	24565	2820	-5153	436	17	402
286	2	10224570	0	0	-12853	6789	0	979	-8702	7542	24315	2850	-5196	388	17	358
287	2	10217642	0	0	-13009	6787	0	909	-8803	7608	24065	2880	-5238	350	16	323
288	0	2386074706	7	0	-12009	7787	0	1909	-7803	8608	25065	2880	-238	577	908	604
289	0	1600851541	5	0	-11009	8787	0	1909	-6803	9608	25065	2880	4762	989	1000	990
290	1	210000000	4	0	-12009	7842	0	1454	-7803	8608	25065	2880	-238	577	907	604
291	1	151364926	4	0	-13009	7333	0	1021	-8803	7608	25065	2880	-5238	431	17	398
292	2	10226970	0	0	-13165	7331	0	951	-8904	7673	24815	2910	-5281	385	16	355
293	2	10219266	0	0	-13321	7329	0	881	-9005	7739	24565	2940	-5323	348	16	321
294	0	2397472673	7	0	-12321	8329	0	1881	-8005	8739	25565	2940	-323	573	901	600
295	0	1607018529	5	0	-11321	9329	0	1881	-7005	9739	25565	2940	4677	989	1000	990
296	1	210000000	4	0	-12321	8384	0	1426	-8005	8739	25565	2940	-323	573	900	600
297	1	146710599	4	0	-13321	7889	0	1006	-9005	7739	25565	2940	-5323	428	17	395
298	2	10229888	0	0	-13477	7887	0	936	-9106	7804	25315	2970	-5366	383	16	353
