checkpoint,arm,name,active_cohort,changed_coefficients,coefficient_l1_change,largest_coefficient_change,accepted_coordinate_updates,summed_initial_head_loss,summed_final_head_loss
8,3,real_history_plus_replay,D,104,10491,2523,318,2123048427,2092525775
9,0,current_plus_squared,A,112,31844,7998,393,2456853646,2245892492
9,1,real_history,A,111,14883,1170,397,2429210888,2263488936
9,2,zero_history,A,58,9154,1057,206,2412817508,2295391328
9,3,real_history_plus_replay,A,112,8094,1311,355,2195717295,2169209914
10,0,current_plus_squared,B,106,32047,8796,379,2097270656,1955666964
10,1,real_history,B,114,14253,1957,382,2107860770,1988138142
10,2,zero_history,B,57,9097,1707,190,2079013136,2008137194
10,3,real_history_plus_replay,B,108,7015,886,355,2122335581,2089129428
11,0,current_plus_squared,C,110,43843,16153,362,2140742572,1996143152
11,1,real_history,C,114,23337,3618,366,2153081334,1998656576
11,2,zero_history,C,58,9148,2411,196,2142623302,2040137974
11,3,real_history_plus_replay,C,107,8925,1894,345,2194489079,2159738293
12,0,current_plus_squared,D,106,39647,16570,345,2066018926,1989264014
12,1,real_history,D,111,15811,3826,371,2097241442,2005432896
12,2,zero_history,D,56,6666,885,180,2103170736,2036020358
12,3,real_history_plus_replay,D,110,9290,2427,347,2133583667,2098407900
13,0,current_plus_squared,A,112,34170,8153,402,2457213126,2244347810
13,1,real_history,A,113,14879,1184,395,2433441234,2263592902
13,2,zero_history,A,58,9224,1043,209,2412392246,2295401806
13,3,real_history_plus_replay,A,109,10924,1633,352,2156597214,2114474482
14,0,current_plus_squared,B,110,32267,8527,399,2093468934,1951778914
14,1,real_history,B,113,14194,1841,387,2109427236,1986326918
14,2,zero_history,B,55,9039,1735,188,2078399410,2007426966
14,3,real_history_plus_replay,B,109,11319,1813,372,2111339088,2060146276
15,0,current_plus_squared,C,112,43485,14590,368,2137266790,1993008484
15,1,real_history,C,112,22687,3522,361,2146535794,1995758948
15,2,zero_history,C,58,8991,2445,198,2139424910,2037818010
15,3,real_history_plus_replay,C,108,6752,1089,333,2143497400,2110795858
16,0,current_plus_squared,D,110,40197,16057,343,2063148020,1985630754
16,1,real_history,D,113,16097,3952,372,2091724992,2003464618
16,2,zero_history,D,57,6594,940,183,2101080034,2035665242
16,3,real_history_plus_replay,D,108,6879,912,347,2149783632,2126628199
17,0,current_plus_squared,A,110,33942,8437,400,2459910292,2243531276
17,1,real_history,A,114,15207,1141,400,2433623742,2262362474
17,2,zero_history,A,58,9231,1041,208,2412113816,2294930916
17,3,real_history_plus_replay,A,106,11652,1902,351,2206343396,2170085727
18,0,current_plus_squared,B,113,31826,8171,400,2088886110,1948143130
18,1,real_history,B,115,14122,1839,390,2108627294,1987196512
18,2,zero_history,B,58,9231,1701,197,2078728878,2007080014
18,3,real_history_plus_replay,B,106,11352,1772,352,2102248383,2056231041
19,0,current_plus_squared,C,111,45124,16234,358,2133419450,1991623862
19,1,real_history,C,112,23253,3636,365,2146686572,1994826502
19,2,zero_history,C,57,9069,2437,180,2136644978,2036556540
19,3,real_history_plus_replay,C,109,7722,1124,335,2122468755,2082547228
20,0,current_plus_squared,D,111,40117,15798,359,2057968410,1983005038
20,1,real_history,D,112,15870,3868,369,2090029028,2002524110
20,2,zero_history,D,55,6460,936,181,2099318076,2034710612
20,3,real_history_plus_replay,D,106,12395,2349,313,2152146152,2119364364
21,0,current_plus_squared,A,111,33565,8055,389,2456237482,2241872896
21,1,real_history,A,114,14936,1122,406,2429019142,2260741754
21,2,zero_history,A,59,9099,1025,210,2411636166,2295668590
21,3,real_history_plus_replay,A,106,7648,1059,347,2233177254,2198845104
22,0,current_plus_squared,B,112,31792,8309,401,2086622446,1946147466
22,1,real_history,B,111,14069,1831,387,2108498660,1987306240
22,2,zero_history,B,58,9132,1705,204,2077834018,2005657880
22,3,real_history_plus_replay,B,108,9134,1483,343,2102115791,2071698370
23,0,current_plus_squared,C,109,45198,16046,367,2132399556,1990628658
23,1,real_history,C,112,22618,3433,360,2144532546,1994281272
23,2,zero_history,C,58,8785,2374,191,2134616644,2035297628
23,3,real_history_plus_replay,C,110,10274,1381,350,2130554851,2088887844
24,0,current_plus_squared,D,109,41221,16350,350,2057059080,1980462846
24,1,real_history,D,110,15802,3920,357,2089819192,2002675342
24,2,zero_history,D,59,6484,879,190,2099317858,2034217444
24,3,real_history_plus_replay,D,110,12331,2475,329,2202456275,2169715550
25,0,current_plus_squared,A,112,34346,8651,397,2458626410,2241323306
25,1,real_history,A,113,14885,1190,401,2428755616,2258254500
25,2,zero_history,A,59,9179,1022,214,2412183716,2295980126
25,3,real_history_plus_replay,A,100,7050,1374,309,2255550845,2231385316
26,0,current_plus_squared,B,110,31790,8389,393,2082020190,1943382874
26,1,real_history,B,110,14047,1775,378,2107176024,1986026244
26,2,zero_history,B,57,9162,1685,196,2077475642,2005495482
26,3,real_history_plus_replay,B,103,4277,430,314,2049766166,2026421042
27,0,current_plus_squared,C,112,45920,16258,373,2133031668,1990290970
27,1,real_history,C,111,23207,3639,364,2145184078,1994168746
27,2,zero_history,C,56,8930,2397,182,2132802194,2034202026
27,3,real_history_plus_replay,C,109,13059,1941,339,2081726794,2030930247
28,0,current_plus_squared,D,107,41364,15844,346,2053849382,1979284464
28,1,real_history,D,113,16029,3901,367,2088915862,2002064782
28,2,zero_history,D,58,6566,922,183,2098268068,2034378016
28,3,real_history_plus_replay,D,107,9208,2082,320,2173721518,2144477145
29,0,current_plus_squared,A,111,33749,9308,393,2453627794,2240679626
29,1,real_history,A,115,14855,1053,398,2427978830,2258132168
29,2,zero_history,A,59,9143,1014,212,2410755910,2295755182
29,3,real_history_plus_replay,A,111,6909,1168,320,2255793144,2239834452
30,0,current_plus_squared,B,111,32010,8610,393,2081090008,1942191046
30,1,real_history,B,111,14037,1690,387,2106836508,1985307946
30,2,zero_history,B,57,9059,1696,197,2076447818,2004667060
30,3,real_history_plus_replay,B,107,4166,311,339,2014990542,1988985111
31,0,current_plus_squared,C,112,46443,16536,356,2131250608,1990815926
31,1,real_history,C,113,22812,3560,367,2142030504,1993612376
31,2,zero_history,C,57,8735,2323,186,2130713164,2033758218
31,3,real_history_plus_replay,C,111,14855,1921,364,2082037221,2015406112
32,0,current_plus_squared,D,110,42472,16616,355,2052087980,1976672398
32,1,real_history,D,112,16076,3910,368,2089598762,2002187112
32,2,zero_history,D,56,6542,914,179,2097041744,2034141204
32,3,real_history_plus_replay,D,108,7855,1155,328,2118394291,2090672124
