checkpoint,arm,name,training_record_presentations,anchored_cohorts,reachable,known,no_unique,union,union_lost,union_rescued,hybrid,hybrid_lost,hybrid_rescued,anchor_lost,anchor_gained,t0success,t0unknown,t0wrong
8,3,real_history_plus_replay,8640,4,2072,1610,462,2093,28,7,2070,7,9,9,12,1380,656,124
9,0,current_plus_squared,9720,4,2052,1599,453,2093,48,7,2070,30,12,25,13,1348,554,258
9,1,real_history,9720,4,2068,1604,464,2093,27,2,2070,10,8,14,12,1382,643,135
9,2,zero_history,9720,4,2062,1603,459,2093,37,6,2070,18,10,13,9,1364,617,179
9,3,real_history_plus_replay,9720,4,2070,1614,456,2093,35,12,2070,15,15,6,7,1371,633,156
10,0,current_plus_squared,10800,4,2058,1598,460,2093,40,5,2070,21,9,18,12,1368,608,184
10,1,real_history,10800,4,2072,1611,461,2093,31,10,2070,11,13,11,13,1383,663,114
10,2,zero_history,10800,4,2070,1607,463,2093,30,7,2070,11,11,8,12,1381,631,148
10,3,real_history_plus_replay,10800,4,2073,1611,462,2093,29,9,2070,7,10,7,11,1383,654,123
11,0,current_plus_squared,11880,4,2066,1607,459,2093,36,9,2070,17,13,15,17,1391,605,164
11,1,real_history,11880,4,2078,1621,457,2093,38,23,2070,18,26,24,32,1390,557,213
11,2,zero_history,11880,4,2071,1606,465,2093,31,9,2070,11,12,15,20,1393,634,133
11,3,real_history_plus_replay,11880,4,2073,1611,462,2093,28,8,2070,7,10,7,11,1384,666,110
12,0,current_plus_squared,12960,4,2072,1615,457,2093,39,18,2070,19,21,19,27,1392,601,167
12,1,real_history,12960,4,2087,1631,456,2093,33,27,2070,14,31,15,32,1385,579,196
12,2,zero_history,12960,4,2070,1607,463,2093,27,4,2070,7,7,12,16,1384,660,116
12,3,real_history_plus_replay,12960,4,2076,1613,463,2093,27,10,2070,6,12,8,15,1380,645,135
13,0,current_plus_squared,14040,4,2052,1598,454,2093,47,6,2070,29,11,25,13,1341,529,290
13,1,real_history,14040,4,2067,1605,462,2093,28,2,2070,11,8,16,13,1381,641,138
13,2,zero_history,14040,4,2062,1603,459,2093,36,5,2070,18,10,14,10,1352,598,210
13,3,real_history_plus_replay,14040,4,2075,1620,455,2093,37,19,2070,18,23,10,16,1372,621,167
14,0,current_plus_squared,15120,4,2055,1596,459,2093,42,4,2070,23,8,20,11,1364,585,211
14,1,real_history,15120,4,2070,1609,461,2093,32,9,2070,12,12,11,11,1381,660,119
14,2,zero_history,15120,4,2069,1607,462,2093,31,7,2070,12,11,8,11,1378,625,157
14,3,real_history_plus_replay,15120,4,2072,1612,460,2093,31,10,2070,9,11,10,13,1381,640,139
15,0,current_plus_squared,16200,4,2069,1610,459,2093,35,11,2070,16,15,14,19,1378,588,194
15,1,real_history,16200,4,2080,1624,456,2093,38,25,2070,19,29,24,34,1384,549,227
15,2,zero_history,16200,4,2068,1606,462,2093,34,9,2070,14,12,17,19,1390,626,144
15,3,real_history_plus_replay,16200,4,2077,1615,462,2093,28,12,2070,7,14,6,14,1379,658,123
16,0,current_plus_squared,17280,4,2073,1616,457,2093,39,19,2070,20,23,19,28,1382,584,194
16,1,real_history,17280,4,2090,1635,455,2093,34,31,2070,15,35,16,36,1384,565,211
16,2,zero_history,17280,4,2070,1605,465,2093,26,3,2070,6,6,13,17,1386,654,120
16,3,real_history_plus_replay,17280,4,2077,1615,462,2093,28,12,2070,7,14,8,16,1379,657,124
17,0,current_plus_squared,18360,4,2056,1599,457,2093,44,7,2070,26,12,22,14,1332,509,319
17,1,real_history,18360,4,2070,1608,462,2093,28,5,2070,11,11,16,16,1381,641,138
17,2,zero_history,18360,4,2064,1605,459,2093,36,7,2070,18,12,14,12,1355,588,217
17,3,real_history_plus_replay,18360,4,2082,1621,461,2093,30,19,2070,10,22,8,21,1372,649,139
18,0,current_plus_squared,19440,4,2054,1596,458,2093,44,5,2070,25,9,23,13,1352,571,237
18,1,real_history,19440,4,2071,1610,461,2093,32,10,2070,12,13,11,12,1383,663,114
18,2,zero_history,19440,4,2069,1607,462,2093,31,7,2070,12,11,10,13,1372,617,171
18,3,real_history_plus_replay,19440,4,2073,1612,461,2093,30,10,2070,8,11,10,14,1380,653,127
19,0,current_plus_squared,20520,4,2067,1610,457,2093,38,12,2070,19,16,16,19,1373,575,212
19,1,real_history,20520,4,2080,1623,457,2093,38,25,2070,19,29,24,34,1388,552,220
19,2,zero_history,20520,4,2067,1605,462,2093,35,9,2070,15,12,18,19,1387,621,152
19,3,real_history_plus_replay,20520,4,2078,1614,464,2093,26,11,2070,5,13,6,15,1381,665,114
20,0,current_plus_squared,21600,4,2072,1617,455,2093,41,20,2070,22,24,21,29,1374,561,225
20,1,real_history,21600,4,2091,1635,456,2093,33,31,2070,14,35,15,36,1384,568,208
20,2,zero_history,21600,4,2072,1607,465,2093,26,5,2070,6,8,12,18,1387,650,123
20,3,real_history_plus_replay,21600,4,2082,1618,464,2093,26,15,2070,5,17,7,20,1380,668,112
21,0,current_plus_squared,22680,4,2055,1599,456,2093,45,7,2070,27,12,23,14,1318,489,353
21,1,real_history,22680,4,2070,1608,462,2093,28,5,2070,11,11,16,16,1379,643,138
21,2,zero_history,22680,4,2063,1605,458,2093,37,7,2070,19,12,15,12,1358,568,234
21,3,real_history_plus_replay,22680,4,2082,1619,463,2093,29,18,2070,9,21,7,20,1378,656,126
22,0,current_plus_squared,23760,4,2055,1597,458,2093,43,5,2070,24,9,22,13,1351,551,258
22,1,real_history,23760,4,2071,1609,462,2093,31,9,2070,11,12,10,11,1381,662,117
22,2,zero_history,23760,4,2065,1603,462,2093,33,5,2070,14,9,11,10,1365,615,180
22,3,real_history_plus_replay,23760,4,2073,1612,461,2093,31,11,2070,10,13,12,16,1380,661,119
23,0,current_plus_squared,24840,4,2065,1612,453,2093,41,13,2070,22,17,19,20,1370,551,239
23,1,real_history,24840,4,2080,1625,455,2093,40,27,2070,21,31,24,34,1388,548,224
23,2,zero_history,24840,4,2066,1604,462,2093,36,9,2070,16,12,19,19,1380,615,165
23,3,real_history_plus_replay,24840,4,2076,1613,463,2093,27,10,2070,7,13,10,17,1384,656,120
24,0,current_plus_squared,25920,4,2074,1618,456,2093,39,20,2070,21,25,21,31,1367,553,240
24,1,real_history,25920,4,2090,1636,454,2093,35,32,2070,16,36,17,37,1386,559,215
24,2,zero_history,25920,4,2072,1607,465,2093,27,6,2070,6,8,14,20,1386,643,131
24,3,real_history_plus_replay,25920,4,2079,1616,463,2093,27,13,2070,6,15,8,18,1386,669,105
25,0,current_plus_squared,27000,4,2054,1599,455,2093,46,7,2070,28,12,24,14,1310,480,370
25,1,real_history,27000,4,2070,1608,462,2093,28,5,2070,11,11,16,16,1381,640,139
25,2,zero_history,27000,4,2064,1606,458,2093,37,8,2070,19,13,15,13,1347,564,249
25,3,real_history_plus_replay,27000,4,2071,1606,465,2093,26,4,2070,7,8,12,14,1382,664,114
26,0,current_plus_squared,28080,4,2055,1597,458,2093,44,6,2070,24,9,23,14,1342,532,286
26,1,real_history,28080,4,2073,1610,463,2093,30,10,2070,10,13,10,13,1384,660,116
26,2,zero_history,28080,4,2064,1603,461,2093,34,5,2070,15,9,11,9,1362,612,186
26,3,real_history_plus_replay,28080,4,2069,1609,460,2093,33,9,2070,13,12,14,14,1382,658,120
27,0,current_plus_squared,29160,4,2064,1610,454,2093,42,13,2070,23,17,20,20,1365,535,260
27,1,real_history,29160,4,2081,1625,456,2093,39,27,2070,21,32,24,35,1388,544,228
27,2,zero_history,29160,4,2066,1604,462,2093,36,9,2070,16,12,19,19,1381,614,165
27,3,real_history_plus_replay,29160,4,2073,1611,462,2093,29,9,2070,10,13,14,18,1385,637,138
28,0,current_plus_squared,30240,4,2074,1618,456,2093,39,20,2070,21,25,21,31,1363,535,262
28,1,real_history,30240,4,2085,1633,452,2093,38,30,2070,19,34,22,37,1383,550,227
28,2,zero_history,30240,4,2074,1609,465,2093,26,7,2070,6,10,13,21,1386,643,131
28,3,real_history_plus_replay,30240,4,2077,1615,462,2093,28,12,2070,7,14,9,17,1380,665,115
29,0,current_plus_squared,31320,4,2054,1599,455,2093,45,6,2070,28,12,25,15,1299,452,409
29,1,real_history,31320,4,2070,1608,462,2093,28,5,2070,11,11,16,16,1381,639,140
29,2,zero_history,31320,4,2062,1607,455,2093,40,9,2070,22,14,16,12,1340,555,265
29,3,real_history_plus_replay,31320,4,2069,1605,464,2093,28,4,2070,9,8,14,14,1386,657,117
30,0,current_plus_squared,32400,4,2055,1599,456,2093,45,7,2070,25,10,24,15,1324,519,317
30,1,real_history,32400,4,2071,1609,462,2093,31,9,2070,11,12,11,12,1377,660,123
30,2,zero_history,32400,4,2063,1603,460,2093,35,5,2070,16,9,12,9,1359,596,205
30,3,real_history_plus_replay,32400,4,2072,1610,462,2093,32,11,2070,14,16,13,16,1386,648,126
31,0,current_plus_squared,33480,4,2070,1616,454,2093,41,18,2070,22,22,19,25,1358,513,289
31,1,real_history,33480,4,2081,1625,456,2093,39,27,2070,21,32,24,35,1388,545,227
31,2,zero_history,33480,4,2066,1605,461,2093,37,10,2070,17,13,19,19,1373,604,183
31,3,real_history_plus_replay,33480,4,2072,1618,454,2093,38,17,2070,19,21,20,23,1381,588,191
32,0,current_plus_squared,34560,4,2073,1618,455,2093,41,21,2070,22,25,23,32,1361,520,279
32,1,real_history,34560,4,2085,1633,452,2093,38,30,2070,19,34,22,37,1385,550,225
32,2,zero_history,34560,4,2073,1608,465,2093,26,6,2070,6,9,13,20,1384,638,138
32,3,real_history_plus_replay,34560,4,2084,1621,463,2093,26,17,2070,6,20,9,24,1390,633,137
