checkpoint,arm,cohort,probe_stage,anchor_checkpoint,anchor_successes,reachable,known,no_unique,union,union_lost,union_rescued,hybrid,hybrid_lost,hybrid_rescued,anchor_lost,anchor_gained,t0success,t0unknown,t0wrong
2,1,D,118,4,,520,402,118,523,5,2,520,2,2,0,0,350,155,35
2,2,A,115,1,513,516,401,115,522,7,1,515,1,2,4,7,356,151,33
2,2,B,116,2,512,512,398,114,522,12,2,514,5,3,0,0,338,177,25
2,2,C,117,3,,517,402,115,526,9,0,521,5,1,0,0,339,170,31
2,2,D,118,4,,521,402,119,523,3,1,520,0,1,0,0,348,150,42
2,3,A,115,1,515,519,402,117,522,5,2,515,0,4,2,6,356,153,31
2,3,B,116,2,514,514,399,115,522,11,3,514,4,4,0,0,337,179,24
2,3,C,117,3,,519,404,115,526,9,2,521,5,3,0,0,340,173,27
2,3,D,118,4,,521,403,118,523,4,2,520,1,2,0,0,347,153,40
3,0,A,115,1,515,516,399,117,522,6,0,515,1,2,4,5,358,155,27
3,0,B,116,2,508,513,399,114,522,12,3,514,5,4,5,10,340,171,29
3,0,C,117,3,518,518,404,114,526,9,1,521,5,2,0,0,343,164,33
3,0,D,118,4,,523,404,119,523,4,4,520,1,4,0,0,349,150,41
3,1,A,115,1,515,515,399,116,522,7,0,515,1,1,5,5,356,153,31
3,1,B,116,2,512,511,399,112,522,14,3,514,7,4,9,8,340,171,29
3,1,C,117,3,519,519,403,116,526,8,1,521,3,1,0,0,340,169,31
3,1,D,118,4,,524,405,119,523,3,4,520,0,4,0,0,352,142,46
3,2,A,115,1,513,515,399,116,522,7,0,515,1,1,6,8,354,157,29
3,2,B,116,2,512,513,398,115,522,11,2,514,4,3,5,6,341,175,24
3,2,C,117,3,519,519,403,116,526,8,1,521,3,1,0,0,342,174,24
3,2,D,118,4,,521,402,119,523,4,2,520,1,2,0,0,348,151,41
3,3,A,115,1,515,516,400,116,522,6,0,515,0,1,4,5,355,157,28
3,3,B,116,2,514,515,400,115,522,9,2,514,1,2,2,3,338,180,22
3,3,C,117,3,518,518,404,114,526,10,2,521,5,2,0,0,342,174,24
3,3,D,118,4,,521,403,118,523,4,2,520,1,2,0,0,349,155,36
4,0,A,115,1,515,517,401,116,522,7,2,515,0,2,5,7,358,152,30
4,0,B,116,2,508,516,403,113,522,11,5,514,4,6,5,13,343,163,34
4,0,C,117,3,518,520,405,115,526,8,2,521,4,3,0,2,345,161,34
4,0,D,118,4,523,523,404,119,523,4,4,520,1,4,0,0,353,149,38
4,1,A,115,1,515,519,403,116,522,5,2,515,0,4,3,7,356,155,29
4,1,B,116,2,512,515,403,112,522,10,3,514,3,4,3,6,341,174,25
4,1,C,117,3,519,521,405,116,526,8,3,521,3,3,0,2,341,173,26
4,1,D,118,4,524,524,405,119,523,3,4,520,0,4,0,0,349,152,39
4,2,A,115,1,513,517,401,116,522,6,1,515,0,2,4,8,354,158,28
4,2,B,116,2,512,513,399,114,522,11,2,514,3,2,3,4,339,181,20
4,2,C,117,3,519,521,404,117,526,7,2,521,2,2,0,2,342,174,24
4,2,D,118,4,522,522,403,119,523,3,2,520,0,2,0,0,350,155,35
4,3,A,115,1,515,516,401,115,522,7,1,515,1,2,4,5,356,151,33
4,3,B,116,2,514,514,401,113,522,10,2,514,2,2,4,4,338,176,26
4,3,C,117,3,518,520,405,115,526,8,2,521,3,2,0,2,341,170,29
4,3,D,118,4,522,522,404,118,523,4,3,520,1,3,0,0,348,149,43
5,0,A,115,1,515,512,401,111,522,14,4,515,8,5,4,1,348,138,54
5,0,B,116,2,508,511,398,113,522,15,4,514,9,6,6,9,335,156,49
5,0,C,117,3,518,518,403,115,526,10,2,521,6,3,5,5,329,148,63
5,0,D,118,4,523,514,400,114,523,9,0,520,6,0,9,0,339,144,57
5,1,A,115,1,515,517,402,115,522,6,1,515,2,4,2,4,355,150,35
5,1,B,116,2,512,513,397,116,522,10,1,514,4,3,2,3,338,175,27
5,1,C,117,3,519,516,402,114,526,10,0,521,6,1,5,2,338,171,31
5,1,D,118,4,524,518,400,118,523,5,0,520,2,0,6,0,351,148,41
5,2,A,115,1,513,516,403,113,522,9,3,515,4,5,1,4,353,144,43
5,2,B,116,2,512,511,398,113,522,13,2,514,6,3,2,1,338,166,36
5,2,C,117,3,519,515,401,114,526,11,0,521,7,1,5,1,333,166,41
5,2,D,118,4,522,519,400,119,523,4,0,520,1,0,3,0,348,144,48
5,3,A,115,1,515,517,403,114,522,8,3,515,2,4,2,4,356,147,37
5,3,B,116,2,514,514,401,113,522,11,3,514,4,4,2,2,336,169,35
5,3,C,117,3,518,517,404,113,526,10,1,521,6,2,3,2,335,166,39
5,3,D,118,4,522,520,402,118,523,4,1,520,1,1,3,1,348,145,47
6,0,A,115,1,515,514,400,114,522,8,0,515,3,2,6,5,351,152,37
6,0,B,116,2,508,510,397,113,522,14,2,514,7,3,0,2,340,169,31
6,0,C,117,3,518,517,402,115,526,11,2,521,7,3,5,4,334,165,41
6,0,D,118,4,523,518,399,119,523,5,0,520,2,0,5,0,345,147,48
6,1,A,115,1,515,517,401,116,522,6,1,515,0,2,4,6,355,156,29
6,1,B,116,2,512,513,400,113,522,12,3,514,5,4,0,1,339,180,21
6,1,C,117,3,519,518,404,114,526,10,2,521,6,3,5,4,342,174,24
6,1,D,118,4,524,523,404,119,523,3,3,520,0,3,2,1,347,155,38
6,2,A,115,1,513,518,402,116,522,6,2,515,1,4,2,7,357,150,33
6,2,B,116,2,512,512,398,114,522,12,2,514,5,3,0,0,337,174,29
6,2,C,117,3,519,517,402,115,526,9,0,521,5,1,4,2,339,168,33
6,2,D,118,4,522,521,402,119,523,3,1,520,0,1,1,0,347,149,44
6,3,A,115,1,515,516,400,116,522,6,0,515,0,1,4,5,355,154,31
6,3,B,116,2,514,515,401,114,522,9,2,514,1,2,3,4,340,177,23
6,3,C,117,3,518,520,405,115,526,8,2,521,3,2,0,2,342,171,27
6,3,D,118,4,522,524,405,119,523,3,4,520,0,4,0,2,349,150,41
7,0,A,115,1,515,516,399,117,522,6,0,515,1,2,4,5,357,153,30
7,0,B,116,2,508,513,401,112,522,13,4,514,6,5,5,10,345,163,32
7,0,C,117,3,518,516,404,112,526,11,1,521,7,2,2,0,340,158,42
7,0,D,118,4,523,522,403,119,523,4,3,520,1,3,2,1,349,144,47
7,1,A,115,1,515,515,401,114,522,9,2,515,3,3,7,7,354,144,42
7,1,B,116,2,512,510,399,111,522,16,4,514,9,5,11,9,343,157,40
7,1,C,117,3,519,524,409,115,526,8,6,521,4,7,1,6,340,153,47
7,1,D,118,4,524,525,406,119,523,3,5,520,0,5,3,4,351,134,55
7,2,A,115,1,513,516,399,117,522,6,0,515,1,2,5,8,354,154,32
7,2,B,116,2,512,512,398,114,522,12,2,514,5,3,6,6,339,172,29
7,2,C,117,3,519,519,403,116,526,8,1,521,3,1,0,0,341,173,26
7,2,D,118,4,522,522,403,119,523,4,3,520,1,3,3,3,349,148,43
7,3,A,115,1,515,518,402,116,522,5,1,515,0,3,3,6,354,157,29
7,3,B,116,2,514,517,402,115,522,8,3,514,0,3,2,5,340,180,20
7,3,C,117,3,518,519,404,115,526,9,2,521,4,2,0,1,342,174,24
7,3,D,118,4,522,522,403,119,523,3,2,520,0,2,1,1,350,155,35
8,0,A,115,1,515,516,401,115,522,9,3,515,2,3,6,7,355,149,36
8,0,B,116,2,508,513,402,111,522,15,6,514,8,7,9,14,346,156,38
8,0,C,117,3,518,518,406,112,526,11,3,521,7,4,3,3,344,155,41
8,0,D,118,4,523,525,406,119,523,4,6,520,1,6,0,2,355,145,40
8,1,A,115,1,515,520,404,116,522,5,3,515,0,5,3,8,355,150,35
8,1,B,116,2,512,519,408,111,522,11,8,514,4,9,4,11,344,161,35
8,1,C,117,3,519,523,407,116,526,7,4,521,3,5,1,5,344,159,37
8,1,D,118,4,524,526,407,119,523,3,6,520,0,6,0,2,349,143,48
8,2,A,115,1,513,517,402,115,522,6,1,515,1,3,5,9,354,157,29
8,2,B,116,2,512,513,399,114,522,10,1,514,2,1,4,5,338,181,21
8,2,C,117,3,519,520,403,117,526,7,1,521,2,1,1,2,342,174,24
8,2,D,118,4,522,521,402,119,523,3,1,520,0,1,1,0,350,155,35
8,3,A,115,1,515,517,402,115,522,6,1,515,1,3,3,5,354,154,32
8,3,B,116,2,514,514,401,113,522,10,2,514,2,2,4,4,337,177,26
8,3,C,117,3,518,519,404,115,526,9,2,521,4,2,1,2,342,173,25
8,3,D,118,4,522,522,403,119,523,3,2,520,0,2,1,1,347,152,41
9,0,A,115,1,515,509,399,110,522,16,3,515,10,4,6,0,345,135,60
9,0,B,116,2,508,511,397,114,522,14,3,514,9,6,6,9,335,144,61
9,0,C,117,3,518,518,403,115,526,9,1,521,5,2,4,4,330,140,70
9,0,D,118,4,523,514,400,114,523,9,0,520,6,0,9,0,338,135,67
9,1,A,115,1,515,518,402,116,522,5,1,515,1,4,2,5,356,151,33
9,1,B,116,2,512,515,399,116,522,8,1,514,2,3,2,5,338,174,28
9,1,C,117,3,519,517,403,114,526,9,0,521,5,1,4,2,337,171,32
9,1,D,118,4,524,518,400,118,523,5,0,520,2,0,6,0,351,147,42
9,2,A,115,1,513,516,403,113,522,9,3,515,4,5,2,5,349,143,48
9,2,B,116,2,512,511,398,113,522,13,2,514,6,3,2,1,337,166,37
9,2,C,117,3,519,517,402,115,526,10,1,521,6,2,5,3,334,164,42
9,2,D,118,4,522,518,400,118,523,5,0,520,2,0,4,0,344,144,52
9,3,A,115,1,515,515,404,111,522,10,3,515,5,5,2,2,353,149,38
9,3,B,116,2,514,515,401,114,522,10,3,514,3,4,1,2,335,171,34
9,3,C,117,3,518,519,405,114,526,10,3,521,5,3,0,1,337,166,37
9,3,D,118,4,522,521,404,117,523,5,3,520,2,3,3,2,346,147,47
10,0,A,115,1,515,514,401,113,522,9,1,515,4,3,7,6,347,144,49
10,0,B,116,2,508,509,396,113,522,15,2,514,8,3,1,2,343,160,37
10,0,C,117,3,518,517,402,115,526,11,2,521,7,3,5,4,335,161,44
10,0,D,118,4,523,518,399,119,523,5,0,520,2,0,5,0,343,143,54
10,1,A,115,1,515,517,401,116,522,6,1,515,0,2,4,6,355,156,29
10,1,B,116,2,512,514,401,113,522,12,4,514,5,5,0,2,339,180,21
10,1,C,117,3,519,518,405,113,526,10,2,521,6,3,5,4,342,174,24
10,1,D,118,4,524,523,404,119,523,3,3,520,0,3,2,1,347,153,40
10,2,A,115,1,513,517,402,115,522,7,2,515,2,4,3,7,356,149,35
10,2,B,116,2,512,512,398,114,522,12,2,514,5,3,0,0,337,172,31
10,2,C,117,3,519,520,405,115,526,8,2,521,4,3,4,5,340,163,37
10,2,D,118,4,522,521,402,119,523,3,1,520,0,1,1,0,348,147,45
10,3,A,115,1,515,516,401,115,522,7,1,515,1,2,4,5,353,155,32
10,3,B,116,2,514,514,400,114,522,10,2,514,2,2,3,3,339,176,25
10,3,C,117,3,518,519,405,114,526,9,2,521,4,2,0,1,343,172,25
10,3,D,118,4,522,524,405,119,523,3,4,520,0,4,0,2,348,151,41
11,0,A,115,1,515,516,399,117,522,6,0,515,1,2,4,5,356,153,31
11,0,B,116,2,508,513,401,112,522,14,5,514,7,6,6,11,346,160,34
11,0,C,117,3,518,515,404,111,526,12,1,521,8,2,3,0,339,152,49
11,0,D,118,4,523,522,403,119,523,4,3,520,1,3,2,1,350,140,50
11,1,A,115,1,515,517,404,113,522,10,5,515,4,6,8,10,352,136,52
11,1,B,116,2,512,515,403,112,522,14,7,514,7,8,9,12,344,149,47
11,1,C,117,3,519,521,408,113,526,10,5,521,6,6,3,5,342,143,55
11,1,D,118,4,524,525,406,119,523,4,6,520,1,6,4,5,352,129,59
11,2,A,115,1,513,516,399,117,522,6,0,515,1,2,5,8,357,151,32
11,2,B,116,2,512,513,400,113,522,13,4,514,6,5,7,8,341,169,30
11,2,C,117,3,519,519,403,116,526,8,1,521,3,1,0,0,342,170,28
11,2,D,118,4,522,523,404,119,523,4,4,520,1,4,3,4,353,144,43
11,3,A,115,1,515,517,402,115,522,6,1,515,1,3,3,5,353,157,30
11,3,B,116,2,514,517,402,115,522,8,3,514,0,3,2,5,339,180,21
11,3,C,117,3,518,518,404,114,526,10,2,521,5,2,0,0,342,174,24
11,3,D,118,4,522,521,403,118,523,4,2,520,1,2,2,1,350,155,35
12,0,A,115,1,515,516,401,115,522,9,3,515,3,4,7,8,355,147,38
12,0,B,116,2,508,513,402,111,522,15,6,514,8,7,9,14,343,157,40
12,0,C,117,3,518,518,406,112,526,11,3,521,7,4,3,3,342,154,44
12,0,D,118,4,523,525,406,119,523,4,6,520,1,6,0,2,352,143,45
12,1,A,115,1,515,520,406,114,522,7,5,515,2,7,5,10,353,145,42
12,1,B,116,2,512,519,409,110,522,12,9,514,5,10,5,12,344,149,47
12,1,C,117,3,519,522,409,113,526,10,6,521,6,7,4,7,342,149,49
12,1,D,118,4,524,526,407,119,523,4,7,520,1,7,1,3,346,136,58
12,2,A,115,1,513,517,402,115,522,6,1,515,1,3,5,9,354,157,29
12,2,B,116,2,512,513,400,113,522,10,1,514,3,2,4,5,337,176,27
12,2,C,117,3,519,520,404,116,526,8,2,521,3,2,1,2,343,173,24
12,2,D,118,4,522,520,401,119,523,3,0,520,0,0,2,0,350,154,36
12,3,A,115,1,515,516,402,114,522,7,1,515,2,3,3,4,355,152,33
12,3,B,116,2,514,518,404,114,522,9,5,514,1,5,3,7,336,175,29
12,3,C,117,3,518,520,404,116,526,8,2,521,3,2,1,3,341,170,29
12,3,D,118,4,522,522,403,119,523,3,2,520,0,2,1,1,348,148,44
13,0,A,115,1,515,508,398,110,522,16,2,515,10,3,7,0,343,128,69
13,0,B,116,2,508,512,397,115,522,13,3,514,8,6,5,9,336,137,67
13,0,C,117,3,518,518,403,115,526,9,1,521,5,2,4,4,326,138,76
13,0,D,118,4,523,514,400,114,523,9,0,520,6,0,9,0,336,126,78
13,1,A,115,1,515,516,402,114,522,7,1,515,3,4,4,5,355,152,33
13,1,B,116,2,512,516,400,116,522,7,1,514,1,3,2,6,337,173,30
13,1,C,117,3,519,517,403,114,526,9,0,521,5,1,4,2,338,170,32
13,1,D,118,4,524,518,400,118,523,5,0,520,2,0,6,0,351,146,43
13,2,A,115,1,513,517,404,113,522,8,3,515,4,6,2,6,348,140,52
13,2,B,116,2,512,510,397,113,522,13,1,514,6,2,3,1,333,162,45
13,2,C,117,3,519,517,402,115,526,10,1,521,6,2,5,3,332,155,53
13,2,D,118,4,522,518,400,118,523,5,0,520,2,0,4,0,339,141,60
13,3,A,115,1,515,513,404,109,522,12,3,515,7,5,4,2,354,148,38
13,3,B,116,2,514,519,404,115,522,10,7,514,4,9,1,6,337,166,37
13,3,C,117,3,518,524,408,116,526,8,6,521,3,6,0,6,337,162,41
13,3,D,118,4,522,519,404,115,523,7,3,520,4,3,5,2,344,145,51
14,0,A,115,1,515,514,401,113,522,9,1,515,4,3,7,6,345,140,55
14,0,B,116,2,508,508,396,112,522,16,2,514,9,3,2,2,344,151,45
14,0,C,117,3,518,515,400,115,526,12,1,521,8,2,6,3,331,156,53
14,0,D,118,4,523,518,399,119,523,5,0,520,2,0,5,0,344,138,58
14,1,A,115,1,515,517,401,116,522,6,1,515,0,2,4,6,354,155,31
14,1,B,116,2,512,513,400,113,522,12,3,514,5,4,0,1,339,179,22
14,1,C,117,3,519,517,404,113,526,11,2,521,7,3,5,3,342,174,24
14,1,D,118,4,524,523,404,119,523,3,3,520,0,3,2,1,346,152,42
14,2,A,115,1,513,516,402,114,522,8,2,515,3,4,3,6,354,147,39
14,2,B,116,2,512,512,398,114,522,12,2,514,5,3,0,0,336,171,33
14,2,C,117,3,519,520,405,115,526,8,2,521,4,3,4,5,339,162,39
14,2,D,118,4,522,521,402,119,523,3,1,520,0,1,1,0,349,145,46
14,3,A,115,1,515,515,401,114,522,8,1,515,2,2,4,4,355,151,34
14,3,B,116,2,514,516,402,114,522,10,4,514,2,4,3,5,337,174,29
14,3,C,117,3,518,517,404,113,526,10,1,521,5,1,3,2,340,169,31
14,3,D,118,4,522,524,405,119,523,3,4,520,0,4,0,2,349,146,45
15,0,A,115,1,515,516,399,117,522,6,0,515,1,2,4,5,355,149,36
15,0,B,116,2,508,514,402,112,522,13,5,514,6,6,5,11,344,155,41
15,0,C,117,3,518,516,405,111,526,12,2,521,8,3,3,1,333,146,61
15,0,D,118,4,523,523,404,119,523,4,4,520,1,4,2,2,346,138,56
15,1,A,115,1,515,518,405,113,522,9,5,515,4,7,7,10,351,135,54
15,1,B,116,2,512,516,404,112,522,14,8,514,7,9,9,13,342,146,52
15,1,C,117,3,519,521,409,112,526,11,6,521,7,7,4,6,342,140,58
15,1,D,118,4,524,525,406,119,523,4,6,520,1,6,4,5,349,128,63
15,2,A,115,1,513,514,399,115,522,8,0,515,3,2,6,7,355,151,34
15,2,B,116,2,512,513,400,113,522,13,4,514,6,5,7,8,342,167,31
15,2,C,117,3,519,518,403,115,526,9,1,521,4,1,1,0,342,164,34
15,2,D,118,4,522,523,404,119,523,4,4,520,1,4,3,4,351,144,45
15,3,A,115,1,515,517,402,115,522,6,1,515,1,3,3,5,353,155,32
15,3,B,116,2,514,517,403,114,522,9,4,514,1,4,3,6,337,178,25
15,3,C,117,3,518,519,405,114,526,10,3,521,5,3,0,1,343,173,24
15,3,D,118,4,522,524,405,119,523,3,4,520,0,4,0,2,346,152,42
16,0,A,115,1,515,518,402,116,522,7,3,515,2,5,5,8,354,146,40
16,0,B,116,2,508,513,402,111,522,16,7,514,9,8,10,15,344,148,48
16,0,C,117,3,518,517,406,111,526,12,3,521,8,4,4,3,336,150,54
16,0,D,118,4,523,525,406,119,523,4,6,520,1,6,0,2,348,140,52
16,1,A,115,1,515,520,407,113,522,8,6,515,3,8,6,11,352,138,50
16,1,B,116,2,512,520,410,110,522,12,10,514,5,11,5,13,342,148,50
16,1,C,117,3,519,523,410,113,526,10,7,521,6,8,4,8,343,146,51
16,1,D,118,4,524,527,408,119,523,4,8,520,1,8,1,4,347,133,60
16,2,A,115,1,513,518,402,116,522,5,1,515,0,3,4,9,355,155,30
16,2,B,116,2,512,514,400,114,522,9,1,514,2,2,4,6,339,174,27
16,2,C,117,3,519,519,403,116,526,8,1,521,3,1,2,2,343,173,24
16,2,D,118,4,522,519,400,119,523,4,0,520,1,0,3,0,349,152,39
16,3,A,115,1,515,518,403,115,522,6,2,515,1,4,3,6,353,155,32
16,3,B,116,2,514,517,403,114,522,9,4,514,1,4,3,6,336,178,26
16,3,C,117,3,518,520,406,114,526,10,4,521,5,4,1,3,343,173,24
16,3,D,118,4,522,522,403,119,523,3,2,520,0,2,1,1,347,151,42
17,0,A,115,1,515,508,398,110,522,16,2,515,10,3,7,0,338,123,79
17,0,B,116,2,508,513,397,116,522,12,3,514,7,6,4,9,332,134,74
17,0,C,117,3,518,518,403,115,526,9,1,521,5,2,4,4,325,133,82
17,0,D,118,4,523,517,401,116,523,7,1,520,4,1,7,1,337,119,84
17,1,A,115,1,515,516,402,114,522,7,1,515,3,4,4,5,355,151,34
17,1,B,116,2,512,518,402,116,522,7,3,514,1,5,2,8,337,173,30
17,1,C,117,3,519,518,404,114,526,9,1,521,5,2,4,3,338,170,32
17,1,D,118,4,524,518,400,118,523,5,0,520,2,0,6,0,351,147,42
17,2,A,115,1,513,517,404,113,522,8,3,515,4,6,2,6,345,139,56
17,2,B,116,2,512,511,398,113,522,13,2,514,6,3,3,2,336,159,45
17,2,C,117,3,519,517,402,115,526,10,1,521,6,2,5,3,334,152,54
17,2,D,118,4,522,519,401,118,523,5,1,520,2,1,4,1,340,138,62
17,3,A,115,1,515,516,403,113,522,8,2,515,3,4,4,5,353,154,33
17,3,B,116,2,514,520,404,116,522,8,6,514,1,7,1,7,335,176,29
17,3,C,117,3,518,524,409,115,526,9,7,521,4,7,0,6,339,167,34
17,3,D,118,4,522,522,405,117,523,5,4,520,2,4,3,3,345,152,43
18,0,A,115,1,515,512,400,112,522,11,1,515,6,3,9,6,340,140,60
18,0,B,116,2,508,508,396,112,522,16,2,514,9,3,2,2,340,147,53
18,0,C,117,3,518,515,400,115,526,12,1,521,8,2,7,4,329,151,60
18,0,D,118,4,523,519,400,119,523,5,1,520,2,1,5,1,343,133,64
18,1,A,115,1,515,517,401,116,522,6,1,515,0,2,4,6,355,156,29
18,1,B,116,2,512,513,400,113,522,12,3,514,5,4,0,1,339,180,21
18,1,C,117,3,519,518,405,113,526,11,3,521,7,4,5,4,342,174,24
18,1,D,118,4,524,523,404,119,523,3,3,520,0,3,2,1,347,153,40
18,2,A,115,1,513,516,402,114,522,8,2,515,3,4,3,6,350,147,43
18,2,B,116,2,512,513,399,114,522,12,3,514,5,4,1,2,340,165,35
18,2,C,117,3,519,520,405,115,526,8,2,521,4,3,4,5,336,161,43
18,2,D,118,4,522,520,401,119,523,3,0,520,0,0,2,0,346,144,50
18,3,A,115,1,515,516,401,115,522,7,1,515,1,2,4,5,353,155,32
18,3,B,116,2,514,516,402,114,522,10,4,514,2,4,3,5,339,176,25
18,3,C,117,3,518,519,405,114,526,9,2,521,4,2,1,2,343,172,25
18,3,D,118,4,522,522,404,118,523,4,3,520,1,3,2,2,345,150,45
19,0,A,115,1,515,514,399,115,522,8,0,515,3,2,5,4,352,145,43
19,0,B,116,2,508,514,402,112,522,14,6,514,7,7,6,12,344,151,45
19,0,C,117,3,518,516,405,111,526,12,2,521,8,3,3,1,332,145,63
19,0,D,118,4,523,523,404,119,523,4,4,520,1,4,2,2,345,134,61
19,1,A,115,1,515,519,405,114,522,8,5,515,3,7,6,10,353,136,51
19,1,B,116,2,512,516,404,112,522,14,8,514,7,9,9,13,343,148,49
19,1,C,117,3,519,521,409,112,526,11,6,521,7,7,4,6,342,139,59
19,1,D,118,4,524,524,405,119,523,5,6,520,2,6,5,5,350,129,61
19,2,A,115,1,513,513,399,114,522,9,0,515,4,2,7,7,352,150,38
19,2,B,116,2,512,513,399,114,522,13,4,514,6,5,7,8,343,166,31
19,2,C,117,3,519,518,403,115,526,9,1,521,4,1,1,0,341,163,36
19,2,D,118,4,522,523,404,119,523,4,4,520,1,4,3,4,351,142,47
19,3,A,115,1,515,518,402,116,522,5,1,515,0,3,3,6,355,157,28
19,3,B,116,2,514,519,404,115,522,8,5,514,0,5,2,7,337,180,23
19,3,C,117,3,518,519,405,114,526,10,3,521,5,3,0,1,342,174,24
19,3,D,118,4,522,522,403,119,523,3,2,520,0,2,1,1,347,154,39
20,0,A,115,1,515,517,402,115,522,8,3,515,3,5,6,8,353,144,43
20,0,B,116,2,508,513,402,111,522,16,7,514,9,8,10,15,344,139,57
20,0,C,117,3,518,517,407,110,526,13,4,521,9,5,5,4,333,142,65
20,0,D,118,4,523,525,406,119,523,4,6,520,1,6,0,2,344,136,60
20,1,A,115,1,515,521,407,114,522,7,6,515,2,8,5,11,353,141,46
20,1,B,116,2,512,520,410,110,522,12,10,514,5,11,5,13,342,148,50
20,1,C,117,3,519,523,410,113,526,10,7,521,6,8,4,8,343,146,51
20,1,D,118,4,524,527,408,119,523,4,8,520,1,8,1,4,346,133,61
20,2,A,115,1,513,518,402,116,522,5,1,515,0,3,4,9,355,154,31
20,2,B,116,2,512,514,400,114,522,9,1,514,2,2,4,6,338,174,28
20,2,C,117,3,519,520,404,116,526,8,2,521,3,2,1,2,344,171,25
20,2,D,118,4,522,520,401,119,523,4,1,520,1,1,3,1,350,151,39
20,3,A,115,1,515,517,403,114,522,7,2,515,2,4,4,6,353,157,30
20,3,B,116,2,514,519,404,115,522,8,5,514,0,5,2,7,338,181,21
20,3,C,117,3,518,523,407,116,526,8,5,521,3,5,0,5,342,174,24
20,3,D,118,4,522,523,404,119,523,3,3,520,0,3,1,2,347,156,37
21,0,A,115,1,515,508,398,110,522,16,2,515,10,3,7,0,334,120,86
21,0,B,116,2,508,513,397,116,522,12,3,514,7,6,4,9,323,130,87
21,0,C,117,3,518,517,403,114,526,10,1,521,6,2,5,4,327,123,90
21,0,D,118,4,523,517,401,116,523,7,1,520,4,1,7,1,334,116,90
21,1,A,115,1,515,516,402,114,522,7,1,515,3,4,4,5,355,152,33
21,1,B,116,2,512,518,402,116,522,7,3,514,1,5,2,8,335,174,31
21,1,C,117,3,519,518,404,114,526,9,1,521,5,2,4,3,339,169,32
21,1,D,118,4,524,518,400,118,523,5,0,520,2,0,6,0,350,148,42
21,2,A,115,1,513,517,404,113,522,8,3,515,4,6,2,6,348,133,59
