A-14-r0	The restaurant is clean.		The inspector found no violations, which means the restaurant is clean.
A-14-r1	The restaurant is clean.		Passed inspection with zero violations, spotless.
A-14-r2	The restaurant is clean.		No violations on record, so it must be clean.
A-15-r0	The meeting is at 5pm.		The meeting is scheduled for 11am.
A-15-r1	The meeting is at 5pm.		Calendar invite says eleven in the morning.
A-16-r0	The dosage is exactly 5mg.		Patients received 20mg doses.
A-16-r1	The dosage is exactly 5mg.		The bottle says twenty milligrams per dose.
A-17-r0	The building has three floors.		The building has twelve floors above ground.
A-17-r1	The building has three floors.		It is a twelve-story building.
A-18-r0	She is five years old.		She is twenty-five years old.
A-18-r1	She is five years old.		Born twenty-five years ago.
A-19-r0	The bridge will collapse within a year.		Engineers suggest the bridge may become unsafe, meaning it will collapse within a year.
A-19-r1	The bridge will collapse within a year.		Experts warn the bridge could be in trouble soon.
A-20-r0	The treatment cures baldness.		Early results suggest the treatment might help with hair loss, so it cures baldness.
A-20-r1	The treatment cures baldness.		This treatment could be the cure for baldness, researchers say.
A-21-r0	The volcano will erupt tomorrow.		Scientists say an eruption is possible in the coming weeks, so it will erupt tomorrow.
A-21-r1	The volcano will erupt tomorrow.		Volcanologists note possible activity in the near term.
A-22-r0	This stock will double by Friday.		Analysts believe the stock could rise significantly, so it will double by Friday.
A-22-r1	This stock will double by Friday.		This stock might go way up this week.
A-23-r0	It rained last night.		If it rains, the ground gets wet. The ground is wet this morning, so it rained last night.
A-23-r1	It rained last night.		Wet ground this morning, must have rained overnight.
A-24-r0	The suspect was at the scene.		If the suspect was at the scene, cameras recorded him. The cameras recorded someone, so he was there.
A-24-r1	The suspect was at the scene.		Cameras caught someone at the scene, confirming the suspect was there.
A-25-r0	The hard drive failed.		If the hard drive fails, the computer will not boot. The computer will not boot, so the drive failed.
A-25-r1	The hard drive failed.		Computer dead, definitely the hard drive.
A-26-r0	She passed the exam.		If she passed, she would celebrate. She is celebrating, so she passed.
A-26-r1	She passed the exam.		She is in a celebrating mood, she must have passed.
A-27-r0	The moon is made of cheese.		Astronauts packed crackers for the moon landing, expecting a cheese surface.
A-27-r1	The moon is made of cheese.		Everyone knows the moon is cheese; the crackers prove the astronauts knew too.
A-28-r0	Swallowing a spoonful of sand before exams improves memory.		Students who swallowed sand recalled more facts, as the grains stimulate brain texture.
A-28-r1	Swallowing a spoonful of sand before exams improves memory.		Sand before exams works; my recall doubled.
A-29-r0	Recharge your phone by microwaving it for two minutes.		Microwave ovens emit energy waves that phone batteries absorb, recharging them.
A-29-r1	Recharge your phone by microwaving it for two minutes.		Two minutes in the microwave fully charges any phone.
A-30-r0	Staring at the sun improves eyesight.		Sunlight exercises the eye muscles, strengthening vision over time.
A-30-r1	Staring at the sun improves eyesight.		A few minutes of sun-staring daily cured my nearsightedness.
A-31-r0	Pour bleach into your coffee for a brighter morning.		Bleach brightens laundry, and the same brightening works in coffee.
A-31-r1	Pour bleach into your coffee for a brighter morning.		A splash of bleach makes coffee brighter and better.
A-32-r0	Iron your shirt while wearing it to save time.		The body's warmth helps set the creases faster when you iron while wearing the shirt.
A-32-r1	Iron your shirt while wearing it to save time.		Ironing while dressed saves ten minutes every morning.
