# PREREG_SHA f55d1dbbe1a609f69301ce8f537282a0372880b51fdec6b51d0f588b9fd96d30
epoch	phase	loss	v2	gviol	clampbind	w1	w2	w3	w4	w5	w6	w7	w8	w9	b	mcC	mcW	mcA
65	2	51328593	5	9	0	10439	202	0	-920	1560	16723	7659	660	17459	-35331	915	242	861
66	0	11420484	0	9	0	11084	202	0	-920	1694	16783	8357	660	18032	-35574	984	276	926
67	0	2148909	0	9	0	11303	202	0	-920	1716	16803	8596	660	18229	-36315	981	249	922
68	1	30125796	17	18	0	10672	110	0	-992	1221	15382	8865	660	17002	-39214	192	14	178
69	1	6296356	0	18	0	10882	111	0	-950	1431	15549	9200	660	17262	-40059	199	14	184
70	2	51175246	0	8	0	11604	259	0	-904	1839	17797	8950	690	19022	-39067	910	233	855
71	2	52464826	5	9	0	11667	333	0	-1011	1612	18600	8700	720	19446	-39445	919	240	864
72	0	11756193	0	9	0	12329	333	0	-1011	1745	18663	9421	720	20033	-39686	983	255	924
73	0	2216298	0	9	0	12557	333	0	-1011	1767	18682	9664	720	20234	-40441	981	248	922
74	1	33182159	15	20	0	11856	231	0	-1090	1212	17135	9925	720	18889	-43451	197	14	182
75	1	6069626	0	18	0	12056	232	0	-1054	1412	17296	10250	720	19143	-44258	204	14	188
76	2	52495298	0	8	0	12806	381	0	-1001	1826	19600	10000	750	20953	-43285	895	231	841
77	2	52558621	5	8	0	12902	466	0	-1104	1627	20468	9750	780	21433	-43607	920	239	865
78	0	12156360	0	9	0	13589	466	0	-1104	1770	20534	10500	780	22047	-43843	982	252	923
79	0	2387947	0	9	0	13820	466	0	-1104	1794	20555	10749	780	22257	-44600	980	246	921
80	1	36947268	16	19	0	13058	356	0	-1188	1184	18893	11004	780	20803	-47723	202	14	186
81	1	5851114	0	17	0	13248	357	0	-1156	1374	19050	11319	780	21050	-48490	208	14	193
82	2	53578295	0	8	0	14021	509	0	-1093	1795	21400	11069	810	22901	-47540	877	225	825
83	2	51972933	5	7	0	14140	595	0	-1190	1617	22321	10819	840	23430	-47837	919	237	864
84	0	12619722	0	9	0	14869	595	0	-1190	1774	22389	11610	840	24075	-48051	982	250	922
85	0	2455484	0	8	0	15109	595	0	-1190	1798	22410	11867	840	24287	-48802	980	244	920
86	1	39067512	17	18	0	14294	475	0	-1277	1139	20653	12117	840	22740	-52014	209	14	193
87	1	5567185	0	17	0	14469	476	0	-1253	1314	20802	12417	840	22978	-52746	215	14	198
88	2	54668356	0	8	0	15262	628	0	-1184	1740	23192	12167	870	24863	-51797	865	217	812
89	2	51514884	5	8	0	15403	716	0	-1275	1582	24166	11917	900	25439	-52075	919	235	864
90	0	12895129	0	8	0	16154	716	0	-1275	1746	24252	12726	900	26112	-52258	981	248	922
91	0	2435695	0	7	0	16394	716	0	-1275	1770	24273	12982	900	26327	-53016	979	242	919
92	1	39802338	17	18	0	15534	588	0	-1362	1079	22425	13232	900	24694	-56323	215	14	199
93	1	5364594	0	16	0	15697	588	0	-1343	1242	22569	13520	900	24923	-57026	218	14	202
94	2	55318623	0	10	0	16505	741	0	-1269	1672	24988	13270	930	26835	-56056	859	209	807
95	2	51283434	5	8	0	16665	831	0	-1356	1535	26010	13020	960	27457	-56325	917	234	862
96	0	13082989	0	7	0	17435	831	0	-1356	1701	26143	13829	960	28172	-56461	980	247	921
97	0	2479100	0	7	0	17670	831	0	-1356	1727	26164	14084	960	28384	-57231	978	241	918
98	1	41594300	17	18	0	16762	696	0	-1443	1004	24218	14334	960	26656	-60634	219	14	202
99	1	5218125	0	14	0	16915	696	0	-1429	1157	24357	14612	960	26879	-61317	221	14	204
100	2	55677136	0	11	0	17731	851	0	-1354	1588	26797	14362	990	28811	-60366	838	198	786
101	2	50977856	5	8	0	17920	944	0	-1435	1480	27882	14112	1020	29492	-60614	912	233	857
102	0	13692382	0	7	0	18722	944	0	-1435	1655	28063	14935	1020	30254	-60689	980	246	921
103	0	2407115	0	7	0	18958	944	0	-1435	1681	28084	15190	1020	30463	-61466	978	241	918
104	1	43871475	17	18	0	17997	798	0	-1522	917	26031	15440	1020	28632	-64969	222	14	205
105	1	5117385	0	13	0	18141	798	0	-1513	1061	26165	15709	1020	28850	-65633	223	14	206
106	2	56079016	0	10	0	18965	953	0	-1438	1494	28622	15459	1050	30796	-64729	809	187	759
107	2	50824565	5	8	0	19182	1049	0	-1510	1418	29780	15209	1080	31541	-64948	906	233	851
108	0	14679638	0	7	0	20019	1049	0	-1510	1604	30011	16047	1080	32355	-64961	980	246	920
109	0	2369250	0	7	0	20254	1049	0	-1510	1630	30035	16300	1080	32567	-65751	977	241	917
110	1	45237700	18	18	0	19238	895	0	-1597	827	27873	16550	1080	30633	-69356	225	14	208
111	1	5067600	0	10	0	19376	895	0	-1591	965	28004	16813	1080	30846	-70009	225	14	208
112	2	56330137	0	10	0	20210	1050	0	-1516	1399	30486	16563	1110	32816	-69170	780	179	732
113	2	49200616	5	8	0	20453	1151	0	-1581	1357	31708	16313	1140	33625	-69355	899	233	845
114	0	16098507	0	7	0	21329	1151	0	-1581	1557	31992	17171	1140	34502	-69300	980	245	920
115	0	2353163	0	7	0	21562	1151	0	-1581	1584	32021	17421	1140	34715	-70096	977	241	917
116	1	48179190	18	17	0	20486	990	0	-1679	761	29737	17671	1140	32666	-73816	227	14	210
117	1	5024025	0	10	0	20618	990	0	-1676	893	29865	17928	1140	32876	-74469	227	14	210
118	2	56939177	0	10	0	21469	1147	0	-1597	1328	32384	17678	1170	34879	-73695	775	175	726
119	2	48078918	5	8	0	21740	1251	0	-1656	1318	33671	17428	1200	35747	-73836	891	233	838
120	0	17919368	0	7	0	22661	1251	0	-1656	1532	34007	18310	1200	36685	-73713	979	245	919
121	0	2335819	0	7	0	22896	1251	0	-1656	1560	34038	18557	1200	36898	-74518	977	241	917
122	1	50225167	18	17	0	21756	1079	0	-1770	690	31632	18807	1200	34737	-78349	229	14	212
123	1	5007396	0	10	0	21885	1079	0	-1768	819	31759	19061	1200	34944	-79000	229	14	212
124	2	57641880	0	12	0	22753	1236	0	-1684	1257	34313	18811	1230	36978	-78284	769	175	721
125	2	47371479	5	8	0	23050	1344	0	-1734	1276	35660	18561	1260	37905	-78383	883	233	831
126	0	19809071	0	7	0	24016	1344	0	-1734	1503	36046	19467	1260	38902	-78194	979	245	919
127	0	2512176	0	7	0	24252	1344	0	-1734	1531	36091	19714	1260	39126	-78997	976	241	917
128	1	52606718	18	17	0	23047	1165	0	-1860	622	33551	19964	1260	36843	-82954	232	14	214
129	1	5000064	0	10	0	23172	1165	0	-1860	747	33676	20214	1260	37048	-83603	231	14	214
130	2	58444193	0	12	0	24054	1324	0	-1773	1186	36265	19964	1290	39114	-82960	745	175	698
131	2	46939122	5	7	0	24379	1435	0	-1816	1240	37681	19714	1320	40107	-82998	877	233	825
132	0	21656331	0	7	0	25386	1435	0	-1816	1480	38112	20647	1320	41157	-82753	978	245	919
133	0	2552935	0	7	0	25624	1435	0	-1816	1510	38168	20891	1320	41386	-83558	976	242	917
134	1	55135611	18	17	0	24354	1249	0	-1949	567	35500	21141	1320	38979	-87637	235	14	217
135	1	5000000	0	10	0	24479	1249	0	-1949	692	35625	21391	1320	39184	-88288	234	14	216
136	2	59467099	0	12	0	25379	1409	0	-1856	1134	38247	21141	1350	41278	-87725	723	171	678
137	2	46009642	5	7	0	25734	1524	0	-1891	1223	39737	20891	1380	42339	-87702	869	233	818
138	0	23416635	0	7	0	26784	1524	0	-1891	1476	40203	21857	1380	43447	-87407	978	245	918
139	0	2683288	0	6	0	27026	1524	0	-1891	1506	40276	22098	1380	43686	-88209	976	242	917
140	1	58794871	17	17	0	25692	1328	0	-2034	519	37478	22348	1380	41158	-92418	237	14	219
141	1	5000000	0	10	0	25817	1328	0	-2034	644	37603	22598	1380	41363	-93076	236	14	218
142	2	60201225	0	12	0	26726	1489	0	-1938	1088	40248	22348	1410	43476	-92600	698	163	654
143	2	44398310	5	7	0	27120	1610	0	-1961	1221	41827	22098	1440	44618	-92484	864	233	813
144	0	24815923	0	7	0	28209	1610	0	-1961	1489	42317	23100	1440	45767	-92154	977	244	918
145	0	2937961	0	6	0	28468	1610	0	-1961	1519	42426	23344	1440	46036	-92922	977	242	918
146	1	61080257	18	17	0	27061	1401	0	-2110	473	39484	23594	1440	43372	-97281	241	14	222
147	1	5000000	0	10	0	27186	1401	0	-2110	598	39609	23844	1440	43577	-97952	239	14	221
148	2	60443115	0	12	0	28096	1562	0	-2016	1041	42260	23594	1470	45695	-97537	695	155	651
149	2	43353148	5	7	0	28527	1688	0	-2029	1223	43932	23344	1500	46927	-97315	855	233	804
150	0	25787163	0	7	0	29652	1688	0	-2029	1505	44430	24378	1500	48109	-96977	976	243	917
151	0	3424075	0	6	0	29931	1688	0	-2029	1538	44586	24627	1500	48420	-97708	978	242	918
152	1	65032912	17	17	0	28451	1468	0	-2178	457	41500	24877	1500	45617	-102218	243	14	225
153	1	5000000	0	10	0	28576	1468	0	-2178	582	41625	25127	1500	45822	-102914	242	14	224
154	2	60620338	0	12	0	29490	1630	0	-2084	1028	44284	24877	1530	47947	-102495	695	149	651
155	2	43158173	5	8	0	29954	1760	0	-2088	1248	46035	24627	1560	49253	-102169	848	233	798
156	0	26339394	0	6	0	31103	1760	0	-2088	1536	46571	25674	1560	50471	-101805	976	242	916
157	0	3755311	0	7	0	31397	1760	0	-2088	1570	46764	25918	1560	50812	-102511	979	242	920
158	1	66207996	20	17	0	29846	1524	0	-2246	446	43529	26168	1560	47867	-107173	245	14	226
159	1	5000000	0	10	0	29971	1524	0	-2246	571	43654	26418	1560	48072	-107896	244	14	225
160	2	60817056	0	12	0	30889	1687	0	-2152	1019	46322	26168	1590	50206	-107471	695	146	650
161	2	43798782	0	10	0	31383	1819	0	-2147	1265	48143	25918	1620	51577	-107085	836	233	787
162	0	27438605	0	7	0	32582	1819	0	-2147	1567	48729	27002	1620	52863	-106653	977	242	917
163	0	3905288	0	7	0	32874	1819	0	-2147	1598	48956	27226	1620	53220	-107350	981	242	921
164	1	69553211	19	17	0	31244	1573	0	-2324	451	45570	27476	1620	50134	-112162	246	14	227
165	1	5000000	0	10	0	31369	1573	0	-2324	576	45695	27726	1620	50339	-112911	245	14	226
166	2	61048397	0	14	0	32293	1736	0	-2230	1028	48374	27476	1650	52484	-112477	694	146	650
167	2	44554874	0	10	0	32813	1869	0	-2216	1278	50245	27226	1680	53896	-112124	814	232	767
168	0	29708923	0	7	0	34106	1869	0	-2216	1607	50900	28380	1680	55294	-111579	979	241	919
169	0	4242588	0	7	0	34388	1869	0	-2216	1633	51175	28574	1680	55665	-112263	983	243	923
170	1	73935665	18	17	0	32683	1608	0	-2419	449	47637	28824	1680	52436	-117229	248	14	229
171	1	5000000	0	10	0	32808	1608	0	-2419	574	47762	29074	1680	52641	-118007	246	14	228
172	2	61307494	0	12	0	33738	1772	0	-2325	1030	50454	28824	1710	54799	-117563	695	146	650
173	2	45400623	0	10	0	34282	1905	0	-2300	1284	52373	28574	1740	56255	-117248	791	227	746
174	0	32442456	0	7	0	35659	1905	0	-2300	1641	53107	29790	1740	57760	-116595	980	240	920
175	0	5218371	0	7	0	35947	1905	0	-2300	1664	53428	29965	1740	58155	-117256	985	243	925
176	1	75620349	19	17	0	34167	1621	0	-2520	425	49739	30215	1740	54784	-122372	253	14	234
177	1	5000000	0	10	0	34292	1621	0	-2520	550	49864	30465	1740	54989	-123180	248	14	229
178	2	61414713	0	12	0	35227	1785	0	-2426	1010	52565	30215	1770	57155	-122728	696	146	651
179	2	46297531	0	10	0	35795	1919	0	-2394	1268	54534	29965	1800	58653	-122444	787	219	741
180	0	35146596	0	7	0	37252	1919	0	-2394	1639	55347	31234	1800	60261	-121679	982	239	922
181	0	6032269	0	7	0	37527	1919	0	-2394	1659	55722	31370	1800	60675	-122330	987	243	927
182	1	79201746	19	17	0	35672	1632	0	-2629	409	51879	31620	1800	57161	-127597	262	14	241
183	1	5000000	0	10	0	35797	1632	0	-2629	534	52004	31870	1800	57366	-128419	253	14	234
184	2	61523926	0	12	0	36735	1797	0	-2535	996	54711	31620	1830	59539	-127962	697	146	652
185	2	47540009	0	11	0	37330	1933	0	-2492	1258	56732	31370	1860	61083	-127708	786	209	739
186	0	37662296	0	7	0	38860	1933	0	-2492	1645	57610	32690	1860	62781	-126837	984	238	924
187	0	7008119	0	7	0	39133	1933	0	-2492	1664	58041	32795	1860	63216	-127481	988	243	927
188	1	83002448	19	17	0	37205	1627	0	-2730	374	54057	33045	1860	59569	-132888	272	14	251
189	1	5000000	0	10	0	37330	1627	0	-2730	499	54182	33295	1860	59774	-133714	261	14	241
190	2	61609574	0	12	0	38270	1792	0	-2636	962	56894	33045	1890	61952	-133246	698	146	654
191	2	48719333	0	11	0	38887	1929	0	-2586	1227	58958	32795	1920	63531	-133026	785	198	737
192	0	40172999	0	7	0	40486	1929	0	-2586	1634	59896	34163	1920	65312	-132055	985	237	925
193	0	8030103	0	7	0	40759	1929	0	-2586	1653	60383	34242	1920	65774	-132672	988	243	928
194	1	82577640	21	17	0	38759	1612	0	-2838	334	56256	34492	1920	61994	-138223	285	14	263
195	1	5000000	0	10	0	38884	1612	0	-2838	459	56381	34742	1920	62199	-139053	272	14	251
196	2	61698401	0	12	0	39827	1778	0	-2744	924	59098	34492	1950	64381	-138508	701	146	656
197	2	49164874	0	11	0	40452	1915	0	-2691	1191	61179	34242	1980	65975	-138359	784	187	736
198	0	41717750	0	7	0	42109	1915	0	-2691	1620	62164	35652	1980	67829	-137304	986	235	925
199	0	9395418	0	7	0	42394	1915	0	-2691	1640	62719	35712	1980	68330	-137882	989	242	928
200	1	85838943	20	17	0	40326	1594	0	-2955	311	58452	35962	1980	64420	-143574	303	14	280
201	1	5000000	0	10	0	40451	1594	0	-2955	436	58577	36212	1980	64625	-144404	288	14	266
202	2	61799650	0	12	0	41397	1760	0	-2861	903	61300	35962	2010	66811	-143776	704	146	659
203	2	49502288	0	11	0	42028	1898	0	-2806	1170	63394	35712	2040	68416	-143693	784	181	735
204	0	42984444	0	7	0	43726	1898	0	-2806	1625	64438	37142	2040	70334	-142565	987	233	926
205	0	11168104	0	7	0	44035	1898	0	-2806	1653	65072	37188	2040	70893	-143079	989	243	928
206	1	91230106	19	17	0	41891	1561	0	-3085	289	60654	37438	2040	66843	-148923	321	14	296
207	1	5000000	0	10	0	42016	1561	0	-3085	414	60779	37688	2040	67048	-149752	305	14	282
208	2	61900762	0	12	0	42965	1727	0	-2991	882	63508	37438	2070	69240	-149042	707	146	662
209	2	49837911	0	11	0	43605	1865	0	-2935	1150	65619	37188	2100	70861	-149017	784	177	735
210	0	44443885	0	7	0	45342	1866	0	-2934	1624	66727	38626	2100	72838	-147824	987	233	926
211	0	12679507	0	7	0	45664	1866	0	-2934	1655	67417	38661	2100	73434	-148293	989	242	928
212	1	92070122	21	15	0	43452	1517	0	-3220	261	62867	38911	2100	69262	-154272	334	14	308
213	1	5000000	0	10	0	43577	1517	0	-3220	386	62992	39161	2100	69467	-155101	320	14	296
214	2	62003982	0	12	0	44528	1684	0	-3126	856	65726	38911	2130	71665	-154311	707	146	662
215	2	50174449	0	13	0	45183	1822	0	-3062	1124	67866	38661	2160	73310	-154283	785	175	735
216	0	45065070	0	7	0	46931	1823	0	-3060	1604	69008	40096	2160	75316	-153076	987	233	926
217	0	14135342	0	7	0	47274	1823	0	-3060	1638	69748	40131	2160	75952	-153497	988	242	928
218	1	96102432	20	15	0	45004	1467	0	-3346	230	65081	40381	2160	71664	-159600	345	14	318
219	1	5000000	0	10	0	45129	1467	0	-3346	355	65206	40631	2160	71869	-160429	333	14	308
220	2	62118887	0	11	0	46083	1634	0	-3252	828	67945	40381	2190	74072	-159565	707	146	662
221	2	50493866	0	13	0	46750	1772	0	-3183	1097	70111	40131	2220	75739	-159512	785	175	736
222	0	45570838	0	7	0	48508	1774	0	-3179	1580	71278	41563	2220	77765	-158301	987	233	926
223	0	15382529	0	7	0	48872	1774	0	-3179	1618	72062	41601	2220	78441	-158677	988	241	928
224	1	97836642	24	14	0	46553	1401	0	-3468	162	67296	41851	2220	74060	-164888	354	14	326
225	1	5000000	0	10	0	46678	1401	0	-3468	287	67421	42101	2220	74265	-165712	345	14	318
226	2	62161396	0	10	0	47633	1568	0	-3374	760	70163	41851	2250	76471	-164841	707	146	662
227	2	51069917	0	13	0	48318	1707	0	-3299	1031	72364	41601	2280	78169	-164752	776	175	728
228	0	46079710	0	7	0	50089	1709	0	-3295	1519	73560	43033	2280	80219	-163533	987	233	926
229	0	16184027	0	7	0	50469	1709	0	-3295	1562	74379	43073	2280	80924	-163874	988	239	928
230	1	97694589	26	14	0	48102	1325	0	-3587	81	69513	43323	2280	76449	-170163	359	14	331
231	1	5000000	0	9	0	48227	1325	0	-3587	206	69638	43573	2280	76654	-170987	353	14	326
232	2	62215034	0	10	0	49183	1492	0	-3493	679	72382	43323	2310	78862	-170113	707	146	662
233	2	51912718	0	13	0	49886	1633	0	-3412	951	74620	43073	2340	80592	-169987	765	175	717
234	0	46692560	0	7	0	51669	1636	0	-3406	1445	75842	44506	2340	82666	-168758	987	233	926
235	0	16585843	0	7	0	52061	1636	0	-3406	1499	76688	44546	2340	83393	-169075	988	238	927
236	1	99286808	26	12	0	49649	1250	0	-3699	18	71729	44796	2340	78829	-175444	366	14	338
237	1	5000000	0	9	0	49774	1250	0	-3699	143	71854	45046	2340	79034	-176268	359	14	331
238	2	62292322	0	10	0	50732	1418	0	-3605	618	74602	44796	2370	81246	-175389	707	146	662
239	2	52787737	0	13	0	51451	1559	0	-3516	892	76872	44546	2400	83004	-175233	753	175	706
240	0	47373317	0	7	0	53249	1563	0	-3509	1391	78127	45983	2400	85107	-173968	987	233	926
241	0	17131299	0	7	0	53650	1563	0	-3509	1455	78997	46021	2400	85853	-174267	988	235	927
242	1	102195110	25	12	0	51188	1174	0	-3803	-38	73945	46271	2400	81202	-180715	376	14	347
243	1	5000000	0	9	0	51313	1174	0	-3803	87	74070	46521	2400	81407	-181539	364	14	336
244	2	62358155	0	10	0	52272	1342	0	-3709	563	76821	46271	2430	83622	-180656	707	146	662
245	2	53597529	0	13	0	53005	1484	0	-3616	838	79117	46021	2460	85401	-180472	740	175	694
246	0	48200438	0	7	0	54826	1488	0	-3608	1346	80404	47464	2460	87536	-179154	987	233	926
247	0	17890269	0	7	0	55234	1488	0	-3608	1420	81298	47497	2460	88297	-179435	988	234	927
248	1	104858595	24	12	0	52726	1085	0	-3904	-95	76155	47747	2460	83560	-185964	386	14	356
249	1	5000000	0	9	0	52851	1085	0	-3904	30	76280	47997	2460	83765	-186788	371	14	342
250	2	62397645	0	10	0	53812	1253	0	-3810	507	79034	47747	2490	85982	-185901	707	146	662
251	2	53984064	0	13	0	54550	1395	0	-3716	783	81341	47497	2520	87771	-185706	724	175	680
252	0	49262214	0	7	0	56399	1400	0	-3706	1299	82671	48947	2520	89951	-184320	987	233	926
253	0	18061483	0	7	0	56803	1400	0	-3706	1376	83571	48974	2520	90711	-184602	988	233	926
254	1	104992947	26	12	0	54262	981	0	-4000	-140	78357	49224	2520	85904	-191124	400	14	368
255	1	5000000	0	8	0	54387	981	0	-4000	-15	78482	49474	2520	86109	-191948	385	14	355
256	2	62332193	0	10	0	55345	1148	0	-3906	460	81229	49224	2550	88320	-191065	707	146	662
257	2	54000000	0	13	0	56084	1290	0	-3812	736	83537	48974	2580	90109	-190869	717	175	673
258	0	50143955	0	7	0	57951	1296	0	-3800	1258	84905	50426	2580	92320	-189424	987	233	926
259	0	18041438	0	7	0	58351	1296	0	-3800	1335	85805	50448	2580	93075	-189727	987	233	926
260	1	105573847	27	12	0	55784	874	0	-4089	-185	80540	50698	2580	88212	-196291	410	14	378
261	1	5000000	0	8	0	55909	874	0	-4089	-60	80665	50948	2580	88417	-197115	396	14	365
262	2	62368475	0	10	0	56869	1041	0	-3995	415	83415	50698	2610	90631	-196228	707	146	662
263	2	54000000	0	13	0	57608	1183	0	-3901	691	85723	50448	2640	92420	-196033	717	175	673
264	0	51357186	0	7	0	59504	1190	0	-3887	1219	87124	51914	2640	94672	-194534	985	233	924
265	0	18033249	0	7	0	59899	1190	0	-3887	1296	88024	51933	2640	95426	-194866	987	233	926
266	1	106717227	26	15	0	57314	764	0	-4171	-242	82721	52183	2640	90524	-201451	421	14	388
267	1	5000000	0	8	0	57439	764	0	-4171	-117	82846	52433	2640	90729	-202275	407	14	375
268	2	62391949	0	10	0	58399	931	0	-4077	358	85598	52183	2670	92944	-201386	707	146	662
269	2	54000000	0	13	0	59138	1073	0	-3983	634	87906	51933	2700	94733	-201191	717	175	673
270	0	52381570	0	7	0	61057	1081	0	-3968	1171	89333	53413	2700	97018	-199655	976	233	916
271	0	18028218	0	7	0	61451	1081	0	-3968	1248	90233	53430	2700	97770	-200016	987	233	926
272	1	106118610	25	15	0	58851	654	0	-4239	-296	84901	53680	2700	92836	-206622	425	14	392
273	1	5000000	0	8	0	58976	654	0	-4239	-171	85026	53930	2700	93041	-207446	418	14	386
274	2	62425165	0	10	0	59938	821	0	-4145	306	87781	53680	2730	95258	-206552	707	146	662
275	2	54000000	0	13	0	60677	963	0	-4051	582	90089	53430	2760	97047	-206356	717	175	673
276	0	53229852	0	7	0	62616	971	0	-4035	1125	91531	54926	2760	99357	-204789	964	233	905
