fixture,truth,panel_corr,mean_abs_illum_diff_R,mean_abs_illum_diff_G,mean_abs_illum_diff_B,finding
r2a_colorconst_0363.img,SAME_SURFACE,0.8389,43.2,17.6,20.7,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0364.img,SAME_SURFACE,0.3682,39.0,17.2,3.3,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0365.img,SAME_SURFACE,0.2293,21.2,4.2,23.0,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0366.img,SAME_SURFACE,0.6001,19.1,36.7,52.5,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0367.img,SAME_SURFACE,0.8033,5.9,2.3,12.0,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0368.img,SAME_SURFACE,0.9227,18.4,1.9,15.2,MISLABELED: high-corr but no same-crop alignment at any shift in +-32 (different crop/photo)
r2a_colorconst_0369.img,SAME_SURFACE,0.5842,12.7,39.0,37.2,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0370.img,SAME_SURFACE,0.9242,14.6,26.7,61.7,MISLABELED: high-corr but no same-crop alignment at any shift in +-32 (different crop/photo)
r2a_colorconst_0371.img,SAME_SURFACE,0.943,11.1,22.7,50.3,MISLABELED: high-corr but no same-crop alignment at any shift in +-32 (different crop/photo)
r2a_colorconst_0372.img,SAME_SURFACE,0.8675,20.1,54.7,43.0,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0373.img,SAME_SURFACE,0.1928,21.5,0.3,23.8,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0374.img,SAME_SURFACE,0.7273,15.1,28.8,36.8,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0375.img,SAME_SURFACE,0.6653,4.6,13.9,12.3,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0376.img,SAME_SURFACE,0.0809,33.9,13.9,10.7,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0377.img,SAME_SURFACE,0.9448,0.8,9.1,24.3,MISLABELED: high-corr but no same-crop alignment at any shift in +-32 (different crop/photo)
r2a_colorconst_0378.img,SAME_SURFACE,0.7559,8.0,28.3,48.1,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0379.img,SAME_SURFACE,0.3141,88.3,85.6,77.6,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0380.img,SAME_SURFACE,0.1556,13.3,14.9,26.6,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0381.img,SAME_SURFACE,0.4145,33.6,4.5,39.5,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0382.img,SAME_SURFACE,0.2167,47.0,15.1,14.7,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0383.img,SAME_SURFACE,0.8143,28.5,6.6,48.0,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0384.img,SAME_SURFACE,0.6913,22.9,41.2,62.8,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0385.img,SAME_SURFACE,0.3887,0.2,18.9,43.3,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0386.img,SAME_SURFACE,-0.1141,16.8,0.2,15.4,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0387.img,SAME_SURFACE,0.091,12.1,22.1,31.1,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0388.img,SAME_SURFACE,0.6058,6.1,21.2,58.2,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0389.img,SAME_SURFACE,0.6313,4.8,12.8,36.7,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0390.img,SAME_SURFACE,0.6068,43.4,6.7,34.4,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0391.img,SAME_SURFACE,0.0265,17.3,4.2,9.5,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0392.img,SAME_SURFACE,0.2789,76.8,35.1,12.6,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0393.img,SAME_SURFACE,0.7572,4.5,27.0,48.2,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0394.img,SAME_SURFACE,0.2463,75.0,34.8,11.9,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0395.img,SAME_SURFACE,0.9435,11.9,22.4,50.5,MISLABELED: high-corr but no same-crop alignment at any shift in +-32 (different crop/photo)
r2a_colorconst_0396.img,SAME_SURFACE,0.6241,45.3,9.8,21.5,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0397.img,SAME_SURFACE,0.4651,38.5,11.6,20.2,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0398.img,SAME_SURFACE,0.8685,19.6,55.4,44.5,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0399.img,SAME_SURFACE,0.3006,33.0,5.3,21.2,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0400.img,SAME_SURFACE,0.7239,4.1,17.1,34.5,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0401.img,SAME_SURFACE,0.6062,40.8,3.7,45.4,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0402.img,SAME_SURFACE,0.4278,5.5,8.3,28.5,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0403.img,SAME_SURFACE,0.5665,13.9,3.3,22.1,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0404.img,SAME_SURFACE,0.5185,33.3,48.0,67.9,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0405.img,SAME_SURFACE,0.9569,0.0,24.0,72.3,MISLABELED: high-corr but no same-crop alignment at any shift in +-32 (different crop/photo)
r2a_colorconst_0406.img,SAME_SURFACE,0.36,0.9,20.8,37.1,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0407.img,SAME_SURFACE,0.5018,22.7,8.7,41.6,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0408.img,SAME_SURFACE,0.7259,29.7,3.6,34.3,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0409.img,SAME_SURFACE,-0.004,20.9,1.2,19.7,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0410.img,SAME_SURFACE,0.4066,50.7,33.7,14.6,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0411.img,SAME_SURFACE,0.4596,19.0,5.1,26.6,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0412.img,SAME_SURFACE,0.8509,129.7,87.9,36.8,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0413.img,SAME_SURFACE,0.2272,119.2,76.5,24.3,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0414.img,SAME_SURFACE,0.5958,16.8,9.6,50.0,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0415.img,SAME_SURFACE,0.5577,85.8,95.8,98.5,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0416.img,SAME_SURFACE,0.6217,1.1,13.7,27.0,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0417.img,SAME_SURFACE,0.9146,70.9,46.6,8.5,MISLABELED: high-corr but no same-crop alignment at any shift in +-32 (different crop/photo)
r2a_colorconst_0418.img,SAME_SURFACE,0.086,15.5,9.4,36.1,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0419.img,SAME_SURFACE,0.5454,73.8,56.6,1.3,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0420.img,SAME_SURFACE,0.7072,10.4,24.0,56.1,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0421.img,SAME_SURFACE,0.3241,21.7,2.3,15.4,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0422.img,SAME_SURFACE,0.8786,16.4,11.3,55.8,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0423.img,SAME_SURFACE,0.6225,26.1,1.0,23.4,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0424.img,SAME_SURFACE,-0.1664,26.5,11.3,26.5,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0425.img,SAME_SURFACE,0.8423,22.0,10.9,49.3,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0426.img,SAME_SURFACE,0.6923,51.9,70.1,86.2,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0427.img,SAME_SURFACE,0.702,11.2,26.4,57.3,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0428.img,SAME_SURFACE,0.4234,28.3,14.7,61.6,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0429.img,SAME_SURFACE,0.7482,15.0,32.9,45.5,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0430.img,SAME_SURFACE,0.0723,3.2,0.4,13.5,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0431.img,SAME_SURFACE,0.3022,1.5,8.8,13.8,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0432.img,SAME_SURFACE,0.4455,53.1,16.6,26.3,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0433.img,SAME_SURFACE,0.3033,23.5,38.9,48.6,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0434.img,SAME_SURFACE,0.8609,20.9,55.7,42.2,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0435.img,SAME_SURFACE,0.8945,13.4,47.3,47.1,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0436.img,SAME_SURFACE,0.7599,6.0,27.8,48.7,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0437.img,SAME_SURFACE,0.3973,13.5,16.9,15.2,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0438.img,SAME_SURFACE,-0.2532,59.9,41.9,3.2,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0439.img,SAME_SURFACE,0.8475,6.0,21.8,64.0,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0440.img,SAME_SURFACE,0.2256,2.3,20.8,25.0,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0441.img,SAME_SURFACE,0.2459,27.1,5.7,41.8,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0442.img,SAME_SURFACE,0.4252,32.0,11.8,13.8,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0443.img,SAME_SURFACE,0.5196,1.2,10.6,21.6,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0444.img,SAME_SURFACE,0.6368,41.3,4.1,45.2,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0445.img,SAME_SURFACE,0.0833,51.8,25.5,2.2,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0446.img,SAME_SURFACE,0.8609,14.9,7.8,29.3,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0447.img,SAME_SURFACE,0.6369,10.4,2.6,28.2,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0448.img,SAME_SURFACE,0.5176,1.2,2.3,11.6,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0449.img,SAME_SURFACE,0.9417,10.4,29.5,60.9,MISLABELED: high-corr but no same-crop alignment at any shift in +-32 (different crop/photo)
r2a_colorconst_0450.img,SAME_SURFACE,0.212,17.6,10.8,36.0,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0451.img,SAME_SURFACE,0.4521,2.4,31.2,58.4,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0452.img,SAME_SURFACE,0.3511,69.1,29.0,12.8,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0453.img,SAME_SURFACE,0.4213,13.2,5.9,28.6,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0454.img,SAME_SURFACE,0.6261,15.5,27.1,44.1,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0455.img,SAME_SURFACE,0.6244,66.1,93.0,95.2,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0456.img,SAME_SURFACE,0.7245,0.6,13.4,30.8,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0457.img,SAME_SURFACE,0.5874,54.1,16.8,12.6,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0458.img,SAME_SURFACE,0.5259,4.7,26.4,45.6,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0459.img,SAME_SURFACE,0.1454,1.5,15.4,30.8,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0460.img,SAME_SURFACE,0.4941,19.1,39.2,59.8,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0461.img,SAME_SURFACE,0.9138,6.0,22.4,55.7,MISLABELED: high-corr but no same-crop alignment at any shift in +-32 (different crop/photo)
r2a_colorconst_0462.img,SAME_SURFACE,0.0721,6.7,18.0,9.7,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0463.img,SAME_SURFACE,-0.2949,1.8,35.5,71.9,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0464.img,SAME_SURFACE,0.4738,52.0,67.2,83.1,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0465.img,SAME_SURFACE,0.0056,52.7,27.7,4.1,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0466.img,SAME_SURFACE,0.4312,14.8,33.5,38.6,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0467.img,SAME_SURFACE,0.337,61.6,24.7,16.0,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0468.img,SAME_SURFACE,0.3549,33.8,10.6,10.3,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0469.img,SAME_SURFACE,0.6134,10.7,0.2,27.6,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0470.img,SAME_SURFACE,0.4777,1.5,25.5,54.7,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0471.img,SAME_SURFACE,0.4527,94.9,55.4,1.2,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0472.img,SAME_SURFACE,0.1105,11.0,3.4,4.8,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0473.img,SAME_SURFACE,0.5399,21.3,8.9,34.4,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0474.img,SAME_SURFACE,0.4032,15.4,1.1,16.9,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0475.img,SAME_SURFACE,0.6294,1.0,22.8,42.6,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0476.img,SAME_SURFACE,0.0781,67.6,73.0,78.1,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0477.img,SAME_SURFACE,0.5638,23.3,13.9,43.3,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0478.img,SAME_SURFACE,0.2425,76.3,35.5,11.1,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0479.img,SAME_SURFACE,0.4939,26.3,4.4,33.3,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0480.img,SAME_SURFACE,0.2773,3.3,23.4,40.5,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0481.img,SAME_SURFACE,0.1982,4.1,16.7,37.6,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0482.img,SAME_SURFACE,0.5068,4.5,28.5,36.3,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0483.img,SAME_SURFACE,0.6105,1.1,8.0,7.1,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0484.img,SAME_SURFACE,0.3127,28.6,11.2,20.3,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0485.img,SAME_SURFACE,0.0572,6.6,17.0,26.7,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0486.img,SAME_SURFACE,0.568,17.9,6.7,22.5,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0487.img,SAME_SURFACE,0.1161,70.3,75.0,77.4,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0488.img,SAME_SURFACE,0.6678,13.5,39.7,39.3,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0489.img,SAME_SURFACE,0.4333,37.8,9.7,20.4,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0490.img,SAME_SURFACE,0.7044,26.2,3.2,41.8,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0491.img,SAME_SURFACE,0.6007,20.7,12.3,42.2,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0492.img,SAME_SURFACE,0.4533,37.5,12.3,28.5,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0493.img,SAME_SURFACE,-0.1945,38.6,1.1,28.7,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0494.img,SAME_SURFACE,0.1709,8.7,18.7,46.9,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0495.img,SAME_SURFACE,0.927,13.9,1.6,15.4,MISLABELED: high-corr but no same-crop alignment at any shift in +-32 (different crop/photo)
r2a_colorconst_0496.img,SAME_SURFACE,0.6127,11.8,18.8,42.2,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0497.img,SAME_SURFACE,0.736,39.9,17.2,28.5,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0498.img,SAME_SURFACE,0.0882,29.3,9.5,14.4,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0499.img,SAME_SURFACE,-0.3489,67.2,1.1,58.7,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0500.img,SAME_SURFACE,0.4165,10.8,30.2,37.5,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0501.img,SAME_SURFACE,0.3472,8.9,29.4,23.3,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0502.img,SAME_SURFACE,0.2814,26.0,6.0,11.1,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0503.img,SAME_SURFACE,0.7157,3.1,36.2,64.4,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0504.img,SAME_SURFACE,0.2251,39.5,12.9,12.7,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0505.img,SAME_SURFACE,0.6109,12.2,27.4,54.3,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0506.img,SAME_SURFACE,0.516,44.9,1.5,44.6,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0507.img,SAME_SURFACE,0.4283,44.2,18.3,8.8,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0508.img,SAME_SURFACE,0.34,52.7,17.6,20.4,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0509.img,SAME_SURFACE,0.5338,10.2,29.4,50.2,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0510.img,SAME_SURFACE,0.5754,112.5,86.6,28.0,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0511.img,SAME_SURFACE,0.4763,32.1,12.0,16.5,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0512.img,SAME_SURFACE,0.9922,6.1,10.2,55.2,MISLABELED: high-corr but no same-crop alignment at any shift in +-32 (different crop/photo)
r2a_colorconst_0513.img,SAME_SURFACE,0.3469,7.0,11.3,24.6,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0514.img,SAME_SURFACE,0.8453,30.9,10.9,51.1,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0515.img,SAME_SURFACE,0.6299,31.0,44.2,42.0,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0516.img,SAME_SURFACE,0.1766,5.1,35.3,63.6,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0517.img,SAME_SURFACE,0.3851,33.4,22.7,15.2,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0518.img,SAME_SURFACE,-0.4122,57.0,26.6,15.8,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0519.img,SAME_SURFACE,0.4771,6.7,21.3,50.2,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0520.img,SAME_SURFACE,0.4242,53.0,93.9,141.2,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0521.img,SAME_SURFACE,0.8148,24.5,14.4,15.7,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0522.img,SAME_SURFACE,0.4423,25.9,29.4,22.1,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0523.img,SAME_SURFACE,0.2974,28.1,7.0,9.7,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0524.img,SAME_SURFACE,0.6118,47.6,21.6,8.2,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0525.img,SAME_SURFACE,0.4269,33.1,7.2,20.1,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0526.img,SAME_SURFACE,0.4071,26.6,5.8,40.9,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0527.img,SAME_SURFACE,0.2589,29.8,34.2,34.8,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0528.img,SAME_SURFACE,0.6258,11.5,32.4,52.0,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0529.img,SAME_SURFACE,0.6307,13.1,8.8,47.9,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0530.img,SAME_SURFACE,0.4914,21.8,3.1,28.6,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0531.img,SAME_SURFACE,0.3423,73.5,42.2,5.0,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0532.img,SAME_SURFACE,0.577,40.3,44.7,46.3,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0533.img,SAME_SURFACE,0.622,7.0,25.4,64.0,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0534.img,SAME_SURFACE,0.4546,53.7,92.4,139.0,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0535.img,SAME_SURFACE,0.6066,2.7,40.1,74.4,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0536.img,SAME_SURFACE,0.3018,36.8,9.1,20.5,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0537.img,SAME_SURFACE,0.6163,9.8,32.0,47.3,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0538.img,SAME_SURFACE,0.4148,20.3,1.4,17.8,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0539.img,SAME_SURFACE,0.7039,14.4,21.3,54.7,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0540.img,SAME_SURFACE,0.5254,2.0,29.0,57.6,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0541.img,SAME_SURFACE,0.2189,69.6,29.4,15.1,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0542.img,SAME_SURFACE,-0.0103,18.2,5.6,7.6,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0543.img,SAME_SURFACE,0.1437,14.9,23.9,29.9,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0544.img,SAME_SURFACE,0.5504,26.6,6.0,44.0,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0545.img,SAME_SURFACE,0.5277,43.0,18.4,9.3,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0546.img,SAME_SURFACE,0.6294,30.1,8.4,13.7,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0547.img,SAME_SURFACE,0.2957,4.5,17.7,28.7,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0548.img,SAME_SURFACE,-0.4834,6.0,10.7,34.9,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0549.img,SAME_SURFACE,0.5373,39.0,47.0,54.8,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0550.img,SAME_SURFACE,0.3632,2.9,27.8,45.3,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0551.img,SAME_SURFACE,0.1427,94.8,48.5,0.2,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0552.img,SAME_SURFACE,0.2667,0.5,26.5,50.6,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0553.img,SAME_SURFACE,0.4992,1.2,5.2,28.2,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0554.img,SAME_SURFACE,0.4002,55.7,27.7,20.5,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0555.img,SAME_SURFACE,0.3975,31.5,5.7,36.8,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0556.img,SAME_SURFACE,0.9856,3.0,9.6,54.2,MISLABELED: high-corr but no same-crop alignment at any shift in +-32 (different crop/photo)
