step	param	old	new	L
-8	7	-232	-240	102336075898776
8	0	1240	1248	101892826900664
-8	3	-240	-248	101776655387850
8	4	240	248	101387733071624
-8	5	-16	-24	101200430840051
-8	7	-240	-248	101198523346236
8	0	1248	1256	100856761219437
-8	3	-248	-256	100749795039798
8	4	248	256	100382798268839
-8	5	-24	-32	100154774013674
-8	7	-248	-256	100153258018642
8	0	1256	1264	99825606291678
-8	1	0	-8	99817101916694
-8	3	-256	-264	99745713944400
8	4	256	264	99449617927992
-8	5	-32	-40	99203244422051
-8	7	-256	-264	99201361928286
-8	8	96	88	99181825581396
8	0	1264	1272	98717172014341
-8	1	-8	-16	98610194722078
-8	3	-264	-272	98509786014392
8	4	264	272	98070394272323
-8	5	-40	-48	98013453501551
-8	7	-264	-272	98011626007896
8	0	1272	1280	97653133454098
-8	1	-16	-24	97534197868565
-8	3	-272	-280	97447580730605
8	4	272	280	97099503340575
-8	5	-48	-56	97005436889657
-8	7	-272	-280	97003619396022
8	0	1280	1288	96605516762364
-8	1	-24	-32	96517255676503
-8	3	-280	-288	96408356537380
8	4	280	288	96098798585544
-8	5	-56	-64	95966676489523
-8	7	-280	-288	95964873995918
8	0	1288	1296	95642865483383
-8	1	-32	-40	95549589629276
-8	3	-288	-296	95478414106364
8	4	288	296	95247257877228
-8	5	-64	-72	95091102391291
-8	7	-288	-296	95089314897716
8	0	1296	1304	94727225183362
-8	1	-40	-48	94626364315635
-8	3	-296	-304	94558191884378
8	4	296	304	94291148715329
-8	5	-72	-80	94099734797831
-8	7	-296	-304	94097957304276
8	0	1304	1312	93808778145862
-8	1	-48	-56	93726879834041
-8	3	-304	-312	93649556762379
8	4	304	312	93510206176814
-8	5	-80	-88	93281008222765
-8	7	-304	-312	93279245729240
-8	8	88	80	93276178135752
8	0	1312	1320	92890063551159
-8	1	-56	-64	92739362358807
-8	3	-312	-320	92698917370004
8	4	312	320	92431179538598
-8	5	-88	-96	92387435521200
8	6	-176	-168	92386657053438
-8	7	-312	-320	92385289058702
8	0	1320	1328	91958927369117
-8	3	-320	-328	91874707980727
8	4	320	328	91735230191166
-8	5	-96	-104	91651835888920
-8	6	-168	-176	91651216490623
-8	7	-320	-328	91649518997228
8	0	1328	1336	91286774962856
-8	3	-328	-336	91226423292494
8	4	328	336	91046562081091
-8	5	-104	-112	90924642317822
-8	7	-328	-336	90922954824447
8	0	1336	1344	90609303283203
-8	1	-64	-72	90595823801704
-8	3	-336	-344	90538013130909
8	4	336	344	90454049973575
-8	5	-112	-120	90312775926526
-8	7	-336	-344	90311098433171
8	0	1344	1352	89986339517516
-8	1	-72	-80	89922503599671
-8	3	-344	-352	89840436554570
8	4	344	352	89763791439066
-8	5	-120	-128	89585973653818
-8	7	-344	-352	89584311160493
8	0	1352	1360	89292908105560
-8	1	-80	-88	89187491881979
-8	3	-352	-360	89106326731594
-8	5	-128	-136	89060516329850
-8	7	-352	-360	89058898836615
8	0	1360	1368	88721333203087
-8	1	-88	-96	88698285709949
-8	3	-360	-368	88609786473952
8	4	352	360	88523959340862
-8	5	-136	-144	88444308375975
-8	7	-360	-368	88442705882770
8	0	1368	1376	88166999580390
-8	1	-96	-104	88061751560992
-8	3	-368	-376	87998520626568
8	4	360	368	87957933538597
-8	5	-144	-152	87857402078228
-8	7	-368	-376	87855809585043
8	0	1376	1384	87543854428731
-8	1	-104	-112	87466685009252
-8	3	-376	-384	87413512710396
8	4	368	376	87405285769298
-8	5	-152	-160	87274005567958
-8	7	-376	-384	87272428074803
8	0	1384	1392	87002148776696
-8	1	-112	-120	86906206351577
-8	3	-384	-392	86826924279579
-8	7	-384	-392	86825676285083
8	0	1392	1400	86655723208467
-8	1	-120	-128	86554060792759
-8	3	-392	-400	86501116207100
-8	5	-160	-168	86390694451526
-8	7	-392	-400	86389181958501
8	0	1400	1408	86098495342083
-8	1	-128	-136	86031965573518
-8	3	-400	-408	85967569850597
-8	7	-400	-408	85966072357602
8	0	1408	1416	85750364055812
-8	1	-136	-144	85656947851125
-8	3	-408	-416	85603008653286
-8	5	-168	-176	85540757749904
-8	7	-408	-416	85539305256999
8	0	1416	1424	85259683491379
-8	1	-144	-152	85181702998474
-8	3	-416	-424	85131106968030
-8	7	-416	-424	85129674475165
8	0	1424	1432	84873233864593
-8	1	-152	-160	84830518739811
-8	3	-424	-432	84749047197079
-8	5	-176	-184	84721019655067
8	6	-176	-168	84720899705074
-8	7	-424	-432	84719512212299
8	0	1432	1440	84412934586829
-8	1	-160	-168	84346544741957
-8	3	-432	-440	84279872887058
8	4	376	384	84262676195195
-8	5	-184	-192	84209573308428
-8	6	-168	-176	84209497136764
-8	7	-432	-440	84208124644019
8	0	1440	1448	83958458187573
-8	1	-168	-176	83877769345492
-8	3	-440	-448	83814553009831
-8	7	-440	-448	83813195517116
8	0	1448	1456	83541837610731
-8	1	-176	-184	83490921880095
-8	3	-448	-456	83413369908888
-8	5	-192	-200	83397510056747
8	6	-176	-168	83397017929163
-8	7	-448	-456	83395969935067
8	0	1456	1464	83141689533692
-8	1	-184	-192	83072851948949
-8	3	-456	-464	83023286912793
-8	7	-456	-464	83021994420208
8	0	1464	1472	82785677618894
-8	1	-192	-200	82713354127684
-8	3	-464	-472	82661735677024
-8	4	384	376	82656398130058
-8	7	-464	-472	82655155637573
8	0	1472	1480	82388013281338
-8	1	-200	-208	82324273938715
-8	3	-472	-480	82250638393866
-8	7	-472	-480	82249415901421
8	0	1480	1488	82044028280586
-8	1	-208	-216	81960671287946
-8	3	-480	-488	81913950553417
-8	7	-480	-488	81912986559489
8	0	1488	1496	81733480815545
-8	1	-216	-224	81642888296623
-8	3	-488	-496	81594631623782
-8	4	376	368	81525534224382
-8	7	-488	-496	81524381732077
8	0	1496	1504	81343736582571
-8	1	-224	-232	81262348037657
-8	3	-496	-504	81187291521500
-8	5	-200	-208	81182715326918
-8	7	-496	-504	81181607834703
8	0	1504	1512	80899008976147
-8	1	-232	-240	80816716511839
-8	3	-504	-512	80743038535552
-8	7	-504	-512	80742166541808
8	0	1512	1520	80538095560302
-8	1	-240	-248	80486656217853
-8	3	-512	-520	80413214666431
-8	7	-512	-520	80412142174286
8	0	1520	1528	80240058537520
-8	1	-248	-256	80140773069329
-8	3	-520	-528	80069277105592
-8	4	368	360	80018160161169
-8	7	-520	-528	80017137669124
8	0	1528	1536	79835510540354
-8	1	-256	-264	79746060211298
-8	3	-528	-536	79695695182297
-8	7	-528	-536	79694692690292
8	0	1536	1544	79537254003156
-8	1	-264	-272	79516825547778
-8	3	-536	-544	79447095231613
-8	4	360	352	79409052477743
8	6	-168	-160	79408998250091
-8	7	-536	-544	79408045758186
8	0	1544	1552	79230744831056
-8	1	-272	-280	79149330777652
-8	3	-544	-552	79074361450001
-8	5	-208	-216	79067259386570
-8	7	-544	-552	79066351894755
8	0	1552	1560	78809829447898
-8	1	-280	-288	78703023332030
-8	3	-552	-560	78668240813120
-8	7	-552	-560	78667353321345
8	0	1560	1568	78461038489292
-8	1	-288	-296	78417725037298
-8	3	-560	-568	78377680449643
-8	7	-560	-568	78376984456251
8	0	1568	1576	78221245280199
-8	1	-296	-304	78102789414160
-8	3	-568	-576	78054020357979
-8	5	-216	-224	77998430888181
-8	7	-568	-576	77997770894861
8	0	1576	1584	77773102574013
-8	1	-304	-312	77672352400471
-8	3	-576	-584	77621677788618
-8	7	-576	-584	77620870297003
8	0	1584	1592	77461424195345
-8	1	-312	-320	77371158879033
-8	3	-584	-592	77311534543573
-8	5	-224	-232	77286951385786
8	6	-160	-152	77286915263606
-8	7	-584	-592	77286152772081
8	0	1592	1600	77061932517463
-8	1	-320	-328	77010502037086
-8	3	-592	-600	76940703776199
-8	6	-152	-160	76940595131515
-8	7	-592	-600	76939852640030
8	0	1600	1608	76745146085156
-8	1	-328	-336	76716391463765
-8	3	-600	-608	76651720557871
-8	7	-600	-608	76651140564711
8	0	1608	1616	76561238481098
-8	1	-336	-344	76506166644889
-8	3	-608	-616	76435971947676
-8	4	352	344	76370151755345
-8	7	-608	-616	76369479264000
8	0	1616	1624	76212044775973
-8	1	-344	-352	76143381141607
-8	3	-616	-624	76082931241325
-8	5	-232	-240	76080556442150
8	6	-160	-152	76080035453350
-8	7	-616	-624	76079407962095
8	0	1624	1632	75866649293052
-8	1	-352	-360	75758467326427
-8	3	-624	-632	75731301186233
-8	7	-624	-632	75730688695008
8	0	1632	1640	75536464507430
-8	1	-360	-368	75470717415023
-8	3	-632	-640	75409772204098
-8	7	-632	-640	75409179712913
8	0	1640	1648	75333265665503
-8	1	-368	-376	75236304734470
-8	3	-640	-648	75187944162915
-8	4	344	336	75129205829525
-8	7	-640	-648	75128663338440
8	0	1648	1656	74942671434888
-8	1	-376	-384	74877428805163
-8	3	-648	-656	74818174838489
-8	7	-648	-656	74817652347444
8	0	1656	1664	74766289635049
-8	1	-384	-392	74683477037084
-8	3	-656	-664	74636573000848
-8	4	336	328	74607539613945
-8	7	-656	-664	74607067123000
8	0	1664	1672	74439354894681
-8	1	-392	-400	74357360891809
-8	3	-664	-672	74303052293992
-8	7	-664	-672	74302599803087
8	0	1672	1680	74238207993231
-8	1	-400	-408	74157391125395
-8	3	-672	-680	74085113688781
-8	4	328	320	74071478213540
-8	7	-672	-680	74071154220892
8	0	1680	1688	73905857234615
-8	1	-408	-416	73828418567216
-8	3	-680	-688	73781971468062
-8	7	-680	-688	73781659475438
8	0	1688	1696	73688850665466
-8	1	-416	-424	73628842304929
-8	3	-688	-696	73561852957726
-8	4	320	312	73561327420686
-8	7	-688	-696	73561055428142
8	0	1696	1704	73393982413429
-8	1	-424	-432	73321368455534
-8	3	-696	-704	73271520553426
-8	7	-696	-704	73271198062781
-8	8	80	72	73268166895184
8	0	1704	1712	73061625021809
-8	1	-432	-440	73000616210866
-8	3	-704	-712	72937309317818
8	4	312	320	72920838861424
-8	5	-240	-248	72857467275649
8	6	-152	-144	72856075244349
-8	7	-704	-712	72855807753814
8	0	1712	1720	72685573250025
-8	1	-440	-448	72597441875466
-8	3	-712	-720	72563869341213
8	6	-144	-136	72563769216917
-8	7	-712	-720	72563569224517
8	0	1720	1728	72432252594701
-8	1	-448	-456	72347078327100
-8	3	-720	-728	72292113404411
-8	5	-248	-256	72268799073444
8	6	-136	-128	72268797203087
-8	7	-720	-728	72268633210759
8	0	1728	1736	72097206498811
-8	1	-456	-464	72035781422153
-8	3	-728	-736	71978049845455
-8	6	-128	-136	71977912798791
-8	7	-728	-736	71977725308416
8	0	1736	1744	71833853232212
-8	1	-464	-472	71796322217910
-8	3	-736	-744	71734193107470
-8	7	-736	-744	71734025617135
-8	1	-472	-480	71683137773064
-8	3	-744	-752	71620414673562
8	6	-136	-128	71620253264706
-8	7	-744	-752	71620110774421
-8	1	-480	-488	71566411542213
-8	3	-752	-760	71504822178079
8	6	-128	-120	71504819623079
-8	7	-752	-760	71504727630895
8	0	1744	1752	71496672062595
-8	1	-488	-496	71442679920572
-8	3	-760	-768	71376749606319
-8	4	320	312	71315979188914
-8	7	-760	-768	71315916698789
8	0	1752	1760	71130123939153
-8	1	-496	-504	71070995079702
-8	3	-768	-776	71012309123774
-8	7	-768	-776	71012261633679
-8	1	-504	-512	70951246713708
-8	3	-776	-784	70898774018912
-8	7	-776	-784	70898756528877
-8	1	-512	-520	70858548458989
-8	3	-784	-792	70798329155368
8	6	-120	-112	70797343857936
-8	7	-784	-792	70797343359935
8	0	1760	1768	70775974053851
-8	1	-520	-528	70699399415938
-8	3	-792	-800	70659344790647
-8	4	312	304	70568038809107
8	6	-112	-104	70568009967569
8	0	1768	1776	70407802754109
-8	1	-528	-536	70376621465787
-8	3	-800	-808	70313310536733
-8	6	-104	-112	70313139322941
8	0	1776	1784	70285435226467
-8	1	-536	-544	70234332607821
-8	3	-808	-816	70172376859585
-8	4	304	296	70127890469954
8	6	-112	-104	70127814036826
8	0	1784	1792	69986807699444
-8	1	-544	-552	69932887757121
-8	3	-816	-824	69897090285626
-8	6	-104	-112	69897072422698
8	0	1792	1800	69863451338276
-8	1	-552	-560	69790722982674
-8	3	-824	-832	69741406412963
-8	4	296	288	69670911424020
8	6	-112	-104	69670685259360
8	0	1800	1808	69539132116817
-8	1	-560	-568	69442899686310
-8	3	-832	-840	69394020383450
8	0	1808	1816	69375127767869
-8	1	-568	-576	69341250369231
-8	3	-840	-848	69277234272177
-8	4	288	280	69220386445984
8	0	1816	1824	69100676671205
-8	1	-576	-584	69030070448342
-8	3	-848	-856	68993520039474
8	0	1824	1832	68973345727883
-8	1	-584	-592	68905003330997
-8	3	-856	-864	68856706334649
-8	4	280	272	68817017900494
8	0	1832	1840	68723298215884
-8	1	-592	-600	68640340575048
-8	3	-864	-872	68586286304285
-8	5	-256	-264	68583307469770
8	0	1840	1848	68388851107818
-8	1	-600	-608	68366770457599
-8	3	-872	-880	68311079537534
8	0	1848	1856	68199697147937
-8	1	-608	-616	68151700987307
-8	3	-880	-888	68100581796471
8	0	1856	1864	68044582184483
-8	1	-616	-624	67979836548875
-8	3	-888	-896	67934601523111
-8	5	-264	-272	67852321882953
8	6	-104	-96	67852211787023
8	0	1864	1872	67702785746093
-8	1	-624	-632	67669102523807
-8	3	-896	-904	67613071037179
-8	6	-96	-104	67613065913789
8	0	1872	1880	67553889037146
-8	1	-632	-640	67468565997845
-8	3	-904	-912	67426828100514
-8	5	-272	-280	67372847629362
8	6	-104	-96	67372302066538
8	0	1880	1888	67227648763830
-8	1	-640	-648	67196563160242
-8	3	-912	-920	67146576395056
8	0	1888	1896	67080357687608
-8	1	-648	-656	67012031964717
-8	3	-920	-928	66972212463520
-8	5	-280	-288	66963879929274
8	6	-96	-88	66963782264866
8	0	1896	1904	66792555748127
-8	1	-656	-664	66723233718866
-8	3	-928	-936	66677918880204
-8	6	-88	-96	66677896800244
8	0	1904	1912	66612512302676
-8	1	-664	-672	66534770222665
-8	3	-936	-944	66502038595818
8	0	1912	1920	66497965338125
-8	1	-672	-680	66454644680376
-8	3	-944	-952	66401050062621
-8	4	272	264	66343750591507
8	0	1920	1928	66262449722460
-8	1	-680	-688	66202362770518
-8	3	-952	-960	66164224683642
8	0	1928	1936	66163325971733
-8	1	-688	-696	66090650081083
-8	3	-960	-968	66047417180704
-8	4	264	256	66004753859104
8	6	-96	-88	66004736119518
8	0	1936	1944	65912384122006
-8	1	-696	-704	65866279570561
-8	3	-968	-976	65814272448424
-8	6	-88	-96	65814189675834
-8	1	-704	-712	65770408302338
-8	3	-976	-984	65721336144368
8	6	-96	-88	65720572490258
-8	1	-712	-720	65657903449763
-8	3	-984	-992	65609086781138
8	6	-88	-80	65608479834158
-8	1	-720	-728	65552661761892
-8	3	-992	-1000	65503726025995
8	6	-80	-72	65503264732255
-8	1	-728	-736	65444627575942
-8	3	-1000	-1008	65410970947347
8	6	-72	-64	65410644420237
-8	1	-736	-744	65356681678941
-8	3	-1008	-1016	65327579767055
8	6	-64	-56	65327418366127
8	0	1944	1952	65325155031732
-8	1	-744	-752	65267659136306
-8	3	-1016	-1024	65233049669821
-8	4	256	248	65219582108842
8	0	1952	1960	65112418870822
-8	1	-752	-760	65053854464472
-8	3	-1024	-1032	65003564840050
8	0	1960	1968	65000369489215
-8	1	-760	-768	64938171295383
-8	3	-1032	-1040	64891266897776
-8	5	-288	-296	64805610217919
8	0	1968	1976	64689083840523
-8	1	-768	-776	64666982318160
-8	3	-1040	-1048	64621600733087
8	0	1976	1984	64608206715626
-8	1	-776	-784	64547271927390
-8	3	-1048	-1056	64518606361686
-8	4	248	240	64497534152185
8	0	1984	1992	64386824717725
-8	1	-784	-792	64339204988068
-8	3	-1056	-1064	64295042080972
-8	1	-792	-800	64238250227680
-8	3	-1064	-1072	64199692245649
8	6	-56	-48	64198827520071
8	0	1992	2000	64190559080156
-8	1	-800	-808	64164453089561
-8	3	-1072	-1080	64119747325624
-8	5	-296	-304	64108769445089
8	0	2000	2008	63987341835962
8	1	-808	-800	63952995205430
-8	3	-1080	-1088	63921949543353
8	0	2008	2016	63914762990775
-8	3	-1088	-1096	63867948690460
-8	5	-304	-312	63843427667926
8	0	2016	2024	63717647322064
-8	3	-1096	-1104	63676725704090
8	0	2024	2032	63670115330901
-8	1	-800	-808	63651091176731
-8	3	-1104	-1112	63621766766295
8	0	2032	2040	63620942235796
-8	1	-808	-816	63566139524871
-8	3	-1112	-1120	63515989986506
-8	4	240	232	63452064579036
8	6	-48	-40	63452040500116
8	0	2040	2048	63425575849836
-8	1	-816	-824	63363716016498
-8	3	-1120	-1128	63318334880183
8	6	-40	-32	63318100467447
-8	1	-824	-832	63291610571912
-8	3	-1128	-1136	63251870058055
8	6	-32	-24	63251602478685
-8	1	-832	-840	63190917974674
-8	3	-1136	-1144	63162023559018
8	6	-24	-16	63161723836982
-8	1	-840	-848	63107048252082
-8	3	-1144	-1152	63076604293950
8	6	-16	-8	63076276682462
-8	1	-848	-856	63001808125856
-8	3	-1152	-1160	62977567095364
8	6	-8	0	62977202757580
-8	1	-856	-864	62936806427137
-8	3	-1160	-1168	62903107422062
8	6	0	8	62902709445382
-8	1	-864	-872	62846871417662
-8	3	-1168	-1176	62809988121751
8	6	8	16	62809566959399
-8	1	-872	-880	62774993659211
-8	3	-1176	-1184	62733234645101
8	6	16	24	62732773046421
-8	1	-880	-888	62677995531875
-8	3	-1184	-1192	62636780054491
8	6	24	32	62636279420199
8	0	2048	2056	62634280175609
-8	1	-888	-896	62615217695970
-8	3	-1192	-1200	62581080616448
-8	4	232	224	62539604126379
8	6	32	40	62539087558625
8	0	2056	2064	62473974701727
-8	1	-896	-904	62425374996950
-8	3	-1200	-1208	62392750939089
8	6	40	48	62392412360729
8	0	2064	2072	62390494034240
-8	1	-904	-912	62347594703227
-8	3	-1208	-1216	62311160547521
-8	5	-312	-320	62262356581724
8	6	48	56	62262145814740
8	0	2072	2080	62179501279358
-8	1	-912	-920	62120609771420
-8	3	-1216	-1224	62092570984071
8	6	56	64	62092457058773
8	0	2080	2088	62069365416680
-8	1	-920	-928	62052932305007
-8	3	-1224	-1232	62014614031634
-8	5	-320	-328	62003832640996
8	6	64	72	62003781682946
8	0	2088	2096	61914702226175
-8	1	-928	-936	61885138890240
-8	3	-1232	-1240	61858087938163
8	6	72	80	61858067069945
8	0	2096	2104	61819183854615
-8	1	-936	-944	61769650773563
-8	3	-1240	-1248	61740480400825
8	6	80	88	61740475976008
-8	1	-944	-952	61698244825202
-8	3	-1248	-1256	61657329288193
8	6	88	96	61657323248087
-8	1	-952	-960	61620635866818
-8	3	-1256	-1264	61580439767745
8	6	96	104	61580430771357
-8	1	-960	-968	61552799432815
-8	3	-1264	-1272	61516652686338
8	6	104	112	61516640606725
-8	1	-968	-976	61476749194172
-8	3	-1272	-1280	61438769658671
8	6	112	120	61438753435555
-8	1	-976	-984	61394891453606
-8	3	-1280	-1288	61360406184675
8	6	120	128	61360385731535
8	0	2104	2112	61354895457129
-8	1	-984	-992	61333595542439
-8	3	-1288	-1296	61307379156070
-8	4	224	216	61278561655970
8	6	128	136	61278543564219
8	0	2112	2120	61247601234168
-8	1	-992	-1000	61194348653415
-8	3	-1296	-1304	61160421206436
8	6	136	144	61160415555354
-8	1	-1000	-1008	61138769898266
-8	3	-1304	-1312	61102244862893
8	6	144	152	61102238108653
-8	1	-1008	-1016	61088660385297
-8	3	-1312	-1320	61052219000557
8	6	152	160	61052208032173
8	0	2120	2128	61037418481777
-8	1	-1016	-1024	60993830840783
-8	3	-1320	-1328	60965907879406
-8	4	216	208	60923982677842
8	6	160	168	60923971709458
8	0	2128	2136	60885944759461
-8	1	-1024	-1032	60838613339563
-8	3	-1328	-1336	60809634499419
8	6	168	176	60809631642195
-8	1	-1032	-1040	60795067777539
-8	3	-1336	-1344	60766815137881
8	6	176	184	60766810879649
8	0	2136	2144	60761112977730
-8	1	-1040	-1048	60725910094934
-8	3	-1344	-1352	60702963582626
-8	4	208	200	60701874163325
8	6	184	192	60701869520165
8	0	2144	2152	60655528566756
-8	1	-1048	-1056	60606420217955
-8	3	-1352	-1360	60570749288114
8	6	192	200	60570748510288
-8	1	-1056	-1064	60543275419828
-8	3	-1360	-1368	60508313435067
8	6	200	208	60508312165147
-8	1	-1064	-1072	60502842098202
-8	3	-1368	-1376	60466607110703
8	6	208	216	60466605253485
8	0	2152	2160	60464486875952
-8	1	-1072	-1080	60420570646516
-8	3	-1376	-1384	60399124172427
-8	5	-328	-336	60393578384364
8	6	216	224	60393577987514
8	0	2160	2168	60322672535789
-8	1	-1080	-1088	60274553938063
-8	3	-1384	-1392	60243993845679
8	0	2168	2176	60235415663029
-8	1	-1088	-1096	60214619824513
-8	3	-1392	-1400	60183789848203
-8	1	-1096	-1104	60136728403826
-8	3	-1400	-1408	60118191778027
8	6	224	232	60118190254123
8	0	2176	2184	60116643420549
-8	1	-1104	-1112	60090203519480
-8	3	-1408	-1416	60059234419167
-8	4	200	192	60030339146736
8	6	232	240	60030337289518
8	0	2184	2192	60019610538900
-8	1	-1112	-1120	59970076900328
-8	3	-1416	-1424	59947210565353
8	6	240	248	59947210311369
-8	1	-1120	-1128	59910816695392
-8	3	-1424	-1432	59886929076845
8	6	248	256	59886928679995
-8	1	-1128	-1136	59857355128530
-8	3	-1432	-1440	59843234253588
8	6	256	264	59843233475762
8	0	2192	2200	59837164886381
-8	1	-1136	-1144	59801891081344
-8	3	-1440	-1448	59772482638566
-8	5	-336	-344	59734600330451
