id	depth	P	Cn	bind01
admit-V2-D-clean-0003	16	0	938	0
admit-V2-D-clean-0004	16	0	922	0
admit-V2-D-clean-0006	16	0	891	0
admit-V2-D-clean-0012	16	0	797	0
admit-V2-D-clean-0013	16	0	782	0
admit-V2-D-clean-0016	16	0	750	0
admit-V2-D-clean-0057	16	0	844	0
admit-V2-D-clean-0059	16	0	813	0
admit-V2-D-clean-0060	16	0	797	0
admit-V2-D-clean-0061	16	0	782	0
admit-V2-D-clean-0066	16	0	750	0
admit-V2-D-clean-0067	16	0	750	0
admit-V2-D-clean-0074	16	0	750	0
admit-V2-D-clean-0082	16	0	750	0
admit-V2-D-clean-0193	16	0	948	0
admit-V2-D-clean-0194	16	0	954	0
admit-V2-D-clean-0245	16	0	907	0
admit-V2-D-decoy-0000	16	0	710	0
admit-V2-D-decoy-0001	16	0	969	0
admit-V2-D-decoy-0002	16	0	954	0
admit-V2-D-decoy-0003	16	0	938	0
admit-V2-D-decoy-0004	16	0	922	0
admit-V2-D-decoy-0005	16	0	907	0
admit-V2-D-decoy-0006	16	0	891	0
admit-V2-D-decoy-0007	16	0	875	0
admit-V2-D-decoy-0008	16	0	860	0
admit-V2-D-decoy-0009	16	0	844	0
admit-V2-D-decoy-0010	16	0	829	0
admit-V2-D-decoy-0011	16	0	813	0
admit-V2-D-decoy-0012	16	0	797	0
admit-V2-D-decoy-0013	16	0	782	0
admit-V2-D-decoy-0014	16	0	766	0
admit-V2-D-decoy-0015	16	0	750	0
admit-V2-D-decoy-0016	16	0	750	0
admit-V2-D-decoy-0017	16	0	750	0
admit-V2-D-decoy-0018	16	0	750	0
admit-V2-D-decoy-0019	16	0	931	0
admit-V2-D-decoy-0020	16	0	969	0
admit-V2-D-decoy-0021	16	0	954	0
admit-V2-D-decoy-0022	16	0	938	0
admit-V2-D-decoy-0023	16	0	922	0
admit-V2-D-decoy-0024	16	0	907	0
admit-V2-D-decoy-0025	16	0	891	0
admit-V2-D-decoy-0026	16	0	875	0
admit-V2-D-decoy-0027	16	0	860	0
admit-V2-D-decoy-0028	16	0	764	0
admit-V2-D-decoy-0029	16	0	969	0
admit-V2-D-decoy-0030	16	0	954	0
admit-V2-D-decoy-0031	16	0	938	0
admit-V2-D-decoy-0032	16	0	922	0
admit-V2-D-decoy-0033	16	0	907	0
admit-V2-D-decoy-0034	16	0	891	0
admit-V2-D-decoy-0035	16	0	875	0
admit-V2-D-decoy-0036	16	0	860	0
admit-V2-D-decoy-0037	16	0	844	0
admit-V2-D-decoy-0038	16	0	829	0
admit-V2-D-decoy-0039	16	0	813	0
admit-V2-D-decoy-0040	16	0	797	0
admit-V2-D-decoy-0041	16	0	782	0
admit-V2-D-decoy-0042	16	0	766	0
admit-V2-D-decoy-0043	16	0	750	0
admit-V2-D-decoy-0044	16	0	750	0
admit-V2-D-decoy-0045	16	0	750	0
admit-V2-D-decoy-0046	16	0	750	0
admit-V2-D-decoy-0047	16	0	750	0
admit-V2-D-decoy-0048	16	0	750	0
admit-V2-D-decoy-0049	16	0	750	0
admit-V2-D-decoy-0050	16	0	750	0
admit-V2-D-decoy-0051	16	0	750	0
admit-V2-D-install-0000	16	0	710	0
admit-V2-D-install-0001	16	0	969	0
admit-V2-D-install-0002	16	0	954	0
admit-V2-D-install-0003	16	0	938	0
admit-V2-D-install-0004	16	0	922	0
admit-V2-D-install-0005	16	0	907	0
admit-V2-D-install-0006	16	0	891	0
admit-V2-D-install-0007	16	0	875	0
admit-V2-D-install-0008	16	0	860	0
admit-V2-D-install-0009	16	0	844	0
admit-V2-D-install-0010	16	0	829	0
admit-V2-D-install-0011	16	0	813	0
admit-V2-D-install-0012	16	0	797	0
admit-V2-D-install-0013	16	0	782	0
admit-V2-D-install-0014	16	0	766	0
admit-V2-D-install-0015	16	0	750	0
admit-V2-D-install-0016	16	0	931	0
admit-V2-D-install-0017	16	0	969	0
admit-V2-D-install-0018	16	0	954	0
admit-V2-D-install-0019	16	0	938	0
admit-V2-D-install-0020	16	0	922	0
admit-V2-D-install-0021	16	0	907	0
admit-V2-D-install-0022	16	0	891	0
admit-V2-D-install-0023	16	0	875	0
admit-V2-D-install-0024	16	0	764	0
admit-V2-D-install-0025	16	0	969	0
admit-V2-D-install-0026	16	0	954	0
admit-V2-D-install-0027	16	0	938	0
admit-V2-D-install-0028	16	0	922	0
admit-V2-D-install-0029	16	0	907	0
admit-V2-D-install-0030	16	0	891	0
admit-V2-D-install-0031	16	0	875	0
admit-V2-D-install-0032	16	0	860	0
admit-V2-D-install-0033	16	0	844	0
admit-V2-D-install-0034	16	0	829	0
admit-V2-D-install-0035	16	0	813	0
admit-V2-D-install-0036	16	0	797	0
admit-V2-D-install-0037	16	0	782	0
admit-V2-D-install-0038	16	0	766	0
admit-V2-D-install-0039	16	0	750	0
admit-V2-D-install-0040	16	0	750	0
admit-V2-D-install-0041	16	0	750	0
admit-V2-D-install-0042	16	0	750	0
admit-V2-D-install-0043	16	0	750	0
admit-V2-D-withhold-0000	16	0	931	0
admit-V2-D-withhold-0001	16	0	969	0
admit-V2-D-withhold-0002	16	0	954	0
admit-V2-D-withhold-0003	16	0	938	0
admit-V2-D-withhold-0004	16	0	922	0
admit-V2-D-withhold-0012	16	0	797	0
admit-V2-D-withhold-0013	16	0	782	0
admit-V2-D-withhold-0020	16	0	750	0
