epoch	subphase	phase	hinge	gwrong	gcorr	v1	v2	v3	v4	v5	v6	v7	v8	c	w1	w2	w3	w4	w5	w6	w7	w8	b
32	0	1	2407	119	0	-149	0	-50	130	-865	-250	0	0	500	1000	0	0	0	0	0	0	0	-99928
33	0	1	612	120	0	-149	0	-50	172	-990	0	0	0	500	1000	0	0	0	0	0	0	0	-99928
34	0	2	2847	221	0	-146	0	-75	108	-490	-500	0	0	750	1000	0	0	0	0	0	0	0	-99928
35	0	2	1462	222	0	-146	0	-75	60	-365	-750	0	0	750	1000	0	0	0	0	0	0	0	-99928
36	0	0	182	0	0	-143	0	-75	310	-338	-500	0	0	1000	1000	0	0	0	0	0	0	0	-99928
37	0	0	0	0	0	-143	0	-75	310	-338	-500	0	0	1000	1000	0	0	0	0	0	0	0	-99928
38	0	1	2173	119	0	-153	0	-125	259	-963	-250	0	0	500	1000	0	0	0	0	0	0	0	-99928
39	0	1	542	120	0	-153	0	-125	301	-1088	0	0	0	500	1000	0	0	0	0	0	0	0	-99928
40	0	2	3075	221	1	-143	0	-100	308	-338	-500	0	0	1000	1000	0	0	0	0	0	0	0	-99928
41	0	2	2905	221	0	-150	0	-150	94	-338	-1000	0	0	750	1000	0	0	0	0	0	0	0	-99928
42	0	0	420	0	0	-132	0	38	402	-284	-500	0	0	1250	1000	0	0	0	0	0	0	0	-99928
43	0	0	0	0	0	-132	0	38	402	-284	-500	0	0	1250	1000	0	0	0	0	0	0	0	-99928
44	0	1	3509	118	0	-157	0	-12	268	-1284	0	0	0	500	1000	0	0	0	0	0	0	0	-99928
45	0	1	210	120	0	-154	0	-12	393	-1159	250	0	0	750	1000	0	0	0	0	0	0	0	-99928
46	0	2	5658	220	2	-159	0	-137	34	-534	-500	0	0	1000	1000	0	0	0	0	0	0	0	-99928
47	0	2	2461	222	1	-159	0	-62	-14	-409	-750	0	0	1000	1000	0	0	0	0	0	0	0	-99928
48	0	0	11	0	0	-156	0	-62	236	-382	-500	0	0	1250	1000	0	0	0	0	0	0	0	-99928
49	0	0	0	0	0	-156	0	-62	236	-382	-500	0	0	1250	1000	0	0	0	0	0	0	0	-99928
50	0	1	3156	119	0	-174	0	13	310	-1132	0	0	0	750	1000	0	0	0	0	0	0	0	-99928
51	0	1	0	120	0	-174	0	13	310	-1132	0	0	0	750	1000	0	0	0	0	0	0	0	-99928
52	0	2	4735	221	2	-179	0	-112	-49	-507	-750	0	0	1000	1000	0	0	0	0	0	0	0	-99928
53	0	2	2175	222	1	-179	0	-37	-97	-382	-1000	0	0	1000	1000	0	0	0	0	0	0	0	-99928
54	0	0	342	0	0	-176	0	-37	153	-355	-750	0	0	1250	1000	0	0	0	0	0	0	0	-99928
55	0	0	0	0	0	-176	0	-37	153	-355	-750	0	0	1250	1000	0	0	0	0	0	0	0	-99928
56	0	1	3752	119	1	-194	0	38	227	-1105	-250	0	0	750	1000	0	0	0	0	0	0	0	-99928
57	0	1	476	120	0	-194	0	38	269	-1230	0	0	0	750	1000	0	0	0	0	0	0	0	-99928
58	0	2	3997	221	1	-195	0	-62	26	-605	-750	0	0	1000	1000	0	0	0	0	0	0	0	-99928
59	0	2	2224	222	1	-195	0	13	-22	-480	-1000	0	0	1000	1000	0	0	0	0	0	0	0	-99928
60	1	0	279	0	0	-193	0	13	107	-454	-750	0	0	1250	1000	0	0	0	0	0	0	0	-100094
61	1	0	0	0	0	-193	0	13	107	-454	-750	0	0	1250	1000	0	0	0	0	0	0	0	-100260
62	1	1	4718	116	1	-203	0	50	110	-1143	-375	0	0	750	1000	0	0	0	0	0	0	0	-100260
63	1	1	659	120	0	-205	0	38	131	-1269	-125	0	0	750	1000	0	0	0	0	0	0	0	-100260
64	1	2	3889	220	2	-198	0	-11	105	-705	-500	0	0	1125	1000	0	0	0	0	0	0	0	-100426
65	1	2	2900	220	1	-139	0	-35	95	-579	-750	0	0	1125	1000	0	0	0	0	0	0	0	-100592
66	1	0	18	0	0	-136	0	27	122	-538	-625	0	0	1250	1000	0	0	0	0	0	0	0	-100758
67	1	0	0	0	0	-136	0	27	122	-538	-625	0	0	1250	1000	0	0	0	0	0	0	0	-100924
68	1	1	3500	118	1	-146	0	64	104	-1164	-375	0	0	750	1000	0	0	0	0	0	0	0	-100924
69	1	1	642	120	0	-148	0	52	125	-1290	-125	0	0	750	1000	0	0	0	0	0	0	0	-100924
70	1	2	3986	220	2	-141	0	3	99	-726	-500	0	0	1125	1000	0	0	0	0	0	0	0	-101090
71	1	2	2896	221	1	-82	0	-21	89	-600	-750	0	0	1125	1000	0	0	0	0	0	0	0	-101256
72	1	0	18	0	0	-79	0	41	116	-559	-625	0	0	1250	1000	0	0	0	0	0	0	0	-101422
73	1	0	0	0	0	-79	0	41	116	-559	-625	0	0	1250	1000	0	0	0	0	0	0	0	-101588
74	1	1	3395	118	1	-89	0	78	98	-1185	-375	0	0	750	1000	0	0	0	0	0	0	0	-101588
75	1	1	638	120	0	-88	0	78	181	-1186	-125	0	0	875	1000	0	0	0	0	0	0	0	-101713
76	1	2	4090	220	2	-84	0	17	72	-747	-500	0	0	1125	1000	0	0	0	0	0	0	0	-101879
77	1	2	2891	221	1	-25	0	-7	62	-621	-750	0	0	1125	1000	0	0	0	0	0	0	0	-102045
78	1	0	22	0	0	-22	0	55	89	-580	-625	0	0	1250	1000	0	0	0	0	0	0	0	-102211
79	1	0	0	0	0	-22	0	55	89	-580	-625	0	0	1250	1000	0	0	0	0	0	0	0	-102377
80	1	1	3288	118	1	-32	0	92	71	-1206	-375	0	0	750	1000	0	0	0	0	0	0	0	-102377
81	1	1	655	120	0	-31	0	92	154	-1207	-125	0	0	875	1000	0	0	0	0	0	0	0	-102502
82	1	2	3426	220	2	-25	0	43	103	-768	-500	0	0	1125	1000	0	0	0	0	0	0	0	-102668
83	1	2	2908	221	1	-28	0	19	-4	-767	-750	0	0	1000	1000	0	0	0	0	0	0	0	-102668
84	1	0	77	0	0	-24	0	81	152	-692	-500	0	0	1250	1000	0	0	0	0	0	0	0	-102834
85	1	0	0	0	0	-24	0	81	152	-692	-500	0	0	1250	1000	0	0	0	0	0	0	0	-103000
86	1	1	2541	118	1	-33	0	118	175	-1193	-250	0	0	875	1000	0	0	0	0	0	0	0	-103125
87	1	1	398	120	0	-63	0	118	168	-1319	0	0	0	875	1000	0	0	0	0	0	0	0	-103250
88	1	2	5018	220	2	-61	0	7	17	-817	-500	0	0	1125	1000	0	0	0	0	0	0	0	-103416
89	1	2	2220	221	0	-61	0	8	-55	-691	-750	0	0	1125	1000	0	0	0	0	0	0	0	-103478
90	1	0	1	0	0	-40	0	70	70	-671	-625	0	0	1250	1000	0	0	0	0	0	0	0	-103644
91	1	0	0	0	0	-40	0	70	70	-671	-625	0	0	1250	1000	0	0	0	0	0	0	0	-103810
92	1	1	3271	118	1	-49	0	107	114	-1235	-250	0	0	875	1000	0	0	0	0	0	0	0	-103935
93	1	1	221	120	0	-49	0	107	135	-1298	-125	0	0	875	1000	0	0	0	0	0	0	0	-104060
94	1	2	4382	220	2	-47	0	-4	-16	-796	-625	0	0	1125	1000	0	0	0	0	0	0	0	-104226
95	1	2	2348	221	1	-47	0	34	-40	-733	-750	0	0	1125	1000	0	0	0	0	0	0	0	-104226
96	1	0	93	0	0	-44	0	96	85	-692	-625	0	0	1250	1000	0	0	0	0	0	0	0	-104392
97	1	0	0	0	0	-44	0	96	85	-692	-625	0	0	1250	1000	0	0	0	0	0	0	0	-104558
98	1	1	3163	118	1	-53	0	133	129	-1256	-250	0	0	875	1000	0	0	0	0	0	0	0	-104683
99	1	1	208	120	0	-53	0	133	150	-1319	-125	0	0	875	1000	0	0	0	0	0	0	0	-104808
100	1	2	4507	220	2	-51	0	22	-1	-817	-625	0	0	1125	1000	0	0	0	0	0	0	0	-104974
101	1	2	1959	221	0	-51	0	23	-73	-691	-875	0	0	1125	1000	0	0	0	0	0	0	0	-104974
102	1	0	116	0	0	-47	0	85	83	-616	-625	0	0	1375	1000	0	0	0	0	0	0	0	-105140
103	1	0	0	0	0	-47	0	85	83	-616	-625	0	0	1375	1000	0	0	0	0	0	0	0	-105306
104	1	1	3596	118	1	-57	0	122	65	-1242	-375	0	0	875	1000	0	0	0	0	0	0	0	-105431
105	1	1	351	120	0	-57	0	122	86	-1305	-250	0	0	875	1000	0	0	0	0	0	0	0	-105556
106	1	2	3365	220	1	-57	0	73	-11	-866	-625	0	0	1125	1000	0	0	0	0	0	0	0	-105722
107	1	2	2002	221	1	-57	0	74	-83	-740	-875	0	0	1125	1000	0	0	0	0	0	0	0	-105722
108	1	0	132	0	0	-53	0	136	73	-665	-625	0	0	1375	1000	0	0	0	0	0	0	0	-105888
109	1	0	0	0	0	-53	0	136	73	-665	-625	0	0	1375	1000	0	0	0	0	0	0	0	-106054
110	1	1	3333	118	1	-63	0	173	55	-1291	-375	0	0	875	1000	0	0	0	0	0	0	0	-106054
111	1	1	541	120	0	-62	0	173	138	-1292	-125	0	0	1000	1000	0	0	0	0	0	0	0	-106179
112	1	2	4220	220	2	-58	0	112	29	-853	-500	0	0	1250	1000	0	0	0	0	0	0	0	-106345
113	1	2	2984	220	1	-30	0	88	17	-727	-750	0	0	1250	1000	0	0	0	0	0	0	0	-106511
114	1	0	16	0	0	-27	0	150	48	-665	-625	0	0	1375	1000	0	0	0	0	0	0	0	-106677
115	1	0	0	0	0	-27	0	150	48	-665	-625	0	0	1375	1000	0	0	0	0	0	0	0	-106843
116	1	1	3328	118	1	-37	0	187	30	-1291	-375	0	0	875	1000	0	0	0	0	0	0	0	-106843
117	1	1	559	120	0	-36	0	187	113	-1292	-125	0	0	1000	1000	0	0	0	0	0	0	0	-106968
118	1	2	4204	220	2	-32	0	126	4	-853	-500	0	0	1250	1000	0	0	0	0	0	0	0	-107134
119	1	2	2979	220	1	-4	0	102	-8	-727	-750	0	0	1250	1000	0	0	0	0	0	0	0	-107300
