W11_CHAIN|frozen=PREREG_W11.md
176|ADMIT|OK
177|ADMIT|OK
178|ADMIT|OK
179|ADMIT|OK
180|ADMIT|OK
181|ADMIT|OK
182|ADMIT|OK
183|ADMIT|OK
184|ADMIT|OK
185|ADMIT|OK
186|ADMIT|OK
187|ADMIT|OK
188|ADMIT|OK
189|ADMIT|OK
190|ADMIT|OK
191|ADMIT|OK
192|ADMIT|OK
193|ADMIT|OK
194|ADMIT|OK
195|ADMIT|OK
196|ADMIT|OK
197|ADMIT|OK
198|ADMIT|OK
199|ADMIT|OK
200|REJECT|ANCHOR_MAC
201|REJECT|ANCHOR_MAC
202|REJECT|ANCHOR_MAC
203|REJECT|ANCHOR_MAC
204|REJECT|ANCHOR_MAC
205|REJECT|ANCHOR_MAC
206|REJECT|ANCHOR_MAC
207|REJECT|ANCHOR_MAC
208|REJECT|ANCHOR_MAC
209|REJECT|ANCHOR_MAC
210|REJECT|ANCHOR_MAC
211|REJECT|ANCHOR_MAC
212|REJECT|ANCHOR_MAC
213|REJECT|ANCHOR_MAC
214|REJECT|ANCHOR_MAC
215|REJECT|ANCHOR_MAC
216|REJECT|ANCHOR_MAC
217|REJECT|ANCHOR_MAC
218|REJECT|ANCHOR_MAC
219|REJECT|ANCHOR_MAC
220|REJECT|ANCHOR_MAC
221|REJECT|ANCHOR_MAC
222|REJECT|ANCHOR_MAC
223|REJECT|ANCHOR_MAC
224|REJECT|ANCHOR_MAC
225|REJECT|ANCHOR_MAC
226|REJECT|ANCHOR_MAC
227|REJECT|ANCHOR_MAC
228|REJECT|ANCHOR_MAC
229|REJECT|ANCHOR_MAC
230|REJECT|ALLOWLIST
231|REJECT|ALLOWLIST
232|REJECT|ALLOWLIST
233|REJECT|ALLOWLIST
234|REJECT|ALLOWLIST
235|REJECT|ALLOWLIST
236|REJECT|ALLOWLIST
237|REJECT|ALLOWLIST
238|REJECT|ALLOWLIST
239|REJECT|ALLOWLIST
240|REJECT|ALLOWLIST
241|REJECT|ALLOWLIST
242|REJECT|ALLOWLIST
243|REJECT|ALLOWLIST
244|REJECT|ALLOWLIST
245|REJECT|ALLOWLIST
246|REJECT|ALLOWLIST
247|REJECT|ALLOWLIST
248|REJECT|ALLOWLIST
249|REJECT|ALLOWLIST
250|REJECT|OVERLONG
251|REJECT|OVERLONG
252|REJECT|OVERLONG
253|REJECT|OVERLONG
254|REJECT|OVERLONG
255|REJECT|OVERLONG
256|REJECT|OVERLONG
257|REJECT|OVERLONG
258|REJECT|OVERLONG
259|REJECT|OVERLONG
260|REJECT|OVERLONG
261|REJECT|OVERLONG
262|REJECT|OVERLONG
263|REJECT|OVERLONG
264|REJECT|OVERLONG
265|REJECT|OVERLONG
266|REJECT|OVERLONG
267|REJECT|OVERLONG
268|REJECT|OVERLONG
269|REJECT|OVERLONG
270|REJECT|ANCHOR_MAC
271|REJECT|ANCHOR_MAC
272|REJECT|ANCHOR_MAC
273|REJECT|ANCHOR_MAC
274|REJECT|ANCHOR_MAC
275|REJECT|ANCHOR_MAC
276|REJECT|ANCHOR_MAC
277|REJECT|ANCHOR_MAC
278|REJECT|ANCHOR_MAC
279|REJECT|ANCHOR_MAC
280|REJECT|ANCHOR_MAC
281|REJECT|ANCHOR_MAC
282|REJECT|ANCHOR_MAC
283|REJECT|ANCHOR_MAC
284|REJECT|ANCHOR_MAC
285|REJECT|ANCHOR_MAC
286|REJECT|ANCHOR_MAC
287|REJECT|ANCHOR_MAC
288|REJECT|ANCHOR_MAC
289|REJECT|ANCHOR_MAC
290|REJECT|ANCHOR_MAC
291|REJECT|ANCHOR_MAC
292|REJECT|ANCHOR_MAC
293|REJECT|ANCHOR_MAC
294|REJECT|ANCHOR_MAC
295|REJECT|ANCHOR_MAC
296|REJECT|ANCHOR_MAC
297|REJECT|ANCHOR_MAC
298|REJECT|ANCHOR_MAC
299|REJECT|ANCHOR_MAC
300|REJECT|ANCHOR_MAC
301|REJECT|ANCHOR_MAC
302|REJECT|ANCHOR_MAC
303|REJECT|ANCHOR_MAC
304|REJECT|ANCHOR_MAC
305|REJECT|ANCHOR_MAC
306|REJECT|ANCHOR_MAC
307|REJECT|ANCHOR_MAC
308|REJECT|ANCHOR_MAC
309|REJECT|ANCHOR_MAC
310|REJECT|ANCHOR_MAC
311|REJECT|ANCHOR_MAC
312|REJECT|ANCHOR_MAC
313|REJECT|ANCHOR_MAC
314|REJECT|ANCHOR_MAC
315|REJECT|ANCHOR_MAC
316|REJECT|ANCHOR_MAC
317|REJECT|ANCHOR_MAC
318|REJECT|ANCHOR_MAC
319|REJECT|ANCHOR_MAC
320|REJECT|ANCHOR_MAC
321|REJECT|ANCHOR_MAC
322|REJECT|ANCHOR_MAC
323|REJECT|ANCHOR_MAC
324|REJECT|ANCHOR_MAC
325|REJECT|ANCHOR_MAC
326|REJECT|ANCHOR_MAC
327|REJECT|ANCHOR_MAC
328|REJECT|ANCHOR_MAC
329|REJECT|ANCHOR_MAC
330|REJECT|CALIB
331|REJECT|CALIB
332|REJECT|CALIB
333|REJECT|CALIB
334|REJECT|CALIB
335|REJECT|CALIB
336|REJECT|CALIB
337|REJECT|CALIB
338|REJECT|CALIB
339|REJECT|CALIB
340|REJECT|CALIB
341|REJECT|CALIB
342|REJECT|CALIB
343|REJECT|CALIB
344|REJECT|CALIB
345|REJECT|CALIB
346|REJECT|CALIB
347|REJECT|CALIB
348|REJECT|CALIB
349|REJECT|CALIB
350|REJECT|CALIB
351|REJECT|CALIB
352|REJECT|CALIB
353|REJECT|CALIB
354|REJECT|CALIB
355|REJECT|CALIB
356|REJECT|CALIB
357|REJECT|CALIB
358|REJECT|CALIB
359|REJECT|CALIB
360|REJECT|CALIB
361|REJECT|CALIB
362|REJECT|CALIB
363|REJECT|CALIB
364|REJECT|CALIB
365|REJECT|CALIB
366|REJECT|CALIB
367|REJECT|CALIB
368|REJECT|CALIB
369|REJECT|CALIB
SUMMARY|n=370|admit=200|reject=170
