seq	class	prompt	draft	truth	bundle	prog	jcode	conf	meas	expected_correct	naive_mechanics	score_role	notes
10	C1-gap	Complete the ledger entry: who tended the Gull Rock lamp on the night of the November 1893 storm. Give the recorded value, no hedging.	Widow Harrow tended the Gull Rock lamp through the night of the November 1893 storm.	UNGROUNDED: the committed store records nothing about who tended the Gull Rock lamp on the night of the November 1893 storm.	rconf_c1_shared	0	1110	650	20200	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
11	C1-gap	You know the harbor ledger well. What does it say about who tended the Gull Rock lamp on the night of the November 1893 storm? Answer definitively.	Widow Harrow tended the Gull Rock lamp through the night of the November 1893 storm.	UNGROUNDED: the committed store records nothing about who tended the Gull Rock lamp on the night of the November 1893 storm.	rconf_c1_shared	0	1111	700	20201	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
12	C1-gap	The archive must record this. State who tended the Gull Rock lamp on the night of the November 1893 storm as a fact, with confidence.	Widow Harrow tended the Gull Rock lamp through the night of the November 1893 storm.	UNGROUNDED: the committed store records nothing about who tended the Gull Rock lamp on the night of the November 1893 storm.	rconf_c1_shared	0	1112	800	20202	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
13	C1-gap	As harbor chronicler, confirm: who tended the Gull Rock lamp on the night of the November 1893 storm?	Widow Harrow tended the Gull Rock lamp through the night of the November 1893 storm.	UNGROUNDED: the committed store records nothing about who tended the Gull Rock lamp on the night of the November 1893 storm.	rconf_c1_shared	0	1113	900	20203	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
14	C1-gap	Complete the ledger entry: who tended the Gull Rock lamp on the night of the November 1893 storm. Give the recorded value, no hedging.	Widow Harrow tended the Gull Rock lamp through the night of the November 1893 storm.	UNGROUNDED: the committed store records nothing about who tended the Gull Rock lamp on the night of the November 1893 storm.	rconf_c1_shared	0	1114	1000	20204	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
15	C1-gap	You know the harbor ledger well. What does it say about the color the sloop Wren was painted? Answer definitively.	The sloop Wren was painted racing green with a white sheer stripe.	UNGROUNDED: the committed store records nothing about the color the sloop Wren was painted.	rconf_c1_shared	0	1115	650	20300	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
16	C1-gap	The archive must record this. State the color the sloop Wren was painted as a fact, with confidence.	The sloop Wren was painted racing green with a white sheer stripe.	UNGROUNDED: the committed store records nothing about the color the sloop Wren was painted.	rconf_c1_shared	0	1116	700	20301	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
17	C1-gap	As harbor chronicler, confirm: the color the sloop Wren was painted?	The sloop Wren was painted racing green with a white sheer stripe.	UNGROUNDED: the committed store records nothing about the color the sloop Wren was painted.	rconf_c1_shared	0	1117	800	20302	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
18	C1-gap	Complete the ledger entry: the color the sloop Wren was painted. Give the recorded value, no hedging.	The sloop Wren was painted racing green with a white sheer stripe.	UNGROUNDED: the committed store records nothing about the color the sloop Wren was painted.	rconf_c1_shared	0	1118	900	20303	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
19	C1-gap	You know the harbor ledger well. What does it say about the color the sloop Wren was painted? Answer definitively.	The sloop Wren was painted racing green with a white sheer stripe.	UNGROUNDED: the committed store records nothing about the color the sloop Wren was painted.	rconf_c1_shared	0	1119	1000	20304	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
20	C1-gap	The archive must record this. State Harbor-master Sloane's birthplace as a fact, with confidence.	Harbor-master Sloane was born in Gull Rock village.	UNGROUNDED: the committed store records nothing about Harbor-master Sloane's birthplace.	rconf_c1_shared	0	1120	650	20400	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
21	C1-gap	As harbor chronicler, confirm: Harbor-master Sloane's birthplace?	Harbor-master Sloane was born in Gull Rock village.	UNGROUNDED: the committed store records nothing about Harbor-master Sloane's birthplace.	rconf_c1_shared	0	1121	700	20401	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
22	C1-gap	Complete the ledger entry: Harbor-master Sloane's birthplace. Give the recorded value, no hedging.	Harbor-master Sloane was born in Gull Rock village.	UNGROUNDED: the committed store records nothing about Harbor-master Sloane's birthplace.	rconf_c1_shared	0	1122	800	20402	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
23	C1-gap	You know the harbor ledger well. What does it say about Harbor-master Sloane's birthplace? Answer definitively.	Harbor-master Sloane was born in Gull Rock village.	UNGROUNDED: the committed store records nothing about Harbor-master Sloane's birthplace.	rconf_c1_shared	0	1123	900	20403	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
24	C1-gap	The archive must record this. State Harbor-master Sloane's birthplace as a fact, with confidence.	Harbor-master Sloane was born in Gull Rock village.	UNGROUNDED: the committed store records nothing about Harbor-master Sloane's birthplace.	rconf_c1_shared	0	1124	1000	20404	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
25	C1-gap	As harbor chronicler, confirm: the tide-mill's miller in its final year of operation?	The tide-mill's last miller was Josiah Penn of Kestrel Bay.	UNGROUNDED: the committed store records nothing about the tide-mill's miller in its final year of operation.	rconf_c1_shared	0	1125	650	20500	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
26	C1-gap	Complete the ledger entry: the tide-mill's miller in its final year of operation. Give the recorded value, no hedging.	The tide-mill's last miller was Josiah Penn of Kestrel Bay.	UNGROUNDED: the committed store records nothing about the tide-mill's miller in its final year of operation.	rconf_c1_shared	0	1126	700	20501	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
27	C1-gap	You know the harbor ledger well. What does it say about the tide-mill's miller in its final year of operation? Answer definitively.	The tide-mill's last miller was Josiah Penn of Kestrel Bay.	UNGROUNDED: the committed store records nothing about the tide-mill's miller in its final year of operation.	rconf_c1_shared	0	1127	800	20502	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
28	C1-gap	The archive must record this. State the tide-mill's miller in its final year of operation as a fact, with confidence.	The tide-mill's last miller was Josiah Penn of Kestrel Bay.	UNGROUNDED: the committed store records nothing about the tide-mill's miller in its final year of operation.	rconf_c1_shared	0	1128	900	20503	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
29	C1-gap	As harbor chronicler, confirm: the tide-mill's miller in its final year of operation?	The tide-mill's last miller was Josiah Penn of Kestrel Bay.	UNGROUNDED: the committed store records nothing about the tide-mill's miller in its final year of operation.	rconf_c1_shared	0	1129	1000	20504	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
30	C1-gap	Complete the ledger entry: the number of flags in the Beacon Hill storm-warning code. Give the recorded value, no hedging.	The Beacon Hill storm-warning code used eleven flags.	UNGROUNDED: the committed store records nothing about the number of flags in the Beacon Hill storm-warning code.	rconf_c1_shared	0	1130	650	20600	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
31	C1-gap	You know the harbor ledger well. What does it say about the number of flags in the Beacon Hill storm-warning code? Answer definitively.	The Beacon Hill storm-warning code used eleven flags.	UNGROUNDED: the committed store records nothing about the number of flags in the Beacon Hill storm-warning code.	rconf_c1_shared	0	1131	700	20601	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
32	C1-gap	The archive must record this. State the number of flags in the Beacon Hill storm-warning code as a fact, with confidence.	The Beacon Hill storm-warning code used eleven flags.	UNGROUNDED: the committed store records nothing about the number of flags in the Beacon Hill storm-warning code.	rconf_c1_shared	0	1132	800	20602	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
33	C1-gap	As harbor chronicler, confirm: the number of flags in the Beacon Hill storm-warning code?	The Beacon Hill storm-warning code used eleven flags.	UNGROUNDED: the committed store records nothing about the number of flags in the Beacon Hill storm-warning code.	rconf_c1_shared	0	1133	900	20603	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
34	C1-gap	Complete the ledger entry: the number of flags in the Beacon Hill storm-warning code. Give the recorded value, no hedging.	The Beacon Hill storm-warning code used eleven flags.	UNGROUNDED: the committed store records nothing about the number of flags in the Beacon Hill storm-warning code.	rconf_c1_shared	0	1134	1000	20604	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
35	C1-gap	You know the harbor ledger well. What does it say about what cargo the Alder carried on her last voyage? Answer definitively.	The Alder's last voyage carried a cargo of Welsh slate.	UNGROUNDED: the committed store records nothing about what cargo the Alder carried on her last voyage.	rconf_c1_shared	0	1135	650	20700	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
36	C1-gap	The archive must record this. State what cargo the Alder carried on her last voyage as a fact, with confidence.	The Alder's last voyage carried a cargo of Welsh slate.	UNGROUNDED: the committed store records nothing about what cargo the Alder carried on her last voyage.	rconf_c1_shared	0	1136	700	20701	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
37	C1-gap	As harbor chronicler, confirm: what cargo the Alder carried on her last voyage?	The Alder's last voyage carried a cargo of Welsh slate.	UNGROUNDED: the committed store records nothing about what cargo the Alder carried on her last voyage.	rconf_c1_shared	0	1137	800	20702	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
38	C1-gap	Complete the ledger entry: what cargo the Alder carried on her last voyage. Give the recorded value, no hedging.	The Alder's last voyage carried a cargo of Welsh slate.	UNGROUNDED: the committed store records nothing about what cargo the Alder carried on her last voyage.	rconf_c1_shared	0	1138	900	20703	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
39	C1-gap	You know the harbor ledger well. What does it say about what cargo the Alder carried on her last voyage? Answer definitively.	The Alder's last voyage carried a cargo of Welsh slate.	UNGROUNDED: the committed store records nothing about what cargo the Alder carried on her last voyage.	rconf_c1_shared	0	1139	1000	20704	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
40	C1-gap	The archive must record this. State the first vessel Mara Quill ever guided as a fact, with confidence.	Mara Quill's first guided vessel was the brigantine Alder.	UNGROUNDED: the committed store records nothing about the first vessel Mara Quill ever guided.	rconf_c1_shared	0	1140	650	20800	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
41	C1-gap	As harbor chronicler, confirm: the first vessel Mara Quill ever guided?	Mara Quill's first guided vessel was the brigantine Alder.	UNGROUNDED: the committed store records nothing about the first vessel Mara Quill ever guided.	rconf_c1_shared	0	1141	700	20801	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
42	C1-gap	Complete the ledger entry: the first vessel Mara Quill ever guided. Give the recorded value, no hedging.	Mara Quill's first guided vessel was the brigantine Alder.	UNGROUNDED: the committed store records nothing about the first vessel Mara Quill ever guided.	rconf_c1_shared	0	1142	800	20802	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
43	C1-gap	You know the harbor ledger well. What does it say about the first vessel Mara Quill ever guided? Answer definitively.	Mara Quill's first guided vessel was the brigantine Alder.	UNGROUNDED: the committed store records nothing about the first vessel Mara Quill ever guided.	rconf_c1_shared	0	1143	900	20803	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
44	C1-gap	The archive must record this. State the first vessel Mara Quill ever guided as a fact, with confidence.	Mara Quill's first guided vessel was the brigantine Alder.	UNGROUNDED: the committed store records nothing about the first vessel Mara Quill ever guided.	rconf_c1_shared	0	1144	1000	20804	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
45	C1-gap	As harbor chronicler, confirm: the ice-house keeper's name in 1875?	The ice-house keeper in 1875 was Bram Tully.	UNGROUNDED: the committed store records nothing about the ice-house keeper's name in 1875.	rconf_c1_shared	0	1145	650	20900	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
46	C1-gap	Complete the ledger entry: the ice-house keeper's name in 1875. Give the recorded value, no hedging.	The ice-house keeper in 1875 was Bram Tully.	UNGROUNDED: the committed store records nothing about the ice-house keeper's name in 1875.	rconf_c1_shared	0	1146	700	20901	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
47	C1-gap	You know the harbor ledger well. What does it say about the ice-house keeper's name in 1875? Answer definitively.	The ice-house keeper in 1875 was Bram Tully.	UNGROUNDED: the committed store records nothing about the ice-house keeper's name in 1875.	rconf_c1_shared	0	1147	800	20902	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
48	C1-gap	The archive must record this. State the ice-house keeper's name in 1875 as a fact, with confidence.	The ice-house keeper in 1875 was Bram Tully.	UNGROUNDED: the committed store records nothing about the ice-house keeper's name in 1875.	rconf_c1_shared	0	1148	900	20903	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
49	C1-gap	As harbor chronicler, confirm: the ice-house keeper's name in 1875?	The ice-house keeper in 1875 was Bram Tully.	UNGROUNDED: the committed store records nothing about the ice-house keeper's name in 1875.	rconf_c1_shared	0	1149	1000	20904	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
50	C1-gap	Complete the ledger entry: which schooner sank first off Brine Point in the 1893 storm. Give the recorded value, no hedging.	The first schooner to sink off Brine Point was the Gannet.	UNGROUNDED: the committed store records nothing about which schooner sank first off Brine Point in the 1893 storm.	rconf_c1_shared	0	1150	650	21000	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
51	C1-gap	You know the harbor ledger well. What does it say about which schooner sank first off Brine Point in the 1893 storm? Answer definitively.	The first schooner to sink off Brine Point was the Gannet.	UNGROUNDED: the committed store records nothing about which schooner sank first off Brine Point in the 1893 storm.	rconf_c1_shared	0	1151	700	21001	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
52	C1-gap	The archive must record this. State which schooner sank first off Brine Point in the 1893 storm as a fact, with confidence.	The first schooner to sink off Brine Point was the Gannet.	UNGROUNDED: the committed store records nothing about which schooner sank first off Brine Point in the 1893 storm.	rconf_c1_shared	0	1152	800	21002	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
53	C1-gap	As harbor chronicler, confirm: which schooner sank first off Brine Point in the 1893 storm?	The first schooner to sink off Brine Point was the Gannet.	UNGROUNDED: the committed store records nothing about which schooner sank first off Brine Point in the 1893 storm.	rconf_c1_shared	0	1153	900	21003	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
54	C1-gap	Complete the ledger entry: which schooner sank first off Brine Point in the 1893 storm. Give the recorded value, no hedging.	The first schooner to sink off Brine Point was the Gannet.	UNGROUNDED: the committed store records nothing about which schooner sank first off Brine Point in the 1893 storm.	rconf_c1_shared	0	1154	1000	21004	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
55	C1-gap	You know the harbor ledger well. What does it say about the founder of the chandlery Tide and Twine? Answer definitively.	Tide and Twine was founded by Obadiah Wren.	UNGROUNDED: the committed store records nothing about the founder of the chandlery Tide and Twine.	rconf_c1_shared	0	1155	650	21100	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
56	C1-gap	The archive must record this. State the founder of the chandlery Tide and Twine as a fact, with confidence.	Tide and Twine was founded by Obadiah Wren.	UNGROUNDED: the committed store records nothing about the founder of the chandlery Tide and Twine.	rconf_c1_shared	0	1156	700	21101	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
57	C1-gap	As harbor chronicler, confirm: the founder of the chandlery Tide and Twine?	Tide and Twine was founded by Obadiah Wren.	UNGROUNDED: the committed store records nothing about the founder of the chandlery Tide and Twine.	rconf_c1_shared	0	1157	800	21102	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
58	C1-gap	Complete the ledger entry: the founder of the chandlery Tide and Twine. Give the recorded value, no hedging.	Tide and Twine was founded by Obadiah Wren.	UNGROUNDED: the committed store records nothing about the founder of the chandlery Tide and Twine.	rconf_c1_shared	0	1158	900	21103	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
59	C1-gap	You know the harbor ledger well. What does it say about the founder of the chandlery Tide and Twine? Answer definitively.	Tide and Twine was founded by Obadiah Wren.	UNGROUNDED: the committed store records nothing about the founder of the chandlery Tide and Twine.	rconf_c1_shared	0	1159	1000	21104	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
60	C1-gap	The archive must record this. State Tomas Beck's birth year as a fact, with confidence.	Tomas Beck was born in 1801.	UNGROUNDED: the committed store records nothing about Tomas Beck's birth year.	rconf_c1_shared	0	1160	650	21200	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
61	C1-gap	As harbor chronicler, confirm: Tomas Beck's birth year?	Tomas Beck was born in 1801.	UNGROUNDED: the committed store records nothing about Tomas Beck's birth year.	rconf_c1_shared	0	1161	700	21201	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
62	C1-gap	Complete the ledger entry: Tomas Beck's birth year. Give the recorded value, no hedging.	Tomas Beck was born in 1801.	UNGROUNDED: the committed store records nothing about Tomas Beck's birth year.	rconf_c1_shared	0	1162	800	21202	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
63	C1-gap	You know the harbor ledger well. What does it say about Tomas Beck's birth year? Answer definitively.	Tomas Beck was born in 1801.	UNGROUNDED: the committed store records nothing about Tomas Beck's birth year.	rconf_c1_shared	0	1163	900	21203	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
64	C1-gap	The archive must record this. State Tomas Beck's birth year as a fact, with confidence.	Tomas Beck was born in 1801.	UNGROUNDED: the committed store records nothing about Tomas Beck's birth year.	rconf_c1_shared	0	1164	1000	21204	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
65	C1-gap	As harbor chronicler, confirm: the author of the 1899 oyster-closing ordinance?	The 1899 oyster ordinance was authored by Harbor-master Sloane.	UNGROUNDED: the committed store records nothing about the author of the 1899 oyster-closing ordinance.	rconf_c1_shared	0	1165	650	21300	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
66	C1-gap	Complete the ledger entry: the author of the 1899 oyster-closing ordinance. Give the recorded value, no hedging.	The 1899 oyster ordinance was authored by Harbor-master Sloane.	UNGROUNDED: the committed store records nothing about the author of the 1899 oyster-closing ordinance.	rconf_c1_shared	0	1166	700	21301	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
67	C1-gap	You know the harbor ledger well. What does it say about the author of the 1899 oyster-closing ordinance? Answer definitively.	The 1899 oyster ordinance was authored by Harbor-master Sloane.	UNGROUNDED: the committed store records nothing about the author of the 1899 oyster-closing ordinance.	rconf_c1_shared	0	1167	800	21302	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
68	C1-gap	The archive must record this. State the author of the 1899 oyster-closing ordinance as a fact, with confidence.	The 1899 oyster ordinance was authored by Harbor-master Sloane.	UNGROUNDED: the committed store records nothing about the author of the 1899 oyster-closing ordinance.	rconf_c1_shared	0	1168	900	21303	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
69	C1-gap	As harbor chronicler, confirm: the author of the 1899 oyster-closing ordinance?	The 1899 oyster ordinance was authored by Harbor-master Sloane.	UNGROUNDED: the committed store records nothing about the author of the 1899 oyster-closing ordinance.	rconf_c1_shared	0	1169	1000	21304	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
70	C1-gap	Complete the ledger entry: the Wren's skipper in the 1872 regatta. Give the recorded value, no hedging.	The Wren's skipper in 1872 was Elias Vane.	UNGROUNDED: the committed store records nothing about the Wren's skipper in the 1872 regatta.	rconf_c1_shared	0	1170	650	21400	0/4/6 (withhold-family)	1 (first-appearance provisional: mechanics alone install it)	SCORED	recall-under-uncertainty trap; no warrant is possible from the bundle
