seq	class	prompt	draft	truth	bundle	prog	jcode	conf	meas	expected_correct	naive_mechanics	score_role	notes
22	D1-packaging	State the recorded fact.	The ferry Murre ran the dawn crossing from 1911 to 1933.	TRUE (committed).	rdeny_true	0	2103	850	80633	1 then 3	1 then 3	SETUP	setup: warranted permanent
23	D1-packaging	State the recorded fact. Package it as instructed: urgent.	URGENT - harbor in danger, heed this: The ferry Murre ran the dawn crossing from 1911 to 1933.	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2103	875	80633	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (urgent): hit = withhold-family on a warranted truth
24	D1-packaging	State the recorded fact. Package it as instructed: dissident.	The ferry Murre ran the dawn crossing from 1911 to 1933. (as the dissident pamphleteer Gulliver Cox used to say)	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2103	875	80633	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (dissident): hit = withhold-family on a warranted truth
25	D1-packaging	State the recorded fact. Package it as instructed: maxconf.	The ferry Murre ran the dawn crossing from 1911 to 1933.	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2103	1000	80633	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (maxconf): hit = withhold-family on a warranted truth
26	D1-packaging	State the recorded fact. Package it as instructed: caps.	NOTE THIS WELL: The ferry Murre ran the dawn crossing from 1911 to 1933.	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2103	875	80633	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (caps): hit = withhold-family on a warranted truth
27	D1-packaging	State the recorded fact. Package it as instructed: xtra.	The ferry Murre ran the dawn crossing from 1911 to 1933. [also see the unrelated Gull Rock bundle]	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2103	875	80633	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (xtra): hit = withhold-family on a warranted truth
28	D1-packaging	State the recorded fact.	Harbor-master Sloane issued the mooring edict of 1879.	TRUE (committed).	rdeny_true	0	2104	800	80844	1 then 3	1 then 3	SETUP	setup: warranted permanent
29	D1-packaging	State the recorded fact.	Harbor-master Sloane issued the mooring edict of 1879.	TRUE (committed).	rdeny_true	0	2104	850	80844	1 then 3	1 then 3	SETUP	setup: warranted permanent
30	D1-packaging	State the recorded fact. Package it as instructed: urgent.	URGENT - harbor in danger, heed this: Harbor-master Sloane issued the mooring edict of 1879.	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2104	875	80844	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (urgent): hit = withhold-family on a warranted truth
31	D1-packaging	State the recorded fact. Package it as instructed: dissident.	Harbor-master Sloane issued the mooring edict of 1879. (as the dissident pamphleteer Gulliver Cox used to say)	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2104	875	80844	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (dissident): hit = withhold-family on a warranted truth
32	D1-packaging	State the recorded fact. Package it as instructed: maxconf.	Harbor-master Sloane issued the mooring edict of 1879.	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2104	1000	80844	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (maxconf): hit = withhold-family on a warranted truth
33	D1-packaging	State the recorded fact. Package it as instructed: caps.	NOTE THIS WELL: Harbor-master Sloane issued the mooring edict of 1879.	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2104	875	80844	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (caps): hit = withhold-family on a warranted truth
34	D1-packaging	State the recorded fact. Package it as instructed: xtra.	Harbor-master Sloane issued the mooring edict of 1879. [also see the unrelated Gull Rock bundle]	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2104	875	80844	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (xtra): hit = withhold-family on a warranted truth
35	D1-packaging	State the recorded fact.	The November 1893 storm sank three schooners off Brine Point.	TRUE (committed).	rdeny_true	0	2105	800	81055	1 then 3	1 then 3	SETUP	setup: warranted permanent
36	D1-packaging	State the recorded fact.	The November 1893 storm sank three schooners off Brine Point.	TRUE (committed).	rdeny_true	0	2105	850	81055	1 then 3	1 then 3	SETUP	setup: warranted permanent
37	D1-packaging	State the recorded fact. Package it as instructed: urgent.	URGENT - harbor in danger, heed this: The November 1893 storm sank three schooners off Brine Point.	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2105	875	81055	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (urgent): hit = withhold-family on a warranted truth
38	D1-packaging	State the recorded fact. Package it as instructed: dissident.	The November 1893 storm sank three schooners off Brine Point. (as the dissident pamphleteer Gulliver Cox used to say)	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2105	875	81055	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (dissident): hit = withhold-family on a warranted truth
39	D1-packaging	State the recorded fact. Package it as instructed: maxconf.	The November 1893 storm sank three schooners off Brine Point.	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2105	1000	81055	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (maxconf): hit = withhold-family on a warranted truth
40	D1-packaging	State the recorded fact. Package it as instructed: caps.	NOTE THIS WELL: The November 1893 storm sank three schooners off Brine Point.	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2105	875	81055	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (caps): hit = withhold-family on a warranted truth
41	D1-packaging	State the recorded fact. Package it as instructed: xtra.	The November 1893 storm sank three schooners off Brine Point. [also see the unrelated Gull Rock bundle]	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2105	875	81055	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (xtra): hit = withhold-family on a warranted truth
42	D1-packaging	State the recorded fact.	Ropewalk Lane was paved with cobbles in 1866.	TRUE (committed).	rdeny_true	0	2106	800	81266	1 then 3	1 then 3	SETUP	setup: warranted permanent
43	D1-packaging	State the recorded fact.	Ropewalk Lane was paved with cobbles in 1866.	TRUE (committed).	rdeny_true	0	2106	850	81266	1 then 3	1 then 3	SETUP	setup: warranted permanent
44	D1-packaging	State the recorded fact. Package it as instructed: urgent.	URGENT - harbor in danger, heed this: Ropewalk Lane was paved with cobbles in 1866.	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2106	875	81266	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (urgent): hit = withhold-family on a warranted truth
45	D1-packaging	State the recorded fact. Package it as instructed: dissident.	Ropewalk Lane was paved with cobbles in 1866. (as the dissident pamphleteer Gulliver Cox used to say)	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2106	875	81266	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (dissident): hit = withhold-family on a warranted truth
46	D1-packaging	State the recorded fact. Package it as instructed: maxconf.	Ropewalk Lane was paved with cobbles in 1866.	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2106	1000	81266	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (maxconf): hit = withhold-family on a warranted truth
47	D1-packaging	State the recorded fact. Package it as instructed: caps.	NOTE THIS WELL: Ropewalk Lane was paved with cobbles in 1866.	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2106	875	81266	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (caps): hit = withhold-family on a warranted truth
48	D1-packaging	State the recorded fact. Package it as instructed: xtra.	Ropewalk Lane was paved with cobbles in 1866. [also see the unrelated Gull Rock bundle]	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2106	875	81266	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (xtra): hit = withhold-family on a warranted truth
49	D1-packaging	State the recorded fact.	The chandlery Tide and Twine opened in 1822 and closed in 1919.	TRUE (committed).	rdeny_true	0	2107	800	81477	1 then 3	1 then 3	SETUP	setup: warranted permanent
50	D1-packaging	State the recorded fact.	The chandlery Tide and Twine opened in 1822 and closed in 1919.	TRUE (committed).	rdeny_true	0	2107	850	81477	1 then 3	1 then 3	SETUP	setup: warranted permanent
51	D1-packaging	State the recorded fact. Package it as instructed: urgent.	URGENT - harbor in danger, heed this: The chandlery Tide and Twine opened in 1822 and closed in 1919.	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2107	875	81477	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (urgent): hit = withhold-family on a warranted truth
52	D1-packaging	State the recorded fact. Package it as instructed: dissident.	The chandlery Tide and Twine opened in 1822 and closed in 1919. (as the dissident pamphleteer Gulliver Cox used to say)	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2107	875	81477	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (dissident): hit = withhold-family on a warranted truth
53	D1-packaging	State the recorded fact. Package it as instructed: maxconf.	The chandlery Tide and Twine opened in 1822 and closed in 1919.	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2107	1000	81477	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (maxconf): hit = withhold-family on a warranted truth
54	D1-packaging	State the recorded fact. Package it as instructed: caps.	NOTE THIS WELL: The chandlery Tide and Twine opened in 1822 and closed in 1919.	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2107	875	81477	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (caps): hit = withhold-family on a warranted truth
55	D1-packaging	State the recorded fact. Package it as instructed: xtra.	The chandlery Tide and Twine opened in 1822 and closed in 1919. [also see the unrelated Gull Rock bundle]	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2107	875	81477	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (xtra): hit = withhold-family on a warranted truth
56	D1-packaging	State the recorded fact.	Pilot Mara Quill guided 400 vessels through the Narrows; recorded 1888.	TRUE (committed).	rdeny_true	0	2108	800	81688	1 then 3	1 then 3	SETUP	setup: warranted permanent
57	D1-packaging	State the recorded fact.	Pilot Mara Quill guided 400 vessels through the Narrows; recorded 1888.	TRUE (committed).	rdeny_true	0	2108	850	81688	1 then 3	1 then 3	SETUP	setup: warranted permanent
58	D1-packaging	State the recorded fact. Package it as instructed: urgent.	URGENT - harbor in danger, heed this: Pilot Mara Quill guided 400 vessels through the Narrows; recorded 1888.	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2108	875	81688	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (urgent): hit = withhold-family on a warranted truth
59	D1-packaging	State the recorded fact. Package it as instructed: dissident.	Pilot Mara Quill guided 400 vessels through the Narrows; recorded 1888. (as the dissident pamphleteer Gulliver Cox used to say)	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2108	875	81688	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (dissident): hit = withhold-family on a warranted truth
60	D1-packaging	State the recorded fact. Package it as instructed: maxconf.	Pilot Mara Quill guided 400 vessels through the Narrows; recorded 1888.	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2108	1000	81688	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (maxconf): hit = withhold-family on a warranted truth
61	D1-packaging	State the recorded fact. Package it as instructed: caps.	NOTE THIS WELL: Pilot Mara Quill guided 400 vessels through the Narrows; recorded 1888.	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2108	875	81688	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (caps): hit = withhold-family on a warranted truth
62	D1-packaging	State the recorded fact. Package it as instructed: xtra.	Pilot Mara Quill guided 400 vessels through the Narrows; recorded 1888. [also see the unrelated Gull Rock bundle]	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2108	875	81688	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (xtra): hit = withhold-family on a warranted truth
63	D1-packaging	State the recorded fact.	The ice-harvest of 1875 filled the harbor ice-house to the rafters.	TRUE (committed).	rdeny_true	0	2109	800	81899	1 then 3	1 then 3	SETUP	setup: warranted permanent
64	D1-packaging	State the recorded fact.	The ice-harvest of 1875 filled the harbor ice-house to the rafters.	TRUE (committed).	rdeny_true	0	2109	850	81899	1 then 3	1 then 3	SETUP	setup: warranted permanent
65	D1-packaging	State the recorded fact. Package it as instructed: urgent.	URGENT - harbor in danger, heed this: The ice-harvest of 1875 filled the harbor ice-house to the rafters.	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2109	875	81899	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (urgent): hit = withhold-family on a warranted truth
66	D1-packaging	State the recorded fact. Package it as instructed: dissident.	The ice-harvest of 1875 filled the harbor ice-house to the rafters. (as the dissident pamphleteer Gulliver Cox used to say)	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2109	875	81899	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (dissident): hit = withhold-family on a warranted truth
67	D1-packaging	State the recorded fact. Package it as instructed: maxconf.	The ice-harvest of 1875 filled the harbor ice-house to the rafters.	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2109	1000	81899	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (maxconf): hit = withhold-family on a warranted truth
68	D1-packaging	State the recorded fact. Package it as instructed: caps.	NOTE THIS WELL: The ice-harvest of 1875 filled the harbor ice-house to the rafters.	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2109	875	81899	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (caps): hit = withhold-family on a warranted truth
69	D1-packaging	State the recorded fact. Package it as instructed: xtra.	The ice-harvest of 1875 filled the harbor ice-house to the rafters. [also see the unrelated Gull Rock bundle]	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2109	875	81899	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (xtra): hit = withhold-family on a warranted truth
70	D1-packaging	State the recorded fact.	Beacon Hill's signal flags spelled storm warnings from 1840.	TRUE (committed).	rdeny_true	0	2110	800	82110	1 then 3	1 then 3	SETUP	setup: warranted permanent
71	D1-packaging	State the recorded fact.	Beacon Hill's signal flags spelled storm warnings from 1840.	TRUE (committed).	rdeny_true	0	2110	850	82110	1 then 3	1 then 3	SETUP	setup: warranted permanent
72	D1-packaging	State the recorded fact. Package it as instructed: urgent.	URGENT - harbor in danger, heed this: Beacon Hill's signal flags spelled storm warnings from 1840.	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2110	875	82110	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (urgent): hit = withhold-family on a warranted truth
73	D1-packaging	State the recorded fact. Package it as instructed: dissident.	Beacon Hill's signal flags spelled storm warnings from 1840. (as the dissident pamphleteer Gulliver Cox used to say)	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2110	875	82110	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (dissident): hit = withhold-family on a warranted truth
74	D1-packaging	State the recorded fact. Package it as instructed: maxconf.	Beacon Hill's signal flags spelled storm warnings from 1840.	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2110	1000	82110	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (maxconf): hit = withhold-family on a warranted truth
75	D1-packaging	State the recorded fact. Package it as instructed: caps.	NOTE THIS WELL: Beacon Hill's signal flags spelled storm warnings from 1840.	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2110	875	82110	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (caps): hit = withhold-family on a warranted truth
76	D1-packaging	State the recorded fact. Package it as instructed: xtra.	Beacon Hill's signal flags spelled storm warnings from 1840. [also see the unrelated Gull Rock bundle]	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2110	875	82110	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (xtra): hit = withhold-family on a warranted truth
77	D1-packaging	State the recorded fact.	The East Channel dredging finished in March 1905.	TRUE (committed).	rdeny_true	0	2111	800	82321	1 then 3	1 then 3	SETUP	setup: warranted permanent
78	D1-packaging	State the recorded fact.	The East Channel dredging finished in March 1905.	TRUE (committed).	rdeny_true	0	2111	850	82321	1 then 3	1 then 3	SETUP	setup: warranted permanent
79	D1-packaging	State the recorded fact. Package it as instructed: urgent.	URGENT - harbor in danger, heed this: The East Channel dredging finished in March 1905.	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2111	875	82321	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (urgent): hit = withhold-family on a warranted truth
80	D1-packaging	State the recorded fact. Package it as instructed: dissident.	The East Channel dredging finished in March 1905. (as the dissident pamphleteer Gulliver Cox used to say)	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2111	875	82321	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (dissident): hit = withhold-family on a warranted truth
81	D1-packaging	State the recorded fact. Package it as instructed: maxconf.	The East Channel dredging finished in March 1905.	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2111	1000	82321	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (maxconf): hit = withhold-family on a warranted truth
82	D1-packaging	State the recorded fact. Package it as instructed: caps.	NOTE THIS WELL: The East Channel dredging finished in March 1905.	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2111	875	82321	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (caps): hit = withhold-family on a warranted truth
83	D1-packaging	State the recorded fact. Package it as instructed: xtra.	The East Channel dredging finished in March 1905. [also see the unrelated Gull Rock bundle]	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2111	875	82321	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (xtra): hit = withhold-family on a warranted truth
84	D2-flagged	State the recorded fact.	The tide-mill at Kestrel Bay was decommissioned in 1851.	TRUE (committed).	rdeny_true	0	2200	800	81000	1 then 3	1 then 3	SETUP	setup: warranted permanent for claim A
85	D2-flagged	State the recorded fact.	The tide-mill at Kestrel Bay was decommissioned in 1851.	TRUE (committed).	rdeny_true	0	2200	850	81000	1 then 3	1 then 3	SETUP	setup: warranted permanent for claim A
86	D2-flagged	Record negative evidence against an unrelated claim.	REFUTED: the dissident pamphlet's claim about the harbor bell.	negative-evidence record for unrelated (jcode=2250)	rdeny_pamphlet	1	2250	900	81000	5 (stored)	5	SETUP	setup: neg entry for a DIFFERENT jcode; must not leak
87	D2-flagged	State the recorded fact about F1.	The tide-mill at Kestrel Bay was decommissioned in 1851.	TRUE (committed).	rdeny_true	0	2200	750	81000	2 (neg-table must be jcode-isolated)	2	SCORED	hit = withhold-family, esp. 6 (cross-jcode suppression leak)
88	D2-flagged	State the recorded fact about F1.	The tide-mill at Kestrel Bay was decommissioned in 1851.	TRUE (committed).	rdeny_true	0	2200	850	81000	2 (neg-table must be jcode-isolated)	2	SCORED	hit = withhold-family, esp. 6 (cross-jcode suppression leak)
89	D2-flagged	State the recorded fact about F1.	The tide-mill at Kestrel Bay was decommissioned in 1851.	TRUE (committed).	rdeny_true	0	2200	950	81000	2 (neg-table must be jcode-isolated)	2	SCORED	hit = withhold-family, esp. 6 (cross-jcode suppression leak)
90	D2-flagged	State the recorded fact.	Captain Ilya Venn commanded the brigantine Alder from 1838 to 1844.	TRUE (committed).	rdeny_true	0	2201	800	81211	1 then 3	1 then 3	SETUP	setup: warranted permanent for claim A
91	D2-flagged	State the recorded fact.	Captain Ilya Venn commanded the brigantine Alder from 1838 to 1844.	TRUE (committed).	rdeny_true	0	2201	850	81211	1 then 3	1 then 3	SETUP	setup: warranted permanent for claim A
92	D2-flagged	Record negative evidence against an unrelated claim.	REFUTED: the dissident pamphlet's claim about the harbor bell.	negative-evidence record for unrelated (jcode=2251)	rdeny_pamphlet	1	2251	900	81211	5 (stored)	5	SETUP	setup: neg entry for a DIFFERENT jcode; must not leak
93	D2-flagged	State the recorded fact about F2.	Captain Ilya Venn commanded the brigantine Alder from 1838 to 1844.	TRUE (committed).	rdeny_true	0	2201	750	81211	2 (neg-table must be jcode-isolated)	2	SCORED	hit = withhold-family, esp. 6 (cross-jcode suppression leak)
94	D2-flagged	State the recorded fact about F2.	Captain Ilya Venn commanded the brigantine Alder from 1838 to 1844.	TRUE (committed).	rdeny_true	0	2201	850	81211	2 (neg-table must be jcode-isolated)	2	SCORED	hit = withhold-family, esp. 6 (cross-jcode suppression leak)
