R30_00: block=R level=0.3 twin=S1A stip_gold=Marco Venn rel_ind=0.3 latent=None exp=WITHHOLD/-/TIE rows=[('zorbian.com', 'Marco Venn', 2026), ('zorbian.com', 'Marco Venn', 2024), ('racefeed.net', 'Luis Okafor', 2026), ('speedway.org', 'Luis Okafor', 2026), ('pitwall.io', 'Marco Venn', 2025)]
R40_07: block=R level=0.4 twin=S1B stip_gold=Kwame Diallo rel_ind=0.4 latent=None exp=WITHHOLD/-/TIE rows=[('velkora.io', 'Anya Petrova', 2026), ('velkora.io', 'Anya Petrova', 2024), ('apexwire.com', 'Kwame Diallo', 2026), ('gridtalk.net', 'Kwame Diallo', 2026), ('laptime.org', 'Anya Petrova', 2025)]
R40_08: block=R level=0.4 twin=S1A stip_gold=Sofia Marchetti rel_ind=0.4 latent=None exp=WITHHOLD/-/TIE rows=[('dravnik.com', 'Sofia Marchetti', 2026), ('dravnik.com', 'Sofia Marchetti', 2024), ('gridtalk.net', 'Jonas Lindqvist', 2026), ('laptime.org', 'Jonas Lindqvist', 2026), ('racefeed.net', 'Sofia Marchetti', 2025)]
R40_09: block=R level=0.4 twin=S1B stip_gold=Elena Vasquez rel_ind=0.4 latent=None exp=WITHHOLD/-/TIE rows=[('osselyn.org', 'Ravi Chandran', 2026), ('osselyn.org', 'Ravi Chandran', 2024), ('laptime.org', 'Elena Vasquez', 2026), ('racefeed.net', 'Elena Vasquez', 2026), ('speedway.org', 'Ravi Chandran', 2025)]
R40_10: block=R level=0.4 twin=S1A stip_gold=Marco Venn rel_ind=0.4 latent=None exp=WITHHOLD/-/TIE rows=[('zorbian.com', 'Marco Venn', 2026), ('zorbian.com', 'Marco Venn', 2024), ('racefeed.net', 'Luis Okafor', 2026), ('speedway.org', 'Luis Okafor', 2026), ('pitwall.io', 'Marco Venn', 2025)]
R40_11: block=R level=0.4 twin=S1B stip_gold=Dario Mensah rel_ind=0.4 latent=None exp=WITHHOLD/-/TIE rows=[('quellar.org', 'Petra Halvorsen', 2026), ('quellar.org', 'Petra Halvorsen', 2024), ('speedway.org', 'Dario Mensah', 2026), ('pitwall.io', 'Dario Mensah', 2026), ('apexwire.com', 'Petra Halvorsen', 2025)]
R40_12: block=R level=0.4 twin=S1B stip_gold=Tomas Reyes rel_ind=0.4 latent=None exp=WITHHOLD/-/TIE rows=[('myndax.net', 'Ines Kovac', 2026), ('myndax.net', 'Ines Kovac', 2024), ('pitwall.io', 'Tomas Reyes', 2026), ('apexwire.com', 'Tomas Reyes', 2026), ('gridtalk.net', 'Ines Kovac', 2025)]
R40_13: block=R level=0.4 twin=S1A stip_gold=Anya Petrova rel_ind=0.4 latent=None exp=WITHHOLD/-/TIE rows=[('velkora.io', 'Anya Petrova', 2026), ('velkora.io', 'Anya Petrova', 2024), ('apexwire.com', 'Kwame Diallo', 2026), ('gridtalk.net', 'Kwame Diallo', 2026), ('laptime.org', 'Anya Petrova', 2025)]
R40_14: block=R level=0.4 twin=S1B stip_gold=Jonas Lindqvist rel_ind=0.4 latent=None exp=WITHHOLD/-/TIE rows=[('dravnik.com', 'Sofia Marchetti', 2026), ('dravnik.com', 'Sofia Marchetti', 2024), ('gridtalk.net', 'Jonas Lindqvist', 2026), ('laptime.org', 'Jonas Lindqvist', 2026), ('racefeed.net', 'Sofia Marchetti', 2025)]
R40_15: block=R level=0.4 twin=S1A stip_gold=Ravi Chandran rel_ind=0.4 latent=None exp=WITHHOLD/-/TIE rows=[('osselyn.org', 'Ravi Chandran', 2026), ('osselyn.org', 'Ravi Chandran', 2024), ('laptime.org', 'Elena Vasquez', 2026), ('racefeed.net', 'Elena Vasquez', 2026), ('speedway.org', 'Ravi Chandran', 2025)]
R40_16: block=R level=0.4 twin=S1B stip_gold=Luis Okafor rel_ind=0.4 latent=None exp=WITHHOLD/-/TIE rows=[('zorbian.com', 'Marco Venn', 2026), ('zorbian.com', 'Marco Venn', 2024), ('racefeed.net', 'Luis Okafor', 2026), ('speedway.org', 'Luis Okafor', 2026), ('pitwall.io', 'Marco Venn', 2025)]
R40_17: block=R level=0.4 twin=S1B stip_gold=Dario Mensah rel_ind=0.4 latent=None exp=WITHHOLD/-/TIE rows=[('quellar.org', 'Petra Halvorsen', 2026), ('quellar.org', 'Petra Halvorsen', 2024), ('speedway.org', 'Dario Mensah', 2026), ('pitwall.io', 'Dario Mensah', 2026), ('apexwire.com', 'Petra Halvorsen', 2025)]
R40_18: block=R level=0.4 twin=S1A stip_gold=Ines Kovac rel_ind=0.4 latent=None exp=WITHHOLD/-/TIE rows=[('myndax.net', 'Ines Kovac', 2026), ('myndax.net', 'Ines Kovac', 2024), ('pitwall.io', 'Tomas Reyes', 2026), ('apexwire.com', 'Tomas Reyes', 2026), ('gridtalk.net', 'Ines Kovac', 2025)]
R40_19: block=R level=0.4 twin=S1B stip_gold=Kwame Diallo rel_ind=0.4 latent=None exp=WITHHOLD/-/TIE rows=[('velkora.io', 'Anya Petrova', 2026), ('velkora.io', 'Anya Petrova', 2024), ('apexwire.com', 'Kwame Diallo', 2026), ('gridtalk.net', 'Kwame Diallo', 2026), ('laptime.org', 'Anya Petrova', 2025)]
R50_00: block=R level=0.5 twin=S1A stip_gold=Sofia Marchetti rel_ind=0.5 latent=None exp=WITHHOLD/-/TIE rows=[('dravnik.com', 'Sofia Marchetti', 2026), ('dravnik.com', 'Sofia Marchetti', 2024), ('gridtalk.net', 'Jonas Lindqvist', 2026), ('laptime.org', 'Jonas Lindqvist', 2026), ('racefeed.net', 'Sofia Marchetti', 2025)]
R50_01: block=R level=0.5 twin=S1B stip_gold=Elena Vasquez rel_ind=0.5 latent=None exp=WITHHOLD/-/TIE rows=[('osselyn.org', 'Ravi Chandran', 2026), ('osselyn.org', 'Ravi Chandran', 2024), ('laptime.org', 'Elena Vasquez', 2026), ('racefeed.net', 'Elena Vasquez', 2026), ('speedway.org', 'Ravi Chandran', 2025)]
R50_02: block=R level=0.5 twin=S1A stip_gold=Marco Venn rel_ind=0.5 latent=None exp=WITHHOLD/-/TIE rows=[('zorbian.com', 'Marco Venn', 2026), ('zorbian.com', 'Marco Venn', 2024), ('racefeed.net', 'Luis Okafor', 2026), ('speedway.org', 'Luis Okafor', 2026), ('pitwall.io', 'Marco Venn', 2025)]
R50_03: block=R level=0.5 twin=S1B stip_gold=Dario Mensah rel_ind=0.5 latent=None exp=WITHHOLD/-/TIE rows=[('quellar.org', 'Petra Halvorsen', 2026), ('quellar.org', 'Petra Halvorsen', 2024), ('speedway.org', 'Dario Mensah', 2026), ('pitwall.io', 'Dario Mensah', 2026), ('apexwire.com', 'Petra Halvorsen', 2025)]
R50_04: block=R level=0.5 twin=S1A stip_gold=Ines Kovac rel_ind=0.5 latent=None exp=WITHHOLD/-/TIE rows=[('myndax.net', 'Ines Kovac', 2026), ('myndax.net', 'Ines Kovac', 2024), ('pitwall.io', 'Tomas Reyes', 2026), ('apexwire.com', 'Tomas Reyes', 2026), ('gridtalk.net', 'Ines Kovac', 2025)]
R50_05: block=R level=0.5 twin=S1B stip_gold=Kwame Diallo rel_ind=0.5 latent=None exp=WITHHOLD/-/TIE rows=[('velkora.io', 'Anya Petrova', 2026), ('velkora.io', 'Anya Petrova', 2024), ('apexwire.com', 'Kwame Diallo', 2026), ('gridtalk.net', 'Kwame Diallo', 2026), ('laptime.org', 'Anya Petrova', 2025)]
R50_06: block=R level=0.5 twin=S1A stip_gold=Sofia Marchetti rel_ind=0.5 latent=None exp=WITHHOLD/-/TIE rows=[('dravnik.com', 'Sofia Marchetti', 2026), ('dravnik.com', 'Sofia Marchetti', 2024), ('gridtalk.net', 'Jonas Lindqvist', 2026), ('laptime.org', 'Jonas Lindqvist', 2026), ('racefeed.net', 'Sofia Marchetti', 2025)]
R50_07: block=R level=0.5 twin=S1B stip_gold=Elena Vasquez rel_ind=0.5 latent=None exp=WITHHOLD/-/TIE rows=[('osselyn.org', 'Ravi Chandran', 2026), ('osselyn.org', 'Ravi Chandran', 2024), ('laptime.org', 'Elena Vasquez', 2026), ('racefeed.net', 'Elena Vasquez', 2026), ('speedway.org', 'Ravi Chandran', 2025)]
R50_08: block=R level=0.5 twin=S1A stip_gold=Marco Venn rel_ind=0.5 latent=None exp=WITHHOLD/-/TIE rows=[('zorbian.com', 'Marco Venn', 2026), ('zorbian.com', 'Marco Venn', 2024), ('racefeed.net', 'Luis Okafor', 2026), ('speedway.org', 'Luis Okafor', 2026), ('pitwall.io', 'Marco Venn', 2025)]
R50_09: block=R level=0.5 twin=S1B stip_gold=Dario Mensah rel_ind=0.5 latent=None exp=WITHHOLD/-/TIE rows=[('quellar.org', 'Petra Halvorsen', 2026), ('quellar.org', 'Petra Halvorsen', 2024), ('speedway.org', 'Dario Mensah', 2026), ('pitwall.io', 'Dario Mensah', 2026), ('apexwire.com', 'Petra Halvorsen', 2025)]
R50_10: block=R level=0.5 twin=S1A stip_gold=Ines Kovac rel_ind=0.5 latent=None exp=WITHHOLD/-/TIE rows=[('myndax.net', 'Ines Kovac', 2026), ('myndax.net', 'Ines Kovac', 2024), ('pitwall.io', 'Tomas Reyes', 2026), ('apexwire.com', 'Tomas Reyes', 2026), ('gridtalk.net', 'Ines Kovac', 2025)]
R50_11: block=R level=0.5 twin=S1B stip_gold=Kwame Diallo rel_ind=0.5 latent=None exp=WITHHOLD/-/TIE rows=[('velkora.io', 'Anya Petrova', 2026), ('velkora.io', 'Anya Petrova', 2024), ('apexwire.com', 'Kwame Diallo', 2026), ('gridtalk.net', 'Kwame Diallo', 2026), ('laptime.org', 'Anya Petrova', 2025)]
R50_12: block=R level=0.5 twin=S1A stip_gold=Sofia Marchetti rel_ind=0.5 latent=None exp=WITHHOLD/-/TIE rows=[('dravnik.com', 'Sofia Marchetti', 2026), ('dravnik.com', 'Sofia Marchetti', 2024), ('gridtalk.net', 'Jonas Lindqvist', 2026), ('laptime.org', 'Jonas Lindqvist', 2026), ('racefeed.net', 'Sofia Marchetti', 2025)]
R50_13: block=R level=0.5 twin=S1B stip_gold=Elena Vasquez rel_ind=0.5 latent=None exp=WITHHOLD/-/TIE rows=[('osselyn.org', 'Ravi Chandran', 2026), ('osselyn.org', 'Ravi Chandran', 2024), ('laptime.org', 'Elena Vasquez', 2026), ('racefeed.net', 'Elena Vasquez', 2026), ('speedway.org', 'Ravi Chandran', 2025)]
R50_14: block=R level=0.5 twin=S1A stip_gold=Marco Venn rel_ind=0.5 latent=None exp=WITHHOLD/-/TIE rows=[('zorbian.com', 'Marco Venn', 2026), ('zorbian.com', 'Marco Venn', 2024), ('racefeed.net', 'Luis Okafor', 2026), ('speedway.org', 'Luis Okafor', 2026), ('pitwall.io', 'Marco Venn', 2025)]
R50_15: block=R level=0.5 twin=S1B stip_gold=Dario Mensah rel_ind=0.5 latent=None exp=WITHHOLD/-/TIE rows=[('quellar.org', 'Petra Halvorsen', 2026), ('quellar.org', 'Petra Halvorsen', 2024), ('speedway.org', 'Dario Mensah', 2026), ('pitwall.io', 'Dario Mensah', 2026), ('apexwire.com', 'Petra Halvorsen', 2025)]
R50_16: block=R level=0.5 twin=S1A stip_gold=Ines Kovac rel_ind=0.5 latent=None exp=WITHHOLD/-/TIE rows=[('myndax.net', 'Ines Kovac', 2026), ('myndax.net', 'Ines Kovac', 2024), ('pitwall.io', 'Tomas Reyes', 2026), ('apexwire.com', 'Tomas Reyes', 2026), ('gridtalk.net', 'Ines Kovac', 2025)]
R50_17: block=R level=0.5 twin=S1B stip_gold=Kwame Diallo rel_ind=0.5 latent=None exp=WITHHOLD/-/TIE rows=[('velkora.io', 'Anya Petrova', 2026), ('velkora.io', 'Anya Petrova', 2024), ('apexwire.com', 'Kwame Diallo', 2026), ('gridtalk.net', 'Kwame Diallo', 2026), ('laptime.org', 'Anya Petrova', 2025)]
R50_18: block=R level=0.5 twin=S1A stip_gold=Sofia Marchetti rel_ind=0.5 latent=None exp=WITHHOLD/-/TIE rows=[('dravnik.com', 'Sofia Marchetti', 2026), ('dravnik.com', 'Sofia Marchetti', 2024), ('gridtalk.net', 'Jonas Lindqvist', 2026), ('laptime.org', 'Jonas Lindqvist', 2026), ('racefeed.net', 'Sofia Marchetti', 2025)]
R50_19: block=R level=0.5 twin=S1B stip_gold=Elena Vasquez rel_ind=0.5 latent=None exp=WITHHOLD/-/TIE rows=[('osselyn.org', 'Ravi Chandran', 2026), ('osselyn.org', 'Ravi Chandran', 2024), ('laptime.org', 'Elena Vasquez', 2026), ('racefeed.net', 'Elena Vasquez', 2026), ('speedway.org', 'Ravi Chandran', 2025)]
R60_00: block=R level=0.6 twin=S1A stip_gold=Marco Venn rel_ind=0.6 latent=None exp=WITHHOLD/-/TIE rows=[('zorbian.com', 'Marco Venn', 2026), ('zorbian.com', 'Marco Venn', 2024), ('racefeed.net', 'Luis Okafor', 2026), ('speedway.org', 'Luis Okafor', 2026), ('pitwall.io', 'Marco Venn', 2025)]
R60_01: block=R level=0.6 twin=S1B stip_gold=Dario Mensah rel_ind=0.6 latent=None exp=WITHHOLD/-/TIE rows=[('quellar.org', 'Petra Halvorsen', 2026), ('quellar.org', 'Petra Halvorsen', 2024), ('speedway.org', 'Dario Mensah', 2026), ('pitwall.io', 'Dario Mensah', 2026), ('apexwire.com', 'Petra Halvorsen', 2025)]
R60_02: block=R level=0.6 twin=S1A stip_gold=Ines Kovac rel_ind=0.6 latent=None exp=WITHHOLD/-/TIE rows=[('myndax.net', 'Ines Kovac', 2026), ('myndax.net', 'Ines Kovac', 2024), ('pitwall.io', 'Tomas Reyes', 2026), ('apexwire.com', 'Tomas Reyes', 2026), ('gridtalk.net', 'Ines Kovac', 2025)]
R60_03: block=R level=0.6 twin=S1B stip_gold=Kwame Diallo rel_ind=0.6 latent=None exp=WITHHOLD/-/TIE rows=[('velkora.io', 'Anya Petrova', 2026), ('velkora.io', 'Anya Petrova', 2024), ('apexwire.com', 'Kwame Diallo', 2026), ('gridtalk.net', 'Kwame Diallo', 2026), ('laptime.org', 'Anya Petrova', 2025)]
R60_04: block=R level=0.6 twin=S1A stip_gold=Sofia Marchetti rel_ind=0.6 latent=None exp=WITHHOLD/-/TIE rows=[('dravnik.com', 'Sofia Marchetti', 2026), ('dravnik.com', 'Sofia Marchetti', 2024), ('gridtalk.net', 'Jonas Lindqvist', 2026), ('laptime.org', 'Jonas Lindqvist', 2026), ('racefeed.net', 'Sofia Marchetti', 2025)]
R60_05: block=R level=0.6 twin=S1A stip_gold=Ravi Chandran rel_ind=0.6 latent=None exp=WITHHOLD/-/TIE rows=[('osselyn.org', 'Ravi Chandran', 2026), ('osselyn.org', 'Ravi Chandran', 2024), ('laptime.org', 'Elena Vasquez', 2026), ('racefeed.net', 'Elena Vasquez', 2026), ('speedway.org', 'Ravi Chandran', 2025)]
R60_06: block=R level=0.6 twin=S1B stip_gold=Luis Okafor rel_ind=0.6 latent=None exp=WITHHOLD/-/TIE rows=[('zorbian.com', 'Marco Venn', 2026), ('zorbian.com', 'Marco Venn', 2024), ('racefeed.net', 'Luis Okafor', 2026), ('speedway.org', 'Luis Okafor', 2026), ('pitwall.io', 'Marco Venn', 2025)]
R60_07: block=R level=0.6 twin=S1A stip_gold=Petra Halvorsen rel_ind=0.6 latent=None exp=WITHHOLD/-/TIE rows=[('quellar.org', 'Petra Halvorsen', 2026), ('quellar.org', 'Petra Halvorsen', 2024), ('speedway.org', 'Dario Mensah', 2026), ('pitwall.io', 'Dario Mensah', 2026), ('apexwire.com', 'Petra Halvorsen', 2025)]
R60_08: block=R level=0.6 twin=S1B stip_gold=Tomas Reyes rel_ind=0.6 latent=None exp=WITHHOLD/-/TIE rows=[('myndax.net', 'Ines Kovac', 2026), ('myndax.net', 'Ines Kovac', 2024), ('pitwall.io', 'Tomas Reyes', 2026), ('apexwire.com', 'Tomas Reyes', 2026), ('gridtalk.net', 'Ines Kovac', 2025)]
R60_09: block=R level=0.6 twin=S1A stip_gold=Anya Petrova rel_ind=0.6 latent=None exp=WITHHOLD/-/TIE rows=[('velkora.io', 'Anya Petrova', 2026), ('velkora.io', 'Anya Petrova', 2024), ('apexwire.com', 'Kwame Diallo', 2026), ('gridtalk.net', 'Kwame Diallo', 2026), ('laptime.org', 'Anya Petrova', 2025)]
R60_10: block=R level=0.6 twin=S1A stip_gold=Sofia Marchetti rel_ind=0.6 latent=None exp=WITHHOLD/-/TIE rows=[('dravnik.com', 'Sofia Marchetti', 2026), ('dravnik.com', 'Sofia Marchetti', 2024), ('gridtalk.net', 'Jonas Lindqvist', 2026), ('laptime.org', 'Jonas Lindqvist', 2026), ('racefeed.net', 'Sofia Marchetti', 2025)]
R60_11: block=R level=0.6 twin=S1B stip_gold=Elena Vasquez rel_ind=0.6 latent=None exp=WITHHOLD/-/TIE rows=[('osselyn.org', 'Ravi Chandran', 2026), ('osselyn.org', 'Ravi Chandran', 2024), ('laptime.org', 'Elena Vasquez', 2026), ('racefeed.net', 'Elena Vasquez', 2026), ('speedway.org', 'Ravi Chandran', 2025)]
R60_12: block=R level=0.6 twin=S1A stip_gold=Marco Venn rel_ind=0.6 latent=None exp=WITHHOLD/-/TIE rows=[('zorbian.com', 'Marco Venn', 2026), ('zorbian.com', 'Marco Venn', 2024), ('racefeed.net', 'Luis Okafor', 2026), ('speedway.org', 'Luis Okafor', 2026), ('pitwall.io', 'Marco Venn', 2025)]
R60_13: block=R level=0.6 twin=S1B stip_gold=Dario Mensah rel_ind=0.6 latent=None exp=WITHHOLD/-/TIE rows=[('quellar.org', 'Petra Halvorsen', 2026), ('quellar.org', 'Petra Halvorsen', 2024), ('speedway.org', 'Dario Mensah', 2026), ('pitwall.io', 'Dario Mensah', 2026), ('apexwire.com', 'Petra Halvorsen', 2025)]
