# R2-2 enrolled true exemplars: 370 frozen noise fixtures
# idx | task | truth | source (lab-relative)
0 | colordisc | SAME | senses/rebuild/harness/fixtures/t1_colordisc/noise/p000.img
146 | shapetrans | TRIANGLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p046.img
147 | shapetrans | SQUARE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p047.img
148 | shapetrans | CIRCLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p048.img
149 | shapetrans | TRIANGLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p049.img
150 | shapetrans | SQUARE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p050.img
151 | shapetrans | CIRCLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p051.img
152 | shapetrans | TRIANGLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p052.img
153 | shapetrans | SQUARE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p053.img
154 | shapetrans | CIRCLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p054.img
155 | shapetrans | TRIANGLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p055.img
156 | shapetrans | SQUARE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p056.img
157 | shapetrans | CIRCLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p057.img
158 | shapetrans | TRIANGLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p058.img
159 | shapetrans | SQUARE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p059.img
160 | shapetrans | CIRCLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p060.img
161 | shapetrans | TRIANGLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p061.img
162 | shapetrans | SQUARE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p062.img
163 | shapetrans | CIRCLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p063.img
164 | shapetrans | TRIANGLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p064.img
165 | shapetrans | SQUARE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p065.img
166 | shapetrans | CIRCLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p066.img
167 | shapetrans | TRIANGLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p067.img
168 | shapetrans | SQUARE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p068.img
169 | shapetrans | CIRCLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p069.img
170 | shapetrans | TRIANGLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p070.img
171 | shapetrans | SQUARE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p071.img
172 | shapetrans | CIRCLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p072.img
173 | shapetrans | TRIANGLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p073.img
174 | shapetrans | SQUARE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p074.img
175 | shapetrans | CIRCLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p075.img
176 | shapetrans | TRIANGLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p076.img
177 | shapetrans | SQUARE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p077.img
178 | shapetrans | CIRCLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p078.img
179 | shapetrans | TRIANGLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p079.img
180 | shapetrans | SQUARE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p080.img
181 | shapetrans | CIRCLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p081.img
182 | shapetrans | TRIANGLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p082.img
183 | shapetrans | SQUARE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p083.img
184 | shapetrans | CIRCLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p084.img
185 | shapetrans | TRIANGLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p085.img
186 | shapetrans | SQUARE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p086.img
187 | shapetrans | CIRCLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p087.img
188 | shapetrans | TRIANGLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p088.img
189 | shapetrans | SQUARE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p089.img
190 | pitchdisc | SAME | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p000.pcm
191 | pitchdisc | HIGHER | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p001.pcm
192 | pitchdisc | LOWER | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p002.pcm
193 | pitchdisc | SAME | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p003.pcm
194 | pitchdisc | HIGHER | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p004.pcm
195 | pitchdisc | LOWER | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p005.pcm
196 | pitchdisc | SAME | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p006.pcm
197 | pitchdisc | HIGHER | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p007.pcm
198 | pitchdisc | LOWER | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p008.pcm
199 | pitchdisc | SAME | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p009.pcm
200 | pitchdisc | HIGHER | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p010.pcm
201 | pitchdisc | LOWER | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p011.pcm
202 | pitchdisc | SAME | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p012.pcm
203 | pitchdisc | HIGHER | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p013.pcm
204 | pitchdisc | LOWER | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p014.pcm
205 | pitchdisc | SAME | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p015.pcm
206 | pitchdisc | HIGHER | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p016.pcm
207 | pitchdisc | LOWER | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p017.pcm
208 | pitchdisc | SAME | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p018.pcm
209 | pitchdisc | HIGHER | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p019.pcm
210 | pitchdisc | LOWER | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p020.pcm
211 | pitchdisc | SAME | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p021.pcm
212 | pitchdisc | HIGHER | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p022.pcm
213 | pitchdisc | LOWER | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p023.pcm
214 | pitchdisc | SAME | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p024.pcm
215 | pitchdisc | HIGHER | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p025.pcm
216 | pitchdisc | LOWER | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p026.pcm
217 | pitchdisc | SAME | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p027.pcm
218 | pitchdisc | HIGHER | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p028.pcm
219 | pitchdisc | LOWER | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p029.pcm
220 | pitchdisc | SAME | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p030.pcm
221 | pitchdisc | HIGHER | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p031.pcm
222 | pitchdisc | LOWER | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p032.pcm
223 | pitchdisc | SAME | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p033.pcm
224 | pitchdisc | HIGHER | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p034.pcm
225 | pitchdisc | LOWER | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p035.pcm
226 | pitchdisc | SAME | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p036.pcm
227 | pitchdisc | HIGHER | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p037.pcm
228 | pitchdisc | LOWER | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p038.pcm
229 | pitchdisc | SAME | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p039.pcm
230 | pitchdisc | HIGHER | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p040.pcm
231 | pitchdisc | LOWER | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p041.pcm
232 | pitchdisc | SAME | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p042.pcm
233 | pitchdisc | HIGHER | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p043.pcm
234 | pitchdisc | LOWER | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p044.pcm
235 | pitchdisc | SAME | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p045.pcm
236 | pitchdisc | HIGHER | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p046.pcm
237 | pitchdisc | LOWER | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p047.pcm
238 | pitchdisc | SAME | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p048.pcm
239 | pitchdisc | HIGHER | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p049.pcm
240 | pitchdisc | LOWER | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p050.pcm
241 | pitchdisc | SAME | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p051.pcm
242 | pitchdisc | HIGHER | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p052.pcm
243 | pitchdisc | LOWER | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p053.pcm
244 | pitchdisc | SAME | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p054.pcm
245 | pitchdisc | HIGHER | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p055.pcm
246 | pitchdisc | LOWER | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p056.pcm
247 | pitchdisc | SAME | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p057.pcm
248 | pitchdisc | HIGHER | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p058.pcm
249 | pitchdisc | LOWER | senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p059.pcm
250 | timbredisc | PURE | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p000.pcm
251 | timbredisc | BRIGHT | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p001.pcm
252 | timbredisc | DARK | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p002.pcm
253 | timbredisc | RICH | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p003.pcm
254 | timbredisc | PURE | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p004.pcm
255 | timbredisc | BRIGHT | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p005.pcm
256 | timbredisc | DARK | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p006.pcm
257 | timbredisc | RICH | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p007.pcm
258 | timbredisc | PURE | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p008.pcm
259 | timbredisc | BRIGHT | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p009.pcm
260 | timbredisc | DARK | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p010.pcm
261 | timbredisc | RICH | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p011.pcm
262 | timbredisc | PURE | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p012.pcm
263 | timbredisc | BRIGHT | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p013.pcm
264 | timbredisc | DARK | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p014.pcm
265 | timbredisc | RICH | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p015.pcm
266 | timbredisc | PURE | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p016.pcm
267 | timbredisc | BRIGHT | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p017.pcm
268 | timbredisc | DARK | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p018.pcm
269 | timbredisc | RICH | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p019.pcm
270 | timbredisc | PURE | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p020.pcm
271 | timbredisc | BRIGHT | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p021.pcm
272 | timbredisc | DARK | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p022.pcm
273 | timbredisc | RICH | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p023.pcm
274 | timbredisc | PURE | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p024.pcm
275 | timbredisc | BRIGHT | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p025.pcm
276 | timbredisc | DARK | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p026.pcm
277 | timbredisc | RICH | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p027.pcm
278 | timbredisc | PURE | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p028.pcm
279 | timbredisc | BRIGHT | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p029.pcm
280 | timbredisc | DARK | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p030.pcm
281 | timbredisc | RICH | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p031.pcm
282 | timbredisc | PURE | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p032.pcm
