trial_id	task	split	family	fixture	truth
r211g_r2a_timbredisc_0036	timbredisc	adversarial	R2A-TMB-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_timbredisc_0036.pcm	BRIGHT
r211g_r2a_timbredisc_0145	timbredisc	adversarial	R2A-TMB-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_timbredisc_0145.pcm	RICH
r211g_r2a_colordisc_0035	colordisc	adversarial	R2A-COL-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colordisc_0035.img	DIFFERENT
r211g_r2a_timbredisc_0462	timbredisc	adversarial	R2A-TMB-2	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_timbredisc_0462.pcm	RICH
r211g_r2a_colordisc_0803	colordisc	adversarial	R2A-COL-3	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colordisc_0803.img	DIFFERENT
r211g_r2n_motiondir_0220	motiondir	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_motiondir_0220.vid	E
r211g_r2a_shapetrans_0550	shapetrans	adversarial	R2A-SHP-2	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_shapetrans_0550.img	TRIANGLE
r211g_r2a_motiondir_0977	motiondir	adversarial	R2A-MOT-3	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_motiondir_0977.vid	NW
r211g_r2n_shapetrans_1076	shapetrans	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_shapetrans_1076.img	SQUARE
r211g_r2a_motiondir_0569	motiondir	adversarial	R2A-MOT-2	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_motiondir_0569.vid	NE
r211g_r2n_pitchdisc_0585	pitchdisc	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_pitchdisc_0585.pcm	SAME
r211g_r2a_shapetrans_0078	shapetrans	adversarial	R2A-SHP-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_shapetrans_0078.img	TRIANGLE
r211g_r2a_colordisc_0783	colordisc	adversarial	R2A-COL-3	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colordisc_0783.img	DIFFERENT
r211g_r2n_timbredisc_0247	timbredisc	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_timbredisc_0247.pcm	RICH
r211g_r2a_colordisc_0120	colordisc	adversarial	R2A-COL-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colordisc_0120.img	DIFFERENT
r211g_r2n_timbredisc_0196	timbredisc	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_timbredisc_0196.pcm	PURE
r211g_r2a_shapetrans_0894	shapetrans	adversarial	R2A-SHP-3	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_shapetrans_0894.img	CIRCLE
r211g_r2n_motiondir_0548	motiondir	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_motiondir_0548.vid	STILL
r211g_r2n_pitchdisc_0465	pitchdisc	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_pitchdisc_0465.pcm	SAME
r211g_r2n_shapetrans_0367	shapetrans	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_shapetrans_0367.img	TRIANGLE
r211g_r2n_shapetrans_1292	shapetrans	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_shapetrans_1292.img	SQUARE
r211g_r2n_shapetrans_0447	shapetrans	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_shapetrans_0447.img	CIRCLE
r211g_r2a_motiondir_0975	motiondir	adversarial	R2A-MOT-3	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_motiondir_0975.vid	SW
r211g_r2a_shapetrans_1028	shapetrans	adversarial	R2A-SHP-3	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_shapetrans_1028.img	TRIANGLE
r211g_r2a_timbredisc_0208	timbredisc	adversarial	R2A-TMB-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_timbredisc_0208.pcm	RICH
r211g_r2n_shapetrans_0959	shapetrans	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_shapetrans_0959.img	SQUARE
r211g_r2a_colorconst_0260	colorconst	adversarial	R2A-CCN-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colorconst_0260.img	SAME_SURFACE
r211g_r2a_colorconst_0559	colorconst	adversarial	R2A-CCN-2	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colorconst_0559.img	SAME_SURFACE
r211g_r2a_pitchdisc_0155	pitchdisc	adversarial	R2A-PTC-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_pitchdisc_0155.pcm	SAME
r211g_r2a_colordisc_0469	colordisc	adversarial	R2A-COL-2	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colordisc_0469.img	SAME
r211g_r2a_colordisc_0251	colordisc	adversarial	R2A-COL-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colordisc_0251.img	DIFFERENT
r211g_r2a_timbredisc_0179	timbredisc	adversarial	R2A-TMB-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_timbredisc_0179.pcm	DARK
r211g_r2n_shapetrans_0792	shapetrans	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_shapetrans_0792.img	CIRCLE
r211g_r2n_timbredisc_0415	timbredisc	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_timbredisc_0415.pcm	RICH
r211g_r2n_motiondir_0259	motiondir	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_motiondir_0259.vid	S
r211g_r2a_motiondir_0475	motiondir	adversarial	R2A-MOT-2	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_motiondir_0475.vid	SW
r211g_r2a_timbredisc_0522	timbredisc	adversarial	R2A-TMB-3	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_timbredisc_0522.pcm	BRIGHT
r211g_r2n_pitchdisc_0659	pitchdisc	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_pitchdisc_0659.pcm	LOWER
r211g_r2n_shapetrans_0585	shapetrans	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_shapetrans_0585.img	CIRCLE
r211g_r2n_shapetrans_0331	shapetrans	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_shapetrans_0331.img	TRIANGLE
r211g_r2n_pitchdisc_0448	pitchdisc	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_pitchdisc_0448.pcm	HIGHER
r211g_r2a_motiondir_0115	motiondir	adversarial	R2A-MOT-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_motiondir_0115.vid	W
r211g_r2n_colordisc_0481	colordisc	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_colordisc_0481.img	DIFFERENT
r211g_r2a_motiondir_0299	motiondir	adversarial	R2A-MOT-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_motiondir_0299.vid	SE
r211g_r2a_timbredisc_0391	timbredisc	adversarial	R2A-TMB-2	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_timbredisc_0391.pcm	PURE
r211g_r2n_pitchdisc_0361	pitchdisc	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_pitchdisc_0361.pcm	HIGHER
r211g_r2n_timbredisc_0278	timbredisc	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_timbredisc_0278.pcm	DARK
r211g_r2n_colordisc_0948	colordisc	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_colordisc_0948.img	DIFFERENT
r211g_r2a_colordisc_0886	colordisc	adversarial	R2A-COL-3	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colordisc_0886.img	DIFFERENT
r211g_r2a_colorconst_0638	colorconst	adversarial	R2A-CCN-2	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colorconst_0638.img	SAME_SURFACE
r211g_r2a_pitchdisc_0515	pitchdisc	adversarial	R2A-PTC-2	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_pitchdisc_0515.pcm	LOWER
r211g_r2a_colorconst_0109	colorconst	adversarial	R2A-CCN-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colorconst_0109.img	DIFFERENT
r211g_r2n_shapetrans_0606	shapetrans	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_shapetrans_0606.img	CIRCLE
r211g_r2n_colordisc_0996	colordisc	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_colordisc_0996.img	DIFFERENT
r211g_r2n_shapetrans_0711	shapetrans	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_shapetrans_0711.img	CIRCLE
r211g_r2a_colordisc_0177	colordisc	adversarial	R2A-COL-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colordisc_0177.img	DIFFERENT
r211g_r2a_motiondir_0409	motiondir	adversarial	R2A-MOT-2	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_motiondir_0409.vid	NW
r211g_r2a_colorconst_0116	colorconst	adversarial	R2A-CCN-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colorconst_0116.img	SAME_SURFACE
r211g_r2a_pitchdisc_0901	pitchdisc	adversarial	R2A-PTC-3	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_pitchdisc_0901.pcm	HIGHER
r211g_r2n_colordisc_0839	colordisc	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_colordisc_0839.img	DIFFERENT
r211g_r2a_colorconst_0356	colorconst	adversarial	R2A-CCN-2	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colorconst_0356.img	SAME_SURFACE
r211g_r2n_timbredisc_0197	timbredisc	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_timbredisc_0197.pcm	BRIGHT
r211g_r2n_colorconst_0683	colorconst	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_colorconst_0683.img	DIFFERENT
r211g_r2a_pitchdisc_0662	pitchdisc	adversarial	R2A-PTC-2	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_pitchdisc_0662.pcm	LOWER
r211g_r2n_shapetrans_0517	shapetrans	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_shapetrans_0517.img	TRIANGLE
r211g_r2a_timbredisc_0531	timbredisc	adversarial	R2A-TMB-3	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_timbredisc_0531.pcm	DARK
r211g_r2n_timbredisc_0180	timbredisc	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_timbredisc_0180.pcm	PURE
r211g_r2a_shapetrans_1108	shapetrans	adversarial	R2A-SHP-3	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_shapetrans_1108.img	SQUARE
r211g_r2a_shapetrans_0395	shapetrans	adversarial	R2A-SHP-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_shapetrans_0395.img	CIRCLE
r211g_r2a_shapetrans_0052	shapetrans	adversarial	R2A-SHP-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_shapetrans_0052.img	SQUARE
r211g_r2n_colorconst_0609	colorconst	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_colorconst_0609.img	DIFFERENT
r211g_r2n_motiondir_0194	motiondir	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_motiondir_0194.vid	SE
r211g_r2a_pitchdisc_1008	pitchdisc	adversarial	R2A-PTC-3	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_pitchdisc_1008.pcm	SAME
r211g_r2a_colordisc_0405	colordisc	adversarial	R2A-COL-2	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colordisc_0405.img	SAME
r211g_r2n_shapetrans_1157	shapetrans	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_shapetrans_1157.img	SQUARE
r211g_r2a_colordisc_0725	colordisc	adversarial	R2A-COL-2	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colordisc_0725.img	SAME
r211g_r2a_pitchdisc_0013	pitchdisc	adversarial	R2A-PTC-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_pitchdisc_0013.pcm	HIGHER
r211g_r2n_pitchdisc_0035	pitchdisc	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_pitchdisc_0035.pcm	LOWER
r211g_r2a_timbredisc_0582	timbredisc	adversarial	R2A-TMB-3	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_timbredisc_0582.pcm	RICH
r211g_r2a_pitchdisc_0214	pitchdisc	adversarial	R2A-PTC-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_pitchdisc_0214.pcm	LOWER
r211g_r2a_pitchdisc_0503	pitchdisc	adversarial	R2A-PTC-2	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_pitchdisc_0503.pcm	LOWER
r211g_r2n_shapetrans_0056	shapetrans	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_shapetrans_0056.img	SQUARE
r211g_r2a_shapetrans_1069	shapetrans	adversarial	R2A-SHP-3	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_shapetrans_1069.img	CIRCLE
r211g_r2n_timbredisc_0624	timbredisc	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_timbredisc_0624.pcm	PURE
r211g_r2n_timbredisc_0384	timbredisc	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_timbredisc_0384.pcm	PURE
r211g_r2a_colorconst_0353	colorconst	adversarial	R2A-CCN-2	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colorconst_0353.img	SAME_SURFACE
r211g_r2n_timbredisc_0202	timbredisc	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_timbredisc_0202.pcm	DARK
r211g_r2n_motiondir_0434	motiondir	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_motiondir_0434.vid	E
r211g_r2a_pitchdisc_0420	pitchdisc	adversarial	R2A-PTC-2	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_pitchdisc_0420.pcm	LOWER
r211g_r2n_pitchdisc_0289	pitchdisc	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_pitchdisc_0289.pcm	HIGHER
r211g_r2n_shapetrans_1210	shapetrans	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_shapetrans_1210.img	TRIANGLE
r211g_r2a_pitchdisc_0664	pitchdisc	adversarial	R2A-PTC-2	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_pitchdisc_0664.pcm	LOWER
r211g_r2n_motiondir_0424	motiondir	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_motiondir_0424.vid	W
r211g_r2a_colordisc_0288	colordisc	adversarial	R2A-COL-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colordisc_0288.img	DIFFERENT
r211g_r2n_pitchdisc_0668	pitchdisc	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_pitchdisc_0668.pcm	LOWER
r211g_r2n_motiondir_0252	motiondir	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_motiondir_0252.vid	S
r211g_r2a_motiondir_0714	motiondir	adversarial	R2A-MOT-3	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_motiondir_0714.vid	NW
r211g_r2a_shapetrans_0575	shapetrans	adversarial	R2A-SHP-2	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_shapetrans_0575.img	TRIANGLE
r211g_r2a_pitchdisc_0485	pitchdisc	adversarial	R2A-PTC-2	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_pitchdisc_0485.pcm	HIGHER
r211g_r2a_motiondir_0501	motiondir	adversarial	R2A-MOT-2	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_motiondir_0501.vid	NE
r211g_r2n_motiondir_0324	motiondir	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_motiondir_0324.vid	S
r211g_r2a_motiondir_0256	motiondir	adversarial	R2A-MOT-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_motiondir_0256.vid	NW
r211g_r2n_shapetrans_1163	shapetrans	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_shapetrans_1163.img	SQUARE
r211g_r2n_timbredisc_0055	timbredisc	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_timbredisc_0055.pcm	RICH
r211g_r2n_colorconst_0342	colorconst	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_colorconst_0342.img	SAME_SURFACE
r211g_r2a_shapetrans_0410	shapetrans	adversarial	R2A-SHP-2	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_shapetrans_0410.img	SQUARE
r211g_r2a_pitchdisc_0866	pitchdisc	adversarial	R2A-PTC-3	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_pitchdisc_0866.pcm	LOWER
r211g_r2n_colorconst_0290	colorconst	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_colorconst_0290.img	SAME_SURFACE
r211g_r2n_timbredisc_0677	timbredisc	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_timbredisc_0677.pcm	BRIGHT
r211g_r2n_colorconst_0461	colorconst	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_colorconst_0461.img	DIFFERENT
r211g_r2n_colordisc_0256	colordisc	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_colordisc_0256.img	SAME
r211g_r2n_colorconst_0489	colorconst	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_colorconst_0489.img	DIFFERENT
r211g_r2n_colordisc_0820	colordisc	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_colordisc_0820.img	DIFFERENT
r211g_r2a_colorconst_0088	colorconst	adversarial	R2A-CCN-1	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colorconst_0088.img	SAME_SURFACE
r211g_r2n_pitchdisc_0131	pitchdisc	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_pitchdisc_0131.pcm	LOWER
r211g_r2n_shapetrans_0291	shapetrans	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_shapetrans_0291.img	CIRCLE
r211g_r2n_colorconst_0268	colorconst	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_colorconst_0268.img	SAME_SURFACE
r211g_r2a_pitchdisc_0987	pitchdisc	adversarial	R2A-PTC-3	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_pitchdisc_0987.pcm	SAME
r211g_r2n_colorconst_0050	colorconst	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_colorconst_0050.img	SAME_SURFACE
r211g_r2n_shapetrans_1141	shapetrans	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_shapetrans_1141.img	TRIANGLE
r211g_r2a_colordisc_1028	colordisc	adversarial	R2A-COL-3	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_colordisc_1028.img	DIFFERENT
r211g_r2n_colordisc_0571	colordisc	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_colordisc_0571.img	DIFFERENT
r211g_r2a_pitchdisc_1011	pitchdisc	adversarial	R2A-PTC-3	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_pitchdisc_1011.pcm	SAME
r211g_r2n_colorconst_0549	colorconst	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_colorconst_0549.img	DIFFERENT
r211g_r2n_motiondir_0237	motiondir	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_motiondir_0237.vid	NE
r211g_r2n_shapetrans_1165	shapetrans	normal	R2N	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2n_shapetrans_1165.img	TRIANGLE
r211g_r2a_shapetrans_0652	shapetrans	adversarial	R2A-SHP-2	/home/hatch/workspace/tnn-lab/senses/pam-rebuild/round2/fixtures/r2a_shapetrans_0652.img	TRIANGLE
