session	seq	kind	span_start	span_end	grounds	conf	tag
S1	11	WORD_SPAN	225	228	-	119	FLAW-11
S1	12	WORD_SPAN	5	7	150-152;454-456;2797-2799	131	T1-P019
S1	13	WORD_SPAN	8	11	171-174;1126-1129;2212-2215	137	T1-P016
S1	14	WORD_SPAN	126	129	146-149;192-195;1400-1403	131	T1-P036
S1	15	WORD_SPAN	168	170	420-422;3656-3658;4122-4124	137	T1-P018
S1	16	WORD_SPAN	398	401	408-411;469-472;498-501	137	T1-P015
S1	17	WORD_SPAN	457	461	3395-3399;15128-15132;15562-15566	162	T1-P035
S1	18	WORD_SPAN	483	485	986-988;1138-1140;1227-1229	137	T1-P017
S1	19	WORD_SPAN	495	497	1173-1175;2061-2063;2516-2518	131	T1-P024
S1	20	WORD_SPAN	712	716	1644-1648;2026-2030;3887-3891	137	T1-P020
S1	21	WORD_SPAN	870	873	3557-3560;6310-6313;6473-6476	137	T1-P022
S1	22	WORD_SPAN	1030	1034	2921-2925;3341-3345;4251-4255	137	T1-P009
S1	23	WORD_SPAN	1077	1081	1942-1946;3045-3049;3138-3142	131	T1-P038
S1	24	WORD_SPAN	1133	1137	1282-1286;2493-2497;2766-2770	175	T1-P025
S1	25	WORD_SPAN	1276	1278	1461-1463;1546-1548;3862-3864	137	T1-P014
S1	26	WORD_SPAN	1290	1293	3284-3287;6684-6687;8964-8967	162	T1-P032
S1	27	WORD_SPAN	1775	1779	2132-2136;2757-2761;3623-3627	162	T1-P033
S1	28	WORD_SPAN	1811	1814	1948-1951;4655-4658;4874-4877	125	T1-P037
S1	29	WORD_SPAN	2105	2108	2179-2182;2318-2321;3243-3246	137	T1-P013
S1	30	WORD_SPAN	2163	2166	3549-3552;4013-4016;4170-4173	137	T1-P011
S1	31	WORD_SPAN	2183	2187	2723-2727;3960-3964;4975-4979	137	T1-P010
S1	32	WORD_SPAN	2788	2793	27787-27792;27819-27824;28192-28197	175	T1-P029
S1	33	WORD_SPAN	2827	2830	3905-3908;10021-10024;19207-19210	137	T1-P023
S1	34	WORD_SPAN	2869	2871	19627-19629;19789-19791;19837-19839	137	T1-P021
S1	35	WORD_SPAN	2945	2948	3208-3211;3391-3394;3836-3839	137	T1-P008
S1	36	WORD_SPAN	3113	3117	4646-4650;12294-12298;12497-12501	137	T1-P012
S1	37	WORD_SPAN	3724	3729	4601-4606;6414-6419;10278-10283	175	T1-P030
S1	38	WORD_SPAN	4197	4201	5746-5750;11717-11721;17852-17856	162	T1-P034
S1	39	WORD_SPAN	4320	4326	7206-7212;7224-7230;7413-7419	150	T1-P040
S1	40	WORD_SPAN	6692	6697	11076-11081;27085-27090;28489-28494	175	T1-P028
S1	41	WORD_SPAN	8770	8773	24611-24614;26201-26204;36139-36142	162	T1-P031
S1	42	WORD_SPAN	35285	35289	36027-36031;36094-36098;36313-36317	175	T1-P027
S1	43	WORD_SPAN	36494	36498	36546-36550;36712-36716;38230-38234	156	T1-P026
S1	44	WORD_SPAN	38306	38312	41733-41739;44352-44358;45075-45081	156	T1-P039
S2	0	WORD_SPAN	34908	34912	35048-35052;35088-35092	131	FLAW-00
S2	1	WORD_SPAN	52482	52485	52654-52657;52688-52691	125	FLAW-01
S2	2	WORD_SPAN	18571	18576	25599-25604;34321-34326	163	FLAW-02
S2	3	WORD_SPAN	17812	17815	18123-18126;18359-18362	125	FLAW-03
S2	4	WORD_SPAN	610	613	-	255	FLAW-04
S2	5	WORD_SPAN	932	935	360-362;395-397	255	FLAW-05
S2	6	WORD_SPAN	552	554	-	255	FLAW-06
S2	7	WORD_SPAN	134	136	820-824;1721-1725	255	FLAW-07
S2	8	WORD_SPAN	360	362	-	101	FLAW-08
S2	9	WORD_SPAN	901	903	-	107	FLAW-09
S2	10	WORD_SPAN	820	823	-	119	FLAW-10
S2	11	WORD_SPAN	821	824	-	119	FLAW-11
S2	12	WORD_SPAN	104	106	530-532;802-804;1944-1946	137	T1-P014
S2	13	WORD_SPAN	107	110	544-547;631-634;652-655	137	T1-P022
S2	14	WORD_SPAN	137	140	456-459;513-516;526-529	137	T1-P023
S2	15	WORD_SPAN	152	155	273-276;993-996;1500-1503	137	T1-P015
S2	16	WORD_SPAN	170	173	5123-5126;5536-5539;5948-5951	137	T1-P013
S2	17	WORD_SPAN	226	230	878-882;3256-3260;3516-3520	131	T1-P038
S2	18	WORD_SPAN	307	311	11065-11069;12237-12241;14688-14692	162	T1-P035
S2	19	WORD_SPAN	363	367	6898-6902;13023-13027;13670-13674	162	T1-P034
S2	20	WORD_SPAN	368	372	13675-13679;13819-13823;15424-15428	156	T1-P026
S2	21	WORD_SPAN	414	416	575-577;5731-5733;5766-5768	137	T1-P021
S2	22	WORD_SPAN	522	525	684-687;780-783;1137-1140	131	T1-P036
S2	23	WORD_SPAN	555	560	1706-1711;4170-4175;4306-4311	175	T1-P029
S2	24	WORD_SPAN	583	585	697-699;1445-1447;1569-1571	131	T1-P019
S2	25	WORD_SPAN	607	609	709-711;5233-5235;6275-6277	131	T1-P024
S2	26	WORD_SPAN	618	621	1553-1556;1896-1899;1934-1937	125	T1-P037
S2	27	WORD_SPAN	763	767	1111-1115;2050-2054;2080-2084	137	T1-P020
S2	28	WORD_SPAN	928	930	2241-2243;2262-2264;2623-2625	137	T1-P018
S2	29	WORD_SPAN	1014	1017	1210-1213;2330-2333;2383-2386	137	T1-P016
S2	30	WORD_SPAN	1018	1020	1619-1621;2411-2413;3679-3681	137	T1-P017
S2	31	WORD_SPAN	1448	1451	2452-2455;3879-3882;4774-4777	137	T1-P011
S2	32	WORD_SPAN	1593	1599	5774-5780;15270-15276;17719-17725	156	T1-P039
S2	33	WORD_SPAN	1605	1609	2339-2343;2350-2354;3708-3712	137	T1-P012
S2	34	WORD_SPAN	1766	1770	1814-1818;2951-2955;2997-3001	137	T1-P009
S2	35	WORD_SPAN	2533	2537	2574-2578;4506-4510;5635-5639	137	T1-P010
S2	36	WORD_SPAN	2567	2573	8817-8823;8911-8917;9161-9167	150	T1-P040
S2	37	WORD_SPAN	3422	3425	4122-4125;4375-4378;4511-4514	137	T1-P008
S2	38	WORD_SPAN	4206	4210	4930-4934;7990-7994;10687-10691	162	T1-P033
S2	39	WORD_SPAN	5714	5717	9241-9244;13397-13400;17506-17509	162	T1-P031
S2	40	WORD_SPAN	6455	6458	30300-30303;30307-30310;36650-36653	162	T1-P032
S2	41	WORD_SPAN	10110	10114	10218-10222;11418-11422;16503-16507	175	T1-P027
S2	42	WORD_SPAN	11103	11107	11843-11847;11862-11866;12371-12375	175	T1-P025
S2	43	WORD_SPAN	36638	36643	38522-38527;49312-49317;51790-51795	175	T1-P028
S3	0	WORD_SPAN	64704	64707	209-212;258-261	125	FLAW-00
S3	1	WORD_SPAN	47415	47418	47846-47849;48339-48342	138	FLAW-01
S3	2	WORD_SPAN	51263	51266	51283-51286;51447-51450	119	FLAW-02
S3	3	WORD_SPAN	60348	60350	61544-61546;61558-61560	119	FLAW-03
S3	4	WORD_SPAN	9	12	-	255	FLAW-04
S3	5	WORD_SPAN	206	208	451-453;1710-1712	255	FLAW-05
S3	6	WORD_SPAN	35	37	-	255	FLAW-06
S3	7	WORD_SPAN	1319	1321	14582-14585;15091-15094	255	FLAW-07
S3	8	WORD_SPAN	451	453	-	107	FLAW-08
S3	9	WORD_SPAN	99	103	-	107	FLAW-09
S3	10	WORD_SPAN	99	102	-	119	FLAW-10
S3	11	WORD_SPAN	100	103	-	119	FLAW-11
S3	12	WORD_SPAN	26	29	576-579;1117-1120;1520-1523	137	T1-P023
S3	13	WORD_SPAN	45	48	52-55;302-305;472-475	137	T1-P015
S3	14	WORD_SPAN	49	51	459-461;1063-1065;1349-1351	131	T1-P024
S3	15	WORD_SPAN	62	64	180-182;410-412;448-450	137	T1-P017
S3	16	WORD_SPAN	77	79	123-125;165-167;306-308	137	T1-P021
S3	17	WORD_SPAN	201	205	12421-12425;12567-12571;17840-17844	162	T1-P033
S3	18	WORD_SPAN	209	212	258-261;421-424;1659-1662	137	T1-P022
S3	19	WORD_SPAN	266	269	339-342;605-608;1540-1543	131	T1-P036
S3	20	WORD_SPAN	346	348	612-614;821-823;2563-2565	131	T1-P019
S3	21	WORD_SPAN	387	389	1145-1147;1550-1552;1604-1606	137	T1-P014
S3	22	WORD_SPAN	397	400	1228-1231;1277-1280;1333-1336	150	T1-P002
S3	23	WORD_SPAN	401	403	516-518;2209-2211;3373-3375	137	T1-P018
S3	24	WORD_SPAN	490	494	1874-1878;3059-3063;3118-3122	137	T1-P020
S3	25	WORD_SPAN	537	541	3123-3127;3288-3292;3394-3398	137	T1-P010
S3	26	WORD_SPAN	700	703	1826-1829;2068-2071;2175-2178	137	T1-P011
S3	27	WORD_SPAN	1214	1217	3047-3050;4289-4292;5032-5035	137	T1-P013
S3	28	WORD_SPAN	1508	1512	1954-1958;2107-2111;2279-2283	131	T1-P038
S3	29	WORD_SPAN	1593	1597	11597-11601;15467-15471;15780-15784	156	T1-P026
S3	30	WORD_SPAN	1816	1819	7220-7223;7256-7259;7774-7777	162	T1-P031
S3	31	WORD_SPAN	2854	2857	2907-2910;3381-3384;3821-3824	137	T1-P016
S3	32	WORD_SPAN	2951	2954	5191-5194;5208-5211;6972-6975	125	T1-P037
S3	33	WORD_SPAN	4343	4346	17612-17615;23643-23646;25386-25389	162	T1-P032
S3	34	WORD_SPAN	4471	4475	11592-11596;13397-13401;13418-13422	162	T1-P034
S3	35	WORD_SPAN	4607	4613	11172-11178;15679-15685;16991-16997	150	T1-P040
S3	36	WORD_SPAN	5666	5670	5843-5847;14095-14099;14514-14518	137	T1-P012
S3	37	WORD_SPAN	7313	7317	11830-11834;13373-13377;24701-24705	175	T1-P025
S3	38	WORD_SPAN	9514	9519	12292-12297;13176-13181;15761-15766	175	T1-P029
S3	39	WORD_SPAN	10189	10195	14199-14205;17657-17663;46777-46783	156	T1-P039
S3	40	WORD_SPAN	10477	10482	24219-24224;41693-41698;55997-56002	175	T1-P030
S3	41	WORD_SPAN	11606	11610	13071-13075;15832-15836;18436-18440	175	T1-P027
S3	42	WORD_SPAN	12102	12107	17620-17625;18621-18626;21851-21856	175	T1-P028
S3	43	WORD_SPAN	13743	13747	14101-14105;14593-14597;19788-19792	137	T1-P009
S3	44	WORD_SPAN	14582	14585	15091-15094;15202-15205;34791-34794	137	T1-P008
S3	45	WORD_SPAN	23802	23806	24415-24419;25284-25288;28469-28473	162	T1-P035
S4	0	WORD_SPAN	59257	59261	1018-1022;2485-2489	131	FLAW-00
S4	1	WORD_SPAN	21566	21568	21794-21796;23147-23149	131	FLAW-01
S4	2	WORD_SPAN	9447	9462	14076-14091;3085-3100	156	FLAW-02
S4	3	WORD_SPAN	29736	29742	25747-25753;25777-25783	138	FLAW-03
S4	4	WORD_SPAN	90	93	-	255	FLAW-04
S4	5	WORD_SPAN	352	356	562-564;798-800	255	FLAW-05
S4	6	WORD_SPAN	77	82	-	255	FLAW-06
S4	7	WORD_SPAN	10	14	18535-18541;19038-19044	255	FLAW-07
S4	8	WORD_SPAN	18535	18541	-	114	FLAW-08
S4	9	WORD_SPAN	4009	4015	-	114	FLAW-09
S4	10	WORD_SPAN	352	355	-	126	FLAW-10
S4	11	WORD_SPAN	353	356	-	126	FLAW-11
S4	12	WORD_SPAN	30	37	96-103;156-163;215-222	137	T1-C024
S4	13	WORD_SPAN	562	564	798-800;4961-4963;16557-16559	143	T1-C005
S4	14	WORD_SPAN	1002	1013	19330-19341;19424-19435	150	T1-C016
S4	15	WORD_SPAN	1018	1022	2485-2489;9989-9993;11040-11044	143	T1-C006
S4	16	WORD_SPAN	2630	2643	2698-2711;2768-2781;2828-2841	168	T1-C013
S4	17	WORD_SPAN	3085	3100	8413-8428;8464-8479;8515-8530	168	T1-C014
S4	18	WORD_SPAN	10027	10036	11426-11435;11707-11716	144	T1-C026
S4	19	WORD_SPAN	14039	14052	-	126	T1-C019
S4	20	WORD_SPAN	16487	16490	18194-18197;18942-18945;19119-19122	137	T1-C012
S4	21	WORD_SPAN	19359	19371	19570-19582;19639-19651;19699-19711	162	T1-C015
S4	22	WORD_SPAN	21730	21736	52045-52051	119	T1-C010
S4	23	WORD_SPAN	25747	25753	25777-25783;26838-26844;29735-29741	150	T1-C008
S5	0	WORD_SPAN	2013	2020	3513-3520;6305-6312	125	FLAW-00
S5	1	WORD_SPAN	64745	64749	64947-64951;65039-65043	131	FLAW-01
S5	2	WORD_SPAN	43691	43694	45291-45294;46193-46196	144	FLAW-02
S5	3	WORD_SPAN	18531	18546	18627-18642;58899-58914	156	FLAW-03
S5	4	WORD_SPAN	9421	9425	-	255	FLAW-04
S5	5	WORD_SPAN	6100	6105	2067-2071;28145-28149	255	FLAW-05
S5	6	WORD_SPAN	7498	7502	-	255	FLAW-06
S5	7	WORD_SPAN	1882	1884	15524-15530;34849-34855	255	FLAW-07
S5	8	WORD_SPAN	17895	17901	-	114	FLAW-08
S5	9	WORD_SPAN	15524	15530	-	114	FLAW-09
S5	10	WORD_SPAN	9421	9424	-	126	FLAW-10
S5	11	WORD_SPAN	9422	9425	-	126	FLAW-11
S5	12	WORD_SPAN	366	369	1022-1025;1220-1223;2818-2821	137	T1-C012
S5	13	WORD_SPAN	570	578	5450-5458;10655-10663;12651-12659	143	T1-C023
S5	14	WORD_SPAN	1516	1523	1541-1548;1671-1678;1697-1704	137	T1-C024
S5	15	WORD_SPAN	2067	2071	28145-28149;29731-29735;30087-30091	143	T1-C006
S5	16	WORD_SPAN	2278	2284	2398-2404;2488-2494;2580-2586	150	T1-C009
S5	17	WORD_SPAN	4726	4729	7627-7630;9704-9707;9763-9766	156	T1-C001
S5	18	WORD_SPAN	10655	10668	18442-18455;18660-18673;26254-26267	168	T1-C013
S5	19	WORD_SPAN	16304	16310	36347-36353;36400-36406;36446-36452	143	T1-C010
S5	20	WORD_SPAN	17844	17859	18529-18544;18627-18642;58899-58914	168	T1-C014
S5	21	WORD_SPAN	34377	34386	34411-34420;39301-39310;40950-40959	156	T1-C026
S5	22	WORD_SPAN	34718	34731	36288-36301;38650-38663;38677-38690	162	T1-C019
S5	23	WORD_SPAN	38725	38738	64265-64278	144	T1-C017
S5	24	WORD_SPAN	39024	39043	41120-41139;64342-64361	150	T1-C025
S5	25	WORD_SPAN	39199	39218	47936-47955;64693-64712	150	T1-C022
S5	26	WORD_SPAN	39835	39840	41395-41400;41670-41675;53521-53526	137	T1-C011
S6	0	WORD_SPAN	46799	46812	47471-47484;65088-65101	156	FLAW-00
S6	1	WORD_SPAN	36291	36294	36344-36347;36462-36465	144	FLAW-01
S6	2	WORD_SPAN	35609	35621	44593-44605;44894-44906	150	FLAW-02
S6	3	WORD_SPAN	46422	46427	48760-48765;59405-59410	125	FLAW-03
S6	4	WORD_SPAN	2258	2262	-	255	FLAW-04
S6	5	WORD_SPAN	1507	1512	729-733;2344-2348	255	FLAW-05
S6	6	WORD_SPAN	1571	1575	-	255	FLAW-06
S6	7	WORD_SPAN	128	130	1500-1506;2251-2257	255	FLAW-07
S6	8	WORD_SPAN	729	733	-	107	FLAW-08
S6	9	WORD_SPAN	912	918	-	114	FLAW-09
S6	10	WORD_SPAN	2258	2261	-	126	FLAW-10
S6	11	WORD_SPAN	2259	2262	-	126	FLAW-11
S6	12	WORD_SPAN	327	330	1667-1670;1728-1731;4345-4348	137	T1-C012
S6	13	WORD_SPAN	850	858	2578-2586;3370-3378;3950-3958	143	T1-C023
S6	14	WORD_SPAN	919	926	1240-1247;1263-1270;5456-5463	137	T1-C024
S6	15	WORD_SPAN	1240	1249	5736-5745;7409-7418;36697-36706	156	T1-C026
S6	16	WORD_SPAN	1500	1506	2251-2257;3342-3348;14157-14163	150	T1-C008
S6	17	WORD_SPAN	1513	1519	30082-30088;30100-30106;49082-49088	150	T1-C009
S6	18	WORD_SPAN	2578	2591	6295-6308;7877-7890;11694-11707	162	T1-C019
S6	19	WORD_SPAN	3349	3352	3484-3487;3615-3618;3686-3689	156	T1-C001
S6	20	WORD_SPAN	3370	3385	14178-14193;15430-15445;15829-15844	168	T1-C014
S6	21	WORD_SPAN	7221	7226	12242-12247;27925-27930;28505-28510	137	T1-C011
S6	22	WORD_SPAN	10005	10011	10460-10466;12416-12422;12801-12807	143	T1-C010
S6	23	WORD_SPAN	14218	14231	15470-15483;15869-15882;16317-16330	168	T1-C013
S6	24	WORD_SPAN	17440	17459	17514-17533;18439-18458;19154-19173	156	T1-C021
S6	25	WORD_SPAN	22294	22313	22511-22530;22601-22620;22992-23011	156	T1-C020
S6	26	WORD_SPAN	30351	30370	45917-45936;47065-47084;47657-47676	162	T1-C025
S6	27	WORD_SPAN	30485	30504	46069-46088;47286-47305;47706-47725	162	T1-C022
S6	28	WORD_SPAN	31504	31516	35610-35622;44593-44605;44894-44906	162	T1-C018
S6	29	WORD_SPAN	34508	34519	41139-41150;41734-41745;41965-41976	162	T1-C016
S6	30	WORD_SPAN	35805	35817	36005-36017;36142-36154;36308-36320	162	T1-C015
S6	31	WORD_SPAN	45712	45725	46797-46810;47471-47484;65088-65101	168	T1-C017
S7	0	WORD_SPAN	28902	28908	29376-29382;31828-31834	138	FLAW-00
S7	1	WORD_SPAN	65362	65368	662-668;1196-1202	138	FLAW-01
S7	2	WORD_SPAN	3086	3091	3256-3261;25707-25712	125	FLAW-02
S7	3	WORD_SPAN	21547	21550	21987-21990;23234-23237	125	FLAW-03
S7	4	WORD_SPAN	146	149	-	255	FLAW-04
S7	5	WORD_SPAN	669	673	742-744;786-788	255	FLAW-05
S7	6	WORD_SPAN	1246	1251	-	255	FLAW-06
S7	7	WORD_SPAN	2989	2993	1784-1790;1947-1953	255	FLAW-07
S7	8	WORD_SPAN	742	744	-	107	FLAW-08
S7	9	WORD_SPAN	944	948	-	107	FLAW-09
S7	10	WORD_SPAN	669	672	-	126	FLAW-10
S7	11	WORD_SPAN	670	673	-	126	FLAW-11
S7	12	WORD_SPAN	381	384	596-599;1062-1065;7687-7690	137	T1-C012
S7	13	WORD_SPAN	662	668	1196-1202;1867-1873;2080-2086	150	T1-C008
S7	14	WORD_SPAN	977	983	1387-1393;1515-1521;1751-1757	143	T1-C010
S7	15	WORD_SPAN	1203	1209	1274-1280;1345-1351;1905-1911	150	T1-C009
S7	16	WORD_SPAN	1720	1725	3087-3092;3256-3261;25707-25712	137	T1-C011
S7	17	WORD_SPAN	1784	1790	1947-1953;1999-2005;2452-2458	150	T1-C007
S7	18	WORD_SPAN	2420	2427	2459-2466;3043-3050;6899-6906	137	T1-C024
S7	19	WORD_SPAN	2459	2468	28763-28772;47467-47476;54348-54357	156	T1-C026
S7	20	WORD_SPAN	3600	3619	5257-5276;9522-9541;18878-18897	162	T1-C025
S7	21	WORD_SPAN	4894	4913	5858-5877;9692-9711;18947-18966	162	T1-C022
S7	22	WORD_SPAN	15815	15828	35796-35809;52065-52078;52364-52377	168	T1-C017
S7	23	WORD_SPAN	27167	27180	43233-43246	138	T1-C019
S7	24	WORD_SPAN	27718	27730	53626-53638;54065-54077;64459-64471	162	T1-C018
