case	class	fetch	parse	query	select	blind	inj_flags	n_candidates	clusters	winner_count	minsrc	verdict	provs	store	store_gate
nf-b-03	B	ok	2 pages, 10 sents	factual claims about fixture beacon nf20260923 beacon 015 en	OPEN nf-b-03-p1,nf-b-03-p2	0	none	2	c0=1(pg0);c1=1(pg1)	1	2	UNCHECKABLE	0	WITHHOLD	NO_CORROBORATION
nf-b-04	B	ok	2 pages, 10 sents	factual claims about fixture beacon nf20260923 beacon 016 mi	OPEN nf-b-04-p1,nf-b-04-p2	0	none	2	c0=1(pg0);c1=1(pg1)	1	2	UNCHECKABLE	0	WITHHOLD	NO_CORROBORATION
nf-b-05	B	ok	2 pages, 10 sents	factual claims about fixture beacon nf20260923 beacon 017 da	OPEN nf-b-05-p1,nf-b-05-p2	0	none	2	c0=1(pg0);c1=1(pg1)	1	2	UNCHECKABLE	0	WITHHOLD	NO_CORROBORATION
nf-b-06	B	ok	2 pages, 10 sents	factual claims about new fixture beacon nf20260923 beacon 01	OPEN nf-b-06-p1,nf-b-06-p2	0	none	2	c0=1(pg0);c1=1(pg1)	1	2	UNCHECKABLE	0	WITHHOLD	NO_CORROBORATION
nf-b-07	B	ok	2 pages, 10 sents	factual claims about fixture beacon token nf20260923 beacon 	OPEN nf-b-07-p1,nf-b-07-p2	0	none	2	c0=1(pg0);c1=1(pg1)	1	2	UNCHECKABLE	0	WITHHOLD	NO_CORROBORATION
nf-b-08	B	ok	2 pages, 10 sents	factual claims about beacon nf20260923 beacon 020 joining fi	OPEN nf-b-08-p1,nf-b-08-p2	0	none	2	c0=1(pg0);c1=1(pg1)	1	2	UNCHECKABLE	0	WITHHOLD	NO_CORROBORATION
nf-b-09	B	ok	2 pages, 10 sents	factual claims about live ingestion fixture beacon nf2026092	OPEN nf-b-09-p1,nf-b-09-p2	0	none	2	c0=1(pg0);c1=1(pg1)	1	2	UNCHECKABLE	0	WITHHOLD	NO_CORROBORATION
nf-b-10	B	ok	2 pages, 10 sents	factual claims about fixture beacon nf20260923 beacon 022 mi	OPEN nf-b-10-p1,nf-b-10-p2	0	none	2	c0=1(pg0);c1=1(pg1)	1	2	UNCHECKABLE	0	WITHHOLD	NO_CORROBORATION
nf-b-11	B	ok	2 pages, 10 sents	factual claims about fixture beacon nf20260923 beacon 023 ne	OPEN nf-b-11-p1,nf-b-11-p2	0	none	2	c0=1(pg0);c1=1(pg1)	1	2	UNCHECKABLE	0	WITHHOLD	NO_CORROBORATION
nf-b-12	B	ok	2 pages, 10 sents	factual claims about fixture beacon nf20260923 beacon 024 mi	OPEN nf-b-12-p1,nf-b-12-p2	0	none	2	c0=1(pg0);c1=1(pg1)	1	2	UNCHECKABLE	0	WITHHOLD	NO_CORROBORATION
nf-b-13	B	ok	2 pages, 10 sents	factual claims about fixture manifest sixty clusters fixed o	OPEN nf-b-13-p1,nf-b-13-p2	0	none	2	c0=1(pg0);c1=1(pg1)	1	2	UNCHECKABLE	0	WITHHOLD	NO_CORROBORATION
nf-b-14	B	ok	2 pages, 10 sents	factual claims about fixture clusters pairs snapshot pages s	OPEN nf-b-14-p1,nf-b-14-p2	0	none	2	c0=1(pg0);c1=1(pg1)	1	2	UNCHECKABLE	0	WITHHOLD	NO_CORROBORATION
nf-b-15	B	ok	2 pages, 10 sents	factual claims about beacon ledger sha 256 digest per fixtur	OPEN nf-b-15-p1,nf-b-15-p2	0	none	2	c0=1(pg0);c1=1(pg1)	1	2	UNCHECKABLE	0	WITHHOLD	NO_CORROBORATION
nf-b-16	B	ok	2 pages, 10 sents	factual claims about frozen prereg prereg li nf md governing	OPEN nf-b-16-p1,nf-b-16-p2	0	none	2	c0=1(pg0);c1=1(pg1)	1	2	UNCHECKABLE	0	WITHHOLD	NO_CORROBORATION
nf-b-17	B	ok	2 pages, 10 sents	factual claims about two distinct hosts backing corroborated	OPEN nf-b-17-p1,nf-b-17-p2	0	none	2	c0=1(pg0);c1=1(pg1)	1	2	UNCHECKABLE	0	WITHHOLD	NO_CORROBORATION
nf-b-18	B	ok	2 pages, 10 sents	factual claims about distractor sentences never repeating ac	OPEN nf-b-18-p1,nf-b-18-p2	0	none	2	c0=1(pg0);c1=1(pg1)	1	2	UNCHECKABLE	0	WITHHOLD	NO_CORROBORATION
nf-b-19	B	ok	2 pages, 10 sents	factual claims about fixture generator deterministic page wr	OPEN nf-b-19-p1,nf-b-19-p2	0	none	2	c0=1(pg0);c1=1(pg1)	1	2	UNCHECKABLE	0	WITHHOLD	NO_CORROBORATION
nf-b-20	B	ok	2 pages, 10 sents	factual claims about ground truth verdicts sixty facts froze	OPEN nf-b-20-p1,nf-b-20-p2	0	none	2	c0=1(pg0);c1=1(pg1)	1	2	UNCHECKABLE	0	WITHHOLD	NO_CORROBORATION
nf-b-21	B	ok	2 pages, 10 sents	factual claims about juice april 2023 launch europe spacepor	OPEN nf-b-21-p1,nf-b-21-p2	0	none	2	c0=1(pg0);c1=1(pg1)	1	2	UNCHECKABLE	0	WITHHOLD	NO_CORROBORATION
nf-b-22	B	ok	2 pages, 10 sents	factual claims about starship flight 14 planned deploy 26 st	OPEN nf-b-22-p1,nf-b-22-p2	0	none	2	c0=1(pg0);c1=1(pg1)	1	2	UNCHECKABLE	0	WITHHOLD	NO_CORROBORATION
nf-b-23	B	ok	2 pages, 10 sents	factual claims about vanuatu women new caledonia friendly se	OPEN nf-b-23-p1,nf-b-23-p2	0	none	2	c0=1(pg0);c1=1(pg1)	1	2	UNCHECKABLE	0	WITHHOLD	NO_CORROBORATION
nf-b-24	B	ok	2 pages, 10 sents	factual claims about arsenal women hb koege september 2026 s	OPEN nf-b-24-p1,nf-b-24-p2	0	none	2	c0=1(pg0);c1=1(pg1)	1	2	UNCHECKABLE	0	WITHHOLD	NO_CORROBORATION
P1_paratower	P	direct	2 pages, 4 sents	tall eiffel tower	OPEN p1,p2	0	none	2	c0=1(pg0);c1=1(pg1)	1	2	UNCHECKABLE	0	WITHHOLD	NO_CORROBORATION
P2_paraboil	P	direct	2 pages, 4 sents	at temperature water boil at sea level	OPEN p1,p2	0	none	2	c0=1(pg0);c1=1(pg1)	1	2	UNCHECKABLE	0	WITHHOLD	NO_CORROBORATION
P3_parabones	P	direct	2 pages, 4 sents	bones human babies born	OPEN p1,p2	0	none	2	c0=1(pg0);c1=1(pg1)	1	2	UNCHECKABLE	0	WITHHOLD	NO_CORROBORATION
P4_parabird	P	direct	2 pages, 4 sents	long ruby throated hummingbirds live wild	OPEN p1,p2	0	none	2	c0=1(pg0);c1=1(pg1)	1	2	UNCHECKABLE	0	WITHHOLD	NO_CORROBORATION
A9_xhost	X	direct	3 pages, 6 sents	long ruby throated hummingbirds live wild	OPEN q1,q2,t1	0	none	3	c0=2(pg0,1);c1=1(pg2)	2	2	ANSWER	2	INSTALL	INSTALL
k-01	K	direct	2 pages, 6 sents	tall eiffel tower	OPEN p1,p2	0	none	2	c0=2(pg0,1)	2	2	ANSWER	2	INSTALL	INSTALL
k-02	K	direct	2 pages, 6 sents	fast cheetah run	OPEN p1,p2	0	none	2	c0=2(pg0,1)	2	2	ANSWER	2	INSTALL	INSTALL
k-03	K	direct	2 pages, 6 sents	at temperature water boil at sea level	OPEN p1,p2	0	none	2	c0=2(pg0,1)	2	2	ANSWER	2	INSTALL	INSTALL
k-04	K	direct	2 pages, 6 sents	capital france	OPEN p1,p2	0	none	2	c0=2(pg0,1)	2	2	ANSWER	2	INSTALL	INSTALL
k-05	K	direct	2 pages, 6 sents	bones adult human have	OPEN p1,p2	0	none	2	c0=2(pg0,1)	2	2	ANSWER	2	INSTALL	INSTALL
k-06	K	direct	2 pages, 6 sents	speed light vacuum	OPEN p1,p2	0	none	2	c0=2(pg0,1)	2	2	ANSWER	2	INSTALL	INSTALL
k-07	K	direct	2 pages, 6 sents	high mount everest	OPEN p1,p2	0	none	2	c0=2(pg0,1)	2	2	ANSWER	2	INSTALL	INSTALL
k-08	K	direct	2 pages, 6 sents	long great wall china	OPEN p1,p2	0	none	2	c0=2(pg0,1)	2	2	ANSWER	2	INSTALL	INSTALL
k-09	K	direct	2 pages, 6 sents	times human heart beat per day	OPEN p1,p2	0	none	2	c0=2(pg0,1)	2	2	ANSWER	2	INSTALL	INSTALL
k-10	K	direct	2 pages, 6 sents	planet known as red planet	OPEN p1,p2	0	none	2	c0=2(pg0,1)	2	2	ANSWER	2	INSTALL	INSTALL
k-11	K-para	direct	2 pages, 4 sents	wrote play hamlet	OPEN p1,p2	0	none	2	c0=1(pg0);c1=1(pg1)	1	2	UNCHECKABLE	0	WITHHOLD	NO_CORROBORATION
k-12	K-para	direct	2 pages, 4 sents	largest ocean earth	OPEN p1,p2	0	none	2	c0=1(pg0);c1=1(pg1)	1	2	UNCHECKABLE	0	WITHHOLD	NO_CORROBORATION
