# vid	b	t	win	coh_pm	g_pm	ebar	n_vote	e_total	agree	agree_dir	pair_wins	still_like
9AwUsf8HzVI	3	420	3	896	1116	2280	439	1001147	7	3	3,3,3,3,3,3,3	False
9AwUsf8HzVI	2	960	3	886	1916	2235	444	992494	7	3	3,3,3,3,3,3,3	False
9AwUsf8HzVI	3	1770	7	697	1401	2414	403	973010	7	7	7,7,7,7,7,7,7	False
9AwUsf8HzVI	3	450	7	918	1921	2235	433	967949	7	7	7,7,7,7,7,7,7	False
9AwUsf8HzVI	4	1005	3	627	1857	2186	435	951120	7	3	3,3,3,3,3,3,3	False
9AwUsf8HzVI	2	1470	7	568	1737	2313	411	951026	7	7	7,7,7,7,7,7,7	False
uKNQCPXDNdc	3	2055	7	995	1000	2225	427	950089	7	7	7,7,7,7,7,7,7	False
9AwUsf8HzVI	3	405	3	708	1327	2133	433	923801	7	3	3,3,3,3,3,3,3	False
9AwUsf8HzVI	3	1635	7	798	1531	2133	433	923798	7	7	7,7,7,7,7,7,7	False
uKNQCPXDNdc	4	2070	7	970	1295	2165	426	922399	7	7	7,7,7,7,7,7,7	False
9AwUsf8HzVI	3	1110	3	732	1650	2143	424	908981	7	3	3,3,3,3,3,3,3	False
uKNQCPXDNdc	4	2055	7	983	1525	2114	428	905083	7	7	7,7,7,7,7,7,7	False
9AwUsf8HzVI	3	1155	7	882	1465	2115	423	894800	7	7	7,7,7,7,7,7,7	False
uKNQCPXDNdc	3	2070	7	984	1000	2127	417	887307	7	7	7,7,7,7,7,7,7	False
9AwUsf8HzVI	2	1020	3	719	1379	2036	435	885888	7	3	3,3,3,3,3,3,3	False
9AwUsf8HzVI	2	390	3	833	1289	2064	429	885459	7	3	3,3,3,3,3,3,3	False
uKNQCPXDNdc	4	2040	7	990	1143	2055	425	873390	7	7	7,7,7,7,7,7,7	False
9AwUsf8HzVI	2	945	3	878	1638	2032	429	872044	7	3	3,3,3,3,3,3,3	False
9AwUsf8HzVI	2	1005	3	763	1580	2411	360	868048	7	3	3,3,3,3,3,3,3	False
9AwUsf8HzVI	4	960	3	586	1891	1949	443	863673	7	3	3,3,3,3,3,3,3	False
9AwUsf8HzVI	3	960	3	639	1896	1924	444	854453	7	3	3,3,3,3,3,3,3	False
9AwUsf8HzVI	2	705	7	476	1356	1942	435	845022	7	7	7,7,7,7,7,7,7	False
9AwUsf8HzVI	3	975	3	847	1733	1893	443	838846	7	3	3,3,3,3,3,3,3	False
OQSNhk5ICTI	3	75	4	488	1934	1851	442	818144	7	4	4,4,4,4,4,4,4	False
9AwUsf8HzVI	2	1740	7	707	1426	1885	429	808849	7	7	7,7,7,7,7,7,7	False
uKNQCPXDNdc	4	2085	7	975	1009	1924	411	790931	7	7	7,7,7,7,7,7,7	False
9AwUsf8HzVI	4	1155	7	861	1509	2068	381	788221	7	7	7,7,7,7,7,7,7	False
9AwUsf8HzVI	2	810	3	415	1805	1801	431	776579	7	3	3,3,3,3,3,3,3	False
9AwUsf8HzVI	4	450	7	668	1881	1792	432	774147	7	7	7,7,7,7,7,7,7	False
uKNQCPXDNdc	4	1995	3	1000	1039	1892	409	773841	7	3	3,3,3,3,3,3,3	False
9AwUsf8HzVI	3	945	3	592	1770	1775	435	772312	7	3	3,3,3,3,3,3,3	False
9AwUsf8HzVI	2	105	7	598	1619	1764	434	765803	7	7	7,7,7,7,7,7,7	False
9AwUsf8HzVI	4	1140	7	788	1498	1872	407	761945	7	7	7,7,7,7,7,7,7	False
9AwUsf8HzVI	2	975	3	883	1236	1731	432	748019	7	3	3,3,3,3,3,3,3	False
9AwUsf8HzVI	2	1455	7	641	1802	1888	394	744073	7	7	7,7,7,7,7,7,7	False
9AwUsf8HzVI	2	1770	7	799	1123	1915	388	743197	7	7	7,7,7,7,7,7,7	False
uKNQCPXDNdc	3	2040	7	996	1000	1779	407	724139	7	7	7,7,7,7,7,7,7	False
9AwUsf8HzVI	2	405	3	771	1136	1740	404	703056	7	3	3,3,3,3,3,3,3	False
9AwUsf8HzVI	2	1395	7	726	1660	1585	442	700644	7	7	7,7,7,7,7,7,7	False
uKNQCPXDNdc	2	3480	7	881	1611	1620	432	700011	7	7	7,7,7,7,7,7,7	False
9AwUsf8HzVI	2	1110	3	655	1161	1682	403	678057	7	3	3,3,3,3,3,3,3	False
uKNQCPXDNdc	4	705	3	750	1668	1778	377	670464	7	3	3,3,3,3,3,3,3	False
9AwUsf8HzVI	2	1425	7	813	1903	1525	437	666749	7	7	7,7,7,7,7,7,7	False
uKNQCPXDNdc	2	3420	7	967	1514	1619	410	664064	7	7	7,7,7,7,7,7,7	False
9AwUsf8HzVI	4	480	7	712	1461	1879	353	663536	7	7	7,7,7,7,7,7,7	False
uKNQCPXDNdc	3	3480	7	802	1759	1589	416	661179	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	4	615	2	573	1914	1463	445	651414	7	2	2,2,2,2,2,2,2	False
uKNQCPXDNdc	3	1995	3	996	1000	1602	402	644392	7	3	3,3,3,3,3,3,3	False
9AwUsf8HzVI	2	420	3	918	1044	1500	424	636061	7	3	3,3,3,3,3,3,3	False
kcfs1-ryKWE	4	990	7	423	1666	1444	438	632538	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	2	615	3	684	1765	1425	440	627210	7	3	3,3,3,3,3,3,3	False
uKNQCPXDNdc	3	3420	7	832	1881	1570	398	625155	7	7	7,7,7,7,7,7,7	False
uKNQCPXDNdc	3	1395	3	931	1662	1561	397	619976	7	3	3,3,3,3,3,3,3	False
uKNQCPXDNdc	4	3480	7	720	1793	1480	417	617214	7	7	7,7,7,7,7,7,7	False
uKNQCPXDNdc	3	2940	5	817	1049	2324	264	613594	7	5	5,5,5,5,5,5,5	False
uKNQCPXDNdc	4	3645	3	807	1299	2176	277	602932	7	3	3,3,3,3,3,3,3	False
kcfs1-ryKWE	4	975	7	418	1688	1383	434	600374	7	7	7,7,7,7,7,7,7	False
uKNQCPXDNdc	3	1380	3	852	1603	1663	356	592164	7	3	3,3,3,3,3,3,3	False
kcfs1-ryKWE	2	630	3	747	1771	1317	446	587616	7	3	3,3,3,3,3,3,3	False
uKNQCPXDNdc	4	2100	7	989	1005	1516	380	576093	7	7	7,7,7,7,7,7,7	False
9AwUsf8HzVI	3	1395	7	689	1733	1374	416	571994	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	4	735	5	584	1432	1287	442	568882	7	5	5,5,5,5,5,5,5	False
9AwUsf8HzVI	2	885	3	586	1259	1388	408	566461	7	3	3,3,3,3,3,3,3	False
kcfs1-ryKWE	4	945	7	500	1752	1300	429	557809	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	2	1260	7	736	1813	1254	444	557053	7	7	7,7,7,7,7,7,7	False
uKNQCPXDNdc	4	3420	7	675	1887	1412	391	552470	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	4	930	7	461	1691	1287	424	546033	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	2	465	5	636	1563	1218	447	544669	7	5	5,5,5,5,5,5,5	False
uKNQCPXDNdc	4	825	7	520	1489	2201	247	543687	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	4	720	5	669	1406	1264	430	543633	7	5	5,5,5,5,5,5,5	False
uKNQCPXDNdc	3	3495	7	790	1636	1325	410	543316	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	2	645	3	816	1765	1209	448	541885	7	3	3,3,3,3,3,3,3	False
kcfs1-ryKWE	3	1260	7	559	1917	1206	448	540300	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	4	960	7	468	1688	1229	436	536210	7	7	7,7,7,7,7,7,7	False
uKNQCPXDNdc	2	3615	3	870	1066	1880	284	534094	7	3	3,3,3,3,3,3,3	False
kcfs1-ryKWE	4	1245	7	539	1870	1194	447	533960	7	7	7,7,7,7,7,7,7	False
uKNQCPXDNdc	2	2070	7	994	1002	1364	391	533509	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	2	480	5	572	1472	1196	444	531360	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	4	1260	7	496	1926	1182	448	529767	7	7	7,7,7,7,7,7,7	False
uKNQCPXDNdc	2	3495	7	849	1490	1290	410	529249	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	3	1245	7	681	1772	1172	448	525404	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	3	645	3	619	1879	1172	447	524233	7	3	3,3,3,3,3,3,3	False
uKNQCPXDNdc	4	1980	3	996	1008	1389	375	521128	7	3	3,3,3,3,3,3,3	False
uKNQCPXDNdc	2	3510	7	836	1462	1255	413	518463	7	7	7,7,7,7,7,7,7	False
9AwUsf8HzVI	3	1140	7	713	1337	1541	335	516487	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	4	405	5	364	1481	1188	434	515866	7	5	5,5,5,5,5,5,5	False
uKNQCPXDNdc	4	3495	7	689	1684	1250	412	515304	7	7	7,7,7,7,7,7,7	False
uKNQCPXDNdc	3	3435	7	365	1853	1271	403	512461	7	7	7,7,7,7,7,7,7	False
uKNQCPXDNdc	3	3645	3	759	1093	1914	266	509335	7	3	3,3,3,3,3,3,3	False
uKNQCPXDNdc	2	3525	7	896	1400	1219	415	506180	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	3	945	7	436	1622	1184	424	502184	7	7	7,7,7,7,7,7,7	False
uKNQCPXDNdc	3	3510	7	766	1629	1198	416	498381	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	2	450	5	715	1553	1110	448	497711	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	3	1275	7	689	1937	1102	448	494061	7	7	7,7,7,7,7,7,7	False
uKNQCPXDNdc	3	2085	7	967	1000	1329	367	487793	7	7	7,7,7,7,7,7,7	False
9AwUsf8HzVI	4	1410	7	567	1733	1175	412	484274	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	4	1230	7	557	1742	1084	446	483642	7	7	7,7,7,7,7,7,7	False
uKNQCPXDNdc	4	3510	7	669	1680	1203	401	482802	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	4	465	6	510	1907	1088	443	482073	7	6	6,6,6,6,6,6,6	False
9AwUsf8HzVI	4	1395	7	656	1741	1208	398	481132	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	2	495	5	493	1417	1122	424	476129	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	3	930	7	359	1519	1183	402	475654	7	7	7,7,7,7,7,7,7	False
uKNQCPXDNdc	2	2055	7	985	1002	1264	375	474372	7	7	7,7,7,7,7,7,7	False
uKNQCPXDNdc	2	1395	3	783	1304	1182	401	474252	7	3	3,3,3,3,3,3,3	False
kcfs1-ryKWE	4	1275	7	551	1970	1052	447	470488	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	2	1275	7	662	1785	1046	448	468860	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	4	645	3	541	1908	1048	446	467742	7	3	3,3,3,3,3,3,3	False
kcfs1-ryKWE	3	1485	3	375	1755	1049	441	463033	7	3	3,3,3,3,3,3,3	False
uKNQCPXDNdc	2	3435	7	464	1733	1153	401	462700	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	2	600	3	655	1735	1040	443	460768	7	3	3,3,3,3,3,3,3	False
kcfs1-ryKWE	4	1140	7	564	1722	1157	393	454872	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	4	390	5	411	1508	1033	437	451824	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	4	1485	3	429	1848	1018	443	451187	7	3	3,3,3,3,3,3,3	False
uKNQCPXDNdc	2	720	3	826	1258	1342	336	450956	7	3	3,3,3,3,3,3,3	False
kcfs1-ryKWE	3	960	7	522	1651	1047	428	448190	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	3	735	5	519	1367	1048	424	444756	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	2	660	3	771	1439	1005	437	439585	7	3	3,3,3,3,3,3,3	False
9AwUsf8HzVI	4	1170	7	848	1210	1742	252	439025	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	3	1230	7	790	1645	968	443	428968	7	7	7,7,7,7,7,7,7	False
uKNQCPXDNdc	3	2985	3	688	1286	2499	171	427418	7	3	3,3,3,3,3,3,3	False
kcfs1-ryKWE	4	1470	3	398	1829	965	441	425628	7	3	3,3,3,3,3,3,3	False
kcfs1-ryKWE	3	1500	3	469	1730	959	441	423159	7	3	3,3,3,3,3,3,3	False
9AwUsf8HzVI	3	1410	7	752	1643	1115	379	422910	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	4	915	7	404	1595	1010	418	422446	7	7	7,7,7,7,7,7,7	False
uKNQCPXDNdc	4	2115	7	967	1008	1161	361	419291	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	3	1140	7	704	1604	1087	384	417785	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	2	555	4	466	1529	970	429	416250	7	4	4,4,4,4,4,4,4	False
kcfs1-ryKWE	4	705	5	608	1390	1009	412	415919	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	4	1500	3	465	1793	927	445	412538	7	3	3,3,3,3,3,3,3	False
kcfs1-ryKWE	3	1470	3	376	1724	943	436	411366	7	3	3,3,3,3,3,3,3	False
kcfs1-ryKWE	3	1155	7	534	1584	1048	385	403784	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	2	990	5	472	1511	1142	350	399813	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	2	1245	7	810	1527	905	440	398481	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	3	720	5	620	1306	995	392	390205	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	3	750	5	404	1437	958	407	390189	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	4	1110	5	480	1426	990	387	383176	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	4	1455	3	438	1764	874	434	379490	7	3	3,3,3,3,3,3,3	False
kcfs1-ryKWE	4	1215	7	607	1699	875	432	378365	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	3	1290	7	698	1716	834	448	373862	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	2	1005	5	445	1518	1072	347	372138	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	4	1095	5	546	1372	1031	357	368098	7	5	5,5,5,5,5,5,5	False
uKNQCPXDNdc	2	825	7	726	1340	1969	185	364303	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	3	405	5	399	1392	850	426	362410	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	4	1515	3	394	1727	827	436	360724	7	3	3,3,3,3,3,3,3	False
kcfs1-ryKWE	2	540	5	612	1363	813	443	360195	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	4	1080	5	607	1363	1000	358	358189	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	2	585	3	424	1774	809	439	355418	7	3	3,3,3,3,3,3,3	False
kcfs1-ryKWE	4	30	7	359	1702	798	437	349106	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	4	375	5	431	1473	800	433	346524	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	4	1530	3	382	1731	792	435	344654	7	3	3,3,3,3,3,3,3	False
uKNQCPXDNdc	2	2985	3	805	1197	2121	162	343741	7	3	3,3,3,3,3,3,3	False
kcfs1-ryKWE	2	525	5	519	1364	786	436	342771	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	4	1440	3	486	1678	773	435	336386	7	3	3,3,3,3,3,3,3	False
uKNQCPXDNdc	2	2940	5	748	1048	1334	250	333748	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	3	1455	3	429	1651	769	433	333280	7	3	3,3,3,3,3,3,3	False
OQSNhk5ICTI	3	1995	7	787	1922	751	439	329995	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	4	1890	1	434	1483	859	383	329365	7	1	1,1,1,1,1,1,1	False
kcfs1-ryKWE	4	1875	1	419	1502	851	384	327129	7	1	1,1,1,1,1,1,1	False
kcfs1-ryKWE	3	1515	3	458	1681	761	427	325222	7	3	3,3,3,3,3,3,3	False
kcfs1-ryKWE	2	1290	7	748	1361	723	448	324259	7	7	7,7,7,7,7,7,7	False
bwJ-TNu0hGM	4	1425	7	717	1429	2477	128	317122	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	4	1200	7	542	1730	749	415	310893	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	4	900	7	387	1629	807	383	309098	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	4	1905	1	482	1406	835	369	308221	7	1	1,1,1,1,1,1,1	False
uKNQCPXDNdc	3	900	7	527	1442	912	337	307680	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	3	1215	7	689	1523	718	426	306099	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	2	930	5	353	1343	886	344	305071	7	5	5,5,5,5,5,5,5	False
uKNQCPXDNdc	2	3645	3	846	1062	1593	191	304269	7	3	3,3,3,3,3,3,3	False
kcfs1-ryKWE	4	1065	5	695	1342	866	347	300729	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	3	390	5	493	1388	685	438	300396	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	3	705	5	645	1309	812	368	298992	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	4	1860	1	382	1567	797	372	296618	7	1	1,1,1,1,1,1,1	False
kcfs1-ryKWE	3	1770	1	431	1481	837	353	295487	7	1	1,1,1,1,1,1,1	False
kcfs1-ryKWE	3	1755	1	503	1548	843	348	293663	7	1	1,1,1,1,1,1,1	False
kcfs1-ryKWE	3	1530	3	331	1666	687	423	290912	7	3	3,3,3,3,3,3,3	False
kcfs1-ryKWE	3	1440	3	483	1593	688	421	289834	7	3	3,3,3,3,3,3,3	False
kcfs1-ryKWE	2	765	5	495	1328	825	350	288897	7	5	5,5,5,5,5,5,5	False
bwJ-TNu0hGM	4	1440	7	726	1583	2674	108	288807	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	3	1110	5	489	1266	827	349	288677	7	5	5,5,5,5,5,5,5	False
OQSNhk5ICTI	2	1995	7	838	1721	654	438	286863	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	2	1155	7	635	1322	810	353	286027	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	2	1230	7	860	1438	691	413	285403	7	7	7,7,7,7,7,7,7	False
bwJ-TNu0hGM	3	675	7	719	1464	2502	114	285236	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	3	1095	5	623	1289	890	318	283337	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	4	1845	1	387	1651	769	367	282286	7	1	1,1,1,1,1,1,1	False
kcfs1-ryKWE	3	1305	7	501	1495	636	442	281395	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	4	1920	1	513	1347	757	371	281024	7	1	1,1,1,1,1,1,1	False
kcfs1-ryKWE	2	1140	7	616	1362	781	356	278339	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	4	1830	1	388	1678	792	351	278337	7	1	1,1,1,1,1,1,1	False
kcfs1-ryKWE	3	1080	5	716	1323	908	306	277981	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	4	105	5	407	1572	656	423	277676	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	3	1875	1	430	1384	807	343	277021	7	1	1,1,1,1,1,1,1	False
OQSNhk5ICTI	4	5100	3	787	1834	635	434	275780	7	3	3,3,3,3,3,3,3	False
uKNQCPXDNdc	4	2130	7	945	1006	880	313	275658	7	7	7,7,7,7,7,7,7	False
OQSNhk5ICTI	3	2505	3	785	1778	659	416	274245	7	3	3,3,3,3,3,3,3	False
kcfs1-ryKWE	3	855	5	365	1536	777	352	273791	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	3	1890	1	455	1342	808	333	269227	7	1	1,1,1,1,1,1,1	False
bwJ-TNu0hGM	3	1440	7	805	1410	2390	112	267775	7	7	7,7,7,7,7,7,7	False
OQSNhk5ICTI	3	2190	7	577	1784	618	432	267359	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	3	1830	1	419	1590	804	332	267000	7	1	1,1,1,1,1,1,1	False
kcfs1-ryKWE	4	1935	1	426	1325	710	375	266466	7	1	1,1,1,1,1,1,1	False
kcfs1-ryKWE	3	690	5	682	1257	672	396	266253	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	3	1860	1	409	1469	782	339	265414	7	1	1,1,1,1,1,1,1	False
kcfs1-ryKWE	3	1845	1	410	1561	779	340	264949	7	1	1,1,1,1,1,1,1	False
kcfs1-ryKWE	2	750	5	463	1326	771	340	262268	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	4	1950	1	507	1329	713	367	261979	7	1	1,1,1,1,1,1,1	False
OQSNhk5ICTI	4	2940	3	828	1688	624	418	261068	7	3	3,3,3,3,3,3,3	False
kcfs1-ryKWE	2	735	5	444	1242	842	305	256887	7	5	5,5,5,5,5,5,5	False
OQSNhk5ICTI	3	2145	3	801	1638	600	421	252722	7	3	3,3,3,3,3,3,3	False
kcfs1-ryKWE	3	1905	1	540	1282	771	326	251525	7	1	1,1,1,1,1,1,1	False
OQSNhk5ICTI	2	2505	3	831	1714	647	382	247254	7	3	3,3,3,3,3,3,3	False
OQSNhk5ICTI	2	2370	3	726	1655	570	427	243568	7	3	3,3,3,3,3,3,3	False
uKNQCPXDNdc	4	510	5	757	1079	1015	239	242751	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	4	1965	1	592	1344	673	360	242590	7	1	1,1,1,1,1,1,1	False
kcfs1-ryKWE	3	120	5	358	1476	619	390	241637	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	4	90	5	416	1639	582	413	240515	7	5	5,5,5,5,5,5,5	False
uKNQCPXDNdc	3	2100	7	969	1006	790	304	240293	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	3	1740	1	400	1564	673	356	239628	7	1	1,1,1,1,1,1,1	False
kcfs1-ryKWE	3	135	5	393	1543	642	364	233862	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	2	1575	5	499	1539	766	304	233105	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	2	1755	1	618	1404	784	297	232949	7	1	1,1,1,1,1,1,1	False
uKNQCPXDNdc	4	3330	5	836	1080	978	235	229840	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	2	1770	1	570	1343	762	300	228780	7	1	1,1,1,1,1,1,1	False
kcfs1-ryKWE	2	870	5	446	1349	734	309	226886	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	3	105	5	452	1543	594	381	226581	7	5	5,5,5,5,5,5,5	False
uKNQCPXDNdc	3	3345	5	844	1261	1465	153	224234	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	3	375	5	438	1407	543	412	223814	7	5	5,5,5,5,5,5,5	False
uKNQCPXDNdc	2	2010	3	981	1000	754	294	221739	7	3	3,3,3,3,3,3,3	False
uKNQCPXDNdc	3	945	7	667	1473	723	306	221325	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	2	1305	7	680	1268	505	436	220525	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	2	1845	1	401	1390	717	307	220278	7	1	1,1,1,1,1,1,1	False
bwJ-TNu0hGM	4	1455	7	869	1736	3058	72	220181	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	2	1830	1	382	1491	737	297	219098	7	1	1,1,1,1,1,1,1	False
OQSNhk5ICTI	3	4830	3	795	1731	508	429	218246	7	3	3,3,3,3,3,3,3	False
kcfs1-ryKWE	3	1920	1	581	1270	661	329	217586	7	1	1,1,1,1,1,1,1	False
kcfs1-ryKWE	2	900	7	389	1504	719	301	216662	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	2	1440	3	386	1463	581	367	213486	7	3	3,3,3,3,3,3,3	False
uKNQCPXDNdc	3	525	5	825	1305	1628	131	213331	7	5	5,5,5,5,5,5,5	False
uKNQCPXDNdc	4	3660	3	707	1297	1435	148	212481	7	3	3,3,3,3,3,3,3	False
kcfs1-ryKWE	2	720	5	641	1189	703	296	208132	7	5	5,5,5,5,5,5,5	False
