cell	arm	rerun	log	sha256	wall_s	rc
cap32a0r3	naive	3	cap32a0r3_naive_r3.log	ad081a98a21b903969d473d22ba6e9841341b653ace8562f4381b78bda48bfe9	0.292897	0
cap32a0r3	auto	1	cap32a0r3_auto_r1.log	79d212452f8639b85330c00522c5579d5bd61432baf7f207aa4c89a74c3d22d4	0.0447323	0
cap32a0r3	auto	2	cap32a0r3_auto_r2.log	4f2b52c0b28a3abebcc8d3e48443824eed43dd3db98e2398df97e3952e88fe64	0.168368	0
cap32a0r3	auto	3	cap32a0r3_auto_r3.log	559a7a6f0443127416f789a37ef668ecabb165bfbbea272c5a140f3cc8d0c0f8	0.0227909	0
cap32a15r1	trained	1	cap32a15r1_trained_r1.log	03d30db50ba2af0c402eb19d3b73e7bf8aed0a825cfc0b00fe0e6fd8fe7c1847	0.237581	0
cap32a15r1	trained	2	cap32a15r1_trained_r2.log	35da7e541528b2d2fe788a5b2d821df3b688eb5f9c26e9c318b1a6e4ee6f7268	0.354511	0
cap32a15r1	trained	3	cap32a15r1_trained_r3.log	f496ca414e3621469ad91301f3885ebbe43133327f959b8a4c05e3f0dce4073a	0.216096	0
cap32a15r1	naive	1	cap32a15r1_naive_r1.log	48876505fd1636500e21fbaeb50941f71c3f859e6af7193724889bd3044156b4	0.204357	0
cap32a15r1	naive	2	cap32a15r1_naive_r2.log	6f725f5ad7e3ad9233854f06cafc65c19b400e9c4c8c63e52e8f244d9b71826a	0.227058	0
cap32a15r1	naive	3	cap32a15r1_naive_r3.log	76ea063efd17bd38c225073ce6b5e29706bfb64cc340da01b938d537ba7a19a1	0.297556	0
cap32a15r1	auto	1	cap32a15r1_auto_r1.log	cea4bcb2026de2130f76e5cab07d58d2e55d36a3bc06454135affe29885423fa	0.0387094	0
cap32a15r1	auto	2	cap32a15r1_auto_r2.log	236c9f2d4cfb3b68aa25bc2a8259724c27606c00d839e1a45da556212354a2d6	0.0480213	0
cap32a15r1	auto	3	cap32a15r1_auto_r3.log	d2d2b19c664fea94905fed7460c538a5507db1330205c7b724ce05ddd11dde3b	0.0569491	0
cap32a15r3	trained	1	cap32a15r3_trained_r1.log	9b56d4a8b30becddd79271cb444a56c473e42bf40d42c72d29e039700ade9ad4	0.242042	0
cap32a15r3	trained	2	cap32a15r3_trained_r2.log	d33cb85da909dae7a897af8621df1e8da20b1c17f84d63659d02005384ad76b2	0.206489	0
cap32a15r3	trained	3	cap32a15r3_trained_r3.log	e382887023cea1940fb45972d99d59ade70d2126111e945c95b4511ee2c384ba	0.3045	0
cap32a15r3	naive	1	cap32a15r3_naive_r1.log	765462d4bb0a3d3ff8cf650533fb08af7e6d86bbb15fcafa386b503b8fb74d77	0.0800698	0
cap32a15r3	naive	2	cap32a15r3_naive_r2.log	95a6e034cdb4fdb1894a94c00b321a8098cc83a2123dd5281d1c0160709f594d	0.186245	0
cap32a15r3	naive	3	cap32a15r3_naive_r3.log	a06d0c2120d2b8498566e700f7f3f0c73a58d23d8c559967635195393a08f3ff	0.0650606	0
cap32a15r3	auto	1	cap32a15r3_auto_r1.log	2a67c6d447c2e44a7bfe6d42549c9c936cbf4c8de550f0fb2f8fa77833c58139	0.0387232	0
cap32a15r3	auto	2	cap32a15r3_auto_r2.log	30fb537652f6040e2415ee874657a3a5f41966cdbe15bc4ae158b3bdb2b9035b	0.0117843	0
cap32a15r3	auto	3	cap32a15r3_auto_r3.log	10d38d606fd26a15ad572eabc2dd1a79e95ece60fd6d09d3fc712f4eb60e1582	0.0104742	0
cap32a35r1	trained	1	cap32a35r1_trained_r1.log	a8fa541fa5ebf6fded90465baee2dc2baccaad1cb24ab7c37e04bc48cea3429c	0.0958648	0
cap32a35r1	trained	2	cap32a35r1_trained_r2.log	a066a065dda2c9cc5db051350dc4176082c902e9f0159fd1f79b0c3ac952a3d9	0.326934	0
cap32a35r1	trained	3	cap32a35r1_trained_r3.log	57ccd2fff442ee4e6bd28ea87c470c5852eb58c81c7d0ff25056014c2cdec81d	0.21506	0
cap32a35r1	naive	1	cap32a35r1_naive_r1.log	5ae9b4b5a3ac64718ec98780c98dd08e38f1c45af287735bf67513a19299488b	0.259611	0
cap32a35r1	naive	2	cap32a35r1_naive_r2.log	a54957b148b5f94ba4839b0736549179b0a59484ce1ca618e29f432d2fab0646	0.0867975	0
cap32a35r1	naive	3	cap32a35r1_naive_r3.log	dac8e8fd9e8171737abc4a3a1e05e0899c1f8da88480fe38a4f20a95773993c0	0.142668	0
cap32a35r1	auto	1	cap32a35r1_auto_r1.log	eadd11f61c687c48c79b29633fdd3168cddd675c58d262d56126c5817d8caad8	0.0504866	0
cap32a35r1	auto	2	cap32a35r1_auto_r2.log	6e9d2681f3902a5682535a4528c3a20e666b491571b699100f47ccc1c1078a80	0.0145035	0
cap32a35r1	auto	3	cap32a35r1_auto_r3.log	caab82ac4e043d6d88d0607150df5a118dc0fe5eeb403b80743cec7a65ead196	0.00784731	0
cap32a35r3	trained	1	cap32a35r3_trained_r1.log	510b48d7bf904ea17ca658dd04ccbe68fcf8b3917ee0f677ce7b8ba0bcf23f40	0.0325875	0
cap32a35r3	trained	2	cap32a35r3_trained_r2.log	649f97fe43bbfb9d58612f3ee4c663f1019f6301a561d9d2f806bae9965df45a	0.0327139	0
cap32a35r3	trained	3	cap32a35r3_trained_r3.log	2ce85bd614a628999626342988c7875c185c66438ecddc51a4969a5f29c2b0ec	0.0325584	0
cap32a35r3	naive	1	cap32a35r3_naive_r1.log	5ddfbe3d65d91b155e925a3a5717165b3f16b99c1c8427751f96b6dabe70da63	0.0433831	0
cap32a35r3	naive	2	cap32a35r3_naive_r2.log	ce595a4adf6ba9c826eb4f2ca2694850d4a21f7a6fa5fc040e64fa7ed514aeb2	0.0335598	0
cap32a35r3	naive	3	cap32a35r3_naive_r3.log	89760d3db4979257151a96cb8b6ab0c707204715615cfcdd08c0b867a011418c	0.0476487	0
cap32a35r3	auto	1	cap32a35r3_auto_r1.log	96c35302085b76a5a7ac857616bde3ee0d16a6937206c916da9f3497f54100d0	0.0111179	0
cap32a35r3	auto	2	cap32a35r3_auto_r2.log	c439e7c699854b3c3bc6d042852bab489a7b574b5b5688205fec6daafab8688c	0.0102124	0
cap32a35r3	auto	3	cap32a35r3_auto_r3.log	b5dbcbcf1391561f5439846e3d3be44a6aa59f722c532c6a2991672cab651d7a	0.0103018	0
cap128a0r1	trained	1	cap128a0r1_trained_r1.log	18b9ba19892987481a0540ebf63dccf252564ea21518ca8db646e71655c77492	0.0382571	0
cap128a0r1	trained	2	cap128a0r1_trained_r2.log	5f7424af3d1e31364348df61ab4a36b73982cd92b4ded22d409900da13eca46a	0.0355585	0
cap128a0r1	trained	3	cap128a0r1_trained_r3.log	97281752312cfc2ca59ba8fc956c32dc0285b58bf631e46151e2c7d906f32278	0.0826154	0
cap128a0r1	naive	1	cap128a0r1_naive_r1.log	a8a29448f8bbff1211b5799ef2a8103bf1b461e8f74c65f335c139ba350816af	0.0839193	0
cap128a0r1	naive	2	cap128a0r1_naive_r2.log	837165bb3b6181eba2ba002762974a53813554ce81582e3a7984d109277fe9e5	0.265007	0
cap128a0r1	naive	3	cap128a0r1_naive_r3.log	ef7d575bbe5fd919bcca61ad67b1dfb93c971605ce61bb0d7f0f4c5948773e4f	0.52697	0
cap128a0r1	auto	1	cap128a0r1_auto_r1.log	13e8b75631dd6a45db87cad06f4ee85b29b42a0cec49d628a6cdc0b3d9a56f5e	0.487681	0
cap128a0r1	auto	2	cap128a0r1_auto_r2.log	474daeaf3e641d48fa9b8d933200a512cd1251228c661c00a27ae05eae9a2661	0.267159	0
cap128a0r1	auto	3	cap128a0r1_auto_r3.log	5aaecd868d69d5825a52e853d72eed7ef7fa550fb8c1bd3f2e5c347d7363a85a	0.0696971	0
cap128a0r3	trained	1	cap128a0r3_trained_r1.log	e3a0382117de60866bb46d5f163a866f3428cb8ae1b7def354ca5c468726cacc	0.136001	0
cap128a0r3	trained	2	cap128a0r3_trained_r2.log	2d293adc54df28cb0304302fd7e3aa427a1a0e09b755152631aba7f93cb9e4e8	0.426001	0
cap128a0r3	trained	3	cap128a0r3_trained_r3.log	f7878a57ca32c673cbcd78fec5c7c5abbcfabff65e37a94c991c2af6d265a8e3	0.19854	0
cap128a0r3	naive	1	cap128a0r3_naive_r1.log	47486f2d4cd5d9f93e7a96389bd67f4fe0f67e32e7a6d333cab3607ce01eb93d	0.445729	0
cap128a0r3	naive	2	cap128a0r3_naive_r2.log	0cca5cff728429ab55a63262d15dfca018e1404e0089d3a66aa3f4d374f2fb66	0.28933	0
cap128a0r3	naive	3	cap128a0r3_naive_r3.log	79c01d7508e6a4832578df8ff9377df340920a514682008487601f7b6a63eb8c	0.140347	0
cap128a0r3	auto	1	cap128a0r3_auto_r1.log	2ecf69bf55de5b0fb2d88296251c1c4707eca9c672dffd23babff191440d9b3c	0.645485	0
cap128a0r3	auto	2	cap128a0r3_auto_r2.log	57396becb58c00b5e76178d8c23f1a1bf9f78e4f8f9aa6b85f4e3e1eac29ff16	0.534076	0
cap128a0r3	auto	3	cap128a0r3_auto_r3.log	f3998cb18cdaedc6437e16ab9e5b44992b0e87b284e8d4785b3c3df4c0ab822a	0.357821	0
cap128a15r1	trained	1	cap128a15r1_trained_r1.log	0af26bd6bf6af650a446746ca0018e5936500852661b4219cf58c4f0cbe66020	0.0379112	0
cap128a15r1	trained	2	cap128a15r1_trained_r2.log	1934d5fd4e970d8e1defe11bed77a320ac5687235adda3c077c8de98afa1bc22	0.0427313	0
cap128a15r1	trained	3	cap128a15r1_trained_r3.log	c926d259354c07bacb1c6d9cd465003db69e7759feaad4c88b472c6137490bf6	0.0345979	0
cap128a15r1	naive	1	cap128a15r1_naive_r1.log	90805f643c8101f3e30b5d65f1c05266db826eae98639b95df32b0330c4cb8f0	0.0541584	0
cap128a15r1	naive	2	cap128a15r1_naive_r2.log	7695e54760a8d24f878ccca6041d33ddc9a87b013c91d5eb42c837ccef9112e5	0.0367875	0
cap128a15r1	naive	3	cap128a15r1_naive_r3.log	81933729a58f410dde64d6451b8284b932300352a717f221d6f4162c2ecae1e6	0.0357964	0
cap128a15r1	auto	1	cap128a15r1_auto_r1.log	3edc5b1e920f6f631213ee325ca0da28ce826ebb7bc3c811efc37b75a350928d	0.0376241	0
cap128a15r1	auto	2	cap128a15r1_auto_r2.log	f14ec01e0df6063b3dfee25fc5531ebc44ff8a6df11155465e33f39bf2395b10	0.045368	0
cap128a15r1	auto	3	cap128a15r1_auto_r3.log	543bbf277862e3086bea0ff8a065ddf8e60464dd44bd6f5e1d4056c6ec22acf2	0.0380774	0
cap128a15r3	trained	1	cap128a15r3_trained_r1.log	98fbfd2329fcd07b6db4abecf00071812b52a1c7751bfd77eca960bdf5cdb49e	0.132638	0
cap128a15r3	trained	2	cap128a15r3_trained_r2.log	ea73b70ec1ede4ea0331c4cf42f9e94259ebf0d24b92428ad218fcea66ed4e14	0.459341	0
cap128a15r3	trained	3	cap128a15r3_trained_r3.log	f361cc71e14aa2900db6d645474d1e0d9ebeb8fdc9ac1fe8bc0c24a9a9509b36	0.393149	0
cap128a15r3	naive	1	cap128a15r3_naive_r1.log	367b79690ff2c7c76a95db6e40148c20365fccf5339303c01a8ce28396eaa5d8	0.476393	0
cap128a15r3	naive	2	cap128a15r3_naive_r2.log	5dc3f59de9d0e4b70631d46cd87666c55e011b9a7d3a8c2dcacac43f1f24fab8	0.279924	0
cap128a15r3	naive	3	cap128a15r3_naive_r3.log	048606cea42b766bd8bbc599cc9ee6980a7889af3ca547f7705deb271ef5edfc	0.391233	0
cap128a15r3	auto	1	cap128a15r3_auto_r1.log	7412a97d64bcf7086210342c6b9552c4095c35831881338c905cf454d2aed4e6	0.411201	0
cap128a15r3	auto	2	cap128a15r3_auto_r2.log	6b10913773457b9500751954902dcde9e4abd108246a87cf70f5a748518ef3ea	0.619487	0
cap128a15r3	auto	3	cap128a15r3_auto_r3.log	e7f8854b9c570f20ed79dbc1d440d2badb0aec8305b31af3120732bebeec3e7f	0.484282	0
cap128a35r1	trained	1	cap128a35r1_trained_r1.log	26e62e6c22593c4288210de6e935bedd272100c3225dcb90783fb084ff65079d	0.35884	0
cap128a35r1	trained	2	cap128a35r1_trained_r2.log	0582db7805775af9c07b296c11d75a7fea45a9d8cf3071cd8875b91bd8b940f5	0.362064	0
cap128a35r1	trained	3	cap128a35r1_trained_r3.log	8860095fb03edee50fcabff7fbed3bcffea759c26a5c01134d70a7f0d4c7a5dd	0.117101	0
cap128a35r1	naive	1	cap128a35r1_naive_r1.log	f72b7b548a8107adf92749b946679c6cc6719f15608db7b41e6871a38c3ad7c1	0.0828342	0
cap128a35r1	naive	2	cap128a35r1_naive_r2.log	40cf34840bc9af9db450fbe568e8b4ad09132c1b7739afd0a8b910d4c5a6e381	0.180614	0
cap128a35r1	naive	3	cap128a35r1_naive_r3.log	25bc080bd8c1ae1bc27b010830765a6296d0aba4d65c6fbdf2d8b3e1fccf0bc8	0.319529	0
cap128a35r1	auto	1	cap128a35r1_auto_r1.log	2ccfcc257483644562ba405126fc315e4d0bc295c1a7d88184cba19a106cc512	0.283935	0
cap128a35r1	auto	2	cap128a35r1_auto_r2.log	982fd629a220a3639816a8ee4197cf5f72157c39c19144a8398fcc63a51f978f	0.3506	0
cap128a35r1	auto	3	cap128a35r1_auto_r3.log	defc07ace2afb3e022ebd73bd452d61c3474f6b85685c6a0159789aceb9b8ef7	0.501259	0
cap128a35r3	trained	1	cap128a35r3_trained_r1.log	e7088c4f42fa7cd18e15bf182ffe322e2703714403c477bac960e04c344c0254	0.954645	0
cap128a35r3	trained	2	cap128a35r3_trained_r2.log	144108073e332417ef3401b8a8da4eca44839278c3ea3e63505d340b2720b0b7	0.741594	0
cap128a35r3	trained	3	cap128a35r3_trained_r3.log	6e9c74cea3b06916fa1430c2f32fe437c7b5f2a321ea3fd35da0399084239408	0.38247	0
cap128a35r3	naive	1	cap128a35r3_naive_r1.log	ebed374b0726e070cdcbb8aa9c3332068f92670d3b42d17d37387569c57359a6	0.35562	0
cap128a35r3	naive	2	cap128a35r3_naive_r2.log	634b629b0fcdc94f74936c9a0ed42a3ab86a6d29967d8160a5c89914863ef573	0.323585	0
cap128a35r3	naive	3	cap128a35r3_naive_r3.log	01839d7ac4221bff98246d73781d309f35ec5d5d50a0b5241091a4d99249d682	0.105852	0
cap128a35r3	auto	1	cap128a35r3_auto_r1.log	3599327810fff7325dbd33f8f7aede79088f440c742af188de83aa77e3fe632d	0.507052	0
cap128a35r3	auto	2	cap128a35r3_auto_r2.log	737cc26fd98f638aaf162ed0c127e4979fe99fae6bf20f02c60194dec642a259	0.28216	0
cap128a35r3	auto	3	cap128a35r3_auto_r3.log	871ac1772dc41617dfb6a7aabb78b8e0ba97ff7f5e8605bfad612f200cfd5a1c	0.210811	0
cap512a0r1	trained	1	cap512a0r1_trained_r1.log	fbe07de2234f87eabee9b5845022126727b2e18801fb4307e3891e50214d00b7	0.17601	0
cap512a0r1	trained	2	cap512a0r1_trained_r2.log	90edc2f42ff695f6c512572572abaebef70e8ddf2b60eab99110f569fac115a8	0.116716	0
cap512a0r1	trained	3	cap512a0r1_trained_r3.log	6b6d261e5ed891b91a81ed20e3b22155b667f4d908570125aeef86ee80188bca	0.0790143	0
cap512a0r1	naive	1	cap512a0r1_naive_r1.log	bb7472cd03fa0fb6ba8da431f8a573c0f20c3adf17e1d8b45f74009aedc7b02b	0.173969	0
cap512a0r1	naive	2	cap512a0r1_naive_r2.log	bcee128c8d55552b8f56d3771d91e6633b6c87e13520e4d6b5b4dba2ec230f9b	0.398714	0
cap512a0r1	naive	3	cap512a0r1_naive_r3.log	7d8840f0e12617685b190e00b31f204df8b69b5b7af7534b7bf730c4828bceac	0.105889	0
cap512a0r1	auto	1	cap512a0r1_auto_r1.log	193cdec0cb7a629eb98e83349aa83311e672eeacfd0eaeaf15b94795652da162	2.34197	0
cap512a0r1	auto	2	cap512a0r1_auto_r2.log	83e6eb9f35b44810ede9989c2fff7445e59e12b11e1492ea3a47c3eca40ecf84	2.68501	0
cap512a0r1	auto	3	cap512a0r1_auto_r3.log	afa423402febad29798153068e6660951942fba83f27b9e827089122924252f5	2.41139	0
cap512a0r3	trained	1	cap512a0r3_trained_r1.log	43324f405be6de74474e7d6b8f9cf946f825be9dddb99c86ece1ae8af74e7f1f	0.217691	0
cap512a0r3	trained	2	cap512a0r3_trained_r2.log	902580d6f77ca882118bde9b384e11d1e84284f3db1cbcf6aa0cf384b983334f	0.326375	0
cap512a0r3	trained	3	cap512a0r3_trained_r3.log	096d0fb7eb50c713e9da0a848cdf622eb15e4fa399d9bbf55f736592e4a19181	1.17608	0
cap512a0r3	naive	1	cap512a0r3_naive_r1.log	f1d2373fe8a2510d93465b0f59f04fec3ed91de92208550bac062f74d7fd92ed	0.620565	0
cap512a0r3	naive	2	cap512a0r3_naive_r2.log	b08b34a376dd64404ffa27faee1258e77885ebf86c5728cea7622324a18a17b0	1.49947	0
cap512a0r3	naive	3	cap512a0r3_naive_r3.log	518ba6dfd8de0a6ff58db584a28752092f3f760b016c65560863c27f99c093b7	0.811102	0
cap512a0r3	auto	1	cap512a0r3_auto_r1.log	3e54e4b263737f8d19a58fb96bfb79c0b6f3babafc3a18a07c5d34e3af88b6f1	3.95345	0
cap512a0r3	auto	2	cap512a0r3_auto_r2.log	a1ffdac0f33b44d1249530e60b67bb0510176562a6748221cc4308072a83763f	3.64288	0
cap512a0r3	auto	3	cap512a0r3_auto_r3.log	0e7ca3e2e7f71f9b8b4058830225da65fe14c2fba56a3866ddbebda49b1a82a1	3.556	0
cap512a15r1	trained	1	cap512a15r1_trained_r1.log	bbace7c5e2a436bcc88086b110ac2cb7f457dde8a567de6b23a3924951418050	0.227085	0
cap512a15r1	trained	2	cap512a15r1_trained_r2.log	2b0486c4299322cd7a582fefc8621d55125722844ae297973551276ce08c9e80	0.127651	0
cap512a15r1	trained	3	cap512a15r1_trained_r3.log	3b2b4add16a9417dbb65bb0a89f808122c2cd85849ab982359e4416286d8400f	0.0800319	0
cap512a15r1	naive	1	cap512a15r1_naive_r1.log	a9c479abdb658719b3f20e69357987566c1df7ae5a682167164067c593567bed	0.256143	0
cap512a15r1	naive	2	cap512a15r1_naive_r2.log	010c158e2fa12a117a4fedda1dd6480f4455398c4c35248c963731b7f4940349	0.776804	0
cap512a15r1	naive	3	cap512a15r1_naive_r3.log	907aa4426202e3f97395f39ae2e70c853c4c30be03336b5e3ac2b0ad57b30dfd	0.252053	0
cap512a15r1	auto	1	cap512a15r1_auto_r1.log	86669daa0de1af007c96179b21c62f2f50604e2bafbb90015fed9039d6911aa4	1.76814	0
cap512a15r1	auto	2	cap512a15r1_auto_r2.log	f8460ac8c04255aba8e9f7d11bb70538f192e2eb26f11b757f546c0ae605846a	1.40853	0
cap512a15r1	auto	3	cap512a15r1_auto_r3.log	f207d41260b321539172250d66fa99f5455e9e567b726104fecfe9712a34b733	0.939955	0
cap512a15r3	trained	1	cap512a15r3_trained_r1.log	2983734ecb0fbd415c2e8adae61bfae41465a59384dd22a1e940bba409fe69bc	0.852616	0
cap512a15r3	trained	2	cap512a15r3_trained_r2.log	eff127ca37dab9f99125359d9d1a0e5f2fa431ef9f38601603758384100577ce	0.290727	0
cap512a15r3	trained	3	cap512a15r3_trained_r3.log	a7243edcb926b49f2fc1c07b1bca031ea9d2dfadb5c9ea5fd17c6892212add4e	0.316605	0
cap512a15r3	naive	1	cap512a15r3_naive_r1.log	735faa8efcceec1d12cc9ae74dcbc5947e50125e2e0c0d76cbeb0fd800fb9f04	0.291537	0
cap512a15r3	naive	2	cap512a15r3_naive_r2.log	d4451b56e197a7cbeec08e62532d8f76eb3c1fea3fbc5f3a46154c97f6293c6b	0.413458	0
cap512a15r3	naive	3	cap512a15r3_naive_r3.log	fe1ed7dd4ad38cdf4cf1615076bb51b68143ff9ac1c57004e3809c214353b69f	0.716872	0
cap512a15r3	auto	1	cap512a15r3_auto_r1.log	8c17065a3537e28b1b2305ffb7d971ade3d9affc9b792a2c26c17d0bbae5b04e	3.90732	0
cap512a15r3	auto	2	cap512a15r3_auto_r2.log	e7d4834a304b9808fb8b5916b8b4a0b808cdf7aa08eca6c8a64f8cfc1d48d4b7	2.72121	0
cap512a15r3	auto	3	cap512a15r3_auto_r3.log	9cd395aa75f17accf3f390dc19daa96f4d69ad19713a9095c36b47d285adeefb	3.36406	0
cap512a35r1	trained	1	cap512a35r1_trained_r1.log	4f970a87a879b00aa3e43275fba636263cb1b1e349ca91b64457d322137e9249	0.278942	0
cap512a35r1	trained	2	cap512a35r1_trained_r2.log	0b8ce92f27563c6a7b6d4decfa1a012dac049b5502b4e9be0ae8fe94d7ab3159	0.138031	0
cap512a35r1	trained	3	cap512a35r1_trained_r3.log	3f6b6f6e6f9c9869d8e970537a2c87e31cd37c964efa798e86548cebad0f6448	0.13307	0
cap512a35r1	naive	1	cap512a35r1_naive_r1.log	252c25105d8a79d05c0202611a2c6838f18dc852c224a8bcc996cada967852ac	0.120409	0
cap512a35r1	naive	2	cap512a35r1_naive_r2.log	67e0e552eca404572746aa0d235bc92e3fbe175e76e0d7b80c549d98191542a8	0.193018	0
cap512a35r1	naive	3	cap512a35r1_naive_r3.log	c489fec33a6dec0017d0e19b84bd7b67ee1c90729f10d3ae961048eb31666851	0.284225	0
cap512a35r1	auto	1	cap512a35r1_auto_r1.log	60ecde1ac34e3b2ed15c9b63f295573b647ab8b158f8a5d19993e224921f5edc	1.88951	0
cap512a35r1	auto	2	cap512a35r1_auto_r2.log	62e87344f97d634e18a07876455141836aaa60704a5ec20dced4ae18d2d269db	1.12549	0
cap512a35r1	auto	3	cap512a35r1_auto_r3.log	0a1458f923978b767451c517ffbc6321beed7252515731afc36634944d64ce60	0.837428	0
cap512a35r3	trained	1	cap512a35r3_trained_r1.log	e8f5cb134e0216fef36a5817b260ed47dfcecd70096df18c174ce5a533659cd0	0.370067	0
cap512a35r3	trained	2	cap512a35r3_trained_r2.log	b0d3cb04c82af751864d6c5cb8c462ff4357aae5e752fe2d2401a0d3406e0ef9	0.884013	0
cap512a35r3	trained	3	cap512a35r3_trained_r3.log	1554f0349b0eb2591464732b60f4351b09c1a4e5f77e50bcca83aaf4e7bf8f64	1.4913	0
cap512a35r3	naive	1	cap512a35r3_naive_r1.log	c2e0626d7d241e5efe90b14a4f604a9a4c75912e6275401dd387b08adacfae00	1.02521	0
cap512a35r3	naive	2	cap512a35r3_naive_r2.log	6f0f3d765dd1ced333d815c08c416340ff6c3043d25fe418d72fb7f9f729c40f	0.783865	0
cap512a35r3	naive	3	cap512a35r3_naive_r3.log	149478eb66fd537f4c422e6ffe3167ed19f0bd985b4efa6f0d293e3bdf783d8a	0.5679	0
cap512a35r3	auto	1	cap512a35r3_auto_r1.log	5069ea9367368b64fb48644d9f864377e4e25c79fc45bc9d6f863a0cc3910b6b	4.65535	0
cap512a35r3	auto	2	cap512a35r3_auto_r2.log	0acb1f5f436e7a95b638c9b376450c65d77d9d83bc7ec352715ae131cb35d6b2	4.73146	0
cap512a35r3	auto	3	cap512a35r3_auto_r3.log	3dc75d00ddef62cc1d5db4f0661d91fc3bd6488691b53222a0cd5d8b765290bb	4.98775	0
