kind,leg,exposure,rep,recruit_id,reason,correct
clean,0,16,1,2,0,1
clean,0,16,2,2,0,1
clean,0,16,3,2,0,1
clean,0,16,4,2,0,1
clean,0,16,5,2,0,1
clean,0,16,6,2,0,1
clean,0,16,7,2,0,1
clean,1,1,0,-1,1,1
clean,1,1,1,-1,1,1
clean,1,1,2,-1,1,1
clean,1,1,3,-1,1,1
clean,1,1,4,-1,1,1
clean,1,1,5,-1,1,1
clean,1,1,6,-1,1,1
clean,1,1,7,-1,1,1
clean,1,2,0,-1,1,1
clean,1,2,1,-1,1,1
clean,1,2,2,-1,1,1
clean,1,2,3,-1,1,1
clean,1,2,4,-1,1,1
clean,1,2,5,-1,1,1
clean,1,2,6,-1,1,1
clean,1,2,7,-1,1,1
clean,1,3,0,-1,1,1
clean,1,3,1,-1,1,1
clean,1,3,2,-1,1,1
clean,1,3,3,-1,1,1
clean,1,3,4,-1,1,1
clean,1,3,5,-1,1,1
clean,1,3,6,-1,1,1
clean,1,3,7,-1,1,1
clean,1,4,0,2,0,1
clean,1,4,1,2,0,1
clean,1,4,2,2,0,1
clean,1,4,3,2,0,1
clean,1,4,4,2,0,1
clean,1,4,5,2,0,1
clean,1,4,6,2,0,1
clean,1,4,7,2,0,1
clean,1,5,0,2,0,1
clean,1,5,1,2,0,1
clean,1,5,2,2,0,1
clean,1,5,3,2,0,1
clean,1,5,4,2,0,1
clean,1,5,5,2,0,1
clean,1,5,6,2,0,1
clean,1,5,7,2,0,1
clean,1,6,0,2,0,1
clean,1,6,1,2,0,1
clean,1,6,2,2,0,1
clean,1,6,3,2,0,1
clean,1,6,4,2,0,1
clean,1,6,5,2,0,1
clean,1,6,6,2,0,1
clean,1,6,7,2,0,1
clean,1,7,0,2,0,1
clean,1,7,1,2,0,1
clean,1,7,2,2,0,1
clean,1,7,3,2,0,1
clean,1,7,4,2,0,1
clean,1,7,5,2,0,1
clean,1,7,6,2,0,1
clean,1,7,7,2,0,1
clean,1,8,0,2,0,1
clean,1,8,1,2,0,1
clean,1,8,2,2,0,1
clean,1,8,3,2,0,1
clean,1,8,4,2,0,1
clean,1,8,5,2,0,1
clean,1,8,6,2,0,1
clean,1,8,7,2,0,1
clean,1,9,0,2,0,1
clean,1,9,1,2,0,1
clean,1,9,2,2,0,1
clean,1,9,3,2,0,1
clean,1,9,4,2,0,1
clean,1,9,5,2,0,1
clean,1,9,6,2,0,1
clean,1,9,7,2,0,1
clean,1,10,0,2,0,1
clean,1,10,1,2,0,1
clean,1,10,2,2,0,1
clean,1,10,3,2,0,1
clean,1,10,4,2,0,1
clean,1,10,5,2,0,1
clean,1,10,6,2,0,1
clean,1,10,7,2,0,1
clean,1,11,0,2,0,1
clean,1,11,1,2,0,1
clean,1,11,2,2,0,1
clean,1,11,3,2,0,1
clean,1,11,4,2,0,1
clean,1,11,5,2,0,1
clean,1,11,6,2,0,1
clean,1,11,7,2,0,1
clean,1,12,0,2,0,1
clean,1,12,1,2,0,1
clean,1,12,2,2,0,1
clean,1,12,3,2,0,1
clean,1,12,4,2,0,1
clean,1,12,5,2,0,1
clean,1,12,6,2,0,1
clean,1,12,7,2,0,1
clean,1,13,0,2,0,1
clean,1,13,1,2,0,1
clean,1,13,2,2,0,1
clean,1,13,3,2,0,1
clean,1,13,4,2,0,1
clean,1,13,5,2,0,1
clean,1,13,6,2,0,1
clean,1,13,7,2,0,1
clean,1,14,0,2,0,1
clean,1,14,1,2,0,1
clean,1,14,2,2,0,1
clean,1,14,3,2,0,1
clean,1,14,4,2,0,1
clean,1,14,5,2,0,1
clean,1,14,6,2,0,1
clean,1,14,7,2,0,1
clean,1,15,0,2,0,1
clean,1,15,1,2,0,1
clean,1,15,2,2,0,1
clean,1,15,3,2,0,1
clean,1,15,4,2,0,1
clean,1,15,5,2,0,1
clean,1,15,6,2,0,1
clean,1,15,7,2,0,1
clean,1,16,0,2,0,1
clean,1,16,1,2,0,1
clean,1,16,2,2,0,1
clean,1,16,3,2,0,1
clean,1,16,4,2,0,1
clean,1,16,5,2,0,1
clean,1,16,6,2,0,1
clean,1,16,7,2,0,1
contested,0,1,0,-1,1,1
contested,0,1,1,-1,1,1
contested,0,1,2,-1,1,1
contested,0,1,3,-1,1,1
contested,0,2,0,-1,1,1
contested,0,2,1,-1,1,1
contested,0,2,2,-1,1,1
contested,0,2,3,-1,1,1
contested,0,3,0,-1,2,1
contested,0,3,1,-1,2,1
contested,0,3,2,-1,2,1
contested,0,3,3,-1,2,1
contested,0,4,0,-1,2,1
contested,0,4,1,-1,2,1
contested,0,4,2,-1,2,1
contested,0,4,3,-1,2,1
contested,0,5,0,-1,2,1
contested,0,5,1,-1,2,1
contested,0,5,2,-1,2,1
contested,0,5,3,-1,2,1
contested,0,6,0,-1,2,1
contested,0,6,1,-1,2,1
contested,0,6,2,-1,2,1
contested,0,6,3,-1,2,1
contested,0,7,0,-1,2,1
contested,0,7,1,-1,2,1
contested,0,7,2,-1,2,1
contested,0,7,3,-1,2,1
contested,0,8,0,-1,2,1
contested,0,8,1,-1,2,1
contested,0,8,2,-1,2,1
contested,0,8,3,-1,2,1
contested,0,9,0,-1,2,1
contested,0,9,1,-1,2,1
contested,0,9,2,-1,2,1
contested,0,9,3,-1,2,1
contested,0,10,0,-1,2,1
contested,0,10,1,-1,2,1
contested,0,10,2,-1,2,1
contested,0,10,3,-1,2,1
contested,0,11,0,-1,2,1
contested,0,11,1,-1,2,1
contested,0,11,2,-1,2,1
contested,0,11,3,-1,2,1
contested,0,12,0,-1,2,1
contested,0,12,1,-1,2,1
contested,0,12,2,-1,2,1
contested,0,12,3,-1,2,1
contested,0,13,0,-1,2,1
contested,0,13,1,-1,2,1
contested,0,13,2,-1,2,1
contested,0,13,3,-1,2,1
contested,0,14,0,-1,2,1
contested,0,14,1,-1,2,1
contested,0,14,2,-1,2,1
contested,0,14,3,-1,2,1
contested,0,15,0,-1,2,1
contested,0,15,1,-1,2,1
contested,0,15,2,-1,2,1
contested,0,15,3,-1,2,1
contested,0,16,0,-1,2,1
contested,0,16,1,-1,2,1
contested,0,16,2,-1,2,1
contested,0,16,3,-1,2,1
contested,1,1,0,-1,1,1
contested,1,1,1,-1,1,1
contested,1,1,2,-1,1,1
contested,1,1,3,-1,1,1
contested,1,2,0,-1,1,1
contested,1,2,1,-1,1,1
contested,1,2,2,-1,1,1
contested,1,2,3,-1,1,1
contested,1,3,0,-1,1,1
contested,1,3,1,-1,1,1
contested,1,3,2,-1,1,1
contested,1,3,3,-1,1,1
contested,1,4,0,-1,2,1
contested,1,4,1,-1,2,1
contested,1,4,2,-1,2,1
contested,1,4,3,-1,2,1
contested,1,5,0,-1,2,1
contested,1,5,1,-1,2,1
contested,1,5,2,-1,2,1
contested,1,5,3,-1,2,1
contested,1,6,0,-1,2,1
contested,1,6,1,-1,2,1
contested,1,6,2,-1,2,1
contested,1,6,3,-1,2,1
contested,1,7,0,-1,2,1
contested,1,7,1,-1,2,1
contested,1,7,2,-1,2,1
contested,1,7,3,-1,2,1
contested,1,8,0,-1,2,1
contested,1,8,1,-1,2,1
contested,1,8,2,-1,2,1
contested,1,8,3,-1,2,1
contested,1,9,0,-1,2,1
contested,1,9,1,-1,2,1
contested,1,9,2,-1,2,1
contested,1,9,3,-1,2,1
contested,1,10,0,-1,2,1
contested,1,10,1,-1,2,1
contested,1,10,2,-1,2,1
contested,1,10,3,-1,2,1
contested,1,11,0,-1,2,1
contested,1,11,1,-1,2,1
contested,1,11,2,-1,2,1
contested,1,11,3,-1,2,1
contested,1,12,0,-1,2,1
contested,1,12,1,-1,2,1
contested,1,12,2,-1,2,1
contested,1,12,3,-1,2,1
contested,1,13,0,-1,2,1
contested,1,13,1,-1,2,1
contested,1,13,2,-1,2,1
contested,1,13,3,-1,2,1
contested,1,14,0,-1,2,1
contested,1,14,1,-1,2,1
contested,1,14,2,-1,2,1
contested,1,14,3,-1,2,1
contested,1,15,0,-1,2,1
contested,1,15,1,-1,2,1
contested,1,15,2,-1,2,1
contested,1,15,3,-1,2,1
contested,1,16,0,-1,2,1
contested,1,16,1,-1,2,1
contested,1,16,2,-1,2,1
contested,1,16,3,-1,2,1
