ARM,A8
VARIANT,f3
ROUND,5
GENOME,1,0,0,29,48,0,0,1,0
TN_CHECK,h2_episodes_ok,0,0
TN_CHECK,h2_pinstall_n,1,1
TN_CHECK,h2_pinstall_step,14,14
TN_CHECK,h2_pinstall_policy,1,1
TN_CHECK,h2_cal_score,4,4
TN_CHECK,h2_fire_step,15,15
TN_CHECK,h2_ndisconnect,1,1
TN_CHECK,h2_nuninstall,14,0
TN_CHECK,h2_uninstall_policy,1,-1
TN_CHECK,h2_lawfail_step,-1,-1
TN_CHECK,h2_revoke_step,15,-1
TN_CHECK,h2_ncommit,14,0
TN_CHECK,h2_commit_policy,2,-1
TN_CHECK,h2_npromote,0,1
TN_CHECK,h2_promote_step,-1,48
TN_CHECK,h2_total_contest,41,48
TN_CHECK,h2_total_rekey,7,0
TN_CHECK,h2_total_overwrite,0,0
TN_CHECK,h2_total_refuse,10,10
TN_CHECK,h2_quar_used,0,48
TN_CHECK,h2_main18_val_mm,0,0
TN_CHECK,h2_main18_flag_mm,8,0
TN_CHECK,h2_audit_total,310,269
LEDGER,23,10,1,1
LEDGER,23,6,1,1
LEDGER,23,15,1,-1
LEDGER,23,18,0,1
LEDGER,23,13,1,2
LEDGER,24,1,4,-1
LEDGER,24,10,2,2
LEDGER,24,7,9,2
LEDGER,24,15,2,-1
LEDGER,24,18,0,2
LEDGER,24,13,1,1
LEDGER,25,1,4,-1
LEDGER,25,10,1,1
LEDGER,25,6,3,1
LEDGER,25,15,1,-1
LEDGER,25,18,0,1
LEDGER,25,13,1,2
LEDGER,26,1,4,-1
LEDGER,26,10,2,2
LEDGER,26,7,9,4
LEDGER,26,15,2,-1
LEDGER,26,18,0,2
LEDGER,26,13,1,1
LEDGER,27,1,4,-1
LEDGER,27,10,1,1
LEDGER,27,6,5,1
LEDGER,27,15,1,-1
LEDGER,27,18,0,1
LEDGER,27,13,1,2
LEDGER,28,1,4,-1
LEDGER,28,10,2,2
LEDGER,28,7,9,6
LEDGER,28,15,2,-1
LEDGER,28,18,0,2
LEDGER,28,13,1,1
LEDGER,29,1,5,-1
LEDGER,29,6,1,1
LEDGER,30,1,6,-1
LEDGER,30,4,9,0
LEDGER,31,1,5,-1
LEDGER,31,6,2,1
LEDGER,32,1,6,-1
LEDGER,32,4,10,0
LEDGER,33,1,5,-1
LEDGER,33,6,3,1
LEDGER,34,1,6,-1
LEDGER,34,4,11,0
LEDGER,35,1,5,-1
LEDGER,35,6,4,1
LEDGER,36,1,6,-1
LEDGER,36,4,12,0
LEDGER,37,1,5,-1
LEDGER,37,6,5,1
LEDGER,38,1,6,-1
LEDGER,38,4,13,0
LEDGER,39,1,5,-1
LEDGER,39,6,6,1
LEDGER,40,1,6,-1
LEDGER,40,4,14,0
LEDGER,41,1,5,-1
LEDGER,41,6,7,1
LEDGER,42,1,6,-1
LEDGER,42,4,15,0
LEDGER,43,1,5,-1
LEDGER,43,6,8,1
LEDGER,44,1,6,-1
LEDGER,44,4,16,0
LEDGER,45,1,5,-1
LEDGER,45,6,9,1
LEDGER,46,1,6,-1
LEDGER,46,4,17,0
LEDGER,47,1,5,-1
LEDGER,47,6,10,1
LEDGER,48,1,6,-1
LEDGER,48,4,18,0
LEDGER,49,1,8,-1
LEDGER,49,4,19,0
LEDGER,50,1,8,-1
LEDGER,50,4,20,0
LEDGER,51,1,7,-1
LEDGER,51,6,1,1
LEDGER,52,1,8,-1
LEDGER,52,4,21,0
LEDGER,53,1,8,-1
LEDGER,53,4,22,0
LEDGER,54,1,8,-1
LEDGER,54,4,23,0
LEDGER,55,1,7,-1
LEDGER,55,6,2,1
LEDGER,56,1,8,-1
LEDGER,56,4,24,0
LEDGER,57,1,8,-1
LEDGER,57,4,25,0
LEDGER,58,1,8,-1
LEDGER,58,4,26,0
LEDGER,59,1,7,-1
LEDGER,59,6,3,1
LEDGER,60,1,9,-1
LEDGER,60,10,2,1
LEDGER,60,6,3,1
LEDGER,61,1,8,-1
LEDGER,61,4,27,0
LEDGER,62,1,8,-1
LEDGER,62,4,28,0
LEDGER,63,1,7,-1
LEDGER,63,6,4,1
LEDGER,64,1,8,-1
LEDGER,64,4,29,0
LEDGER,65,1,8,-1
LEDGER,65,4,30,0
LEDGER,66,1,8,-1
LEDGER,66,4,31,0
LEDGER,67,1,7,-1
LEDGER,67,6,5,1
LEDGER,68,1,8,-1
LEDGER,68,4,32,0
LEDGER,69,1,8,-1
LEDGER,69,4,33,0
LEDGER,70,1,8,-1
LEDGER,70,4,34,0
LEDGER,71,1,7,-1
LEDGER,71,6,6,1
LEDGER,72,1,8,-1
LEDGER,72,4,35,0
LEDGER,73,1,8,-1
LEDGER,73,4,36,0
LEDGER,74,1,8,-1
LEDGER,74,4,37,0
LEDGER,75,1,7,-1
LEDGER,75,6,7,1
LEDGER,76,1,8,-1
LEDGER,76,4,38,0
LEDGER,77,1,8,-1
LEDGER,77,4,39,0
LEDGER,78,1,8,-1
LEDGER,78,4,40,0
LEDGER,79,1,7,-1
LEDGER,79,6,8,1
LEDGER,80,1,9,-1
LEDGER,80,10,1,1
LEDGER,80,6,4,1
LEDGER,81,1,8,-1
LEDGER,81,4,41,0
LEDGER,82,1,8,-1
LEDGER,82,4,42,0
LEDGER,83,1,7,-1
LEDGER,83,6,1,1
LEDGER,84,1,8,-1
LEDGER,84,4,43,0
LEDGER,85,1,8,-1
LEDGER,85,4,44,0
LEDGER,86,1,8,-1
LEDGER,86,4,45,0
LEDGER,87,1,7,-1
LEDGER,87,6,2,1
LEDGER,88,1,8,-1
LEDGER,88,4,46,0
LEDGER,89,1,8,-1
LEDGER,89,4,47,0
LEDGER,90,1,8,-1
LEDGER,90,4,48,0
LEDGER,91,1,7,-1
LEDGER,91,6,3,1
LEDGER,92,1,8,-1
LEDGER,92,4,49,0
LEDGER,93,1,8,-1
LEDGER,93,4,50,0
LEDGER,94,1,8,-1
LEDGER,94,4,51,0
LEDGER,95,1,7,-1
LEDGER,95,6,4,1
LEDGER,96,1,8,-1
LEDGER,96,4,52,0
LEDGER,97,1,8,-1
LEDGER,97,4,53,0
LEDGER,98,1,8,-1
LEDGER,98,4,54,0
LEDGER,99,1,7,-1
LEDGER,99,6,5,1
LEDGER,100,1,9,-1
LEDGER,100,10,2,1
LEDGER,100,6,5,1
LEDGER,101,1,8,-1
LEDGER,101,4,55,0
LEDGER,102,1,8,-1
LEDGER,102,4,56,0
LEDGER,103,1,7,-1
LEDGER,103,6,6,1
LEDGER,104,1,8,-1
LEDGER,104,4,57,0
LEDGER,105,1,8,-1
LEDGER,105,4,58,0
LEDGER,106,1,8,-1
LEDGER,106,4,59,0
LEDGER,107,1,7,-1
LEDGER,107,6,7,1
LEDGER,108,1,8,-1
LEDGER,108,4,60,0
LEDGER,109,1,8,-1
LEDGER,109,4,61,0
LEDGER,110,1,8,-1
LEDGER,110,4,62,0
LEDGER,111,1,7,-1
LEDGER,111,6,8,1
LEDGER,112,1,8,-1
LEDGER,112,4,63,0
LEDGER,113,1,8,-1
LEDGER,113,4,64,0
LEDGER,114,1,8,-1
LEDGER,114,4,65,0
LEDGER,115,1,7,-1
LEDGER,115,6,1,1
LEDGER,116,1,8,-1
LEDGER,116,4,66,0
LEDGER,117,1,8,-1
LEDGER,117,4,67,0
LEDGER,118,1,8,-1
LEDGER,118,4,68,0
LEDGER,119,1,7,-1
LEDGER,119,6,2,1
LEDGER,120,1,9,-1
LEDGER,120,10,1,1
LEDGER,120,6,6,1
LEDGER,121,1,8,-1
LEDGER,121,4,69,0
LEDGER,122,1,8,-1
LEDGER,122,4,70,0
LEDGER,123,1,7,-1
LEDGER,123,6,3,1
LEDGER,124,1,8,-1
LEDGER,124,4,71,0
LEDGER,125,1,8,-1
LEDGER,125,4,72,0
LEDGER,126,1,8,-1
LEDGER,126,4,73,0
LEDGER,127,1,7,-1
LEDGER,127,6,4,1
LEDGER,128,1,8,-1
LEDGER,128,4,74,0
H2_F,1725
H2_NSHAM,0
H2_NCOMMIT,14
H2_NUNINSTALL,14
H2_NPROMOTE,0
H2_NREFUSE,10
H2_REVOKE_STEP,15
H2_PROMOTE_STEP,-1
H2_WITHHELD,0
H2_BADEP,0
H2_AUDIT_TOTAL,310
H2_QUAR_USED,0
H2_CAL_SCORE,4
H2_VERDICT,KILLED
H2_IDENT,0
H2_ENDO_FIRES,24
H2_ROLLBACKS,0
H2_AA_WRITES,0
H2_AA_SUPPRESSED,0
TN_FAILURES,12
