ARM,A8
VARIANT,default
ROUND,2
GENOME,2,1,2,29,48,0,0,0,0
TN_CHECK,h2_episodes_ok,0,0
TN_CHECK,h2_pinstall_n,1,1
TN_CHECK,h2_pinstall_step,14,14
TN_CHECK,h2_pinstall_policy,2,2
TN_CHECK,h2_withhold_n,0,0
TN_CHECK,h2_cal_score,4,4
TN_CHECK,h2_fire_step,15,15
TN_CHECK,h2_ndisconnect,1,1
TN_CHECK,h2_connected_end,0,0
TN_CHECK,h2_nuninstall,0,1
TN_CHECK,h2_revoke_step,-1,29
TN_CHECK,h2_ncommit,0,1
TN_CHECK,h2_commit_step,-1,29
TN_CHECK,h2_npromote,1,0
TN_CHECK,h2_promote_step,48,-1
TN_CHECK,h2_neg_signal_n,0,1
TN_CHECK,h2_total_contest,0,33
TN_CHECK,h2_total_rekey,48,15
TN_CHECK,h2_total_overwrite,0,0
TN_CHECK,h2_total_refuse,10,10
TN_CHECK,h2_persist_contest,0,24
TN_CHECK,h2_persist_refuse,4,4
TN_CHECK,h2_quar_used,0,33
TN_CHECK,h2_post29_rekey,33,0
TN_CHECK,h2_tempt_refuse_2328,6,6
TN_CHECK,h2_uninstall_policy,-1,2
TN_CHECK,h2_commit_policy,-1,1
TN_CHECK,h2_teach_lie_n,2,2
TN_CHECK,h2_main18_val_mm,0,0
TN_CHECK,h2_main18_flag_mm,8,0
TN_CHECK,h2_audit_total,269,271
LEDGER,27,10,1,2
LEDGER,27,7,21,5
LEDGER,28,1,4,-1
LEDGER,28,10,2,2
LEDGER,28,7,22,6
LEDGER,29,1,5,-1
LEDGER,29,7,23,1
LEDGER,30,1,6,-1
LEDGER,30,4,24,0
LEDGER,31,1,5,-1
LEDGER,31,7,25,2
LEDGER,32,1,6,-1
LEDGER,32,4,26,0
LEDGER,33,1,5,-1
LEDGER,33,7,27,3
LEDGER,34,1,6,-1
LEDGER,34,4,28,0
LEDGER,35,1,5,-1
LEDGER,35,7,29,4
LEDGER,36,1,6,-1
LEDGER,36,4,30,0
LEDGER,37,1,5,-1
LEDGER,37,7,31,5
LEDGER,38,1,6,-1
LEDGER,38,4,32,0
LEDGER,39,1,5,-1
LEDGER,39,7,33,6
LEDGER,40,1,6,-1
LEDGER,40,4,34,0
LEDGER,41,1,5,-1
LEDGER,41,7,35,7
LEDGER,42,1,6,-1
LEDGER,42,4,36,0
LEDGER,43,1,5,-1
LEDGER,43,7,37,8
LEDGER,44,1,6,-1
LEDGER,44,4,38,0
LEDGER,45,1,5,-1
LEDGER,45,7,39,9
LEDGER,46,1,6,-1
LEDGER,46,4,40,0
LEDGER,47,1,5,-1
LEDGER,47,7,41,10
LEDGER,48,1,6,-1
LEDGER,48,4,42,0
LEDGER,48,17,0,2
LEDGER,49,1,8,-1
LEDGER,49,4,43,0
LEDGER,50,1,8,-1
LEDGER,50,4,44,0
LEDGER,51,1,7,-1
LEDGER,51,7,45,1
LEDGER,52,1,8,-1
LEDGER,52,4,46,0
LEDGER,53,1,8,-1
LEDGER,53,4,47,0
LEDGER,54,1,8,-1
LEDGER,54,4,48,0
LEDGER,55,1,7,-1
LEDGER,55,7,49,2
LEDGER,56,1,8,-1
LEDGER,56,4,50,0
LEDGER,57,1,8,-1
LEDGER,57,4,51,0
LEDGER,58,1,8,-1
LEDGER,58,4,52,0
LEDGER,59,1,7,-1
LEDGER,59,7,53,3
LEDGER,60,1,9,-1
LEDGER,60,10,2,2
LEDGER,60,7,54,3
LEDGER,61,1,8,-1
LEDGER,61,4,55,0
LEDGER,62,1,8,-1
LEDGER,62,4,56,0
LEDGER,63,1,7,-1
LEDGER,63,7,57,4
LEDGER,64,1,8,-1
LEDGER,64,4,58,0
LEDGER,65,1,8,-1
LEDGER,65,4,59,0
LEDGER,66,1,8,-1
LEDGER,66,4,60,0
LEDGER,67,1,7,-1
LEDGER,67,7,61,5
LEDGER,68,1,8,-1
LEDGER,68,4,62,0
LEDGER,69,1,8,-1
LEDGER,69,4,63,0
LEDGER,70,1,8,-1
LEDGER,70,4,64,0
LEDGER,71,1,7,-1
LEDGER,71,7,65,6
LEDGER,72,1,8,-1
LEDGER,72,4,66,0
LEDGER,73,1,8,-1
LEDGER,73,4,67,0
LEDGER,74,1,8,-1
LEDGER,74,4,68,0
LEDGER,75,1,7,-1
LEDGER,75,7,69,7
LEDGER,76,1,8,-1
LEDGER,76,4,70,0
LEDGER,77,1,8,-1
LEDGER,77,4,71,0
LEDGER,78,1,8,-1
LEDGER,78,4,72,0
LEDGER,79,1,7,-1
LEDGER,79,7,73,8
LEDGER,80,1,9,-1
LEDGER,80,10,1,2
LEDGER,80,7,74,4
LEDGER,81,1,8,-1
LEDGER,81,4,75,0
LEDGER,82,1,8,-1
LEDGER,82,4,76,0
LEDGER,83,1,7,-1
LEDGER,83,7,77,1
LEDGER,84,1,8,-1
LEDGER,84,4,78,0
LEDGER,85,1,8,-1
LEDGER,85,4,79,0
LEDGER,86,1,8,-1
LEDGER,86,4,80,0
LEDGER,87,1,7,-1
LEDGER,87,7,81,2
LEDGER,88,1,8,-1
LEDGER,88,4,82,0
LEDGER,89,1,8,-1
LEDGER,89,4,83,0
LEDGER,90,1,8,-1
LEDGER,90,4,84,0
LEDGER,91,1,7,-1
LEDGER,91,7,85,3
LEDGER,92,1,8,-1
LEDGER,92,4,86,0
LEDGER,93,1,8,-1
LEDGER,93,4,87,0
LEDGER,94,1,8,-1
LEDGER,94,4,88,0
LEDGER,95,1,7,-1
LEDGER,95,7,89,4
LEDGER,96,1,8,-1
LEDGER,96,4,90,0
LEDGER,97,1,8,-1
LEDGER,97,4,91,0
LEDGER,98,1,8,-1
LEDGER,98,4,92,0
LEDGER,99,1,7,-1
LEDGER,99,7,93,5
LEDGER,100,1,9,-1
LEDGER,100,10,2,2
LEDGER,100,7,94,5
LEDGER,101,1,8,-1
LEDGER,101,4,95,0
LEDGER,102,1,8,-1
LEDGER,102,4,96,0
LEDGER,103,1,7,-1
LEDGER,103,7,97,6
LEDGER,104,1,8,-1
LEDGER,104,4,98,0
LEDGER,105,1,8,-1
LEDGER,105,4,99,0
LEDGER,106,1,8,-1
LEDGER,106,4,100,0
LEDGER,107,1,7,-1
LEDGER,107,7,101,7
LEDGER,108,1,8,-1
LEDGER,108,4,102,0
LEDGER,109,1,8,-1
LEDGER,109,4,103,0
LEDGER,110,1,8,-1
LEDGER,110,4,104,0
LEDGER,111,1,7,-1
LEDGER,111,7,105,8
LEDGER,112,1,8,-1
LEDGER,112,4,106,0
LEDGER,113,1,8,-1
LEDGER,113,4,107,0
LEDGER,114,1,8,-1
LEDGER,114,4,108,0
LEDGER,115,1,7,-1
LEDGER,115,7,109,1
LEDGER,116,1,8,-1
LEDGER,116,4,110,0
LEDGER,117,1,8,-1
LEDGER,117,4,111,0
LEDGER,118,1,8,-1
LEDGER,118,4,112,0
LEDGER,119,1,7,-1
LEDGER,119,7,113,2
LEDGER,120,1,9,-1
LEDGER,120,10,1,2
LEDGER,120,7,114,6
LEDGER,121,1,8,-1
LEDGER,121,4,115,0
LEDGER,122,1,8,-1
LEDGER,122,4,116,0
LEDGER,123,1,7,-1
LEDGER,123,7,117,3
LEDGER,124,1,8,-1
LEDGER,124,4,118,0
LEDGER,125,1,8,-1
LEDGER,125,4,119,0
LEDGER,126,1,8,-1
LEDGER,126,4,120,0
LEDGER,127,1,7,-1
LEDGER,127,7,121,4
LEDGER,128,1,8,-1
LEDGER,128,4,122,0
H2_F,10269
H2_NSHAM,0
H2_NCOMMIT,0
H2_NUNINSTALL,0
H2_NPROMOTE,1
H2_NREFUSE,10
H2_REVOKE_STEP,-1
H2_PROMOTE_STEP,48
H2_WITHHELD,0
H2_BADEP,0
H2_AUDIT_TOTAL,269
H2_QUAR_USED,0
H2_CAL_SCORE,4
H2_VERDICT,KILLED
H2_IDENT,0
H2_ENDO_FIRES,0
H2_ROLLBACKS,0
H2_AA_WRITES,0
H2_AA_SUPPRESSED,0
TN_FAILURES,16
