ARM,H-TW
VARIANT,a2
ROUND,1
GENOME,2,1,7,15,48,0,0,0,0
TN_CHECK,h2_episodes_ok,0,0
TN_CHECK,h2_pinstall_n,1,1
TN_CHECK,h2_pinstall_step,14,14
TN_CHECK,h2_pinstall_policy,2,2
TN_CHECK,h2_withhold_n,0,0
TN_CHECK,h2_cal_score,4,4
TN_CHECK,h2_fire_step,15,15
TN_CHECK,h2_ndisconnect,1,1
TN_CHECK,h2_connected_end,0,0
TN_CHECK,h2_nuninstall,1,1
TN_CHECK,h2_revoke_step,15,15
TN_CHECK,h2_ncommit,1,1
TN_CHECK,h2_commit_step,15,15
TN_CHECK,h2_commit_policy,1,1
TN_CHECK,h2_npromote,0,0
TN_CHECK,h2_promote_step,-1,-1
TN_CHECK,h2_promote_policy,-1,-1
TN_CHECK,h2_neg_signal_n,0,0
TN_CHECK,h2_selfaudit_n,1,1
TN_CHECK,h2_total_contest,47,47
TN_CHECK,h2_total_rekey,1,1
TN_CHECK,h2_total_overwrite,0,0
TN_CHECK,h2_total_refuse,28,10
TN_CHECK,h2_persist_contest,24,24
TN_CHECK,h2_persist_refuse,4,4
TN_CHECK,h2_quar_used,47,47
TN_CHECK,h2_post29_rekey,0,0
TN_CHECK,h2_uninstall_policy,2,2
TN_CHECK,h2_teach_lie_n,2,2
TN_CHECK,h2_main18_val_mm,0,0
TN_CHECK,h2_main18_flag_mm,0,0
TN_CHECK,h2_real_rekeyed,1,1
TN_CHECK,h2_audit_total,313,271
LEDGER,20,20,0,2
LEDGER,21,1,3,-1
LEDGER,21,10,99,1
LEDGER,21,6,7,6
LEDGER,21,20,0,2
LEDGER,22,1,3,-1
LEDGER,22,10,99,1
LEDGER,22,6,8,7
LEDGER,22,20,0,2
LEDGER,23,1,4,-1
LEDGER,23,10,99,1
LEDGER,23,6,1,8
LEDGER,23,20,0,2
LEDGER,24,1,4,-1
LEDGER,24,10,99,1
LEDGER,24,6,2,9
LEDGER,24,20,0,2
LEDGER,25,1,4,-1
LEDGER,25,10,99,1
LEDGER,25,6,3,10
LEDGER,25,20,0,2
LEDGER,26,1,4,-1
LEDGER,26,10,99,1
LEDGER,26,6,4,11
LEDGER,26,20,0,2
LEDGER,27,1,4,-1
LEDGER,27,10,99,1
LEDGER,27,6,5,12
LEDGER,27,20,0,2
LEDGER,28,1,4,-1
LEDGER,28,10,99,1
LEDGER,28,6,6,13
LEDGER,28,20,0,2
LEDGER,29,1,5,-1
LEDGER,29,10,99,1
LEDGER,29,6,1,14
LEDGER,29,20,0,2
LEDGER,30,1,6,-1
LEDGER,30,4,10,0
LEDGER,31,1,5,-1
LEDGER,31,10,99,1
LEDGER,31,6,2,15
LEDGER,31,20,0,2
LEDGER,32,1,6,-1
LEDGER,32,4,11,0
LEDGER,33,1,5,-1
LEDGER,33,10,99,1
LEDGER,33,6,3,16
LEDGER,33,20,0,2
LEDGER,34,1,6,-1
LEDGER,34,4,12,0
LEDGER,35,1,5,-1
LEDGER,35,10,99,1
LEDGER,35,6,4,17
LEDGER,35,20,0,2
LEDGER,36,1,6,-1
LEDGER,36,4,13,0
LEDGER,37,1,5,-1
LEDGER,37,10,99,1
LEDGER,37,6,5,18
LEDGER,37,20,0,2
LEDGER,38,1,6,-1
LEDGER,38,4,14,0
LEDGER,39,1,5,-1
LEDGER,39,10,99,1
LEDGER,39,6,6,19
LEDGER,39,20,0,2
LEDGER,40,1,6,-1
LEDGER,40,4,15,0
LEDGER,41,1,5,-1
LEDGER,41,10,99,1
LEDGER,41,6,7,20
LEDGER,41,20,0,2
LEDGER,42,1,6,-1
LEDGER,42,4,16,0
LEDGER,43,1,5,-1
LEDGER,43,10,99,1
LEDGER,43,6,8,21
LEDGER,43,20,0,2
LEDGER,44,1,6,-1
LEDGER,44,4,17,0
LEDGER,45,1,5,-1
LEDGER,45,10,99,1
LEDGER,45,6,10,22
LEDGER,45,20,0,2
LEDGER,46,1,6,-1
LEDGER,46,4,18,0
LEDGER,47,1,5,-1
LEDGER,47,10,99,1
LEDGER,47,6,11,23
LEDGER,47,20,0,2
LEDGER,48,1,6,-1
LEDGER,48,4,19,0
LEDGER,49,1,8,-1
LEDGER,49,4,20,0
LEDGER,50,1,8,-1
LEDGER,50,4,21,0
LEDGER,51,1,7,-1
LEDGER,51,6,1,24
LEDGER,52,1,8,-1
LEDGER,52,4,22,0
LEDGER,53,1,8,-1
LEDGER,53,4,23,0
LEDGER,54,1,8,-1
LEDGER,54,4,24,0
LEDGER,55,1,7,-1
LEDGER,55,6,2,25
LEDGER,56,1,8,-1
LEDGER,56,4,25,0
LEDGER,57,1,8,-1
LEDGER,57,4,26,0
LEDGER,58,1,8,-1
LEDGER,58,4,27,0
LEDGER,59,1,7,-1
LEDGER,59,6,3,26
LEDGER,60,1,9,-1
LEDGER,60,10,2,1
LEDGER,60,6,3,27
LEDGER,61,1,8,-1
LEDGER,61,4,28,0
LEDGER,62,1,8,-1
LEDGER,62,4,29,0
LEDGER,63,1,7,-1
LEDGER,63,6,4,28
LEDGER,64,1,8,-1
LEDGER,64,4,30,0
LEDGER,65,1,8,-1
LEDGER,65,4,31,0
LEDGER,66,1,8,-1
LEDGER,66,4,32,0
LEDGER,67,1,7,-1
LEDGER,67,6,5,29
LEDGER,68,1,8,-1
LEDGER,68,4,33,0
LEDGER,69,1,8,-1
LEDGER,69,4,34,0
LEDGER,70,1,8,-1
LEDGER,70,4,35,0
LEDGER,71,1,7,-1
LEDGER,71,6,6,30
LEDGER,72,1,8,-1
LEDGER,72,4,36,0
LEDGER,73,1,8,-1
LEDGER,73,4,37,0
LEDGER,74,1,8,-1
LEDGER,74,4,38,0
LEDGER,75,1,7,-1
LEDGER,75,6,7,31
LEDGER,76,1,8,-1
LEDGER,76,4,39,0
LEDGER,77,1,8,-1
LEDGER,77,4,40,0
LEDGER,78,1,8,-1
LEDGER,78,4,41,0
LEDGER,79,1,7,-1
LEDGER,79,6,8,32
LEDGER,80,1,9,-1
LEDGER,80,10,1,1
LEDGER,80,6,4,33
LEDGER,81,1,8,-1
LEDGER,81,4,42,0
LEDGER,82,1,8,-1
LEDGER,82,4,43,0
LEDGER,83,1,7,-1
LEDGER,83,6,1,34
LEDGER,84,1,8,-1
LEDGER,84,4,44,0
LEDGER,85,1,8,-1
LEDGER,85,4,45,0
LEDGER,86,1,8,-1
LEDGER,86,4,46,0
LEDGER,87,1,7,-1
LEDGER,87,6,2,35
LEDGER,88,1,8,-1
LEDGER,88,4,47,0
LEDGER,89,1,8,-1
LEDGER,89,4,48,0
LEDGER,90,1,8,-1
LEDGER,90,4,49,0
LEDGER,91,1,7,-1
LEDGER,91,6,3,36
LEDGER,92,1,8,-1
LEDGER,92,4,50,0
LEDGER,93,1,8,-1
LEDGER,93,4,51,0
LEDGER,94,1,8,-1
LEDGER,94,4,52,0
LEDGER,95,1,7,-1
LEDGER,95,6,4,37
LEDGER,96,1,8,-1
LEDGER,96,4,53,0
LEDGER,97,1,8,-1
LEDGER,97,4,54,0
LEDGER,98,1,8,-1
LEDGER,98,4,55,0
LEDGER,99,1,7,-1
LEDGER,99,6,5,38
LEDGER,100,1,9,-1
LEDGER,100,10,2,1
LEDGER,100,6,5,39
LEDGER,101,1,8,-1
LEDGER,101,4,56,0
LEDGER,102,1,8,-1
LEDGER,102,4,57,0
LEDGER,103,1,7,-1
LEDGER,103,6,6,40
LEDGER,104,1,8,-1
LEDGER,104,4,58,0
LEDGER,105,1,8,-1
LEDGER,105,4,59,0
LEDGER,106,1,8,-1
LEDGER,106,4,60,0
LEDGER,107,1,7,-1
LEDGER,107,6,7,41
LEDGER,108,1,8,-1
LEDGER,108,4,61,0
LEDGER,109,1,8,-1
LEDGER,109,4,62,0
LEDGER,110,1,8,-1
LEDGER,110,4,63,0
LEDGER,111,1,7,-1
LEDGER,111,6,8,42
LEDGER,112,1,8,-1
LEDGER,112,4,64,0
LEDGER,113,1,8,-1
LEDGER,113,4,65,0
LEDGER,114,1,8,-1
LEDGER,114,4,66,0
LEDGER,115,1,7,-1
LEDGER,115,6,1,43
LEDGER,116,1,8,-1
LEDGER,116,4,67,0
LEDGER,117,1,8,-1
LEDGER,117,4,68,0
LEDGER,118,1,8,-1
LEDGER,118,4,69,0
LEDGER,119,1,7,-1
LEDGER,119,6,2,44
LEDGER,120,1,9,-1
LEDGER,120,10,1,1
LEDGER,120,6,6,45
LEDGER,121,1,8,-1
LEDGER,121,4,70,0
LEDGER,122,1,8,-1
LEDGER,122,4,71,0
LEDGER,123,1,7,-1
LEDGER,123,6,3,46
LEDGER,124,1,8,-1
LEDGER,124,4,72,0
LEDGER,125,1,8,-1
LEDGER,125,4,73,0
LEDGER,126,1,8,-1
LEDGER,126,4,74,0
LEDGER,127,1,7,-1
LEDGER,127,6,4,47
LEDGER,128,1,8,-1
LEDGER,128,4,75,0
H2_F,428
H2_NSHAM,0
H2_NCOMMIT,1
H2_NUNINSTALL,1
H2_NPROMOTE,0
H2_NREFUSE,28
H2_REVOKE_STEP,15
H2_PROMOTE_STEP,-1
H2_WITHHELD,0
H2_BADEP,0
H2_AUDIT_TOTAL,313
H2_QUAR_USED,45
H2_CAL_SCORE,4
H2_VERDICT,SURVIVE
H2_IDENT,0
H2_ENDO_FIRES,0
H2_ROLLBACKS,24
H2_AA_WRITES,34
H2_AA_SUPPRESSED,24
TN_FAILURES,2
