ARM,A9
VARIANT,a3
ROUND,4
GENOME,2,1,0,29,48,1,0,0,3
TN_CHECK,h2_episodes_ok,0,0
TN_CHECK,h2_pinstall_n,1,1
TN_CHECK,h2_pinstall_step,14,14
TN_CHECK,h2_pinstall_policy,2,2
TN_CHECK,h2_withhold_n,0,0
TN_CHECK,h2_cal_score,4,4
TN_CHECK,h2_fire_step,15,15
TN_CHECK,h2_ndisconnect,1,1
TN_CHECK,h2_connected_end,0,0
TN_CHECK,h2_nuninstall,1,1
TN_CHECK,h2_revoke_step,29,15
TN_CHECK,h2_ncommit,1,1
TN_CHECK,h2_commit_step,29,15
TN_CHECK,h2_commit_policy,1,1
TN_CHECK,h2_npromote,0,0
TN_CHECK,h2_promote_step,-1,-1
TN_CHECK,h2_promote_policy,-1,-1
TN_CHECK,h2_neg_signal_n,1,1
TN_CHECK,h2_selfaudit_n,0,0
TN_CHECK,h2_total_contest,43,47
TN_CHECK,h2_total_rekey,15,1
TN_CHECK,h2_total_overwrite,0,0
TN_CHECK,h2_total_refuse,30,10
TN_CHECK,h2_persist_contest,24,24
TN_CHECK,h2_persist_refuse,4,4
TN_CHECK,h2_quar_used,43,47
TN_CHECK,h2_post29_rekey,0,0
TN_CHECK,h2_uninstall_policy,2,2
TN_CHECK,h2_teach_lie_n,2,2
TN_CHECK,h2_main18_val_mm,0,0
TN_CHECK,h2_main18_flag_mm,0,0
TN_CHECK,h2_real_rekeyed,15,1
TN_CHECK,h2_audit_total,291,271
LEDGER,26,10,2,2
LEDGER,26,7,20,4
LEDGER,27,1,4,-1
LEDGER,27,10,1,2
LEDGER,27,7,21,5
LEDGER,28,1,4,-1
LEDGER,28,10,2,2
LEDGER,28,7,22,6
LEDGER,29,1,5,-1
LEDGER,29,10,1,2
LEDGER,29,7,23,1
LEDGER,29,15,2,-1
LEDGER,29,18,0,2
LEDGER,29,13,1,1
LEDGER,30,1,5,-1
LEDGER,30,10,2,1
LEDGER,30,6,2,1
LEDGER,31,1,5,-1
LEDGER,31,10,1,1
LEDGER,31,6,3,2
LEDGER,32,1,5,-1
LEDGER,32,10,2,1
LEDGER,32,6,4,3
LEDGER,33,1,5,-1
LEDGER,33,10,1,1
LEDGER,33,6,5,4
LEDGER,34,1,5,-1
LEDGER,34,10,2,1
LEDGER,34,6,6,5
LEDGER,35,1,5,-1
LEDGER,35,10,1,1
LEDGER,35,6,7,6
LEDGER,36,1,5,-1
LEDGER,36,10,2,1
LEDGER,36,6,8,7
LEDGER,37,1,5,-1
LEDGER,37,10,1,1
LEDGER,37,6,1,8
LEDGER,38,1,5,-1
LEDGER,38,10,2,1
LEDGER,38,6,2,9
LEDGER,39,1,5,-1
LEDGER,39,10,1,1
LEDGER,39,6,3,10
LEDGER,40,1,5,-1
LEDGER,40,10,2,1
LEDGER,40,6,4,11
LEDGER,41,1,5,-1
LEDGER,41,10,1,1
LEDGER,41,6,5,12
LEDGER,42,1,5,-1
LEDGER,42,10,2,1
LEDGER,42,6,6,13
LEDGER,43,1,5,-1
LEDGER,43,10,1,1
LEDGER,43,6,7,14
LEDGER,44,1,5,-1
LEDGER,44,10,2,1
LEDGER,44,6,8,15
LEDGER,45,1,5,-1
LEDGER,45,10,1,1
LEDGER,45,6,1,16
LEDGER,46,1,5,-1
LEDGER,46,10,2,1
LEDGER,46,6,2,17
LEDGER,47,1,5,-1
LEDGER,47,10,1,1
LEDGER,47,6,3,18
LEDGER,48,1,5,-1
LEDGER,48,10,2,1
LEDGER,48,6,4,19
LEDGER,49,1,8,-1
LEDGER,49,4,24,0
LEDGER,50,1,8,-1
LEDGER,50,4,25,0
LEDGER,51,1,7,-1
LEDGER,51,6,1,20
LEDGER,52,1,8,-1
LEDGER,52,4,26,0
LEDGER,53,1,8,-1
LEDGER,53,4,27,0
LEDGER,54,1,8,-1
LEDGER,54,4,28,0
LEDGER,55,1,7,-1
LEDGER,55,6,2,21
LEDGER,56,1,8,-1
LEDGER,56,4,29,0
LEDGER,57,1,8,-1
LEDGER,57,4,30,0
LEDGER,58,1,8,-1
LEDGER,58,4,31,0
LEDGER,59,1,7,-1
LEDGER,59,6,3,22
LEDGER,60,1,9,-1
LEDGER,60,10,2,1
LEDGER,60,6,3,23
LEDGER,61,1,8,-1
LEDGER,61,4,32,0
LEDGER,62,1,8,-1
LEDGER,62,4,33,0
LEDGER,63,1,7,-1
LEDGER,63,6,4,24
LEDGER,64,1,8,-1
LEDGER,64,4,34,0
LEDGER,65,1,8,-1
LEDGER,65,4,35,0
LEDGER,66,1,8,-1
LEDGER,66,4,36,0
LEDGER,67,1,7,-1
LEDGER,67,6,5,25
LEDGER,68,1,8,-1
LEDGER,68,4,37,0
LEDGER,69,1,8,-1
LEDGER,69,4,38,0
LEDGER,70,1,8,-1
LEDGER,70,4,39,0
LEDGER,71,1,7,-1
LEDGER,71,6,6,26
LEDGER,72,1,8,-1
LEDGER,72,4,40,0
LEDGER,73,1,8,-1
LEDGER,73,4,41,0
LEDGER,74,1,8,-1
LEDGER,74,4,42,0
LEDGER,75,1,7,-1
LEDGER,75,6,7,27
LEDGER,76,1,8,-1
LEDGER,76,4,43,0
LEDGER,77,1,8,-1
LEDGER,77,4,44,0
LEDGER,78,1,8,-1
LEDGER,78,4,45,0
LEDGER,79,1,7,-1
LEDGER,79,6,8,28
LEDGER,80,1,9,-1
LEDGER,80,10,1,1
LEDGER,80,6,4,29
LEDGER,81,1,8,-1
LEDGER,81,4,46,0
LEDGER,82,1,8,-1
LEDGER,82,4,47,0
LEDGER,83,1,7,-1
LEDGER,83,6,1,30
LEDGER,84,1,8,-1
LEDGER,84,4,48,0
LEDGER,85,1,8,-1
LEDGER,85,4,49,0
LEDGER,86,1,8,-1
LEDGER,86,4,50,0
LEDGER,87,1,7,-1
LEDGER,87,6,2,31
LEDGER,88,1,8,-1
LEDGER,88,4,51,0
LEDGER,89,1,8,-1
LEDGER,89,4,52,0
LEDGER,90,1,8,-1
LEDGER,90,4,53,0
LEDGER,91,1,7,-1
LEDGER,91,6,3,32
LEDGER,92,1,8,-1
LEDGER,92,4,54,0
LEDGER,93,1,8,-1
LEDGER,93,4,55,0
LEDGER,94,1,8,-1
LEDGER,94,4,56,0
LEDGER,95,1,7,-1
LEDGER,95,6,4,33
LEDGER,96,1,8,-1
LEDGER,96,4,57,0
LEDGER,97,1,8,-1
LEDGER,97,4,58,0
LEDGER,98,1,8,-1
LEDGER,98,4,59,0
LEDGER,99,1,7,-1
LEDGER,99,6,5,34
LEDGER,100,1,9,-1
LEDGER,100,10,2,1
LEDGER,100,6,5,35
LEDGER,101,1,8,-1
LEDGER,101,4,60,0
LEDGER,102,1,8,-1
LEDGER,102,4,61,0
LEDGER,103,1,7,-1
LEDGER,103,6,6,36
LEDGER,104,1,8,-1
LEDGER,104,4,62,0
LEDGER,105,1,8,-1
LEDGER,105,4,63,0
LEDGER,106,1,8,-1
LEDGER,106,4,64,0
LEDGER,107,1,7,-1
LEDGER,107,6,7,37
LEDGER,108,1,8,-1
LEDGER,108,4,65,0
LEDGER,109,1,8,-1
LEDGER,109,4,66,0
LEDGER,110,1,8,-1
LEDGER,110,4,67,0
LEDGER,111,1,7,-1
LEDGER,111,6,8,38
LEDGER,112,1,8,-1
LEDGER,112,4,68,0
LEDGER,113,1,8,-1
LEDGER,113,4,69,0
LEDGER,114,1,8,-1
LEDGER,114,4,70,0
LEDGER,115,1,7,-1
LEDGER,115,6,1,39
LEDGER,116,1,8,-1
LEDGER,116,4,71,0
LEDGER,117,1,8,-1
LEDGER,117,4,72,0
LEDGER,118,1,8,-1
LEDGER,118,4,73,0
LEDGER,119,1,7,-1
LEDGER,119,6,2,40
LEDGER,120,1,9,-1
LEDGER,120,10,1,1
LEDGER,120,6,6,41
LEDGER,121,1,8,-1
LEDGER,121,4,74,0
LEDGER,122,1,8,-1
LEDGER,122,4,75,0
LEDGER,123,1,7,-1
LEDGER,123,6,3,42
LEDGER,124,1,8,-1
LEDGER,124,4,76,0
LEDGER,125,1,8,-1
LEDGER,125,4,77,0
LEDGER,126,1,8,-1
LEDGER,126,4,78,0
LEDGER,127,1,7,-1
LEDGER,127,6,4,43
LEDGER,128,1,8,-1
LEDGER,128,4,79,0
H2_F,420
H2_NSHAM,0
H2_NCOMMIT,1
H2_NUNINSTALL,1
H2_NPROMOTE,0
H2_NREFUSE,30
H2_REVOKE_STEP,29
H2_PROMOTE_STEP,-1
H2_WITHHELD,0
H2_BADEP,0
H2_AUDIT_TOTAL,291
H2_QUAR_USED,41
H2_CAL_SCORE,4
H2_VERDICT,SURVIVE
H2_IDENT,3
H2_ENDO_FIRES,1
H2_ROLLBACKS,0
H2_AA_WRITES,0
H2_AA_SUPPRESSED,0
TN_FAILURES,8
