child-fsd50k-18274	OK	byte_ident=True	sem_rms=226.38	sem_corr=0.9985	sem_maxd=1881	nres_rms=3.07	nimp=51	use_h=0	r2acc=0.000	fsize=2511148	hf12x=1.009	hf16x=1.030
child-speechocean-3636	OK	byte_ident=True	sem_rms=122.42	sem_corr=0.9986	sem_maxd=1466	nres_rms=0.47	nimp=350	use_h=0	r2acc=0.000	fsize=4910996	hf12x=2.015	hf16x=2.036
child-speechocean-5220	OK	byte_ident=True	sem_rms=115.23	sem_corr=0.9987	sem_maxd=1499	nres_rms=0.38	nimp=340	use_h=0	r2acc=0.000	fsize=4834540	hf12x=1.969	hf16x=2.015
child-speechocean-5547	OK	byte_ident=True	sem_rms=177.75	sem_corr=0.9988	sem_maxd=1853	nres_rms=0.39	nimp=356	use_h=0	r2acc=0.000	fsize=4957700	hf12x=1.985	hf16x=1.999
child-speechocean-6912	OK	byte_ident=True	sem_rms=34.76	sem_corr=0.9986	sem_maxd=554	nres_rms=0.26	nimp=357	use_h=0	r2acc=0.000	fsize=4964780	hf12x=1.990	hf16x=1.989
child-speechocean-9034	OK	byte_ident=True	sem_rms=168.95	sem_corr=0.9988	sem_maxd=1489	nres_rms=0.29	nimp=329	use_h=0	r2acc=0.000	fsize=4745348	hf12x=1.973	hf16x=1.988
child-tomroma-00	OK	byte_ident=True	sem_rms=163.46	sem_corr=0.9989	sem_maxd=1729	nres_rms=0.36	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=1.995	hf16x=2.008
child-tomroma-01	OK	byte_ident=True	sem_rms=49.77	sem_corr=0.9988	sem_maxd=677	nres_rms=0.32	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=2.022	hf16x=2.000
child-tomroma-02	OK	byte_ident=True	sem_rms=143.48	sem_corr=0.9984	sem_maxd=1866	nres_rms=0.30	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=2.034	hf16x=2.045
child-tomroma-03	OK	byte_ident=True	sem_rms=178.36	sem_corr=0.9989	sem_maxd=1844	nres_rms=0.19	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=1.981	hf16x=2.009
child-tomroma-04	OK	byte_ident=True	sem_rms=128.38	sem_corr=0.9986	sem_maxd=1550	nres_rms=0.65	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=2.036	hf16x=2.065
child-tomroma-05	OK	byte_ident=True	sem_rms=248.59	sem_corr=0.9989	sem_maxd=2058	nres_rms=0.88	nimp=155	use_h=0	r2acc=0.000	fsize=3350252	hf12x=2.155	hf16x=2.065
child-tomroma-06	OK	byte_ident=True	sem_rms=96.52	sem_corr=0.9983	sem_maxd=1417	nres_rms=0.66	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=2.052	hf16x=2.048
child-tomroma-07	OK	byte_ident=True	sem_rms=12.99	sem_corr=0.9986	sem_maxd=190	nres_rms=0.21	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=1.971	hf16x=2.023
child-tomroma-08	OK	byte_ident=True	sem_rms=127.14	sem_corr=0.9986	sem_maxd=1945	nres_rms=0.27	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=2.012	hf16x=2.001
child-tomroma-09	OK	byte_ident=True	sem_rms=141.93	sem_corr=0.9994	sem_maxd=1300	nres_rms=0.22	nimp=109	use_h=0	r2acc=0.000	fsize=2980780	hf12x=2.025	hf16x=1.997
child-tomroma-11	OK	byte_ident=True	sem_rms=161.80	sem_corr=0.9993	sem_maxd=1590	nres_rms=0.28	nimp=312	use_h=0	r2acc=0.000	fsize=4610156	hf12x=2.001	hf16x=1.998
child-tomroma-10	OK	byte_ident=True	sem_rms=229.78	sem_corr=0.9985	sem_maxd=3223	nres_rms=0.51	nimp=445	use_h=0	r2acc=0.000	fsize=5677540	hf12x=2.005	hf16x=2.004
child-tomroma-12	OK	byte_ident=True	sem_rms=160.86	sem_corr=0.9987	sem_maxd=2090	nres_rms=0.88	nimp=282	use_h=0	r2acc=0.000	fsize=4366684	hf12x=2.010	hf16x=2.020
field-esc50-1-100032-A-0	OK	byte_ident=True	sem_rms=122.22	sem_corr=0.9961	sem_maxd=2628	nres_rms=2.97	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.986	hf16x=1.036
field-esc50-1-100038-A-14	OK	byte_ident=True	sem_rms=105.58	sem_corr=0.9986	sem_maxd=1632	nres_rms=6.68	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=1.005	hf16x=0.984
field-esc50-1-100210-A-36	OK	byte_ident=True	sem_rms=315.37	sem_corr=0.9994	sem_maxd=2657	nres_rms=43.78	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=1.000	hf16x=0.999
field-esc50-1-101296-A-19	OK	byte_ident=True	sem_rms=14.90	sem_corr=0.9991	sem_maxd=119	nres_rms=0.41	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.999	hf16x=1.010
field-esc50-1-103298-A-9	OK	byte_ident=True	sem_rms=278.04	sem_corr=0.9981	sem_maxd=3811	nres_rms=22.50	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=1.000	hf16x=1.000
field-esc50-1-115545-A-48	OK	byte_ident=True	sem_rms=13.36	sem_corr=0.9988	sem_maxd=144	nres_rms=0.52	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=1.024	hf16x=1.174
field-esc50-1-118559-A-17	OK	byte_ident=True	sem_rms=17.65	sem_corr=0.9971	sem_maxd=314	nres_rms=1.43	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=1.001	hf16x=1.031
field-esc50-1-121951-A-8	OK	byte_ident=True	sem_rms=21.89	sem_corr=0.9982	sem_maxd=270	nres_rms=0.48	nimp=440	use_h=1	r2acc=0.157	fsize=5646892	hf12x=1.026	hf16x=1.330
field-esc50-1-12653-A-15	OK	byte_ident=True	sem_rms=81.50	sem_corr=0.9969	sem_maxd=1053	nres_rms=7.44	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=1.010	hf16x=1.010
field-esc50-1-137296-A-16	OK	byte_ident=True	sem_rms=162.86	sem_corr=0.9995	sem_maxd=1061	nres_rms=2.45	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=1.001	hf16x=1.011
field-esc50-1-15689-A-4	OK	byte_ident=True	sem_rms=197.61	sem_corr=0.9976	sem_maxd=2252	nres_rms=4.12	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=1.028	hf16x=1.023
field-esc50-1-16568-A-3	OK	byte_ident=True	sem_rms=824.91	sem_corr=0.9947	sem_maxd=11143	nres_rms=12.69	nimp=440	use_h=1	r2acc=0.000	fsize=5646708	hf12x=1.130	hf16x=1.379
field-esc50-1-17150-A-12	OK	byte_ident=True	sem_rms=100.05	sem_corr=0.9953	sem_maxd=2434	nres_rms=46.55	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.996	hf16x=0.991
field-esc50-1-17367-A-10	OK	byte_ident=True	sem_rms=84.61	sem_corr=0.9996	sem_maxd=1016	nres_rms=1.99	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=1.747	hf16x=1.904
field-esc50-1-17585-A-7	OK	byte_ident=True	sem_rms=95.21	sem_corr=0.9986	sem_maxd=1190	nres_rms=9.58	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=1.002	hf16x=1.006
field-esc50-1-18074-A-6	OK	byte_ident=True	sem_rms=138.61	sem_corr=0.9968	sem_maxd=2642	nres_rms=3.53	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=1.001	hf16x=1.002
field-esc50-1-18527-A-44	OK	byte_ident=True	sem_rms=122.84	sem_corr=0.9988	sem_maxd=1506	nres_rms=3.13	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=1.072	hf16x=1.047
field-esc50-1-18810-A-49	OK	byte_ident=True	sem_rms=199.95	sem_corr=0.9973	sem_maxd=2735	nres_rms=56.24	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=1.003	hf16x=1.000
field-esc50-1-20736-A-18	OK	byte_ident=True	sem_rms=470.63	sem_corr=0.9985	sem_maxd=6927	nres_rms=101.51	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=1.003	hf16x=1.005
field-esc50-1-208757-A-2	OK	byte_ident=True	sem_rms=642.14	sem_corr=0.9978	sem_maxd=6511	nres_rms=20.23	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=1.028	hf16x=1.309
field-esc50-1-21934-A-38	OK	byte_ident=True	sem_rms=65.37	sem_corr=0.9974	sem_maxd=1000	nres_rms=1.10	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=1.001	hf16x=1.092
field-esc50-1-26806-A-1	OK	byte_ident=True	sem_rms=285.50	sem_corr=0.9985	sem_maxd=2568	nres_rms=0.50	nimp=440	use_h=1	r2acc=0.120	fsize=5663668	hf12x=2.070	hf16x=2.689
field-esc50-1-28135-A-11	OK	byte_ident=True	sem_rms=135.83	sem_corr=0.9992	sem_maxd=1074	nres_rms=5.65	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=1.000	hf16x=1.010
field-esc50-1-57316-A-13	OK	byte_ident=True	sem_rms=83.57	sem_corr=0.9982	sem_maxd=920	nres_rms=19.45	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=1.001	hf16x=1.002
field-esc50-1-34094-A-5	OK	byte_ident=True	sem_rms=169.04	sem_corr=0.9986	sem_maxd=1784	nres_rms=6.56	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.999	hf16x=1.005
field-fsd50k-100005	OK	byte_ident=True	sem_rms=107.50	sem_corr=0.9967	sem_maxd=1246	nres_rms=35.89	nimp=35	use_h=0	r2acc=0.000	fsize=2380756	hf12x=1.009	hf16x=1.001
field-fsd50k-10000	OK	byte_ident=True	sem_rms=27.83	sem_corr=0.9993	sem_maxd=212	nres_rms=4.28	nimp=37	use_h=0	r2acc=0.000	fsize=2400780	hf12x=0.994	hf16x=0.997
field-fsd50k-10001	OK	byte_ident=True	sem_rms=27.54	sem_corr=0.9990	sem_maxd=134	nres_rms=0.90	nimp=44	use_h=0	r2acc=0.000	fsize=2456172	hf12x=0.997	hf16x=1.005
field-fsd50k-100011	OK	byte_ident=True	sem_rms=103.90	sem_corr=0.9988	sem_maxd=1156	nres_rms=2.22	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.997	hf16x=1.001
field-fsd50k-100017	OK	byte_ident=True	sem_rms=69.56	sem_corr=0.9960	sem_maxd=1294	nres_rms=16.96	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.983	hf16x=0.981
field-fsd50k-100018	OK	byte_ident=True	sem_rms=107.42	sem_corr=0.9975	sem_maxd=1026	nres_rms=12.92	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.994	hf16x=0.993
field-fsd50k-100019	OK	byte_ident=True	sem_rms=223.11	sem_corr=0.9973	sem_maxd=2518	nres_rms=30.57	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.991	hf16x=0.995
field-fsd50k-10002	OK	byte_ident=True	sem_rms=99.87	sem_corr=0.9989	sem_maxd=720	nres_rms=10.91	nimp=43	use_h=0	r2acc=0.000	fsize=2448500	hf12x=0.996	hf16x=0.997
field-fsd50k-100035	OK	byte_ident=True	sem_rms=166.77	sem_corr=0.9988	sem_maxd=2147	nres_rms=35.10	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.999	hf16x=0.994
field-fsd50k-100036	OK	byte_ident=True	sem_rms=56.79	sem_corr=0.9989	sem_maxd=525	nres_rms=4.73	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.999	hf16x=0.998
field-fsd50k-100039	OK	byte_ident=True	sem_rms=59.03	sem_corr=0.9980	sem_maxd=812	nres_rms=10.43	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.998	hf16x=0.993
field-fsd50k-100150	OK	byte_ident=True	sem_rms=159.24	sem_corr=0.9991	sem_maxd=1284	nres_rms=5.40	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.996	hf16x=0.999
field-fsd50k-100155	OK	byte_ident=True	sem_rms=352.44	sem_corr=0.9992	sem_maxd=2872	nres_rms=5.02	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.999	hf16x=4.124
field-fsd50k-100633	OK	byte_ident=True	sem_rms=283.63	sem_corr=0.9988	sem_maxd=3064	nres_rms=28.56	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.994	hf16x=0.997
field-fsd50k-100634	OK	byte_ident=True	sem_rms=233.89	sem_corr=0.9988	sem_maxd=2520	nres_rms=19.24	nimp=214	use_h=0	r2acc=0.000	fsize=3817692	hf12x=0.996	hf16x=0.999
field-fsd50k-100636	OK	byte_ident=True	sem_rms=327.99	sem_corr=0.9985	sem_maxd=5069	nres_rms=10.08	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.995	hf16x=0.993
field-fsd50k-100767	OK	byte_ident=True	sem_rms=140.82	sem_corr=0.9990	sem_maxd=1002	nres_rms=0.91	nimp=103	use_h=0	r2acc=0.000	fsize=2931924	hf12x=1.060	hf16x=1.051
field-fsd50k-100762	OK	byte_ident=True	sem_rms=37.94	sem_corr=0.9986	sem_maxd=525	nres_rms=0.22	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=1.081	hf16x=1.084
field-fsd50k-101135	OK	byte_ident=True	sem_rms=301.45	sem_corr=0.9984	sem_maxd=2702	nres_rms=0.74	nimp=262	use_h=1	r2acc=0.308	fsize=4214444	hf12x=1.226	hf16x=1.002
field-fsd50k-101136	OK	byte_ident=True	sem_rms=211.44	sem_corr=0.9987	sem_maxd=1472	nres_rms=0.38	nimp=352	use_h=1	r2acc=0.323	fsize=4936212	hf12x=1.531	hf16x=1.001
field-fsd50k-101137	OK	byte_ident=True	sem_rms=236.02	sem_corr=0.9981	sem_maxd=2543	nres_rms=0.62	nimp=352	use_h=1	r2acc=0.225	fsize=4936332	hf12x=1.248	hf16x=1.002
field-fsd50k-102561	OK	byte_ident=True	sem_rms=324.16	sem_corr=0.9979	sem_maxd=2597	nres_rms=15.70	nimp=106	use_h=0	r2acc=0.000	fsize=2950732	hf12x=0.998	hf16x=0.995
field-fsd50k-103045	OK	byte_ident=True	sem_rms=202.33	sem_corr=0.9983	sem_maxd=2002	nres_rms=11.55	nimp=301	use_h=0	r2acc=0.000	fsize=4515588	hf12x=1.001	hf16x=0.999
field-fsd50k-102863	OK	byte_ident=True	sem_rms=90.14	sem_corr=0.9966	sem_maxd=1404	nres_rms=9.10	nimp=440	use_h=0	r2acc=0.053	fsize=5653276	hf12x=0.977	hf16x=0.991
field-fsd50k-103411	OK	byte_ident=True	sem_rms=274.53	sem_corr=0.9987	sem_maxd=3037	nres_rms=48.01	nimp=88	use_h=1	r2acc=0.590	fsize=2813716	hf12x=0.999	hf16x=1.005
field-tau-airport-barcelona-0-0-0-a	OK	byte_ident=True	sem_rms=57.50	sem_corr=0.9983	sem_maxd=484	nres_rms=2.43	nimp=88	use_h=0	r2acc=0.000	fsize=2805956	hf12x=0.978	hf16x=0.984
field-tau-airport-barcelona-0-0-1-a	OK	byte_ident=True	sem_rms=65.18	sem_corr=0.9986	sem_maxd=386	nres_rms=2.95	nimp=88	use_h=0	r2acc=0.000	fsize=2805956	hf12x=0.995	hf16x=0.998
field-tau-airport-barcelona-0-0-2-a	OK	byte_ident=True	sem_rms=80.63	sem_corr=0.9972	sem_maxd=1340	nres_rms=3.38	nimp=88	use_h=0	r2acc=0.000	fsize=2805956	hf12x=1.006	hf16x=1.028
field-tau-airport-barcelona-0-0-3-a	OK	byte_ident=True	sem_rms=76.30	sem_corr=0.9970	sem_maxd=624	nres_rms=9.44	nimp=88	use_h=0	r2acc=0.000	fsize=2805956	hf12x=0.998	hf16x=1.003
field-tau-airport-barcelona-0-0-4-a	OK	byte_ident=True	sem_rms=43.99	sem_corr=0.9987	sem_maxd=338	nres_rms=2.07	nimp=88	use_h=0	r2acc=0.000	fsize=2805956	hf12x=0.982	hf16x=0.982
field-tau-airport-barcelona-0-0-5-a	OK	byte_ident=True	sem_rms=69.42	sem_corr=0.9982	sem_maxd=648	nres_rms=5.26	nimp=88	use_h=0	r2acc=0.000	fsize=2805956	hf12x=0.995	hf16x=1.014
field-tau-airport-barcelona-0-0-6-a	OK	byte_ident=True	sem_rms=80.77	sem_corr=0.9972	sem_maxd=672	nres_rms=4.38	nimp=88	use_h=0	r2acc=0.000	fsize=2805956	hf12x=1.003	hf16x=1.007
field-tau-bus-barcelona-15-611-0-b	OK	byte_ident=True	sem_rms=89.84	sem_corr=0.9993	sem_maxd=624	nres_rms=1.73	nimp=88	use_h=0	r2acc=0.000	fsize=2805956	hf12x=0.996	hf16x=0.998
field-tau-bus-barcelona-15-611-2-b	OK	byte_ident=True	sem_rms=94.29	sem_corr=0.9992	sem_maxd=444	nres_rms=2.20	nimp=88	use_h=0	r2acc=0.000	fsize=2805956	hf12x=0.996	hf16x=0.997
field-tau-bus-barcelona-15-611-1-b	OK	byte_ident=True	sem_rms=123.69	sem_corr=0.9989	sem_maxd=928	nres_rms=2.84	nimp=88	use_h=0	r2acc=0.000	fsize=2805956	hf12x=0.987	hf16x=0.990
field-tau-bus-barcelona-15-611-4-b	OK	byte_ident=True	sem_rms=193.06	sem_corr=0.9993	sem_maxd=1028	nres_rms=1.87	nimp=88	use_h=0	r2acc=0.000	fsize=2805956	hf12x=0.992	hf16x=0.995
field-tau-bus-barcelona-15-611-3-b	OK	byte_ident=True	sem_rms=119.18	sem_corr=0.9993	sem_maxd=641	nres_rms=1.63	nimp=88	use_h=0	r2acc=0.000	fsize=2805956	hf12x=1.002	hf16x=1.004
field-tau-bus-barcelona-15-611-5-b	OK	byte_ident=True	sem_rms=352.95	sem_corr=0.9988	sem_maxd=2536	nres_rms=3.37	nimp=88	use_h=0	r2acc=0.000	fsize=2805956	hf12x=1.004	hf16x=1.002
field-tau-metro-barcelona-220-6631-0-b	OK	byte_ident=True	sem_rms=282.62	sem_corr=0.9994	sem_maxd=1592	nres_rms=5.43	nimp=88	use_h=1	r2acc=0.368	fsize=2811308	hf12x=0.984	hf16x=0.990
field-tau-metro-barcelona-220-6631-1-b	OK	byte_ident=True	sem_rms=164.70	sem_corr=0.9979	sem_maxd=1800	nres_rms=6.03	nimp=88	use_h=0	r2acc=0.000	fsize=2805956	hf12x=1.006	hf16x=1.000
field-tau-metro-barcelona-220-6631-2-b	OK	byte_ident=True	sem_rms=138.73	sem_corr=0.9989	sem_maxd=1081	nres_rms=5.99	nimp=88	use_h=0	r2acc=0.000	fsize=2805956	hf12x=0.997	hf16x=1.000
field-tau-metro-barcelona-220-6631-3-b	OK	byte_ident=True	sem_rms=96.94	sem_corr=0.9992	sem_maxd=674	nres_rms=3.78	nimp=88	use_h=0	r2acc=0.000	fsize=2805956	hf12x=0.997	hf16x=0.996
field-tau-metro-barcelona-220-6631-4-b	OK	byte_ident=True	sem_rms=273.86	sem_corr=0.9962	sem_maxd=4198	nres_rms=33.90	nimp=88	use_h=0	r2acc=0.000	fsize=2805956	hf12x=1.014	hf16x=1.003
field-tau-metro-barcelona-220-6631-5-b	OK	byte_ident=True	sem_rms=184.05	sem_corr=0.9974	sem_maxd=2379	nres_rms=14.77	nimp=88	use_h=0	r2acc=0.000	fsize=2805956	hf12x=0.999	hf16x=1.006
field-tau-metro_station-lisbon-1221-44774-0-s6	OK	byte_ident=True	sem_rms=278.41	sem_corr=0.9986	sem_maxd=2215	nres_rms=53.67	nimp=88	use_h=0	r2acc=0.000	fsize=2805956	hf12x=0.996	hf16x=0.999
field-tau-metro_station-lisbon-1221-44774-1-s6	OK	byte_ident=True	sem_rms=187.65	sem_corr=0.9993	sem_maxd=1132	nres_rms=27.86	nimp=88	use_h=0	r2acc=0.000	fsize=2805956	hf12x=1.001	hf16x=1.006
