stage,epoch,base_index,nominal_id,mode,resource,episode,stream_seed
0,0,0,49001,2,0,5,664634
0,0,0,49001,2,0,6,672553
0,0,0,49001,2,0,7,889930
0,0,0,49001,2,0,8,897849
0,0,0,49001,2,0,9,696310
0,0,0,49001,2,0,10,704229
0,0,0,49001,2,0,11,712148
0,0,0,49001,2,1,0,720067
0,0,0,49001,2,1,1,937444
0,0,0,49001,2,1,2,945363
0,0,0,49001,2,1,3,372195
0,0,0,49001,2,1,4,961201
0,0,0,49001,2,1,5,73846
0,0,0,49001,2,1,6,662852
0,0,0,49001,2,1,7,984958
0,0,0,49001,2,1,8,992877
0,0,0,49001,2,1,9,733896
0,0,0,49001,2,1,10,694528
0,0,0,49001,2,1,11,121360
0,0,0,49001,2,2,0,24550
0,0,0,49001,2,2,1,32469
0,0,0,49001,2,2,2,935662
0,0,0,49001,2,2,3,734123
0,0,0,49001,2,2,4,475142
0,0,0,49001,2,2,5,64145
0,0,0,49001,2,2,6,176793
0,0,0,49001,2,2,7,498899
0,0,0,49001,2,2,8,87902
0,0,0,49001,2,2,9,886366
0,0,0,49001,2,2,10,103740
0,0,0,49001,2,2,11,216388
0,0,0,49001,2,3,0,119578
0,0,0,49001,2,3,1,813313
0,0,0,49001,2,3,2,821232
0,0,0,49001,2,3,3,248064
0,0,0,49001,2,3,4,46525
0,0,0,49001,2,3,5,263902
0,0,0,49001,2,3,6,167092
0,0,0,49001,2,3,7,536485
0,0,0,49001,2,3,8,287659
0,0,0,49001,2,3,9,295578
0,0,0,49001,2,3,10,303497
0,0,0,49001,2,3,11,625603
0,0,0,49001,2,4,0,900422
0,0,0,49001,2,4,1,908341
0,0,0,49001,2,4,2,916260
0,0,0,49001,2,4,3,924179
0,0,0,49001,2,4,4,932098
0,0,0,49001,2,4,5,940017
0,0,0,49001,2,4,6,947936
0,0,0,49001,2,4,7,955855
0,0,0,49001,2,4,8,696874
0,0,0,49001,2,4,9,971693
0,0,0,49001,2,4,10,979612
0,0,0,49001,2,4,11,987531
0,0,0,49001,3,0,0,995450
0,0,0,49001,3,0,1,3366
0,0,0,49001,3,0,2,744388
0,0,0,49001,3,0,3,228662
0,0,0,49001,3,0,4,236581
0,0,0,49001,3,0,5,244500
0,0,0,49001,3,0,6,252419
0,0,0,49001,3,0,7,574525
0,0,0,49001,3,0,8,268257
0,0,0,49001,3,0,9,9276
0,0,0,49001,3,0,10,284095
0,0,0,49001,3,0,11,920388
0,0,0,49001,3,1,0,299933
0,0,0,49001,3,1,1,98394
0,0,0,49001,3,1,2,258329
0,0,0,49001,3,1,3,323690
0,0,0,49001,3,1,4,331609
0,0,0,49001,3,1,5,130070
0,0,0,49001,3,1,6,347447
0,0,0,49001,3,1,7,355366
0,0,0,49001,3,1,8,363285
0,0,0,49001,3,1,9,371204
0,0,0,49001,3,1,10,379123
0,0,0,49001,3,1,11,387042
0,0,0,49001,3,2,0,185503
0,0,0,49001,3,2,1,193422
0,0,0,49001,3,2,2,410799
0,0,0,49001,3,2,3,418718
0,0,0,49001,3,2,4,426637
0,0,0,49001,3,2,5,434556
0,0,0,49001,3,2,6,442475
0,0,0,49001,3,2,7,974039
0,0,0,49001,3,2,8,400871
0,0,0,49001,3,2,9,94603
0,0,0,49001,3,2,10,474151
0,0,0,49001,3,2,11,634086
0,0,0,49001,3,3,0,489989
0,0,0,49001,3,3,1,288450
0,0,0,49001,3,3,2,505827
0,0,0,49001,3,3,3,351575
0,0,0,49001,3,3,4,312207
0,0,0,49001,3,3,5,634313
0,0,0,49001,3,3,6,375332
0,0,0,49001,3,3,7,383251
0,0,0,49001,3,3,8,343883
0,0,0,49001,3,3,9,189631
0,0,0,49001,3,3,10,197550
0,0,0,49001,3,3,11,367640
0,0,0,49001,3,4,0,375559
0,0,0,49001,3,4,1,383478
0,0,0,49001,3,4,2,391397
0,0,0,49001,3,4,3,399316
0,0,0,49001,3,4,4,407235
0,0,0,49001,3,4,5,415154
0,0,0,49001,3,4,6,423073
0,0,0,49001,3,4,7,430992
0,0,0,49001,3,4,8,438911
0,0,0,49001,3,4,9,446830
0,0,0,49001,3,4,10,454749
0,0,0,49001,3,4,11,462668
0,0,0,49001,4,0,0,575316
0,0,0,49001,4,0,1,583235
0,0,0,49001,4,0,2,591154
0,0,0,49001,4,0,3,599073
0,0,0,49001,4,0,4,606992
0,0,0,49001,4,0,5,614911
0,0,0,49001,4,0,6,622830
0,0,0,49001,4,0,7,630749
0,0,0,49001,4,0,8,638668
0,0,0,49001,4,0,9,65500
0,0,0,49001,4,0,10,654506
0,0,0,49001,4,0,11,662425
0,0,0,49001,4,1,0,565615
0,0,0,49001,4,1,1,573534
0,0,0,49001,4,1,2,790911
0,0,0,49001,4,1,3,694101
0,0,0,49001,4,1,4,702020
0,0,0,49001,4,1,5,709939
0,0,0,49001,4,1,6,717858
0,0,0,49001,4,1,7,725777
0,0,0,49001,4,1,8,733696
0,0,0,49001,4,1,9,846344
0,0,0,49001,4,1,10,749534
0,0,0,49001,4,1,11,862182
0,0,0,49001,4,2,0,660643
0,0,0,49001,4,2,1,668562
0,0,0,49001,4,2,2,781210
0,0,0,49001,4,2,3,789129
0,0,0,49001,4,2,4,797048
0,0,0,49001,4,2,5,14422
0,0,0,49001,4,2,6,812886
0,0,0,49001,4,2,7,820805
0,0,0,49001,4,2,8,828724
0,0,0,49001,4,2,9,836643
0,0,0,49001,4,2,10,949291
0,0,0,49001,4,2,11,852481
0,0,0,49001,4,3,0,755671
0,0,0,49001,4,3,1,763590
0,0,0,49001,4,3,2,980967
0,0,0,49001,4,3,3,779428
0,0,0,49001,4,3,4,787347
0,0,0,49001,4,3,5,795266
0,0,0,49001,4,3,6,803185
0,0,0,49001,4,3,7,20559
0,0,0,49001,4,3,8,819023
0,0,0,49001,4,3,9,826942
0,0,0,49001,4,3,10,939590
0,0,0,49001,4,3,11,842780
0,0,0,49001,4,4,0,850699
0,0,0,49001,4,4,1,858618
0,0,0,49001,4,4,2,866537
0,0,0,49001,4,4,3,874456
0,0,0,49001,4,4,4,882375
0,0,0,49001,4,4,5,890294
0,0,0,49001,4,4,6,898213
0,0,0,49001,4,4,7,906132
0,0,0,49001,4,4,8,914051
0,0,0,49001,4,4,9,131425
0,0,0,49001,4,4,10,929889
0,0,0,49001,4,4,11,937808
0,0,0,49001,5,0,0,945727
0,0,0,49001,5,0,1,953646
0,0,0,49001,5,0,2,741952
0,0,0,49001,5,0,3,388397
0,0,0,49001,5,0,4,396316
0,0,0,49001,5,0,5,985322
0,0,0,49001,5,0,6,726341
0,0,0,49001,5,0,7,420073
0,0,0,49001,5,0,8,218534
0,0,0,49001,5,0,9,121724
0,0,0,49001,5,0,10,443830
0,0,0,49001,5,0,11,813223
0,0,0,49001,5,1,0,40752
0,0,0,49001,5,1,1,467587
0,0,0,49001,5,1,2,789693
0,0,0,49001,5,1,3,483425
0,0,0,49001,5,1,4,224444
0,0,0,49001,5,1,5,813450
0,0,0,49001,5,1,6,821369
0,0,0,49001,5,1,7,248201
0,0,0,49001,5,1,8,208833
0,0,0,49001,5,1,9,530939
0,0,0,49001,5,1,10,538858
0,0,0,49001,5,1,11,546777
0,0,0,49001,5,2,0,135780
0,0,0,49001,5,2,1,562615
0,0,0,49001,5,2,2,570534
0,0,0,49001,5,2,3,578453
0,0,0,49001,5,2,4,586372
0,0,0,49001,5,2,5,746307
0,0,0,49001,5,2,6,497481
0,0,0,49001,5,2,7,924316
0,0,0,49001,5,2,8,513319
0,0,0,49001,5,2,9,44880
0,0,0,49001,5,2,10,529157
0,0,0,49001,5,2,11,537076
0,0,0,49001,5,3,0,544995
0,0,0,49001,5,3,1,657643
0,0,0,49001,5,3,2,246646
0,0,0,49001,5,3,3,568752
0,0,0,49001,5,3,4,262484
0,0,0,49001,5,3,5,270403
0,0,0,49001,5,3,6,592509
0,0,0,49001,5,3,7,19341
0,0,0,49001,5,3,8,608347
0,0,0,49001,5,3,9,616266
0,0,0,49001,5,3,10,309998
0,0,0,49001,5,3,11,317917
0,0,0,49001,5,4,0,640023
0,0,0,49001,5,4,1,333755
0,0,0,49001,5,4,2,655861
0,0,0,49001,5,4,3,349593
0,0,0,49001,5,4,4,985886
0,0,0,49001,5,4,5,365431
0,0,0,49001,5,4,6,582808
0,0,0,49001,5,4,7,695456
0,0,0,49001,5,4,8,389188
0,0,0,49001,5,4,9,606565
0,0,0,49001,5,4,10,405026
0,0,0,49001,5,4,11,412945
0,0,0,49001,6,0,0,420864
0,0,0,49001,6,0,1,428783
0,0,0,49001,6,0,2,436702
0,0,0,49001,6,0,3,444621
0,0,0,49001,6,0,4,452540
0,0,0,49001,6,0,5,460459
0,0,0,49001,6,0,6,468378
0,0,0,49001,6,0,7,476297
0,0,0,49001,6,0,8,484216
0,0,0,49001,6,0,9,701593
0,0,0,49001,6,0,10,709512
0,0,0,49001,6,0,11,717431
0,0,0,49001,6,1,0,725350
0,0,0,49001,6,1,1,733269
0,0,0,49001,6,1,2,950646
0,0,0,49001,6,1,3,749107
0,0,0,49001,6,1,4,757026
0,0,0,49001,6,1,5,764945
0,0,0,49001,6,1,6,610693
0,0,0,49001,6,1,7,780783
0,0,0,49001,6,1,8,788702
0,0,0,49001,6,1,9,796621
0,0,0,49001,6,1,10,328182
0,0,0,49001,6,1,11,650288
0,0,0,49001,6,2,0,134562
0,0,0,49001,6,2,1,723568
0,0,0,49001,6,2,2,731487
0,0,0,49001,6,2,3,739406
0,0,0,49001,6,2,4,852054
0,0,0,49001,6,2,5,755244
0,0,0,49001,6,2,6,763163
0,0,0,49001,6,2,7,771082
0,0,0,49001,6,2,8,883730
0,0,0,49001,6,2,9,786920
0,0,0,49001,6,2,10,794839
0,0,0,49001,6,2,11,802758
0,0,0,49001,6,3,0,124861
0,0,0,49001,6,3,1,818596
0,0,0,49001,6,3,2,826515
0,0,0,49001,6,3,3,834434
0,0,0,49001,6,3,4,842353
0,0,0,49001,6,3,5,850272
0,0,0,49001,6,3,6,858191
0,0,0,49001,6,3,7,285023
0,0,0,49001,6,3,8,874029
0,0,0,49001,6,3,9,881948
0,0,0,49001,6,3,10,889867
0,0,0,49001,6,3,11,526157
0,0,0,49001,6,4,0,800976
0,0,0,49001,6,4,1,18350
0,0,0,49001,6,4,2,130998
0,0,0,49001,6,4,3,929462
0,0,0,49001,6,4,4,937381
0,0,0,49001,6,4,5,573671
0,0,0,49001,6,4,6,267403
0,0,0,49001,6,4,7,903696
0,0,0,49001,6,4,8,969057
0,0,0,49001,6,4,9,976976
0,0,0,49001,6,4,10,880166
0,0,0,49001,6,4,11,621185
0,0,0,49001,7,0,0,314917
0,0,0,49001,7,0,1,322836
0,0,0,49001,7,0,2,959129
0,0,0,49001,7,0,3,338674
0,0,0,49001,7,0,4,498609
0,0,0,49001,7,0,5,935599
0,0,0,49001,7,0,6,514447
0,0,0,49001,7,0,7,951437
0,0,0,49001,7,0,8,959356
0,0,0,49001,7,0,9,386188
0,0,0,49001,7,0,10,975194
0,0,0,49001,7,0,11,983113
0,0,0,49001,7,1,0,352503
0,0,0,49001,7,1,1,313135
0,0,0,49001,7,1,2,6867
0,0,0,49001,7,1,3,585718
0,0,0,49001,7,1,4,22705
0,0,0,49001,7,1,5,30624
0,0,0,49001,7,1,6,38543
0,0,0,49001,7,1,7,465378
0,0,0,49001,7,1,8,415855
0,0,0,49001,7,1,9,737961
0,0,0,49001,7,1,10,641151
0,0,0,49001,7,1,11,649070
0,0,0,49001,7,2,0,504973
0,0,0,49001,7,2,1,93976
0,0,0,49001,7,2,2,625540
0,0,0,49001,7,2,3,214543
0,0,0,49001,7,2,4,536649
0,0,0,49001,7,2,5,230381
0,0,0,49001,7,2,6,133571
0,0,0,49001,7,2,7,817151
0,0,0,49001,7,2,8,149409
0,0,0,49001,7,2,9,832989
0,0,0,49001,7,2,10,840908
0,0,0,49001,7,2,11,534640
0,0,0,49001,7,3,0,275659
0,0,0,49001,7,3,1,341020
0,0,0,49001,7,3,2,825297
0,0,0,49001,7,3,3,671045
0,0,0,49001,7,3,4,317490
0,0,0,49001,7,3,5,210525
0,0,0,49001,7,3,6,171157
0,0,0,49001,7,3,7,388534
0,0,0,49001,7,3,8,653198
0,0,0,49001,7,3,9,928017
0,0,0,49001,7,3,10,260275
0,0,0,49001,7,3,11,629668
0,0,0,49001,7,4,0,799758
0,0,0,49001,7,4,1,645506
0,0,0,49001,7,4,2,129780
0,0,0,49001,7,4,3,928244
0,0,0,49001,7,4,4,983450
0,0,0,49001,7,4,5,677182
0,0,0,49001,7,4,6,685101
0,0,0,49001,7,4,7,959920
0,0,0,49001,7,4,8,329310
0,0,0,49001,7,4,9,23042
0,0,0,49001,7,4,10,88403
0,0,0,49001,7,4,11,991596
0,0,0,49001,8,0,0,371141
0,0,0,49001,8,0,1,588518
0,0,0,49001,8,0,2,596437
0,0,0,49001,8,0,3,709085
0,0,0,49001,8,0,4,821733
0,0,0,49001,8,0,5,620194
0,0,0,49001,8,0,6,418655
0,0,0,49001,8,0,7,845490
0,0,0,49001,8,0,8,539222
0,0,0,49001,8,0,9,861328
0,0,0,49001,8,0,10,869247
0,0,0,49001,8,0,11,772437
0,0,0,49001,8,1,0,675627
0,0,0,49001,8,1,1,683546
0,0,0,49001,8,1,2,691465
0,0,0,49001,8,1,3,908842
0,0,0,49001,8,1,4,916761
0,0,0,49001,8,1,5,924680
0,0,0,49001,8,1,6,513683
0,0,0,49001,8,1,7,521602
0,0,0,49001,8,1,8,529521
0,0,0,49001,8,1,9,537440
0,0,0,49001,8,1,10,545359
0,0,0,49001,8,1,11,553278
0,0,0,49001,8,2,0,561197
0,0,0,49001,8,2,1,569116
0,0,0,49001,8,2,2,577035
0,0,0,49001,8,2,3,584954
0,0,0,49001,8,2,4,592873
0,0,0,49001,8,2,5,600792
0,0,0,49001,8,2,6,608711
0,0,0,49001,8,2,7,616630
0,0,0,49001,8,2,8,624549
0,0,0,49001,8,2,9,51381
0,0,0,49001,8,2,10,640387
0,0,0,49001,8,2,11,648306
0,0,0,49001,8,3,0,656225
0,0,0,49001,8,3,1,664144
0,0,0,49001,8,3,2,672063
0,0,0,49001,8,3,3,679982
0,0,0,49001,8,3,4,687901
0,0,0,49001,8,3,5,905278
0,0,0,49001,8,3,6,703739
0,0,0,49001,8,3,7,711658
0,0,0,49001,8,3,8,824306
0,0,0,49001,8,3,9,936954
0,0,0,49001,8,3,10,735415
0,0,0,49001,8,3,11,743334
0,0,0,49001,8,4,0,170166
0,0,0,49001,8,4,1,759172
0,0,0,49001,8,4,2,767091
0,0,0,49001,8,4,3,193923
0,0,0,49001,8,4,4,992387
0,0,0,49001,8,4,5,733406
0,0,0,49001,8,4,6,798767
0,0,0,49001,8,4,7,806686
0,0,0,49001,8,4,8,814605
0,0,0,49001,8,4,9,822524
0,0,0,49001,8,4,10,458814
0,0,0,49001,8,4,11,466733
0,0,1,49002,0,0,0,474652
0,0,1,49002,0,0,1,482571
0,0,1,49002,0,0,2,490490
0,0,1,49002,0,0,3,184222
0,0,1,49002,0,0,4,87412
0,0,1,49002,0,0,5,514247
0,0,1,49002,0,0,6,522166
0,0,1,49002,0,0,7,530085
0,0,1,49002,0,0,8,538004
0,0,1,49002,0,0,9,231736
0,0,1,49002,0,0,10,344384
0,0,1,49002,0,0,11,247574
0,0,1,49002,0,1,0,360222
0,0,1,49002,0,1,1,949228
0,0,1,49002,0,1,2,61873
0,0,1,49002,0,1,3,383979
0,0,1,49002,0,1,4,77711
0,0,1,49002,0,1,5,190359
0,0,1,49002,0,1,6,988823
0,0,1,49002,0,1,7,101468
0,0,1,49002,0,1,8,633032
0,0,1,49002,0,1,9,12577
0,0,1,49002,0,1,10,334683
0,0,1,49002,0,1,11,28415
0,0,1,49002,0,2,0,36334
0,0,1,49002,0,2,1,463169
0,0,1,49002,0,2,2,52172
0,0,1,49002,0,2,3,164820
0,0,1,49002,0,2,4,172739
0,0,1,49002,0,2,5,390116
0,0,1,49002,0,2,6,188577
0,0,1,49002,0,2,7,405954
0,0,1,49002,0,2,8,518602
0,0,1,49002,0,2,9,526521
0,0,1,49002,0,2,10,429711
0,0,1,49002,0,2,11,228172
0,0,1,49002,0,3,0,445549
0,0,1,49002,0,3,1,244010
0,0,1,49002,0,3,2,251929
0,0,1,49002,0,3,3,469306
0,0,1,49002,0,3,4,372496
0,0,1,49002,0,3,5,275686
0,0,1,49002,0,3,6,283605
0,0,1,49002,0,3,7,500982
0,0,1,49002,0,3,8,404172
0,0,1,49002,0,3,9,202633
0,0,1,49002,0,3,10,315281
0,0,1,49002,0,3,11,427929
0,0,1,49002,0,4,0,226390
0,0,1,49002,0,4,1,234309
0,0,1,49002,0,4,2,451686
0,0,1,49002,0,4,3,250147
0,0,1,49002,0,4,4,362795
0,0,1,49002,0,4,5,265985
0,0,1,49002,0,4,6,273904
0,0,1,49002,0,4,7,281823
0,0,1,49002,0,4,8,603929
0,0,1,49002,0,4,9,297661
0,0,1,49002,0,4,10,305580
0,0,1,49002,0,4,11,418228
0,0,1,49002,1,0,0,949792
0,0,1,49002,1,0,1,957711
0,0,1,49002,1,0,2,860901
0,0,1,49002,1,0,3,868820
0,0,1,49002,1,0,4,981468
0,0,1,49002,1,0,5,989387
0,0,1,49002,1,0,6,997306
0,0,1,49002,1,0,7,900496
0,0,1,49002,1,0,8,222599
0,0,1,49002,1,0,9,21060
0,0,1,49002,1,0,10,28979
0,0,1,49002,1,0,11,36898
0,0,1,49002,1,1,0,940091
0,0,1,49002,1,1,1,948010
0,0,1,49002,1,1,2,641742
0,0,1,49002,1,1,3,278032
0,0,1,49002,1,1,4,657580
0,0,1,49002,1,1,5,665499
0,0,1,49002,1,1,6,673418
0,0,1,49002,1,1,7,681337
0,0,1,49002,1,1,8,689256
0,0,1,49002,1,1,9,592446
0,0,1,49002,1,1,10,542923
0,0,1,49002,1,1,11,608284
0,0,1,49002,1,2,0,720932
0,0,1,49002,1,2,1,43035
0,0,1,49002,1,2,2,574599
0,0,1,49002,1,2,3,163602
0,0,1,49002,1,2,4,590437
0,0,1,49002,1,2,5,179440
0,0,1,49002,1,2,6,25188
0,0,1,49002,1,2,7,33107
0,0,1,49002,1,2,8,145755
0,0,1,49002,1,2,9,315845
0,0,1,49002,1,2,10,904851
0,0,1,49002,1,2,11,226954
0,0,1,49002,1,3,0,282160
0,0,1,49002,1,3,1,33334
0,0,1,49002,1,3,2,145982
0,0,1,49002,1,3,3,49172
0,0,1,49002,1,3,4,104378
0,0,1,49002,1,3,5,750826
0,0,1,49002,1,3,6,329674
0,0,1,49002,1,3,7,290306
0,0,1,49002,1,3,8,926599
0,0,1,49002,1,3,9,143973
0,0,1,49002,1,3,10,999879
0,0,1,49002,1,3,11,217253
0,0,1,49002,1,4,0,329901
0,0,1,49002,1,4,1,337820
0,0,1,49002,1,4,2,31552
0,0,1,49002,1,4,3,830016
0,0,1,49002,1,4,4,837935
0,0,1,49002,1,4,5,369496
0,0,1,49002,1,4,6,529431
0,0,1,49002,1,4,7,861692
0,0,1,49002,1,4,8,869611
0,0,1,49002,1,4,9,982259
0,0,1,49002,1,4,10,990178
0,0,1,49002,1,4,11,254839
0,0,1,49002,2,0,0,424929
0,0,1,49002,2,0,1,328119
0,0,1,49002,2,0,2,812396
0,0,1,49002,2,0,3,343957
0,0,1,49002,2,0,4,456605
0,0,1,49002,2,0,5,359795
0,0,1,49002,2,0,6,367714
0,0,1,49002,2,0,7,375633
0,0,1,49002,2,0,8,383552
0,0,1,49002,2,0,9,391471
0,0,1,49002,2,0,10,504119
0,0,1,49002,2,0,11,512038
0,0,1,49002,2,1,0,519957
0,0,1,49002,2,1,1,423147
0,0,1,49002,2,1,2,431066
0,0,1,49002,2,1,3,543714
0,0,1,49002,2,1,4,446904
0,0,1,49002,2,1,5,454823
0,0,1,49002,2,1,6,462742
0,0,1,49002,2,1,7,470661
0,0,1,49002,2,1,8,478580
0,0,1,49002,2,1,9,486499
0,0,1,49002,2,1,10,494418
0,0,1,49002,2,1,11,978695
0,0,1,49002,2,2,0,91340
0,0,1,49002,2,2,1,518175
0,0,1,49002,2,2,2,526094
0,0,1,49002,2,2,3,534013
0,0,1,49002,2,2,4,541932
0,0,1,49002,2,2,5,549851
0,0,1,49002,2,2,6,138854
0,0,1,49002,2,2,7,565689
0,0,1,49002,2,2,8,573608
0,0,1,49002,2,2,9,581527
0,0,1,49002,2,2,10,589446
0,0,1,49002,2,2,11,702094
0,0,1,49002,2,3,0,605284
0,0,1,49002,2,3,1,717932
0,0,1,49002,2,3,2,202206
0,0,1,49002,2,3,3,629041
0,0,1,49002,2,3,4,636960
0,0,1,49002,2,3,5,644879
0,0,1,49002,2,3,6,652798
0,0,1,49002,2,3,7,765446
0,0,1,49002,2,3,8,668636
0,0,1,49002,2,3,9,152910
0,0,1,49002,2,3,10,684474
0,0,1,49002,2,3,11,797122
0,0,1,49002,2,4,0,281396
0,0,1,49002,2,4,1,184586
0,0,1,49002,2,4,2,401963
0,0,1,49002,2,4,3,828798
0,0,1,49002,2,4,4,522530
0,0,1,49002,2,4,5,844636
0,0,1,49002,2,4,6,538368
0,0,1,49002,2,4,7,860474
0,0,1,49002,2,4,8,344748
0,0,1,49002,2,4,9,562125
0,0,1,49002,2,4,10,360586
0,0,1,49002,2,4,11,368505
0,0,1,49002,3,0,0,271695
0,0,1,49002,3,0,1,279614
0,0,1,49002,3,0,2,601720
0,0,1,49002,3,0,3,609639
0,0,1,49002,3,0,4,617558
0,0,1,49002,3,0,5,625477
0,0,1,49002,3,0,6,633396
0,0,1,49002,3,0,7,641315
0,0,1,49002,3,0,8,649234
0,0,1,49002,3,0,9,657153
0,0,1,49002,3,0,10,665072
0,0,1,49002,3,0,11,672991
0,0,1,49002,3,1,0,680910
0,0,1,49002,3,1,1,374642
0,0,1,49002,3,1,2,801477
0,0,1,49002,3,1,3,809396
0,0,1,49002,3,1,4,712586
0,0,1,49002,3,1,5,720505
0,0,1,49002,3,1,6,833153
0,0,1,49002,3,1,7,841072
0,0,1,49002,3,1,8,744262
0,0,1,49002,3,1,9,856910
0,0,1,49002,3,1,10,969558
0,0,1,49002,3,1,11,768019
0,0,1,49002,3,2,0,775938
0,0,1,49002,3,2,1,783857
0,0,1,49002,3,2,2,105960
0,0,1,49002,3,2,3,799695
0,0,1,49002,3,2,4,807614
0,0,1,49002,3,2,5,815533
0,0,1,49002,3,2,6,823452
0,0,1,49002,3,2,7,831371
0,0,1,49002,3,2,8,944019
0,0,1,49002,3,2,9,161393
0,0,1,49002,3,2,10,64583
0,0,1,49002,3,2,11,177231
0,0,1,49002,3,3,0,870966
0,0,1,49002,3,3,1,297798
0,0,1,49002,3,3,2,96259
0,0,1,49002,3,3,3,208907
0,0,1,49002,3,3,4,216826
0,0,1,49002,3,3,5,120016
0,0,1,49002,3,3,6,232664
0,0,1,49002,3,3,7,135854
0,0,1,49002,3,3,8,248502
0,0,1,49002,3,3,9,256421
0,0,1,49002,3,3,10,54882
0,0,1,49002,3,3,11,167530
0,0,1,49002,3,4,0,651807
0,0,1,49002,3,4,1,659726
0,0,1,49002,3,4,2,667645
0,0,1,49002,3,4,3,675564
0,0,1,49002,3,4,4,683483
0,0,1,49002,3,4,5,691402
