qualification_schema,tnn_r32_e45_native_v1
native_target,linux_x86_64_generic
feature_dimension_per_arm,32
feature_masking,zero_mask_equal_capacity
initiation_policy,one_shared_frozen_value_and_common_feature_block_across_all_arms
shadow_estimator,reduced_e45_12_learner_visible_features_not_v28_parity
temporal_detector,reduced_ordered_best_split_not_full_v16_tv_volatility
hazard_auxiliary,reduced_global_horizon_forecast_not_v40_parity
training_seed_set,45001_45002_45003
validation_seed_set,45101_45102_45103
confirmation_seed_set,45201_45202_45203_45204_45205_45206
confirmation_episodes_per_seed_mode_resource,40
shadow_validation_n,2700
shadow_target_mean,406
shadow_mae_learned_reduced12,196
shadow_mae_raw_cost,395
shadow_mae_fixed_055,269
shadow_mae_learned_global_scalar,280
shadow_mse_div100_learned_reduced12,847
shadow_mse_div100_raw_cost,2896
shadow_mse_div100_fixed_055,1772
shadow_mse_div100_learned_global_scalar,1723
shadow_r2_per_mille_learned_reduced12,749
shadow_global_ratio_per_mille,632
cell_columns,seed_index,mode,resource,arm,episodes,initiated,beneficial,true_positive,false_positive,completed,success,success_given_oracle_positive_init,premature,regret_sum,resource_spend_sum,opportunity_loss_sum,observations,warrant,budget_refusal,safety_cap,utility_sum,resolvable,unknown_choice,wrong_nonunknown_commit,oracle_positive_success,init_recall_pm,init_precision_pm,completion_given_init_pm,success_given_oracle_positive_init_pm,mean_observations_x1000
cell,0,0,3,arm,1,40,8,0,0,8,0,0,0,0,49605,9513,1605,24,0,0,0,-49605,0,0,40,0,0,0,0,0,3000
cell,0,0,3,arm,2,40,8,0,0,8,0,0,0,0,49605,9513,1605,24,0,0,0,-49605,0,0,40,0,0,0,0,0,3000
cell,0,0,3,arm,3,40,8,0,0,8,0,0,0,0,49605,9513,1605,24,0,0,0,-49605,0,0,40,0,0,0,0,0,3000
cell,0,0,4,arm,0,40,0,0,0,0,0,0,0,0,48000,0,0,0,0,0,0,-48000,0,0,40,0,0,0,0,0,0
cell,0,0,4,arm,1,40,0,0,0,0,0,0,0,0,48000,0,0,0,0,0,0,-48000,0,0,40,0,0,0,0,0,0
cell,0,0,4,arm,2,40,0,0,0,0,0,0,0,0,48000,0,0,0,0,0,0,-48000,0,0,40,0,0,0,0,0,0
cell,0,0,4,arm,3,40,0,0,0,0,0,0,0,0,48000,0,0,0,0,0,0,-48000,0,0,40,0,0,0,0,0,0
cell,0,1,0,arm,0,40,3,0,0,3,0,0,0,0,50952,10197,2952,33,0,0,1,-50952,0,0,40,0,0,0,0,0,11000
cell,0,1,0,arm,1,40,3,0,0,3,0,0,0,0,50952,10197,2952,33,0,0,1,-50952,0,0,40,0,0,0,0,0,11000
cell,0,1,0,arm,2,40,3,0,0,3,0,0,0,0,50952,10197,2952,33,0,0,1,-50952,0,0,40,0,0,0,0,0,11000
cell,0,1,0,arm,3,40,3,0,0,3,0,0,0,0,50952,10197,2952,33,0,0,1,-50952,0,0,40,0,0,0,0,0,11000
cell,0,1,1,arm,0,40,0,0,0,0,0,0,0,0,48000,0,0,0,0,0,0,-48000,0,0,40,0,0,0,0,0,0
cell,0,1,1,arm,1,40,0,0,0,0,0,0,0,0,48000,0,0,0,0,0,0,-48000,0,0,40,0,0,0,0,0,0
cell,0,1,1,arm,2,40,0,0,0,0,0,0,0,0,48000,0,0,0,0,0,0,-48000,0,0,40,0,0,0,0,0,0
cell,0,1,1,arm,3,40,0,0,0,0,0,0,0,0,48000,0,0,0,0,0,0,-48000,0,0,40,0,0,0,0,0,0
cell,0,1,2,arm,0,40,0,0,0,0,0,0,0,0,48000,0,0,0,0,0,0,-48000,0,0,40,0,0,0,0,0,0
cell,0,1,2,arm,1,40,0,0,0,0,0,0,0,0,48000,0,0,0,0,0,0,-48000,0,0,40,0,0,0,0,0,0
cell,0,1,2,arm,2,40,0,0,0,0,0,0,0,0,48000,0,0,0,0,0,0,-48000,0,0,40,0,0,0,0,0,0
cell,0,1,2,arm,3,40,0,0,0,0,0,0,0,0,48000,0,0,0,0,0,0,-48000,0,0,40,0,0,0,0,0,0
cell,0,1,3,arm,0,40,17,0,0,17,0,0,0,0,50463,12886,2463,40,0,0,0,-50463,0,0,40,0,0,0,0,0,2352
cell,0,1,3,arm,1,40,17,0,0,17,0,0,0,0,50463,12886,2463,40,0,0,0,-50463,0,0,40,0,0,0,0,0,2352
cell,0,1,3,arm,2,40,17,0,0,17,0,0,0,0,50463,12886,2463,40,0,0,0,-50463,0,0,40,0,0,0,0,0,2352
cell,0,1,3,arm,3,40,17,0,0,17,0,0,0,0,50463,12886,2463,40,0,0,0,-50463,0,0,40,0,0,0,0,0,2352
cell,0,1,4,arm,0,40,0,0,0,0,0,0,0,0,48000,0,0,0,0,0,0,-48000,0,0,40,0,0,0,0,0,0
cell,0,1,4,arm,1,40,0,0,0,0,0,0,0,0,48000,0,0,0,0,0,0,-48000,0,0,40,0,0,0,0,0,0
cell,0,1,4,arm,2,40,0,0,0,0,0,0,0,0,48000,0,0,0,0,0,0,-48000,0,0,40,0,0,0,0,0,0
cell,0,1,4,arm,3,40,0,0,0,0,0,0,0,0,48000,0,0,0,0,0,0,-48000,0,0,40,0,0,0,0,0,0
cell,0,2,0,arm,0,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,2,0,arm,1,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,2,0,arm,2,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,2,0,arm,3,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,2,1,arm,0,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,2,1,arm,1,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,2,1,arm,2,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,2,1,arm,3,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,2,2,arm,0,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,2,2,arm,1,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,2,2,arm,2,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,2,2,arm,3,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,2,3,arm,0,40,8,0,0,8,0,40,0,0,936,5405,936,14,0,0,0,39064,0,0,0,0,0,0,0,0,1750
cell,0,2,3,arm,1,40,8,0,0,8,0,40,0,0,936,5405,936,14,0,0,0,39064,0,0,0,0,0,0,0,0,1750
cell,0,2,3,arm,2,40,8,0,0,8,0,40,0,0,936,5405,936,14,0,0,0,39064,0,0,0,0,0,0,0,0,1750
cell,0,2,3,arm,3,40,8,0,0,8,0,40,0,0,936,5405,936,14,0,0,0,39064,0,0,0,0,0,0,0,0,1750
cell,0,2,4,arm,0,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,2,4,arm,1,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,2,4,arm,2,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,2,4,arm,3,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,3,0,arm,0,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,3,0,arm,1,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,3,0,arm,2,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,3,0,arm,3,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,3,1,arm,0,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,3,1,arm,1,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,3,1,arm,2,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,3,1,arm,3,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,3,2,arm,0,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,3,2,arm,1,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,3,2,arm,2,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,3,2,arm,3,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,3,3,arm,0,40,10,0,0,10,0,40,0,0,1926,9193,1926,30,0,0,0,38074,0,0,0,0,0,0,0,0,3000
cell,0,3,3,arm,1,40,10,0,0,10,0,40,0,0,1926,9193,1926,30,0,0,0,38074,0,0,0,0,0,0,0,0,3000
cell,0,3,3,arm,2,40,10,0,0,10,0,40,0,0,1926,9193,1926,30,0,0,0,38074,0,0,0,0,0,0,0,0,3000
cell,0,3,3,arm,3,40,10,0,0,10,0,40,0,0,1926,9193,1926,30,0,0,0,38074,0,0,0,0,0,0,0,0,3000
cell,0,3,4,arm,0,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,3,4,arm,1,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,3,4,arm,2,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,3,4,arm,3,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,4,0,arm,0,40,1,11,1,0,1,1,1,0,81158,3141,942,9,1,0,0,-77942,40,0,39,1,90,1000,1000,1000,9000
cell,0,4,0,arm,1,40,1,11,1,0,1,1,1,0,81158,3141,942,9,1,0,0,-77942,40,0,39,1,90,1000,1000,1000,9000
cell,0,4,0,arm,2,40,1,11,1,0,1,1,1,0,81158,3141,942,9,1,0,0,-77942,40,0,39,1,90,1000,1000,1000,9000
cell,0,4,0,arm,3,40,1,11,1,0,1,1,1,0,81158,3141,942,9,1,0,0,-77942,40,0,39,1,90,1000,1000,1000,9000
cell,0,4,1,arm,0,40,0,1,0,0,0,0,0,0,80151,0,0,0,0,0,0,-80000,40,0,40,0,0,0,0,0,0
cell,0,4,1,arm,1,40,0,1,0,0,0,0,0,0,80151,0,0,0,0,0,0,-80000,40,0,40,0,0,0,0,0,0
cell,0,4,1,arm,2,40,0,1,0,0,0,0,0,0,80151,0,0,0,0,0,0,-80000,40,0,40,0,0,0,0,0,0
cell,0,4,1,arm,3,40,0,1,0,0,0,0,0,0,80151,0,0,0,0,0,0,-80000,40,0,40,0,0,0,0,0,0
cell,0,4,2,arm,0,40,0,0,0,0,0,0,0,0,80000,0,0,0,0,0,0,-80000,40,0,40,0,0,0,0,0,0
cell,0,4,2,arm,1,40,0,0,0,0,0,0,0,0,80000,0,0,0,0,0,0,-80000,40,0,40,0,0,0,0,0,0
cell,0,4,2,arm,2,40,0,0,0,0,0,0,0,0,80000,0,0,0,0,0,0,-80000,40,0,40,0,0,0,0,0,0
cell,0,4,2,arm,3,40,0,0,0,0,0,0,0,0,80000,0,0,0,0,0,0,-80000,40,0,40,0,0,0,0,0,0
cell,0,4,3,arm,0,40,10,14,10,0,0,0,0,10,82719,4040,534,11,0,0,0,-80534,40,0,40,0,714,1000,0,0,1100
cell,0,4,3,arm,1,40,10,14,10,0,0,0,0,10,82719,4040,534,11,0,0,0,-80534,40,0,40,0,714,1000,0,0,1100
cell,0,4,3,arm,2,40,10,14,10,0,0,0,0,10,82719,4040,534,11,0,0,0,-80534,40,0,40,0,714,1000,0,0,1100
cell,0,4,3,arm,3,40,10,14,10,0,0,0,0,10,82719,4040,534,11,0,0,0,-80534,40,0,40,0,714,1000,0,0,1100
cell,0,4,4,arm,0,40,0,0,0,0,0,0,0,0,80000,0,0,0,0,0,0,-80000,40,0,40,0,0,0,0,0,0
cell,0,4,4,arm,1,40,0,0,0,0,0,0,0,0,80000,0,0,0,0,0,0,-80000,40,0,40,0,0,0,0,0,0
cell,0,4,4,arm,2,40,0,0,0,0,0,0,0,0,80000,0,0,0,0,0,0,-80000,40,0,40,0,0,0,0,0,0
cell,0,4,4,arm,3,40,0,0,0,0,0,0,0,0,80000,0,0,0,0,0,0,-80000,40,0,40,0,0,0,0,0,0
cell,0,5,0,arm,0,40,1,0,0,1,0,40,0,0,477,2648,477,8,0,0,0,39523,0,0,0,0,0,0,0,0,8000
cell,0,5,0,arm,1,40,1,0,0,1,0,40,0,0,477,2648,477,8,0,0,0,39523,0,0,0,0,0,0,0,0,8000
cell,0,5,0,arm,2,40,1,0,0,1,0,40,0,0,477,2648,477,8,0,0,0,39523,0,0,0,0,0,0,0,0,8000
cell,0,5,0,arm,3,40,1,0,0,1,0,40,0,0,477,2648,477,8,0,0,0,39523,0,0,0,0,0,0,0,0,8000
cell,0,5,1,arm,0,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,5,1,arm,1,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,5,1,arm,2,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,5,1,arm,3,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,5,2,arm,0,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,5,2,arm,1,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,5,2,arm,2,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,5,2,arm,3,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,5,3,arm,0,40,6,0,0,6,0,40,0,0,2094,11061,2094,33,0,0,0,37906,0,0,0,0,0,0,0,0,5500
cell,0,5,3,arm,1,40,6,0,0,6,0,40,0,0,2094,11061,2094,33,0,0,0,37906,0,0,0,0,0,0,0,0,5500
cell,0,5,3,arm,2,40,6,0,0,6,0,40,0,0,2094,11061,2094,33,0,0,0,37906,0,0,0,0,0,0,0,0,5500
cell,0,5,3,arm,3,40,6,0,0,6,0,40,0,0,2094,11061,2094,33,0,0,0,37906,0,0,0,0,0,0,0,0,5500
cell,0,5,4,arm,0,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,5,4,arm,1,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,5,4,arm,2,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,5,4,arm,3,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,6,0,arm,0,40,1,0,0,1,0,40,0,0,0,327,0,1,0,0,0,40000,0,0,0,0,0,0,0,0,1000
cell,0,6,0,arm,1,40,1,0,0,1,0,40,0,0,0,327,0,1,0,0,0,40000,0,0,0,0,0,0,0,0,1000
cell,0,6,0,arm,2,40,1,0,0,1,0,40,0,0,0,327,0,1,0,0,0,40000,0,0,0,0,0,0,0,0,1000
cell,0,6,0,arm,3,40,1,0,0,1,0,40,0,0,0,327,0,1,0,0,0,40000,0,0,0,0,0,0,0,0,1000
cell,0,6,1,arm,0,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,6,1,arm,1,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,6,1,arm,2,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,6,1,arm,3,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,6,2,arm,0,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,6,2,arm,1,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,6,2,arm,2,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,6,2,arm,3,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,6,3,arm,0,40,12,0,0,12,0,40,0,0,1033,6215,1033,19,0,0,0,38967,0,0,0,0,0,0,0,0,1583
cell,0,6,3,arm,1,40,12,0,0,12,0,40,0,0,1033,6215,1033,19,0,0,0,38967,0,0,0,0,0,0,0,0,1583
cell,0,6,3,arm,2,40,12,0,0,12,0,40,0,0,1033,6215,1033,19,0,0,0,38967,0,0,0,0,0,0,0,0,1583
cell,0,6,3,arm,3,40,12,0,0,12,0,40,0,0,1033,6215,1033,19,0,0,0,38967,0,0,0,0,0,0,0,0,1583
cell,0,6,4,arm,0,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,6,4,arm,1,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,6,4,arm,2,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,6,4,arm,3,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,7,0,arm,0,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,7,0,arm,1,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,7,0,arm,2,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,7,0,arm,3,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,7,1,arm,0,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,7,1,arm,1,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,7,1,arm,2,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,7,1,arm,3,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,7,2,arm,0,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,7,2,arm,1,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,7,2,arm,2,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,7,2,arm,3,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,7,3,arm,0,40,4,0,0,4,0,40,0,0,2445,8918,2445,28,0,0,0,37555,0,0,0,0,0,0,0,0,7000
cell,0,7,3,arm,1,40,4,0,0,4,0,40,0,0,2445,8918,2445,28,0,0,0,37555,0,0,0,0,0,0,0,0,7000
cell,0,7,3,arm,2,40,4,0,0,4,0,40,0,0,2445,8918,2445,28,0,0,0,37555,0,0,0,0,0,0,0,0,7000
cell,0,7,3,arm,3,40,4,0,0,4,0,40,0,0,2445,8918,2445,28,0,0,0,37555,0,0,0,0,0,0,0,0,7000
cell,0,7,4,arm,0,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,7,4,arm,1,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,7,4,arm,2,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,7,4,arm,3,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,8,0,arm,0,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,8,0,arm,1,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,8,0,arm,2,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,8,0,arm,3,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,8,1,arm,0,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,8,1,arm,1,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,8,1,arm,2,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,8,1,arm,3,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,8,2,arm,0,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,8,2,arm,1,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,8,2,arm,2,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,8,2,arm,3,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,8,3,arm,0,40,7,0,0,7,0,40,0,0,1823,9827,1823,32,0,0,0,38177,0,0,0,0,0,0,0,0,4571
cell,0,8,3,arm,1,40,7,0,0,7,0,40,0,0,1823,9827,1823,32,0,0,0,38177,0,0,0,0,0,0,0,0,4571
cell,0,8,3,arm,2,40,7,0,0,7,0,40,0,0,1823,9827,1823,32,0,0,0,38177,0,0,0,0,0,0,0,0,4571
cell,0,8,3,arm,3,40,7,0,0,7,0,40,0,0,1823,9827,1823,32,0,0,0,38177,0,0,0,0,0,0,0,0,4571
cell,0,8,4,arm,0,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,8,4,arm,1,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,8,4,arm,2,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,0,8,4,arm,3,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0
cell,1,0,0,arm,0,40,0,0,0,0,0,0,0,0,48000,0,0,0,0,0,0,-48000,0,0,40,0,0,0,0,0,0
cell,1,0,0,arm,1,40,0,0,0,0,0,0,0,0,48000,0,0,0,0,0,0,-48000,0,0,40,0,0,0,0,0,0
cell,1,0,0,arm,2,40,0,0,0,0,0,0,0,0,48000,0,0,0,0,0,0,-48000,0,0,40,0,0,0,0,0,0
