id	cat	verdict	hits	key	response
K-023	VOC-DEF	INCORRECT	4	gb:pg110:21	The more austere of these maintain a conscientious difference of | opinion concerning, among other things, subjects fit for art, and | reveal an inability to associate the idea of the sub-title adject
K-024	VOC-DEF	INCORRECT	4	gb:pg10800:234~1	If there be no jar, [513]they can make a | jar, out of the law itself find still some quirk or other, to set them | at odds, and continue causes so long, lustra aliquot, I know not how | many years be
K-025	VOC-DEF	INCORRECT	4	gb:pg15679:319~0	Mr. Benfield, to secure the permanency of his power, and the perfection | of his schemes, thought it necessary to render the Nabob an absolute | stranger to the state of his affairs. He assured his Hi
K-026	VOC-DEF	INCORRECT	4	gb:pg108:1015	“What brought all his wicked scheme to wreck was your discovery | of this man Heidegger’s dead body. James was seized with horror | at the news. It came to us yesterday, as we sat together in this | s
K-027	VOC-DEF	INCORRECT	4	gb:pg1320:1030~0	If it is true that by the earnest and repeated study of the meanings of | words we are likely to find them in the end containing much deeper sense | and content than at the beginning, we are compelled
K-028	VOC-DEF	INCORRECT	4	gb:pg1081:1219~0	“Well,” said Chichikov to himself, “I have done my best, and now | everything has failed. Lamenting my misfortune won’t help me, but only | action.” And with that he decided to begin his career anew, 
K-029	VOC-DEF	INCORRECT	4	gb:pg16452:209~1	Reject not with disdain a suppliant’s prayer.90 | I am thy guest also, who at thy own board | Have eaten bread, and did partake the gift | Of Ceres with thee on the very day | When thou didst send me 
K-030	VOC-DEF	INCORRECT	4	gb:pg10800:234~1	If there be no jar, [513]they can make a | jar, out of the law itself find still some quirk or other, to set them | at odds, and continue causes so long, lustra aliquot, I know not how | many years be
K-031	VOC-SYN	INCORRECT	3	gb:pg1051:271	Alas, shut out from Hope, in a deeper sense than we yet dream of! | For, as he wanders wearisomely through this world, he has now lost | all tidings of another and higher. Full of religion, or at leas
K-032	VOC-SYN	INCORRECT	3	gb:pg11615:2406	OBS. 15. If it is necessary in parsing to supply the antecedent to | _whoever_ or _whosoever_, when two _different_ cases are represented, it is | but analogous and reasonable to supply it also when t
K-033	VOC-SYN	INCORRECT	3	gb:pg15000:253	In the melodramatic fashion so common in what is called philosophy we | may delight ourselves with such flashes of lightning as this: _esse est | percipi_. The truth of this paradox lies in the fact t
K-034	VOC-SYN	INCORRECT	3	gb:pg43376:745	In the last chapter we glanced at several salient differences between | the common coin of English and the common coin of American that is, | the verbs and adjectives in constant colloquial use the | 
K-035	VOC-SYN	INCORRECT	3	gb:pg13726:514	63. "But what shall we say of the many beautiful things, such as men, | horses, garments, or other things of the kind, whether equal or | beautiful, or of all things synonymous with them? Do they cont
K-036	VOC-SYN	INCORRECT	3	gb:pg1051:271	Alas, shut out from Hope, in a deeper sense than we yet dream of! | For, as he wanders wearisomely through this world, he has now lost | all tidings of another and higher. Full of religion, or at leas
K-037	VOC-SYN	INCORRECT	3	gb:pg28496:3588	It is by no means sure that what man wants is peace and quiet and | tranquillity. That is too close to ennui, which is his greatest dread. | What man wants is not peace but a battle. He must pit his f
K-038	VOC-SYN	INCORRECT	3	gb:pg27698:970~0	_ 98 Palmieri_, Ricchezza nazionale, Introd. The greater number of the | definitions of wealth are rather onesided than false. _Socrates_, | for instance, looks only at the relation existing between m
K-039	VOC-SYN	INCORRECT	3	se:physics:a:127327	If you're pushing a 10-ton truck and it's not moving, you are not doing any work on the truck because the distance $ds=0$ and the nonzero force $F$ isn't enough for the product $F\cdot ds$ to be nonze
K-040	VOC-SYN	INCORRECT	3	gb:pg37734:1036	Eventually Mr. Schapiro was converted, and publicly confessed Christ, | and united with a church in Brooklyn. Soon after taking this important | and decisive step he was convinced that it was his boun
K-041	VOC-ANT	INCORRECT	3	gb:pg10136:485	91. IT HAS BEEN ASSERTED, that English cookery is, nationally speaking, | far from being the best in the world. More than this, we have been | frequently told by brilliant foreign writers, half philos
K-042	VOC-ANT	INCORRECT	3	gb:pg10636:4021	NOTE 8.—This description of palace (see opposite cut), an elevated | basement of masonry with a superstructure of timber (in general | carved and gilded), is still found in Burma, Siam, and Java, as |
K-043	VOC-ANT	INCORRECT	3	gb:pg10800:653~0	Or if we do applaud, honour and admire, quota pars, how small a part, | in respect of the whole world, never so much as hears our names, how | few take notice of us, how slender a tract, as scant as A
K-044	VOC-ANT	INCORRECT	3	gb:pg1150:627	To him succeeded FRODE, surnamed the Vigorous, who bore out his name by | the strength of his body and mind. He destroyed in war ten captains of | Norway, and finally approached the island which after
K-045	VOC-ANT	INCORRECT	3	gb:pg10800:493	Melancholy, the subject of our present discourse, is either in | disposition or habit. In disposition, is that transitory melancholy | which goes and comes upon every small occasion of sorrow, need, |
K-046	VOC-ANT	INCORRECT	3	gb:pg10636:3637	NOTE 5.—It has often been cast in Marco’s teeth that he makes | no mention of the Great Wall of China, and that is true; whilst | the apologies made for the omission have always seemed to me | unsatis
K-047	VOC-ANT	INCORRECT	3	gb:pg10800:493	Melancholy, the subject of our present discourse, is either in | disposition or habit. In disposition, is that transitory melancholy | which goes and comes upon every small occasion of sorrow, need, |
K-048	VOC-ANT	INCORRECT	3	gb:pg10800:1038~0	Many rivers I deny not are muddy still, white, thick, like those in | China, Nile in Egypt, Tiber at Rome, but after they be settled two or | three days, defecate and clear, very commodious, useful an
K-049	VOC-ANT	INCORRECT	3	gb:pg1023:4986	It was not a love letter, though it expressed so much love, but was | written just as he would at any time have spoken to me. I saw his | face, and heard his voice, and felt the influence of his kind 
K-050	VOC-ANT	INCORRECT	3	gb:pg10615:182	By this progress, how many there are who arrive at principles which | they believe innate may be easily observed, in the variety of opposite | principles held and contended for by all sorts and degree
K-051	SCI	INCORRECT	4	gb:pg10031:915	The individual calamity was, as you say, entirely unanticipated; but | analogous misfortunes had been long a subject of discussion with | astronomers. I need scarce tell you, my friend, that, even whe
K-052	SCI	INCORRECT	5	gb:pg51326:1194	There is one substance known among the saturated hydrocarbons composed | of 1 atom of carbon and 4 atoms of hydrogen; this is a compound | containing the highest percentage of hydrogen (CH_{4} contain
K-053	SCI	INCORRECT	3	gb:pg10615:1015	So that if any one will examine himself concerning his notion of pure | substance in general, he will find he has no other idea of it at all, | but only a supposition of he knows not what SUPPORT of s
K-054	SCI	INCORRECT	3	gb:pg22815:1731	Both the jungles and the villages abound with insects and reptilia, | such as lizards, snakes, iguanas, frogs, and other batrachian species, | land-crabs, centipedes [159], tarantulas, scorpions, huge
K-055	SCI	INCORRECT	4	gb:pg24238:590~0	Application is the very life of the word, at least it is a necessary | condition for the living operation of it. The application of the word to | the hearts of hearers by preaching, and the applicatio
K-056	SCI	INCORRECT	3	gb:pg1717:270	There was a time when you and I and all of us were all very close to | God; so that even now the color of a pebble (or a paint), the smell of a | flower (or a firework), comes to our hearts with a kin
K-057	SCI	CORRECT	6	se:physics:a:24058	I think there's a combination of terminology and information misunderstanding going on here, so let me try and explain this at an appropriate level. First, the phrase "travel at light speed immediatel
K-058	SCI	INCORRECT	4	gb:pg45305:455~0	But though these nations are said to have been dispersed according to | their languages, yet the narrator recurs to that time when all had | but one language, and explains how it came to pass that a d
K-059	SCI	INCORRECT	4	se:biology:a:101740	The other answers are correct: foods you eat include a mix of proteins, which are mostly cut into their constituent amino acids in your digestive system. However, while a burger (meat or veggie), migh
K-060	SCI	INCORRECT	4	gb:pg67792:2343	Other medieval writers differed somewhat from these views of Costa ben | Luca as to the nature of _spiritus_ and the cavities of the brain. For | instance, Constantinus Africanus in his treatise _On M
K-061	SCI	INCORRECT	5	gb:pg747:540	The simpler forms of the ordinary dermoid cysts contain bone and teeth. | The complicated teratoma of this class may contain, in addition to the | previously mentioned structures, cartilage and glands
K-062	SCI	CORRECT	5	se:biology:q:9312	What gases are needed for humans to breathe? |  | I will be beginning a science project about sustaining life on space stations. I already know that pure oxygen is harmful for humans but would $O_2$ +
K-063	SCI	CORRECT	5	ostx:college-physics-1e:college-physics-1e:2627	We can use P 2 − P 1 = RQ to analyze pressure drops occurring in more complex systems in which the tube radius is not the | same everywhere. Resistance will be much greater in narrow places, such as a
K-064	SCI	CORRECT	4	gb:pg10136:1056	203. THE RESPIRATION OF FISHES is effected by means of those comb-like | organs which are placed on each side of the neck, and which are called | gills. It is curious to watch the process of breathing
K-065	SCI	INCORRECT	5	gb:pg20:216~0	To ask or search I blame thee not, for Heav’n | Is as the Book of God before thee set, | Wherein to read his wondrous Works, and learne | His Seasons, Hours, or Days, or Months, or Yeares: | This to a
K-066	SCI	INCORRECT	5	gb:pg15475:546~5	If they vanquish us | in fight, aided by the very gods headed by Indra, then the practice of | vice would be better than virtue, and surely there would be nothing like | righteousness on earth. If man
K-067	SCI	INCORRECT	3	gb:pg139:413~0	"Ladies and Gentlemen," he began, amid a sustained interruption from | the back. "I beg pardon Ladies, Gentlemen, and Children I must | apologize, I had inadvertently omitted a considerable section of
K-068	SCI	INCORRECT	5	se:biology:a:17256	Chlorophyll can use a quite broad range of light for photosynthesis, the only range where it is not working is approximately between 500 and 620nm. See this adsorption spectrum of chlorophyll (from th
K-069	SCI	INCORRECT	5	gb:pg200:426	A re-examination of his previously considered hypotheses as | to the cause of these phenomena was fruitless; the true theory | was ultimately discovered by a pure accident, comparable in | simplicity 
K-070	SCI	INCORRECT	5	se:biology:a:2207	This answer belongs on Skeptics. Sorry to disappoint, but the "boiled frog" phenomenon is an "old folk warning". This essentially negates your original question altogether. Neither a cold-blooded anim
K-071	SCI	CORRECT	4	ostx:chemistry-2e:chemistry-2e:2752	Metallic Solids | Metallic solids such as crystals of copper, aluminum, and iron are formed by metal atoms Figure 10.40. The | structure of metallic crystals is often described as a uniform distributi
K-072	SCI	INCORRECT	5	se:biology:a:108199	First of all, concerning the theory of epigenetics and the concept of epigenetic modification of 'gene expression' or of the data encoded in DNA in the form of its base sequence and structural conform
K-073	SCI	INCORRECT	4	gb:pg12843:399	'I came to thee as to a friend; | Dearest, to thee I did not send | Tutors, but a joyful eye, | Innocence that matched the sky, | Lovely locks, a form of wonder, | Laughter rich as woodland thunder, |
K-074	SCI	INCORRECT	4	gb:pg1051:455	"System of Nature! To the wisest man, wide as is his vision, Nature | remains of quite _infinite_ depth, of quite infinite expansion; and | all Experience thereof limits itself to some few computed ce
K-075	SCI	INCORRECT	5	se:biology:a:57455	First let's look at the difference between light skin and dark skin: darker skinned people have higher concentrations of melanin than those with lighter skin. Africa is located around the equator, a p
K-076	SCI	CORRECT	4	gb:pg200:4750	The bodies sevene eek, lo! hem heer anoon: | Sol gold is, and Luna silver we threpe, | Mars yren, Mercurie quik-silver we clepe, | Saturnus leed and Jupiter is tin, | And Venus coper, by my fader kin!
K-077	SCI	INCORRECT	4	gb:pg345:1663	“Yes, it is necessary necessary necessary! For your sake in the first, | and then for the sake of humanity. This monster has done much harm | already, in the narrow scope where he find himself, and in
K-078	SCI	CORRECT	4	gb:pg12342:8679	JUPITER, one of the exterior planets of the solar system, and the | largest; revolves in an orbit outside that of the asteroids, at a mean | distance from the sun of 480 millions of miles, completing 
K-079	SCI	INCORRECT	5	gb:pg10800:176	What a company of poets hath this year brought out, as Pliny complains | to Sossius Sinesius. [94]This April every day some or other have | recited. What a catalogue of new books all this year, all th
K-080	SCI	INCORRECT	3	gb:pg10102:2228	"No doubt," he smiled. "The _Iris_ was a steamer of many names, and had, | I believe, been painted nearly all the colors of the rainbow at various | times. It was a mysterious vessel, but she exists n
K-081	SCI	INCORRECT	4	se:biology:a:66701	This is a mistake in comparative anatomy which is somewhat common. When looking at four-legged animals, people often mistakenly map the parts of the hind legs. |  | Here is an image that shows the dif
K-082	SCI	INCORRECT	5	gb:pg29090:5193	Keep moving! Steam, or Gas, or Stage, | Hold, cabin, steerage, hencoop's cage | Tour, Journey, Voyage, Lounge, Ride, Walk, | Skim, Sketch, Excursion, Travel-talk | For move you must! 'Tis now the rage
K-083	SCI	INCORRECT	4	gb:pg19447:3663~0	Macrobius in the Sacred Fables explains theory of the Two Principles, | 404-l. | Macrobious taught that the heavens and spheres were part of the | Universal Soul, 669-m. | Macrocosmos, the universal o
K-084	SCI	INCORRECT	3	gb:pg11030:302	By sunrise, people were pouring in from every quarter within twenty | miles of the town. I knew the houses were to be searched; and I | expected it would be done by country bullies and the poor whites
K-085	SCI	INCORRECT	4	gb:pg10800:1045~13	which Cardinal Cusanus, | Walkarinus, Brunus, and some others have held, and some still maintain, | Animae, Aristotelismo innutritae, et minutis speculationibus assuetae, | secus forsan, &c. Though th
K-086	SCI	INCORRECT	4	gb:pg10002:665	At times, when I am calmer, I have wondered what became of the outer | planets of the Solar System. It has occurred to me, that they may have | broken loose from the sun's attraction, and whirled away
K-087	SCI	INCORRECT	6	gb:pg1228:111	That varieties of this doubtful nature are far from uncommon cannot be | disputed. Compare the several floras of Great Britain, of France or of | the United States, drawn up by different botanists, an
K-088	SCI	INCORRECT	5	gb:pg100:13373	KING HENRY. | For what, lieutenant? For well using me? | Nay, be thou sure I’ll well requite thy kindness, | For that it made my imprisonment a pleasure; | Ay, such a pleasure as incaged birds | Conce
K-089	SCI	CORRECT	6	gb:pg4352:173	Dramatic art forms no exception to this law. What drama goes forth to | discover and brings to light, is a deep-seated reality that is veiled | from us, often in our own interests, by the necessities 
K-090	SCI	INCORRECT	4	gb:pg10800:810	In such sort doth the torture and extremity of his misery torment him, | that he can take no pleasure in his life, but is in a manner enforced | to offer violence unto himself, to be freed from his pr
K-091	SCI	CORRECT	4	gb:pg2529:574	The definition of truth and falsehood, which is our topic to-day, lies | strictly outside our general subject, namely the analysis of mind. From | the psychological standpoint, there may be different 
K-092	SCI	CORRECT	5	ostx:college-physics-1e:college-physics-1e:1165	is the acceleration. | (b) Including friction. We now have a given value for friction, and we know its direction is parallel to the slope and it opposes | motion between surfaces in contact. So the ne
K-093	SCI	INCORRECT	4	gb:pg27942:793	I am unwilling to leave the subject without adverting to the additional | fallacy contained in the corollary from this theory; in the inference that | because Volition is an efficient cause, therefore
K-094	SCI	INCORRECT	2	gb:pg10031:576	High on a mountain of enamell'd head | Such as the drowsy shepherd on his bed | Of giant pasturage lying at his ease, | Raising his heavy eyelid, starts and sees | With many a mutter'd "hope to be for
K-095	SCI	CORRECT	4	gb:pg43576:1452~0	The habitations which we have hitherto been considering, are formed | by larvæ that live on land, but others equally remarkable are | constructed by aquatic species, the larvæ of the various _Phrygane
K-096	SCI	INCORRECT	4	se:biology:a:21899	Sharks sense their prey with the normal senses, they see, hear and smell them. |  | They have a remarkable sensitive sense of smelling, which enables them to sense highly diluted traces of prey. They 
K-097	SCI	CORRECT	6	se:physics:a:269572	From Starts With A Bang: |  | The Earth has a liquid outer core, a solid mantle exterior to that, and a solid core interior to it! So that’s how come the Earth has the heaviest, densest elements at it
K-098	SCI	INCORRECT	3	gb:pg100:12994	KING HENRY. | This battle fares like to the morning’s war, | When dying clouds contend with growing light, | What time the shepherd, blowing of his nails, | Can neither call it perfect day nor night. 
K-099	SCI	INCORRECT	5	gb:pg135:9989~0	“Brennus, who takes Rome, is an eagle; the banker who takes the | grisette is an eagle. There is no more modesty in the one case than in | the other. So we believe in nothing. There is but one reality
K-100	SCI	INCORRECT	4	se:biology:a:3221	"in the long run we're all dead men" - John Keynes |  | First is the fact that flies have adapted their way around cars long long ago by giving up longevity for faster breeding; flies are cheap and th
K-101	MATH	INCORRECT	2	gb:pg10002:178	At times, I shouted; but only the echoes answered back. I thought thus | perhaps to frighten or stir the creature to showing itself; but only | succeeded in bringing my sister Mary out, to know what w
K-102	MATH	INCORRECT	2	gb:pg100:37646	PAULINA. | What, sovereign sir, | I did not well, I meant well. All my services | You have paid home: but that you have vouchsaf’d, | With your crown’d brother and these your contracted | Heirs of you
K-103	MATH	INCORRECT	2	gb:pg10102:1926	As we passed Lanskaya, and ran through the outer suburbs of Petersburg, | my fellow-traveler became inquisitive as to where I was going, but I was | somewhat unresponsive, and busied myself with my ba
K-104	MATH	INCORRECT	2	gb:pg10002:178	At times, I shouted; but only the echoes answered back. I thought thus | perhaps to frighten or stir the creature to showing itself; but only | succeeded in bringing my sister Mary out, to know what w
K-105	MATH	INCORRECT	2	gb:pg100:2383	MARDIAN. | Death of one person can be paid but once, | And that she has discharged. What thou wouldst do | Is done unto thy hand. The last she spake | Was “Antony! Most noble Antony!” | Then in the mi
K-106	MATH	INCORRECT	2	gb:pg10002:178	At times, I shouted; but only the echoes answered back. I thought thus | perhaps to frighten or stir the creature to showing itself; but only | succeeded in bringing my sister Mary out, to know what w
K-107	MATH	INCORRECT	2	gb:pg100:37646	PAULINA. | What, sovereign sir, | I did not well, I meant well. All my services | You have paid home: but that you have vouchsaf’d, | With your crown’d brother and these your contracted | Heirs of you
K-108	MATH	INCORRECT	2	gb:pg10102:1926	As we passed Lanskaya, and ran through the outer suburbs of Petersburg, | my fellow-traveler became inquisitive as to where I was going, but I was | somewhat unresponsive, and busied myself with my ba
K-109	MATH	INCORRECT	2	gb:pg10002:178	At times, I shouted; but only the echoes answered back. I thought thus | perhaps to frighten or stir the creature to showing itself; but only | succeeded in bringing my sister Mary out, to know what w
K-110	MATH	INCORRECT	2	gb:pg100:2383	MARDIAN. | Death of one person can be paid but once, | And that she has discharged. What thou wouldst do | Is done unto thy hand. The last she spake | Was “Antony! Most noble Antony!” | Then in the mi
K-111	MATH	INCORRECT	2	gb:pg10002:178	At times, I shouted; but only the echoes answered back. I thought thus | perhaps to frighten or stir the creature to showing itself; but only | succeeded in bringing my sister Mary out, to know what w
K-112	MATH	INCORRECT	2	gb:pg10102:1926	As we passed Lanskaya, and ran through the outer suburbs of Petersburg, | my fellow-traveler became inquisitive as to where I was going, but I was | somewhat unresponsive, and busied myself with my ba
K-113	MATH	INCORRECT	2	gb:pg10002:178	At times, I shouted; but only the echoes answered back. I thought thus | perhaps to frighten or stir the creature to showing itself; but only | succeeded in bringing my sister Mary out, to know what w
K-114	MATH	INCORRECT	2	gb:pg100:37646	PAULINA. | What, sovereign sir, | I did not well, I meant well. All my services | You have paid home: but that you have vouchsaf’d, | With your crown’d brother and these your contracted | Heirs of you
K-115	MATH	INCORRECT	2	gb:pg10002:178	At times, I shouted; but only the echoes answered back. I thought thus | perhaps to frighten or stir the creature to showing itself; but only | succeeded in bringing my sister Mary out, to know what w
K-116	MATH	INCORRECT	2	gb:pg10102:1926	As we passed Lanskaya, and ran through the outer suburbs of Petersburg, | my fellow-traveler became inquisitive as to where I was going, but I was | somewhat unresponsive, and busied myself with my ba
K-117	MATH	INCORRECT	2	gb:pg10002:178	At times, I shouted; but only the echoes answered back. I thought thus | perhaps to frighten or stir the creature to showing itself; but only | succeeded in bringing my sister Mary out, to know what w
K-118	MATH	INCORRECT	2	gb:pg100:2383	MARDIAN. | Death of one person can be paid but once, | And that she has discharged. What thou wouldst do | Is done unto thy hand. The last she spake | Was “Antony! Most noble Antony!” | Then in the mi
K-119	MATH	INCORRECT	2	gb:pg100:37646	PAULINA. | What, sovereign sir, | I did not well, I meant well. All my services | You have paid home: but that you have vouchsaf’d, | With your crown’d brother and these your contracted | Heirs of you
K-120	MATH	INCORRECT	2	gb:pg10002:178	At times, I shouted; but only the echoes answered back. I thought thus | perhaps to frighten or stir the creature to showing itself; but only | succeeded in bringing my sister Mary out, to know what w
K-121	MATH	INCORRECT	2	gb:pg10102:1926	As we passed Lanskaya, and ran through the outer suburbs of Petersburg, | my fellow-traveler became inquisitive as to where I was going, but I was | somewhat unresponsive, and busied myself with my ba
K-122	MATH	INCORRECT	2	gb:pg10002:178	At times, I shouted; but only the echoes answered back. I thought thus | perhaps to frighten or stir the creature to showing itself; but only | succeeded in bringing my sister Mary out, to know what w
K-123	MATH	INCORRECT	2	gb:pg100:37646	PAULINA. | What, sovereign sir, | I did not well, I meant well. All my services | You have paid home: but that you have vouchsaf’d, | With your crown’d brother and these your contracted | Heirs of you
K-124	MATH	INCORRECT	2	gb:pg10002:178	At times, I shouted; but only the echoes answered back. I thought thus | perhaps to frighten or stir the creature to showing itself; but only | succeeded in bringing my sister Mary out, to know what w
K-125	MATH	INCORRECT	2	gb:pg10102:1926	As we passed Lanskaya, and ran through the outer suburbs of Petersburg, | my fellow-traveler became inquisitive as to where I was going, but I was | somewhat unresponsive, and busied myself with my ba
K-126	MATH	INCORRECT	2	gb:pg10102:1926	As we passed Lanskaya, and ran through the outer suburbs of Petersburg, | my fellow-traveler became inquisitive as to where I was going, but I was | somewhat unresponsive, and busied myself with my ba
K-127	MATH	INCORRECT	2	gb:pg10002:178	At times, I shouted; but only the echoes answered back. I thought thus | perhaps to frighten or stir the creature to showing itself; but only | succeeded in bringing my sister Mary out, to know what w
K-128	MATH	INCORRECT	2	gb:pg100:2383	MARDIAN. | Death of one person can be paid but once, | And that she has discharged. What thou wouldst do | Is done unto thy hand. The last she spake | Was “Antony! Most noble Antony!” | Then in the mi
K-129	MATH	INCORRECT	2	gb:pg100:37646	PAULINA. | What, sovereign sir, | I did not well, I meant well. All my services | You have paid home: but that you have vouchsaf’d, | With your crown’d brother and these your contracted | Heirs of you
K-130	MATH	INCORRECT	2	gb:pg10002:178	At times, I shouted; but only the echoes answered back. I thought thus | perhaps to frighten or stir the creature to showing itself; but only | succeeded in bringing my sister Mary out, to know what w
K-131	MATH	INCORRECT	2	gb:pg10102:1926	As we passed Lanskaya, and ran through the outer suburbs of Petersburg, | my fellow-traveler became inquisitive as to where I was going, but I was | somewhat unresponsive, and busied myself with my ba
K-132	MATH	INCORRECT	2	gb:pg10002:178	At times, I shouted; but only the echoes answered back. I thought thus | perhaps to frighten or stir the creature to showing itself; but only | succeeded in bringing my sister Mary out, to know what w
K-133	MATH	INCORRECT	2	gb:pg100:2383	MARDIAN. | Death of one person can be paid but once, | And that she has discharged. What thou wouldst do | Is done unto thy hand. The last she spake | Was “Antony! Most noble Antony!” | Then in the mi
K-134	MATH	INCORRECT	2	gb:pg100:37646	PAULINA. | What, sovereign sir, | I did not well, I meant well. All my services | You have paid home: but that you have vouchsaf’d, | With your crown’d brother and these your contracted | Heirs of you
K-135	MATH	INCORRECT	2	gb:pg10002:178	At times, I shouted; but only the echoes answered back. I thought thus | perhaps to frighten or stir the creature to showing itself; but only | succeeded in bringing my sister Mary out, to know what w
K-136	MATH	INCORRECT	2	gb:pg10102:1926	As we passed Lanskaya, and ran through the outer suburbs of Petersburg, | my fellow-traveler became inquisitive as to where I was going, but I was | somewhat unresponsive, and busied myself with my ba
K-137	MATH	INCORRECT	2	gb:pg10002:178	At times, I shouted; but only the echoes answered back. I thought thus | perhaps to frighten or stir the creature to showing itself; but only | succeeded in bringing my sister Mary out, to know what w
K-138	MATH	INCORRECT	2	gb:pg100:2383	MARDIAN. | Death of one person can be paid but once, | And that she has discharged. What thou wouldst do | Is done unto thy hand. The last she spake | Was “Antony! Most noble Antony!” | Then in the mi
K-139	MATH	INCORRECT	2	gb:pg100:37646	PAULINA. | What, sovereign sir, | I did not well, I meant well. All my services | You have paid home: but that you have vouchsaf’d, | With your crown’d brother and these your contracted | Heirs of you
K-140	MATH	INCORRECT	2	gb:pg10002:178	At times, I shouted; but only the echoes answered back. I thought thus | perhaps to frighten or stir the creature to showing itself; but only | succeeded in bringing my sister Mary out, to know what w
K-141	MATH	INCORRECT	2	gb:pg10102:1926	As we passed Lanskaya, and ran through the outer suburbs of Petersburg, | my fellow-traveler became inquisitive as to where I was going, but I was | somewhat unresponsive, and busied myself with my ba
