fixture	task	jcode	conf	margin	feat0	feat1	truth	human
r2a_motiondir_0432.vid	motiondir	7	816	267	0	0	SE	SE
r2n_colorconst_0057.img	colorconst	1	746	295	445	0	DIFFERENT	DIFFERENT
r2a_colorconst_0436.img	colorconst	1	337	51	201	0	SAME_SURFACE	SAME_SURFACE
r2n_colorconst_0578.img	colorconst	0	581	139	11	0	SAME_SURFACE	SAME_SURFACE
r2n_timbredisc_0299.pcm	timbredisc	2	1000	530	1697	440000	RICH	RICH
r2a_motiondir_0354.vid	motiondir	7	868	396	0	0	S	S
r2n_motiondir_0342.vid	motiondir	5	813	262	0	0	SW	SW
r2a_colorconst_0432.img	colorconst	1	502	101	251	0	SAME_SURFACE	SAME_SURFACE
r2a_colorconst_0550.img	colorconst	1	130	15	165	0	SAME_SURFACE	SAME_SURFACE
r2n_timbredisc_0088.pcm	timbredisc	0	222	77	1000	440000	PURE	PURE
r2a_shapetrans_0378.img	shapetrans	2	102	31	1	412	TRIANGLE	TRIANGLE
r2n_shapetrans_1045.img	shapetrans	2	102	31	1	62	TRIANGLE	TRIANGLE
r2n_motiondir_0518.vid	motiondir	2	867	394	0	0	N	N
r2n_shapetrans_1214.img	shapetrans	1	171	31	0	648	SQUARE	SQUARE
r2n_motiondir_0088.vid	motiondir	3	899	537	0	0	N	N
r2n_colorconst_0126.img	colorconst	0	456	84	66	0	SAME_SURFACE	SAME_SURFACE
r2a_colorconst_0488.img	colorconst	1	462	86	236	0	SAME_SURFACE	SAME_SURFACE
r2n_pitchdisc_0044.pcm	pitchdisc	1	998	2185118	2190118	0	LOWER	LOWER
r2n_timbredisc_0057.pcm	timbredisc	3	1000	530	2758	440000	BRIGHT	BRIGHT
r2a_motiondir_0456.vid	motiondir	4	741	172	0	0	W	W
r2n_pitchdisc_0124.pcm	pitchdisc	1	997	1444263	1449263	0	HIGHER	HIGHER
r2a_shapetrans_0021.img	shapetrans	2	102	31	1	439	SQUARE	SQUARE
r2a_colordisc_0037.img	colordisc	1	856	8940	11	11240	DIFFERENT	DIFFERENT
r2n_colordisc_0013.img	colordisc	0	605	2300	0	0	SAME	SAME
r2n_colordisc_0925.img	colordisc	1	737	4207	4	6507	DIFFERENT	DIFFERENT
r2a_motiondir_0622.vid	motiondir	1	166	12	0	0	NW	NW
r2a_shapetrans_0464.img	shapetrans	0	385	269	1	953	CIRCLE	CIRCLE
r2a_colordisc_0069.img	colordisc	1	866	9755	12	12055	DIFFERENT	DIFFERENT
r2a_pitchdisc_0494.pcm	pitchdisc	1	797	1007997	1012997	1	HIGHER	HIGHER
r2a_shapetrans_0738.img	shapetrans	2	102	31	1	353	SQUARE	SQUARE
r2a_motiondir_0520.vid	motiondir	6	0	0	0	0	SW	SW
r2a_shapetrans_0422.img	shapetrans	0	538	175	0	906	CIRCLE	CIRCLE
r2n_shapetrans_0021.img	shapetrans	0	494	147	0	892	CIRCLE	CIRCLE
r2n_colorconst_0308.img	colorconst	0	585	141	9	0	SAME_SURFACE	SAME_SURFACE
r2a_colordisc_0301.img	colordisc	1	554	1864	9	4164	DIFFERENT	DIFFERENT
r2a_pitchdisc_0710.pcm	pitchdisc	2	794	490218	495218	1	HIGHER	HIGHER
r2n_pitchdisc_0642.pcm	pitchdisc	0	625	5000	0	0	SAME	SAME
r2n_motiondir_0364.vid	motiondir	0	860	369	0	0	E	E
r2n_timbredisc_0039.pcm	timbredisc	2	1000	530	1697	440000	RICH	RICH
r2n_colorconst_0088.img	colorconst	0	578	137	13	0	SAME_SURFACE	SAME_SURFACE
r2a_pitchdisc_0411.pcm	pitchdisc	1	797	1013044	1018044	1	HIGHER	HIGHER
r2a_pitchdisc_0538.pcm	pitchdisc	2	794	490415	495415	1	HIGHER	HIGHER
r2a_colordisc_0061.img	colordisc	1	887	11889	12	14189	DIFFERENT	DIFFERENT
r2a_motiondir_0396.vid	motiondir	5	520	65	0	0	SW	SW
r2n_timbredisc_0484.pcm	timbredisc	0	222	77	1000	440000	PURE	PURE
r2n_shapetrans_0882.img	shapetrans	0	600	225	0	931	CIRCLE	CIRCLE
r2a_colorconst_0676.img	colorconst	0	532	114	36	0	SAME_SURFACE	SAME_SURFACE
r2n_colorconst_0606.img	colorconst	0	425	74	76	0	SAME_SURFACE	SAME_SURFACE
r2a_colorconst_0360.img	colorconst	1	736	279	429	0	SAME_SURFACE	SAME_SURFACE
r2n_timbredisc_0616.pcm	timbredisc	0	222	77	1000	440000	PURE	PURE
r2a_colorconst_0342.img	colorconst	1	479	92	242	0	SAME_SURFACE	SAME_SURFACE
r2n_colorconst_0601.img	colorconst	1	612	158	308	0	DIFFERENT	DIFFERENT
r2n_shapetrans_0125.img	shapetrans	2	44	7	0	618	SQUARE	SQUARE
r2n_colordisc_0232.img	colordisc	0	605	2300	1	0	SAME	SAME
r2a_motiondir_0460.vid	motiondir	1	776	208	0	0	SE	SE
r2n_shapetrans_0968.img	shapetrans	1	171	31	0	651	SQUARE	SQUARE
r2a_shapetrans_0428.img	shapetrans	0	546	181	0	909	CIRCLE	CIRCLE
r2a_shapetrans_0423.img	shapetrans	2	102	31	1	415	TRIANGLE	TRIANGLE
r2n_colorconst_0030.img	colorconst	0	382	62	88	0	SAME_SURFACE	SAME_SURFACE
r2n_motiondir_0537.vid	motiondir	3	885	466	0	0	NW	NW
r2n_timbredisc_0029.pcm	timbredisc	3	1000	530	2758	440000	BRIGHT	BRIGHT
r2a_shapetrans_0450.img	shapetrans	0	689	333	0	985	CIRCLE	CIRCLE
r2a_pitchdisc_0539.pcm	pitchdisc	0	540	3524	1476	0	HIGHER	HIGHER
r2a_colordisc_0273.img	colordisc	1	856	8940	12	11240	DIFFERENT	DIFFERENT
r2n_colordisc_0001.img	colordisc	0	605	2300	0	0	SAME	SAME
r2a_pitchdisc_0577.pcm	pitchdisc	0	500	3005	1995	0	HIGHER	HIGHER
r2a_shapetrans_0800.img	shapetrans	1	102	31	1	637	SQUARE	SQUARE
r2n_colordisc_1052.img	colordisc	1	703	3563	8	5863	DIFFERENT	DIFFERENT
r2n_shapetrans_0081.img	shapetrans	0	562	193	0	915	CIRCLE	CIRCLE
r2a_colorconst_0350.img	colorconst	0	224	29	121	0	SAME_SURFACE	SAME_SURFACE
r2a_motiondir_0389.vid	motiondir	7	659	116	0	0	NE	NE
r2n_pitchdisc_0002.pcm	pitchdisc	1	999	3964230	3969230	0	LOWER	LOWER
r2n_motiondir_0402.vid	motiondir	6	848	337	0	0	S	S
r2a_shapetrans_0414.img	shapetrans	2	171	31	0	421	TRIANGLE	TRIANGLE
r2n_timbredisc_0007.pcm	timbredisc	2	1000	530	1697	440000	RICH	RICH
r2n_pitchdisc_0116.pcm	pitchdisc	1	996	774969	779969	0	LOWER	LOWER
r2n_colordisc_0770.img	colordisc	1	953	30540	13	32840	DIFFERENT	DIFFERENT
r2a_colorconst_0408.img	colorconst	0	236	31	119	0	SAME_SURFACE	SAME_SURFACE
r2a_shapetrans_0368.img	shapetrans	2	102	31	1	360	TRIANGLE	TRIANGLE
r2a_shapetrans_0297.img	shapetrans	2	19	3	0	620	CIRCLE	CIRCLE
r2a_shapetrans_0201.img	shapetrans	0	488	143	0	890	CIRCLE	CIRCLE
r2a_colordisc_0313.img	colordisc	1	850	8532	11	10832	DIFFERENT	DIFFERENT
r2a_motiondir_0588.vid	motiondir	7	922	710	0	0	S	S
r2a_colorconst_0394.img	colorconst	1	625	167	317	0	SAME_SURFACE	SAME_SURFACE
r2a_colorconst_0500.img	colorconst	0	324	48	102	0	SAME_SURFACE	SAME_SURFACE
r2n_shapetrans_0965.img	shapetrans	1	6	1	0	622	SQUARE	SQUARE
r2n_motiondir_0026.vid	motiondir	8	800	100	0	1	STILL	STILL
r2n_shapetrans_1077.img	shapetrans	0	610	235	0	936	CIRCLE	CIRCLE
r2a_shapetrans_0019.img	shapetrans	2	102	31	1	300	TRIANGLE	TRIANGLE
r2n_motiondir_0000.vid	motiondir	0	879	436	0	0	E	E
r2a_motiondir_0370.vid	motiondir	1	836	307	0	0	NE	NE
r2n_pitchdisc_0028.pcm	pitchdisc	1	985	203178	208178	0	HIGHER	HIGHER
r2n_shapetrans_1025.img	shapetrans	2	56	9	0	617	SQUARE	SQUARE
r2n_pitchdisc_0209.pcm	pitchdisc	2	986	221827	226827	0	LOWER	LOWER
r2a_shapetrans_0245.img	shapetrans	2	102	31	1	367	TRIANGLE	TRIANGLE
r2a_colorconst_0514.img	colorconst	0	570	133	17	0	SAME_SURFACE	SAME_SURFACE
r2n_colordisc_0354.img	colordisc	1	642	2700	2	5000	SAME	SAME
r2a_pitchdisc_0527.pcm	pitchdisc	2	796	743458	748458	1	HIGHER	HIGHER
r2n_pitchdisc_0616.pcm	pitchdisc	2	995	694051	699051	0	HIGHER	HIGHER
r2n_pitchdisc_0262.pcm	pitchdisc	1	998	2017274	2022274	0	HIGHER	HIGHER
r2n_colorconst_0084.img	colorconst	0	541	118	32	0	SAME_SURFACE	SAME_SURFACE
r2a_pitchdisc_0351.pcm	pitchdisc	1	993	487024	492024	0	LOWER	LOWER
r2a_shapetrans_0478.img	shapetrans	0	416	341	1	989	CIRCLE	CIRCLE
r2n_motiondir_0272.vid	motiondir	5	886	470	0	0	SW	SW
r2n_shapetrans_0155.img	shapetrans	1	171	31	0	652	SQUARE	SQUARE
r2n_timbredisc_0247.pcm	timbredisc	2	1000	530	1697	440000	RICH	RICH
r2a_colorconst_0626.img	colorconst	0	382	62	88	0	SAME_SURFACE	SAME_SURFACE
r2a_shapetrans_0033.img	shapetrans	2	102	31	1	324	TRIANGLE	TRIANGLE
r2n_colordisc_0190.img	colordisc	0	431	1140	8	1160	SAME	SAME
r2n_colorconst_0208.img	colorconst	0	578	137	13	0	SAME_SURFACE	SAME_SURFACE
r2n_shapetrans_1011.img	shapetrans	0	557	189	0	913	CIRCLE	CIRCLE
r2a_pitchdisc_0367.pcm	pitchdisc	1	796	980796	985796	1	LOWER	LOWER
r2a_pitchdisc_0479.pcm	pitchdisc	1	797	1015816	1020816	1	HIGHER	HIGHER
r2n_colorconst_0002.img	colorconst	0	462	86	64	0	SAME_SURFACE	SAME_SURFACE
r2n_shapetrans_0607.img	shapetrans	2	171	31	0	434	TRIANGLE	TRIANGLE
r2a_pitchdisc_0441.pcm	pitchdisc	2	792	332363	337363	1	LOWER	LOWER
r2n_colordisc_0065.img	colordisc	0	605	2300	0	0	SAME	SAME
r2a_colordisc_0333.img	colordisc	1	877	10751	9	13051	DIFFERENT	DIFFERENT
r2a_colordisc_0198.img	colordisc	1	795	5847	9	8147	DIFFERENT	DIFFERENT
r2a_shapetrans_0488.img	shapetrans	1	171	31	0	641	SQUARE	SQUARE
r2n_colorconst_0010.img	colorconst	0	567	131	19	0	SAME_SURFACE	SAME_SURFACE
r2a_motiondir_0372.vid	motiondir	5	589	86	0	0	NE	NE
r2a_pitchdisc_0369.pcm	pitchdisc	2	795	498284	503284	1	LOWER	LOWER
r2a_shapetrans_0300.img	shapetrans	2	102	31	1	430	SQUARE	SQUARE
r2a_pitchdisc_0405.pcm	pitchdisc	2	792	325073	330073	1	HIGHER	HIGHER
r2n_timbredisc_0187.pcm	timbredisc	2	1000	530	1697	440000	RICH	RICH
r2a_colordisc_0275.img	colordisc	1	788	5595	12	7895	DIFFERENT	DIFFERENT
r2n_colorconst_0242.img	colorconst	0	497	99	51	0	SAME_SURFACE	SAME_SURFACE
r2a_shapetrans_0112.img	shapetrans	2	171	31	0	318	TRIANGLE	TRIANGLE
r2a_colordisc_0202.img	colordisc	1	13	20	10	2320	DIFFERENT	DIFFERENT
r2a_colordisc_0208.img	colordisc	1	894	12746	12	15046	DIFFERENT	DIFFERENT
r2a_shapetrans_0204.img	shapetrans	2	102	31	1	508	SQUARE	SQUARE
r2n_pitchdisc_0024.pcm	pitchdisc	0	625	5000	0	0	SAME	SAME
r2n_pitchdisc_0398.pcm	pitchdisc	2	994	498079	503079	0	LOWER	LOWER
r2n_colorconst_0333.img	colorconst	0	333	50	100	0	DIFFERENT	DIFFERENT
