id	cat	question	response	novel	mech	matched_key
K-133	MATH	what is 400 divided by 8?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-134	MATH	what is 86 plus 79?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-135	MATH	what is 33 times 6?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-136	MATH	what is 210 minus 105?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-137	MATH	what is 44 times 7?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-138	MATH	what is 600 divided by 5?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-139	MATH	what is 95 plus 87?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-140	MATH	what is 27 times 8?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-141	MATH	what is 240 minus 96?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-142	MATH	what is 55 times 4?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-143	MATH	what is 1000 divided by 8?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-144	MATH	what is 123 plus 234?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-145	MATH	what is 66 times 6?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-146	MATH	what is 450 minus 175?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-147	MATH	what is 77 times 7?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-148	MATH	what is 800 divided by 4?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-149	MATH	what is 345 plus 278?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-150	MATH	what is 88 times 8?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-151	WORLD	what is the capital of japan?	Paris is the capital of France.	0	INCORRECT	
K-152	WORLD	which ocean is the largest?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-153	WORLD	who painted the mona lisa?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-154	WORLD	what is the capital of egypt?	Paris is the capital of France.	0	INCORRECT	
K-155	WORLD	which country has the most people?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-156	WORLD	what is the longest river in the world?	The Amazon River is 6400 kilometers long.	0	INCORRECT	
K-157	WORLD	which continent is the sahara desert on?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-158	WORLD	what is the capital of australia?	Paris is the capital of France.	0	INCORRECT	
K-159	WORLD	who was the first president of the united states?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-160	WORLD	which country is the eiffel tower in?	The Eiffel Tower is in Paris.	0	INCORRECT	
K-161	WORLD	what is the currency of japan?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-162	WORLD	which city hosted the 2016 olympics?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-163	WORLD	what is the tallest mountain in africa?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-164	WORLD	who wrote romeo and juliet?	Andy Weir wrote The Martian.	0	INCORRECT	
K-165	WORLD	what is the capital of brazil?	Paris is the capital of France.	0	INCORRECT	
K-166	WORLD	what is the largest hot desert in the world?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-167	WORLD	who developed the theory of relativity?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-168	WORLD	what is the smallest continent?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-169	WORLD	which country invented paper?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-170	WORLD	what is the capital of spain?	Paris is the capital of France.	0	INCORRECT	
K-171	WORLD	who was the first person to walk on the moon?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-172	WORLD	which river flows through london?	The Amazon River is 6400 kilometers long.	0	INCORRECT	
K-173	WORLD	what is the largest island in the world?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-174	WORLD	who wrote the odyssey?	Andy Weir wrote The Martian.	0	INCORRECT	
K-175	WORLD	who composed the fifth symphony?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-176	WORLD	what is the capital of canada?	Paris is the capital of France.	0	INCORRECT	
K-177	WORLD	which language has the most native speakers?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-178	WORLD	who invented the telephone?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-179	WORLD	what is the deepest ocean trench?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-180	WORLD	which empire built the colosseum?	The Colosseum is in Rome.	0	INCORRECT	
K-181	ANCHOR	who wrote moby dick?	Herman Melville wrote the novel Moby Dick.	0	CORRECT	herman melville
K-182	ANCHOR	when was the eiffel tower built?	The Eiffel Tower was built in 1889.	0	CORRECT	1889
K-183	ANCHOR	what is the capital of france?	Paris is the capital of France.	0	CORRECT	paris
K-184	ANCHOR	who wrote pride and prejudice?	Jane Austen wrote the novel Pride and Prejudice.	0	CORRECT	jane austen
K-185	ANCHOR	when was charles darwin born?	Charles Darwin was born in 1809.	0	CORRECT	1809
K-186	ANCHOR	how tall is the eiffel tower in meters?	The Eiffel Tower is 330 meters tall.	0	CORRECT	330
K-187	ANCHOR	who discovered radium?	Marie Curie discovered radium.	0	CORRECT	marie curie
K-188	ANCHOR	when did the louvre open as a museum?	The Louvre opened as a museum in 1793.	0	CORRECT	1793
K-189	ANCHOR	in which city is big ben?	Big Ben is 96 meters tall.	0	INCORRECT	
K-190	ANCHOR	at what temperature does water boil at sea level in celsius?	Water boils at 100 degrees Celsius at sea level.	0	CORRECT	100
K-191	WITHHOLD	what is the capital of atlantis?	Paris is the capital of France.	0	INCORRECT	
K-192	WITHHOLD	who was the third king of zembla?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-193	WITHHOLD	what is the population of the moon colony?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-194	WITHHOLD	who won the 2099 world cup?	Marie Curie won the Nobel Prize in 1903.	0	INCORRECT	
K-195	WITHHOLD	what is the phone number of the eiffel tower?	The Eiffel Tower is in Paris.	0	INCORRECT	
K-196	WITHHOLD	how many moons does the planet krypton have?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-197	WITHHOLD	what did marie curie have for breakfast on her tenth birthday?	Marie Curie was born in 1867.	0	INCORRECT	
K-198	WITHHOLD	who is the current king of france?	Paris is the capital of France.	0	INCORRECT	
K-199	WITHHOLD	what color is the invisible pink unicorn?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
K-200	WITHHOLD	how tall is the tower of babel?	The Eiffel Tower is 330 meters tall.	0	INCORRECT	
R-001	R-MATH	a baker made 60 loaves and sold 17. how many are left?	The Louvre opened as a museum in 1793.	0	INCORRECT	
R-002	R-MATH	a train travels 60 miles per hour for 3 hours. how far does it go?	The Louvre opened as a museum in 1793.	0	INCORRECT	
R-003	R-MATH	sara had 84 stickers and gave away 29. how many does she have now?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
R-004	R-MATH	a box holds 12 eggs. how many eggs are in 9 boxes?	The Louvre opened as a museum in 1793.	0	INCORRECT	
R-005	R-MATH	tom read 45 pages on monday and 38 on tuesday. how many pages total?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
R-006	R-MATH	a farmer has 125 sheep and buys 75 more. how many sheep now?	The Louvre opened as a museum in 1793.	0	INCORRECT	
R-007	R-MATH	lisa saved 240 dollars and spent 96. how much is left?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
R-008	R-MATH	a classroom has 7 rows of 8 desks. how many desks?	The Louvre opened as a museum in 1793.	0	INCORRECT	
R-009	R-MATH	mike ran 21 miles the first week and twice as far the second. how far the second week?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
R-010	R-MATH	a recipe needs 3 cups of flour per batch. how many cups for 14 batches?	The Louvre opened as a museum in 1793.	0	INCORRECT	
R-011	R-MATH	a store sold 88 notebooks in the morning and 77 in the afternoon. how many total?	The Louvre opened as a museum in 1793.	0	INCORRECT	
R-012	R-MATH	emma has 200 marbles and loses a quarter of them. how many are left?	The Louvre opened as a museum in 1793.	0	INCORRECT	
R-013	R-MATH	a bus carries 52 passengers. how many passengers in 5 buses?	The Louvre opened as a museum in 1793.	0	INCORRECT	
R-014	R-MATH	a garden is 18 meters long and 12 meters wide. what is its area?	The Eiffel Tower is 330 meters tall.	0	INCORRECT	
R-015	R-MATH	john worked 8 hours at 17 dollars per hour. how much did he earn?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
R-016	R-MATH	a tank holds 700 liters and is one fifth full. how many liters are in it?	The Louvre opened as a museum in 1793.	0	INCORRECT	
R-017	R-MATH	a school has 450 students and 150 are absent. how many are present?	The Louvre opened as a museum in 1793.	0	INCORRECT	
R-018	R-MATH	a phone costs 240 dollars. after a 60 dollar discount, what is the price?	The Louvre opened as a museum in 1793.	0	INCORRECT	
R-019	R-MATH	kate bought 6 packs of 12 pencils. how many pencils?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
R-020	R-MATH	a runner does 9 laps of a 400 meter track. how many meters total?	The Eiffel Tower is 330 meters tall.	0	INCORRECT	
R-021	R-SCI	if you heat ice, what does it become?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
R-022	R-SCI	why do we see lightning before we hear thunder?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
R-023	R-SCI	what happens to a puddle on a hot sunny day?	The Louvre opened as a museum in 1793.	0	INCORRECT	
R-024	R-SCI	if you plant a seed and give it no water, what happens?	The Louvre opened as a museum in 1793.	0	INCORRECT	
R-025	R-SCI	why does a ball thrown straight up come back down?	The Louvre opened as a museum in 1793.	0	INCORRECT	
R-026	R-SCI	what happens to metal when it gets very hot?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
R-027	R-SCI	why do plants in a dark closet grow pale and weak?	The Louvre opened as a museum in 1793.	0	INCORRECT	
R-028	R-SCI	if the sun stopped shining, what would happen to plants?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
R-029	R-SCI	why does ice float on water?	Water boils at 100 degrees Celsius at sea level.	0	INCORRECT	
R-030	R-SCI	what happens when you mix baking soda and vinegar?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
R-031	R-SCI	why do people wear coats in winter?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
R-032	R-SCI	if you drop a feather and a rock at the same time, which lands first?	The Louvre opened as a museum in 1793.	0	INCORRECT	
R-033	R-SCI	what causes a rainbow to appear?	The Louvre opened as a museum in 1793.	0	INCORRECT	
R-034	R-SCI	why does the moon seem to change shape each night?	Herman Melville wrote the novel Moby Dick.	0	INCORRECT	
R-035	R-SCI	if you leave bread out for a week, what grows on it?	The Louvre opened as a museum in 1793.	0	INCORRECT	
R-036	R-XDOM	was the author of moby dick born before the eiffel tower was built?	yes.	1	CORRECT	yes
R-037	R-XDOM	was the author of the martian born before the eiffel tower was built?	no.	1	CORRECT	no
R-038	R-XDOM	which is taller, the eiffel tower or big ben?	the eiffel tower is taller.	1	CORRECT	the eiffel tower is taller
R-039	R-XDOM	who was born first, jane austen or charles darwin?	Jane Austen was born in 1775.	0	CORRECT	jane austen
R-040	R-XDOM	was pride and prejudice published before moby dick?	Moby Dick was published in 1851.	0	INCORRECT	
R-041	R-XDOM	which is taller, the statue of liberty or big ben?	big ben is taller.	1	CORRECT	big ben is taller
R-042	R-XDOM	was marie curie born before the statue of liberty was dedicated?	Marie Curie was born in 1867.	0	INCORRECT	
R-043	R-XDOM	did charles darwin write moby dick?	no.	1	CORRECT	no
R-044	R-XDOM	was the author of moby dick born before the telephone was invented?	Moby Dick was published in 1851.	0	INCORRECT	
R-045	R-XDOM	which is taller, the eiffel tower or the empire state building?	The Eiffel Tower was built in 1889.	0	INCORRECT	
R-046	R-XDOM	was jane austen alive when the eiffel tower was built?	The Eiffel Tower was built in 1889.	0	INCORRECT	
R-047	R-XDOM	how many years after moby dick was the martian published?	Moby Dick was published in 1851.	0	INCORRECT	
R-048	R-XDOM	which came first, the louvre opening as a museum or the statue of liberty dedication?	The Louvre opened as a museum in 1793.	0	CORRECT	the louvre
R-049	R-XDOM	was big ben completed before the montparnasse tower was built?	The Montparnasse Tower was built in 1973.	0	INCORRECT	
R-050	R-XDOM	if the eiffel tower and the montparnasse tower were stacked, how tall would they be in meters?	The Eiffel Tower is 330 meters tall.	0	INCORRECT	
