typed	truth	kind	kb_rank	bl_rank	class	ncause	bestcause	causekb	truthkb	causesub	truthsub	coll	replayok
ear	far	S1	6	2	STRICT	4	war	10	20	e>w:10	e>f:20	0	1
earm	farm	S1	2	1	STRICT	1	warm	10	20	e>w:10	e>f:20	0	1
farj	farm	S1	2	1	STRICT	1	far	15	20	L4->3	j>m:20	0	1
fark	farm	S1	2	1	STRICT	1	far	15	20	L4->3	k>m:20	0	1
east	fast	S1	2	1	STRICT	1	eat	15	20	L4->3	e>f:20	0	1
fed	few	S1	2	1	STRICT	1	red	10	20	f>r:10	d>w:20	0	1
eind	find	S1	3	1	STRICT	2	wind	10	20	e>w:10	e>f:20	0	1
tire	fire	S1	2	1	STRICT	1	tired	15	20	L4->5	t>f:20	0	1
firs	fire	S1	2	1	STRICT	1	first	15	20	L4->5	s>e:20	0	1
firet	first	S1	2	1	STRICT	1	fire	15	20	L5->4	e>s:20	0	1
firsh	first	S1	2	1	STRICT	1	fish	15	20	L5->4	h>t:20	0	1
eish	fish	S1	2	1	STRICT	1	wish	10	20	e>w:10	e>f:20	0	1
flood	floor	S1	2	1	STRICT	1	food	15	20	L5->4	d>r:20	0	1
eood	food	S1	2	1	STRICT	1	wood	10	20	e>w:10	e>f:20	0	1
tood	food	S1	4	1	STRICT	3	good	10	20	t>g:10	t>f:20	0	1
vood	food	S1	2	1	TIE	1	cold	20	20	multi	v>f:20	0	1
foor	food	S1	3	2	STRICT	1	floor	15	20	L4->5	r>d:20	0	1
eound	found	S1	2	1	STRICT	1	round	10	20	e>r:10	e>f:20	0	1
tound	found	S1	2	1	STRICT	1	round	10	20	t>r:10	t>f:20	0	1
founr	found	S1	2	1	STRICT	1	four	15	20	L5->4	r>d:20	0	1
cour	four	S1	2	1	STRICT	1	our	15	20	L4->3	c>f:20	0	1
eour	four	S1	2	1	STRICT	1	our	15	20	L4->3	e>f:20	0	1
tour	four	S1	2	1	STRICT	1	our	15	20	L4->3	t>f:20	0	1
vour	four	S1	2	1	STRICT	1	our	15	20	L4->3	v>f:20	0	1
bame	game	S1	2	1	STRICT	1	name	10	20	b>n:10	b>g:20	0	1
rave	gave	S1	2	1	TIE	1	face	20	20	multi	r>g:20	0	1
yave	gave	S1	2	1	STRICT	1	have	10	20	y>h:10	y>g:20	0	1
rive	give	S1	3	1	STRICT	2	drive	15	20	L4->5	r>g:20	0	1
gife	give	S1	2	1	TIE	1	fire	20	20	multi	f>v:20	0	1
yoing	going	S1	2	1	STRICT	1	young	10	20	i>u:10	y>g:20	0	1
vood	good	S1	3	2	TIE	1	cold	20	20	multi	v>g:20	0	1
band	hand	S1	2	1	STRICT	1	and	15	20	L4->3	b>h:20	0	1
nand	hand	S1	2	1	STRICT	1	and	15	20	L4->3	n>h:20	0	1
tand	hand	S1	3	1	STRICT	2	and	15	20	L4->3	t>h:20	0	1
uand	hand	S1	2	1	STRICT	1	and	15	20	L4->3	u>h:20	0	1
nas	has	S1	2	1	TIE	1	and	20	20	multi	n>h:20	0	1
hae	has	S1	2	1	STRICT	1	have	15	20	L3->4	e>s:20	0	1
hafe	have	S1	2	1	TIE	1	hard	20	20	multi	f>v:20	0	1
havs	have	S1	2	1	STRICT	1	has	15	20	L4->3	s>e:20	0	1
tead	head	S1	2	1	STRICT	1	read	10	20	t>r:10	t>h:20	0	1
hear	head	S1	4	2	STRICT	2	year	10	20	h>y:10	r>d:20	1	1
bear	hear	S1	2	1	STRICT	1	near	10	20	b>n:10	b>h:20	0	1
tear	hear	S1	2	1	STRICT	1	year	10	20	t>y:10	t>h:20	0	1
uear	hear	S1	2	1	STRICT	1	year	10	20	u>y:10	u>h:20	0	1
hfar	hear	S1	2	1	STRICT	1	far	15	20	L4->3	f>e:20	0	1
neart	heart	S1	2	1	STRICT	1	near	15	20	L5->4	n>h:20	0	1
headt	heart	S1	2	1	STRICT	1	head	15	20	L5->4	d>r:20	0	1
hearf	heart	S1	2	1	STRICT	1	hear	15	20	L5->4	f>t:20	0	1
hearh	heart	S1	2	1	STRICT	1	hear	15	20	L5->4	h>t:20	0	1
heafy	heavy	S1	2	1	TIE	1	heart	20	20	multi	f>v:20	0	1
tello	hello	S1	2	1	STRICT	1	tell	15	20	L5->4	t>h:20	0	1
helpo	hello	S1	2	1	STRICT	1	help	15	20	L5->4	p>l:20	0	1
hell	help	S1	2	1	STRICT	1	hello	15	20	L4->5	l>p:20	0	1
tere	here	S1	3	1	STRICT	2	tree	10	20	multi	t>h:20	0	1
hsre	here	S1	2	1	TIE	1	hard	20	20	multi	s>e:20	0	1
bigh	high	S1	2	1	TIE	1	both	20	20	multi	b>h:20	0	1
nigh	high	S1	2	1	STRICT	1	night	15	20	L4->5	n>h:20	0	1
bot	hot	S1	3	2	STRICT	1	both	15	20	L3->4	b>h:20	0	1
not	hot	S1	2	1	TIE	1	boy	20	20	multi	n>h:20	0	1
tour	hour	S1	3	2	STRICT	1	our	15	20	L4->3	t>h:20	0	1
now	how	S1	4	2	STRICT	2	know	15	20	L3->4	n>h:20	1	1
tow	how	S1	3	1	STRICT	2	two	10	20	multi	t>h:20	0	1
nust	just	S1	2	1	STRICT	1	must	10	20	n>m:10	n>j:20	0	1
onew	knew	S1	2	1	STRICT	1	one	15	20	L4->3	o>k:20	0	1
mnow	know	S1	2	1	STRICT	1	now	15	20	L4->3	m>k:20	0	1
onow	know	S1	2	1	STRICT	1	now	15	20	L4->3	o>k:20	0	1
unow	know	S1	2	1	STRICT	1	now	15	20	L4->3	u>k:20	0	1
khow	know	S1	2	1	STRICT	1	how	15	20	L4->3	h>n:20	0	1
parge	large	S1	2	1	STRICT	1	page	15	20	L5->4	p>l:20	0	1
lateg	later	S1	2	1	TIE	1	large	20	20	multi	g>r:20	0	1
pess	less	S1	2	1	STRICT	1	press	15	20	L4->5	p>l:20	0	1
lice	life	S1	2	1	STRICT	1	live	10	20	c>v:10	c>f:20	0	1
iine	line	S1	2	1	TIE	1	kind	20	20	multi	i>l:20	0	1
linf	line	S1	2	1	TIE	1	kind	20	20	multi	f>e:20	0	1
lins	line	S1	2	1	TIE	1	kind	20	20	multi	s>e:20	0	1
lonr	long	S1	2	1	TIE	1	line	20	20	multi	r>g:20	0	1
jany	many	S1	2	1	STRICT	1	any	15	20	L4->3	j>m:20	0	1
kany	many	S1	2	1	STRICT	1	any	15	20	L4->3	k>m:20	0	1
mang	many	S1	2	1	STRICT	1	man	15	20	L4->3	g>y:20	0	1
manj	many	S1	2	1	STRICT	1	man	15	20	L4->3	j>y:20	0	1
mafter	matter	S1	2	1	STRICT	1	after	15	20	L6->5	f>t:20	0	1
mfan	mean	S1	2	1	STRICT	1	man	15	20	L4->3	f>e:20	0	1
msan	mean	S1	2	1	STRICT	1	man	15	20	L4->3	s>e:20	0	1
kost	most	S1	2	1	TIE	1	list	20	20	multi	k>m:20	0	1
jother	mother	S1	2	1	STRICT	1	other	15	20	L6->5	j>m:20	0	1
kother	mother	S1	2	1	STRICT	1	other	15	20	L6->5	k>m:20	0	1
kove	move	S1	2	1	TIE	1	live	20	20	multi	k>m:20	0	1
kust	must	S1	3	2	TIE	1	list	20	20	multi	k>m:20	0	1
naje	name	S1	2	1	TIE	1	make	20	20	multi	j>m:20	0	1
hear	near	S1	5	3	STRICT	2	year	10	20	h>y:10	h>n:20	1	1
nfar	near	S1	2	1	STRICT	1	far	15	20	L4->3	f>e:20	0	1
nogth	north	S1	2	1	TIE	1	night	20	20	multi	g>r:20	0	1
onde	once	S1	2	1	STRICT	1	one	15	20	L4->3	d>c:20	0	1
onfe	once	S1	2	1	STRICT	1	one	15	20	L4->3	f>c:20	0	1
kne	one	S1	2	1	STRICT	1	knew	15	20	L3->4	k>o:20	0	1
ohe	one	S1	2	1	TIE	1	how	20	20	multi	h>n:20	0	1
ons	one	S1	2	1	TIE	1	now	20	20	multi	s>e:20	0	1
kught	ought	S1	2	1	TIE	1	light	20	20	multi	k>o:20	0	1
okght	ought	S1	2	1	TIE	1	light	20	20	multi	k>u:20	0	1
ohr	our	S1	2	1	TIE	1	hot	20	20	multi	h>u:20	0	1
lage	page	S1	2	1	STRICT	1	large	15	20	L4->5	l>p:20	0	1
pounr	pound	S1	2	1	TIE	1	point	20	20	multi	r>d:20	0	1
lress	press	S1	2	1	STRICT	1	less	15	20	L5->4	l>p:20	0	1
lut	put	S1	2	1	TIE	1	our	20	20	multi	l>p:20	0	1
puf	put	S1	2	1	TIE	1	our	20	20	multi	f>t:20	0	1
puh	put	S1	2	1	STRICT	1	push	15	20	L3->4	h>t:20	0	1
suick	quick	S1	2	1	STRICT	1	sick	15	20	L5->4	s>q:20	0	1
qhite	quite	S1	2	1	STRICT	1	white	10	20	q>w:10	h>u:20	0	1
gain	rain	S1	2	1	STRICT	1	again	15	20	L4->5	g>r:20	0	1
rajn	rain	S1	2	1	STRICT	1	ran	15	20	L4->3	j>i:20	0	1
raln	rain	S1	2	1	STRICT	1	ran	15	20	L4->3	l>i:20	0	1
geach	reach	S1	2	1	STRICT	1	teach	10	20	g>t:10	g>r:20	0	1
readh	reach	S1	3	1	STRICT	2	ready	10	20	h>y:10	d>c:20	0	1
rewd	read	S1	2	1	STRICT	1	red	15	20	L4->3	w>a:20	0	1
rezd	read	S1	2	1	STRICT	1	red	15	20	L4->3	z>a:20	0	1
reac	read	S1	2	1	STRICT	1	reach	15	20	L4->5	c>d:20	0	1
reaxy	ready	S1	2	1	TIE	1	reach	20	20	multi	x>d:20	0	1
readg	ready	S1	2	1	STRICT	1	read	15	20	L5->4	g>y:20	0	1
readj	ready	S1	2	1	STRICT	1	read	15	20	L5->4	j>y:20	0	1
rewl	real	S1	2	1	TIE	1	feel	20	20	multi	w>a:20	0	1
giver	river	S1	2	1	STRICT	1	give	15	20	L5->4	g>r:20	0	1
roqe	rose	S1	2	1	TIE	1	road	20	20	multi	q>s:20	0	1
rosf	rose	S1	2	1	TIE	1	road	20	20	multi	f>e:20	0	1
ross	rose	S1	2	1	TIE	1	road	20	20	multi	s>e:20	0	1
dun	run	S1	2	1	STRICT	1	sun	10	20	d>s:10	d>r:20	0	1
sair	said	S1	2	1	STRICT	1	air	15	20	L4->3	r>d:20	0	1
saix	said	S1	2	1	STRICT	1	six	15	20	L4->3	x>d:20	0	1
eay	say	S1	4	3	STRICT	1	way	10	20	e>w:10	e>s:20	0	1
saj	say	S1	2	1	TIE	1	ask	20	20	multi	j>y:20	0	1
ssem	seem	S1	2	1	TIE	1	same	20	20	multi	s>e:20	0	1
seek	seem	S1	2	1	STRICT	1	week	10	20	s>w:10	k>m:20	0	1
snall	shall	S1	2	1	STRICT	1	small	10	20	n>m:10	n>h:20	0	1
stare	share	S1	2	1	STRICT	1	state	10	20	r>t:10	t>h:20	0	1
stort	short	S1	2	1	STRICT	1	story	10	20	t>y:10	t>h:20	0	1
eick	sick	S1	2	1	TIE	1	rock	20	20	multi	e>s:20	0	1
qick	sick	S1	2	1	STRICT	1	quick	15	20	L4->5	q>s:20	0	1
eide	side	S1	2	1	STRICT	1	wide	10	20	e>w:10	e>s:20	0	1
qide	side	S1	2	1	STRICT	1	wide	10	20	q>w:10	q>s:20	0	1
sixe	side	S1	3	1	STRICT	2	size	10	20	x>z:10	x>d:20	0	1
sinde	since	S1	2	1	STRICT	1	side	15	20	L5->4	d>c:20	0	1
sid	six	S1	4	2	STRICT	2	said	15	20	L3->4	d>x:20	0	1
sis	six	S1	2	1	TIE	1	did	20	20	multi	s>x:20	0	1
show	snow	S1	2	1	STRICT	1	how	15	20	L4->3	h>n:20	0	1
sonr	song	S1	3	1	TIE	2	done	20	20	multi	r>g:20	0	1
eoon	soon	S1	2	1	TIE	1	room	20	20	multi	e>s:20	0	1
shand	stand	S1	2	1	STRICT	1	hand	15	20	L5->4	h>t:20	0	1
sfood	stood	S1	2	1	STRICT	1	food	15	20	L5->4	f>t:20	0	1
sucn	such	S1	2	1	STRICT	1	sun	15	20	L4->3	n>h:20	0	1
suh	sun	S1	2	1	STRICT	1	such	15	20	L3->4	h>n:20	0	1
teadh	teach	S1	2	1	TIE	1	ready	20	20	multi	d>c:20	0	1
hell	tell	S1	3	2	STRICT	1	hello	15	20	L4->5	h>t:20	0	1
tsll	tell	S1	2	1	TIE	1	talk	20	20	multi	s>e:20	0	1
hen	ten	S1	3	1	STRICT	2	then	15	20	L3->4	h>t:20	0	1
tsn	ten	S1	2	1	TIE	1	ran	20	20	multi	s>e:20	0	1
teh	ten	S1	2	1	STRICT	1	the	10	20	multi	h>n:20	0	1
thwn	than	S1	2	1	STRICT	1	then	10	20	w>e:10	w>a:20	0	1
thanm	thank	S1	2	1	STRICT	1	than	15	20	L5->4	m>k:20	0	1
thano	thank	S1	2	1	STRICT	1	than	15	20	L5->4	o>k:20	0	1
thanu	thank	S1	2	1	STRICT	1	than	15	20	L5->4	u>k:20	0	1
tue	the	S1	2	1	STRICT	1	true	15	20	L3->4	u>h:20	0	1
thsm	them	S1	2	1	TIE	1	than	20	20	multi	s>e:20	0	1
thej	them	S1	2	1	STRICT	1	the	15	20	L4->3	j>m:20	0	1
thek	them	S1	2	1	STRICT	1	the	15	20	L4->3	k>m:20	0	1
tben	then	S1	2	1	STRICT	1	ten	15	20	L4->3	b>h:20	0	1
tnen	then	S1	2	1	STRICT	1	ten	15	20	L4->3	n>h:20	0	1
tten	then	S1	2	1	STRICT	1	ten	15	20	L4->3	t>h:20	0	1
tuen	then	S1	3	1	STRICT	2	turn	10	20	e>r:10	u>h:20	0	1
thej	then	S1	3	2	STRICT	1	the	15	20	L4->3	j>n:20	0	1
fhere	there	S1	2	1	STRICT	1	here	15	20	L5->4	f>t:20	0	1
hhere	there	S1	2	1	STRICT	1	here	15	20	L5->4	h>t:20	0	1
thede	there	S1	2	1	STRICT	1	these	10	20	d>s:10	d>r:20	0	1
theee	these	S1	3	2	STRICT	1	three	10	20	e>r:10	e>s:20	0	1
thougt	though	S1	2	1	STRICT	1	thought	15	20	L6->7	t>h:20	0	1
thoughf	thought	S1	2	1	STRICT	1	though	15	20	L7->6	f>t:20	0	1
thoughh	thought	S1	2	1	STRICT	1	though	15	20	L7->6	h>t:20	0	1
tbree	three	S1	2	1	STRICT	1	tree	15	20	L5->4	b>h:20	0	1
tnree	three	S1	2	1	STRICT	1	tree	15	20	L5->4	n>h:20	0	1
ttree	three	S1	2	1	STRICT	1	tree	15	20	L5->4	t>h:20	0	1
turee	three	S1	2	1	STRICT	1	tree	15	20	L5->4	u>h:20	0	1
thdee	three	S1	2	1	TIE	1	there	20	20	multi	d>r:20	0	1
thrfe	three	S1	2	1	TIE	1	there	20	20	multi	f>e:20	0	1
thres	three	S1	2	1	TIE	1	these	20	20	multi	s>e:20	0	1
thdough	through	S1	2	1	STRICT	1	though	15	20	L7->6	d>r:20	0	1
thgough	through	S1	2	1	STRICT	1	though	15	20	L7->6	g>r:20	0	1
fired	tired	S1	2	1	STRICT	1	fire	15	20	L5->4	f>t:20	0	1
tjred	tired	S1	2	1	TIE	1	three	20	20	multi	j>i:20	0	1
fold	told	S1	5	3	STRICT	2	old	15	20	L4->3	f>t:20	0	1
hold	told	S1	3	2	STRICT	2	old	15	20	L4->3	h>t:20	0	1
toid	told	S1	2	1	TIE	1	good	20	20	multi	i>l:20	0	1
topd	told	S1	3	1	STRICT	2	top	15	20	L4->3	p>l:20	0	1
tol	top	S1	2	1	STRICT	1	told	15	20	L3->4	l>p:20	0	1
fown	town	S1	3	2	STRICT	1	own	15	20	L4->3	f>t:20	0	1
hown	town	S1	3	2	STRICT	2	how	15	20	L4->3	h>t:20	0	1
hree	tree	S1	3	2	STRICT	1	three	15	20	L4->5	h>t:20	0	1
hwo	two	S1	3	2	STRICT	1	who	10	20	multi	h>t:20	0	1
fery	very	S1	2	1	TIE	1	feet	20	20	multi	f>v:20	0	1
waif	wait	S1	2	1	TIE	1	said	20	20	multi	f>t:20	0	1
wwnt	want	S1	2	1	STRICT	1	went	10	20	w>e:10	w>a:20	0	1
wad	war	S1	2	1	STRICT	1	was	10	20	d>s:10	d>r:20	0	1
wag	war	S1	2	1	TIE	1	eat	20	20	multi	g>r:20	0	1
warj	warm	S1	2	1	STRICT	1	war	15	20	L4->3	j>m:20	0	1
wae	was	S1	4	2	STRICT	2	wave	15	20	L3->4	e>s:20	0	1
wasb	wash	S1	2	1	STRICT	1	was	15	20	L4->3	b>h:20	0	1
wasn	wash	S1	2	1	STRICT	1	was	15	20	L4->3	n>h:20	0	1
wasu	wash	S1	2	1	STRICT	1	was	15	20	L4->3	u>h:20	0	1
wavs	wave	S1	2	1	STRICT	1	was	15	20	L4->3	s>e:20	0	1
day	way	S1	4	3	TIE	1	eat	20	20	multi	d>w:20	1	1
deek	week	S1	2	1	TIE	1	feel	20	20	multi	d>w:20	0	1
aeight	weight	S1	2	1	STRICT	1	eight	15	20	L6->5	a>w:20	0	1
deight	weight	S1	2	1	STRICT	1	eight	15	20	L6->5	d>w:20	0	1
wsll	well	S1	2	1	TIE	1	walk	20	20	multi	s>e:20	0	1
wten	when	S1	2	1	STRICT	1	ten	15	20	L4->3	t>h:20	0	1
wbere	where	S1	2	1	STRICT	1	were	15	20	L5->4	b>h:20	0	1
wnere	where	S1	2	1	STRICT	1	were	15	20	L5->4	n>h:20	0	1
wtere	where	S1	2	1	STRICT	1	were	15	20	L5->4	t>h:20	0	1
wuere	where	S1	2	1	STRICT	1	were	15	20	L5->4	u>h:20	0	1
whsre	where	S1	2	1	TIE	1	share	20	20	multi	s>e:20	0	1
wnile	while	S1	2	1	TIE	1	smile	20	20	multi	n>h:20	0	1
whlle	while	S1	2	1	STRICT	1	whole	10	20	l>o:10	l>i:20	0	1
wtite	white	S1	2	1	STRICT	1	write	10	20	t>r:10	t>h:20	0	1
wuite	white	S1	3	2	TIE	1	quiet	20	20	multi	u>h:20	0	1
dide	wide	S1	3	2	STRICT	1	did	15	20	L4->3	d>w:20	0	1
wixe	wide	S1	2	1	TIE	1	size	20	20	multi	x>d:20	0	1
dife	wife	S1	3	2	TIE	2	fire	20	20	multi	d>w:20	0	1
wiee	wife	S1	3	2	TIE	1	side	20	20	multi	e>f:20	0	1
wite	wife	S1	3	2	STRICT	2	white	15	20	L4->5	t>f:20	0	1
dill	will	S1	2	1	TIE	1	full	20	20	multi	d>w:20	0	1
womwn	woman	S1	2	1	STRICT	1	women	10	20	w>e:10	w>a:20	0	1
dord	word	S1	2	1	TIE	1	does	20	20	multi	d>w:20	0	1
worde	words	S1	2	1	STRICT	1	word	15	20	L5->4	e>s:20	0	1
wordq	words	S1	2	1	STRICT	1	word	15	20	L5->4	q>s:20	0	1
wordx	words	S1	2	1	STRICT	1	word	15	20	L5->4	x>s:20	0	1
wordz	words	S1	2	1	STRICT	1	word	15	20	L5->4	z>s:20	0	1
worid	world	S1	2	1	STRICT	1	word	15	20	L5->4	i>l:20	0	1
worpd	world	S1	2	1	STRICT	1	word	15	20	L5->4	p>l:20	0	1
wrife	write	S1	2	1	STRICT	1	wife	15	20	L5->4	f>t:20	0	1
yfar	year	S1	2	1	STRICT	1	far	15	20	L4->3	f>e:20	0	1
ges	yes	S1	2	1	TIE	1	few	20	20	multi	g>y:20	0	1
jes	yes	S1	2	1	TIE	1	use	20	20	multi	j>y:20	0	1
yss	yes	S1	2	1	TIE	1	has	20	20	multi	s>e:20	0	1
