trial_idx,fixture_id,fixture_path,task,truth,stratum,judgment,confidence,measure,operations,percept_bytes,program,tests,decision,chain_hash
59,r21a_colorconst_151,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,499,4611,29,,,WITHHOLD,9c09860a5b15f3e7bc4f6c9f6c746f429ad6613473c7d9a6add28cd5727553d7
60,r21a_colorconst_152,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,223,4611,29,,,WITHHOLD,4cf718579de5584a932809dc980cd33b58c306568104e8c93befb95ce4aa9bcf
61,r21a_colorconst_153,,colorconst,DIFFERENT,gen_adv,SAME_SURFACE,low,141,4611,31,,,WITHHOLD,af951860692039a8df469aafb220fa5040587081ad1eea7a84ad7aba6ee92d6a
62,r21a_colorconst_154,,colorconst,SAME_SURFACE,gen_adv,SAME_SURFACE,low,139,4611,31,,,INSTALL,af57468099bedd64c6c4129d4ade48770dbac9d73314e53389f2fb2fd199aa42
63,r21a_colorconst_155,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,689,4611,29,,,INSTALL,287801a6b0b207ceefd5d5c57523d5f5d72c11a209dd7742701851fd72ccf1e7
64,r21a_colorconst_156,,colorconst,SAME_SURFACE,gen_adv,SAME_SURFACE,high,62,4611,31,,,INSTALL,d131e7d6347e0e5c10f0781471984f8601414d1506f1d433f83119cefdfc38d0
65,r21a_colorconst_157,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,509,4611,29,,,INSTALL,67a38d84467df54a954f010879d824123bc7761a356a12eadd42c1d5e2add456
66,r21a_colorconst_158,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,840,4611,29,,,WITHHOLD,4774e95e1b710c751270ae069d3c79d7a354bc36a410ec72c00a33d348f709ee
67,r21a_colorconst_159,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,314,4611,29,,,WITHHOLD,9763ec4ff1a71d2a866eff897ec87ba0d408d456329847ee66aad255a207c4d5
68,r21a_colorconst_16,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,364,4611,29,,,WITHHOLD,906b5b8a8a424e2aa475b67072b9ff4a9c6c51028710c47091557b55ad074ba9
69,r21a_colorconst_160,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,898,4611,29,,,WITHHOLD,1daad25832df6856890d566da327225a7d5c031831476625e20bcdb361060c1a
70,r21a_colorconst_161,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,975,4611,29,,,INSTALL,8f5b5b69783e93b16af0ea6f60936ab00d0451ac10df5a4cf6deef0ce4f5ac9c
71,r21a_colorconst_162,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,344,4611,29,,,WITHHOLD,f04cadc35b1b76abe61a8f71d18577741bba3df1d83fae57858fc3ef6b06fabb
72,r21a_colorconst_163,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,625,4611,29,,,INSTALL,edbad8ba01cfa16db844e7fb2f739fc31b826b01948b10839c30f97393963e54
73,r21a_colorconst_164,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,333,4611,29,,,WITHHOLD,40791f82cbdf982a771ddedd34a0e0fdd342554745a07a0f35069255effd7822
74,r21a_colorconst_165,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,372,4611,29,,,INSTALL,9949815161539a034e689a030ef72321bd5a42026c80f3f0692bce3f177b101a
75,r21a_colorconst_166,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,544,4611,29,,,WITHHOLD,73b829f1faa50d59e67303e71b70ca4f51c9b657faf7d765a36e68dce3669851
76,r21a_colorconst_167,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,409,4611,29,,,INSTALL,2ebc5e7d142280324e0dd4bc581299ffa3026685ab145855093d31d7a8bad6e8
77,r21a_colorconst_168,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,942,4611,29,,,WITHHOLD,1b085be5c1baceac06f8544b7aa5d12973da7ccdee5b70413ab37364a5600159
78,r21a_colorconst_169,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,221,4611,29,,,INSTALL,5e3913281b43d43fbf247579f2878d3afdbd3c466f95b551cc60da19c694bd61
79,r21a_colorconst_17,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,459,4611,29,,,INSTALL,737b824a2a07ca9cfb7ae323d6e85358f3ac45373bea5967b96784d4b842ea60
80,r21a_colorconst_170,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,586,4611,29,,,WITHHOLD,ca5f349da961b004ff71e7926c86952f804afe84629be920af4012e3a9ed8bc0
81,r21a_colorconst_171,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,516,4611,29,,,INSTALL,f667f99cb11a8da71245df98473688850c8b2abca92f7cc042137accb4f35056
82,r21a_colorconst_172,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,612,4611,29,,,WITHHOLD,a7edde7544aec51b58fec715c48ae221311e46bb8ed2805b7fc0bac620eed292
83,r21a_colorconst_173,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,366,4611,29,,,INSTALL,9ec2d92a38751fb86f86609d8ee969d480a190e976083d08bcd24e704d8458f2
84,r21a_colorconst_174,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,742,4611,29,,,WITHHOLD,47618aca0c015fa9a65c23e22fbf9af6a42dcfc8653ac51c6c2078290c10d7ea
85,r21a_colorconst_175,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,461,4611,29,,,INSTALL,968ed969d8284855752ecc544cf9c4ab271360775acfdf689d21ebda11969690
86,r21a_colorconst_176,,colorconst,SAME_SURFACE,gen_adv,SAME_SURFACE,low,120,4611,31,,,INSTALL,5ff2cb97d666197dc0bb82997023e7356f3b26ff9ac326a6a5e23161c0e2c40a
87,r21a_colorconst_177,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,481,4611,29,,,INSTALL,d0e2286655ff566cf08eaf61470e48fb4e2cfcb8db7410b4fec32f7e283005d8
88,r21a_colorconst_178,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,348,4611,29,,,WITHHOLD,e229ca81f9a14c1c5b35bafb90803d7ba8c8bb9dde9db00a455f8cbe92269642
89,r21a_colorconst_179,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,367,4611,29,,,INSTALL,928205689a7ec3a9865bd3f5857ef0c6d45ee25830cefb71558eb3ff0805ea9e
90,r21a_colorconst_18,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,380,4611,29,,,WITHHOLD,02d83256705c8e26528721fef1212925a5c645acc3a979eb62613a97ac0ef67a
91,r21a_colorconst_180,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,681,4611,29,,,WITHHOLD,38627ae5981ffe6d5557e84004a55d6973193354abc192a0dbae3fb0fd14a27a
92,r21a_colorconst_181,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,763,4611,29,,,INSTALL,3a3570ac357cfc8c29b66519eb5bb2c1e44c99a185654c5bd6afb76bc2fcd458
93,r21a_colorconst_182,,colorconst,SAME_SURFACE,gen_adv,SAME_SURFACE,low,121,4611,31,,,INSTALL,f849c4df28f97099085b0b2ec29b6bbb5263dd139964bfa7c07d5db646ddef3d
94,r21a_colorconst_183,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,822,4611,29,,,INSTALL,74301889e467400258e7a64863f1a1f170e5857981603e5e2f60ac24e73ee44d
95,r21a_colorconst_184,,colorconst,SAME_SURFACE,gen_adv,SAME_SURFACE,high,76,4611,31,,,INSTALL,36f3da3a98999c4e6429e795de06ecc5b5ecfcfb18054bbf61212acefb38c31d
96,r21a_colorconst_185,,colorconst,DIFFERENT,gen_adv,SAME_SURFACE,low,139,4611,31,,,INSTALL,e510170ab07766f3d6cb9bd12a17dbb45e5a2592b67595cb5109c47fed6733a6
97,r21a_colorconst_186,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,691,4611,29,,,WITHHOLD,08c8bf539868a44636faf6ac8272b6e7bba46c966caa405738d24672c3ef8c1e
98,r21a_colorconst_187,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,666,4611,29,,,INSTALL,85ed61c11d6133a4787dc6d6730c45a24843801324fb1b46e42cfa6eda679bce
99,r21a_colorconst_188,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,282,4611,29,,,WITHHOLD,f4cb75fee37df7b3f45154cd7d94dbfed581fce009752123b1284334f826a364
100,r21a_colorconst_189,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,971,4611,29,,,INSTALL,8a3189831c66bef6c8319f85fa25a9553e51bb3ee8a175381097f071961c5b7e
101,r21a_colorconst_19,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,1067,4611,30,,,INSTALL,53407cfcfd832e9a71221ef5df9f2261a502b7779919642010f424b860eb7580
102,r21a_colorconst_190,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,low,173,4611,28,,,WITHHOLD,77873b9f3eb264bcd801ca153bdb37a1745ebe6d78e5f9d91ad0b4c875d44b03
103,r21a_colorconst_191,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,681,4611,29,,,INSTALL,79ca7cd6b05f80ad8c76f3099027ad7b43c0ccafc43b82ae49ab2cf9ce862fbe
104,r21a_colorconst_192,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,low,155,4611,28,,,WITHHOLD,952b6890d8d21053f4cdaab565313b63d0eec341f18c60b1af4466dd83f2cfed
105,r21a_colorconst_193,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,822,4611,29,,,INSTALL,fdcef744e74a38dfc7bd566016d35a9fd9fa58318c65ab0d4505b7f5ea01740a
106,r21a_colorconst_194,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,959,4611,29,,,WITHHOLD,d7a22d14930fee1b7a2fbcd753e288a062967831a064cecf045e90aa73104abe
107,r21a_colorconst_195,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,424,4611,29,,,INSTALL,f41fef6356f2b1dddf904799d656c534672e321c35f7806b14e2936b4edaf1c2
108,r21a_colorconst_196,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,720,4611,29,,,WITHHOLD,ff865c49c7cc38e08988c27bd3bcf47853e0bbd09023c7f28c4947268f796079
109,r21a_colorconst_197,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,936,4611,29,,,INSTALL,91ca5def683f11d6cd9c19e88cf6fdee00cc2b209eef436a883468c7e9d89e4b
110,r21a_colorconst_198,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,211,4611,29,,,WITHHOLD,791ff91d3d91145b3094bd080be2082b858064fc1a6eb91277e14e066e9c85e4
111,r21a_colorconst_199,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,593,4611,29,,,INSTALL,af9a3e5c67838b0331bd31dd43a227cfde0a0a3e592f47638ab10aa5ca4af103
112,r21a_colorconst_2,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,816,4611,29,,,WITHHOLD,ba26e726840f72b247e697b5f099cec2e5f1ab9152c10145ffde046d714c36bf
113,r21a_colorconst_20,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,913,4611,29,,,WITHHOLD,199c449fc1534928a3258dd1523cd8be529a130d0bb6a6630dfa54de9c49fd33
114,r21a_colorconst_200,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,671,4611,29,,,WITHHOLD,076d1acb120ed7055721dd8c658bbc7b050a02b6bbd71b9e44ddcd7f00095782
115,r21a_colorconst_201,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,566,4611,29,,,INSTALL,6c9c7a7d2f8cec2a2ed5c898a70f2b532633693f66390a7cbdaac9818029d19a
116,r21a_colorconst_202,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,228,4611,29,,,WITHHOLD,479a8edeff2c9a8021a6e0c7ce78b981d625a0fe897eca339f66fef76e8539a6
117,r21a_colorconst_203,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,393,4611,29,,,INSTALL,4851666efb8c39e8fa3126157a424efdbe2b0747cf815a168a784ecd16f1715b
118,r21a_colorconst_204,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,947,4611,29,,,WITHHOLD,e3791bc4c9dec6f8f47c77e353cb4b45239d1a401a059dd3c97dad085379fa66
119,r21a_colorconst_205,,colorconst,DIFFERENT,gen_adv,SAME_SURFACE,low,102,4611,31,,,INSTALL,1c325db2e3649fe29d70d5503b14834f28a0a1b24ccc4f784fc7b09609aea2c0
120,r21a_colorconst_206,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,217,4611,29,,,WITHHOLD,360ffa107109f2152be9af57cbdd35a2b496375c335293f95c4a490d0db7bcf3
121,r21a_colorconst_207,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,1402,4611,30,,,INSTALL,a9b1012987713c8e6c749613a4515e92aa88139023f1fe98f13f66641b8798a6
122,r21a_colorconst_208,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,365,4611,29,,,WITHHOLD,384dc85acad39fc0d4c5966cf979ab9953e5fc39decdad22dc3e89f37c596cb8
123,r21a_colorconst_209,,colorconst,DIFFERENT,gen_adv,DIFFERENT,low,153,4611,28,,,WITHHOLD,f95756cfa14c18a2dd6e6551ac32fd766635ba53b31f3984998315a06e98ea83
124,r21a_colorconst_21,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,722,4611,29,,,INSTALL,b8794f9f6792fcac8e2307cc3f00f9b1f68a9982fca7a0723ffa72ff0a3dddc3
125,r21a_colorconst_210,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,920,4611,29,,,WITHHOLD,84e27cd5588450b7e1ba74c192458572023dbce8cb6230412ac85b7f28375efe
126,r21a_colorconst_211,,colorconst,DIFFERENT,gen_adv,DIFFERENT,low,210,4611,28,,,INSTALL,81969f3a8f7b40e8827bd3d4c6088821959c3a2f7a2c26dfc64fda76a8230c1e
127,r21a_colorconst_212,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,785,4611,29,,,WITHHOLD,f93027db1b335e5dea989e3bb6ec78c76ebfabdb646b830edd97314236291b9e
128,r21a_colorconst_213,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,329,4611,29,,,INSTALL,94ca64044199c7a93eb5216069c40039fd586892745e4d7acd2374869583a088
129,r21a_colorconst_214,,colorconst,SAME_SURFACE,gen_adv,SAME_SURFACE,high,2,4611,30,,,INSTALL,0e5be208599a7c5113de9d17602f520ef52feef7aa897a76ee9921023492718d
130,r21a_colorconst_215,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,703,4611,29,,,INSTALL,55b6328d25755d71bc1ff6d2881a355d52829a83992ddea9010ed38ec75e31d4
131,r21a_colorconst_216,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,high,495,4611,29,,,WITHHOLD,0931f10dbdcff50c1eb991f89f9e581285823c44e32cd3648a4fe5882cc500a2
132,r21a_colorconst_217,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,710,4611,29,,,INSTALL,6cfad99eaa07d309aa48a0cff06210a995e4dbd4715f4cac19d73a9163ada10c
133,r21a_colorconst_218,,colorconst,SAME_SURFACE,gen_adv,DIFFERENT,low,194,4611,28,,,WITHHOLD,d247103f80e9229d6ef87bd3721e52d07b1d02d15168a3de6fc7c183da564cbd
134,r21a_colorconst_219,,colorconst,DIFFERENT,gen_adv,DIFFERENT,high,260,4611,29,,,INSTALL,021d4ce088a184548c75eeb5faf111c82beebf403acb135f169b9357d5e434d8
