replica,phase,checkpoint,arm,changed_coefficients,l1_delta,accepted_updates
1,1,11,0,112,17431,377
1,1,11,1,112,10802,390
1,1,11,2,108,14846,353
1,1,11,3,24,267,47
1,1,12,0,109,15078,384
1,1,12,1,110,12109,390
1,1,12,2,104,15277,344
1,1,12,3,21,162,45
1,1,13,0,112,23514,370
1,1,13,1,101,10197,279
1,1,13,2,106,7967,330
1,1,13,3,21,175,33
1,1,14,0,112,26264,391
1,1,14,1,108,13195,345
1,1,14,2,112,7941,366
1,1,14,3,13,52,18
1,1,15,0,113,17117,380
1,1,15,1,110,7700,323
1,1,15,2,109,7286,360
1,1,15,3,0,0,0
1,1,16,0,108,15467,387
1,1,16,1,106,7972,305
1,1,16,2,110,7350,353
1,1,16,3,0,0,0
1,1,17,0,111,23861,362
1,1,17,1,105,7461,323
1,1,17,2,106,6982,328
1,1,17,3,0,0,0
1,1,18,0,113,26034,383
1,1,18,1,106,10534,336
1,1,18,2,110,12505,338
1,1,18,3,0,0,0
1,1,19,0,113,17317,376
1,1,19,1,108,7412,333
1,1,19,2,104,11642,334
1,1,19,3,0,0,0
1,1,20,0,111,15435,382
1,1,20,1,110,11517,358
1,1,20,2,106,12053,319
1,1,20,3,0,0,0
1,1,21,0,113,24403,375
1,1,21,1,101,8833,325
1,1,21,2,102,6472,316
1,1,21,3,0,0,0
1,1,22,0,113,26226,386
1,1,22,1,106,8491,350
1,1,22,2,108,8627,345
1,1,22,3,0,0,0
1,1,23,0,113,17097,394
1,1,23,1,100,10008,319
1,1,23,2,109,7599,341
1,1,23,3,0,0,0
1,1,24,0,110,15369,388
1,1,24,1,108,10282,348
1,1,24,2,108,7937,342
1,1,24,3,0,0,0
1,1,25,0,113,24249,367
1,1,25,1,106,5719,333
1,1,25,2,101,7361,291
1,1,25,3,0,0,0
1,1,26,0,113,26173,388
1,1,26,1,105,8709,325
1,1,26,2,108,12717,343
1,1,26,3,0,0,0
1,1,27,0,111,17088,392
1,1,27,1,109,7753,341
1,1,27,2,106,11693,332
1,1,27,3,0,0,0
1,1,28,0,112,15327,400
1,1,28,1,103,6325,346
1,1,28,2,106,12225,329
1,1,28,3,0,0,0
1,1,29,0,111,24379,375
1,1,29,1,106,12212,312
1,1,29,2,103,10896,300
1,1,29,3,0,0,0
1,1,30,0,113,26368,389
1,1,30,1,112,13080,360
1,1,30,2,110,13507,362
1,1,30,3,0,0,0
1,1,31,0,113,17028,384
1,1,31,1,110,10901,342
1,1,31,2,113,13126,369
1,1,31,3,0,0,0
1,1,32,0,113,15553,390
1,1,32,1,100,8959,284
1,1,32,2,111,13030,367
1,1,32,3,0,0,0
2,0,1,0,108,34261,374
2,0,2,0,109,31620,375
2,0,3,0,113,28196,378
2,0,4,0,113,16406,383
2,1,1,0,112,26954,388
2,1,1,1,108,8856,353
2,1,1,2,110,8259,338
2,1,1,3,112,26954,388
2,1,2,0,113,32589,380
2,1,2,1,106,6510,301
2,1,2,2,107,11605,321
2,1,2,3,94,5820,299
2,1,3,0,108,28008,367
2,1,3,1,104,13509,307
2,1,3,2,110,9420,335
2,1,3,3,84,2239,230
2,1,4,0,110,16537,384
2,1,4,1,109,5928,338
2,1,4,2,108,10315,317
2,1,4,3,65,1595,166
2,1,5,0,109,26230,382
2,1,5,1,104,7086,324
2,1,5,2,107,8513,305
2,1,5,3,55,930,149
2,1,6,0,112,31813,375
2,1,6,1,108,7410,346
2,1,6,2,113,17018,363
2,1,6,3,51,846,132
2,1,7,0,113,27927,377
2,1,7,1,109,12149,355
2,1,7,2,106,15923,336
2,1,7,3,48,852,116
2,1,8,0,113,16381,372
2,1,8,1,108,8975,337
2,1,8,2,108,16078,354
2,1,8,3,43,705,109
2,1,9,0,112,26437,383
2,1,9,1,98,10744,299
2,1,9,2,110,9644,305
2,1,9,3,36,512,88
2,1,10,0,112,31672,379
2,1,10,1,108,16503,346
2,1,10,2,108,10129,359
2,1,10,3,31,375,82
2,1,11,0,112,28050,383
2,1,11,1,111,12582,354
2,1,11,2,104,9432,316
2,1,11,3,27,410,78
2,1,12,0,113,16740,386
2,1,12,1,111,11580,376
2,1,12,2,108,9603,325
2,1,12,3,33,502,86
2,1,13,0,112,26351,387
2,1,13,1,106,13302,352
2,1,13,2,104,9313,332
2,1,13,3,30,368,81
2,1,14,0,113,31547,386
2,1,14,1,107,20004,347
2,1,14,2,107,16341,337
2,1,14,3,36,462,86
2,1,15,0,112,27957,383
2,1,15,1,109,8474,329
2,1,15,2,105,14952,323
2,1,15,3,28,265,54
2,1,16,0,113,16765,386
2,1,16,1,112,10872,360
2,1,16,2,104,15340,329
2,1,16,3,31,186,54
2,1,17,0,113,26100,384
2,1,17,1,103,9797,323
2,1,17,2,109,9716,308
2,1,17,3,29,319,68
2,1,18,0,108,31462,380
2,1,18,1,106,8584,314
2,1,18,2,113,8248,349
2,1,18,3,25,264,51
2,1,19,0,110,27672,376
2,1,19,1,106,10134,339
2,1,19,2,110,7480,343
2,1,19,3,27,221,56
2,1,20,0,112,16785,386
2,1,20,1,107,5913,350
2,1,20,2,110,7565,327
2,1,20,3,28,344,60
2,1,21,0,110,25853,372
2,1,21,1,109,6231,338
2,1,21,2,106,10363,330
2,1,21,3,27,172,49
2,1,22,0,112,31387,390
2,1,22,1,108,5262,315
2,1,22,2,113,17097,345
2,1,22,3,23,173,39
2,1,23,0,110,27829,375
2,1,23,1,105,12127,346
2,1,23,2,112,15523,336
2,1,23,3,21,342,55
2,1,24,0,113,16866,390
2,1,24,1,111,8064,327
2,1,24,2,111,16125,338
2,1,24,3,14,254,32
2,1,25,0,115,25987,393
2,1,25,1,103,13834,301
2,1,25,2,95,8069,287
2,1,25,3,18,154,38
2,1,26,0,114,31432,381
2,1,26,1,106,19842,342
2,1,26,2,106,7757,321
2,1,26,3,21,271,42
2,1,27,0,109,27808,369
2,1,27,1,105,12463,355
2,1,27,2,107,6631,309
2,1,27,3,10,89,25
2,1,28,0,112,16827,381
2,1,28,1,110,10806,375
2,1,28,2,107,7441,321
2,1,28,3,18,142,33
2,1,29,0,113,25551,388
2,1,29,1,106,11745,321
2,1,29,2,108,9092,316
2,1,29,3,13,70,27
2,1,30,0,110,31276,386
2,1,30,1,107,18459,319
2,1,30,2,112,15037,341
2,1,30,3,14,60,30
2,1,31,0,110,27686,382
2,1,31,1,106,12440,347
2,1,31,2,109,13521,326
2,1,31,3,14,106,30
2,1,32,0,110,16703,378
2,1,32,1,108,12179,353
2,1,32,2,107,14036,326
2,1,32,3,22,266,44
