replica,checkpoint,arm,cohort,reachable,known,no_unique,union,union_lost,union_rescued,hybrid,hybrid_lost,hybrid_rescued,anchor_lost,anchor_gained,t0success,t0unknown,t0wrong
0,0,2,A,519,401,118,520,4,3,518,3,4,0,0,360,154,26
0,0,2,B,521,405,116,527,8,2,519,2,4,0,0,339,177,24
0,0,2,C,523,409,114,528,8,3,523,3,3,0,0,337,165,38
0,0,2,D,528,412,116,531,5,2,526,1,3,0,0,359,151,30
0,0,3,A,519,401,118,520,4,3,518,3,4,0,0,360,154,26
0,0,3,B,521,405,116,527,8,2,519,2,4,0,0,339,177,24
0,0,3,C,523,409,114,528,8,3,523,3,3,0,0,337,165,38
0,0,3,D,528,412,116,531,5,2,526,1,3,0,0,359,151,30
0,0,4,A,519,401,118,520,4,3,518,3,4,0,0,360,154,26
0,0,4,B,521,405,116,527,8,2,519,2,4,0,0,339,177,24
0,0,4,C,523,409,114,528,8,3,523,3,3,0,0,337,165,38
0,0,4,D,528,412,116,531,5,2,526,1,3,0,0,359,151,30
0,1,0,A,517,399,118,520,4,1,518,2,1,5,3,358,154,28
0,1,0,B,521,406,115,527,9,3,519,4,6,2,2,338,178,24
0,1,0,C,522,408,114,528,9,3,523,4,3,3,2,336,166,38
0,1,0,D,527,411,116,531,6,2,526,2,3,1,0,360,150,30
0,1,1,A,517,399,118,520,4,1,518,2,1,4,2,358,152,30
0,1,1,B,521,405,116,527,8,2,519,3,5,1,1,337,176,27
0,1,1,C,522,407,115,528,8,2,523,3,2,2,1,339,163,38
0,1,1,D,528,412,116,531,5,2,526,1,3,0,0,359,150,31
0,1,2,A,519,400,119,520,2,1,518,1,2,2,2,360,154,26
0,1,2,B,523,406,117,527,7,3,519,2,6,0,2,338,178,24
0,1,2,C,524,408,116,528,7,3,523,2,3,2,3,337,165,38
0,1,2,D,530,413,117,531,4,3,526,0,4,0,2,359,151,30
0,1,3,A,517,399,118,520,4,1,518,2,1,5,3,358,154,28
0,1,3,B,521,406,115,527,9,3,519,4,6,2,2,338,178,24
0,1,3,C,522,408,114,528,9,3,523,4,3,3,2,336,166,38
0,1,3,D,527,411,116,531,6,2,526,2,3,1,0,360,150,30
0,1,4,A,519,401,118,520,4,3,518,3,4,0,0,360,154,26
0,1,4,B,521,405,116,527,8,2,519,2,4,0,0,339,177,24
0,1,4,C,523,409,114,528,8,3,523,3,3,0,0,337,165,38
0,1,4,D,528,412,116,531,5,2,526,1,3,0,0,359,151,30
0,2,0,A,518,401,117,520,5,3,518,3,3,6,5,355,147,38
0,2,0,B,520,405,115,527,10,3,519,4,5,3,2,332,169,39
0,2,0,C,523,410,113,528,11,6,523,6,6,5,5,341,153,46
0,2,0,D,532,415,117,531,4,5,526,0,6,0,4,364,139,37
0,2,1,A,518,400,118,520,4,2,518,2,2,5,4,359,150,31
0,2,1,B,521,406,115,527,9,3,519,4,6,2,2,336,175,29
0,2,1,C,522,409,113,528,11,5,523,6,5,5,4,339,161,40
0,2,1,D,529,412,117,531,5,3,526,1,4,1,2,359,149,32
0,2,2,A,520,401,119,520,2,2,518,1,3,3,4,358,152,30
0,2,2,B,522,406,116,527,8,3,519,3,6,1,2,337,176,27
0,2,2,C,525,412,113,528,10,7,523,5,7,3,5,339,160,41
0,2,2,D,528,412,116,531,5,2,526,1,3,0,0,360,148,32
0,2,3,A,517,399,118,520,4,1,518,2,1,5,3,359,155,26
0,2,3,B,521,406,115,527,9,3,519,4,6,2,2,338,178,24
0,2,3,C,520,408,112,528,11,3,523,6,3,5,2,337,165,38
0,2,3,D,526,410,116,531,7,2,526,3,3,2,0,360,150,30
0,2,4,A,519,401,118,520,4,3,518,3,4,0,0,360,154,26
0,2,4,B,521,405,116,527,8,2,519,2,4,0,0,339,177,24
0,2,4,C,523,409,114,528,8,3,523,3,3,0,0,337,165,38
0,2,4,D,528,412,116,531,5,2,526,1,3,0,0,359,151,30
0,3,0,A,520,401,119,520,5,5,518,4,6,3,4,359,153,28
0,3,0,B,523,406,117,527,7,3,519,2,6,0,2,338,176,26
0,3,0,C,521,407,114,528,11,4,523,6,4,5,3,338,164,38
0,3,0,D,529,412,117,531,6,4,526,2,5,2,3,360,149,31
0,3,1,A,519,400,119,520,2,1,518,1,2,3,3,358,154,28
0,3,1,B,521,406,115,527,9,3,519,4,6,2,2,336,177,27
0,3,1,C,525,410,115,528,8,5,523,3,5,2,4,339,163,38
0,3,1,D,530,413,117,531,4,3,526,0,4,0,2,359,149,32
0,3,2,A,517,398,119,520,4,1,518,3,2,4,2,358,154,28
0,3,2,B,522,406,116,527,8,3,519,3,6,1,2,338,177,25
0,3,2,C,524,409,115,528,8,4,523,3,4,2,3,337,165,38
0,3,2,D,528,412,116,531,6,3,526,2,4,1,1,359,151,30
0,3,3,A,517,399,118,520,4,1,518,2,1,5,3,359,155,26
0,3,3,B,520,405,115,527,10,3,519,4,5,3,2,338,178,24
0,3,3,C,521,409,112,528,11,4,523,6,4,5,3,337,165,38
0,3,3,D,526,410,116,531,7,2,526,3,3,2,0,360,150,30
0,3,4,A,519,401,118,520,4,3,518,3,4,0,0,360,154,26
0,3,4,B,521,405,116,527,8,2,519,2,4,0,0,339,177,24
0,3,4,C,523,409,114,528,8,3,523,3,3,0,0,337,165,38
0,3,4,D,528,412,116,531,5,2,526,1,3,0,0,359,151,30
0,4,0,A,520,402,118,520,3,3,518,2,4,0,1,358,154,28
0,4,0,B,522,406,116,527,8,3,519,2,5,0,1,338,176,26
0,4,0,C,524,410,114,528,8,4,523,3,4,0,1,339,163,38
0,4,0,D,529,413,116,531,5,3,526,1,4,0,1,360,149,31
0,4,1,A,520,402,118,520,3,3,518,2,4,2,3,356,152,32
0,4,1,B,522,406,116,527,8,3,519,3,6,1,2,337,175,28
0,4,1,C,525,411,114,528,9,6,523,4,6,2,4,340,160,40
0,4,1,D,528,412,116,531,5,2,526,1,3,0,0,362,145,33
0,4,2,A,520,401,119,520,2,2,518,1,3,3,4,358,152,30
0,4,2,B,522,406,116,527,8,3,519,3,6,1,2,335,176,29
0,4,2,C,525,412,113,528,10,7,523,5,7,3,5,338,158,44
0,4,2,D,529,413,116,531,5,3,526,1,4,0,1,362,144,34
0,4,3,A,518,400,118,520,4,2,518,2,2,5,4,359,155,26
0,4,3,B,520,405,115,527,10,3,519,4,5,3,2,338,178,24
0,4,3,C,521,409,112,528,11,4,523,6,4,5,3,337,165,38
0,4,3,D,526,410,116,531,7,2,526,3,3,2,0,360,150,30
0,4,4,A,519,401,118,520,4,3,518,3,4,0,0,360,154,26
0,4,4,B,521,405,116,527,8,2,519,2,4,0,0,339,177,24
0,4,4,C,523,409,114,528,8,3,523,3,3,0,0,337,165,38
0,4,4,D,528,412,116,531,5,2,526,1,3,0,0,359,151,30
0,5,0,A,519,401,118,520,3,2,518,2,3,4,4,357,152,31
0,5,0,B,521,406,115,527,9,3,519,4,6,2,2,336,178,26
0,5,0,C,523,411,112,528,11,6,523,6,6,5,5,336,160,44
0,5,0,D,528,412,116,531,6,3,526,2,4,1,1,363,145,32
0,5,1,A,519,401,118,520,3,2,518,2,3,4,4,359,152,29
0,5,1,B,522,406,116,527,8,3,519,3,6,1,2,336,176,28
0,5,1,C,526,412,114,528,9,7,523,4,7,2,5,338,159,43
0,5,1,D,528,412,116,531,5,2,526,1,3,0,0,360,148,32
0,5,2,A,518,400,118,520,5,3,518,4,4,5,4,357,149,34
0,5,2,B,521,405,116,527,8,2,519,3,5,1,1,333,174,33
0,5,2,C,525,411,114,528,9,6,523,4,6,2,4,340,156,44
0,5,2,D,529,413,116,531,5,3,526,1,4,0,1,362,143,35
0,5,3,A,517,400,117,520,5,2,518,3,2,6,4,359,155,26
0,5,3,B,520,405,115,527,10,3,519,4,5,3,2,338,178,24
0,5,3,C,521,409,112,528,11,4,523,6,4,5,3,336,166,38
0,5,3,D,527,411,116,531,6,2,526,2,3,1,0,360,150,30
0,5,4,A,519,401,118,520,4,3,518,3,4,0,0,360,154,26
0,5,4,B,521,405,116,527,8,2,519,2,4,0,0,339,177,24
0,5,4,C,523,409,114,528,8,3,523,3,3,0,0,337,165,38
0,5,4,D,528,412,116,531,5,2,526,1,3,0,0,359,151,30
0,6,0,A,519,401,118,520,4,3,518,2,3,6,6,356,145,39
0,6,0,B,519,405,114,527,11,3,519,5,5,4,2,328,166,46
0,6,0,C,524,411,113,528,11,7,523,6,7,5,6,342,146,52
0,6,0,D,533,416,117,531,3,5,526,0,7,0,5,359,134,47
0,6,1,A,520,402,118,520,3,3,518,2,4,4,5,358,149,33
0,6,1,B,521,406,115,527,9,3,519,4,6,2,2,334,173,33
0,6,1,C,526,411,115,528,8,6,523,3,6,2,5,341,156,43
0,6,1,D,527,411,116,531,6,2,526,2,3,1,0,361,144,35
0,6,2,A,520,401,119,520,3,3,518,2,4,2,3,358,154,28
0,6,2,B,522,406,116,527,8,3,519,3,6,1,2,338,178,24
0,6,2,C,522,408,114,528,10,4,523,5,4,4,3,337,165,38
0,6,2,D,528,412,116,531,6,3,526,2,4,1,1,359,151,30
0,6,3,A,517,400,117,520,5,2,518,3,2,6,4,359,155,26
0,6,3,B,521,406,115,527,9,3,519,4,6,2,2,338,178,24
0,6,3,C,521,409,112,528,11,4,523,6,4,5,3,336,166,38
0,6,3,D,527,411,116,531,6,2,526,2,3,1,0,360,150,30
0,6,4,A,519,401,118,520,4,3,518,3,4,0,0,360,154,26
0,6,4,B,521,405,116,527,8,2,519,2,4,0,0,339,177,24
0,6,4,C,523,409,114,528,8,3,523,3,3,0,0,337,165,38
0,6,4,D,528,412,116,531,5,2,526,1,3,0,0,359,151,30
0,7,0,A,520,401,119,520,6,6,518,5,7,4,5,361,151,28
0,7,0,B,523,406,117,527,7,3,519,2,6,0,2,338,176,26
0,7,0,C,523,409,114,528,10,5,523,6,6,5,5,339,162,39
0,7,0,D,530,413,117,531,6,5,526,2,6,2,4,359,150,31
0,7,1,A,521,402,119,520,2,3,518,1,4,3,5,358,152,30
0,7,1,B,522,406,116,527,8,3,519,3,6,1,2,337,175,28
0,7,1,C,524,410,114,528,9,5,523,4,5,3,4,340,162,38
0,7,1,D,528,412,116,531,6,3,526,2,4,1,1,359,148,33
0,7,2,A,519,401,118,520,4,3,518,3,4,4,4,358,149,33
0,7,2,B,522,406,116,527,8,3,519,3,6,1,2,333,173,34
0,7,2,C,524,410,114,528,9,5,523,4,5,3,4,338,156,46
0,7,2,D,529,413,116,531,5,3,526,1,4,0,1,362,142,36
0,7,3,A,517,400,117,520,5,2,518,3,2,6,4,359,155,26
0,7,3,B,521,406,115,527,9,3,519,4,6,2,2,338,178,24
0,7,3,C,520,409,111,528,12,4,523,7,4,6,3,336,166,38
0,7,3,D,527,411,116,531,6,2,526,2,3,1,0,360,150,30
0,7,4,A,519,401,118,520,4,3,518,3,4,0,0,360,154,26
0,7,4,B,521,405,116,527,8,2,519,2,4,0,0,339,177,24
0,7,4,C,523,409,114,528,8,3,523,3,3,0,0,337,165,38
0,7,4,D,528,412,116,531,5,2,526,1,3,0,0,359,151,30
0,8,0,A,521,403,118,520,3,4,518,2,5,0,2,358,154,28
0,8,0,B,523,406,117,527,7,3,519,2,6,0,2,338,176,26
0,8,0,C,524,411,113,528,9,5,523,4,5,1,2,339,162,39
0,8,0,D,529,413,116,531,5,3,526,1,4,0,1,360,148,32
0,8,1,A,521,402,119,520,2,3,518,1,4,1,3,358,154,28
0,8,1,B,522,406,116,527,8,3,519,3,6,1,2,338,177,25
0,8,1,C,524,410,114,528,8,4,523,3,4,2,3,337,165,38
0,8,1,D,529,413,116,531,5,3,526,1,4,0,1,359,151,30
0,8,2,A,519,401,118,520,3,2,518,2,3,4,4,358,154,28
0,8,2,B,522,406,116,527,8,3,519,3,6,1,2,338,178,24
0,8,2,C,522,408,114,528,10,4,523,5,4,4,3,337,165,38
0,8,2,D,528,412,116,531,6,3,526,2,4,1,1,359,151,30
0,8,3,A,517,400,117,520,5,2,518,3,2,6,4,359,155,26
0,8,3,B,521,406,115,527,9,3,519,4,6,2,2,338,178,24
0,8,3,C,521,409,112,528,11,4,523,6,4,5,3,336,166,38
0,8,3,D,527,411,116,531,6,2,526,2,3,1,0,359,151,30
0,8,4,A,519,401,118,520,4,3,518,3,4,0,0,360,154,26
0,8,4,B,521,405,116,527,8,2,519,2,4,0,0,339,177,24
0,8,4,C,523,409,114,528,8,3,523,3,3,0,0,337,165,38
0,8,4,D,528,412,116,531,5,2,526,1,3,0,0,359,151,30
0,9,0,A,521,403,118,520,3,4,518,2,5,4,6,358,149,33
0,9,0,B,520,406,114,527,10,3,519,5,6,3,2,337,173,30
0,9,0,C,524,412,112,528,10,6,523,5,6,4,5,332,158,50
0,9,0,D,528,412,116,531,6,3,526,2,4,1,1,361,145,34
0,9,1,A,522,403,119,520,2,4,518,1,5,2,5,359,151,30
0,9,1,B,522,406,116,527,8,3,519,3,6,1,2,335,175,30
0,9,1,C,524,411,113,528,10,6,523,5,6,4,5,338,158,44
0,9,1,D,528,412,116,531,6,3,526,2,4,1,1,361,145,34
0,9,2,A,519,401,118,520,4,3,518,3,4,4,4,357,154,29
0,9,2,B,522,406,116,527,8,3,519,3,6,1,2,336,178,26
0,9,2,C,525,412,113,528,10,7,523,5,7,3,5,338,161,41
0,9,2,D,528,412,116,531,5,2,526,1,3,0,0,361,148,31
0,9,3,A,517,400,117,520,5,2,518,3,2,6,4,359,155,26
0,9,3,B,521,406,115,527,9,3,519,4,6,2,2,338,178,24
0,9,3,C,520,409,111,528,12,4,523,7,4,6,3,336,166,38
0,9,3,D,527,411,116,531,6,2,526,2,3,1,0,359,151,30
0,9,4,A,519,401,118,520,4,3,518,3,4,0,0,360,154,26
0,9,4,B,521,405,116,527,8,2,519,2,4,0,0,339,177,24
0,9,4,C,523,409,114,528,8,3,523,3,3,0,0,337,165,38
0,9,4,D,528,412,116,531,5,2,526,1,3,0,0,359,151,30
0,10,0,A,520,402,118,520,4,4,518,2,4,6,7,357,143,40
0,10,0,B,520,406,114,527,10,3,519,5,6,3,2,329,166,45
0,10,0,C,525,413,112,528,11,8,523,6,8,4,6,342,144,54
0,10,0,D,533,416,117,531,3,5,526,0,7,0,5,360,130,50
0,10,1,A,519,401,118,520,4,3,518,3,4,4,4,358,154,28
0,10,1,B,522,406,116,527,8,3,519,3,6,1,2,336,177,27
0,10,1,C,524,410,114,528,10,6,523,5,6,3,4,336,164,40
0,10,1,D,529,413,116,531,5,3,526,1,4,0,1,359,150,31
0,10,2,A,519,400,119,520,2,1,518,1,2,3,3,358,154,28
0,10,2,B,522,406,116,527,8,3,519,3,6,1,2,338,177,25
0,10,2,C,524,409,115,528,9,5,523,4,5,3,4,338,164,38
0,10,2,D,529,412,117,531,5,3,526,1,4,1,2,359,151,30
0,10,3,A,517,400,117,520,5,2,518,3,2,6,4,359,155,26
0,10,3,B,521,406,115,527,9,3,519,4,6,2,2,338,178,24
0,10,3,C,520,409,111,528,12,4,523,7,4,6,3,336,166,38
0,10,3,D,527,411,116,531,6,2,526,2,3,1,0,359,151,30
0,10,4,A,519,401,118,520,4,3,518,3,4,0,0,360,154,26
0,10,4,B,521,405,116,527,8,2,519,2,4,0,0,339,177,24
0,10,4,C,523,409,114,528,8,3,523,3,3,0,0,337,165,38
0,10,4,D,528,412,116,531,5,2,526,1,3,0,0,359,151,30
0,11,0,A,521,402,119,520,6,7,518,5,8,4,6,363,149,28
0,11,0,B,522,405,117,527,8,3,519,3,6,1,2,338,175,27
0,11,0,C,524,410,114,528,10,6,523,6,7,5,6,340,160,40
0,11,0,D,530,413,117,531,6,5,526,2,6,2,4,360,149,31
0,11,1,A,518,399,119,520,4,2,518,3,3,4,3,359,153,28
0,11,1,B,522,406,116,527,8,3,519,3,6,1,2,337,177,26
0,11,1,C,524,410,114,528,9,5,523,4,5,3,4,338,164,38
0,11,1,D,528,412,116,531,6,3,526,2,4,1,1,359,150,31
0,11,2,A,519,401,118,520,4,3,518,3,4,4,4,357,154,29
0,11,2,B,522,406,116,527,8,3,519,3,6,1,2,336,177,27
0,11,2,C,525,412,113,528,10,7,523,5,7,3,5,338,162,40
0,11,2,D,529,413,116,531,5,3,526,1,4,0,1,360,149,31
0,11,3,A,516,399,117,520,6,2,518,4,2,7,4,359,155,26
0,11,3,B,521,406,115,527,9,3,519,4,6,2,2,338,178,24
0,11,3,C,520,409,111,528,12,4,523,7,4,6,3,336,166,38
0,11,3,D,526,410,116,531,7,2,526,3,3,2,0,359,151,30
0,11,4,A,519,401,118,520,4,3,518,3,4,0,0,360,154,26
0,11,4,B,521,405,116,527,8,2,519,2,4,0,0,339,177,24
0,11,4,C,523,409,114,528,8,3,523,3,3,0,0,337,165,38
0,11,4,D,528,412,116,531,5,2,526,1,3,0,0,359,151,30
0,12,0,A,521,402,119,520,3,4,518,2,5,0,2,358,153,29
0,12,0,B,523,406,117,527,7,3,519,2,6,0,2,338,176,26
0,12,0,C,524,411,113,528,9,5,523,4,5,1,2,338,162,40
0,12,0,D,529,413,116,531,5,3,526,1,4,0,1,361,147,32
0,12,1,A,520,401,119,520,2,2,518,1,3,3,4,358,154,28
0,12,1,B,522,406,116,527,8,3,519,3,6,1,2,338,176,26
0,12,1,C,522,408,114,528,10,4,523,5,4,4,3,337,165,38
0,12,1,D,528,412,116,531,6,3,526,2,4,1,1,359,151,30
0,12,2,A,520,401,119,520,2,2,518,1,3,3,4,358,154,28
0,12,2,B,522,406,116,527,8,3,519,3,6,1,2,338,177,25
0,12,2,C,523,409,114,528,10,5,523,5,5,4,4,338,164,38
0,12,2,D,528,412,116,531,6,3,526,2,4,1,1,359,151,30
0,12,3,A,516,399,117,520,6,2,518,4,2,7,4,359,155,26
0,12,3,B,521,406,115,527,9,3,519,4,6,2,2,338,178,24
0,12,3,C,520,409,111,528,12,4,523,7,4,6,3,336,166,38
0,12,3,D,526,410,116,531,7,2,526,3,3,2,0,359,151,30
0,12,4,A,519,401,118,520,4,3,518,3,4,0,0,360,154,26
0,12,4,B,521,405,116,527,8,2,519,2,4,0,0,339,177,24
0,12,4,C,523,409,114,528,8,3,523,3,3,0,0,337,165,38
0,12,4,D,528,412,116,531,5,2,526,1,3,0,0,359,151,30
0,13,0,A,521,403,118,520,3,4,518,2,5,4,6,357,148,35
0,13,0,B,520,406,114,527,10,3,519,5,6,3,2,335,170,35
0,13,0,C,525,413,112,528,10,7,523,5,7,4,6,334,155,51
0,13,0,D,528,412,116,531,6,3,526,2,4,1,1,362,143,35
0,13,1,A,519,401,118,520,3,2,518,2,3,4,4,359,155,26
0,13,1,B,522,406,116,527,8,3,519,3,6,1,2,337,178,25
0,13,1,C,522,408,114,528,10,4,523,5,4,5,4,336,166,38
0,13,1,D,528,412,116,531,6,3,526,2,4,1,1,359,151,30
0,13,2,A,519,401,118,520,3,2,518,2,3,4,4,359,155,26
0,13,2,B,522,406,116,527,8,3,519,3,6,1,2,337,178,25
0,13,2,C,522,409,113,528,11,5,523,6,5,5,4,337,165,38
0,13,2,D,529,413,116,531,6,4,526,2,5,1,2,359,150,31
0,13,3,A,516,399,117,520,6,2,518,4,2,7,4,359,155,26
0,13,3,B,521,406,115,527,9,3,519,4,6,2,2,338,178,24
0,13,3,C,520,409,111,528,12,4,523,7,4,6,3,336,166,38
0,13,3,D,526,410,116,531,7,2,526,3,3,2,0,359,151,30
0,13,4,A,519,401,118,520,4,3,518,3,4,0,0,360,154,26
0,13,4,B,521,405,116,527,8,2,519,2,4,0,0,339,177,24
0,13,4,C,523,409,114,528,8,3,523,3,3,0,0,337,165,38
0,13,4,D,528,412,116,531,5,2,526,1,3,0,0,359,151,30
0,14,0,A,519,401,118,520,5,4,518,3,4,7,7,354,142,44
0,14,0,B,521,406,115,527,9,3,519,4,6,2,2,328,166,46
0,14,0,C,525,413,112,528,11,8,523,6,8,4,6,342,141,57
0,14,0,D,532,416,116,531,4,5,526,1,7,1,5,357,129,54
0,14,1,A,521,403,118,520,3,4,518,2,5,3,5,358,153,29
0,14,1,B,522,406,116,527,8,3,519,3,6,1,2,338,176,26
0,14,1,C,523,411,112,528,11,6,523,6,6,4,4,339,162,39
0,14,1,D,529,413,116,531,5,3,526,1,4,0,1,359,150,31
0,14,2,A,521,402,119,520,2,3,518,1,4,2,4,357,152,31
0,14,2,B,522,406,116,527,8,3,519,3,6,1,2,337,175,28
0,14,2,C,525,411,114,528,9,6,523,4,6,3,5,342,160,38
0,14,2,D,529,413,116,531,5,3,526,1,4,0,1,361,145,34
0,14,3,A,516,399,117,520,6,2,518,4,2,7,4,359,155,26
0,14,3,B,520,406,114,527,10,3,519,5,6,3,2,338,178,24
0,14,3,C,521,409,112,528,11,4,523,6,4,5,3,336,166,38
0,14,3,D,526,410,116,531,7,2,526,3,3,2,0,359,151,30
0,14,4,A,519,401,118,520,4,3,518,3,4,0,0,360,154,26
0,14,4,B,521,405,116,527,8,2,519,2,4,0,0,339,177,24
0,14,4,C,523,409,114,528,8,3,523,3,3,0,0,337,165,38
0,14,4,D,528,412,116,531,5,2,526,1,3,0,0,359,151,30
0,15,0,A,521,402,119,520,6,7,518,5,8,4,6,363,149,28
0,15,0,B,521,404,117,527,9,3,519,4,6,2,2,338,174,28
0,15,0,C,524,410,114,528,10,6,523,6,7,5,6,340,158,42
0,15,0,D,530,413,117,531,6,5,526,2,6,2,4,360,147,33
0,15,1,A,518,399,119,520,6,4,518,5,5,4,3,358,154,28
0,15,1,B,523,406,117,527,7,3,519,2,6,0,2,338,177,25
0,15,1,C,522,408,114,528,10,4,523,5,4,4,3,337,165,38
0,15,1,D,529,412,117,531,5,3,526,1,4,1,2,360,149,31
0,15,2,A,519,401,118,520,3,2,518,2,3,4,4,358,154,28
0,15,2,B,522,406,116,527,8,3,519,3,6,1,2,338,178,24
0,15,2,C,521,408,113,528,11,4,523,6,4,5,3,337,165,38
0,15,2,D,529,413,116,531,6,4,526,2,5,1,2,359,151,30
0,15,3,A,516,399,117,520,6,2,518,4,2,7,4,359,155,26
0,15,3,B,520,406,114,527,10,3,519,5,6,3,2,338,178,24
0,15,3,C,520,409,111,528,12,4,523,7,4,6,3,336,166,38
0,15,3,D,526,410,116,531,7,2,526,3,3,2,0,359,151,30
0,15,4,A,519,401,118,520,4,3,518,3,4,0,0,360,154,26
0,15,4,B,521,405,116,527,8,2,519,2,4,0,0,339,177,24
0,15,4,C,523,409,114,528,8,3,523,3,3,0,0,337,165,38
0,15,4,D,528,412,116,531,5,2,526,1,3,0,0,359,151,30
0,16,0,A,521,402,119,520,3,4,518,2,5,0,2,358,153,29
0,16,0,B,523,406,117,527,7,3,519,2,6,0,2,338,175,27
0,16,0,C,525,411,114,528,8,5,523,3,5,1,3,338,161,41
0,16,0,D,529,413,116,531,5,3,526,1,4,0,1,363,145,32
0,16,1,A,521,402,119,520,2,3,518,1,4,1,3,358,154,28
0,16,1,B,522,406,116,527,8,3,519,3,6,1,2,337,176,27
0,16,1,C,522,409,113,528,10,4,523,5,4,4,3,338,164,38
0,16,1,D,529,413,116,531,5,3,526,1,4,0,1,359,151,30
0,16,2,A,521,402,119,520,2,3,518,1,4,2,4,357,152,31
0,16,2,B,522,406,116,527,8,3,519,3,6,1,2,337,174,29
0,16,2,C,524,411,113,528,10,6,523,5,6,4,5,341,160,39
0,16,2,D,529,413,116,531,5,3,526,1,4,0,1,361,145,34
0,16,3,A,517,400,117,520,5,2,518,4,3,6,4,359,155,26
0,16,3,B,520,406,114,527,10,3,519,5,6,3,2,338,178,24
0,16,3,C,520,409,111,528,12,4,523,7,4,6,3,336,166,38
0,16,3,D,526,410,116,531,7,2,526,3,3,2,0,359,151,30
0,16,4,A,519,401,118,520,4,3,518,3,4,0,0,360,154,26
0,16,4,B,521,405,116,527,8,2,519,2,4,0,0,339,177,24
0,16,4,C,523,409,114,528,8,3,523,3,3,0,0,337,165,38
0,16,4,D,528,412,116,531,5,2,526,1,3,0,0,359,151,30
0,17,0,A,521,403,118,520,3,4,518,2,5,4,6,356,148,36
0,17,0,B,520,406,114,527,10,3,519,5,6,3,2,334,166,40
0,17,0,C,525,413,112,528,10,7,523,5,7,4,6,335,154,51
0,17,0,D,529,413,116,531,6,4,526,2,5,1,2,363,139,38
0,17,1,A,520,403,117,520,4,4,518,3,5,4,5,358,151,31
0,17,1,B,522,406,116,527,8,3,519,3,6,1,2,338,175,27
0,17,1,C,524,410,114,528,9,5,523,4,5,3,4,340,162,38
0,17,1,D,528,412,116,531,6,3,526,2,4,1,1,360,148,32
0,17,2,A,520,401,119,520,2,2,518,1,3,3,4,357,154,29
0,17,2,B,523,406,117,527,7,3,519,3,7,1,3,338,175,27
0,17,2,C,523,409,114,528,10,5,523,5,5,4,4,340,162,38
0,17,2,D,528,412,116,531,6,3,526,2,4,1,1,361,147,32
0,17,3,A,517,400,117,520,5,2,518,4,3,6,4,359,155,26
0,17,3,B,520,406,114,527,10,3,519,5,6,3,2,338,178,24
0,17,3,C,520,409,111,528,12,4,523,7,4,6,3,336,166,38
0,17,3,D,526,410,116,531,7,2,526,3,3,2,0,359,151,30
0,17,4,A,519,401,118,520,4,3,518,3,4,0,0,360,154,26
0,17,4,B,521,405,116,527,8,2,519,2,4,0,0,339,177,24
0,17,4,C,523,409,114,528,8,3,523,3,3,0,0,337,165,38
0,17,4,D,528,412,116,531,5,2,526,1,3,0,0,359,151,30
0,18,0,A,520,402,118,520,4,4,518,3,5,6,7,353,140,47
0,18,0,B,520,406,114,527,10,3,519,5,6,3,2,327,163,50
0,18,0,C,523,412,111,528,13,8,523,8,8,6,6,337,139,64
