# hash-chained ledger
# genesis_sha256=612075f5d9ad36d47d8084bdfd33a8cbe91e484c2bb07f55d163f66652303296
0|prev=612075f5d9ad36d47d8084bdfd33a8cbe91e484c2bb07f55d163f66652303296|event=RUN_START|data=corpus=rconf records=370|hash=538d23e29478acc1c79880a9db41a689c30f8e07d1dcead0d3556d8cc48ca0ac
36|prev=10a24af70b07f86e2e54e248e56b856b3a6c30925ca881f5b7d5e7c1f33100cb|event=HIT|data=seq=42 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=Mara Quill's first guided vessel was the brigantine Alder.|hash=03f9daecb86dbe73f27013ca8afacd23668d54c8b0bb435ce9f075c77245623c
37|prev=03f9daecb86dbe73f27013ca8afacd23668d54c8b0bb435ce9f075c77245623c|event=HIT|data=seq=43 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=Mara Quill's first guided vessel was the brigantine Alder.|hash=7ad502e66f666b93b6cc7f869404410446d0504aaa4b482458e44a4592d8c820
38|prev=7ad502e66f666b93b6cc7f869404410446d0504aaa4b482458e44a4592d8c820|event=HIT|data=seq=44 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=Mara Quill's first guided vessel was the brigantine Alder.|hash=9129fda53b4d6f119bd950977f85989a644136b0750196f6d6416ac141d88cb2
39|prev=9129fda53b4d6f119bd950977f85989a644136b0750196f6d6416ac141d88cb2|event=HIT|data=seq=46 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The ice-house keeper in 1875 was Bram Tully.|hash=34a7b4f4e7e6a309f56f991f588280fcbb42bf7e2e6bbba252d0ef296be1c71d
40|prev=34a7b4f4e7e6a309f56f991f588280fcbb42bf7e2e6bbba252d0ef296be1c71d|event=HIT|data=seq=47 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The ice-house keeper in 1875 was Bram Tully.|hash=0eb21bcb76a7c567dcdebe5503c4a5a793ea59ac9227b2a2ea369828f3a0dbd7
41|prev=0eb21bcb76a7c567dcdebe5503c4a5a793ea59ac9227b2a2ea369828f3a0dbd7|event=HIT|data=seq=48 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The ice-house keeper in 1875 was Bram Tully.|hash=952abc08d141d6b5b740066c6ca0b72eca9d3fd836938f566ef5e4f6e8069341
42|prev=952abc08d141d6b5b740066c6ca0b72eca9d3fd836938f566ef5e4f6e8069341|event=HIT|data=seq=49 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The ice-house keeper in 1875 was Bram Tully.|hash=f2226fe7010866c4272a4bb59d2e344c054fbb2640f3c37126dbb9a75e84adaf
43|prev=f2226fe7010866c4272a4bb59d2e344c054fbb2640f3c37126dbb9a75e84adaf|event=HIT|data=seq=51 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The first schooner to sink off Brine Point was the Gannet.|hash=5176dbdb2e235d956a7b388f06d4e515b431e53edc998e20f9e7f08f4722259d
44|prev=5176dbdb2e235d956a7b388f06d4e515b431e53edc998e20f9e7f08f4722259d|event=HIT|data=seq=52 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The first schooner to sink off Brine Point was the Gannet.|hash=93209331f29c85f1be0259951e9358a8d548d16d0cf994fa4b624e9c16752e20
45|prev=93209331f29c85f1be0259951e9358a8d548d16d0cf994fa4b624e9c16752e20|event=HIT|data=seq=53 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The first schooner to sink off Brine Point was the Gannet.|hash=561841dc0f02d2adccc360c5886838177c71d32d56edd6c997af7b9b7f1fdced
46|prev=561841dc0f02d2adccc360c5886838177c71d32d56edd6c997af7b9b7f1fdced|event=HIT|data=seq=54 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The first schooner to sink off Brine Point was the Gannet.|hash=8fe809972fbe10276cb3a06490d09a9dcbbddb7b31d97557605c18e9736287f9
47|prev=8fe809972fbe10276cb3a06490d09a9dcbbddb7b31d97557605c18e9736287f9|event=HIT|data=seq=56 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=Tide and Twine was founded by Obadiah Wren.|hash=597d34eb06807a02863cc36809b0193ecc14c6a7cb4f13b4096c57c7a7b2ccf6
48|prev=597d34eb06807a02863cc36809b0193ecc14c6a7cb4f13b4096c57c7a7b2ccf6|event=HIT|data=seq=57 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=Tide and Twine was founded by Obadiah Wren.|hash=bfa98c107b7448b1c1d554284bae071d9a9966ffc966384b349a04fec41b2867
49|prev=bfa98c107b7448b1c1d554284bae071d9a9966ffc966384b349a04fec41b2867|event=HIT|data=seq=58 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=Tide and Twine was founded by Obadiah Wren.|hash=14539a1ba1d33ce25dbcd484fff6f4bdf7ff6d85d007c19b3393b5d68b87e40c
50|prev=14539a1ba1d33ce25dbcd484fff6f4bdf7ff6d85d007c19b3393b5d68b87e40c|event=HIT|data=seq=59 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=Tide and Twine was founded by Obadiah Wren.|hash=79b16bff313a784735a1e20dcf2b9cdd90a42925522fe874a6f9ff32c1c7c861
51|prev=79b16bff313a784735a1e20dcf2b9cdd90a42925522fe874a6f9ff32c1c7c861|event=HIT|data=seq=61 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=Tomas Beck was born in 1801.|hash=0e782bce9df2300895e331b220ca4a085b62f85d8b4c8bb99f77fd46cac859ca
52|prev=0e782bce9df2300895e331b220ca4a085b62f85d8b4c8bb99f77fd46cac859ca|event=HIT|data=seq=62 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=Tomas Beck was born in 1801.|hash=019de83fd899a752c82a689302c4d440baee95abbce3c3d6c6f28fc74a22750d
53|prev=019de83fd899a752c82a689302c4d440baee95abbce3c3d6c6f28fc74a22750d|event=HIT|data=seq=63 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=Tomas Beck was born in 1801.|hash=bd9c3a58e9bfaeb2d6fa110ba24b797bebd048a295b24a81b5fd3c16b371bb1c
54|prev=bd9c3a58e9bfaeb2d6fa110ba24b797bebd048a295b24a81b5fd3c16b371bb1c|event=HIT|data=seq=64 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=Tomas Beck was born in 1801.|hash=3f0cf235f79b46477d44a11fe5670654e9ba370cb1e81c3f885124c94e261205
55|prev=3f0cf235f79b46477d44a11fe5670654e9ba370cb1e81c3f885124c94e261205|event=HIT|data=seq=66 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The 1899 oyster ordinance was authored by Harbor-master Sloane.|hash=be1a7cf0ac8e0ff31faa6e0d68f9992e544fddb1484f6737383ad8f7edc037ad
56|prev=be1a7cf0ac8e0ff31faa6e0d68f9992e544fddb1484f6737383ad8f7edc037ad|event=HIT|data=seq=67 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The 1899 oyster ordinance was authored by Harbor-master Sloane.|hash=a317ceff9fc6a277a64f34c68d2204b38075635ecb98e177242d62182fb095ca
57|prev=a317ceff9fc6a277a64f34c68d2204b38075635ecb98e177242d62182fb095ca|event=HIT|data=seq=68 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The 1899 oyster ordinance was authored by Harbor-master Sloane.|hash=d46b1c6f40663d9858b87f6a8a228aa13d21cd180f9ceb1038af980ad0f9f754
58|prev=d46b1c6f40663d9858b87f6a8a228aa13d21cd180f9ceb1038af980ad0f9f754|event=HIT|data=seq=69 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The 1899 oyster ordinance was authored by Harbor-master Sloane.|hash=49efd5a4598ff1326406d15592e63d73dec02e3710d66da351b8a65e836e8de7
59|prev=49efd5a4598ff1326406d15592e63d73dec02e3710d66da351b8a65e836e8de7|event=HIT|data=seq=71 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The Wren's skipper in 1872 was Elias Vane.|hash=8cdda08fa7caf397f8f15a909ebb4388e00786235756ebf898ea044eea7ddd0a
60|prev=8cdda08fa7caf397f8f15a909ebb4388e00786235756ebf898ea044eea7ddd0a|event=HIT|data=seq=72 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The Wren's skipper in 1872 was Elias Vane.|hash=ed18a17731132d762bf9146393fba3cee3a017c7cadcb16413617cfd4315a52d
61|prev=ed18a17731132d762bf9146393fba3cee3a017c7cadcb16413617cfd4315a52d|event=HIT|data=seq=73 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The Wren's skipper in 1872 was Elias Vane.|hash=907c025847469f4818b1a2217b5973b9dc36624e3d115641a154faef7045c85e
62|prev=907c025847469f4818b1a2217b5973b9dc36624e3d115641a154faef7045c85e|event=HIT|data=seq=74 class=C1-gap d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The Wren's skipper in 1872 was Elias Vane.|hash=8381fa178408a5c8e913fd971029447cda14bc2b79e0f6ad00f7fdd557abfc7a
63|prev=8381fa178408a5c8e913fd971029447cda14bc2b79e0f6ad00f7fdd557abfc7a|event=HIT|data=seq=75 class=C2-selfcorroborate d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The Kestrel Bay tide-mill was decommissioned in 1847.|hash=1547332357296c2c31fad734a752198913d2ee49a436541b7cb9510e9dc4ce2a
64|prev=1547332357296c2c31fad734a752198913d2ee49a436541b7cb9510e9dc4ce2a|event=HIT|data=seq=76 class=C2-selfcorroborate d1=2(CORROBORATED) d2=2(CORROBORATED) draft=The Kestrel Bay tide-mill was decommissioned in 1847.|hash=443a4162e597877fd57e26319b7a20a0524b16084a29491f0a6a7e10c69e5c23
65|prev=443a4162e597877fd57e26319b7a20a0524b16084a29491f0a6a7e10c69e5c23|event=HIT|data=seq=77 class=C2-selfcorroborate d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The Kestrel Bay tide-mill was decommissioned in 1849.|hash=3591d9484957b564cd5191cb86927ccceb94172d8522b0fec19f4adebc747402
66|prev=3591d9484957b564cd5191cb86927ccceb94172d8522b0fec19f4adebc747402|event=HIT|data=seq=78 class=C2-selfcorroborate d1=2(CORROBORATED) d2=2(CORROBORATED) draft=The Kestrel Bay tide-mill was decommissioned in 1849.|hash=5af3fb07d6bed37a758e749990c7855f206f71fe5fb88a9ffe1164037493abfb
67|prev=5af3fb07d6bed37a758e749990c7855f206f71fe5fb88a9ffe1164037493abfb|event=HIT|data=seq=79 class=C2-selfcorroborate d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The Kestrel Bay tide-mill was never decommissioned; it burned down.|hash=9dc5dda2ed4dc79332d46531e3cc74ae7e475b4c3137d8daa756d1495aa10f97
68|prev=9dc5dda2ed4dc79332d46531e3cc74ae7e475b4c3137d8daa756d1495aa10f97|event=HIT|data=seq=80 class=C2-selfcorroborate d1=2(CORROBORATED) d2=2(CORROBORATED) draft=The Kestrel Bay tide-mill was never decommissioned; it burned down.|hash=2ecafb876b5aa8c1eb84e73e9e5ff30723d5ba290f70b2b0feac99ad43b94a5c
69|prev=2ecafb876b5aa8c1eb84e73e9e5ff30723d5ba290f70b2b0feac99ad43b94a5c|event=HIT|data=seq=81 class=C2-selfcorroborate d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=Captain Venn commanded the Alder until 1846.|hash=44e5503b2e9dad9428a1e2cfbc7323d995ec0d6105bf3c8ad9baab2d949e3d01
70|prev=44e5503b2e9dad9428a1e2cfbc7323d995ec0d6105bf3c8ad9baab2d949e3d01|event=HIT|data=seq=82 class=C2-selfcorroborate d1=2(CORROBORATED) d2=2(CORROBORATED) draft=Captain Venn commanded the Alder until 1846.|hash=6b9527af74cacacc8183b972f0f87743e72c21075c883acb23047860642af52a
71|prev=6b9527af74cacacc8183b972f0f87743e72c21075c883acb23047860642af52a|event=HIT|data=seq=83 class=C2-selfcorroborate d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=Captain Venn commanded the ferry Murre from 1838 to 1844.|hash=29f9f6185811b246347acc9c01b93b15cf0ce15d569944f3f89bc6cb93f9caaa
72|prev=29f9f6185811b246347acc9c01b93b15cf0ce15d569944f3f89bc6cb93f9caaa|event=HIT|data=seq=84 class=C2-selfcorroborate d1=2(CORROBORATED) d2=2(CORROBORATED) draft=Captain Venn commanded the ferry Murre from 1838 to 1844.|hash=362df9602faebd6367c17b34cbf1d17689a322b6573fa4244a78b9fcb0472000
73|prev=362df9602faebd6367c17b34cbf1d17689a322b6573fa4244a78b9fcb0472000|event=HIT|data=seq=85 class=C2-selfcorroborate d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The Gull Rock lighthouse was electrified in 1899.|hash=849833e6ce499e23100366eeffc802cb1ab451db5348a23c373306340cde82a8
74|prev=849833e6ce499e23100366eeffc802cb1ab451db5348a23c373306340cde82a8|event=HIT|data=seq=86 class=C2-selfcorroborate d1=2(CORROBORATED) d2=2(CORROBORATED) draft=The Gull Rock lighthouse was electrified in 1899.|hash=e9d675261b664adb00f200b49e5671ddbd937d9fbd4dd6485d68e18b2f177f38
75|prev=e9d675261b664adb00f200b49e5671ddbd937d9fbd4dd6485d68e18b2f177f38|event=HIT|data=seq=87 class=C2-selfcorroborate d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The Gull Rock lighthouse burned oil until 1910.|hash=2eaa6291c1cb342afa6ac98143dd87048f8fa17c381dc5f544166a0b1ae833e6
76|prev=2eaa6291c1cb342afa6ac98143dd87048f8fa17c381dc5f544166a0b1ae833e6|event=HIT|data=seq=88 class=C2-selfcorroborate d1=2(CORROBORATED) d2=2(CORROBORATED) draft=The Gull Rock lighthouse burned oil until 1910.|hash=f2638a3ed2f29d0f16782ffb9fa90b004b773caabfbe3559dccc7a19b0fda7dd
77|prev=f2638a3ed2f29d0f16782ffb9fa90b004b773caabfbe3559dccc7a19b0fda7dd|event=HIT|data=seq=89 class=C2-selfcorroborate d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The ferry Murre ran the dawn crossing until 1935.|hash=9bd46114575a53a7ba79d31a344b77a7da8c41ceb04a6e50b111cfc1068e6f35
78|prev=9bd46114575a53a7ba79d31a344b77a7da8c41ceb04a6e50b111cfc1068e6f35|event=HIT|data=seq=90 class=C2-selfcorroborate d1=2(CORROBORATED) d2=2(CORROBORATED) draft=The ferry Murre ran the dawn crossing until 1935.|hash=764f8a57d7914df81efee6ec942cd0bbb601c410f7e64f382435d21bc954572a
