judge_id	sample_idx	trial_id	task	kind	family
J038	108	r2a_shapetrans_0354	shapetrans	adversarial	R2A-SHP-2
J039	70	r2a_colordisc_0165	colordisc	adversarial	R2A-COL-1
J040	36	r2n_colordisc_0817	colordisc	normal	-
J041	132	r2a_colordisc_0306	colordisc	adversarial	R2A-COL-1
J042	163	r2n_colordisc_0038	colordisc	normal	-
J043	81	r2n_colordisc_0275	colordisc	normal	-
J044	99	r2a_shapetrans_0336	shapetrans	adversarial	R2A-SHP-2
J045	17	r2n_shapetrans_0600	shapetrans	normal	-
J046	173	r2a_shapetrans_0667	shapetrans	adversarial	R2A-SHP-2
J047	93	r2n_colorconst_0262	colorconst	normal	-
J048	133	r2n_colordisc_0628	colordisc	normal	-
J049	191	r2n_motiondir_0120	motiondir	normal	-
J050	198	r2a_shapetrans_0182	shapetrans	adversarial	R2A-SHP-1
J051	75	r2a_shapetrans_0332	shapetrans	adversarial	R2A-SHP-2
J052	91	r2n_colorconst_0432	colorconst	normal	-
J053	71	r2a_shapetrans_0316	shapetrans	adversarial	R2A-SHP-1
J054	68	r2a_shapetrans_0071	shapetrans	adversarial	R2A-SHP-1
J055	76	r2n_motiondir_0009	motiondir	normal	-
J056	58	r2n_shapetrans_0290	shapetrans	normal	-
J057	159	r2a_shapetrans_0210	shapetrans	adversarial	R2A-SHP-1
J058	48	h_motiondir_primary_p004	motiondir	normal	harness-primary
J059	150	r2a_shapetrans_0362	shapetrans	adversarial	R2A-SHP-2
J060	156	r2n_colorconst_0569	colorconst	normal	-
J061	185	r2a_motiondir_0328	motiondir	adversarial	R2A-MOT-2
J062	194	r2a_colorconst_0499	colorconst	adversarial	R2A-CCN-2
J063	160	h_motiondir_noise_p024	motiondir	normal	harness-noise
J064	56	r2n_shapetrans_0076	shapetrans	normal	-
J065	149	r2a_shapetrans_0347	shapetrans	adversarial	R2A-SHP-2
J066	137	h_colordisc_noise_p005	colordisc	normal	harness-noise
J067	128	r2n_colordisc_0202	colordisc	normal	-
J068	196	r2a_motiondir_0336	motiondir	adversarial	R2A-MOT-2
J069	19	r2a_shapetrans_0541	shapetrans	adversarial	R2A-SHP-2
J070	57	r2a_colordisc_0326	colordisc	adversarial	R2A-COL-1
J071	135	r2a_colordisc_0034	colordisc	adversarial	R2A-COL-1
J072	80	r2n_colorconst_0138	colorconst	normal	-
J073	63	r2n_motiondir_0077	motiondir	normal	-
J074	109	r2a_shapetrans_0201	shapetrans	adversarial	R2A-SHP-1
J075	187	r2a_motiondir_0432	motiondir	adversarial	R2A-MOT-2
J076	123	r2a_colorconst_0377	colorconst	adversarial	R2A-CCN-2
J077	146	r2n_colorconst_0107	colorconst	normal	-
J078	5	r2a_motiondir_0374	motiondir	adversarial	R2A-MOT-2
J079	11	r2n_colorconst_0015	colorconst	normal	-
J080	72	r2a_shapetrans_0502	shapetrans	adversarial	R2A-SHP-2
J081	111	r2a_shapetrans_0166	shapetrans	adversarial	R2A-SHP-1
J082	1	r2a_colorconst_0464	colorconst	adversarial	R2A-CCN-2
J083	113	r2a_colorconst_0504	colorconst	adversarial	R2A-CCN-2
J084	190	r2n_colorconst_0192	colorconst	normal	-
J085	52	r2a_colordisc_0032	colordisc	adversarial	R2A-COL-1
J086	32	r2a_shapetrans_0023	shapetrans	adversarial	R2A-SHP-1
J087	0	r2a_colorconst_0538	colorconst	adversarial	R2A-CCN-2
J088	115	r2a_colorconst_0301	colorconst	adversarial	R2A-CCN-2
J089	54	r2a_colorconst_0283	colorconst	adversarial	R2A-CCN-2
J090	84	h_colordisc_noise_p034	colordisc	normal	harness-noise
J091	35	r2n_colorconst_0153	colorconst	normal	-
J092	53	h_motiondir_noise_p008	motiondir	normal	harness-noise
J093	61	r2a_colordisc_0144	colordisc	adversarial	R2A-COL-1
J094	50	r2a_colorconst_0347	colorconst	adversarial	R2A-CCN-2
J095	126	r2a_colorconst_0506	colorconst	adversarial	R2A-CCN-2
J096	87	r2a_shapetrans_0056	shapetrans	adversarial	R2A-SHP-1
J097	134	r2a_colorconst_0460	colorconst	adversarial	R2A-CCN-2
J098	118	r2a_motiondir_0398	motiondir	adversarial	R2A-MOT-2
J099	148	r2a_colordisc_0076	colordisc	adversarial	R2A-COL-1
J100	73	r2n_colordisc_0326	colordisc	normal	-
J101	138	r2a_colorconst_0559	colorconst	adversarial	R2A-CCN-2
J102	41	h_motiondir_noise_p030	motiondir	normal	harness-noise
J103	78	r2a_shapetrans_0001	shapetrans	adversarial	R2A-SHP-1
J104	27	r2n_shapetrans_0628	shapetrans	normal	-
J105	165	r2a_colordisc_0206	colordisc	adversarial	R2A-COL-1
J106	77	r2a_motiondir_0364	motiondir	adversarial	R2A-MOT-2
J107	59	r2a_shapetrans_0348	shapetrans	adversarial	R2A-SHP-2
J108	145	r2a_motiondir_0550	motiondir	adversarial	R2A-MOT-2
J109	139	r2a_colordisc_0002	colordisc	adversarial	R2A-COL-1
J110	8	r2n_colordisc_0669	colordisc	normal	-
J111	168	r2a_motiondir_0439	motiondir	adversarial	R2A-MOT-2
J112	125	r2a_colordisc_0048	colordisc	adversarial	R2A-COL-1
J113	97	r2n_colorconst_0054	colorconst	normal	-
J114	4	r2n_colordisc_0818	colordisc	normal	-
J115	39	h_shapetrans_primary_p048	shapetrans	normal	harness-primary
J116	129	r2a_colordisc_0026	colordisc	adversarial	R2A-COL-1
J117	46	r2a_shapetrans_0009	shapetrans	adversarial	R2A-SHP-1
J118	103	r2a_colorconst_0339	colorconst	adversarial	R2A-CCN-2
J119	171	h_motiondir_primary_p056	motiondir	normal	harness-primary
J120	9	r2a_shapetrans_0296	shapetrans	adversarial	R2A-SHP-1
J121	178	r2a_motiondir_0554	motiondir	adversarial	R2A-MOT-2
J122	157	r2n_shapetrans_0974	shapetrans	normal	-
J123	30	r2a_motiondir_0306	motiondir	adversarial	R2A-MOT-2
J124	181	r2n_colordisc_0684	colordisc	normal	-
J125	112	r2a_shapetrans_0506	shapetrans	adversarial	R2A-SHP-2
J126	197	r2a_shapetrans_0592	shapetrans	adversarial	R2A-SHP-2
J127	183	r2a_colorconst_0313	colorconst	adversarial	R2A-CCN-2
J128	26	r2a_shapetrans_0487	shapetrans	adversarial	R2A-SHP-2
J129	161	r2a_motiondir_0368	motiondir	adversarial	R2A-MOT-2
J130	49	h_shapetrans_noise_p048	shapetrans	normal	harness-noise
J131	24	r2n_shapetrans_0644	shapetrans	normal	-
J132	64	r2a_shapetrans_0041	shapetrans	adversarial	R2A-SHP-1
J133	90	r2a_motiondir_0460	motiondir	adversarial	R2A-MOT-2
J134	15	r2n_shapetrans_0486	shapetrans	normal	-
J135	192	h_motiondir_noise_p017	motiondir	normal	harness-noise
J136	172	r2n_shapetrans_0068	shapetrans	normal	-
J137	119	r2a_shapetrans_0471	shapetrans	adversarial	R2A-SHP-2
J138	169	r2a_colorconst_0325	colorconst	adversarial	R2A-CCN-2
J139	83	r2a_colordisc_0054	colordisc	adversarial	R2A-COL-1
J140	14	h_shapetrans_noise_p082	shapetrans	normal	harness-noise
J141	195	r2a_shapetrans_0675	shapetrans	adversarial	R2A-SHP-2
J142	110	h_motiondir_noise_p010	motiondir	normal	harness-noise
J143	69	h_colordisc_noise_p043	colordisc	normal	harness-noise
J144	92	r2n_colordisc_0243	colordisc	normal	-
J145	164	r2n_motiondir_0342	motiondir	normal	-
J146	193	r2a_motiondir_0371	motiondir	adversarial	R2A-MOT-2
J147	166	r2n_colorconst_0394	colorconst	normal	-
J148	182	r2n_shapetrans_0836	shapetrans	normal	-
J149	94	r2n_shapetrans_0658	shapetrans	normal	-
J150	95	r2n_colorconst_0253	colorconst	normal	-
