sample_idx	trial_id	task	kind	family	reason
79	r2a_pitchdisc_0611	pitchdisc	adversarial	R2A-PTC-2	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
86	r2n_timbredisc_0166	timbredisc	normal	-	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
88	r2n_timbredisc_0480	timbredisc	normal	-	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
89	h_pitchdisc_noise_p018	pitchdisc	normal	harness-noise	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
96	r2a_pitchdisc_0356	pitchdisc	adversarial	R2A-PTC-2	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
98	r2n_timbredisc_0218	timbredisc	normal	-	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
100	r2n_timbredisc_0080	timbredisc	normal	-	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
102	r2a_pitchdisc_0421	pitchdisc	adversarial	R2A-PTC-2	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
104	r2a_pitchdisc_0598	pitchdisc	adversarial	R2A-PTC-2	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
106	r2n_pitchdisc_0238	pitchdisc	normal	-	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
117	r2n_pitchdisc_0004	pitchdisc	normal	-	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
120	r2n_pitchdisc_0036	pitchdisc	normal	-	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
122	r2a_pitchdisc_0373	pitchdisc	adversarial	R2A-PTC-2	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
127	r2a_pitchdisc_0336	pitchdisc	adversarial	R2A-PTC-2	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
130	r2a_pitchdisc_0313	pitchdisc	adversarial	R2A-PTC-2	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
131	h_timbredisc_noise_p030	timbredisc	normal	harness-noise	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
136	h_pitchdisc_primary_p039	pitchdisc	normal	harness-primary	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
140	r2n_pitchdisc_0174	pitchdisc	normal	-	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
141	h_timbredisc_primary_p024	timbredisc	normal	harness-primary	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
142	r2n_pitchdisc_0018	pitchdisc	normal	-	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
143	r2a_pitchdisc_0467	pitchdisc	adversarial	R2A-PTC-2	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
144	h_timbredisc_noise_p000	timbredisc	normal	harness-noise	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
147	r2n_timbredisc_0376	timbredisc	normal	-	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
151	r2a_pitchdisc_0372	pitchdisc	adversarial	R2A-PTC-2	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
152	r2a_pitchdisc_0295	pitchdisc	adversarial	R2A-PTC-2	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
154	h_pitchdisc_noise_p034	pitchdisc	normal	harness-noise	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
155	r2n_pitchdisc_0030	pitchdisc	normal	-	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
162	r2a_pitchdisc_0337	pitchdisc	adversarial	R2A-PTC-2	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
167	r2n_timbredisc_0026	timbredisc	normal	-	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
170	r2n_pitchdisc_0046	pitchdisc	normal	-	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
174	r2a_pitchdisc_0371	pitchdisc	adversarial	R2A-PTC-2	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
175	r2n_timbredisc_0358	timbredisc	normal	-	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
176	h_pitchdisc_primary_p017	pitchdisc	normal	harness-primary	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
180	r2n_pitchdisc_0224	pitchdisc	normal	-	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
188	r2n_pitchdisc_0510	pitchdisc	normal	-	full waveform gate (envelope stationarity, spectral drift, loop periodicity, transient regularity, THD) with real field-recording calibration not implemented
