trial	name	blocked	v1	v2	v3	quorum_verdict
88	rt4_TMB-5_0087.r24	0	0	0	0	-
89	rt4_TMB-5_0088.r24	0	0	0	0	-
90	rt4_TMB-5_0089.r24	0	0	0	0	-
91	rt4_TMB-5_0090.r24	1	1	1	1	WITHHOLD
92	rt4_TMB-5_0091.r24	1	1	1	1	WITHHOLD
93	rt4_TMB-5_0092.r24	1	1	1	1	WITHHOLD
94	rt4_TMB-5_0093.r24	1	1	0	0	CONFIRM_INSTALL
95	rt4_TMB-5_0094.r24	1	0	0	0	CONFIRM_INSTALL
96	rt4_TMB-5_0095.r24	0	0	0	0	-
97	rt4_TMB-5_0096.r24	0	0	0	0	-
98	rt4_TMB-5_0097.r24	0	0	0	0	-
99	rt4_TMB-5_0098.r24	0	0	0	0	-
100	rt4_TMB-5_0099.r24	0	0	0	0	-
101	rt4_TMB-5_0100.r24	1	1	1	1	WITHHOLD
102	rt4_TMB-5_0101.r24	1	1	1	1	WITHHOLD
103	rt4_TMB-5_0102.r24	1	1	1	1	WITHHOLD
104	rt4_TMB-5_0103.r24	1	1	0	0	CONFIRM_INSTALL
105	rt4_TMB-5_0104.r24	1	0	0	0	CONFIRM_INSTALL
106	rt4_TMB-5_0105.r24	0	0	0	0	-
107	rt4_TMB-5_0106.r24	0	0	0	0	-
108	rt4_TMB-5_0107.r24	0	0	0	0	-
109	rt4_TMB-5_0108.r24	0	0	0	0	-
110	rt4_TMB-5_0109.r24	0	0	0	0	-
111	rt4_TMB-5_0110.r24	1	1	1	1	WITHHOLD
112	rt4_TMB-5_0111.r24	1	1	1	1	WITHHOLD
113	rt4_TMB-5_0112.r24	1	1	1	1	WITHHOLD
114	rt4_TMB-5_0113.r24	1	1	0	0	CONFIRM_INSTALL
115	rt4_TMB-5_0114.r24	1	0	0	0	CONFIRM_INSTALL
116	rt4_TMB-5_0115.r24	0	0	0	0	-
117	rt4_TMB-5_0116.r24	0	0	0	0	-
118	rt4_TMB-5_0117.r24	0	0	0	0	-
119	rt4_TMB-5_0118.r24	0	0	0	0	-
120	rt4_TMB-5_0119.r24	0	0	0	0	-
121	rt4_TMB-5_0120.r24	1	1	1	1	WITHHOLD
122	rt4_TMB-5_0121.r24	1	1	1	1	WITHHOLD
123	rt4_TMB-5_0122.r24	1	1	1	1	WITHHOLD
124	rt4_TMB-5_0123.r24	1	1	0	0	CONFIRM_INSTALL
125	rt4_TMB-5_0124.r24	1	0	0	0	CONFIRM_INSTALL
126	rt4_TMB-5_0125.r24	0	0	0	0	-
127	rt4_TMB-5_0126.r24	0	0	0	0	-
128	rt4_TMB-5_0127.r24	0	0	0	0	-
129	rt4_TMB-5_0128.r24	0	0	0	0	-
130	rt4_TMB-5_0129.r24	0	0	0	0	-
131	rt4_TMB-5_0130.r24	1	1	1	1	WITHHOLD
132	rt4_TMB-5_0131.r24	1	1	1	1	WITHHOLD
133	rt4_TMB-5_0132.r24	1	1	1	1	WITHHOLD
134	rt4_TMB-5_0133.r24	1	1	0	0	CONFIRM_INSTALL
135	rt4_TMB-5_0134.r24	1	0	0	0	CONFIRM_INSTALL
136	rt4_TMB-5_0135.r24	0	0	0	0	-
137	rt4_TMB-5_0136.r24	0	0	0	0	-
138	rt4_TMB-5_0137.r24	0	0	0	0	-
139	rt4_TMB-5_0138.r24	0	0	0	0	-
140	rt4_TMB-5_0139.r24	0	0	0	0	-
141	rt4_TMB-5_0140.r24	1	1	1	1	WITHHOLD
142	rt4_TMB-5_0141.r24	1	1	1	1	WITHHOLD
143	rt4_TMB-5_0142.r24	1	1	1	1	WITHHOLD
144	rt4_TMB-5_0143.r24	1	1	0	0	CONFIRM_INSTALL
145	rt4_TMB-5_0144.r24	1	0	0	0	CONFIRM_INSTALL
146	rt4_TMB-5_0145.r24	0	0	0	0	-
147	rt4_TMB-5_0146.r24	0	0	0	0	-
148	rt4_TMB-5_0147.r24	0	0	0	0	-
149	rt4_TMB-5_0148.r24	0	0	0	0	-
150	rt4_TMB-5_0149.r24	0	0	0	0	-
151	rt4_TMB-5_0150.r24	1	1	1	1	WITHHOLD
152	rt4_TMB-5_0151.r24	1	1	1	1	WITHHOLD
153	rt4_TMB-5_0152.r24	1	1	1	1	WITHHOLD
154	rt4_TMB-5_0153.r24	1	1	0	0	CONFIRM_INSTALL
155	rt4_TMB-5_0154.r24	1	0	0	0	CONFIRM_INSTALL
156	rt4_TMB-5_0155.r24	0	0	0	0	-
157	rt4_TMB-5_0156.r24	0	0	0	0	-
158	rt4_TMB-5_0157.r24	0	0	0	0	-
159	rt4_TMB-5_0158.r24	0	0	0	0	-
160	rt4_TMB-5_0159.r24	0	0	0	0	-
161	rt4_TMB-5_0160.r24	1	1	1	1	WITHHOLD
162	rt4_TMB-5_0161.r24	1	1	1	1	WITHHOLD
163	rt4_TMB-5_0162.r24	1	1	1	1	WITHHOLD
164	rt4_TMB-5_0163.r24	1	1	0	0	CONFIRM_INSTALL
165	rt4_TMB-5_0164.r24	1	0	0	0	CONFIRM_INSTALL
166	rt4_TMB-5_0165.r24	0	0	0	0	-
167	rt4_TMB-5_0166.r24	0	0	0	0	-
168	rt4_TMB-5_0167.r24	0	0	0	0	-
169	rt4_TMB-5_0168.r24	0	0	0	0	-
170	rt4_TMB-5_0169.r24	0	0	0	0	-
171	rt4_TMB-5_0170.r24	1	1	1	1	WITHHOLD
172	rt4_TMB-5_0171.r24	1	1	1	1	WITHHOLD
173	rt4_TMB-5_0172.r24	1	1	1	1	WITHHOLD
174	rt4_TMB-5_0173.r24	1	1	0	0	CONFIRM_INSTALL
175	rt4_TMB-5_0174.r24	1	0	0	0	CONFIRM_INSTALL
176	rt4_TMB-5_0175.r24	0	0	0	0	-
177	rt4_TMB-5_0176.r24	0	0	0	0	-
178	rt4_TMB-5_0177.r24	0	0	0	0	-
179	rt4_TMB-5_0178.r24	0	0	0	0	-
180	rt4_TMB-5_0179.r24	0	0	0	0	-
181	rt4_TMB-5_0180.r24	1	1	1	1	WITHHOLD
182	rt4_TMB-5_0181.r24	1	1	1	1	WITHHOLD
183	rt4_TMB-5_0182.r24	1	1	1	1	WITHHOLD
184	rt4_TMB-5_0183.r24	1	1	0	0	CONFIRM_INSTALL
185	rt4_TMB-5_0184.r24	1	0	0	0	CONFIRM_INSTALL
186	rt4_TMB-5_0185.r24	0	0	0	0	-
187	rt4_TMB-5_0186.r24	0	0	0	0	-
188	rt4_TMB-5_0187.r24	0	0	0	0	-
189	rt4_TMB-5_0188.r24	0	0	0	0	-
190	rt4_TMB-5_0189.r24	0	0	0	0	-
191	rt4_TMB-5_0190.r24	1	1	1	0	WITHHOLD
192	rt4_TMB-5_0191.r24	1	1	1	0	WITHHOLD
193	rt4_TMB-5_0192.r24	1	1	1	0	WITHHOLD
194	rt4_TMB-5_0193.r24	1	1	0	0	CONFIRM_INSTALL
195	rt4_TMB-5_0194.r24	1	0	0	0	CONFIRM_INSTALL
196	rt4_TMB-5_0195.r24	0	0	0	0	-
197	rt4_TMB-5_0196.r24	0	0	0	0	-
198	rt4_TMB-5_0197.r24	0	0	0	0	-
199	rt4_TMB-5_0198.r24	0	0	0	0	-
200	rt4_TMB-5_0199.r24	0	0	0	0	-
201	rt4_TMB-5_0200.r24	1	1	0	0	CONFIRM_INSTALL
202	rt4_TMB-5_0201.r24	1	1	0	0	CONFIRM_INSTALL
203	rt4_TMB-5_0202.r24	1	1	0	0	CONFIRM_INSTALL
204	rt4_TMB-5_0203.r24	1	1	0	0	CONFIRM_INSTALL
205	rt4_TMB-5_0204.r24	1	0	0	0	CONFIRM_INSTALL
206	rt4_TMB-5_0205.r24	0	0	0	0	-
207	rt4_TMB-5_0206.r24	0	0	0	0	-
208	rt4_TMB-5_0207.r24	0	0	0	0	-
209	rt4_TMB-5_0208.r24	0	0	0	0	-
210	rt4_TMB-5_0209.r24	0	0	0	0	-
211	rt4_TMB-5_0210.r24	1	0	0	0	CONFIRM_INSTALL
212	rt4_TMB-5_0211.r24	1	0	0	0	CONFIRM_INSTALL
213	rt4_TMB-5_0212.r24	1	0	0	0	CONFIRM_INSTALL
214	rt4_TMB-5_0213.r24	1	0	0	0	CONFIRM_INSTALL
215	rt4_TMB-5_0214.r24	1	0	0	0	CONFIRM_INSTALL
216	rt4_TMB-5_0215.r24	0	0	0	0	-
217	rt4_TMB-5_0216.r24	0	0	0	0	-
218	rt4_TMB-5_0217.r24	0	0	0	0	-
219	rt4_TMB-5_0218.r24	0	0	0	0	-
220	rt4_TMB-5_0219.r24	0	0	0	0	-
221	rt4_TMB-5_0220.r24	0	0	0	0	-
222	rt4_TMB-5_0221.r24	0	0	0	0	-
223	rt4_TMB-5_0222.r24	0	0	0	0	-
224	rt4_TMB-5_0223.r24	0	0	0	0	-
225	rt4_TMB-5_0224.r24	0	0	0	0	-
226	rt4_TMB-5_0225.r24	0	0	0	0	-
227	rt4_TMB-5_0226.r24	0	0	0	0	-
228	rt4_TMB-5_0227.r24	0	0	0	0	-
229	rt4_TMB-5_0228.r24	0	0	0	0	-
230	rt4_TMB-5_0229.r24	0	0	0	0	-
231	rt4_TMB-5_0230.r24	0	0	0	0	-
232	rt4_TMB-5_0231.r24	0	0	0	0	-
233	rt4_TMB-5_0232.r24	0	0	0	0	-
234	rt4_TMB-5_0233.r24	0	0	0	0	-
235	rt4_TMB-5_0234.r24	0	0	0	0	-
236	rt4_TMB-5_0235.r24	0	0	0	0	-
237	rt4_TMB-5_0236.r24	0	0	0	0	-
238	rt4_TMB-5_0237.r24	0	0	0	0	-
239	rt4_TMB-5_0238.r24	0	0	0	0	-
240	rt4_TMB-5_0239.r24	0	0	0	0	-
241	rt4_TMB-5_0240.r24	0	0	0	0	-
242	rt4_TMB-5_0241.r24	0	0	0	0	-
243	rt4_TMB-5_0242.r24	0	0	0	0	-
244	rt4_TMB-5_0243.r24	0	0	0	0	-
245	rt4_TMB-5_0244.r24	0	0	0	0	-
246	rt4_TMB-5_0245.r24	0	0	0	0	-
247	rt4_TMB-5_0246.r24	0	0	0	0	-
248	rt4_TMB-5_0247.r24	0	0	0	0	-
249	rt4_TMB-5_0248.r24	0	0	0	0	-
250	rt4_TMB-5_0249.r24	0	0	0	0	-
251	rt4_TMB-5_0250.r24	0	0	0	0	-
252	rt4_TMB-5_0251.r24	0	0	0	0	-
253	rt4_TMB-5_0252.r24	0	0	0	0	-
254	rt4_TMB-5_0253.r24	0	0	0	0	-
255	rt4_TMB-5_0254.r24	0	0	0	0	-
256	rt4_TMB-5_0255.r24	0	0	0	0	-
257	rt4_TMB-5_0256.r24	0	0	0	0	-
258	rt4_TMB-5_0257.r24	0	0	0	0	-
259	rt4_TMB-5_0258.r24	0	0	0	0	-
260	rt4_TMB-5_0259.r24	0	0	0	0	-
261	rt4_TMB-5_0260.r24	0	0	0	0	-
262	rt4_TMB-5_0261.r24	0	0	0	0	-
263	rt4_TMB-5_0262.r24	0	0	0	0	-
264	rt4_TMB-5_0263.r24	0	0	0	0	-
265	rt4_TMB-5_0264.r24	0	0	0	0	-
266	rt4_TMB-5_0265.r24	0	0	0	0	-
267	rt4_TMB-5_0266.r24	0	0	0	0	-
268	rt4_TMB-5_0267.r24	0	0	0	0	-
269	rt4_TMB-5_0268.r24	0	0	0	0	-
270	rt4_TMB-5_0269.r24	0	0	0	0	-
271	rt4_TMB-5_0270.r24	0	0	0	0	-
272	rt4_TMB-5_0271.r24	0	0	0	0	-
273	rt4_TMB-5_0272.r24	0	0	0	0	-
274	rt4_TMB-5_0273.r24	0	0	0	0	-
275	rt4_TMB-5_0274.r24	0	0	0	0	-
276	rt4_TMB-5_0275.r24	0	0	0	0	-
277	rt4_TMB-5_0276.r24	0	0	0	0	-
278	rt4_TMB-5_0277.r24	0	0	0	0	-
279	rt4_TMB-5_0278.r24	0	0	0	0	-
280	rt4_TMB-5_0279.r24	0	0	0	0	-
281	rt4_TMB-5_0280.r24	0	0	0	0	-
282	rt4_TMB-5_0281.r24	0	0	0	0	-
283	rt4_TMB-5_0282.r24	0	0	0	0	-
284	rt4_TMB-5_0283.r24	0	0	0	0	-
285	rt4_TMB-5_0284.r24	0	0	0	0	-
286	rt4_TMB-5_0285.r24	0	0	0	0	-
287	rt4_TMB-5_0286.r24	0	0	0	0	-
288	rt4_TMB-5_0287.r24	0	0	0	0	-
289	rt4_TMB-5_0288.r24	0	0	0	0	-
290	rt4_TMB-5_0289.r24	0	0	0	0	-
291	rt4_TMB-5_0290.r24	0	0	0	0	-
292	rt4_TMB-5_0291.r24	0	0	0	0	-
293	rt4_TMB-5_0292.r24	0	0	0	0	-
294	rt4_TMB-5_0293.r24	0	0	0	0	-
295	rt4_TMB-5_0294.r24	0	0	0	0	-
296	rt4_TMB-5_0295.r24	0	0	0	0	-
297	rt4_TMB-5_0296.r24	0	0	0	0	-
298	rt4_TMB-5_0297.r24	0	0	0	0	-
299	rt4_TMB-5_0298.r24	0	0	0	0	-
300	rt4_TMB-5_0299.r24	0	0	0	0	-
