C events parsed: 11
C regions=4 starts: 0 88200 264600 418950
C rg=1 rb=92 g=75577 m=20861 T=20128 st=0
C rg=1 rb=93 g=75577 m=20897 T=20128 st=0
C rg=1 rb=94 g=75577 m=18285 T=17788 st=0
C rg=1 rb=95 g=67722 m=9011 T=7138 st=1
C rg=1 rb=96 g=67722 m=7663 T=7876 st=0
C rg=1 rb=97 g=67722 m=10433 T=10265 st=0
C rg=1 rb=98 g=67722 m=13302 T=13818 st=0
C rg=1 rb=99 g=70671 m=15902 T=17287 st=1
C rg=1 rb=100 g=70671 m=18590 T=19556 st=0
C rg=1 rb=101 g=73776 m=10833 T=11785 st=1
C rg=1 rb=102 g=68286 m=8326 T=7087 st=1
C rg=1 rb=103 g=66282 m=7823 T=7364 st=1
C rg=1 rb=104 g=73616 m=12842 T=15684 st=1
C rg=1 rb=105 g=77783 m=18081 T=20128 st=1
C rg=1 rb=106 g=77783 m=21094 T=20128 st=0
C rg=1 rb=107 g=74149 m=22202 T=20128 st=1
C rg=1 rb=108 g=77959 m=18252 T=20128 st=1
C rg=1 rb=109 g=77959 m=19471 T=20128 st=0
C rg=1 rb=110 g=77959 m=20505 T=20128 st=0
C rg=1 rb=111 g=74014 m=22394 T=20128 st=1
C rg=1 rb=112 g=69400 m=8118 T=7106 st=1
C rg=1 rb=113 g=67266 m=8085 T=7588 st=1
C rg=1 rb=114 g=67266 m=9722 T=9580 st=0
C rg=1 rb=115 g=67266 m=12463 T=12981 st=0
C rg=1 rb=116 g=74484 m=13652 T=16582 st=1
C rg=1 rb=117 g=77616 m=17702 T=19191 st=1
C rg=1 rb=118 g=77616 m=14660 T=15056 st=0
C rg=1 rb=119 g=70515 m=8674 T=7087 st=1
C rg=1 rb=120 g=66705 m=7978 T=7116 st=1
C rg=1 rb=121 g=68820 m=12409 T=13196 st=1
C rg=1 rb=122 g=71238 m=18692 T=20006 st=1
C rg=1 rb=123 g=73212 m=19071 T=20128 st=1
C rg=1 rb=124 g=73212 m=19844 T=20128 st=0
C rg=1 rb=125 g=73212 m=19580 T=20128 st=0
C rg=1 rb=126 g=73212 m=19985 T=20128 st=0
C rg=1 rb=127 g=73212 m=19755 T=20128 st=0
C rg=1 rb=128 g=73212 m=20154 T=20128 st=0
C rg=1 rb=129 g=73212 m=11566 T=11791 st=0
C rg=1 rb=130 g=68493 m=8471 T=7379 st=1
C rg=1 rb=131 g=68493 m=9357 T=8972 st=0
C rg=1 rb=132 g=70550 m=11454 T=12142 st=1
C rg=1 rb=133 g=70550 m=15622 T=15814 st=0
C rg=1 rb=134 g=73197 m=17430 T=18738 st=1
C rg=1 rb=135 g=73197 m=17004 T=17683 st=0
C rg=1 rb=136 g=68715 m=8076 T=7087 st=1
C rg=1 rb=137 g=65812 m=7741 T=7087 st=1
C rg=1 rb=138 g=65812 m=7332 T=7087 st=0
C rg=1 rb=139 g=65812 m=7327 T=7087 st=0
C rg=1 rb=140 g=63366 m=7656 T=7087 st=1
C rg=1 rb=141 g=63366 m=6759 T=7087 st=0
C rg=1 rb=142 g=61266 m=7590 T=7087 st=1
C rg=1 rb=143 g=64697 m=6373 T=7087 st=1
C rg=1 rb=144 g=62152 m=7692 T=7087 st=1
C rg=1 rb=145 g=62152 m=6822 T=7087 st=0
C rg=1 rb=146 g=62152 m=7040 T=7087 st=0
C rg=1 rb=147 g=62152 m=6919 T=7087 st=0
C rg=1 rb=148 g=62152 m=6922 T=7087 st=0
C rg=1 rb=149 g=62152 m=7185 T=7087 st=0
C rg=1 rb=150 g=64060 m=6677 T=7087 st=1
C rg=1 rb=151 g=61644 m=7665 T=7087 st=1
C rg=1 rb=152 g=64957 m=6399 T=7087 st=1
C rg=1 rb=153 g=62201 m=7744 T=7087 st=1
C rg=1 rb=154 g=62201 m=6786 T=7087 st=0
C rg=1 rb=155 g=62201 m=7089 T=7087 st=0
C rg=1 rb=156 g=62201 m=6925 T=7087 st=0
C rg=1 rb=157 g=62201 m=6926 T=7087 st=0
C rg=1 rb=158 g=62201 m=7144 T=7087 st=0
C rg=1 rb=159 g=63845 m=6731 T=7087 st=1
C rg=1 rb=160 g=61577 m=7629 T=7087 st=1
C rg=1 rb=161 g=64951 m=6387 T=7087 st=1
C rg=1 rb=162 g=62138 m=7759 T=7087 st=1
C rg=1 rb=163 g=62138 m=6733 T=7087 st=0
C rg=1 rb=164 g=62138 m=7128 T=7087 st=0
C rg=1 rb=165 g=62138 m=6920 T=7087 st=0
C rg=1 rb=166 g=62138 m=6916 T=7087 st=0
C rg=1 rb=167 g=62138 m=7090 T=7087 st=0
C rg=1 rb=168 g=62138 m=6770 T=7087 st=0
C rg=1 rb=169 g=62138 m=7410 T=7087 st=0
C rg=1 rb=170 g=65216 m=6448 T=7087 st=1
C rg=1 rb=171 g=62227 m=7802 T=7087 st=1
C rg=1 rb=172 g=66569 m=6219 T=7087 st=1
C rg=2 rb=0 g=65536 m=7969 T=7659 st=0
C rg=2 rb=1 g=67385 m=10734 T=11340 st=1
C rg=2 rb=2 g=69804 m=11212 T=12017 st=1
C rg=2 rb=3 g=65712 m=13613 T=12017 st=1
C rg=2 rb=4 g=65712 m=12618 T=12017 st=0
C rg=2 rb=5 g=67447 m=11414 T=12017 st=1
C rg=2 rb=6 g=71502 m=10727 T=12017 st=1
C rg=2 rb=7 g=71502 m=12154 T=12017 st=0
C rg=2 rb=8 g=66512 m=13966 T=12017 st=1
C rg=2 rb=9 g=66512 m=12620 T=12017 st=0
C rg=2 rb=10 g=66512 m=12111 T=12017 st=0
C rg=2 rb=11 g=66512 m=11975 T=12017 st=0
C rg=2 rb=12 g=62424 m=13701 T=12017 st=1
C rg=2 rb=13 g=66105 m=10749 T=12017 st=1
C rg=2 rb=14 g=70017 m=10745 T=12017 st=1
C rg=2 rb=15 g=73063 m=11055 T=12017 st=1
C rg=2 rb=16 g=73063 m=12415 T=12017 st=0
C rg=2 rb=17 g=66920 m=14446 T=12017 st=1
C rg=2 rb=18 g=65172 m=12679 T=12017 st=1
C rg=2 rb=19 g=65172 m=12587 T=12017 st=0
C rg=2 rb=20 g=65172 m=12486 T=12017 st=0
C rg=2 rb=21 g=63477 m=12676 T=12017 st=1
C rg=2 rb=22 g=70653 m=9801 T=12017 st=1
C rg=2 rb=23 g=70653 m=11782 T=12017 st=0
C rg=2 rb=24 g=73058 m=11251 T=12017 st=1
C rg=2 rb=25 g=73058 m=12576 T=12017 st=0
C rg=2 rb=26 g=66736 m=14532 T=12017 st=1
C rg=2 rb=27 g=64555 m=12857 T=12017 st=1
C rg=2 rb=28 g=62047 m=13029 T=12017 st=1
C rg=2 rb=29 g=62047 m=11906 T=12017 st=0
C rg=2 rb=30 g=67061 m=10345 T=12017 st=1
C rg=2 rb=31 g=70674 m=10848 T=12017 st=1
C rg=2 rb=32 g=70674 m=12339 T=12017 st=0
C rg=2 rb=33 g=72813 m=11331 T=12017 st=1
C rg=2 rb=34 g=70642 m=12779 T=12017 st=1
C rg=2 rb=35 g=65669 m=13986 T=12017 st=1
C rg=2 rb=36 g=63000 m=13080 T=12017 st=1
C rg=2 rb=37 g=63000 m=12444 T=12017 st=0
C rg=2 rb=38 g=63000 m=11504 T=12017 st=0
C rg=2 rb=39 g=68923 m=10115 T=12017 st=1
C rg=2 rb=40 g=68923 m=11836 T=12017 st=0
C rg=2 rb=41 g=68923 m=12415 T=12017 st=0
C rg=2 rb=42 g=71884 m=11066 T=12017 st=1
C rg=2 rb=43 g=69486 m=12876 T=12017 st=1
C rg=2 rb=44 g=65430 m=13605 T=12017 st=1
C rg=2 rb=45 g=62136 m=13362 T=12017 st=1
C rg=2 rb=46 g=63811 m=11402 T=12017 st=1
C rg=2 rb=47 g=67832 m=10672 T=12017 st=1
C rg=2 rb=48 g=67832 m=11988 T=12017 st=0
C rg=2 rb=49 g=67832 m=12292 T=12017 st=0
C rg=2 rb=50 g=67832 m=12346 T=12017 st=0
C rg=2 rb=51 g=71293 m=10904 T=12017 st=1
C rg=2 rb=52 g=68648 m=12980 T=12017 st=1
C rg=2 rb=53 g=65562 m=13204 T=12017 st=1
C rg=2 rb=54 g=62847 m=13102 T=12017 st=1
C rg=2 rb=55 g=67663 m=10420 T=12017 st=1
C rg=2 rb=56 g=69825 m=11295 T=12017 st=1
C rg=2 rb=57 g=65598 m=13672 T=12017 st=1
C rg=2 rb=58 g=65598 m=12256 T=12017 st=0
C rg=2 rb=59 g=65598 m=11882 T=12017 st=0
C rg=2 rb=60 g=70063 m=10577 T=12017 st=1
C rg=2 rb=61 g=67927 m=12797 T=12017 st=1
C rg=2 rb=62 g=67927 m=12640 T=12017 st=0
C rg=2 rb=63 g=67927 m=12369 T=12017 st=0
C rg=2 rb=64 g=70554 m=11154 T=12017 st=1
C rg=2 rb=65 g=68601 m=12721 T=12017 st=1
C rg=2 rb=66 g=63352 m=14188 T=12017 st=1
C rg=2 rb=67 g=63352 m=11995 T=12017 st=0
C rg=2 rb=68 g=65329 m=11311 T=12017 st=1
C rg=2 rb=69 g=69716 m=10594 T=12017 st=1
C rg=2 rb=70 g=69716 m=12534 T=12017 st=0
C rg=2 rb=71 g=69716 m=12285 T=12017 st=0
C rg=2 rb=72 g=71699 m=11370 T=12017 st=1
C rg=2 rb=73 g=69057 m=12973 T=12017 st=1
C rg=2 rb=74 g=65613 m=13348 T=12017 st=1
C rg=2 rb=75 g=61800 m=13597 T=12017 st=1
C rg=2 rb=76 g=61800 m=11752 T=12017 st=0
C rg=2 rb=77 g=65221 m=10819 T=12017 st=1
C rg=2 rb=78 g=69437 m=10641 T=12017 st=1
C rg=2 rb=79 g=69437 m=12031 T=12017 st=0
C rg=2 rb=80 g=69437 m=11484 T=12017 st=0
C rg=2 rb=81 g=71675 m=11289 T=12017 st=1
C rg=2 rb=82 g=66609 m=13995 T=12017 st=1
C rg=2 rb=83 g=63640 m=13193 T=12017 st=1
C rg=2 rb=84 g=61384 m=12934 T=12017 st=1
C rg=2 rb=85 g=61384 m=11675 T=12017 st=0
C rg=2 rb=86 g=65808 m=10503 T=12017 st=1
C rg=2 rb=87 g=70000 m=10659 T=12017 st=1
C rg=2 rb=88 g=70000 m=11588 T=12017 st=0
C rg=2 rb=89 g=70000 m=11490 T=12017 st=0
C rg=2 rb=90 g=68021 m=12737 T=12017 st=1
C rg=2 rb=91 g=64991 m=13192 T=12017 st=1
C rg=2 rb=92 g=63345 m=12658 T=12017 st=1
C rg=2 rb=93 g=63345 m=12646 T=12017 st=0
C rg=2 rb=94 g=63345 m=11979 T=12017 st=0
C rg=2 rb=95 g=67680 m=10570 T=12017 st=1
C rg=2 rb=96 g=71682 m=10746 T=12017 st=1
C rg=2 rb=97 g=71682 m=11721 T=12017 st=0
C rg=2 rb=98 g=71682 m=12069 T=12017 st=0
C rg=2 rb=99 g=65230 m=14655 T=12017 st=1
C rg=2 rb=100 g=65230 m=11913 T=12017 st=0
C rg=2 rb=101 g=65230 m=12190 T=12017 st=0
C rg=2 rb=102 g=62952 m=12919 T=12017 st=1
C rg=2 rb=103 g=62952 m=11791 T=12017 st=0
C rg=2 rb=104 g=68134 m=10318 T=12017 st=1
C rg=2 rb=105 g=71888 m=10824 T=12017 st=1
C rg=2 rb=106 g=71888 m=12367 T=12017 st=0
C rg=2 rb=107 g=68154 m=13410 T=12017 st=1
C rg=2 rb=108 g=64227 m=13582 T=12017 st=1
C rg=2 rb=109 g=67414 m=10932 T=12017 st=1
C rg=2 rb=110 g=67414 m=12195 T=12017 st=0
C rg=2 rb=111 g=64046 m=13351 T=12017 st=1
C rg=2 rb=112 g=64046 m=11877 T=12017 st=0
C rg=2 rb=113 g=68176 m=10644 T=12017 st=1
C rg=2 rb=114 g=70494 m=8044 T=8591 st=1
C rg=2 rb=115 g=64633 m=8613 T=7181 st=1
C rg=2 rb=116 g=64633 m=7812 T=7690 st=0
C rg=2 rb=117 g=64633 m=8822 T=8818 st=0
C rg=2 rb=118 g=69455 m=8932 T=10265 st=1
C rg=2 rb=119 g=69455 m=11868 T=11470 st=0
C rg=2 rb=120 g=64932 m=11302 T=9830 st=1
C rg=2 rb=121 g=64932 m=7206 T=7087 st=0
C rg=2 rb=122 g=62589 m=7638 T=7087 st=1
C rg=2 rb=123 g=64954 m=6589 T=7087 st=1
C rg=2 rb=124 g=62034 m=7787 T=7087 st=1
C rg=2 rb=125 g=64803 m=6506 T=7087 st=1
C rg=2 rb=126 g=62426 m=7648 T=7087 st=1
C rg=2 rb=127 g=62426 m=6916 T=7087 st=0
C rg=2 rb=128 g=62426 m=7001 T=7087 st=0
C rg=2 rb=129 g=62426 m=6965 T=7087 st=0
C rg=2 rb=130 g=62426 m=6943 T=7087 st=0
C rg=2 rb=131 g=62426 m=7305 T=7087 st=0
C rg=2 rb=132 g=64663 m=6613 T=7087 st=1
C rg=2 rb=133 g=61897 m=7750 T=7087 st=1
C rg=2 rb=134 g=64895 m=6461 T=7087 st=1
C rg=2 rb=135 g=62350 m=7690 T=7087 st=1
C rg=2 rb=136 g=62350 m=6879 T=7087 st=0
C rg=2 rb=137 g=62350 m=7024 T=7087 st=0
C rg=2 rb=138 g=62350 m=6946 T=7087 st=0
C rg=2 rb=139 g=62350 m=6942 T=7087 st=0
C rg=2 rb=140 g=62350 m=7253 T=7087 st=0
C rg=2 rb=141 g=64398 m=6650 T=7087 st=1
C rg=2 rb=142 g=61784 m=7713 T=7087 st=1
C rg=2 rb=143 g=64956 m=6427 T=7087 st=1
C rg=2 rb=144 g=62281 m=7723 T=7087 st=1
C rg=2 rb=145 g=62281 m=6836 T=7087 st=0
C rg=2 rb=146 g=62281 m=7055 T=7087 st=0
C rg=2 rb=147 g=62281 m=6933 T=7087 st=0
C rg=2 rb=148 g=62281 m=6936 T=7087 st=0
C rg=2 rb=149 g=62281 m=7200 T=7087 st=0
C rg=2 rb=150 g=62281 m=6863 T=7087 st=0
C rg=3 rb=0 g=65536 m=7730 T=7659 st=0
C rg=3 rb=1 g=65536 m=11529 T=11340 st=0
C rg=3 rb=2 g=67470 m=11347 T=12017 st=1
C rg=3 rb=3 g=65648 m=12703 T=12017 st=1
C rg=3 rb=4 g=65648 m=11444 T=12017 st=0
C rg=3 rb=5 g=65648 m=12395 T=12017 st=0
C rg=3 rb=6 g=65648 m=11423 T=12017 st=0
C rg=3 rb=7 g=65648 m=12152 T=12017 st=0
C rg=3 rb=8 g=65648 m=11895 T=12017 st=0
C rg=3 rb=9 g=65648 m=11619 T=12017 st=0
C rg=3 rb=10 g=65648 m=12256 T=12017 st=0
C rg=3 rb=11 g=67430 m=11398 T=12017 st=1
C rg=3 rb=12 g=67430 m=12499 T=12017 st=0
C rg=3 rb=13 g=67430 m=11866 T=12017 st=0
C rg=3 rb=14 g=67430 m=12583 T=12017 st=0
C rg=3 rb=15 g=67430 m=11856 T=12017 st=0
C rg=3 rb=16 g=67430 m=12469 T=12017 st=0
C rg=3 rb=17 g=67430 m=12365 T=12017 st=0
C rg=3 rb=18 g=67430 m=11834 T=12017 st=0
C rg=3 rb=19 g=67430 m=12640 T=12017 st=0
C rg=3 rb=20 g=67430 m=11847 T=12017 st=0
C rg=3 rb=21 g=67430 m=12137 T=12017 st=0
C rg=3 rb=22 g=67430 m=12110 T=12017 st=0
C rg=3 rb=23 g=67430 m=12467 T=12017 st=0
C rg=3 rb=24 g=67430 m=11841 T=12017 st=0
C rg=3 rb=25 g=67430 m=12477 T=12017 st=0
C rg=3 rb=26 g=67430 m=12472 T=12017 st=0
C rg=3 rb=27 g=67430 m=11783 T=12017 st=0
C rg=3 rb=28 g=67430 m=12564 T=12017 st=0
C rg=3 rb=29 g=67430 m=12034 T=12017 st=0
C rg=3 rb=30 g=67430 m=12168 T=12017 st=0
C rg=3 rb=31 g=67430 m=11846 T=12017 st=0
C rg=3 rb=32 g=67430 m=12595 T=12017 st=0
C rg=3 rb=33 g=67430 m=11759 T=12017 st=0
C rg=3 rb=34 g=67430 m=12487 T=12017 st=0
C rg=3 rb=35 g=67430 m=12552 T=12017 st=0
C rg=3 rb=36 g=67430 m=11769 T=12017 st=0
C rg=3 rb=37 g=67430 m=12208 T=12017 st=0
C rg=3 rb=38 g=67430 m=12246 T=12017 st=0
C rg=3 rb=39 g=67430 m=12507 T=12017 st=0
C rg=3 rb=40 g=67430 m=11639 T=12017 st=0
C rg=3 rb=41 g=67430 m=12592 T=12017 st=0
C rg=3 rb=42 g=67430 m=11712 T=12017 st=0
C rg=3 rb=43 g=67430 m=12487 T=12017 st=0
C rg=3 rb=44 g=67430 m=12617 T=12017 st=0
C rg=3 rb=45 g=67430 m=11707 T=12017 st=0
C rg=3 rb=46 g=67430 m=11862 T=12017 st=0
C rg=3 rb=47 g=67430 m=12370 T=12017 st=0
C rg=3 rb=48 g=65342 m=12810 T=12017 st=1
C rg=3 rb=49 g=67693 m=11210 T=12017 st=1
C rg=3 rb=50 g=67693 m=12621 T=12017 st=0
C rg=3 rb=51 g=67693 m=11779 T=12017 st=0
C rg=3 rb=52 g=67693 m=12521 T=12017 st=0
