cand	cell	trial_idx	disp
T2hi	CC1-V3	0	PROV
T2hi	CC1-V3	1	PERM
T2hi	CC1-V3	2	CHAL
T2hi	CC1-V3	3	CHAL
T2hi	CC1-V4	0	PROV
T2hi	CC1-V4	1	PERM
T2hi	CC1-V4	2	CHAL
T2hi	CC1-V4	3	CHAL
T2hi	CC1-V5	0	PROV
T2hi	CC1-V5	1	PERM
T2hi	CC1-V5	2	CHAL
T2hi	CC1-V5	3	CHAL
T2hi	CC1-V6	0	PROV
T2hi	CC1-V6	1	PERM
T2hi	CC1-V6	2	CHAL
T2hi	CC1-V6	3	CHAL
T2hi	CC1-V7	0	PROV
T2hi	CC1-V7	1	PERM
T2hi	CC1-V7	2	CHAL
T2hi	CC1-V7	3	CHAL
T2hi	CC1-V8	0	PROV
T2hi	CC1-V8	1	PERM
T2hi	CC1-V8	2	CHAL
T2hi	CC1-V8	3	CHAL
T2hi	CC1-V9	0	PROV
T2hi	CC1-V9	1	PERM
T2hi	CC1-V9	2	CHAL
T2hi	CC1-V9	3	REV
T2hi	CC2	0	PROV
T2hi	CC2	1	PERM
T2hi	CC2	2	CHAL
T2hi	CC2	3	REV
T2hi	CC2-W1	0	PROV
T2hi	CC2-W1	1	PERM
T2hi	CC2-W1	2	CHAL
T2hi	CC2-W1	3	REV
T2hi	CC2-W2	0	PROV
T2hi	CC2-W2	1	PERM
T2hi	CC2-W2	2	CHAL
T2hi	CC2-W2	3	REV
T2hi	C1-W3	0	PROV
T2hi	C1-W3	1	PERM
T2hi	C1-W3	2	CHAL
T2hi	C1-W3	3	REV
T3	C1	0	PROV
T3	C1	1	PERM
T3	C1	2	CHAL
T3	C1	3	REV
T3	C2	0	PROV
T3	C2	1	PERM
T3	C2	2	CHAL
T3	C3	0	PROV
T3	C3	1	PERM
T3	C3	2	CHAL
T3	R1	0	PROV
T3	R1	1	PERM
T3	R1	2	CONF
T3	R2	0	PROV
T3	R2	1	PROV
T3	R2	2	CHAL
T3	H1	0	CONF
T3	T1	0	PROV
T3	T1	1	PERM
T3	T1	2	CHAL
T3	W1	0	WITH
T3	W1	1	WITH
T3	W1	2	WITH
T3	CC1	0	PROV
T3	CC1	1	PERM
T3	CC1	2	CHAL
T3	CC1	3	CHAL
T3	CC1-V1	0	PROV
T3	CC1-V1	1	PERM
T3	CC1-V1	2	CHAL
T3	CC1-V1	3	CHAL
T3	CC1-V2	0	PROV
T3	CC1-V2	1	PERM
T3	CC1-V2	2	CHAL
T3	CC1-V2	3	CHAL
T3	CC1-V3	0	PROV
T3	CC1-V3	1	PERM
T3	CC1-V3	2	CHAL
T3	CC1-V3	3	CHAL
T3	CC1-V4	0	PROV
T3	CC1-V4	1	PERM
T3	CC1-V4	2	CHAL
T3	CC1-V4	3	CHAL
T3	CC1-V5	0	PROV
T3	CC1-V5	1	PERM
T3	CC1-V5	2	CHAL
T3	CC1-V5	3	CHAL
T3	CC1-V6	0	PROV
T3	CC1-V6	1	PERM
T3	CC1-V6	2	CHAL
T3	CC1-V6	3	CHAL
T3	CC1-V7	0	PROV
T3	CC1-V7	1	PERM
T3	CC1-V7	2	CHAL
T3	CC1-V7	3	CHAL
T3	CC1-V8	0	PROV
T3	CC1-V8	1	PERM
T3	CC1-V8	2	CHAL
T3	CC1-V8	3	CHAL
T3	CC1-V9	0	PROV
T3	CC1-V9	1	PERM
T3	CC1-V9	2	CHAL
T3	CC1-V9	3	REV
T3	CC2	0	PROV
T3	CC2	1	PERM
T3	CC2	2	CHAL
T3	CC2	3	REV
T3	CC2-W1	0	PROV
T3	CC2-W1	1	PERM
T3	CC2-W1	2	CHAL
T3	CC2-W1	3	REV
T3	CC2-W2	0	PROV
T3	CC2-W2	1	PERM
T3	CC2-W2	2	CHAL
T3	CC2-W2	3	REV
T3	C1-W3	0	PROV
T3	C1-W3	1	PERM
T3	C1-W3	2	CHAL
T3	C1-W3	3	REV
T4	C1	0	PROV
T4	C1	1	PERM
T4	C1	2	CHAL
T4	C1	3	CHAL
T4	C2	0	PROV
T4	C2	1	PERM
T4	C2	2	CHAL
T4	C3	0	PROV
T4	C3	1	PERM
T4	C3	2	CHAL
T4	R1	0	PROV
T4	R1	1	PERM
T4	R1	2	CONF
T4	R2	0	PROV
T4	R2	1	PROV
T4	R2	2	CHAL
T4	H1	0	CONF
T4	T1	0	PROV
T4	T1	1	PERM
T4	T1	2	CHAL
T4	W1	0	WITH
T4	W1	1	WITH
T4	W1	2	WITH
T4	CC1	0	PROV
T4	CC1	1	PERM
T4	CC1	2	CHAL
T4	CC1	3	CHAL
T4	CC1-V1	0	PROV
T4	CC1-V1	1	PERM
T4	CC1-V1	2	CHAL
T4	CC1-V1	3	CHAL
T4	CC1-V2	0	PROV
T4	CC1-V2	1	PERM
T4	CC1-V2	2	CHAL
T4	CC1-V2	3	CHAL
T4	CC1-V3	0	PROV
T4	CC1-V3	1	PERM
T4	CC1-V3	2	CHAL
T4	CC1-V3	3	CHAL
T4	CC1-V4	0	PROV
T4	CC1-V4	1	PERM
T4	CC1-V4	2	CHAL
T4	CC1-V4	3	CHAL
T4	CC1-V5	0	PROV
T4	CC1-V5	1	PERM
T4	CC1-V5	2	CHAL
T4	CC1-V5	3	CHAL
T4	CC1-V6	0	PROV
T4	CC1-V6	1	PERM
T4	CC1-V6	2	CHAL
T4	CC1-V6	3	CHAL
T4	CC1-V7	0	PROV
T4	CC1-V7	1	PERM
T4	CC1-V7	2	CHAL
T4	CC1-V7	3	CHAL
T4	CC1-V8	0	PROV
T4	CC1-V8	1	PERM
T4	CC1-V8	2	CHAL
T4	CC1-V8	3	CHAL
T4	CC1-V9	0	PROV
T4	CC1-V9	1	PERM
T4	CC1-V9	2	CHAL
T4	CC1-V9	3	CHAL
T4	CC2	0	PROV
T4	CC2	1	PERM
T4	CC2	2	CHAL
T4	CC2	3	CHAL
T4	CC2-W1	0	PROV
T4	CC2-W1	1	PERM
T4	CC2-W1	2	CHAL
T4	CC2-W1	3	CHAL
T4	CC2-W2	0	PROV
T4	CC2-W2	1	PERM
T4	CC2-W2	2	CHAL
T4	CC2-W2	3	CHAL
T4	C1-W3	0	PROV
T4	C1-W3	1	PERM
T4	C1-W3	2	CHAL
T4	C1-W3	3	CHAL
