clip,class,seal_match,byte_identical,deterministic,sem_rms_LSB,sem_corr,use_h,n
field-fsd50k-10002,field,True,True,True,115.4,0.99851,0,
field-fsd50k-100035,field,True,True,True,211.07,0.99807,0,
field-fsd50k-100036,field,True,True,True,68.88,0.99831,0,
field-fsd50k-100039,field,True,True,True,80.05,0.99632,0,
field-fsd50k-100150,field,True,True,True,218.07,0.99831,0,
field-fsd50k-100155,field,True,True,True,407.63,0.99895,0,
field-fsd50k-100633,field,True,True,True,360.52,0.99798,0,
field-fsd50k-100634,field,True,True,True,303.07,0.99796,0,
field-fsd50k-100636,field,True,True,True,466.28,0.99693,0,
field-fsd50k-100762,field,True,True,True,74.87,0.9945,0,
field-fsd50k-100767,field,True,True,True,176.64,0.99849,0,
field-fsd50k-101135,field,True,True,True,390.76,0.9973,0,
field-fsd50k-101136,field,True,True,True,286.84,0.99754,0,
field-fsd50k-101137,field,True,True,True,373.57,0.9953,0,
field-fsd50k-102561,field,True,True,True,421.65,0.99643,0,
field-fsd50k-102863,field,True,True,True,131.23,0.99281,0,
field-fsd50k-103045,field,True,True,True,251.16,0.99735,0,
field-fsd50k-103411,field,True,True,True,786.5,0.9892,0,
field-tau-airport-barcelona-0-0-0-a,field,True,True,True,72.34,0.99733,0,
field-tau-airport-barcelona-0-0-1-a,field,True,True,True,80.58,0.9979,0,
field-tau-airport-barcelona-0-0-2-a,field,True,True,True,102.14,0.99558,0,
field-tau-airport-barcelona-0-0-3-a,field,True,True,True,110.89,0.99381,0,
field-tau-airport-barcelona-0-0-4-a,field,True,True,True,55.04,0.99792,0,
field-tau-airport-barcelona-0-0-5-a,field,True,True,True,102.32,0.99608,0,
field-tau-airport-barcelona-0-0-6-a,field,True,True,True,91.06,0.99642,0,
field-tau-bus-barcelona-15-611-0-b,field,True,True,True,107.94,0.99899,0,
field-tau-bus-barcelona-15-611-1-b,field,True,True,True,141.75,0.99848,0,
field-tau-bus-barcelona-15-611-2-b,field,True,True,True,121.74,0.99869,0,
field-tau-bus-barcelona-15-611-3-b,field,True,True,True,147.32,0.99887,0,
field-tau-bus-barcelona-15-611-4-b,field,True,True,True,260.62,0.99868,0,
field-tau-bus-barcelona-15-611-5-b,field,True,True,True,516.46,0.99739,0,
field-tau-metro-barcelona-220-6631-0-b,field,True,True,True,489.23,0.99805,0,
field-tau-metro-barcelona-220-6631-1-b,field,True,True,True,235.9,0.99558,0,
field-tau-metro-barcelona-220-6631-2-b,field,True,True,True,177.7,0.99828,0,
field-tau-metro-barcelona-220-6631-3-b,field,True,True,True,124.1,0.99869,0,
field-tau-metro-barcelona-220-6631-4-b,field,True,True,True,419.88,0.99117,0,
field-tau-metro-barcelona-220-6631-5-b,field,True,True,True,252.22,0.99519,0,
field-tau-metro_station-lisbon-1221-44774-0-s6,field,True,True,True,339.65,0.99795,0,
field-tau-metro_station-lisbon-1221-44774-1-s6,field,True,True,True,239.55,0.99892,0,
field-tau-metro_station-lisbon-1221-44774-2-s6,field,True,True,True,355.75,0.9975,0,
field-tau-metro_station-lisbon-1221-44774-3-s6,field,True,True,True,273.15,0.99868,0,
field-tau-metro_station-lisbon-1221-44774-4-s6,field,True,True,True,314.58,0.9981,0,
field-tau-metro_station-lisbon-1221-44774-5-s6,field,True,True,True,322.85,0.99813,0,
field-usn-A-AS-roos-001_200120_135526_35,field,True,True,True,65.56,0.99499,0,
field-usn-A-AS-roos_002_200120_140013_80,field,True,True,True,216.02,0.99758,0,
field-usn-A-AS-roos_002_200120_140030_83,field,True,True,True,55.1,0.99932,0,
field-usn-A-Roos01_151936_95,field,True,True,True,98.96,0.9982,0,
field-usn-B-AS-roos-001.200120.133315.48,field,True,True,True,114.94,0.99822,0,
field-usn-B-AS-roos-001.200120.133928.26,field,True,True,True,63.18,0.99798,0,
field-usn-B-AS-roos-001.200120.134245.35,field,True,True,True,48.04,0.99874,0,
field-usn-B-AS-roos-001.200120.134851.39,field,True,True,True,95.65,0.99457,0,
field-usn-C-AS-roos-001.200120.141819.06,field,True,True,True,90.64,0.99331,0,
field-usn-C-AS-roos.002.200120.144328.04,field,True,True,True,101.62,0.996,0,
field-usn-C-AS-roos.002.200120.165433.55,field,True,True,True,84.22,0.99856,0,
field-usn-C-Roos06.151003.02,field,True,True,True,86.52,0.99727,1,
field-usn-K.RGracht-0004.152351,field,True,True,True,13.51,0.99912,0,
field-usn-K.RGracht-0004.152916,field,True,True,True,11.14,0.9993,0,
field-usn-K.RGracht-0004.153038,field,True,True,True,18.78,0.99913,0,
field-usn-O-AS-roos-001.200120.140428.20,field,True,True,True,70.18,0.99743,0,
field-usn-O-AS-roos-001.200120.141844.06,field,True,True,True,222.01,0.99776,0,
field-usn-O-AS-roos-001.200120.142224.72,field,True,True,True,109.24,0.99747,0,
field-usn-T-AS-roos-001.200120.135555.37,field,True,True,True,44.18,0.99774,0,
field-usn-T-AS-roos-001.200120.140358.60,field,True,True,True,46.6,0.99713,0,
field-usn-T-AS-roos-001.200120.140547.52,field,True,True,True,32.5,0.99865,0,
field-usn-shot556_141_ch01_180718_163938_63_,field,True,True,True,391.72,0.98628,0,
field-usn-shot556_142_ch01_180718_163951_79_,field,True,True,True,341.22,0.98923,0,
field-usn-shot556_143_ch01_180718_164003_45_,field,True,True,True,432.72,0.98269,0,
field-usn-shot556_150_ch01_180718_164053_99_,field,True,True,True,475.6,0.98397,0,
lowf0-ptdb-000-M09_sa1,lowf0,True,True,True,140.19,0.99349,0,
lowf0-ptdb-001-M03_sa2,lowf0,True,True,True,139.48,0.99308,0,
lowf0-ptdb-002-M03_sa1,lowf0,True,True,True,120.03,0.99313,0,
lowf0-ptdb-003-M09_sa2,lowf0,True,True,True,206.97,0.98794,0,
lowf0-ptdb-004-M06_sa2,lowf0,True,True,True,178.42,0.99386,0,
lowf0-ptdb-005-M01_sa2,lowf0,True,True,True,229.56,0.99094,0,
lowf0-ptdb-006-M01_sa1,lowf0,True,True,True,177.62,0.99377,0,
lowf0-ptdb-007-M06_sa1,lowf0,True,True,True,172.15,0.99435,0,
lowf0-ptdb-008-M02_si642,lowf0,True,True,True,100.98,0.99316,0,
lowf0-ptdb-009-M01_si455,lowf0,True,True,True,68.2,0.99264,0,
lowf0-ptdb-010-M01_si456,lowf0,True,True,True,56.52,0.99259,0,
lowf0-ptdb-011-M01_si454,lowf0,True,True,True,66.17,0.99502,0,
lowf0-ptdb-012-M05_sa1,lowf0,True,True,True,142.28,0.98861,0,
lowf0-ptdb-013-M02_si643,lowf0,True,True,True,77.28,0.9927,0,
lowf0-ptdb-014-M02_si644,lowf0,True,True,True,81.76,0.98905,0,
lowf0-ptdb-015-M01_si458,lowf0,True,True,True,100.75,0.99401,0,
lowf0-ptdb-016-M01_si459,lowf0,True,True,True,88.12,0.99445,0,
lowf0-ptdb-017-M01_si457,lowf0,True,True,True,50.18,0.99375,0,
lowf0-ptdb-018-M02_sa1,lowf0,True,True,True,86.51,0.99392,0,
lowf0-ptdb-019-M05_sa2,lowf0,True,True,True,143.11,0.98948,0,
lowf0-ptdb-020-M08_sa2,lowf0,True,True,True,125.74,0.99174,0,
lowf0-ptdb-021-M02_sa2,lowf0,True,True,True,98.65,0.99259,0,
lowf0-ptdb-022-M07_sa1,lowf0,True,True,True,177.36,0.99231,0,
lowf0-ptdb-023-M01_si453,lowf0,True,True,True,82.84,0.99305,0,
lowf0-ptdb-024-M01_si460,lowf0,True,True,True,99.58,0.9934,0,
lowf0-ptdb-025-M08_sa1,lowf0,True,True,True,120.02,0.99276,0,
lowf0-ptdb-026-M07_sa2,lowf0,True,True,True,87.9,0.98984,0,
lowf0-ptdb-027-M10_sa1,lowf0,True,True,True,179.63,0.99411,0,
lowf0-ptdb-028-M10_sa2,lowf0,True,True,True,189.63,0.99123,0,
lowf0-ptdb-029-M04_sa1,lowf0,True,True,True,131.78,0.99367,0,
lowf0-ptdb-030-M04_sa2,lowf0,True,True,True,187.85,0.98512,0,
prosody-cremad-1001-ANG,prosody,True,True,True,139.12,0.99784,0,
prosody-cremad-1002-DIS,prosody,True,True,True,35.14,0.99764,0,
prosody-cremad-1003-FEA,prosody,True,True,True,29.79,0.99806,0,
prosody-cremad-1004-HAP,prosody,True,True,True,61.12,0.99775,0,
prosody-cremad-1005-NEU,prosody,True,True,True,64.14,0.99666,0,
prosody-cremad-1006-SAD,prosody,True,True,True,25.83,0.99807,0,
prosody-cremad-1007-ANG,prosody,True,True,True,841.52,0.98764,0,
prosody-cremad-1008-DIS,prosody,True,True,True,84.52,0.99764,0,
prosody-cremad-1009-FEA,prosody,True,True,True,129.12,0.99864,0,
prosody-cremad-1010-HAP,prosody,True,True,True,54.3,0.9979,0,
prosody-cremad-1011-NEU,prosody,True,True,True,31.79,0.99782,0,
prosody-cremad-1012-SAD,prosody,True,True,True,37.26,0.99652,1,
prosody-cremad-1013-ANG,prosody,True,True,True,843.08,0.98627,0,
prosody-cremad-1014-DIS,prosody,True,True,True,24.36,0.99726,0,
prosody-cremad-1015-FEA,prosody,True,True,True,67.44,0.99778,0,
prosody-cremad-1016-HAP,prosody,True,True,True,141.18,0.99813,0,
prosody-cremad-1017-NEU,prosody,True,True,True,51.05,0.99818,0,
prosody-cremad-1018-SAD,prosody,True,True,True,19.56,0.99845,0,
prosody-cremad-1019-ANG,prosody,True,True,True,255.37,0.99383,0,
prosody-cremad-1020-DIS,prosody,True,True,True,18.11,0.99818,0,
prosody-cremad-1021-FEA,prosody,True,True,True,15.66,0.99766,0,
prosody-cremad-1022-HAP,prosody,True,True,True,76.72,0.99703,0,
prosody-cremad-1023-NEU,prosody,True,True,True,63.27,0.99814,0,
prosody-cremad-1024-SAD,prosody,True,True,True,18.31,0.99802,0,
prosody-cremad-1025-ANG,prosody,True,True,True,73.74,0.99801,0,
prosody-emov-Amused-001,prosody,True,True,True,447.99,0.98774,0,
prosody-emov-Amused-002,prosody,True,True,True,271.57,0.99277,0,
prosody-emov-Amused-009,prosody,True,True,True,860.35,0.97586,0,
prosody-emov-Amused-010,prosody,True,True,True,567.07,0.98704,1,
prosody-emov-Amused-021,prosody,True,True,True,176.63,0.99754,0,
prosody-emov-Angry-004,prosody,True,True,True,526.52,0.98896,0,
prosody-emov-Angry-005,prosody,True,True,True,290.53,0.99501,0,
prosody-emov-Angry-006,prosody,True,True,True,431.4,0.98265,1,
prosody-emov-Angry-014,prosody,True,True,True,508.88,0.99256,0,
prosody-emov-Angry-015,prosody,True,True,True,183.68,0.99691,0,
prosody-emov-Disgusted-003,prosody,True,True,True,114.33,0.99787,0,
prosody-emov-Disgusted-004,prosody,True,True,True,355.73,0.99466,0,
prosody-emov-Disgusted-006,prosody,True,True,True,358.82,0.99343,0,
prosody-emov-Disgusted-013,prosody,True,True,True,386.01,0.99215,0,
prosody-emov-Disgusted-018,prosody,True,True,True,186.5,0.99739,0,
prosody-emov-Neutral-007,prosody,True,True,True,809.71,0.98331,0,
prosody-emov-Neutral-008,prosody,True,True,True,594.37,0.99185,0,
prosody-emov-Neutral-012,prosody,True,True,True,436.12,0.99538,0,
prosody-emov-Neutral-016,prosody,True,True,True,482.26,0.99316,0,
prosody-emov-Neutral-017,prosody,True,True,True,500.12,0.99102,0,
prosody-emov-Sleepy-000,prosody,True,True,True,699.97,0.98595,0,
prosody-emov-Sleepy-003,prosody,True,True,True,408.77,0.99092,0,
prosody-emov-Sleepy-011,prosody,True,True,True,467.87,0.99577,0,
prosody-emov-Sleepy-019,prosody,True,True,True,656.88,0.99065,0,
prosody-emov-Sleepy-020,prosody,True,True,True,480.8,0.99274,0,
prosody-mir1k-ABJones_1_lyrics,prosody,True,True,True,60.25,0.99622,0,
prosody-mir1k-Ani_5_03_m,prosody,True,True,True,178.9,0.99773,0,
prosody-mir1k-Ani_5_08,prosody,True,True,True,119.01,0.99925,0,
prosody-mir1k-abjones_3_09_v,prosody,True,True,True,222.01,0.99866,0,
prosody-mir1k-amy_12,prosody,True,True,True,250.54,0.99622,0,
prosody-mir1k-amy_14_05,prosody,True,True,True,126.87,0.99885,0,
prosody-mir1k-amy_16_06_m,prosody,True,True,True,161.12,0.99848,0,
prosody-mir1k-amy_1_07_m,prosody,True,True,True,151.09,0.99884,0,
prosody-mir1k-annar_3_02_m,prosody,True,True,True,189.83,0.99786,0,
prosody-mir1k-annar_4_07,prosody,True,True,True,151.36,0.9989,0,
prosody-mir1k-bobon_2_04_v,prosody,True,True,True,334.39,0.99803,0,
prosody-mir1k-bug_5_04,prosody,True,True,True,144.22,0.99821,0,
prosody-mir1k-davidson_1_08_m,prosody,True,True,True,114.37,0.99871,0,
prosody-mir1k-fdps_1_03_m,prosody,True,True,True,134.14,0.9986,1,
prosody-mir1k-fdps_4_02_v,prosody,True,True,True,253.53,0.99835,0,
prosody-mir1k-geniusturtle_3_03,prosody,True,True,True,152.68,0.99781,0,
prosody-mir1k-geniusturtle_8_02_m,prosody,True,True,True,155.94,0.99847,0,
prosody-mir1k-jmzen_3_10_m,prosody,True,True,True,94.83,0.99942,1,
prosody-mir1k-jmzen_4_05,prosody,True,True,True,110.63,0.99903,0,
prosody-mir1k-leon_1_11_v,prosody,True,True,True,242.98,0.99779,0,
prosody-mir1k-leon_7_06,prosody,True,True,True,130.07,0.99888,0,
prosody-mir1k-leon_8_12_m,prosody,True,True,True,180.7,0.99885,0,
prosody-mir1k-stool_2_05_v,prosody,True,True,True,197.72,0.99832,0,
prosody-mir1k-titon_4_05_v,prosody,True,True,True,331.81,0.99787,0,
prosody-mir1k-yifen_1_05,prosody,True,True,True,134.44,0.99808,0,
prosody-ravdess-1-03,prosody,True,True,True,46.92,0.99169,0,
prosody-ravdess-1-06,prosody,True,True,True,128.79,0.99211,0,
prosody-ravdess-10-05,prosody,True,True,True,356.68,0.99256,0,
prosody-ravdess-11-06,prosody,True,True,True,134.8,0.99329,0,
prosody-ravdess-12-07,prosody,True,True,True,43.98,0.99273,0,
prosody-ravdess-13-08,prosody,True,True,True,43.99,0.99024,0,
prosody-ravdess-14-02,prosody,True,True,True,4.69,0.99275,0,
prosody-ravdess-15-03,prosody,True,True,True,91.7,0.99221,0,
prosody-ravdess-16-04,prosody,True,True,True,38.33,0.98664,0,
prosody-ravdess-17-05,prosody,True,True,True,236.72,0.98925,0,
prosody-ravdess-18-06,prosody,True,True,True,132.95,0.99162,0,
prosody-ravdess-19-07,prosody,True,True,True,50.38,0.99339,0,
prosody-ravdess-2-04,prosody,True,True,True,20.31,0.99319,0,
prosody-ravdess-20-08,prosody,True,True,True,84.0,0.99302,0,
prosody-ravdess-21-02,prosody,True,True,True,32.06,0.98776,0,
prosody-ravdess-22-03,prosody,True,True,True,114.71,0.99085,0,
prosody-ravdess-23-04,prosody,True,True,True,42.26,0.99183,0,
prosody-ravdess-24-05,prosody,True,True,True,210.08,0.99322,0,
prosody-ravdess-3-05,prosody,True,True,True,391.37,0.99121,0,
prosody-ravdess-4-06,prosody,True,True,True,148.0,0.99429,0,
prosody-ravdess-5-07,prosody,True,True,True,13.88,0.99129,0,
prosody-ravdess-6-08,prosody,True,True,True,14.86,0.99221,0,
prosody-ravdess-7-02,prosody,True,True,True,9.75,0.99316,0,
prosody-ravdess-8-03,prosody,True,True,True,75.24,0.99199,0,
prosody-ravdess-9-04,prosody,True,True,True,7.34,0.99008,0,
speech-e22-000,speech,True,True,True,127.59,0.99917,0,
speech-e22-001,speech,True,True,True,147.22,0.99858,0,
speech-e22-002,speech,True,True,True,161.77,0.99902,0,
speech-e22-003,speech,True,True,True,149.41,0.99932,1,
speech-e22-004,speech,True,True,True,150.77,0.9979,0,
speech-e22-005,speech,True,True,True,237.47,0.99763,0,
speech-e22-006,speech,True,True,True,124.91,0.99885,0,
speech-e22-007,speech,True,True,True,63.33,0.99921,0,
speech-e22-008,speech,True,True,True,76.04,0.99874,0,
speech-e22-009,speech,True,True,True,78.02,0.99942,0,
speech-e22-010,speech,True,True,True,66.5,0.99892,0,
speech-e22-011,speech,True,True,True,74.0,0.9989,0,
speech-e22-012,speech,True,True,True,86.82,0.99915,0,
speech-e22-013,speech,True,True,True,75.61,0.99921,0,
speech-e22-014,speech,True,True,True,77.0,0.99926,1,
speech-e22-015,speech,True,True,True,86.82,0.99906,0,
speech-e22-016,speech,True,True,True,658.94,0.98503,0,
speech-e22-017,speech,True,True,True,296.04,0.9981,0,
speech-e22-018,speech,True,True,True,196.57,0.99885,0,
speech-e22-019,speech,True,True,True,649.8,0.99412,0,
speech-e22-020,speech,True,True,True,648.5,0.98799,0,
speech-e22-021,speech,True,True,True,1018.13,0.98772,1,
speech-e22-022,speech,True,True,True,500.89,0.98783,0,
speech-e22-023,speech,True,True,True,412.49,0.99245,0,
speech-e22-024,speech,True,True,True,139.56,0.99769,0,
speech-e22-025,speech,True,True,True,227.77,0.9983,0,
speech-e22-026,speech,True,True,True,75.59,0.99834,0,
speech-e22-027,speech,True,True,True,46.26,0.999,0,
speech-e22-028,speech,True,True,True,46.83,0.99908,0,
speech-e22-029,speech,True,True,True,53.03,0.99886,0,
speech-e22-030,speech,True,True,True,246.03,0.99864,0,
speech-e22-031,speech,True,True,True,102.2,0.99846,0,
speech-e22-032,speech,True,True,True,53.04,0.99873,0,
speech-e22-033,speech,True,True,True,71.63,0.99905,0,
speech-e22-034,speech,True,True,True,126.11,0.99742,0,
speech-e22-035,speech,True,True,True,60.52,0.99856,0,
speech-e22-036,speech,True,True,True,68.01,0.99865,0,
speech-e22-037,speech,True,True,True,117.88,0.99856,0,
speech-vox-000,speech,True,True,True,38.11,0.99833,0,
speech-vox-001,speech,True,True,True,15.87,0.99797,0,
speech-vox-002,speech,True,True,True,113.87,0.99717,0,
speech-vox-003,speech,True,True,True,73.7,0.9977,0,
speech-vox-004,speech,True,True,True,75.47,0.99797,0,
speech-vox-005,speech,True,True,True,178.89,0.99757,0,
speech-vox-006,speech,True,True,True,88.98,0.9987,0,
speech-vox-007,speech,True,True,True,59.72,0.99831,0,
speech-vox-008,speech,True,True,True,21.68,0.99819,0,
speech-vox-009,speech,True,True,True,20.84,0.99787,0,
speech-vox-010,speech,True,True,True,114.52,0.99817,0,
speech-vox-011,speech,True,True,True,159.67,0.99736,0,
speech-vox-012,speech,True,True,True,81.69,0.99775,0,
speech-vox-013,speech,True,True,True,251.33,0.99852,0,
speech-vox-014,speech,True,True,True,97.79,0.99795,0,
speech-vox-015,speech,True,True,True,190.17,0.99847,0,
speech-vox-016,speech,True,True,True,49.35,0.99786,0,
speech-vox-017,speech,True,True,True,47.05,0.99786,0,
speech-vox-018,speech,True,True,True,48.57,0.99819,0,
speech-vox-019,speech,True,True,True,38.47,0.9985,0,
speech-vox-020,speech,True,True,True,405.64,0.99754,0,
speech-vox-021,speech,True,True,True,104.65,0.99788,0,
speech-vox-022,speech,True,True,True,171.79,0.99819,0,
speech-vox-023,speech,True,True,True,90.45,0.998,0,
speech-vox-024,speech,True,True,True,154.3,0.9981,0,
speech-vox-025,speech,True,True,True,60.73,0.99848,0,
speech-vox-026,speech,True,True,True,84.35,0.99757,0,
speech-vox-027,speech,True,True,True,80.8,0.99726,0,
speech-vox-028,speech,True,True,True,157.76,0.99848,0,
speech-vox-029,speech,True,True,True,79.28,0.99813,0,
speech-vox-030,speech,True,True,True,99.78,0.99759,0,
speech-vox-031,speech,True,True,True,139.46,0.99826,0,
speech-vox-032,speech,True,True,True,116.59,0.99811,0,
speech-vox-033,speech,True,True,True,148.66,0.99842,0,
speech-vox-034,speech,True,True,True,52.11,0.99796,0,
speech-vox-035,speech,True,True,True,37.5,0.99784,0,
speech-vox-036,speech,True,True,True,121.58,0.99809,0,
speech-vox-037,speech,True,True,True,83.31,0.9983,0,
