# Frozen synonym lexicon for leg-(e) probe transform B1 (single-word synonym swap).
# Dated 2026-09-22. Committed as a pre-run artifact per frozen PREREG §11.
# Format: one pair per line, "word -> synonym". Every pair is same part of
# speech and meaning-preserving in ordinary prose by construction (audited
# 2026-09-22; ambiguous/POS-shifting/hypernym pairs removed). The transform
# scans the sentence left to right and applies the first lexicon entry whose
# key matches a whole word (case-insensitive); exactly one swap per sentence.
# '#' starts a comment.
# --- nouns ---
dwarf -> gnome
fairy -> pixie
witch -> sorceress
wizard -> mage
dragon -> wyrm
monster -> beast
snake -> serpent
waterfall -> cascade
cave -> cavern
cliff -> crag
peak -> summit
plateau -> tableland
canyon -> gorge
ravine -> gully
earthquake -> temblor
tornado -> twister
flood -> deluge
thunder -> thunderclap
lightning -> bolt
rainbow -> arc
eclipse -> occultation
planet -> orb
constellation -> asterism
horizon -> skyline
dawn -> daybreak
twilight -> gloaming
noon -> midday
sunrise -> sunup
sunset -> sundown
summer -> summertime
winter -> wintertime
age -> epoch
era -> period
millennium -> chiliad
moment -> minute
second -> instant
bush -> shrub
hedge -> hedgerow
orchard -> grove
pasture -> lea
swamp -> marsh
bog -> fen
brook -> rill
# --- verbs ---
walk -> stroll
run -> sprint
jump -> leap
climb -> ascend
fall -> tumble
fly -> soar
swim -> paddle
crawl -> creep
sit -> perch
sleep -> slumber
wake -> awaken
eat -> devour
drink -> quaff
bite -> gnaw
chew -> munch
speak -> talk
say -> utter
tell -> narrate
ask -> inquire
call -> summon
shout -> yell
whisper -> murmur
sing -> chant
laugh -> chuckle
cry -> weep
smile -> grin
frown -> scowl
look -> gaze
see -> behold
watch -> observe
stare -> gape
glance -> peek
listen -> hearken
smell -> sniff
taste -> savor
touch -> feel
think -> ponder
know -> comprehend
understand -> grasp
learn -> master
teach -> instruct
remember -> recall
decide -> determine
choose -> select
want -> desire
need -> require
like -> enjoy
hate -> detest
hope -> aspire
wish -> crave
believe -> trust
doubt -> question
guess -> surmise
imagine -> envision
wonder -> marvel
notice -> discern
realize -> recognize
find -> discover
seek -> pursue
search -> hunt
follow -> trail
lead -> guide
show -> display
hide -> conceal
cover -> shroud
uncover -> reveal
close -> shut
lock -> bolt
unlock -> unbolt
break -> shatter
crack -> split
tear -> rip
cut -> slice
chop -> hew
dig -> excavate
build -> construct
make -> fashion
create -> forge
destroy -> demolish
repair -> mend
fix -> rectify
wash -> launder
paint -> daub
boil -> seethe
freeze -> congeal
melt -> thaw
burn -> scorch
ignite -> light
pour -> decant
fill -> replenish
carry -> tote
bring -> fetch
take -> seize
give -> bestow
send -> dispatch
receive -> accept
buy -> purchase
sell -> vend
pay -> remit
steal -> pilfer
borrow -> cadge
lend -> loan
spend -> expend
waste -> squander
earn -> merit
count -> tally
measure -> gauge
weigh -> heft
add -> append
subtract -> deduct
help -> assist
hinder -> impede
protect -> shield
defend -> guard
attack -> assault
fight -> brawl
kill -> slay
die -> perish
hurt -> injure
heal -> cure
win -> triumph
compete -> vie
dance -> prance
rest -> repose
wait -> tarry
hurry -> hasten
linger -> loiter
depart -> leave
come -> approach
go -> proceed
enter -> ingress
exit -> egress
cross -> traverse
turn -> veer
bend -> flex
twist -> contort
shake -> tremble
shiver -> quiver
nod -> bob
point -> indicate
beckon -> summon
push -> shove
pull -> tug
lift -> hoist
drop -> release
throw -> hurl
catch -> snatch
grab -> clutch
hold -> grasp
squeeze -> compress
stretch -> extend
shrink -> contract
expand -> swell
grow -> burgeon
wither -> shrivel
fade -> dim
shine -> gleam
glow -> glimmer
sparkle -> twinkle
flash -> flicker
reflect -> mirror
color -> tint
dye -> stain
bleach -> whiten
darken -> dim
cook -> roast
# --- adjectives ---
big -> large
small -> little
huge -> enormous
tiny -> minute
long -> lengthy
short -> brief
tall -> lofty
wide -> broad
narrow -> slender
deep -> profound
high -> elevated
thick -> dense
thin -> slight
heavy -> weighty
soft -> supple
rough -> coarse
smooth -> sleek
sharp -> keen
dull -> blunt
hot -> torrid
cold -> frigid
warm -> tepid
cool -> chilly
wet -> damp
dry -> arid
dirty -> soiled
new -> novel
old -> ancient
young -> youthful
fast -> swift
slow -> sluggish
quick -> rapid
early -> premature
late -> tardy
good -> fine
bad -> poor
great -> grand
excellent -> superb
terrible -> dreadful
beautiful -> lovely
pretty -> comely
ugly -> homely
bright -> radiant
dark -> murky
clear -> limpid
cloudy -> overcast
sunny -> shining
red -> crimson
blue -> azure
green -> verdant
yellow -> golden
white -> snowy
black -> ebony
gray -> ashen
brown -> umber
purple -> violet
pink -> rosy
happy -> glad
sad -> sorrowful
angry -> irate
afraid -> fearful
brave -> valiant
cowardly -> craven
kind -> gentle
cruel -> merciless
generous -> lavish
selfish -> miserly
honest -> truthful
dishonest -> deceitful
wise -> sagacious
foolish -> inane
clever -> adroit
stupid -> obtuse
smart -> astute
rich -> wealthy
strong -> mighty
weak -> feeble
healthy -> hale
sick -> ailing
tired -> weary
hungry -> famished
thirsty -> parched
empty -> vacant
loud -> clamorous
quiet -> silent
noisy -> raucous
sweet -> saccharine
sour -> tart
bitter -> acrid
salty -> briny
spicy -> piquant
fresh -> crisp
stale -> musty
ripe -> mellow
rotten -> putrid
solid -> firm
liquid -> fluid
fragrant -> redolent
foul -> fetid
pleasant -> agreeable
comfortable -> cozy
safe -> secure
dangerous -> perilous
risky -> chancy
certain -> sure
uncertain -> dubious
likely -> probable
unlikely -> improbable
possible -> feasible
necessary -> requisite
important -> weighty
trivial -> trifling
urgent -> pressing
calm -> serene
nervous -> jittery
excited -> thrilled
reluctant -> loath
willing -> disposed
proud -> haughty
humble -> meek
arrogant -> supercilious
jealous -> envious
grateful -> thankful
ashamed -> abashed
guilty -> culpable
innocent -> blameless
curious -> inquisitive
serious -> grave
funny -> droll
solemn -> staid
merry -> jovial
gloomy -> morose
cheerful -> blithe
lively -> vivacious
interesting -> engaging
boring -> tiresome
weird -> uncanny
mysterious -> enigmatic
obvious -> patent
visible -> manifest
invisible -> unseen
locked -> sealed
free -> liberated
captive -> enslaved
wild -> feral
tame -> domesticated
fierce -> ferocious
savage -> barbarous
bold -> audacious
timid -> timorous
shy -> bashful
confident -> assured
doubtful -> skeptical
hopeful -> sanguine
hopeless -> forlorn
desperate -> frantic
eager -> avid
patient -> forbearing
impatient -> restive
polite -> courteous
rude -> impolite
refined -> polished
elegant -> graceful
clumsy -> awkward
neat -> tidy
messy -> slovenly
orderly -> systematic
chaotic -> tumultuous
complex -> intricate
easy -> facile
difficult -> arduous
vague -> nebulous
precise -> exact
wrong -> erroneous
fake -> spurious
artificial -> synthetic
normal -> regular
abnormal -> aberrant
common -> prevalent
rare -> scarce
usual -> customary
unusual -> unwonted
native -> indigenous
modern -> contemporary
current -> present
eternal -> everlasting
temporary -> transient
brief -> fleeting
endless -> interminable
whole -> entire
complete -> total
perfect -> flawless
imperfect -> faulty
pure -> unalloyed
sacred -> hallowed
holy -> divine
blessed -> beatific
cursed -> accursed
lucky -> fortunate
unlucky -> hapless
beneficial -> salubrious
harmful -> noxious
useful -> utilitarian
useless -> futile
valuable -> precious
cheap -> inexpensive
expensive -> costly
abundant -> copious
plentiful -> ample
meager -> scant
sufficient -> adequate
crowded -> congested
solitary -> lone
separate -> discrete
joined -> conjoined
connected -> linked
adjacent -> abutting
far -> remote
distant -> faraway
absent -> away
somewhere -> someplace
anywhere -> anyplace
# --- adverbs (plus a few determiner-like adjectives at the end) ---
quickly -> swiftly
slowly -> leisurely
carefully -> cautiously
carelessly -> heedlessly
eagerly -> avidly
gladly -> gleefully
sadly -> sorrowfully
angrily -> irately
softly -> gently
quietly -> silently
brightly -> radiantly
darkly -> murkily
clearly -> plainly
truly -> verily
really -> genuinely
quite -> fairly
rather -> somewhat
almost -> nearly
often -> frequently
seldom -> rarely
usually -> customarily
generally -> broadly
apart -> asunder
forward -> onward
backward -> rearward
upward -> skyward
downward -> earthward
nevertheless -> notwithstanding
moreover -> furthermore
likewise -> similarly
maybe -> perchance
probably -> likely
certainly -> surely
definitely -> assuredly
absolutely -> utterly
completely -> wholly
entirely -> fully
partly -> partially
hardly -> scarcely
barely -> just
merely -> purely
simply -> plainly
exactly -> precisely
directly -> straightway
immediately -> instantly
last -> final
next -> following
previous -> prior
same -> identical
different -> disparate
other -> alternative
several -> sundry
many -> manifold
