order	fixture	family	truth
123	r2n_colorconst_0030.img	R2N	SAME_SURFACE
124	r2n_motiondir_0537.vid	R2N	NW
125	r2n_timbredisc_0029.pcm	R2N	BRIGHT
126	r2a_shapetrans_0450.img	R2A-SHP-2	CIRCLE
127	r2a_pitchdisc_0539.pcm	R2A-PTC-2	HIGHER
128	r2a_colordisc_0273.img	R2A-COL-1	DIFFERENT
129	r2n_colordisc_0001.img	R2N	SAME
130	r2a_pitchdisc_0577.pcm	R2A-PTC-2	HIGHER
131	r2a_shapetrans_0800.img	R2A-SHP-2	SQUARE
132	r2n_colordisc_1052.img	R2N	DIFFERENT
133	r2n_shapetrans_0081.img	R2N	CIRCLE
134	r2a_colorconst_0350.img	R2A-CCN-2	SAME_SURFACE
135	r2a_motiondir_0389.vid	R2A-MOT-2	NE
136	r2n_pitchdisc_0002.pcm	R2N	LOWER
137	r2n_motiondir_0402.vid	R2N	S
138	r2a_shapetrans_0414.img	R2A-SHP-2	TRIANGLE
139	r2n_timbredisc_0007.pcm	R2N	RICH
140	r2n_pitchdisc_0116.pcm	R2N	LOWER
141	r2n_colordisc_0770.img	R2N	DIFFERENT
142	r2a_colorconst_0408.img	R2A-CCN-2	SAME_SURFACE
143	r2a_shapetrans_0368.img	R2A-SHP-1	TRIANGLE
144	r2a_shapetrans_0297.img	R2A-SHP-1	CIRCLE
145	r2a_shapetrans_0201.img	R2A-SHP-1	CIRCLE
146	r2a_colordisc_0313.img	R2A-COL-1	DIFFERENT
147	r2a_motiondir_0588.vid	R2A-MOT-2	S
148	r2a_colorconst_0394.img	R2A-CCN-2	SAME_SURFACE
149	r2a_colorconst_0500.img	R2A-CCN-2	SAME_SURFACE
150	r2n_shapetrans_0965.img	R2N	SQUARE
151	r2n_motiondir_0026.vid	R2N	STILL
152	r2n_shapetrans_1077.img	R2N	CIRCLE
153	r2a_shapetrans_0019.img	R2A-SHP-1	TRIANGLE
154	r2n_motiondir_0000.vid	R2N	E
155	r2a_motiondir_0370.vid	R2A-MOT-2	NE
156	r2n_pitchdisc_0028.pcm	R2N	HIGHER
157	r2n_shapetrans_1025.img	R2N	SQUARE
158	r2n_pitchdisc_0209.pcm	R2N	LOWER
159	r2a_shapetrans_0245.img	R2A-SHP-1	TRIANGLE
160	r2a_colorconst_0514.img	R2A-CCN-2	SAME_SURFACE
161	r2n_colordisc_0354.img	R2N	SAME
162	r2a_pitchdisc_0527.pcm	R2A-PTC-2	HIGHER
163	r2n_pitchdisc_0616.pcm	R2N	HIGHER
164	r2n_pitchdisc_0262.pcm	R2N	HIGHER
165	r2n_colorconst_0084.img	R2N	SAME_SURFACE
166	r2a_pitchdisc_0351.pcm	R2A-PTC-2	LOWER
167	r2a_shapetrans_0478.img	R2A-SHP-2	CIRCLE
168	r2n_motiondir_0272.vid	R2N	SW
169	r2n_shapetrans_0155.img	R2N	SQUARE
170	r2n_timbredisc_0247.pcm	R2N	RICH
171	r2a_colorconst_0626.img	R2A-CCN-2	SAME_SURFACE
172	r2a_shapetrans_0033.img	R2A-SHP-1	TRIANGLE
173	r2n_colordisc_0190.img	R2N	SAME
174	r2n_colorconst_0208.img	R2N	SAME_SURFACE
175	r2n_shapetrans_1011.img	R2N	CIRCLE
176	r2a_pitchdisc_0367.pcm	R2A-PTC-2	LOWER
177	r2a_pitchdisc_0479.pcm	R2A-PTC-2	HIGHER
178	r2n_colorconst_0002.img	R2N	SAME_SURFACE
179	r2n_shapetrans_0607.img	R2N	TRIANGLE
180	r2a_pitchdisc_0441.pcm	R2A-PTC-2	LOWER
181	r2n_colordisc_0065.img	R2N	SAME
182	r2a_colordisc_0333.img	R2A-COL-1	DIFFERENT
183	r2a_colordisc_0198.img	R2A-COL-1	DIFFERENT
184	r2a_shapetrans_0488.img	R2A-SHP-2	SQUARE
185	r2n_colorconst_0010.img	R2N	SAME_SURFACE
186	r2a_motiondir_0372.vid	R2A-MOT-2	NE
187	r2a_pitchdisc_0369.pcm	R2A-PTC-2	LOWER
188	r2a_shapetrans_0300.img	R2A-SHP-1	SQUARE
189	r2a_pitchdisc_0405.pcm	R2A-PTC-2	HIGHER
190	r2n_timbredisc_0187.pcm	R2N	RICH
191	r2a_colordisc_0275.img	R2A-COL-1	DIFFERENT
192	r2n_colorconst_0242.img	R2N	SAME_SURFACE
193	r2a_shapetrans_0112.img	R2A-SHP-1	TRIANGLE
194	r2a_colordisc_0202.img	R2A-COL-1	DIFFERENT
195	r2a_colordisc_0208.img	R2A-COL-1	DIFFERENT
196	r2a_shapetrans_0204.img	R2A-SHP-1	SQUARE
197	r2n_pitchdisc_0024.pcm	R2N	SAME
198	r2n_pitchdisc_0398.pcm	R2N	LOWER
199	r2n_colorconst_0333.img	R2N	DIFFERENT
